reconstructed_claim_id,policy_number,claim_family,settlement_chain_id,chain_status,confidence_level,confidence_rationale,funding_total,payout_total,effective_payout_total,offset_total,lifecycle_only_total,lag_days,cross_claim_linked_id,cross_claim_lag_days,first_activity_date,latest_activity_date,original_balancing_status,revised_balancing_status,balancing_impact_observation,settlement_notes
RC-9010331768-1-SURRENDER_CLAIM-C6-20240724,9010331768,SURRENDER_CLAIM,RC-9010331768-1-SURRENDER_CLAIM-C6-20240724-SC,FUNDED_NO_DISBURSEMENT,INFERRED,Funded-only chain; delayed disbursement allowed by family profile,0.0,0.0,0.0,603.83,0.0,7,,,20240724,20240731,BALANCED,BALANCED,No change,Funded-only chains common; delayed 0090 disbursement may appear in separate reconstruction group.
RC-9010331768-1-SURRENDER_CLAIM-C7-20250724,9010331768,SURRENDER_CLAIM,RC-9010331768-1-SURRENDER_CLAIM-C7-20250724-SC,FUNDED_NO_DISBURSEMENT,INFERRED,Funded-only chain; delayed disbursement allowed by family profile,0.0,0.0,0.0,589.3,0.0,1,,,20250724,20250725,BALANCED,BALANCED,No change,Funded-only chains common; delayed 0090 disbursement may appear in separate reconstruction group.
RC-9010335038-1-DEATH_CLAIM-C0-20180422,9010335038,DEATH_CLAIM,RC-9010335038-1-DEATH_CLAIM-C0-20180422-SC,PARTIAL_CHAIN,MODERATE_CONFIDENCE,Funding and payout linked but amounts diverge beyond tolerance,5000.0,11777.05,11777.05,0.0,6777.05,0,,,20180422,20180422,UNBALANCED,UNBALANCED,No change,Clearing 0038 supports lifecycle linkage only; payout expected same settlement group.
RC-9010335095-1-DISBURSEMENT_CLAIM-C0-20191126,9010335095,DISBURSEMENT_CLAIM,RC-9010335095-1-DISBURSEMENT_CLAIM-C0-20191126-SC,PAYOUT_ONLY,HIGH_CONFIDENCE,Disbursement payout-only profile; semantic alignment confirmed,0.0,2474.02,2474.02,0.0,0.0,0,,,20191126,20191126,UNBALANCED,BALANCED,UNBALANCED -> BALANCED,Payout-only event chain; no gross funding reconstruction required.
RC-9010346921-1-SURRENDER_CLAIM-C0-20181118,9010346921,SURRENDER_CLAIM,RC-9010346921-1-SURRENDER_CLAIM-C0-20181118-SC,FUNDED_NO_DISBURSEMENT,INFERRED,Funded-only chain; delayed disbursement allowed by family profile,0.0,0.0,0.0,70.9,0.0,0,,,20181118,20181118,BALANCED,BALANCED,No change,Funded-only chains common; delayed 0090 disbursement may appear in separate reconstruction group.
RC-9010346921-1-SURRENDER_CLAIM-C1-20191118,9010346921,SURRENDER_CLAIM,RC-9010346921-1-SURRENDER_CLAIM-C1-20191118-SC,FUNDED_NO_DISBURSEMENT,INFERRED,Funded-only chain; delayed disbursement allowed by family profile,0.0,0.0,0.0,214.74,0.0,14,,,20191118,20191202,BALANCED,BALANCED,No change,Funded-only chains common; delayed 0090 disbursement may appear in separate reconstruction group.
RC-9010346921-1-SURRENDER_CLAIM-C2-20201118,9010346921,SURRENDER_CLAIM,RC-9010346921-1-SURRENDER_CLAIM-C2-20201118-SC,FUNDED_NO_DISBURSEMENT,INFERRED,Funded-only chain; delayed disbursement allowed by family profile,0.0,0.0,0.0,218.24,0.0,5,,,20201118,20201123,BALANCED,BALANCED,No change,Funded-only chains common; delayed 0090 disbursement may appear in separate reconstruction group.
RC-9010346921-1-SURRENDER_CLAIM-C3-20211118,9010346921,SURRENDER_CLAIM,RC-9010346921-1-SURRENDER_CLAIM-C3-20211118-SC,FUNDED_NO_DISBURSEMENT,INFERRED,Funded-only chain; delayed disbursement allowed by family profile,0.0,0.0,0.0,74.64,0.0,0,,,20211118,20211118,BALANCED,BALANCED,No change,Funded-only chains common; delayed 0090 disbursement may appear in separate reconstruction group.
RC-9010346921-1-SURRENDER_CLAIM-C4-20221118,9010346921,SURRENDER_CLAIM,RC-9010346921-1-SURRENDER_CLAIM-C4-20221118-SC,FUNDED_NO_DISBURSEMENT,INFERRED,Funded-only chain; delayed disbursement allowed by family profile,0.0,0.0,0.0,224.83,0.0,17,,,20221118,20221205,BALANCED,BALANCED,No change,Funded-only chains common; delayed 0090 disbursement may appear in separate reconstruction group.
RC-9010346921-1-SURRENDER_CLAIM-C5-20230221,9010346921,SURRENDER_CLAIM,RC-9010346921-1-SURRENDER_CLAIM-C5-20230221-SC,FUNDED_NO_DISBURSEMENT,INFERRED,Funded-only chain; delayed disbursement allowed by family profile,0.0,0.0,0.0,109.78,0.0,0,,,20230221,20230221,BALANCED,BALANCED,No change,Funded-only chains common; delayed 0090 disbursement may appear in separate reconstruction group.
RC-9010346921-1-SURRENDER_CLAIM-C6-20231118,9010346921,SURRENDER_CLAIM,RC-9010346921-1-SURRENDER_CLAIM-C6-20231118-SC,FUNDED_NO_DISBURSEMENT,INFERRED,Funded-only chain; delayed disbursement allowed by family profile,0.0,0.0,0.0,204.43,0.0,54,,,20231118,20240111,BALANCED,BALANCED,No change,Funded-only chains common; delayed 0090 disbursement may appear in separate reconstruction group.
RC-9010346921-1-SURRENDER_CLAIM-C7-20241118,9010346921,SURRENDER_CLAIM,RC-9010346921-1-SURRENDER_CLAIM-C7-20241118-SC,FUNDED_NO_DISBURSEMENT,INFERRED,Funded-only chain; delayed disbursement allowed by family profile,0.0,0.0,0.0,213.9,0.0,30,,,20241118,20241218,BALANCED,BALANCED,No change,Funded-only chains common; delayed 0090 disbursement may appear in separate reconstruction group.
RC-9010346921-1-SURRENDER_CLAIM-C8-20251118,9010346921,SURRENDER_CLAIM,RC-9010346921-1-SURRENDER_CLAIM-C8-20251118-SC,FUNDED_NO_DISBURSEMENT,INFERRED,Funded-only chain; delayed disbursement allowed by family profile,0.0,0.0,0.0,208.75,0.0,42,,,20251118,20251230,BALANCED,BALANCED,No change,Funded-only chains common; delayed 0090 disbursement may appear in separate reconstruction group.
RC-9010348734-1-DISBURSEMENT_CLAIM-C0-20220124,9010348734,DISBURSEMENT_CLAIM,RC-9010348734-1-DISBURSEMENT_CLAIM-C0-20220124-SC,PAYOUT_ONLY,HIGH_CONFIDENCE,Disbursement payout-only profile; semantic alignment confirmed,0.0,56.85,56.85,0.0,0.0,0,,,20220124,20220124,MINOR_VARIANCE,BALANCED,MINOR_VARIANCE -> BALANCED,Payout-only event chain; no gross funding reconstruction required.
RC-9010360289-1-SURRENDER_CLAIM-C0-20260401,9010360289,SURRENDER_CLAIM,RC-9010360289-1-SURRENDER_CLAIM-C0-20260401-SC,FUNDED_NO_DISBURSEMENT,INFERRED,Funded-only chain; delayed disbursement allowed by family profile,3129.06,0.0,0.0,0.0,0.0,0,,,20260401,20260401,UNBALANCED,UNBALANCED,No change,Funded-only chains common; delayed 0090 disbursement may appear in separate reconstruction group.
RC-9010360290-1-SURRENDER_CLAIM-C0-20260326,9010360290,SURRENDER_CLAIM,RC-9010360290-1-SURRENDER_CLAIM-C0-20260326-SC,FUNDED_NO_DISBURSEMENT,INFERRED,Funded-only chain; delayed disbursement allowed by family profile,3104.07,0.0,0.0,0.0,0.0,0,,,20260326,20260326,UNBALANCED,UNBALANCED,No change,Funded-only chains common; delayed 0090 disbursement may appear in separate reconstruction group.
RC-9010363098-1-DEATH_CLAIM-C0-20220917,9010363098,DEATH_CLAIM,RC-9010363098-1-DEATH_CLAIM-C0-20220917-SC,PARTIAL_CHAIN,MODERATE_CONFIDENCE,Funding and payout linked but amounts diverge beyond tolerance,5000.0,7770.08,7770.08,0.0,4.35,0,,,20220917,20220917,UNBALANCED,UNBALANCED,No change,Clearing 0038 supports lifecycle linkage only; payout expected same settlement group.
RC-9010363098-1-SURRENDER_CLAIM-C0-20180201,9010363098,SURRENDER_CLAIM,RC-9010363098-1-SURRENDER_CLAIM-C0-20180201-SC,FUNDED_NO_DISBURSEMENT,INFERRED,Funded-only chain; delayed disbursement allowed by family profile,0.0,0.0,0.0,258.25,0.0,246,,,20180201,20181005,BALANCED,BALANCED,No change,Funded-only chains common; delayed 0090 disbursement may appear in separate reconstruction group.
RC-9010363098-5-DEATH_CLAIM-C0-20220917,9010363098,DEATH_CLAIM,RC-9010363098-5-DEATH_CLAIM-C0-20220917-SC,FUNDED_NO_DISBURSEMENT,LOW_CONFIDENCE,Funding without observed payout linkage,2765.73,0.0,0.0,0.0,0.0,0,,,20220917,20220917,UNBALANCED,UNBALANCED,No change,Clearing 0038 supports lifecycle linkage only; payout expected same settlement group.
RC-9010367438-1-DEATH_CLAIM-C0-20211110,9010367438,DEATH_CLAIM,RC-9010367438-1-DEATH_CLAIM-C0-20211110-SC,MULTI_PAYOUT_CHAIN,MODERATE_CONFIDENCE,Multiple payout events in settlement chain,3580.0,4469.37,4469.37,0.0,1575.62,0,,,20211110,20211110,UNBALANCED,UNBALANCED,No change,Clearing 0038 supports lifecycle linkage only; payout expected same settlement group.
RC-9010367438-1-SURRENDER_CLAIM-C0-20180628,9010367438,SURRENDER_CLAIM,RC-9010367438-1-SURRENDER_CLAIM-C0-20180628-SC,FUNDED_NO_DISBURSEMENT,INFERRED,Funded-only chain; delayed disbursement allowed by family profile,0.0,0.0,0.0,74.67,0.0,3,,,20180628,20180701,BALANCED,BALANCED,No change,Funded-only chains common; delayed 0090 disbursement may appear in separate reconstruction group.
RC-9010367438-1-SURRENDER_CLAIM-C1-20190701,9010367438,SURRENDER_CLAIM,RC-9010367438-1-SURRENDER_CLAIM-C1-20190701-SC,FUNDED_NO_DISBURSEMENT,INFERRED,Funded-only chain; delayed disbursement allowed by family profile,0.0,0.0,0.0,77.32,0.0,0,,,20190701,20190701,BALANCED,BALANCED,No change,Funded-only chains common; delayed 0090 disbursement may appear in separate reconstruction group.
RC-9010367438-1-SURRENDER_CLAIM-C2-20200701,9010367438,SURRENDER_CLAIM,RC-9010367438-1-SURRENDER_CLAIM-C2-20200701-SC,FUNDED_NO_DISBURSEMENT,INFERRED,Funded-only chain; delayed disbursement allowed by family profile,0.0,0.0,0.0,81.39,0.0,0,,,20200701,20200701,BALANCED,BALANCED,No change,Funded-only chains common; delayed 0090 disbursement may appear in separate reconstruction group.
RC-9010367438-1-SURRENDER_CLAIM-C3-20210701,9010367438,SURRENDER_CLAIM,RC-9010367438-1-SURRENDER_CLAIM-C3-20210701-SC,FUNDED_NO_DISBURSEMENT,INFERRED,Funded-only chain; delayed disbursement allowed by family profile,0.0,0.0,0.0,403.33,0.0,19,,,20210701,20210720,BALANCED,BALANCED,No change,Funded-only chains common; delayed 0090 disbursement may appear in separate reconstruction group.
RC-9010367438-1-SURRENDER_CLAIM-C4-20211110,9010367438,SURRENDER_CLAIM,RC-9010367438-1-SURRENDER_CLAIM-C4-20211110-SC,ORPHAN_CHAIN,LOW_CONFIDENCE,Insufficient semantic chain linkage,0.0,0.0,4469.37,52.45,0.0,0,RC-9010367438-1-DEATH_CLAIM-C0-20211110,0,20211110,20211110,BALANCED,BALANCED,No change,Funded-only chains common; delayed 0090 disbursement may appear in separate reconstruction group.
RC-9010367438-2-DEATH_CLAIM-C0-20211110,9010367438,DEATH_CLAIM,RC-9010367438-2-DEATH_CLAIM-C0-20211110-SC,FUNDED_NO_DISBURSEMENT,LOW_CONFIDENCE,Funding without observed payout linkage,2464.99,0.0,0.0,0.0,0.0,0,,,20211110,20211110,UNBALANCED,UNBALANCED,No change,Clearing 0038 supports lifecycle linkage only; payout expected same settlement group.
RC-9010367705-1-SURRENDER_CLAIM-C0-20250626,9010367705,SURRENDER_CLAIM,RC-9010367705-1-SURRENDER_CLAIM-C0-20250626-SC,FUNDED_NO_DISBURSEMENT,INFERRED,Funded-only chain; delayed disbursement allowed by family profile,3043.61,0.0,0.0,0.0,0.0,0,,,20250626,20250626,UNBALANCED,UNBALANCED,No change,Funded-only chains common; delayed 0090 disbursement may appear in separate reconstruction group.
RC-9010368703-1-DEATH_CLAIM-C0-20210114,9010368703,DEATH_CLAIM,RC-9010368703-1-DEATH_CLAIM-C0-20210114-SC,PARTIAL_CHAIN,MODERATE_CONFIDENCE,Funding and payout linked but amounts diverge beyond tolerance,6865.0,12890.67,12890.67,0.0,5.81,0,,,20210114,20210114,UNBALANCED,UNBALANCED,No change,Clearing 0038 supports lifecycle linkage only; payout expected same settlement group.
RC-9010368703-2-DEATH_CLAIM-C0-20210114,9010368703,DEATH_CLAIM,RC-9010368703-2-DEATH_CLAIM-C0-20210114-SC,FUNDED_NO_DISBURSEMENT,LOW_CONFIDENCE,Funding without observed payout linkage,6019.86,0.0,0.0,0.0,0.0,0,,,20210114,20210114,UNBALANCED,UNBALANCED,No change,Clearing 0038 supports lifecycle linkage only; payout expected same settlement group.
RC-9010371171-1-DEATH_CLAIM-C0-20240624,9010371171,DEATH_CLAIM,RC-9010371171-1-DEATH_CLAIM-C0-20240624-SC,PARTIAL_CHAIN,MODERATE_CONFIDENCE,Funding and payout linked but amounts diverge beyond tolerance,6430.0,12834.01,12834.01,0.0,22.33,0,,,20240624,20240624,UNBALANCED,UNBALANCED,No change,Clearing 0038 supports lifecycle linkage only; payout expected same settlement group.
RC-9010371171-2-DEATH_CLAIM-C0-20240624,9010371171,DEATH_CLAIM,RC-9010371171-2-DEATH_CLAIM-C0-20240624-SC,FUNDED_NO_DISBURSEMENT,LOW_CONFIDENCE,Funding without observed payout linkage,6381.68,0.0,0.0,0.0,0.0,0,,,20240624,20240624,UNBALANCED,UNBALANCED,No change,Clearing 0038 supports lifecycle linkage only; payout expected same settlement group.
RC-9010373918-1-SURRENDER_CLAIM-C0-20210412,9010373918,SURRENDER_CLAIM,RC-9010373918-1-SURRENDER_CLAIM-C0-20210412-SC,FUNDED_NO_DISBURSEMENT,INFERRED,Funded-only chain; delayed disbursement allowed by family profile,11120.23,0.0,0.0,0.0,0.0,0,,,20210412,20210412,UNBALANCED,UNBALANCED,No change,Funded-only chains common; delayed 0090 disbursement may appear in separate reconstruction group.
RC-9010374779-1-DEATH_CLAIM-C0-20200530,9010374779,DEATH_CLAIM,RC-9010374779-1-DEATH_CLAIM-C0-20200530-SC,PARTIAL_CHAIN,MODERATE_CONFIDENCE,Funding and payout linked but amounts diverge beyond tolerance,4348.0,8353.43,8353.43,0.0,0.0,0,,,20200530,20200530,UNBALANCED,UNBALANCED,No change,Clearing 0038 supports lifecycle linkage only; payout expected same settlement group.
RC-9010374779-2-DEATH_CLAIM-C0-20200530,9010374779,DEATH_CLAIM,RC-9010374779-2-DEATH_CLAIM-C0-20200530-SC,FUNDED_NO_DISBURSEMENT,LOW_CONFIDENCE,Funding without observed payout linkage,4005.43,0.0,0.0,0.0,0.0,0,,,20200530,20200530,UNBALANCED,UNBALANCED,No change,Clearing 0038 supports lifecycle linkage only; payout expected same settlement group.
RC-9010376522-1-SURRENDER_CLAIM-C0-20181006,9010376522,SURRENDER_CLAIM,RC-9010376522-1-SURRENDER_CLAIM-C0-20181006-SC,FUNDED_NO_DISBURSEMENT,INFERRED,Funded-only chain; delayed disbursement allowed by family profile,0.0,0.0,0.0,1107.16,0.0,0,,,20181006,20181006,MINOR_VARIANCE,BALANCED,MINOR_VARIANCE -> BALANCED,Funded-only chains common; delayed 0090 disbursement may appear in separate reconstruction group.
RC-9010376522-1-SURRENDER_CLAIM-C1-20191006,9010376522,SURRENDER_CLAIM,RC-9010376522-1-SURRENDER_CLAIM-C1-20191006-SC,FUNDED_NO_DISBURSEMENT,INFERRED,Funded-only chain; delayed disbursement allowed by family profile,0.0,0.0,0.0,1176.01,0.0,0,,,20191006,20191006,MINOR_VARIANCE,BALANCED,MINOR_VARIANCE -> BALANCED,Funded-only chains common; delayed 0090 disbursement may appear in separate reconstruction group.
RC-9010376522-1-SURRENDER_CLAIM-C2-20201006,9010376522,SURRENDER_CLAIM,RC-9010376522-1-SURRENDER_CLAIM-C2-20201006-SC,FUNDED_NO_DISBURSEMENT,INFERRED,Funded-only chain; delayed disbursement allowed by family profile,0.0,0.0,0.0,1248.5,0.0,0,,,20201006,20201006,MINOR_VARIANCE,BALANCED,MINOR_VARIANCE -> BALANCED,Funded-only chains common; delayed 0090 disbursement may appear in separate reconstruction group.
RC-9010376522-1-SURRENDER_CLAIM-C3-20211006,9010376522,SURRENDER_CLAIM,RC-9010376522-1-SURRENDER_CLAIM-C3-20211006-SC,FUNDED_NO_DISBURSEMENT,INFERRED,Funded-only chain; delayed disbursement allowed by family profile,5408.9,0.0,0.0,816.12,0.0,0,,,20211006,20211006,UNBALANCED,UNBALANCED,No change,Funded-only chains common; delayed 0090 disbursement may appear in separate reconstruction group.
RC-9010376529-1-SURRENDER_CLAIM-C0-20180914,9010376529,SURRENDER_CLAIM,RC-9010376529-1-SURRENDER_CLAIM-C0-20180914-SC,FUNDED_NO_DISBURSEMENT,INFERRED,Funded-only chain; delayed disbursement allowed by family profile,0.0,0.0,0.0,2532.23,0.0,73,,,20180914,20181126,UNBALANCED,BALANCED,UNBALANCED -> BALANCED,Funded-only chains common; delayed 0090 disbursement may appear in separate reconstruction group.
RC-9010376529-1-SURRENDER_CLAIM-C1-20190614,9010376529,SURRENDER_CLAIM,RC-9010376529-1-SURRENDER_CLAIM-C1-20190614-SC,FUNDED_NO_DISBURSEMENT,INFERRED,Funded-only chain; delayed disbursement allowed by family profile,2512.06,0.0,0.0,60.72,0.0,0,,,20190614,20190614,UNBALANCED,UNBALANCED,No change,Funded-only chains common; delayed 0090 disbursement may appear in separate reconstruction group.
RC-9010376540-1-DEATH_CLAIM-C0-20181014,9010376540,DEATH_CLAIM,RC-9010376540-1-DEATH_CLAIM-C0-20181014-SC,MULTI_PAYOUT_CHAIN,MODERATE_CONFIDENCE,Multiple payout events in settlement chain,10009.54,11706.76,11706.76,0.0,0.0,0,,,20181014,20181014,UNBALANCED,UNBALANCED,No change,Clearing 0038 supports lifecycle linkage only; payout expected same settlement group.
RC-9010376540-1-DEATH_CLAIM-C1-20190220,9010376540,DEATH_CLAIM,RC-9010376540-1-DEATH_CLAIM-C1-20190220-SC,PAYOUT_ONLY,MODERATE_CONFIDENCE,Payout-only chain without in-group funding,0.0,5810.61,5810.61,0.0,0.0,0,,,20190220,20190220,UNBALANCED,UNBALANCED,No change,Clearing 0038 supports lifecycle linkage only; payout expected same settlement group.
RC-9010376540-2-DEATH_CLAIM-C0-20181014,9010376540,DEATH_CLAIM,RC-9010376540-2-DEATH_CLAIM-C0-20181014-SC,FUNDED_NO_DISBURSEMENT,LOW_CONFIDENCE,Funding without observed payout linkage,7507.83,0.0,0.0,0.0,0.0,0,,,20181014,20181014,UNBALANCED,UNBALANCED,No change,Clearing 0038 supports lifecycle linkage only; payout expected same settlement group.
RC-9010377918-1-SURRENDER_CLAIM-C0-20250331,9010377918,SURRENDER_CLAIM,RC-9010377918-1-SURRENDER_CLAIM-C0-20250331-SC,FUNDED_NO_DISBURSEMENT,INFERRED,Funded-only chain; delayed disbursement allowed by family profile,15878.94,0.0,0.0,0.0,0.0,0,,,20250331,20250331,UNBALANCED,UNBALANCED,No change,Funded-only chains common; delayed 0090 disbursement may appear in separate reconstruction group.
RC-9010378710-1-DEATH_CLAIM-C0-20210210,9010378710,DEATH_CLAIM,RC-9010378710-1-DEATH_CLAIM-C0-20210210-SC,PARTIAL_CHAIN,MODERATE_CONFIDENCE,Funding and payout linked but amounts diverge beyond tolerance,5000.0,6715.85,6715.85,0.0,0.0,0,,,20210210,20210210,UNBALANCED,UNBALANCED,No change,Clearing 0038 supports lifecycle linkage only; payout expected same settlement group.
RC-9010378710-2-DEATH_CLAIM-C0-20210210,9010378710,DEATH_CLAIM,RC-9010378710-2-DEATH_CLAIM-C0-20210210-SC,FUNDED_NO_DISBURSEMENT,LOW_CONFIDENCE,Funding without observed payout linkage,1715.85,0.0,0.0,0.0,0.0,0,,,20210210,20210210,UNBALANCED,UNBALANCED,No change,Clearing 0038 supports lifecycle linkage only; payout expected same settlement group.
RC-9010378829-1-DEATH_CLAIM-C0-20210829,9010378829,DEATH_CLAIM,RC-9010378829-1-DEATH_CLAIM-C0-20210829-SC,PARTIAL_CHAIN,MODERATE_CONFIDENCE,Funding and payout linked but amounts diverge beyond tolerance,5000.0,7174.45,7174.45,0.0,0.0,0,,,20210829,20210829,UNBALANCED,UNBALANCED,No change,Clearing 0038 supports lifecycle linkage only; payout expected same settlement group.
RC-9010378829-2-DEATH_CLAIM-C0-20210829,9010378829,DEATH_CLAIM,RC-9010378829-2-DEATH_CLAIM-C0-20210829-SC,FUNDED_NO_DISBURSEMENT,LOW_CONFIDENCE,Funding without observed payout linkage,2174.45,0.0,0.0,0.0,0.0,0,,,20210829,20210829,UNBALANCED,UNBALANCED,No change,Clearing 0038 supports lifecycle linkage only; payout expected same settlement group.
RC-9010379405-1-SURRENDER_CLAIM-C0-20230526,9010379405,SURRENDER_CLAIM,RC-9010379405-1-SURRENDER_CLAIM-C0-20230526-SC,FUNDED_NO_DISBURSEMENT,INFERRED,Funded-only chain; delayed disbursement allowed by family profile,7437.83,0.0,0.0,0.0,0.0,0,,,20230526,20230526,UNBALANCED,UNBALANCED,No change,Funded-only chains common; delayed 0090 disbursement may appear in separate reconstruction group.
RC-9010380049-1-SURRENDER_CLAIM-C0-20181113,9010380049,SURRENDER_CLAIM,RC-9010380049-1-SURRENDER_CLAIM-C0-20181113-SC,FUNDED_NO_DISBURSEMENT,INFERRED,Funded-only chain; delayed disbursement allowed by family profile,0.0,0.0,0.0,189.9,0.0,0,,,20181113,20181113,BALANCED,BALANCED,No change,Funded-only chains common; delayed 0090 disbursement may appear in separate reconstruction group.
