reconstructed_claim_id,policy_number,claim_family,funding_codes,payout_codes,in_group_lag_days,cross_claim_linked_id,cross_claim_payout_total,cross_claim_lag_days,delayed_linkage_candidate,linkage_basis,confidence_level
RC-9010442552-1-SURRENDER_CLAIM-C6-20240517,9010442552,SURRENDER_CLAIM,,,0,RC-9010442552-1-DEATH_CLAIM-C0-20240517,4716.41,0,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010443109-1-SURRENDER_CLAIM-C3-20210514,9010443109,SURRENDER_CLAIM,,,0,RC-9010443109-1-DEATH_CLAIM-C0-20210514,5504.36,0,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010444283-1-SURRENDER_CLAIM-C0-20200526,9010444283,SURRENDER_CLAIM,0560,,0,RC-9010444283-1-DISBURSEMENT_CLAIM-C0-20200526,4407.89,0,Y,CROSS_CLAIM,MODERATE_CONFIDENCE
RC-9010446852-1-SURRENDER_CLAIM-C7-20251215,9010446852,SURRENDER_CLAIM,,,7,RC-9010446852-1-DEATH_CLAIM-C0-20251222,6242.53,7,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010454002-1-SURRENDER_CLAIM-C5-20230424,9010454002,SURRENDER_CLAIM,,,0,RC-9010454002-1-DEATH_CLAIM-C0-20230424,13678.89,0,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010463420-1-SURRENDER_CLAIM-C0-20180117,9010463420,SURRENDER_CLAIM,,,0,RC-9010463420-1-DEATH_CLAIM-C0-20180117,3599.65,0,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010464869-1-SURRENDER_CLAIM-C2-20200415,9010464869,SURRENDER_CLAIM,,,0,RC-9010464869-1-DEATH_CLAIM-C0-20200415,4716.62,0,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010464870-1-SURRENDER_CLAIM-C6-20240121,9010464870,SURRENDER_CLAIM,,,0,RC-9010464870-1-DEATH_CLAIM-C0-20240121,2959.7,0,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010469430-1-DISBURSEMENT_CLAIM-C0-20211203,9010469430,DISBURSEMENT_CLAIM,,0090,0,RC-9010469430-1-DEATH_CLAIM-C2-20211207,5493.8,4,Y,CROSS_CLAIM,HIGH_CONFIDENCE
RC-9010473137-1-SURRENDER_CLAIM-C2-20190807,9010473137,SURRENDER_CLAIM,,,0,RC-9010473137-1-DEATH_CLAIM-C0-20190807,5224.98,0,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010473866-1-SURRENDER_CLAIM-C0-20240419,9010473866,SURRENDER_CLAIM,0560,,0,RC-9010473866-1-DISBURSEMENT_CLAIM-C0-20240423,36564.48,4,Y,CROSS_CLAIM,INFERRED
RC-9010476803-1-SURRENDER_CLAIM-C0-20180107,9010476803,SURRENDER_CLAIM,,,0,RC-9010476803-1-DEATH_CLAIM-C0-20180107,4859.27,0,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010477512-1-SURRENDER_CLAIM-C3-20201122,9010477512,SURRENDER_CLAIM,,,0,RC-9010477512-1-DEATH_CLAIM-C0-20201122,11019.57,0,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010477513-1-SURRENDER_CLAIM-C2-20200430,9010477513,SURRENDER_CLAIM,,,0,RC-9010477513-1-DEATH_CLAIM-C0-20200430,12260.03,0,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010478285-1-SURRENDER_CLAIM-C2-20200405,9010478285,SURRENDER_CLAIM,,,0,RC-9010478285-1-DEATH_CLAIM-C0-20200405,8066.76,0,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010486964-1-SURRENDER_CLAIM-C4-20220313,9010486964,SURRENDER_CLAIM,,,0,RC-9010486964-1-DEATH_CLAIM-C0-20220313,5636.74,0,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010487886-1-SURRENDER_CLAIM-C4-20241212,9010487886,SURRENDER_CLAIM,,,0,RC-9010487886-1-DISBURSEMENT_CLAIM-C0-20241213,26.33,1,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010488274-1-SURRENDER_CLAIM-C0-20180415,9010488274,SURRENDER_CLAIM,,,15,RC-9010488274-1-DEATH_CLAIM-C0-20180422,11489.42,7,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010491000-1-SURRENDER_CLAIM-C2-20200223,9010491000,SURRENDER_CLAIM,,,0,RC-9010491000-1-DEATH_CLAIM-C0-20200223,5033.43,0,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010494171-1-SURRENDER_CLAIM-C0-20180823,9010494171,SURRENDER_CLAIM,0560,,0,RC-9010494171-1-DISBURSEMENT_CLAIM-C0-20180824,4758.17,1,Y,CROSS_CLAIM,INFERRED
RC-9010495113-1-SURRENDER_CLAIM-C1-20180731,9010495113,SURRENDER_CLAIM,,,0,RC-9010495113-1-DISBURSEMENT_CLAIM-C0-20180801,12.19,1,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010495113-1-SURRENDER_CLAIM-C7-20210429,9010495113,SURRENDER_CLAIM,,,0,RC-9010495113-1-DISBURSEMENT_CLAIM-C2-20210429,7.98,0,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010497768-1-SURRENDER_CLAIM-C3-20211015,9010497768,SURRENDER_CLAIM,,,0,RC-9010497768-1-DISBURSEMENT_CLAIM-C0-20211021,4.44,6,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010520217-1-SURRENDER_CLAIM-C4-20221029,9010520217,SURRENDER_CLAIM,,,17,RC-9010520217-1-DEATH_CLAIM-C0-20221029,14934.6,0,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010521651-1-SURRENDER_CLAIM-C6-20230502,9010521651,SURRENDER_CLAIM,,,0,RC-9010521651-1-DEATH_CLAIM-C0-20230502,10150.54,0,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010550564-1-SURRENDER_CLAIM-C2-20190920,9010550564,SURRENDER_CLAIM,,,0,RC-9010550564-1-DEATH_CLAIM-C0-20190920,13974.98,0,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010726319-2-SURRENDER_CLAIM-C0-20180305,9010726319,SURRENDER_CLAIM,0560,,0,RC-9010726319-1-DISBURSEMENT_CLAIM-C0-20180307,2007.22,2,Y,CROSS_CLAIM,INFERRED
RC-9010736035-1-SURRENDER_CLAIM-C1-20190613,9010736035,SURRENDER_CLAIM,,,0,RC-9010736035-1-DEATH_CLAIM-C0-20190613,81378.18,0,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010738751-2-SURRENDER_CLAIM-C0-20190304,9010738751,SURRENDER_CLAIM,0560,,0,RC-9010738751-1-DISBURSEMENT_CLAIM-C0-20190305,2192.01,1,Y,CROSS_CLAIM,INFERRED
RC-9010748517-2-SURRENDER_CLAIM-C0-20180422,9010748517,SURRENDER_CLAIM,0561,,0,RC-9010748517-1-DEATH_CLAIM-C0-20180508,5009.43,16,Y,CROSS_CLAIM,MODERATE_CONFIDENCE
RC-9010749401-1-SURRENDER_CLAIM-C5-20200201,9010749401,SURRENDER_CLAIM,,,2192,RC-9010749401-1-DISBURSEMENT_CLAIM-C0-20200117,27.23,15,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010752513-1-SURRENDER_CLAIM-C6-20190901,9010752513,SURRENDER_CLAIM,,,0,RC-9010752513-1-DISBURSEMENT_CLAIM-C0-20190905,5.47,4,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010756540-1-SURRENDER_CLAIM-C2-20200713,9010756540,SURRENDER_CLAIM,,,10,RC-9010756540-1-DISBURSEMENT_CLAIM-C0-20200724,167.57,11,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010760294-2-SURRENDER_CLAIM-C2-20200901,9010760294,SURRENDER_CLAIM,0561,,0,RC-9010760294-1-DEATH_CLAIM-C0-20200811,25000.0,21,Y,CROSS_CLAIM,MODERATE_CONFIDENCE
RC-9010760840-1-SURRENDER_CLAIM-C3-20220311,9010760840,SURRENDER_CLAIM,,,0,RC-9010760840-1-DISBURSEMENT_CLAIM-C0-20220314,544.29,3,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010761966-1-SURRENDER_CLAIM-C1-20190901,9010761966,SURRENDER_CLAIM,,,12,RC-9010761966-1-DISBURSEMENT_CLAIM-C0-20190916,212.37,15,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010762076-1-SURRENDER_CLAIM-C0-20180228,9010762076,SURRENDER_CLAIM,0560,,0,RC-9010762076-1-DISBURSEMENT_CLAIM-C0-20180301,911.23,1,Y,CROSS_CLAIM,INFERRED
RC-9010763006-1-DISBURSEMENT_CLAIM-C0-20240207,9010763006,DISBURSEMENT_CLAIM,,0090,0,RC-9010763006-1-DEATH_CLAIM-C0-20231228,75274.48,14,Y,CROSS_CLAIM,HIGH_CONFIDENCE
RC-9010764348-1-SURRENDER_CLAIM-C0-20180920,9010764348,SURRENDER_CLAIM,,,11,RC-9010764348-1-DEATH_CLAIM-C0-20180920,29467.34,0,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010764837-2-SURRENDER_CLAIM-C6-20241001,9010764837,SURRENDER_CLAIM,0561,,0,RC-9010764837-1-DEATH_CLAIM-C0-20241025,8966.75,24,Y,CROSS_CLAIM,MODERATE_CONFIDENCE
RC-9010769714-1-SURRENDER_CLAIM-C6-20230404,9010769714,SURRENDER_CLAIM,,,0,RC-9010769714-1-DEATH_CLAIM-C0-20230404,49445.73,0,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010771111-1-SURRENDER_CLAIM-C2-20200430,9010771111,SURRENDER_CLAIM,,,0,RC-9010771111-1-DEATH_CLAIM-C0-20200430,29840.23,0,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010773109-4-SURRENDER_CLAIM-C0-20200201,9010773109,SURRENDER_CLAIM,0560,,0,RC-9010773109-1-DISBURSEMENT_CLAIM-C0-20200206,46.8,5,Y,CROSS_CLAIM,INFERRED
RC-9010774109-1-SURRENDER_CLAIM-C3-20201120,9010774109,SURRENDER_CLAIM,,,0,RC-9010774109-1-DEATH_CLAIM-C0-20201120,9942.49,0,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010774973-2-SURRENDER_CLAIM-C0-20201215,9010774973,SURRENDER_CLAIM,0561,,0,RC-9010774973-1-DISBURSEMENT_CLAIM-C0-20210114,47.32,30,Y,CROSS_CLAIM,MODERATE_CONFIDENCE
RC-9010776157-1-SURRENDER_CLAIM-C2-20200107,9010776157,SURRENDER_CLAIM,,,9,RC-9010776157-1-DEATH_CLAIM-C0-20200116,30968.34,9,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010778299-1-DISBURSEMENT_CLAIM-C0-20221004,9010778299,DISBURSEMENT_CLAIM,,0090,0,RC-9010778299-1-DEATH_CLAIM-C0-20220904,1512.18,7,Y,CROSS_CLAIM,MODERATE_CONFIDENCE
RC-9010780003-1-DEATH_CLAIM-C1-20240619,9010780003,DEATH_CLAIM,,0094,1,,,,Y,IN_GROUP,MODERATE_CONFIDENCE
RC-9010780003-1-DISBURSEMENT_CLAIM-C0-20240619,9010780003,DISBURSEMENT_CLAIM,,0090,0,RC-9010780003-1-DEATH_CLAIM-C1-20240619,3072.4,1,Y,CROSS_CLAIM,HIGH_CONFIDENCE
RC-9010780411-1-SURRENDER_CLAIM-C0-20180223,9010780411,SURRENDER_CLAIM,0561,,25,RC-9010780411-1-DEATH_CLAIM-C0-20180202,10000.0,21,Y,CROSS_CLAIM,MODERATE_CONFIDENCE
RC-9010780411-2-SURRENDER_CLAIM-C0-20180205,9010780411,SURRENDER_CLAIM,0561,,24,RC-9010780411-1-DEATH_CLAIM-C0-20180202,10000.0,3,Y,CROSS_CLAIM,INFERRED
RC-9010784179-2-SURRENDER_CLAIM-C0-20200227,9010784179,SURRENDER_CLAIM,,,0,RC-9010784179-1-DISBURSEMENT_CLAIM-C0-20200227,10000.0,0,Y,CROSS_CLAIM,MODERATE_CONFIDENCE
RC-9010784732-1-SURRENDER_CLAIM-C1-20181119,9010784732,SURRENDER_CLAIM,,,45,RC-9010784732-1-DISBURSEMENT_CLAIM-C0-20181120,5.81,1,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010786152-1-DISBURSEMENT_CLAIM-C0-20220621,9010786152,DISBURSEMENT_CLAIM,,0090,9,RC-9010786152-1-DEATH_CLAIM-C0-20220428,3965.62,0,Y,CROSS_CLAIM,MODERATE_CONFIDENCE
RC-9010788426-2-SURRENDER_CLAIM-C0-20240403,9010788426,SURRENDER_CLAIM,,,0,RC-9010788426-1-DISBURSEMENT_CLAIM-C0-20240404,20000.0,1,Y,CROSS_CLAIM,MODERATE_CONFIDENCE
RC-9010794520-2-SURRENDER_CLAIM-C0-20180520,9010794520,SURRENDER_CLAIM,0561,,0,RC-9010794520-1-DEATH_CLAIM-C0-20180521,5016.0,1,Y,CROSS_CLAIM,INFERRED
RC-9010798018-1-SURRENDER_CLAIM-C3-20260113,9010798018,SURRENDER_CLAIM,,,0,RC-9010798018-1-DISBURSEMENT_CLAIM-C0-20260209,4.06,27,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010801734-3-SURRENDER_CLAIM-C2-20200828,9010801734,SURRENDER_CLAIM,0561,,0,RC-9010801734-1-DEATH_CLAIM-C0-20200922,14694.65,25,Y,CROSS_CLAIM,MODERATE_CONFIDENCE
RC-9010802646-2-SURRENDER_CLAIM-C4-20220723,9010802646,SURRENDER_CLAIM,0561,,0,RC-9010802646-1-DEATH_CLAIM-C0-20220724,11089.31,1,Y,CROSS_CLAIM,INFERRED
RC-9010803025-1-SURRENDER_CLAIM-C4-20211027,9010803025,SURRENDER_CLAIM,,,0,RC-9010803025-1-DEATH_CLAIM-C0-20211027,17499.78,0,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010810271-2-SURRENDER_CLAIM-C0-20191005,9010810271,SURRENDER_CLAIM,0560,,0,RC-9010810271-1-DISBURSEMENT_CLAIM-C0-20191101,19.96,27,Y,CROSS_CLAIM,MODERATE_CONFIDENCE
RC-9010816070-2-SURRENDER_CLAIM-C0-20181015,9010816070,SURRENDER_CLAIM,0561,,0,RC-9010816070-1-DISBURSEMENT_CLAIM-C0-20181107,27.9,23,Y,CROSS_CLAIM,MODERATE_CONFIDENCE
RC-9010816156-2-SURRENDER_CLAIM-C1-20191013,9010816156,SURRENDER_CLAIM,0561,,0,RC-9010816156-1-DEATH_CLAIM-C0-20191029,7362.63,16,Y,CROSS_CLAIM,MODERATE_CONFIDENCE
RC-9010817091-2-SURRENDER_CLAIM-C1-20191022,9010817091,SURRENDER_CLAIM,0561,,0,RC-9010817091-1-DEATH_CLAIM-C0-20191106,5927.9,15,Y,CROSS_CLAIM,MODERATE_CONFIDENCE
RC-9010817304-3-SURRENDER_CLAIM-C0-20221022,9010817304,SURRENDER_CLAIM,0561,,0,RC-9010817304-1-DISBURSEMENT_CLAIM-C0-20221121,26.05,30,Y,CROSS_CLAIM,MODERATE_CONFIDENCE
RC-9010817639-1-SURRENDER_CLAIM-C5-20231120,9010817639,SURRENDER_CLAIM,,,25,RC-9010817639-1-DEATH_CLAIM-C0-20231215,10735.34,25,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010818580-2-SURRENDER_CLAIM-C3-20211110,9010818580,SURRENDER_CLAIM,0561,,0,RC-9010818580-1-DEATH_CLAIM-C0-20211116,25000.0,6,Y,CROSS_CLAIM,INFERRED
RC-9010819960-1-SURRENDER_CLAIM-C0-20181115,9010819960,SURRENDER_CLAIM,,,1,RC-9010819960-1-DISBURSEMENT_CLAIM-C0-20181205,2.0,20,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010819961-1-SURRENDER_CLAIM-C0-20181115,9010819961,SURRENDER_CLAIM,,,1,RC-9010819961-1-DISBURSEMENT_CLAIM-C0-20181205,1.96,20,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010820635-2-SURRENDER_CLAIM-C6-20241117,9010820635,SURRENDER_CLAIM,0561,,0,RC-9010820635-1-DEATH_CLAIM-C0-20241202,25000.0,15,Y,CROSS_CLAIM,MODERATE_CONFIDENCE
RC-9010825438-2-SURRENDER_CLAIM-C5-20230123,9010825438,SURRENDER_CLAIM,0561,,0,RC-9010825438-1-DEATH_CLAIM-C0-20230114,10062.8,9,Y,CROSS_CLAIM,INFERRED
RC-9010825720-1-SURRENDER_CLAIM-C3-20210112,9010825720,SURRENDER_CLAIM,,,27,RC-9010825720-1-DEATH_CLAIM-C0-20210208,99890.93,27,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010833639-2-SURRENDER_CLAIM-C0-20180318,9010833639,SURRENDER_CLAIM,0561,,0,RC-9010833639-1-DEATH_CLAIM-C0-20180322,11172.69,4,Y,CROSS_CLAIM,INFERRED
RC-9010834689-1-SURRENDER_CLAIM-C7-20211130,9010834689,SURRENDER_CLAIM,,,0,RC-9010834689-1-DEATH_CLAIM-C0-20211130,15701.1,0,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010834690-1-SURRENDER_CLAIM-C10-20240928,9010834690,SURRENDER_CLAIM,,,0,RC-9010834690-1-DEATH_CLAIM-C0-20240928,10483.16,0,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010839714-2-SURRENDER_CLAIM-C0-20180512,9010839714,SURRENDER_CLAIM,0561,,0,RC-9010839714-1-DEATH_CLAIM-C0-20180607,7672.21,26,Y,CROSS_CLAIM,MODERATE_CONFIDENCE
RC-9010842291-1-SURRENDER_CLAIM-C4-20210915,9010842291,SURRENDER_CLAIM,,,0,RC-9010842291-1-DEATH_CLAIM-C0-20210915,18337.29,0,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010845878-3-SURRENDER_CLAIM-C3-20210716,9010845878,SURRENDER_CLAIM,0561,,0,RC-9010845878-1-DEATH_CLAIM-C0-20210713,25000.0,3,Y,CROSS_CLAIM,INFERRED
RC-9010847570-1-SURRENDER_CLAIM-C5-20220113,9010847570,SURRENDER_CLAIM,,,0,RC-9010847570-1-DEATH_CLAIM-C0-20220113,57657.05,0,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010851148-1-SURRENDER_CLAIM-C6-20240519,9010851148,SURRENDER_CLAIM,,,0,RC-9010851148-1-DEATH_CLAIM-C0-20240519,47407.1,0,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010851847-2-SURRENDER_CLAIM-C0-20191007,9010851847,SURRENDER_CLAIM,0560,,0,RC-9010851847-1-DISBURSEMENT_CLAIM-C0-20191101,19.96,25,Y,CROSS_CLAIM,MODERATE_CONFIDENCE
RC-9010854157-2-SURRENDER_CLAIM-C0-20220924,9010854157,SURRENDER_CLAIM,0561,,0,RC-9010854157-1-DISBURSEMENT_CLAIM-C0-20221017,20.06,23,Y,CROSS_CLAIM,MODERATE_CONFIDENCE
RC-9010856188-1-SURRENDER_CLAIM-C6-20240306,9010856188,SURRENDER_CLAIM,,,0,RC-9010856188-1-DEATH_CLAIM-C0-20240306,22694.4,0,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010858396-3-SURRENDER_CLAIM-C2-20201001,9010858396,SURRENDER_CLAIM,0560,,0,RC-9010858396-1-DISBURSEMENT_CLAIM-C0-20201001,8607.68,0,Y,CROSS_CLAIM,HIGH_CONFIDENCE
RC-9010863788-1-SURRENDER_CLAIM-C9-20250905,9010863788,SURRENDER_CLAIM,,,0,RC-9010863788-1-DEATH_CLAIM-C0-20250905,30627.74,0,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010871146-2-SURRENDER_CLAIM-C0-20180114,9010871146,SURRENDER_CLAIM,0561,,0,RC-9010871146-1-DISBURSEMENT_CLAIM-C0-20180131,109.26,17,Y,CROSS_CLAIM,MODERATE_CONFIDENCE
RC-9010875065-1-SURRENDER_CLAIM-C6-20230928,9010875065,SURRENDER_CLAIM,,,0,RC-9010875065-1-DEATH_CLAIM-C0-20230928,16701.59,0,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010892327-1-SURRENDER_CLAIM-C0-20180418,9010892327,SURRENDER_CLAIM,,,0,RC-9010892327-1-DEATH_CLAIM-C0-20180418,10088.54,0,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010899716-1-SURRENDER_CLAIM-C0-20180129,9010899716,SURRENDER_CLAIM,,,0,RC-9010899716-1-DISBURSEMENT_CLAIM-C0-20180131,3.95,2,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010904809-2-SURRENDER_CLAIM-C0-20190723,9010904809,SURRENDER_CLAIM,0560,,0,RC-9010904809-1-DISBURSEMENT_CLAIM-C0-20190723,170.34,0,Y,CROSS_CLAIM,MODERATE_CONFIDENCE
RC-9010905200-1-SURRENDER_CLAIM-C1-20180918,9010905200,SURRENDER_CLAIM,,,0,RC-9010905200-1-DISBURSEMENT_CLAIM-C0-20180921,9.04,3,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010905677-1-DISBURSEMENT_CLAIM-C0-20230417,9010905677,DISBURSEMENT_CLAIM,,0090,0,RC-9010905677-1-DEATH_CLAIM-C1-20230405,9253.95,12,Y,CROSS_CLAIM,HIGH_CONFIDENCE
RC-9010914384-2-SURRENDER_CLAIM-C0-20180724,9010914384,SURRENDER_CLAIM,0561,,0,RC-9010914384-1-DEATH_CLAIM-C0-20180805,7527.15,12,Y,CROSS_CLAIM,INFERRED
RC-9010917600-1-SURRENDER_CLAIM-C1-20190718,9010917600,SURRENDER_CLAIM,,,0,RC-9010917600-1-DEATH_CLAIM-C0-20190718,24314.62,0,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010928495-1-SURRENDER_CLAIM-C1-20241001,9010928495,SURRENDER_CLAIM,,,2,RC-9010928495-1-DEATH_CLAIM-C0-20241003,21325.7,2,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9010940594-2-SURRENDER_CLAIM-C0-20181017,9010940594,SURRENDER_CLAIM,0561,,0,RC-9010940594-1-DEATH_CLAIM-C0-20181102,5476.0,16,Y,CROSS_CLAIM,MODERATE_CONFIDENCE
RC-9010941103-1-DISBURSEMENT_CLAIM-C0-20221031,9010941103,DISBURSEMENT_CLAIM,,0090,1,RC-9010941103-1-DEATH_CLAIM-C1-20221019,14569.48,12,Y,CROSS_CLAIM,MODERATE_CONFIDENCE
RC-9010947245-6-SURRENDER_CLAIM-C0-20181206,9010947245,SURRENDER_CLAIM,0561,,0,RC-9010947245-1-DISBURSEMENT_CLAIM-C0-20181227,48.36,21,Y,CROSS_CLAIM,MODERATE_CONFIDENCE
RC-9010948195-2-SURRENDER_CLAIM-C5-20231207,9010948195,SURRENDER_CLAIM,0561,,0,RC-9010948195-1-DEATH_CLAIM-C0-20231211,5826.66,4,Y,CROSS_CLAIM,INFERRED
RC-9011035652-2-SURRENDER_CLAIM-C1-20190515,9011035652,SURRENDER_CLAIM,0560,,0,RC-9011035652-1-DISBURSEMENT_CLAIM-C0-20190510,53.28,5,Y,CROSS_CLAIM,INFERRED
RC-9011036054-2-SURRENDER_CLAIM-C1-20190308,9011036054,SURRENDER_CLAIM,0561,,0,RC-9011036054-1-DISBURSEMENT_CLAIM-C0-20190214,278.46,22,Y,CROSS_CLAIM,MODERATE_CONFIDENCE
RC-9011039701-2-SURRENDER_CLAIM-C5-20230514,9011039701,SURRENDER_CLAIM,0561,,0,RC-9011039701-1-DEATH_CLAIM-C0-20230414,10000.0,30,Y,CROSS_CLAIM,MODERATE_CONFIDENCE
RC-9011053428-1-DISBURSEMENT_CLAIM-C0-20180807,9011053428,DISBURSEMENT_CLAIM,,0090,0,RC-9011053428-1-DEATH_CLAIM-C0-20180726,45105.03,12,Y,CROSS_CLAIM,HIGH_CONFIDENCE
RC-9011054606-2-SURRENDER_CLAIM-C0-20180324,9011054606,SURRENDER_CLAIM,0561,,0,RC-9011054606-1-DISBURSEMENT_CLAIM-C0-20180419,58.59,26,Y,CROSS_CLAIM,MODERATE_CONFIDENCE
RC-9011057904-1-SURRENDER_CLAIM-C6-20231024,9011057904,SURRENDER_CLAIM,,,0,RC-9011057904-1-DISBURSEMENT_CLAIM-C0-20231016,33.16,8,Y,CROSS_CLAIM,LOW_CONFIDENCE
RC-9011057904-2-SURRENDER_CLAIM-C0-20231024,9011057904,SURRENDER_CLAIM,0560,,0,RC-9011057904-1-DISBURSEMENT_CLAIM-C0-20231016,33.16,8,Y,CROSS_CLAIM,INFERRED
