reconstructed_claim_id,policy_number,claim_family,payout_event_count,payout_total,funding_total,staged_settlement_flag,beneficiary_distribution_ready,confidence_level,notes
RC-9010150910-1-DEATH_CLAIM-C0-20200423,9010150910,DEATH_CLAIM,4,1134.57,1000.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010407533-1-DEATH_CLAIM-C0-20250911,9010407533,DEATH_CLAIM,4,9206.17,4658.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010411499-1-DEATH_CLAIM-C0-20200830,9010411499,DEATH_CLAIM,2,20934.25,16803.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010411727-1-DEATH_CLAIM-C0-20190315,9010411727,DEATH_CLAIM,2,17235.67,10000.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010415834-1-DEATH_CLAIM-C0-20200601,9010415834,DEATH_CLAIM,2,9380.63,4831.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010426657-1-DISBURSEMENT_CLAIM-C0-20221122,9010426657,DISBURSEMENT_CLAIM,2,968.98,0.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010426858-1-DEATH_CLAIM-C0-20181213,9010426858,DEATH_CLAIM,2,14301.78,8454.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010426961-1-DEATH_CLAIM-C0-20260125,9010426961,DEATH_CLAIM,2,22043.15,11304.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010428771-1-DEATH_CLAIM-C0-20200311,9010428771,DEATH_CLAIM,2,10023.62,22491.62,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010429259-1-DEATH_CLAIM-C0-20200707,9010429259,DEATH_CLAIM,3,17507.35,10082.31,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010433786-1-DEATH_CLAIM-C0-20180514,9010433786,DEATH_CLAIM,2,10592.28,5790.93,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010434747-1-DEATH_CLAIM-C0-20190326,9010434747,DEATH_CLAIM,4,8205.59,4816.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010434747-1-DEATH_CLAIM-C1-20190719,9010434747,DEATH_CLAIM,4,8205.6,0.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010434747-1-DISBURSEMENT_CLAIM-C0-20190719,9010434747,DISBURSEMENT_CLAIM,4,8205.6,0.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010434876-1-DEATH_CLAIM-C0-20230302,9010434876,DEATH_CLAIM,4,9032.41,5120.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010436691-1-DEATH_CLAIM-C0-20201203,9010436691,DEATH_CLAIM,2,5556.76,3198.73,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010436955-1-DEATH_CLAIM-C0-20230930,9010436955,DEATH_CLAIM,2,8082.47,4294.98,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010438821-1-DEATH_CLAIM-C0-20190402,9010438821,DEATH_CLAIM,5,15476.47,11383.07,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010440345-1-DEATH_CLAIM-C0-20220822,9010440345,DEATH_CLAIM,2,6520.25,3619.82,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010440370-1-DEATH_CLAIM-C0-20220129,9010440370,DEATH_CLAIM,3,10545.74,5651.57,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010441927-1-DEATH_CLAIM-C0-20210221,9010441927,DEATH_CLAIM,2,9352.26,5016.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010445719-1-DEATH_CLAIM-C0-20180329,9010445719,DEATH_CLAIM,4,12296.69,6978.48,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010449512-1-DEATH_CLAIM-C0-20200418,9010449512,DEATH_CLAIM,2,4718.07,2824.26,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010452516-1-DEATH_CLAIM-C0-20190323,9010452516,DEATH_CLAIM,2,16545.56,9214.56,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010454002-1-DEATH_CLAIM-C0-20230424,9010454002,DEATH_CLAIM,2,13678.89,14033.95,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010459653-1-DEATH_CLAIM-C0-20240313,9010459653,DEATH_CLAIM,3,14892.78,8296.41,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010463161-1-DEATH_CLAIM-C0-20220117,9010463161,DEATH_CLAIM,3,27041.2,20000.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010464590-1-DEATH_CLAIM-C0-20200118,9010464590,DEATH_CLAIM,4,3044.59,3044.59,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010464870-1-DEATH_CLAIM-C0-20240121,9010464870,DEATH_CLAIM,4,2959.7,3743.18,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010469984-1-DEATH_CLAIM-C0-20220117,9010469984,DEATH_CLAIM,3,6814.95,5000.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010473866-1-DISBURSEMENT_CLAIM-C0-20240423,9010473866,DISBURSEMENT_CLAIM,3,36564.48,0.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010474519-1-DEATH_CLAIM-C0-20180423,9010474519,DEATH_CLAIM,4,11342.25,7534.22,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010475850-1-DEATH_CLAIM-C0-20180522,9010475850,DEATH_CLAIM,4,4379.07,2740.43,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010476803-1-DEATH_CLAIM-C0-20180107,9010476803,DEATH_CLAIM,6,4859.27,5791.48,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010477512-1-DEATH_CLAIM-C0-20201122,9010477512,DEATH_CLAIM,3,11019.57,8177.99,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010478574-1-DEATH_CLAIM-C0-20200218,9010478574,DEATH_CLAIM,3,5660.56,5660.56,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010479749-1-DEATH_CLAIM-C0-20260105,9010479749,DEATH_CLAIM,3,7672.38,4088.24,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010484821-1-DEATH_CLAIM-C0-20190417,9010484821,DEATH_CLAIM,3,5269.48,3043.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010489508-1-DEATH_CLAIM-C0-20200127,9010489508,DEATH_CLAIM,2,8630.11,5016.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010498153-1-DEATH_CLAIM-C0-20240405,9010498153,DEATH_CLAIM,2,8136.19,5000.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010498260-1-DEATH_CLAIM-C0-20240415,9010498260,DEATH_CLAIM,3,4492.19,2709.84,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010499702-1-DEATH_CLAIM-C0-20220210,9010499702,DEATH_CLAIM,4,14314.77,8627.86,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010500769-1-DEATH_CLAIM-C0-20230824,9010500769,DEATH_CLAIM,2,10023.14,10023.14,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010514051-1-DEATH_CLAIM-C0-20241117,9010514051,DEATH_CLAIM,2,9083.81,5000.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010517231-1-DEATH_CLAIM-C0-20250803,9010517231,DEATH_CLAIM,4,8443.85,4516.62,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010578820-1-DEATH_CLAIM-C0-20200118,9010578820,DEATH_CLAIM,4,1539.7,1539.7,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010607249-1-DEATH_CLAIM-C0-20221102,9010607249,DEATH_CLAIM,3,9672.81,6332.84,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010742224-1-DEATH_CLAIM-C0-20220411,9010742224,DEATH_CLAIM,2,25060.22,25000.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010745344-1-DEATH_CLAIM-C0-20180225,9010745344,DEATH_CLAIM,2,40170.01,40170.01,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010745640-1-DEATH_CLAIM-C0-20230901,9010745640,DEATH_CLAIM,3,15076.12,15076.12,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010746498-1-DEATH_CLAIM-C0-20181005,9010746498,DEATH_CLAIM,3,50041.07,50000.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010747241-1-DEATH_CLAIM-C0-20180806,9010747241,DEATH_CLAIM,4,14770.08,14770.08,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010748300-1-DEATH_CLAIM-C0-20200327,9010748300,DEATH_CLAIM,4,15977.88,25000.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010748404-1-DEATH_CLAIM-C0-20181106,9010748404,DEATH_CLAIM,8,20088.04,30088.04,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010752513-1-DISBURSEMENT_CLAIM-C1-20200330,9010752513,DISBURSEMENT_CLAIM,3,54.75,0.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010753311-1-DEATH_CLAIM-C0-20210730,9010753311,DEATH_CLAIM,2,9031.0,9031.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010754964-1-DEATH_CLAIM-C1-20200130,9010754964,DEATH_CLAIM,5,11363.45,44.89,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010756033-1-DEATH_CLAIM-C0-20231027,9010756033,DEATH_CLAIM,7,11408.8,11408.8,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010756034-1-DEATH_CLAIM-C0-20180911,9010756034,DEATH_CLAIM,3,22357.51,22014.71,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010757508-1-DEATH_CLAIM-C0-20200305,9010757508,DEATH_CLAIM,3,3926.45,3926.45,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010757536-1-DEATH_CLAIM-C0-20230918,9010757536,DEATH_CLAIM,3,12722.03,12685.72,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010757542-1-DEATH_CLAIM-C0-20180120,9010757542,DEATH_CLAIM,5,8156.69,8156.69,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010757817-1-DEATH_CLAIM-C0-20180318,9010757817,DEATH_CLAIM,2,10413.54,10386.19,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010759559-1-DEATH_CLAIM-C0-20190525,9010759559,DEATH_CLAIM,4,10019.36,15019.36,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010759559-1-DEATH_CLAIM-C1-20190826,9010759559,DEATH_CLAIM,2,27500.0,0.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010760865-1-DEATH_CLAIM-C0-20200505,9010760865,DEATH_CLAIM,4,6901.24,6901.24,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010760872-1-DEATH_CLAIM-C0-20190309,9010760872,DEATH_CLAIM,3,12000.0,12000.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010761804-1-DISBURSEMENT_CLAIM-C1-20230313,9010761804,DISBURSEMENT_CLAIM,2,29669.28,0.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010761882-1-DEATH_CLAIM-C0-20200722,9010761882,DEATH_CLAIM,3,60118.74,60000.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010761943-1-DEATH_CLAIM-C0-20200109,9010761943,DEATH_CLAIM,4,8975.78,8975.78,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010762319-1-DEATH_CLAIM-C0-20240625,9010762319,DEATH_CLAIM,2,25018.86,25018.86,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010762319-1-DISBURSEMENT_CLAIM-C1-20220715,9010762319,DISBURSEMENT_CLAIM,2,110.42,0.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010763006-1-DEATH_CLAIM-C0-20231228,9010763006,DEATH_CLAIM,3,75274.48,90290.87,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010764348-1-DEATH_CLAIM-C0-20180920,9010764348,DEATH_CLAIM,3,29467.34,29501.03,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010764374-1-DEATH_CLAIM-C0-20191206,9010764374,DEATH_CLAIM,3,9000.0,9000.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010764812-1-DEATH_CLAIM-C0-20230809,9010764812,DEATH_CLAIM,5,21756.17,21756.17,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010764834-1-DEATH_CLAIM-C0-20180326,9010764834,DEATH_CLAIM,2,21070.44,31563.46,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010764837-1-DEATH_CLAIM-C0-20241025,9010764837,DEATH_CLAIM,2,8966.75,8966.75,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010764842-1-DEATH_CLAIM-C0-20220511,9010764842,DEATH_CLAIM,3,15030.25,15030.25,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010766910-1-DEATH_CLAIM-C0-20230726,9010766910,DEATH_CLAIM,4,10000.0,10000.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010768069-1-DEATH_CLAIM-C0-20210614,9010768069,DEATH_CLAIM,5,5006.36,5006.36,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010768069-1-DEATH_CLAIM-C1-20240411,9010768069,DEATH_CLAIM,2,2002.56,0.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010768629-1-DEATH_CLAIM-C0-20201016,9010768629,DEATH_CLAIM,3,5000.0,5000.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010770571-1-DEATH_CLAIM-C0-20231009,9010770571,DEATH_CLAIM,2,25026.91,25000.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010771111-1-DEATH_CLAIM-C0-20200430,9010771111,DEATH_CLAIM,2,29840.23,50000.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010771580-1-DEATH_CLAIM-C0-20220406,9010771580,DEATH_CLAIM,7,22575.7,20089.71,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010771662-1-DEATH_CLAIM-C0-20220923,9010771662,DEATH_CLAIM,3,46125.62,46012.47,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010773088-1-DEATH_CLAIM-C0-20190223,9010773088,DEATH_CLAIM,2,10025.48,10025.48,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010774109-1-DEATH_CLAIM-C0-20201120,9010774109,DEATH_CLAIM,2,9942.49,10540.71,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010775323-1-DEATH_CLAIM-C0-20200925,9010775323,DEATH_CLAIM,6,12750.12,12750.12,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010777043-1-DEATH_CLAIM-C0-20191019,9010777043,DEATH_CLAIM,2,25003.82,25000.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010777546-1-DEATH_CLAIM-C0-20231209,9010777546,DEATH_CLAIM,3,25132.78,25050.28,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010778142-1-DEATH_CLAIM-C0-20190227,9010778142,DEATH_CLAIM,3,5387.67,5387.67,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010778262-1-DEATH_CLAIM-C0-20190222,9010778262,DEATH_CLAIM,6,19778.26,29102.32,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010778262-1-DEATH_CLAIM-C1-20190604,9010778262,DEATH_CLAIM,3,9858.54,0.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010778299-1-DISBURSEMENT_CLAIM-C0-20221004,9010778299,DISBURSEMENT_CLAIM,5,7555.26,0.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010778474-1-DEATH_CLAIM-C0-20210508,9010778474,DEATH_CLAIM,2,8479.28,8479.28,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010778841-1-DEATH_CLAIM-C0-20180326,9010778841,DEATH_CLAIM,3,33488.31,33430.41,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010778841-1-DISBURSEMENT_CLAIM-C0-20180502,9010778841,DISBURSEMENT_CLAIM,2,22325.54,0.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010778914-1-DEATH_CLAIM-C0-20190324,9010778914,DEATH_CLAIM,4,13715.77,13480.32,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010779197-1-DEATH_CLAIM-C0-20250706,9010779197,DEATH_CLAIM,2,20385.14,20336.48,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010779736-1-DEATH_CLAIM-C0-20201126,9010779736,DEATH_CLAIM,2,20371.99,20337.29,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010780003-1-DEATH_CLAIM-C0-20231018,9010780003,DEATH_CLAIM,2,6048.26,6048.26,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010780050-1-DEATH_CLAIM-C0-20220714,9010780050,DEATH_CLAIM,2,50044.15,50000.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010780403-1-DEATH_CLAIM-C0-20190722,9010780403,DEATH_CLAIM,2,25317.58,25317.58,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010781117-1-DEATH_CLAIM-C0-20180616,9010781117,DEATH_CLAIM,3,14279.04,14053.94,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010782822-1-DEATH_CLAIM-C0-20180711,9010782822,DEATH_CLAIM,4,5054.02,5054.02,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010783086-1-DEATH_CLAIM-C0-20240518,9010783086,DEATH_CLAIM,2,38709.03,38682.22,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010783502-1-DEATH_CLAIM-C0-20210919,9010783502,DEATH_CLAIM,6,14242.45,21316.36,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010783502-1-DEATH_CLAIM-C1-20220131,9010783502,DEATH_CLAIM,3,7073.91,0.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010785049-1-DEATH_CLAIM-C0-20200503,9010785049,DEATH_CLAIM,2,15651.06,25000.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010786152-1-DISBURSEMENT_CLAIM-C0-20220621,9010786152,DISBURSEMENT_CLAIM,2,7935.67,0.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010786243-1-DEATH_CLAIM-C0-20200801,9010786243,DEATH_CLAIM,2,21899.8,21899.8,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010786312-1-DEATH_CLAIM-C0-20230726,9010786312,DEATH_CLAIM,2,14961.58,14961.58,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010786878-1-DEATH_CLAIM-C0-20241108,9010786878,DEATH_CLAIM,2,13826.04,13782.59,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010787147-1-DEATH_CLAIM-C0-20240218,9010787147,DEATH_CLAIM,5,28644.09,28644.09,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010787390-1-DEATH_CLAIM-C0-20180727,9010787390,DEATH_CLAIM,2,40058.84,40000.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010789375-1-DEATH_CLAIM-C0-20200926,9010789375,DEATH_CLAIM,4,6960.43,6881.12,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010790755-1-DEATH_CLAIM-C0-20210826,9010790755,DEATH_CLAIM,4,8177.72,8177.72,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010793722-1-DEATH_CLAIM-C0-20191211,9010793722,DEATH_CLAIM,3,14481.98,14473.65,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010794520-1-DEATH_CLAIM-C0-20180521,9010794520,DEATH_CLAIM,2,5016.0,5016.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010795612-1-DEATH_CLAIM-C0-20250224,9010795612,DEATH_CLAIM,2,12247.74,12247.74,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010798024-1-DEATH_CLAIM-C0-20250117,9010798024,DEATH_CLAIM,2,28003.99,28000.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
RC-9010799083-1-DEATH_CLAIM-C0-20190522,9010799083,DEATH_CLAIM,2,25000.0,25000.0,Y,FUTURE,MODERATE_CONFIDENCE,Future-ready multi-payout analysis; no production DBF generation
