reconstructed_claim_id,policy_number,payee_distribution_status,payout_sequence,payout_code,payout_date,payout_amount,assigned_name_id,assigned_relate_code,assignment_basis,inferred_share_pct,confidence_level
RC-9010368703-1-DEATH_CLAIM-C0-20210114,9010368703,SINGLE_PAYEE_MATCH,1,0094,20210114,12890.67,696436,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010371171-1-DEATH_CLAIM-C0-20240624,9010371171,SINGLE_PAYEE_MATCH,1,0094,20240624,12834.01,696442,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010374779-1-DEATH_CLAIM-C0-20200530,9010374779,SINGLE_PAYEE_MATCH,1,0094,20200530,8353.43,696461,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010376540-1-DEATH_CLAIM-C0-20181014,9010376540,MULTI_BENEFICIARY_SPLIT,1,0094,20181014,5810.61,701011,PE,MULTI_BENEFICIARY_ORDER,,MODERATE_CONFIDENCE
RC-9010376540-1-DEATH_CLAIM-C0-20181014,9010376540,MULTI_BENEFICIARY_SPLIT,2,0094,20181014,5896.15,701011,B1,MULTI_BENEFICIARY_ORDER,,MODERATE_CONFIDENCE
RC-9010376540-1-DEATH_CLAIM-C1-20190220,9010376540,SINGLE_PAYEE_MATCH,1,0094,20190220,5810.61,701011,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010378710-1-DEATH_CLAIM-C0-20210210,9010378710,SINGLE_PAYEE_MATCH,1,0094,20210210,6715.85,696488,PE,EXPLICIT_PE,100.00,INFERRED
RC-9010378829-1-DEATH_CLAIM-C0-20210829,9010378829,SINGLE_PAYEE_MATCH,1,0094,20210829,7174.45,600763,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010382520-1-DEATH_CLAIM-C0-20200820,9010382520,SINGLE_PAYEE_MATCH,1,0094,20200820,7807.24,590407,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010382931-1-DEATH_CLAIM-C0-20220210,9010382931,SINGLE_PAYEE_MATCH,1,0094,20220210,17290.3,590409,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010385491-1-DEATH_CLAIM-C0-20190501,9010385491,MULTI_BENEFICIARY_SPLIT,1,0094,20190501,6000.23,696567,PE,MULTI_BENEFICIARY_ORDER,,HIGH_CONFIDENCE
RC-9010385491-1-DEATH_CLAIM-C0-20190501,9010385491,MULTI_BENEFICIARY_SPLIT,2,0094,20190501,1999.86,696568,PE,MULTI_BENEFICIARY_ORDER,,HIGH_CONFIDENCE
RC-9010385491-1-DEATH_CLAIM-C0-20190501,9010385491,MULTI_BENEFICIARY_SPLIT,3,0094,20190501,1999.86,696569,PE,MULTI_BENEFICIARY_ORDER,,HIGH_CONFIDENCE
RC-9010385491-1-DEATH_CLAIM-C0-20190501,9010385491,MULTI_BENEFICIARY_SPLIT,4,0094,20190501,1999.86,696570,PE,MULTI_BENEFICIARY_ORDER,,HIGH_CONFIDENCE
RC-9010385491-1-DEATH_CLAIM-C1-20210707,9010385491,SINGLE_PAYEE_MATCH,1,0094,20210707,5999.58,696567,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010389651-1-DEATH_CLAIM-C0-20240727,9010389651,SINGLE_PAYEE_MATCH,1,0094,20240727,22352.18,696590,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010391359-1-DEATH_CLAIM-C0-20211119,9010391359,SINGLE_PAYEE_MATCH,1,0094,20211119,1260.06,627639,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010392763-1-DEATH_CLAIM-C0-20220408,9010392763,TRUSTEE_MANAGED_DISTRIBUTION,1,0094,20220408,1274.5,704465,PW,TRUSTEE_PRECEDENCE,,MODERATE_CONFIDENCE
RC-9010392763-1-DEATH_CLAIM-C0-20220408,9010392763,TRUSTEE_MANAGED_DISTRIBUTION,2,0094,20220408,1274.5,704465,PW,TRUSTEE_PRECEDENCE,,MODERATE_CONFIDENCE
RC-9010392763-1-DEATH_CLAIM-C0-20220408,9010392763,TRUSTEE_MANAGED_DISTRIBUTION,3,0094,20220408,1274.5,704465,PW,TRUSTEE_PRECEDENCE,,MODERATE_CONFIDENCE
RC-9010392763-1-DEATH_CLAIM-C0-20220408,9010392763,TRUSTEE_MANAGED_DISTRIBUTION,4,0094,20220408,1274.51,704465,PW,TRUSTEE_PRECEDENCE,,MODERATE_CONFIDENCE
RC-9010393158-1-DEATH_CLAIM-C0-20210207,9010393158,SINGLE_PAYEE_MATCH,1,0094,20210207,11321.7,587839,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010394249-1-DEATH_CLAIM-C0-20240916,9010394249,SINGLE_PAYEE_MATCH,1,0094,20240916,13044.15,697448,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010394662-1-DEATH_CLAIM-C0-20211009,9010394662,SINGLE_PAYEE_MATCH,1,0094,20211009,4928.4,689946,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010395382-1-DEATH_CLAIM-C0-20240528,9010395382,SINGLE_PAYEE_MATCH,1,0094,20240528,4012.31,627639,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010395878-1-DEATH_CLAIM-C0-20180113,9010395878,SINGLE_PAYEE_MATCH,1,0094,20180113,7158.62,587905,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010395879-1-DEATH_CLAIM-C0-20230114,9010395879,MULTI_BENEFICIARY_SPLIT,1,0094,20230308,702.33,587905,PE,MULTI_BENEFICIARY_ORDER,14.29,HIGH_CONFIDENCE
RC-9010395879-1-DEATH_CLAIM-C0-20230114,9010395879,MULTI_BENEFICIARY_SPLIT,2,0094,20230308,702.33,712147,PE,MULTI_BENEFICIARY_ORDER,14.29,HIGH_CONFIDENCE
RC-9010395879-1-DEATH_CLAIM-C0-20230114,9010395879,MULTI_BENEFICIARY_SPLIT,3,0094,20230308,702.32,712149,PE,MULTI_BENEFICIARY_ORDER,14.29,HIGH_CONFIDENCE
RC-9010395879-1-DEATH_CLAIM-C0-20230114,9010395879,MULTI_BENEFICIARY_SPLIT,4,0094,20230308,702.32,712150,PE,MULTI_BENEFICIARY_ORDER,14.29,HIGH_CONFIDENCE
RC-9010395879-1-DEATH_CLAIM-C0-20230114,9010395879,MULTI_BENEFICIARY_SPLIT,5,0094,20230308,702.32,712151,PE,MULTI_BENEFICIARY_ORDER,14.29,HIGH_CONFIDENCE
RC-9010395879-1-DEATH_CLAIM-C0-20230114,9010395879,MULTI_BENEFICIARY_SPLIT,6,0094,20230308,702.32,712152,PE,MULTI_BENEFICIARY_ORDER,14.29,HIGH_CONFIDENCE
RC-9010395879-1-DEATH_CLAIM-C0-20230114,9010395879,MULTI_BENEFICIARY_SPLIT,7,0094,20230321,702.32,712153,PE,MULTI_BENEFICIARY_ORDER,14.29,HIGH_CONFIDENCE
RC-9010396147-1-DEATH_CLAIM-C0-20250106,9010396147,SINGLE_PAYEE_MATCH,1,0094,20250106,10133.83,708165,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010397318-1-DEATH_CLAIM-C0-20200409,9010397318,TRUSTEE_MANAGED_DISTRIBUTION,1,0094,20200409,1825.4,707078,PW,TRUSTEE_PRECEDENCE,,MODERATE_CONFIDENCE
RC-9010397318-1-DEATH_CLAIM-C0-20200409,9010397318,TRUSTEE_MANAGED_DISTRIBUTION,2,0094,20200409,1800.63,707078,PW,TRUSTEE_PRECEDENCE,,MODERATE_CONFIDENCE
RC-9010397945-1-DEATH_CLAIM-C0-20211113,9010397945,SINGLE_PAYEE_MATCH,1,0094,20211113,5367.56,587950,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010398274-1-DEATH_CLAIM-C0-20240313,9010398274,MULTI_BENEFICIARY_SPLIT,1,0094,20240313,3772.23,712804,PE,MULTI_BENEFICIARY_ORDER,25.00,HIGH_CONFIDENCE
RC-9010398274-1-DEATH_CLAIM-C0-20240313,9010398274,MULTI_BENEFICIARY_SPLIT,2,0094,20240313,3772.22,712805,PE,MULTI_BENEFICIARY_ORDER,25.00,HIGH_CONFIDENCE
RC-9010398274-1-DEATH_CLAIM-C0-20240313,9010398274,MULTI_BENEFICIARY_SPLIT,3,0094,20240313,3772.23,712806,PE,MULTI_BENEFICIARY_ORDER,25.00,HIGH_CONFIDENCE
RC-9010398274-1-DEATH_CLAIM-C0-20240313,9010398274,MULTI_BENEFICIARY_SPLIT,4,0094,20240313,3772.23,712807,PE,MULTI_BENEFICIARY_ORDER,25.00,HIGH_CONFIDENCE
RC-9010398591-1-DEATH_CLAIM-C0-20190827,9010398591,MULTI_BENEFICIARY_SPLIT,1,0094,20190827,1298.12,587967,PE,MULTI_BENEFICIARY_ORDER,11.11,HIGH_CONFIDENCE
RC-9010398591-1-DEATH_CLAIM-C0-20190827,9010398591,MULTI_BENEFICIARY_SPLIT,2,0094,20190827,1298.13,697223,PE,MULTI_BENEFICIARY_ORDER,11.11,HIGH_CONFIDENCE
RC-9010398591-1-DEATH_CLAIM-C0-20190827,9010398591,MULTI_BENEFICIARY_SPLIT,3,0094,20190827,1298.13,697224,PE,MULTI_BENEFICIARY_ORDER,11.11,HIGH_CONFIDENCE
RC-9010398591-1-DEATH_CLAIM-C0-20190827,9010398591,MULTI_BENEFICIARY_SPLIT,4,0094,20190827,1298.13,697225,PE,MULTI_BENEFICIARY_ORDER,11.11,HIGH_CONFIDENCE
RC-9010398591-1-DEATH_CLAIM-C0-20190827,9010398591,MULTI_BENEFICIARY_SPLIT,5,0094,20190827,1298.12,697226,PE,MULTI_BENEFICIARY_ORDER,11.11,HIGH_CONFIDENCE
RC-9010398591-1-DEATH_CLAIM-C0-20190827,9010398591,MULTI_BENEFICIARY_SPLIT,6,0094,20190827,1298.12,697227,PE,MULTI_BENEFICIARY_ORDER,11.11,HIGH_CONFIDENCE
RC-9010398591-1-DEATH_CLAIM-C0-20190827,9010398591,MULTI_BENEFICIARY_SPLIT,7,0094,20190827,1298.12,697228,PE,MULTI_BENEFICIARY_ORDER,11.11,HIGH_CONFIDENCE
RC-9010398591-1-DEATH_CLAIM-C0-20190827,9010398591,MULTI_BENEFICIARY_SPLIT,8,0094,20190827,1298.12,697229,PE,MULTI_BENEFICIARY_ORDER,11.11,HIGH_CONFIDENCE
RC-9010398591-1-DEATH_CLAIM-C0-20190827,9010398591,MULTI_BENEFICIARY_SPLIT,9,0094,20190827,1298.12,697230,PE,MULTI_BENEFICIARY_ORDER,11.11,HIGH_CONFIDENCE
RC-9010401181-1-DEATH_CLAIM-C0-20180316,9010401181,SINGLE_PAYEE_MATCH,1,0094,20180316,8600.48,703423,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010402010-1-DEATH_CLAIM-C0-20221021,9010402010,SINGLE_PAYEE_MATCH,1,0094,20221021,8920.15,588001,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010402014-1-DEATH_CLAIM-C0-20230913,9010402014,SINGLE_PAYEE_MATCH,1,0094,20230913,4290.22,689946,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010403922-1-DEATH_CLAIM-C0-20240412,9010403922,TRUSTEE_MANAGED_DISTRIBUTION,1,0094,20240412,9666.78,709992,PW,TRUSTEE_PRECEDENCE,,MODERATE_CONFIDENCE
RC-9010404857-1-DEATH_CLAIM-C0-20180118,9010404857,SINGLE_PAYEE_MATCH,1,0094,20180118,6292.7,707137,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010406795-1-DEATH_CLAIM-C0-20180706,9010406795,TRUSTEE_MANAGED_DISTRIBUTION,1,0094,20180706,8750.51,691613,PW,TRUSTEE_PRECEDENCE,,MODERATE_CONFIDENCE
RC-9010406962-1-DEATH_CLAIM-C0-20210726,9010406962,SINGLE_PAYEE_MATCH,1,0094,20210726,883.67,706888,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010407533-1-DEATH_CLAIM-C0-20250911,9010407533,MULTI_BENEFICIARY_SPLIT,1,0094,20250911,2301.55,588108,PE,MULTI_BENEFICIARY_ORDER,25.00,HIGH_CONFIDENCE
RC-9010407533-1-DEATH_CLAIM-C0-20250911,9010407533,MULTI_BENEFICIARY_SPLIT,2,0094,20250911,2301.54,588109,PE,MULTI_BENEFICIARY_ORDER,25.00,HIGH_CONFIDENCE
RC-9010407533-1-DEATH_CLAIM-C0-20250911,9010407533,MULTI_BENEFICIARY_SPLIT,3,0094,20250911,2301.54,695259,PE,MULTI_BENEFICIARY_ORDER,25.00,HIGH_CONFIDENCE
RC-9010407533-1-DEATH_CLAIM-C0-20250911,9010407533,MULTI_BENEFICIARY_SPLIT,4,0094,20250911,2301.54,695260,PE,MULTI_BENEFICIARY_ORDER,25.00,HIGH_CONFIDENCE
RC-9010410566-1-DEATH_CLAIM-C0-20230429,9010410566,SINGLE_PAYEE_MATCH,1,0094,20230429,5470.48,697767,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010410714-1-DEATH_CLAIM-C0-20190611,9010410714,TRUSTEE_MANAGED_DISTRIBUTION,1,0094,20190611,6140.25,693737,PW,TRUSTEE_PRECEDENCE,,MODERATE_CONFIDENCE
RC-9010411499-1-DEATH_CLAIM-C0-20200830,9010411499,MULTI_BENEFICIARY_SPLIT,1,0094,20200830,10467.29,711170,PE,MULTI_BENEFICIARY_ORDER,,HIGH_CONFIDENCE
RC-9010411499-1-DEATH_CLAIM-C0-20200830,9010411499,MULTI_BENEFICIARY_SPLIT,2,0094,20200831,10466.96,697780,B1,MULTI_BENEFICIARY_ORDER,,HIGH_CONFIDENCE
RC-9010411499-1-DEATH_CLAIM-C1-20210930,9010411499,SINGLE_PAYEE_MATCH,1,0094,20210930,10467.29,711170,PE,EXPLICIT_PE,100.00,INFERRED
RC-9010411727-1-DEATH_CLAIM-C0-20190315,9010411727,MULTI_BENEFICIARY_SPLIT,1,0094,20190315,8617.84,707149,PE,MULTI_BENEFICIARY_ORDER,50.00,HIGH_CONFIDENCE
RC-9010411727-1-DEATH_CLAIM-C0-20190315,9010411727,MULTI_BENEFICIARY_SPLIT,2,0094,20190315,8617.83,707150,PE,MULTI_BENEFICIARY_ORDER,50.00,HIGH_CONFIDENCE
RC-9010412522-1-DEATH_CLAIM-C0-20190718,9010412522,SINGLE_PAYEE_MATCH,1,0094,20190718,20435.43,697787,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010412526-1-DEATH_CLAIM-C0-20200727,9010412526,SINGLE_PAYEE_MATCH,1,0094,20200727,9197.24,588157,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010413417-1-DEATH_CLAIM-C0-20181227,9010413417,SINGLE_PAYEE_MATCH,1,0094,20181227,11563.2,697804,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010413628-1-DEATH_CLAIM-C0-20210531,9010413628,SINGLE_PAYEE_MATCH,1,0094,20210531,10234.54,553846,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010414235-1-DEATH_CLAIM-C0-20201120,9010414235,SINGLE_PAYEE_MATCH,1,0094,20201120,9060.74,697809,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010415834-1-DEATH_CLAIM-C0-20200601,9010415834,MULTI_BENEFICIARY_SPLIT,1,0094,20200601,9195.63,710287,PE,MULTI_BENEFICIARY_ORDER,,MODERATE_CONFIDENCE
RC-9010415834-1-DEATH_CLAIM-C0-20200601,9010415834,MULTI_BENEFICIARY_SPLIT,2,0094,20200722,185.0,697811,B1,MULTI_BENEFICIARY_ORDER,,MODERATE_CONFIDENCE
RC-9010417200-1-DEATH_CLAIM-C0-20200521,9010417200,SINGLE_PAYEE_MATCH,1,0094,20200521,3283.18,705761,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010418088-1-DEATH_CLAIM-C0-20240629,9010418088,SINGLE_PAYEE_MATCH,1,0094,20240629,10000.0,590449,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010418562-1-DEATH_CLAIM-C0-20180504,9010418562,SINGLE_PAYEE_MATCH,1,0094,20180504,6816.41,698059,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010424798-1-DEATH_CLAIM-C0-20230921,9010424798,SINGLE_PAYEE_MATCH,1,0094,20230921,8389.72,588273,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010425718-1-DEATH_CLAIM-C0-20181217,9010425718,SINGLE_PAYEE_MATCH,1,0094,20181217,6498.54,683096,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010425720-1-DEATH_CLAIM-C0-20201105,9010425720,SINGLE_PAYEE_MATCH,1,0094,20201105,1918.99,697878,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010425845-1-DEATH_CLAIM-C0-20210625,9010425845,SINGLE_PAYEE_MATCH,1,0094,20210625,7547.16,588281,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010425928-1-DEATH_CLAIM-C0-20231017,9010425928,SINGLE_PAYEE_MATCH,1,0094,20231017,11036.05,697883,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010426657-1-DEATH_CLAIM-C0-20220923,9010426657,SINGLE_PAYEE_MATCH,1,0094,20221115,484.5,697910,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010426858-1-DEATH_CLAIM-C0-20181213,9010426858,MULTI_BENEFICIARY_SPLIT,1,0094,20181213,9847.47,706008,PE,MULTI_BENEFICIARY_ORDER,,HIGH_CONFIDENCE
RC-9010426858-1-DEATH_CLAIM-C0-20181213,9010426858,MULTI_BENEFICIARY_SPLIT,2,0094,20181213,4454.31,709116,PE,MULTI_BENEFICIARY_ORDER,,HIGH_CONFIDENCE
RC-9010426961-1-DEATH_CLAIM-C0-20260125,9010426961,MULTI_BENEFICIARY_SPLIT,1,0094,20260125,6264.5,689369,PE,MULTI_BENEFICIARY_ORDER,,HIGH_CONFIDENCE
RC-9010426961-1-DEATH_CLAIM-C0-20260125,9010426961,MULTI_BENEFICIARY_SPLIT,2,0094,20260125,15778.65,692073,PE,MULTI_BENEFICIARY_ORDER,,HIGH_CONFIDENCE
RC-9010427457-1-DEATH_CLAIM-C0-20231007,9010427457,SINGLE_PAYEE_MATCH,1,0094,20231007,8367.72,697999,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010427723-1-DEATH_CLAIM-C0-20180117,9010427723,SINGLE_PAYEE_MATCH,1,0094,20180117,13503.51,708122,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010428771-1-DEATH_CLAIM-C0-20200311,9010428771,MULTI_BENEFICIARY_SPLIT,1,0094,20200311,5000.0,703174,PE,MULTI_BENEFICIARY_ORDER,,MODERATE_CONFIDENCE
RC-9010428771-1-DEATH_CLAIM-C0-20200311,9010428771,MULTI_BENEFICIARY_SPLIT,2,0094,20200311,5023.62,703174,B1,MULTI_BENEFICIARY_ORDER,,MODERATE_CONFIDENCE
RC-9010429064-1-DEATH_CLAIM-C0-20240110,9010429064,SINGLE_PAYEE_MATCH,1,0094,20240110,22711.07,709272,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010429259-1-DEATH_CLAIM-C0-20200707,9010429259,MULTI_BENEFICIARY_SPLIT,1,0094,20200707,5835.78,697976,PE,MULTI_BENEFICIARY_ORDER,33.33,HIGH_CONFIDENCE
RC-9010429259-1-DEATH_CLAIM-C0-20200707,9010429259,MULTI_BENEFICIARY_SPLIT,2,0094,20200707,5835.78,697977,PE,MULTI_BENEFICIARY_ORDER,33.33,HIGH_CONFIDENCE
RC-9010429259-1-DEATH_CLAIM-C0-20200707,9010429259,MULTI_BENEFICIARY_SPLIT,3,0094,20200707,5835.79,710004,PE,MULTI_BENEFICIARY_ORDER,33.33,HIGH_CONFIDENCE
RC-9010429532-1-DEATH_CLAIM-C0-20210810,9010429532,SINGLE_PAYEE_MATCH,1,0094,20210810,7186.35,697982,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010429558-1-DEATH_CLAIM-C0-20210821,9010429558,SINGLE_PAYEE_MATCH,1,0094,20210821,12604.44,710259,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010429958-1-DEATH_CLAIM-C0-20260221,9010429958,SINGLE_PAYEE_MATCH,1,0094,20260221,20283.84,698035,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010429965-1-DEATH_CLAIM-C0-20251105,9010429965,SINGLE_PAYEE_MATCH,1,0094,20251105,21055.31,698038,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010430023-1-DEATH_CLAIM-C0-20201201,9010430023,SINGLE_PAYEE_MATCH,1,0094,20201201,10226.15,698046,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010430086-1-DEATH_CLAIM-C0-20200112,9010430086,SINGLE_PAYEE_MATCH,1,0094,20200112,6481.27,710044,PE,EXPLICIT_PE,100.00,INFERRED
RC-9010430296-1-DEATH_CLAIM-C0-20230726,9010430296,SINGLE_PAYEE_MATCH,1,0094,20230726,11639.54,588397,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010431738-1-DEATH_CLAIM-C0-20190712,9010431738,SINGLE_PAYEE_MATCH,1,0094,20190712,8655.45,709669,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010432782-1-DEATH_CLAIM-C0-20190307,9010432782,SINGLE_PAYEE_MATCH,1,0094,20190307,10394.33,588463,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010433786-1-DEATH_CLAIM-C0-20180514,9010433786,MULTI_BENEFICIARY_SPLIT,1,0094,20180514,9952.25,645951,PE,MULTI_BENEFICIARY_ORDER,,MODERATE_CONFIDENCE
RC-9010433786-1-DEATH_CLAIM-C0-20180514,9010433786,MULTI_BENEFICIARY_SPLIT,2,0094,20180514,640.03,698100,PE,MULTI_BENEFICIARY_ORDER,,MODERATE_CONFIDENCE
RC-9010434419-1-DEATH_CLAIM-C0-20240224,9010434419,SINGLE_PAYEE_MATCH,1,0094,20240224,5603.16,588514,PE,EXPLICIT_PE,100.00,HIGH_CONFIDENCE
RC-9010434747-1-DEATH_CLAIM-C0-20190326,9010434747,MULTI_BENEFICIARY_SPLIT,1,0094,20190326,2051.4,643553,PE,MULTI_BENEFICIARY_ORDER,25.00,HIGH_CONFIDENCE
RC-9010434747-1-DEATH_CLAIM-C0-20190326,9010434747,MULTI_BENEFICIARY_SPLIT,2,0094,20190326,2051.4,643554,PE,MULTI_BENEFICIARY_ORDER,25.00,HIGH_CONFIDENCE
RC-9010434747-1-DEATH_CLAIM-C0-20190326,9010434747,MULTI_BENEFICIARY_SPLIT,3,0094,20190326,2051.4,643556,PE,MULTI_BENEFICIARY_ORDER,25.00,HIGH_CONFIDENCE
RC-9010434747-1-DEATH_CLAIM-C0-20190326,9010434747,MULTI_BENEFICIARY_SPLIT,4,0094,20190326,2051.39,643557,PE,MULTI_BENEFICIARY_ORDER,25.00,HIGH_CONFIDENCE
RC-9010434747-1-DEATH_CLAIM-C1-20190719,9010434747,MULTI_BENEFICIARY_SPLIT,1,0094,20190719,2051.4,643553,PE,MULTI_BENEFICIARY_ORDER,25.00,HIGH_CONFIDENCE
RC-9010434747-1-DEATH_CLAIM-C1-20190719,9010434747,MULTI_BENEFICIARY_SPLIT,2,0094,20190719,2051.4,643554,PE,MULTI_BENEFICIARY_ORDER,25.00,HIGH_CONFIDENCE
RC-9010434747-1-DEATH_CLAIM-C1-20190719,9010434747,MULTI_BENEFICIARY_SPLIT,3,0094,20190719,2051.4,643556,PE,MULTI_BENEFICIARY_ORDER,25.00,HIGH_CONFIDENCE
RC-9010434747-1-DEATH_CLAIM-C1-20190719,9010434747,MULTI_BENEFICIARY_SPLIT,4,0094,20190719,2051.4,643557,PE,MULTI_BENEFICIARY_ORDER,25.00,HIGH_CONFIDENCE
