reconstructed_claim_id,policy_number,payee_distribution_status,confidence_level,relationship_code_quality,payout_count_alignment,address_completeness,tax_id_completeness,confidence_rationale
RC-9010391359-3-DEATH_CLAIM-C0-20211119,9010391359,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010392763-1-DEATH_CLAIM-C0-20220408,9010392763,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE,STRONG,MATCH,Y,Y,TRUSTEE_MANAGED_DISTRIBUTION with relationship hierarchy support
RC-9010392763-2-DEATH_CLAIM-C0-20220408,9010392763,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010393158-1-DEATH_CLAIM-C0-20210207,9010393158,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010393158-2-DEATH_CLAIM-C0-20210207,9010393158,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010394249-1-DEATH_CLAIM-C0-20240916,9010394249,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010394249-2-DEATH_CLAIM-C0-20240916,9010394249,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010394662-1-DEATH_CLAIM-C0-20211009,9010394662,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010394662-2-DEATH_CLAIM-C0-20211009,9010394662,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010395382-1-DEATH_CLAIM-C0-20240528,9010395382,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010395382-2-DEATH_CLAIM-C0-20240528,9010395382,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010395878-1-DEATH_CLAIM-C0-20180113,9010395878,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010395878-2-DEATH_CLAIM-C0-20180113,9010395878,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010395879-1-DEATH_CLAIM-C0-20230114,9010395879,MULTI_BENEFICIARY_SPLIT,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Payout count aligns with beneficiary count; address present
RC-9010395879-2-DEATH_CLAIM-C0-20230114,9010395879,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010396147-1-DEATH_CLAIM-C0-20250106,9010396147,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010396147-2-DEATH_CLAIM-C0-20250106,9010396147,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010397318-1-DEATH_CLAIM-C0-20200409,9010397318,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE,STRONG,MATCH,Y,N,TRUSTEE_MANAGED_DISTRIBUTION with relationship hierarchy support
RC-9010397945-1-DEATH_CLAIM-C0-20211113,9010397945,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010397945-2-DEATH_CLAIM-C0-20211113,9010397945,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010398274-1-DEATH_CLAIM-C0-20240313,9010398274,MULTI_BENEFICIARY_SPLIT,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Payout count aligns with beneficiary count; address present
RC-9010398274-2-DEATH_CLAIM-C0-20240313,9010398274,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010398591-1-DEATH_CLAIM-C0-20190827,9010398591,MULTI_BENEFICIARY_SPLIT,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Payout count aligns with beneficiary count; address present
RC-9010398591-2-DEATH_CLAIM-C0-20190827,9010398591,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010401181-1-DEATH_CLAIM-C0-20180316,9010401181,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010401181-2-DEATH_CLAIM-C0-20180316,9010401181,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010402010-1-DEATH_CLAIM-C0-20221021,9010402010,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010402014-1-DEATH_CLAIM-C0-20230913,9010402014,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010403922-1-DEATH_CLAIM-C0-20240412,9010403922,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE,STRONG,MATCH,Y,Y,TRUSTEE_MANAGED_DISTRIBUTION with relationship hierarchy support
RC-9010403922-2-DEATH_CLAIM-C0-20240412,9010403922,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010404857-1-DEATH_CLAIM-C0-20180118,9010404857,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010406795-1-DEATH_CLAIM-C0-20180706,9010406795,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE,STRONG,MATCH,Y,Y,TRUSTEE_MANAGED_DISTRIBUTION with relationship hierarchy support
RC-9010406795-2-DEATH_CLAIM-C0-20180706,9010406795,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010406962-1-DEATH_CLAIM-C0-20210726,9010406962,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010407533-1-DEATH_CLAIM-C0-20250911,9010407533,MULTI_BENEFICIARY_SPLIT,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Payout count aligns with beneficiary count; address present
RC-9010407533-2-DEATH_CLAIM-C0-20250911,9010407533,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010410566-1-DEATH_CLAIM-C0-20230429,9010410566,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010410566-2-DEATH_CLAIM-C0-20230429,9010410566,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010410714-1-DEATH_CLAIM-C0-20190611,9010410714,TRUSTEE_MANAGED_DISTRIBUTION,MODERATE_CONFIDENCE,STRONG,MATCH,Y,Y,TRUSTEE_MANAGED_DISTRIBUTION with relationship hierarchy support
RC-9010410714-2-DEATH_CLAIM-C0-20190611,9010410714,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010411499-1-DEATH_CLAIM-C0-20200830,9010411499,MULTI_BENEFICIARY_SPLIT,HIGH_CONFIDENCE,STRONG,MATCH,Y,N,Payout count aligns with beneficiary count; address present
RC-9010411499-1-DEATH_CLAIM-C1-20210930,9010411499,SINGLE_PAYEE_MATCH,INFERRED,STRONG,MATCH,Y,N,Rule-based default payee distribution inference
RC-9010411499-2-DEATH_CLAIM-C0-20200830,9010411499,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,N,No deterministic payee assignment available
RC-9010411727-1-DEATH_CLAIM-C0-20190315,9010411727,MULTI_BENEFICIARY_SPLIT,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Payout count aligns with beneficiary count; address present
RC-9010412522-1-DEATH_CLAIM-C0-20190718,9010412522,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010412522-2-DEATH_CLAIM-C0-20190718,9010412522,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010412526-1-DEATH_CLAIM-C0-20200727,9010412526,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010412526-2-DEATH_CLAIM-C0-20200727,9010412526,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010413417-1-DEATH_CLAIM-C0-20181227,9010413417,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010413417-2-DEATH_CLAIM-C0-20181227,9010413417,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010413628-1-DEATH_CLAIM-C0-20210531,9010413628,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010413628-2-DEATH_CLAIM-C0-20210531,9010413628,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010414235-1-DEATH_CLAIM-C0-20201120,9010414235,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010414235-2-DEATH_CLAIM-C0-20201120,9010414235,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010415834-1-DEATH_CLAIM-C0-20200601,9010415834,MULTI_BENEFICIARY_SPLIT,MODERATE_CONFIDENCE,STRONG,MATCH,Y,N,MULTI_BENEFICIARY_SPLIT with relationship hierarchy support
RC-9010415834-2-DEATH_CLAIM-C0-20200601,9010415834,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,N,No deterministic payee assignment available
RC-9010417200-1-DEATH_CLAIM-C0-20200521,9010417200,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010417200-2-DEATH_CLAIM-C0-20200521,9010417200,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010418088-1-DEATH_CLAIM-C0-20240629,9010418088,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010418562-1-DEATH_CLAIM-C0-20180504,9010418562,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010418562-2-DEATH_CLAIM-C0-20180504,9010418562,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010424798-1-DEATH_CLAIM-C0-20230921,9010424798,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010424798-2-DEATH_CLAIM-C0-20230921,9010424798,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010425718-1-DEATH_CLAIM-C0-20181217,9010425718,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010425718-2-DEATH_CLAIM-C0-20181217,9010425718,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010425720-1-DEATH_CLAIM-C0-20201105,9010425720,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010425720-2-DEATH_CLAIM-C0-20201105,9010425720,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010425845-1-DEATH_CLAIM-C0-20210625,9010425845,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010425928-1-DEATH_CLAIM-C0-20231017,9010425928,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010425928-2-DEATH_CLAIM-C0-20231017,9010425928,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010426657-1-DEATH_CLAIM-C0-20220923,9010426657,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010426657-2-DEATH_CLAIM-C0-20220923,9010426657,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010426858-1-DEATH_CLAIM-C0-20181213,9010426858,MULTI_BENEFICIARY_SPLIT,HIGH_CONFIDENCE,STRONG,MATCH,Y,N,Payout count aligns with beneficiary count; address present
RC-9010426858-2-DEATH_CLAIM-C0-20181213,9010426858,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,N,No deterministic payee assignment available
RC-9010426961-1-DEATH_CLAIM-C0-20260125,9010426961,MULTI_BENEFICIARY_SPLIT,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Payout count aligns with beneficiary count; address present
RC-9010426961-2-DEATH_CLAIM-C0-20260125,9010426961,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010427457-1-DEATH_CLAIM-C0-20231007,9010427457,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010427457-2-DEATH_CLAIM-C0-20231007,9010427457,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010427723-1-DEATH_CLAIM-C0-20180117,9010427723,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010427723-2-DEATH_CLAIM-C0-20180117,9010427723,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010428771-1-DEATH_CLAIM-C0-20200311,9010428771,MULTI_BENEFICIARY_SPLIT,MODERATE_CONFIDENCE,STRONG,MATCH,Y,Y,MULTI_BENEFICIARY_SPLIT with relationship hierarchy support
RC-9010428771-2-DEATH_CLAIM-C0-20200311,9010428771,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010429064-1-DEATH_CLAIM-C0-20240110,9010429064,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010429064-2-DEATH_CLAIM-C0-20240110,9010429064,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010429259-1-DEATH_CLAIM-C0-20200707,9010429259,MULTI_BENEFICIARY_SPLIT,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Payout count aligns with beneficiary count; address present
RC-9010429259-2-DEATH_CLAIM-C0-20200707,9010429259,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010429532-1-DEATH_CLAIM-C0-20210810,9010429532,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010429532-2-DEATH_CLAIM-C0-20210810,9010429532,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010429558-1-DEATH_CLAIM-C0-20210821,9010429558,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010429558-2-DEATH_CLAIM-C0-20210821,9010429558,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010429958-1-DEATH_CLAIM-C0-20260221,9010429958,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010429958-2-DEATH_CLAIM-C0-20260221,9010429958,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010429965-1-DEATH_CLAIM-C0-20251105,9010429965,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010429965-2-DEATH_CLAIM-C0-20251105,9010429965,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010430023-1-DEATH_CLAIM-C0-20201201,9010430023,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010430023-2-DEATH_CLAIM-C0-20201201,9010430023,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010430086-1-DEATH_CLAIM-C0-20200112,9010430086,SINGLE_PAYEE_MATCH,INFERRED,STRONG,MATCH,Y,N,Rule-based default payee distribution inference
RC-9010430086-2-DEATH_CLAIM-C0-20200112,9010430086,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,N,No deterministic payee assignment available
RC-9010430296-1-DEATH_CLAIM-C0-20230726,9010430296,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010430296-2-DEATH_CLAIM-C0-20230726,9010430296,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010431738-1-DEATH_CLAIM-C0-20190712,9010431738,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010431738-2-DEATH_CLAIM-C0-20190712,9010431738,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010432782-1-DEATH_CLAIM-C0-20190307,9010432782,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010432782-3-DEATH_CLAIM-C0-20190307,9010432782,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010433786-1-DEATH_CLAIM-C0-20180514,9010433786,MULTI_BENEFICIARY_SPLIT,MODERATE_CONFIDENCE,STRONG,MATCH,Y,Y,MULTI_BENEFICIARY_SPLIT with relationship hierarchy support
RC-9010433786-2-DEATH_CLAIM-C0-20180514,9010433786,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010434419-1-DEATH_CLAIM-C0-20240224,9010434419,SINGLE_PAYEE_MATCH,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Single payee match with address and tax ID completeness
RC-9010434419-2-DEATH_CLAIM-C0-20240224,9010434419,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010434747-1-DEATH_CLAIM-C0-20190326,9010434747,MULTI_BENEFICIARY_SPLIT,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Payout count aligns with beneficiary count; address present
RC-9010434747-1-DEATH_CLAIM-C1-20190719,9010434747,MULTI_BENEFICIARY_SPLIT,HIGH_CONFIDENCE,STRONG,MATCH,Y,Y,Payout count aligns with beneficiary count; address present
RC-9010434747-2-DEATH_CLAIM-C0-20190326,9010434747,PAYEE_UNRESOLVED,LOW_CONFIDENCE,STRONG,MISMATCH,Y,Y,No deterministic payee assignment available
RC-9010434876-1-DEATH_CLAIM-C0-20230302,9010434876,MULTI_BENEFICIARY_SPLIT,MODERATE_CONFIDENCE,STRONG,MATCH,Y,Y,MULTI_BENEFICIARY_SPLIT with relationship hierarchy support
