LIFEPRO,MPOLICY,TYPE_CODE,SOURCE_FIELD,LP_NFO_CODE,MNFOPT,MDIVOPT,MSTATUS
9010389651,010389651C,BA,NON_FORFEITURE,4,0,4,53
9010389802,010389802C,BA,NON_FORFEITURE,4,0,1,55
9010390061,010390061C,BA,NON_FORFEITURE,4,0,4,22
9010390251,010390251C,BA,NON_FORFEITURE,4,2,0,44
9010391004,010391004C,BA,NON_FORFEITURE,4,0,4,22
9010391355,010391355C,BA,NON_FORFEITURE,4,2,4,44
9010391411,010391411C,BA,NON_FORFEITURE,4,0,4,41
9010391422,010391422C,BA,NON_FORFEITURE,4,0,4,55
9010391582,010391582C,BA,NON_FORFEITURE,4,0,4,41
9010391679,010391679C,BA,NON_FORFEITURE,4,0,1,22
9010391840,010391840C,BA,NON_FORFEITURE,4,0,4,22
9010391841,010391841C,BA,NON_FORFEITURE,4,2,0,57
9010391876,010391876C,BA,NON_FORFEITURE,4,2,4,44
9010391878,010391878C,BA,NON_FORFEITURE,4,2,4,44
9010391895,010391895C,BA,NON_FORFEITURE,4,0,4,22
9010392117,010392117C,BA,NON_FORFEITURE,4,0,4,41
9010392138,010392138C,BA,NON_FORFEITURE,4,0,4,55
9010392493,010392493C,BA,NON_FORFEITURE,4,0,4,55
9010392763,010392763C,BA,NON_FORFEITURE,5,0,4,53
9010392930,010392930C,BA,NON_FORFEITURE,4,2,4,44
9010393142,010393142C,BA,NON_FORFEITURE,4,0,4,22
9010393143,010393143C,BA,NON_FORFEITURE,4,0,4,22
9010393158,010393158C,BA,NON_FORFEITURE,4,0,4,53
9010393181,010393181C,BA,NON_FORFEITURE,4,0,4,55
9010393401,010393401C,BA,NON_FORFEITURE,4,0,4,22
9010393899,010393899C,BA,NON_FORFEITURE,4,0,4,22
9010393931,010393931C,BA,NON_FORFEITURE,4,3,4,55
9010394249,010394249C,BA,NON_FORFEITURE,4,0,4,53
9010394353,010394353C,BA,NON_FORFEITURE,4,0,4,22
9010394662,010394662C,BA,NON_FORFEITURE,4,0,4,53
9010395098,010395098C,BA,NON_FORFEITURE,4,2,4,44
9010395211,010395211C,BA,NON_FORFEITURE,4,0,4,22
9010395382,010395382C,BA,NON_FORFEITURE,5,0,4,53
9010395411,010395411C,BA,NON_FORFEITURE,4,0,4,41
9010395761,010395761C,BA,NON_FORFEITURE,4,0,4,55
9010395878,010395878C,BA,NON_FORFEITURE,4,0,4,53
9010395879,010395879C,BA,NON_FORFEITURE,4,0,4,53
9010396147,010396147C,BA,NON_FORFEITURE,4,0,4,53
9010396186,010396186C,BA,NON_FORFEITURE,4,0,4,22
9010396425,010396425C,BA,NON_FORFEITURE,4,0,4,22
9010397118,010397118C,BA,NON_FORFEITURE,4,0,4,22
9010397318,010397318C,BA,NON_FORFEITURE,5,3,4,53
9010397493,010397493C,BA,NON_FORFEITURE,4,0,4,22
9010397528,010397528C,BA,NON_FORFEITURE,4,0,2,22
9010397583,010397583C,BA,NON_FORFEITURE,4,0,4,55
9010397945,010397945C,BA,NON_FORFEITURE,4,0,4,53
9010398274,010398274C,BA,NON_FORFEITURE,4,0,4,53
9010398471,010398471C,BA,NON_FORFEITURE,5,0,4,22
9010398475,010398475C,BA,NON_FORFEITURE,4,0,4,22
9010398591,010398591C,BA,NON_FORFEITURE,4,0,4,53
9010399927,010399927C,BA,NON_FORFEITURE,4,0,4,22
9010400462,010400462C,BA,NON_FORFEITURE,4,0,4,55
9010401087,010401087C,BA,NON_FORFEITURE,4,0,2,22
9010401181,010401181C,BA,NON_FORFEITURE,4,0,4,53
9010401210,010401210C,BA,NON_FORFEITURE,4,0,4,22
9010401534,010401534C,BA,NON_FORFEITURE,4,2,0,57
9010401565,010401565C,BA,NON_FORFEITURE,4,2,4,44
9010402010,010402010C,BA,NON_FORFEITURE,4,2,4,53
9010402014,010402014C,BA,NON_FORFEITURE,4,2,4,53
9010402060,010402060C,BA,NON_FORFEITURE,4,0,1,55
9010402061,010402061C,BA,NON_FORFEITURE,4,0,1,55
9010402105,010402105C,BA,NON_FORFEITURE,4,0,4,22
9010402899,010402899C,BA,NON_FORFEITURE,4,2,4,44
9010403109,010403109C,BA,NON_FORFEITURE,4,0,1,22
9010403117,010403117C,BA,NON_FORFEITURE,4,0,4,22
9010403222,010403222C,BA,NON_FORFEITURE,4,0,4,41
9010403516,010403516C,BA,NON_FORFEITURE,4,0,4,22
9010403789,010403789C,BA,NON_FORFEITURE,4,0,3,22
9010403872,010403872C,BA,NON_FORFEITURE,4,2,4,44
9010403916,010403916C,BA,NON_FORFEITURE,5,3,0,45
9010403922,010403922C,BA,NON_FORFEITURE,4,0,4,53
9010404600,010404600C,BA,NON_FORFEITURE,4,0,4,22
9010404602,010404602C,BA,NON_FORFEITURE,4,2,4,44
9010404604,010404604C,BA,NON_FORFEITURE,4,2,0,57
9010404605,010404605C,BA,NON_FORFEITURE,4,2,0,57
9010404857,010404857C,BA,NON_FORFEITURE,4,0,0,53
9010405175,010405175C,BA,NON_FORFEITURE,5,3,0,45
9010405440,010405440C,BA,NON_FORFEITURE,4,0,4,22
9010405642,010405642C,BA,NON_FORFEITURE,5,3,0,55
9010405802,010405802C,BA,NON_FORFEITURE,4,0,3,41
9010405858,010405858C,BA,NON_FORFEITURE,5,0,4,55
9010406576,010406576C,BA,NON_FORFEITURE,4,0,4,22
9010406795,010406795C,BA,NON_FORFEITURE,4,0,4,53
9010406962,010406962C,BA,NON_FORFEITURE,4,3,0,53
9010407237,010407237C,BA,NON_FORFEITURE,4,3,0,45
9010407533,010407533C,BA,NON_FORFEITURE,4,0,4,53
9010407534,010407534C,BA,NON_FORFEITURE,4,0,4,22
9010407670,010407670C,BA,NON_FORFEITURE,4,3,4,45
9010407925,010407925C,BA,NON_FORFEITURE,4,0,4,22
9010408371,010408371C,BA,NON_FORFEITURE,4,0,4,41
9010410566,010410566C,BA,NON_FORFEITURE,5,0,4,53
9010410616,010410616C,BA,NON_FORFEITURE,4,0,4,22
9010410714,010410714C,BA,NON_FORFEITURE,4,0,4,53
9010411499,010411499C,BA,NON_FORFEITURE,4,0,4,53
9010411577,010411577C,BA,NON_FORFEITURE,4,0,4,22
9010412525,010412525C,BA,NON_FORFEITURE,4,0,4,22
9010412526,010412526C,BA,NON_FORFEITURE,4,0,4,53
9010412640,010412640C,BA,NON_FORFEITURE,4,0,4,55
9010412641,010412641C,BA,NON_FORFEITURE,4,0,2,22
9010413417,010413417C,BA,NON_FORFEITURE,4,0,4,53
9010413421,010413421C,BA,NON_FORFEITURE,4,0,4,22
9010413628,010413628C,BA,NON_FORFEITURE,4,0,4,53
9010414235,010414235C,BA,NON_FORFEITURE,4,0,4,53
9010415834,010415834C,BA,NON_FORFEITURE,4,0,4,53
9010417200,010417200C,BA,NON_FORFEITURE,4,0,4,53
9010417838,010417838C,BA,NON_FORFEITURE,4,0,4,22
9010418562,010418562C,BA,NON_FORFEITURE,4,0,4,53
9010419054,010419054C,BA,NON_FORFEITURE,4,0,4,41
9010420853,010420853C,BA,NON_FORFEITURE,4,0,4,22
9010420983,010420983C,BA,NON_FORFEITURE,4,0,4,55
9010422033,010422033C,BA,NON_FORFEITURE,4,0,4,55
9010422221,010422221C,BA,NON_FORFEITURE,4,0,4,22
9010422722,010422722C,BA,NON_FORFEITURE,4,0,4,22
9010423540,010423540C,BA,NON_FORFEITURE,4,0,4,22
9010424185,010424185C,BA,NON_FORFEITURE,4,2,4,44
9010424798,010424798C,BA,NON_FORFEITURE,4,0,4,53
9010425718,010425718C,BA,NON_FORFEITURE,4,0,4,53
9010425720,010425720C,BA,NON_FORFEITURE,4,0,4,53
9010425845,010425845C,BA,NON_FORFEITURE,5,0,4,53
9010425928,010425928C,BA,NON_FORFEITURE,4,0,4,53
9010426657,010426657C,BA,NON_FORFEITURE,4,0,4,53
9010426858,010426858C,BA,NON_FORFEITURE,4,0,4,53
9010426859,010426859C,BA,NON_FORFEITURE,4,0,4,22
9010426961,010426961C,BA,NON_FORFEITURE,4,0,4,53
9010427442,010427442C,BA,NON_FORFEITURE,4,3,0,45
9010427456,010427456C,BA,NON_FORFEITURE,4,0,4,41
9010427457,010427457C,BA,NON_FORFEITURE,4,0,4,53
9010427723,010427723C,BA,NON_FORFEITURE,4,0,4,53
9010428258,010428258C,BA,NON_FORFEITURE,4,2,0,57
9010428259,010428259C,BA,NON_FORFEITURE,4,2,0,44
9010428688,010428688C,BA,NON_FORFEITURE,4,2,0,44
9010428771,010428771C,BA,NON_FORFEITURE,4,0,4,53
9010429064,010429064C,BA,NON_FORFEITURE,4,0,4,53
9010429066,010429066C,BA,NON_FORFEITURE,4,0,4,22
9010429532,010429532C,BA,NON_FORFEITURE,4,0,4,53
9010429558,010429558C,BA,NON_FORFEITURE,4,0,1,53
9010429710,010429710C,BA,NON_FORFEITURE,4,0,4,55
9010429711,010429711C,BA,NON_FORFEITURE,4,0,4,55
9010429893,010429893C,BA,NON_FORFEITURE,4,3,0,55
9010429958,010429958C,BA,NON_FORFEITURE,4,0,4,53
9010429965,010429965C,BA,NON_FORFEITURE,4,0,4,53
9010430017,010430017C,BA,NON_FORFEITURE,4,0,4,22
9010430023,010430023C,BA,NON_FORFEITURE,4,0,4,53
9010430086,010430086C,BA,NON_FORFEITURE,4,0,4,53
9010430295,010430295C,BA,NON_FORFEITURE,4,0,4,55
9010430296,010430296C,BA,NON_FORFEITURE,4,0,4,53
9010430993,010430993C,BA,NON_FORFEITURE,4,0,4,22
9010431510,010431510C,BA,NON_FORFEITURE,4,0,4,22
9010431738,010431738C,BA,NON_FORFEITURE,4,0,4,53
9010432120,010432120C,BA,NON_FORFEITURE,5,3,0,53
9010432254,010432254C,BA,NON_FORFEITURE,4,0,4,41
9010432414,010432414C,BA,NON_FORFEITURE,4,0,4,22
9010432493,010432493C,BA,NON_FORFEITURE,4,2,0,57
9010432494,010432494C,BA,NON_FORFEITURE,4,2,0,57
9010432631,010432631C,BA,NON_FORFEITURE,4,0,4,22
9010432782,010432782C,BA,NON_FORFEITURE,4,0,4,53
9010432865,010432865C,BA,NON_FORFEITURE,4,0,4,55
9010432866,010432866C,BA,NON_FORFEITURE,4,0,4,55
9010433471,010433471C,BA,NON_FORFEITURE,5,3,4,45
9010433630,010433630C,BA,NON_FORFEITURE,4,0,4,22
9010433786,010433786C,BA,NON_FORFEITURE,4,0,4,53
9010434092,010434092C,BA,NON_FORFEITURE,4,0,4,41
9010434419,010434419C,BA,NON_FORFEITURE,4,0,1,53
9010434421,010434421C,BA,NON_FORFEITURE,4,0,4,22
9010434422,010434422C,BA,NON_FORFEITURE,4,0,4,41
9010434424,010434424C,BA,NON_FORFEITURE,4,0,4,55
9010434544,010434544C,BA,NON_FORFEITURE,4,0,4,41
9010434659,010434659C,BA,NON_FORFEITURE,4,0,4,41
9010434747,010434747C,BA,NON_FORFEITURE,4,0,4,53
9010434876,010434876C,BA,NON_FORFEITURE,4,0,4,53
9010435244,010435244C,BA,NON_FORFEITURE,4,0,4,22
9010435248,010435248C,BA,NON_FORFEITURE,4,0,4,55
9010435466,010435466C,BA,NON_FORFEITURE,5,0,4,53
9010435609,010435609C,BA,NON_FORFEITURE,4,0,4,22
9010436028,010436028C,BA,NON_FORFEITURE,4,2,0,57
9010436044,010436044C,BA,NON_FORFEITURE,4,0,4,53
9010436082,010436082C,BA,NON_FORFEITURE,4,0,4,22
9010436083,010436083C,BA,NON_FORFEITURE,4,0,4,22
9010436541,010436541C,BA,NON_FORFEITURE,4,0,4,22
9010436599,010436599C,BA,NON_FORFEITURE,4,3,4,53
9010436691,010436691C,BA,NON_FORFEITURE,4,0,4,53
9010436712,010436712C,BA,NON_FORFEITURE,5,3,0,45
9010436727,010436727C,BA,NON_FORFEITURE,4,0,4,53
9010436955,010436955C,BA,NON_FORFEITURE,4,0,4,53
9010436959,010436959C,BA,NON_FORFEITURE,4,0,4,22
9010437076,010437076C,BA,NON_FORFEITURE,4,0,4,22
9010437232,010437232C,BA,NON_FORFEITURE,4,0,4,22
9010437335,010437335C,BA,NON_FORFEITURE,4,0,4,53
9010437794,010437794C,BA,NON_FORFEITURE,4,0,4,53
9010438028,010438028C,BA,NON_FORFEITURE,4,2,0,57
9010438063,010438063C,BA,NON_FORFEITURE,4,0,4,22
9010438073,010438073C,BA,NON_FORFEITURE,4,0,4,22
9010438325,010438325C,BA,NON_FORFEITURE,4,0,1,53
9010438523,010438523C,BA,NON_FORFEITURE,4,0,4,22
9010438524,010438524C,BA,NON_FORFEITURE,4,2,0,44
9010438525,010438525C,BA,NON_FORFEITURE,4,2,4,44
9010438554,010438554C,BA,NON_FORFEITURE,4,0,4,22
9010438820,010438820C,BA,NON_FORFEITURE,4,0,4,22
9010438821,010438821C,BA,NON_FORFEITURE,4,0,4,53
9010438861,010438861C,BA,NON_FORFEITURE,4,3,0,45
9010438926,010438926C,BA,NON_FORFEITURE,4,0,4,41
9010438938,010438938C,BA,NON_FORFEITURE,4,0,4,41
9010438942,010438942C,BA,NON_FORFEITURE,5,0,4,53
9010439128,010439128C,BA,NON_FORFEITURE,4,0,0,22
9010439156,010439156C,BA,NON_FORFEITURE,4,0,1,22
9010439181,010439181C,BA,NON_FORFEITURE,4,3,0,55
9010439435,010439435C,BA,NON_FORFEITURE,4,0,0,41
9010439527,010439527C,BA,NON_FORFEITURE,5,0,4,53
9010440345,010440345C,BA,NON_FORFEITURE,4,0,4,53
9010440370,010440370C,BA,NON_FORFEITURE,4,0,4,53
9010440631,010440631C,BA,NON_FORFEITURE,5,0,4,22
9010441082,010441082C,BA,NON_FORFEITURE,4,0,4,41
9010441084,010441084C,BA,NON_FORFEITURE,4,0,4,22
9010441085,010441085C,BA,NON_FORFEITURE,4,0,4,22
9010441927,010441927C,BA,NON_FORFEITURE,4,0,4,53
9010442216,010442216C,BA,NON_FORFEITURE,4,0,4,22
9010442222,010442222C,BA,NON_FORFEITURE,4,0,4,22
9010442230,010442230C,BA,NON_FORFEITURE,4,0,4,53
9010442330,010442330C,BA,NON_FORFEITURE,4,0,4,55
9010442332,010442332C,BA,NON_FORFEITURE,4,0,4,55
9010442551,010442551C,BA,NON_FORFEITURE,4,2,0,57
9010442552,010442552C,BA,NON_FORFEITURE,4,0,4,53
9010443032,010443032C,BA,NON_FORFEITURE,4,0,4,41
9010443109,010443109C,BA,NON_FORFEITURE,4,0,4,53
9010443161,010443161C,BA,NON_FORFEITURE,4,2,0,57
9010443287,010443287C,BA,NON_FORFEITURE,4,0,4,22
9010443296,010443296C,BA,NON_FORFEITURE,4,0,4,41
9010443389,010443389C,BA,NON_FORFEITURE,4,3,0,45
9010443433,010443433C,BA,NON_FORFEITURE,4,3,0,45
9010443646,010443646C,BA,NON_FORFEITURE,4,2,4,44
9010443816,010443816C,BA,NON_FORFEITURE,4,0,4,53
9010444207,010444207C,BA,NON_FORFEITURE,4,0,4,53
9010444283,010444283C,BA,NON_FORFEITURE,4,0,4,55
9010444917,010444917C,BA,NON_FORFEITURE,4,0,4,22
9010445074,010445074C,BA,NON_FORFEITURE,4,0,4,53
9010445091,010445091C,BA,NON_FORFEITURE,5,0,4,53
9010445131,010445131C,BA,NON_FORFEITURE,5,3,0,53
9010445351,010445351C,BA,NON_FORFEITURE,4,0,4,53
9010445575,010445575C,BA,NON_FORFEITURE,4,0,4,55
9010445719,010445719C,BA,NON_FORFEITURE,4,0,4,53
9010446237,010446237C,BA,NON_FORFEITURE,4,0,4,22
9010446416,010446416C,BA,NON_FORFEITURE,4,0,4,55
9010446638,010446638C,BA,NON_FORFEITURE,4,0,4,53
9010446741,010446741C,BA,NON_FORFEITURE,4,0,4,22
9010446852,010446852C,BA,NON_FORFEITURE,4,0,4,53
9010447475,010447475C,BA,NON_FORFEITURE,4,0,4,22
9010447559,010447559C,BA,NON_FORFEITURE,5,3,4,45
9010447574,010447574C,BA,NON_FORFEITURE,4,0,4,53
9010448025,010448025C,BA,NON_FORFEITURE,4,0,4,53
9010448181,010448181C,BA,NON_FORFEITURE,4,0,4,22
9010448375,010448375C,BA,NON_FORFEITURE,4,2,4,44
9010448609,010448609C,BA,NON_FORFEITURE,4,0,4,22
9010448806,010448806C,BA,NON_FORFEITURE,5,0,4,22
9010449013,010449013C,BA,NON_FORFEITURE,4,0,4,22
9010449017,010449017C,BA,NON_FORFEITURE,4,3,4,45
9010449050,010449050C,BA,NON_FORFEITURE,5,0,4,53
9010449074,010449074C,BA,NON_FORFEITURE,4,0,4,53
9010449075,010449075C,BA,NON_FORFEITURE,4,0,4,53
9010449155,010449155C,BA,NON_FORFEITURE,4,0,4,41
9010449158,010449158C,BA,NON_FORFEITURE,4,0,2,41
9010449333,010449333C,BA,NON_FORFEITURE,4,0,4,22
9010449334,010449334C,BA,NON_FORFEITURE,4,0,4,22
9010449417,010449417C,BA,NON_FORFEITURE,4,0,4,22
9010449512,010449512C,BA,NON_FORFEITURE,4,0,4,53
9010449514,010449514C,BA,NON_FORFEITURE,4,0,4,22
9010449532,010449532C,BA,NON_FORFEITURE,4,2,0,57
9010449559,010449559C,BA,NON_FORFEITURE,4,0,4,53
9010449959,010449959C,BA,NON_FORFEITURE,4,0,4,53
9010450135,010450135C,BA,NON_FORFEITURE,4,0,4,22
9010450174,010450174C,BA,NON_FORFEITURE,4,0,4,22
9010450809,010450809C,BA,NON_FORFEITURE,4,0,4,41
9010450811,010450811C,BA,NON_FORFEITURE,4,0,4,22
9010451148,010451148C,BA,NON_FORFEITURE,4,0,4,22
9010451149,010451149C,BA,NON_FORFEITURE,4,0,4,22
9010451385,010451385C,BA,NON_FORFEITURE,4,3,0,45
9010451453,010451453C,BA,NON_FORFEITURE,5,0,0,22
9010451596,010451596C,BA,NON_FORFEITURE,4,2,0,57
9010451650,010451650C,BA,NON_FORFEITURE,4,0,4,22
9010452169,010452169C,BA,NON_FORFEITURE,4,2,4,55
9010452304,010452304C,BA,NON_FORFEITURE,4,0,4,22
9010452305,010452305C,BA,NON_FORFEITURE,4,0,4,22
9010452516,010452516C,BA,NON_FORFEITURE,4,0,4,53
9010454002,010454002C,BA,NON_FORFEITURE,4,0,4,53
9010454003,010454003C,BA,NON_FORFEITURE,4,0,4,55
9010455341,010455341C,BA,NON_FORFEITURE,4,0,4,22
9010455617,010455617C,BA,NON_FORFEITURE,4,0,3,53
9010455884,010455884C,BA,NON_FORFEITURE,4,2,0,57
9010456114,010456114C,BA,NON_FORFEITURE,4,0,4,22
9010456182,010456182C,BA,NON_FORFEITURE,4,2,0,44
9010456183,010456183C,BA,NON_FORFEITURE,4,2,0,57
9010456184,010456184C,BA,NON_FORFEITURE,4,2,0,57
9010456188,010456188C,BA,NON_FORFEITURE,5,3,0,55
9010456751,010456751C,BA,NON_FORFEITURE,4,2,4,44
9010456928,010456928C,BA,NON_FORFEITURE,4,0,4,53
9010457291,010457291C,BA,NON_FORFEITURE,4,0,4,53
9010457536,010457536C,BA,NON_FORFEITURE,4,0,4,22
9010457537,010457537C,BA,NON_FORFEITURE,4,0,4,53
9010457603,010457603C,BA,NON_FORFEITURE,4,0,4,53
9010458190,010458190C,BA,NON_FORFEITURE,5,0,4,55
9010458520,010458520C,BA,NON_FORFEITURE,4,0,4,55
9010458525,010458525C,BA,NON_FORFEITURE,4,0,0,22
9010458526,010458526C,BA,NON_FORFEITURE,4,0,4,22
9010458663,010458663C,BA,NON_FORFEITURE,4,0,4,53
9010458744,010458744C,BA,NON_FORFEITURE,4,0,4,55
9010459011,010459011C,BA,NON_FORFEITURE,4,0,4,22
9010459050,010459050C,BA,NON_FORFEITURE,5,0,4,55
9010459164,010459164C,BA,NON_FORFEITURE,4,0,4,53
9010459336,010459336C,BA,NON_FORFEITURE,4,0,4,41
9010459421,010459421C,BA,NON_FORFEITURE,4,0,4,22
9010459527,010459527C,BA,NON_FORFEITURE,4,0,4,22
9010459579,010459579C,BA,NON_FORFEITURE,4,2,0,57
9010459653,010459653C,BA,NON_FORFEITURE,4,0,4,53
9010459723,010459723C,BA,NON_FORFEITURE,4,2,4,44
9010459814,010459814C,BA,NON_FORFEITURE,5,0,4,22
9010459850,010459850C,BA,NON_FORFEITURE,4,2,4,44
9010459970,010459970C,BA,NON_FORFEITURE,4,0,2,53
9010460276,010460276C,BA,NON_FORFEITURE,4,2,0,57
9010460652,010460652C,BA,NON_FORFEITURE,4,0,4,53
9010460653,010460653C,BA,NON_FORFEITURE,4,0,4,41
9010460886,010460886C,BA,NON_FORFEITURE,4,2,4,55
9010461689,010461689C,BA,NON_FORFEITURE,4,0,4,53
9010461753,010461753C,BA,NON_FORFEITURE,4,2,0,57
9010462057,010462057C,BA,NON_FORFEITURE,4,0,4,22
9010462415,010462415C,BA,NON_FORFEITURE,4,0,4,41
9010462630,010462630C,BA,NON_FORFEITURE,4,0,4,55
9010462631,010462631C,BA,NON_FORFEITURE,4,2,4,55
9010462839,010462839C,BA,NON_FORFEITURE,4,0,4,55
9010463420,010463420C,BA,NON_FORFEITURE,4,0,4,53
9010463553,010463553C,BA,NON_FORFEITURE,4,0,4,22
9010464265,010464265C,BA,NON_FORFEITURE,5,0,4,53
9010464590,010464590C,BA,NON_FORFEITURE,4,3,0,53
9010464869,010464869C,BA,NON_FORFEITURE,4,0,4,53
9010464870,010464870C,BA,NON_FORFEITURE,5,0,4,53
9010465265,010465265C,BA,NON_FORFEITURE,4,3,0,53
9010465331,010465331C,BA,NON_FORFEITURE,4,0,4,41
9010465363,010465363C,BA,NON_FORFEITURE,4,0,4,22
9010465451,010465451C,BA,NON_FORFEITURE,4,0,4,53
9010466391,010466391C,BA,NON_FORFEITURE,4,0,4,22
9010466392,010466392C,BA,NON_FORFEITURE,4,0,4,22
9010466458,010466458C,BA,NON_FORFEITURE,4,0,4,53
9010466470,010466470C,BA,NON_FORFEITURE,4,2,4,55
9010466471,010466471C,BA,NON_FORFEITURE,4,2,4,44
9010466472,010466472C,BA,NON_FORFEITURE,4,2,4,44
9010466473,010466473C,BA,NON_FORFEITURE,4,2,4,55
9010466702,010466702C,BA,NON_FORFEITURE,4,0,4,53
9010466706,010466706C,BA,NON_FORFEITURE,4,0,4,22
9010466978,010466978C,BA,NON_FORFEITURE,5,0,4,22
9010467025,010467025C,BA,NON_FORFEITURE,4,0,4,22
9010467173,010467173C,BA,NON_FORFEITURE,4,0,4,55
9010467185,010467185C,BA,NON_FORFEITURE,4,0,4,22
9010467190,010467190C,BA,NON_FORFEITURE,4,0,4,53
9010467771,010467771C,BA,NON_FORFEITURE,4,0,1,22
9010468945,010468945C,BA,NON_FORFEITURE,4,0,4,22
9010468946,010468946C,BA,NON_FORFEITURE,4,0,4,53
9010469081,010469081C,BA,NON_FORFEITURE,4,0,4,55
9010469579,010469579C,BA,NON_FORFEITURE,4,0,4,22
9010469728,010469728C,BA,NON_FORFEITURE,4,2,4,44
9010470522,010470522C,BA,NON_FORFEITURE,5,3,4,45
9010471532,010471532C,BA,NON_FORFEITURE,5,3,0,45
9010471534,010471534C,BA,NON_FORFEITURE,4,3,4,45
9010471769,010471769C,BA,NON_FORFEITURE,4,3,0,55
9010472182,010472182C,BA,NON_FORFEITURE,4,0,4,55
9010472183,010472183C,BA,NON_FORFEITURE,4,0,4,55
9010473137,010473137C,BA,NON_FORFEITURE,4,0,4,53
9010473866,010473866C,BA,NON_FORFEITURE,4,0,4,55
9010473867,010473867C,BA,NON_FORFEITURE,4,0,4,22
9010473868,010473868C,BA,NON_FORFEITURE,4,0,4,22
9010474317,010474317C,BA,NON_FORFEITURE,4,0,4,22
9010474318,010474318C,BA,NON_FORFEITURE,4,0,4,22
9010474519,010474519C,BA,NON_FORFEITURE,4,0,4,53
9010474522,010474522C,BA,NON_FORFEITURE,4,0,4,55
9010475571,010475571C,BA,NON_FORFEITURE,4,0,1,55
9010475576,010475576C,BA,NON_FORFEITURE,4,3,0,53
9010475850,010475850C,BA,NON_FORFEITURE,4,0,4,53
9010476803,010476803C,BA,NON_FORFEITURE,4,0,4,53
9010477512,010477512C,BA,NON_FORFEITURE,4,0,4,53
9010477513,010477513C,BA,NON_FORFEITURE,4,0,4,53
9010477989,010477989C,BA,NON_FORFEITURE,4,0,4,55
9010478048,010478048C,BA,NON_FORFEITURE,4,3,0,45
9010478259,010478259C,BA,NON_FORFEITURE,5,3,0,53
9010478260,010478260C,BA,NON_FORFEITURE,4,2,0,57
9010478285,010478285C,BA,NON_FORFEITURE,4,0,4,53
9010478574,010478574C,BA,NON_FORFEITURE,4,0,1,53
9010478890,010478890C,BA,NON_FORFEITURE,4,2,0,44
9010479749,010479749C,BA,NON_FORFEITURE,4,0,4,53
9010480683,010480683C,BA,NON_FORFEITURE,4,3,0,45
9010483380,010483380C,BA,NON_FORFEITURE,4,2,0,57
9010483386,010483386C,BA,NON_FORFEITURE,4,0,4,41
9010484821,010484821C,BA,NON_FORFEITURE,4,0,4,53
9010486919,010486919C,BA,NON_FORFEITURE,4,0,4,53
9010486961,010486961C,BA,NON_FORFEITURE,4,0,4,41
