MPOLICY,LIFEPRO,LP_CODE,TYPE_CODE,SOURCE_FIELD,PAID_UP_TYPE,BEFORE_MNFOPT,PRED_BEFORE,AFTER_MNFOPT,CHANGED,MDIVOPT,MSTATUS
010367133C,9010367133,4,BA,NF,,0,0,2,Y,4,22
010367438C,9010367438,4,BA,NF,PU,0,0,0,N,4,53
010367704C,9010367704,4,BA,NF,,0,0,2,Y,4,22
010367705C,9010367705,4,BA,NF,,0,0,2,Y,4,55
010368703C,9010368703,4,BA,NF,,0,0,2,Y,4,53
010371171C,9010371171,4,BA,NF,,0,0,2,Y,4,53
010371356C,9010371356,4,BA,NF,,0,0,2,Y,4,22
010373918C,9010373918,5,BA,NF,RU,3,3,3,N,4,55
010374099C,9010374099,1,BA,NF,ET,2,2,2,N,3,44
010374779C,9010374779,4,BA,NF,PU,0,0,0,N,4,53
010374837C,9010374837,4,BA,NF,,0,0,2,Y,4,22
010374838C,9010374838,4,BA,NF,,0,0,2,Y,4,22
010376522C,9010376522,1,BA,NF,,1,1,1,N,4,55
010376529C,9010376529,4,BA,NF,,0,0,2,Y,4,55
010376540C,9010376540,4,BA,NF,PU,0,0,0,N,4,53
010377918C,9010377918,4,BA,NF,RU,3,3,3,N,4,55
010378485C,9010378485,1,BA,NF,ET,2,2,2,N,4,57
010378710C,9010378710,1,BA,NF,PU,0,0,0,N,4,53
010378829C,9010378829,1,BA,NF,PU,0,0,0,N,4,53
010378830C,9010378830,1,BA,NF,,1,1,1,N,3,22
010379405C,9010379405,1,BA,NF,,1,1,1,N,4,55
010379477C,9010379477,1,BA,NF,RU,3,3,3,N,0,45
010379478C,9010379478,1,BA,NF,RU,3,3,3,N,0,45
010380049C,9010380049,1,BA,NF,,1,1,1,N,4,22
010380550C,9010380550,1,BA,NF,PU,0,0,0,N,4,41
010380625C,9010380625,1,BA,NF,ET,2,2,2,N,0,57
010380627C,9010380627,1,BA,NF,,1,1,1,N,4,22
010380808C,9010380808,1,BA,NF,,1,1,1,N,3,22
010381516C,9010381516,4,BA,NF,RU,3,3,3,N,0,45
010381745C,9010381745,4,BA,NF,,0,0,2,Y,4,55
010382426C,9010382426,4,BA,NF,,0,0,2,Y,3,22
010382448C,9010382448,4,BA,NF,ET,2,2,2,N,0,44
010382520C,9010382520,1,BA,NF,PU,0,0,0,N,4,53
010382931C,9010382931,4,BA,NF,,0,0,2,Y,4,53
010385491C,9010385491,4,BA,NF,PU,0,0,0,N,4,53
010385636C,9010385636,1,BA,NF,,1,1,1,N,4,55
010388767C,9010388767,4,BA,NF,,0,0,2,Y,4,22
010389651C,9010389651,4,BA,NF,PU,0,0,0,N,4,53
010389802C,9010389802,4,BA,NF,,0,0,2,Y,1,55
010390061C,9010390061,4,BA,NF,,0,0,2,Y,4,22
010390251C,9010390251,4,BA,NF,ET,2,2,2,N,0,44
010391004C,9010391004,4,BA,NF,,0,0,2,Y,4,22
010391228C,9010391228,1,BA,NF,,1,1,1,N,4,55
010391355C,9010391355,4,BA,NF,ET,2,2,2,N,4,44
010391359C,9010391359,2,BA,NF,,1,1,1,N,4,53
010391411C,9010391411,4,BA,NF,PU,0,0,0,N,4,41
010391422C,9010391422,4,BA,NF,,0,0,2,Y,4,55
010391582C,9010391582,4,BA,NF,PU,0,0,0,N,4,41
010391679C,9010391679,4,BA,NF,,0,0,2,Y,1,22
010391840C,9010391840,4,BA,NF,,0,0,2,Y,4,22
010391841C,9010391841,4,BA,NF,ET,2,2,2,N,0,57
010391876C,9010391876,4,BA,NF,ET,2,2,2,N,4,44
010391878C,9010391878,4,BA,NF,ET,2,2,2,N,4,44
010391895C,9010391895,4,BA,NF,,0,0,2,Y,4,22
010392117C,9010392117,4,BA,NF,PU,0,0,0,N,4,41
010392138C,9010392138,4,BA,NF,PU,0,0,0,N,4,55
010392493C,9010392493,4,BA,NF,PU,0,0,0,N,4,55
010392763C,9010392763,5,BA,NF,PU,0,0,0,N,4,53
010392930C,9010392930,4,BA,NF,ET,2,2,2,N,4,44
010393142C,9010393142,4,BA,NF,,0,0,2,Y,4,22
010393143C,9010393143,4,BA,NF,,0,0,2,Y,4,22
010393158C,9010393158,4,BA,NF,,0,0,2,Y,4,53
010393181C,9010393181,4,BA,NF,PU,0,0,0,N,4,55
010393401C,9010393401,4,BA,NF,,0,0,2,Y,4,22
010393899C,9010393899,4,BA,NF,,0,0,2,Y,4,22
010393931C,9010393931,4,BA,NF,RU,3,3,3,N,4,55
010394249C,9010394249,4,BA,NF,,0,0,2,Y,4,53
010394353C,9010394353,4,BA,NF,,0,0,2,Y,4,22
010394662C,9010394662,4,BA,NF,PU,0,0,0,N,4,53
010395098C,9010395098,4,BA,NF,ET,2,2,2,N,4,44
010395211C,9010395211,4,BA,NF,,0,0,2,Y,4,22
010395382C,9010395382,5,BA,NF,PU,0,0,0,N,4,53
010395411C,9010395411,4,BA,NF,PU,0,0,0,N,4,41
010395761C,9010395761,4,BA,NF,,0,0,2,Y,4,55
010395878C,9010395878,4,BA,NF,PU,0,0,0,N,4,53
010395879C,9010395879,4,BA,NF,PU,0,0,0,N,4,53
010396147C,9010396147,4,BA,NF,PU,0,0,0,N,4,53
010396186C,9010396186,4,BA,NF,,0,0,2,Y,4,22
010396425C,9010396425,4,BA,NF,,0,0,2,Y,4,22
010397118C,9010397118,4,BA,NF,,0,0,2,Y,4,22
010397318C,9010397318,5,BA,NF,RU,3,3,3,N,4,53
010397493C,9010397493,4,BA,NF,,0,0,2,Y,4,22
010397528C,9010397528,4,BA,NF,,0,0,2,Y,2,22
010397583C,9010397583,4,BA,NF,,0,0,2,Y,4,55
010397945C,9010397945,4,BA,NF,PU,0,0,0,N,4,53
010398274C,9010398274,4,BA,NF,,0,0,2,Y,4,53
010398471C,9010398471,5,BA,NF,,0,0,3,Y,4,22
010398475C,9010398475,4,BA,NF,,0,0,2,Y,4,22
010398591C,9010398591,4,BA,NF,PU,0,0,0,N,4,53
010399927C,9010399927,4,BA,NF,,0,0,2,Y,4,22
010400462C,9010400462,4,BA,NF,,0,0,2,Y,4,55
010401087C,9010401087,4,BA,NF,,0,0,2,Y,2,22
010401181C,9010401181,4,BA,NF,,0,0,2,Y,4,53
010401210C,9010401210,4,BA,NF,,0,0,2,Y,4,22
010401534C,9010401534,4,BA,NF,ET,2,2,2,N,0,57
010401565C,9010401565,4,BA,NF,ET,2,2,2,N,4,44
010402010C,9010402010,4,BA,NF,ET,2,2,2,N,4,53
010402014C,9010402014,4,BA,NF,ET,2,2,2,N,4,53
010402060C,9010402060,4,BA,NF,,0,0,2,Y,1,55
010402061C,9010402061,4,BA,NF,,0,0,2,Y,1,55
010402105C,9010402105,4,BA,NF,,0,0,2,Y,4,22
010402899C,9010402899,4,BA,NF,ET,2,2,2,N,4,44
010403109C,9010403109,4,BA,NF,,0,0,2,Y,1,22
010403117C,9010403117,4,BA,NF,,0,0,2,Y,4,22
010403222C,9010403222,4,BA,NF,PU,0,0,0,N,4,41
010403516C,9010403516,4,BA,NF,,0,0,2,Y,4,22
010403789C,9010403789,4,BA,NF,,0,0,2,Y,3,22
010403872C,9010403872,4,BA,NF,ET,2,2,2,N,4,44
010403916C,9010403916,5,BA,NF,RU,3,3,3,N,0,45
010403922C,9010403922,4,BA,NF,PU,0,0,0,N,4,53
010404600C,9010404600,4,BA,NF,,0,0,2,Y,4,22
010404602C,9010404602,4,BA,NF,ET,2,2,2,N,4,44
010404604C,9010404604,4,BA,NF,ET,2,2,2,N,0,57
010404605C,9010404605,4,BA,NF,ET,2,2,2,N,0,57
010404857C,9010404857,4,BA,NF,,0,0,2,Y,0,53
010405175C,9010405175,5,BA,NF,RU,3,3,3,N,0,45
010405440C,9010405440,4,BA,NF,,0,0,2,Y,4,22
010405642C,9010405642,5,BA,NF,RU,3,3,3,N,0,55
010405802C,9010405802,4,BA,NF,PU,0,0,0,N,3,41
010405858C,9010405858,5,BA,NF,,0,0,3,Y,4,55
010406576C,9010406576,4,BA,NF,,0,0,2,Y,4,22
010406795C,9010406795,4,BA,NF,PU,0,0,0,N,4,53
010406962C,9010406962,4,BA,NF,RU,3,3,3,N,0,53
010407023C,9010407023,1,BA,NF,,1,1,1,N,3,22
010407237C,9010407237,4,BA,NF,RU,3,3,3,N,0,45
010407533C,9010407533,4,BA,NF,PU,0,0,0,N,4,53
010407534C,9010407534,4,BA,NF,,0,0,2,Y,4,22
010407670C,9010407670,4,BA,NF,RU,3,3,3,N,4,45
010407925C,9010407925,4,BA,NF,,0,0,2,Y,4,22
010408371C,9010408371,4,BA,NF,PU,0,0,0,N,4,41
010410566C,9010410566,5,BA,NF,PU,0,0,0,N,4,53
010410616C,9010410616,4,BA,NF,,0,0,2,Y,4,22
010410714C,9010410714,4,BA,NF,PU,0,0,0,N,4,53
010411499C,9010411499,4,BA,NF,,0,0,2,Y,4,53
010411577C,9010411577,4,BA,NF,,0,0,2,Y,4,22
010411727C,9010411727,1,BA,NF,PU,0,0,0,N,3,53
010411920C,9010411920,1,BA,NF,,1,1,1,N,4,22
010412522C,9010412522,1,BA,NF,,1,1,1,N,4,53
010412525C,9010412525,4,BA,NF,,0,0,2,Y,4,22
010412526C,9010412526,4,BA,NF,,0,0,2,Y,4,53
010412640C,9010412640,4,BA,NF,,0,0,2,Y,4,55
010412641C,9010412641,4,BA,NF,,0,0,2,Y,2,22
010413417C,9010413417,4,BA,NF,PU,0,0,0,N,4,53
010413421C,9010413421,4,BA,NF,,0,0,2,Y,4,22
010413628C,9010413628,4,BA,NF,,0,0,2,Y,4,53
010413745C,9010413745,1,BA,NF,,1,1,1,N,3,55
010414235C,9010414235,4,BA,NF,,0,0,2,Y,4,53
010415834C,9010415834,4,BA,NF,,0,0,2,Y,4,53
010417200C,9010417200,4,BA,NF,,0,0,2,Y,4,53
010417838C,9010417838,4,BA,NF,,0,0,2,Y,4,22
010418088C,9010418088,1,BA,NF,PU,0,0,0,N,1,53
010418562C,9010418562,4,BA,NF,PU,0,0,0,N,4,53
010419054C,9010419054,4,BA,NF,PU,0,0,0,N,4,41
010420853C,9010420853,4,BA,NF,,0,0,2,Y,4,22
010420983C,9010420983,4,BA,NF,,0,0,2,Y,4,55
010422033C,9010422033,4,BA,NF,,0,0,2,Y,4,55
010422221C,9010422221,4,BA,NF,,0,0,2,Y,4,22
010422417C,9010422417,1,BA,NF,PU,0,0,0,N,1,41
010422722C,9010422722,4,BA,NF,,0,0,2,Y,4,22
010422977C,9010422977,1,BA,NF,,1,1,1,N,4,22
010423540C,9010423540,4,BA,NF,,0,0,2,Y,4,22
010424185C,9010424185,4,BA,NF,ET,2,2,2,N,4,44
010424798C,9010424798,4,BA,NF,PU,0,0,0,N,4,53
010425718C,9010425718,4,BA,NF,PU,0,0,0,N,4,53
010425720C,9010425720,4,BA,NF,PU,0,0,0,N,4,53
010425845C,9010425845,5,BA,NF,,0,0,3,Y,4,53
010425928C,9010425928,4,BA,NF,,0,0,2,Y,4,53
010425941C,9010425941,1,BA,NF,,1,1,1,N,4,22
010425942C,9010425942,1,BA,NF,PU,0,0,0,N,4,55
010425944C,9010425944,1,BA,NF,,1,1,1,N,1,22
010426657C,9010426657,4,BA,NF,PU,0,0,0,N,4,53
010426747C,9010426747,1,BA,NF,,1,1,1,N,4,55
010426858C,9010426858,4,BA,NF,,0,0,2,Y,4,53
010426859C,9010426859,4,BA,NF,,0,0,2,Y,4,22
010426961C,9010426961,4,BA,NF,,0,0,2,Y,4,53
010427442C,9010427442,4,BA,NF,RU,3,3,3,N,0,45
010427456C,9010427456,4,BA,NF,PU,0,0,0,N,4,41
010427457C,9010427457,4,BA,NF,PU,0,0,0,N,4,53
010427723C,9010427723,4,BA,NF,,0,0,2,Y,4,53
010428258C,9010428258,4,BA,NF,ET,2,2,2,N,0,57
010428259C,9010428259,4,BA,NF,ET,2,2,2,N,0,44
010428688C,9010428688,4,BA,NF,ET,2,2,2,N,0,44
010428747C,9010428747,1,BA,NF,RU,3,3,3,N,0,45
010428771C,9010428771,4,BA,NF,PU,0,0,0,N,4,53
010429064C,9010429064,4,BA,NF,,0,0,2,Y,4,53
010429066C,9010429066,4,BA,NF,,0,0,2,Y,4,22
010429259C,9010429259,1,BA,NF,,1,1,1,N,4,53
010429417C,9010429417,1,BA,NF,PU,0,0,0,N,4,41
010429532C,9010429532,4,BA,NF,PU,0,0,0,N,4,53
010429558C,9010429558,4,BA,NF,,0,0,2,Y,1,53
010429710C,9010429710,4,BA,NF,,0,0,2,Y,4,55
010429711C,9010429711,4,BA,NF,,0,0,2,Y,4,55
010429893C,9010429893,4,BA,NF,RU,3,3,3,N,0,55
010429958C,9010429958,4,BA,NF,PU,0,0,0,N,4,53
010429965C,9010429965,4,BA,NF,,0,0,2,Y,4,53
010430017C,9010430017,4,BA,NF,,0,0,2,Y,4,22
010430023C,9010430023,4,BA,NF,,0,0,2,Y,4,53
010430086C,9010430086,4,BA,NF,PU,0,0,0,N,4,53
010430295C,9010430295,4,BA,NF,,0,0,2,Y,4,55
010430296C,9010430296,4,BA,NF,,0,0,2,Y,4,53
010430993C,9010430993,4,BA,NF,,0,0,2,Y,4,22
010431301C,9010431301,1,BA,NF,,1,1,1,N,4,22
010431510C,9010431510,4,BA,NF,,0,0,2,Y,4,22
010431738C,9010431738,4,BA,NF,PU,0,0,0,N,4,53
010432120C,9010432120,5,BA,NF,RU,3,3,3,N,0,53
010432254C,9010432254,4,BA,NF,PU,0,0,0,N,4,41
010432414C,9010432414,4,BA,NF,,0,0,2,Y,4,22
010432493C,9010432493,4,BA,NF,ET,2,2,2,N,0,57
010432494C,9010432494,4,BA,NF,ET,2,2,2,N,0,57
010432631C,9010432631,4,BA,NF,,0,0,2,Y,4,22
010432782C,9010432782,4,BA,NF,,0,0,2,Y,4,53
010432865C,9010432865,4,BA,NF,,0,0,2,Y,4,55
010432866C,9010432866,4,BA,NF,,0,0,2,Y,4,55
010433471C,9010433471,5,BA,NF,RU,3,3,3,N,4,45
010433630C,9010433630,4,BA,NF,,0,0,2,Y,4,22
010433786C,9010433786,4,BA,NF,PU,0,0,0,N,4,53
010434092C,9010434092,4,BA,NF,PU,0,0,0,N,4,41
010434418C,9010434418,1,BA,NF,,1,1,1,N,4,22
010434419C,9010434419,4,BA,NF,,0,0,2,Y,1,53
010434421C,9010434421,4,BA,NF,,0,0,2,Y,4,22
010434422C,9010434422,4,BA,NF,PU,0,0,0,N,4,41
010434424C,9010434424,4,BA,NF,,0,0,2,Y,4,55
010434544C,9010434544,4,BA,NF,PU,0,0,0,N,4,41
010434659C,9010434659,4,BA,NF,PU,0,0,0,N,4,41
010434747C,9010434747,4,BA,NF,PU,0,0,0,N,4,53
010434876C,9010434876,4,BA,NF,PU,0,0,0,N,4,53
010435244C,9010435244,4,BA,NF,,0,0,2,Y,4,22
010435248C,9010435248,4,BA,NF,,0,0,2,Y,4,55
010435466C,9010435466,5,BA,NF,PU,0,0,0,N,4,53
010435609C,9010435609,4,BA,NF,,0,0,2,Y,4,22
010435671C,9010435671,1,BA,NF,,1,1,1,N,3,22
010435672C,9010435672,1,BA,NF,PU,0,0,0,N,3,41
010435673C,9010435673,1,BA,NF,,1,1,1,N,3,22
010436028C,9010436028,4,BA,NF,ET,2,2,2,N,0,57
010436044C,9010436044,4,BA,NF,,0,0,2,Y,4,53
010436082C,9010436082,4,BA,NF,,0,0,2,Y,4,22
010436083C,9010436083,4,BA,NF,,0,0,2,Y,4,22
010436085C,9010436085,1,BA,NF,ET,2,2,2,N,0,57
010436406C,9010436406,2,BA,NF,RU,3,3,3,N,1,45
010436541C,9010436541,4,BA,NF,,0,0,2,Y,4,22
010436599C,9010436599,4,BA,NF,RU,3,3,3,N,4,53
010436691C,9010436691,4,BA,NF,PU,0,0,0,N,4,53
010436712C,9010436712,5,BA,NF,RU,3,3,3,N,0,45
010436727C,9010436727,4,BA,NF,PU,0,0,0,N,4,53
010436782C,9010436782,1,BA,NF,,1,1,1,N,1,22
010436955C,9010436955,4,BA,NF,PU,0,0,0,N,4,53
010436959C,9010436959,4,BA,NF,,0,0,2,Y,4,22
010437076C,9010437076,4,BA,NF,,0,0,2,Y,4,22
010437232C,9010437232,4,BA,NF,,0,0,2,Y,4,22
010437335C,9010437335,4,BA,NF,PU,0,0,0,N,4,53
010437794C,9010437794,4,BA,NF,PU,0,0,0,N,4,53
010438028C,9010438028,4,BA,NF,ET,2,2,2,N,0,57
010438063C,9010438063,4,BA,NF,,0,0,2,Y,4,22
010438073C,9010438073,4,BA,NF,,0,0,2,Y,4,22
010438325C,9010438325,4,BA,NF,PU,0,0,0,N,1,53
010438523C,9010438523,4,BA,NF,,0,0,2,Y,4,22
010438524C,9010438524,4,BA,NF,ET,2,2,2,N,0,44
010438525C,9010438525,4,BA,NF,ET,2,2,2,N,4,44
010438554C,9010438554,4,BA,NF,,0,0,2,Y,4,22
010438556C,9010438556,1,BA,NF,,1,1,1,N,4,22
010438820C,9010438820,4,BA,NF,,0,0,2,Y,4,22
010438821C,9010438821,4,BA,NF,,0,0,2,Y,4,53
010438861C,9010438861,4,BA,NF,RU,3,3,3,N,0,45
010438926C,9010438926,4,BA,NF,PU,0,0,0,N,4,41
010438938C,9010438938,4,BA,NF,PU,0,0,0,N,4,41
010438942C,9010438942,5,BA,NF,PU,0,0,0,N,4,53
010439084C,9010439084,1,BA,NF,,1,1,1,N,1,57
010439128C,9010439128,4,BA,NF,,0,0,2,Y,0,22
010439156C,9010439156,4,BA,NF,,0,0,2,Y,1,22
010439181C,9010439181,4,BA,NF,RU,3,3,3,N,0,55
010439277C,9010439277,1,BA,NF,PU,0,0,0,N,4,41
010439435C,9010439435,4,BA,NF,PU,0,0,0,N,0,41
010439527C,9010439527,5,BA,NF,,0,0,3,Y,4,53
010439836C,9010439836,1,BA,NF,,1,1,1,N,4,53
010439999C,9010439999,1,BA,NF,,1,1,1,N,4,22
010440000C,9010440000,1,BA,NF,PU,0,0,0,N,4,41
010440345C,9010440345,4,BA,NF,PU,0,0,0,N,4,53
010440370C,9010440370,4,BA,NF,,0,0,2,Y,4,53
010440371C,9010440371,1,BA,NF,PU,0,0,0,N,4,41
010440631C,9010440631,5,BA,NF,,0,0,3,Y,4,22
010441082C,9010441082,4,BA,NF,PU,0,0,0,N,4,41
010441084C,9010441084,4,BA,NF,,0,0,2,Y,4,22
010441085C,9010441085,4,BA,NF,,0,0,2,Y,4,22
010441927C,9010441927,4,BA,NF,,0,0,2,Y,4,53
010442216C,9010442216,4,BA,NF,,0,0,2,Y,4,22
010442222C,9010442222,4,BA,NF,,0,0,2,Y,4,22
010442230C,9010442230,4,BA,NF,,0,0,2,Y,4,53
010442330C,9010442330,4,BA,NF,,0,0,2,Y,4,55
010442332C,9010442332,4,BA,NF,,0,0,2,Y,4,55
010442551C,9010442551,4,BA,NF,ET,2,2,2,N,0,57
010442552C,9010442552,4,BA,NF,,0,0,2,Y,4,53
010442906C,9010442906,1,BA,NF,,1,1,1,N,4,22
010443032C,9010443032,4,BA,NF,PU,0,0,0,N,4,41
010443109C,9010443109,4,BA,NF,,0,0,2,Y,4,53
010443161C,9010443161,4,BA,NF,ET,2,2,2,N,0,57
010443287C,9010443287,4,BA,NF,,0,0,2,Y,4,22
010443296C,9010443296,4,BA,NF,PU,0,0,0,N,4,41
010443389C,9010443389,4,BA,NF,RU,3,3,3,N,0,45
010443432C,9010443432,1,BA,NF,PU,0,0,0,N,4,41
010443433C,9010443433,4,BA,NF,RU,3,3,3,N,0,45
010443646C,9010443646,4,BA,NF,ET,2,2,2,N,4,44
010443816C,9010443816,4,BA,NF,,0,0,2,Y,4,53
010444207C,9010444207,4,BA,NF,,0,0,2,Y,4,53
010444283C,9010444283,4,BA,NF,PU,0,0,0,N,4,55
010444917C,9010444917,4,BA,NF,,0,0,2,Y,4,22
010445074C,9010445074,4,BA,NF,,0,0,2,Y,4,53
010445091C,9010445091,5,BA,NF,,0,0,3,Y,4,53
010445131C,9010445131,5,BA,NF,RU,3,3,3,N,0,53
010445275C,9010445275,1,BA,NF,,1,1,1,N,3,55
010445351C,9010445351,4,BA,NF,,0,0,2,Y,4,53
010445575C,9010445575,4,BA,NF,PU,0,0,0,N,4,55
010445719C,9010445719,4,BA,NF,PU,0,0,0,N,4,53
010446088C,9010446088,1,BA,NF,RU,3,3,3,N,0,45
010446237C,9010446237,4,BA,NF,,0,0,2,Y,4,22
010446416C,9010446416,4,BA,NF,PU,0,0,0,N,4,55
010446638C,9010446638,4,BA,NF,,0,0,2,Y,4,53
010446741C,9010446741,4,BA,NF,,0,0,2,Y,4,22
010446852C,9010446852,4,BA,NF,,0,0,2,Y,4,53
010447475C,9010447475,4,BA,NF,,0,0,2,Y,4,22
010447559C,9010447559,5,BA,NF,RU,3,3,3,N,4,45
010447574C,9010447574,4,BA,NF,PU,0,0,0,N,4,53
010448025C,9010448025,4,BA,NF,PU,0,0,0,N,4,53
010448181C,9010448181,4,BA,NF,,0,0,2,Y,4,22
010448375C,9010448375,4,BA,NF,ET,2,2,2,N,4,44
010448609C,9010448609,4,BA,NF,,0,0,2,Y,4,22
010448806C,9010448806,5,BA,NF,,0,0,3,Y,4,22
010448810C,9010448810,1,BA,NF,PU,0,0,0,N,4,41
010448828C,9010448828,1,BA,NF,,1,1,1,N,4,22
010449013C,9010449013,4,BA,NF,,0,0,2,Y,4,22
010449017C,9010449017,4,BA,NF,RU,3,3,3,N,4,45
010449050C,9010449050,5,BA,NF,,0,0,3,Y,4,53
010449074C,9010449074,4,BA,NF,,0,0,2,Y,4,53
010449075C,9010449075,4,BA,NF,,0,0,2,Y,4,53
010449155C,9010449155,4,BA,NF,PU,0,0,0,N,4,41
010449158C,9010449158,4,BA,NF,PU,0,0,0,N,2,41
010449333C,9010449333,4,BA,NF,,0,0,2,Y,4,22
010449334C,9010449334,4,BA,NF,,0,0,2,Y,4,22
010449417C,9010449417,4,BA,NF,,0,0,2,Y,4,22
010449498C,9010449498,1,BA,NF,,1,1,1,N,1,22
010449512C,9010449512,4,BA,NF,PU,0,0,0,N,4,53
010449514C,9010449514,4,BA,NF,,0,0,2,Y,4,22
010449532C,9010449532,4,BA,NF,ET,2,2,2,N,0,57
010449559C,9010449559,4,BA,NF,,0,0,2,Y,4,53
010449959C,9010449959,4,BA,NF,PU,0,0,0,N,4,53
010450135C,9010450135,4,BA,NF,,0,0,2,Y,4,22
010450174C,9010450174,4,BA,NF,,0,0,2,Y,4,22
010450300C,9010450300,1,BA,NF,,1,1,1,N,4,22
010450809C,9010450809,4,BA,NF,PU,0,0,0,N,4,41
010450811C,9010450811,4,BA,NF,,0,0,2,Y,4,22
010450906C,9010450906,1,BA,NF,,1,1,1,N,3,22
010451148C,9010451148,4,BA,NF,,0,0,2,Y,4,22
010451149C,9010451149,4,BA,NF,,0,0,2,Y,4,22
010451215C,9010451215,1,BA,NF,,1,1,1,N,4,53
010451385C,9010451385,4,BA,NF,RU,3,3,3,N,0,45
010451453C,9010451453,5,BA,NF,,0,0,3,Y,0,22
010451596C,9010451596,4,BA,NF,ET,2,2,2,N,0,57
010451650C,9010451650,4,BA,NF,,0,0,2,Y,4,22
010452169C,9010452169,4,BA,NF,ET,2,2,2,N,4,55
010452304C,9010452304,4,BA,NF,,0,0,2,Y,4,22
010452305C,9010452305,4,BA,NF,,0,0,2,Y,4,22
010452516C,9010452516,4,BA,NF,,0,0,2,Y,4,53
010452575C,9010452575,1,BA,NF,,1,1,1,N,3,22
010454002C,9010454002,4,BA,NF,,0,0,2,Y,4,53
010454003C,9010454003,4,BA,NF,,0,0,2,Y,4,55
010455341C,9010455341,4,BA,NF,,0,0,2,Y,4,22
010455617C,9010455617,4,BA,NF,,0,0,2,Y,3,53
010455884C,9010455884,4,BA,NF,ET,2,2,2,N,0,57
010456114C,9010456114,4,BA,NF,,0,0,2,Y,4,22
010456182C,9010456182,4,BA,NF,ET,2,2,2,N,0,44
010456183C,9010456183,4,BA,NF,ET,2,2,2,N,0,57
010456184C,9010456184,4,BA,NF,ET,2,2,2,N,0,57
010456188C,9010456188,5,BA,NF,RU,3,3,3,N,0,55
010456751C,9010456751,4,BA,NF,ET,2,2,2,N,4,44
010456928C,9010456928,4,BA,NF,,0,0,2,Y,4,53
010457291C,9010457291,4,BA,NF,,0,0,2,Y,4,53
010457536C,9010457536,4,BA,NF,,0,0,2,Y,4,22
010457537C,9010457537,4,BA,NF,,0,0,2,Y,4,53
010457603C,9010457603,4,BA,NF,,0,0,2,Y,4,53
010457623C,9010457623,1,BA,NF,,1,1,1,N,3,22
010458190C,9010458190,5,BA,NF,,0,0,3,Y,4,55
010458520C,9010458520,4,BA,NF,,0,0,2,Y,4,55
010458525C,9010458525,4,BA,NF,,0,0,2,Y,0,22
010458526C,9010458526,4,BA,NF,,0,0,2,Y,4,22
010458657C,9010458657,1,BA,NF,,1,1,1,N,1,53
010458663C,9010458663,4,BA,NF,PU,0,0,0,N,4,53
010458744C,9010458744,4,BA,NF,,0,0,2,Y,4,55
010459011C,9010459011,4,BA,NF,,0,0,2,Y,4,22
010459050C,9010459050,5,BA,NF,PU,0,0,0,N,4,55
010459164C,9010459164,4,BA,NF,PU,0,0,0,N,4,53
010459336C,9010459336,4,BA,NF,PU,0,0,0,N,4,41
010459421C,9010459421,4,BA,NF,,0,0,2,Y,4,22
010459527C,9010459527,4,BA,NF,,0,0,2,Y,4,22
010459579C,9010459579,4,BA,NF,ET,2,2,2,N,0,57
010459653C,9010459653,4,BA,NF,,0,0,2,Y,4,53
010459723C,9010459723,4,BA,NF,ET,2,2,2,N,4,44
