policy_number,relationship_count,insured_count,beneficiary_count,payee_count,owner_count,trustee_count,assignee_count,custodian_count,distinct_relate_codes,likely_primary_relationship,possible_conflict_flag
9010377918,20,2,6,4,2,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010378710,7,1,1,1,1,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010378829,8,1,2,1,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010379405,11,2,1,3,1,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010381745,16,2,4,2,2,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010382520,10,2,2,3,1,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010382931,14,2,2,4,2,0,0,0,B1|IN|PA|PE|PO|SA,PE,Y
9010385491,30,2,8,12,2,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010385636,16,2,4,4,2,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010388767,7,1,2,1,1,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010389651,7,1,1,1,1,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010389802,12,2,2,2,2,0,0,0,B1|IN|PA|PE|PO|SA,PE,Y
9010390061,20,2,6,4,2,0,0,0,B1|B2|IN|PA|PE|PO|SA|WA,PE,Y
9010391228,7,1,2,1,1,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010391355,14,2,4,2,2,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010391359,18,2,4,2,2,0,0,0,B1|B2|BK|GU|IN|PA|PE|PO|SA,PE,Y
9010391422,11,1,4,1,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010391895,14,2,2,2,2,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010392138,28,4,6,4,4,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010392493,18,2,2,4,2,0,0,0,B1|BK|IN|PA|PE|PO|SA|WA,PE,Y
9010392763,30,2,10,8,2,0,0,0,B1|BK|IN|PA|PE|PO|PW|SA,PE,Y
9010393142,16,2,6,2,2,0,0,0,B1|IN|PA|PE|PO|SA,PE,Y
9010393143,14,2,4,2,2,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010393158,16,2,2,6,2,0,0,0,B1|IN|PA|PE|PO|SA,PE,Y
9010393181,20,2,8,2,2,0,0,0,B1|B2|IN|PA|PE|PO|SA|WA,PE,Y
9010393931,20,2,4,8,2,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010394249,14,2,4,2,2,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010394662,10,1,2,3,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010395098,14,2,4,2,2,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010395382,20,2,4,4,2,0,2,0,AS|B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010395761,7,1,1,1,1,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010395878,18,2,4,4,2,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010395879,46,2,16,20,2,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010396147,18,2,4,4,2,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010397118,16,2,4,2,2,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010397318,10,1,2,3,1,0,0,0,B1|IN|PA|PE|PO|PW|SA,PE,Y
9010397528,7,1,2,1,1,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010397583,14,2,4,2,2,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010397945,10,1,2,3,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010398274,28,2,10,8,2,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010398591,23,1,9,10,1,0,0,0,B1|IN|PA|PE|PO|SA,PE,Y
9010400462,11,1,2,4,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010401181,8,1,2,1,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010401565,8,1,2,2,1,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010402010,14,2,2,4,2,0,0,0,B1|IN|PA|PE|PO|SA,PE,Y
9010402014,18,2,4,6,2,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010402060,16,2,4,2,2,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010402061,16,2,4,2,2,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010402899,7,1,2,1,1,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010403109,14,1,1,9,1,0,0,0,B1|IN|PA|PE|PO|SA,PE,Y
9010403922,20,2,4,2,2,0,0,0,B1|B2|BK|IN|PA|PE|PO|PW|SA,PE,Y
9010404602,7,1,2,1,1,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010404857,10,1,2,2,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010405642,8,1,2,1,1,0,0,0,B1|B2|IN|PA|PE|PO|PW|SA,PE,Y
9010405858,16,2,4,2,2,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010406795,9,1,1,1,1,0,0,0,B1|BK|IN|PA|PE|PO|PW|SA,PE,Y
9010406962,8,1,2,1,1,0,1,0,AS|B1|B2|IN|PA|PE|PO|SA,PE,Y
9010407533,15,1,4,5,1,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010407534,8,1,2,1,1,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010410566,16,2,6,2,2,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010410714,16,2,2,2,2,0,0,0,B1|IN|PA|PE|PO|PW|SA,PE,Y
9010411499,18,2,4,4,2,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010411727,10,1,2,3,1,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010411920,8,1,2,1,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010412522,18,2,6,2,2,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010412526,8,1,1,1,1,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010412640,16,2,4,2,2,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010413417,16,2,4,2,2,0,0,0,B1|B2|IN|PA|PE|PO|SA|WA,PE,Y
9010413628,18,2,4,4,2,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010413745,6,1,1,1,1,0,0,0,B1|IN|PA|PE|PO|SA,PE,Y
9010414235,16,2,4,2,2,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010415834,14,2,2,2,2,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010417200,6,1,1,1,1,0,0,0,B1|IN|PA|PE|PO|SA,PE,Y
9010418088,10,1,4,1,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010418562,14,2,2,2,2,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010420983,30,2,8,12,2,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010422033,16,2,4,4,2,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010423540,12,2,2,2,2,0,0,0,B1|IN|PA|PE|PO|SA,PE,Y
9010424798,14,2,2,4,2,0,0,0,B1|IN|PA|PE|PO|SA,PE,Y
9010425718,9,1,3,1,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010425720,6,1,1,1,1,0,0,0,B1|IN|PA|PE|PO|SA,PE,Y
9010425845,7,1,1,2,1,0,0,0,B1|IN|PA|PE|PO|SA,PE,Y
9010425928,16,2,2,2,2,0,0,0,B1|BK|IN|PA|PE|PO|SA|WA,PE,Y
9010425942,12,2,2,2,2,0,0,0,B1|IN|PA|PE|PO|SA,PE,Y
9010425944,12,3,3,2,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010426657,30,2,6,14,2,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010426747,12,2,2,2,2,0,0,0,B1|IN|PA|PE|PO|SA,PE,Y
9010426858,20,2,4,4,2,0,2,0,AS|B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010426961,10,1,2,2,1,0,1,0,AS|B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010427456,14,2,2,2,2,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010427457,22,2,10,2,2,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010427723,18,2,8,2,2,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010428771,7,1,1,2,1,0,0,0,B1|IN|PA|PE|PO|SA,PE,Y
9010429064,6,1,1,1,1,0,0,0,B1|IN|PA|PE|PO|SA,PE,Y
9010429066,8,1,3,1,1,0,0,0,B1|IN|PA|PE|PO|SA,PE,Y
9010429259,12,1,3,3,1,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010429532,16,2,2,4,2,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010429558,7,1,1,1,1,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010429710,11,1,3,1,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|PW|SA,PE,Y
9010429711,11,1,3,1,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|PW|SA,PE,Y
9010429893,8,1,3,1,1,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010429958,16,2,4,2,2,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010429965,14,2,2,2,2,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010430023,18,2,6,2,2,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010430086,14,2,2,2,2,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010430295,7,1,2,1,1,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010430296,11,1,5,1,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010431738,7,1,2,1,1,0,0,0,B1|IN|PA|PE|PO|SA,PE,Y
9010432782,9,1,1,3,1,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010432865,14,2,2,2,2,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010432866,14,2,2,2,2,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010433786,10,1,1,3,1,0,1,0,AS|B1|BK|IN|PA|PE|PO|SA,PE,Y
9010434419,26,2,6,8,2,0,2,0,AS|B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010434421,16,2,2,4,2,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010434424,14,2,2,2,2,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010434747,18,1,4,8,1,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010434876,28,2,6,10,2,0,2,0,AS|B1|BK|IN|PA|PE|PO|SA,PE,Y
9010435244,8,1,2,1,1,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010435248,12,2,2,2,2,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010435466,8,1,2,1,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010436044,9,1,2,1,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010436599,7,1,1,2,1,0,0,0,B1|IN|PA|PE|PO|SA,PE,Y
9010436691,11,1,2,2,1,0,1,0,AS|B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010436727,16,2,2,2,2,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010436955,14,1,4,4,1,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010437335,16,2,2,2,2,0,0,0,B1|BK|IN|PA|PE|PO|SA|WA,PE,Y
9010437794,7,1,1,1,1,0,1,0,AS|B1|IN|PA|PE|PO|SA,PE,Y
9010438325,16,2,5,2,2,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010438556,36,8,4,12,4,0,0,0,B1|IN|PA|PE|PO|SA,PE,Y
9010438821,18,1,7,5,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010438942,16,2,4,2,2,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010439084,7,1,1,2,1,0,0,0,B1|IN|PA|PE|PO|SA,PE,Y
9010439156,9,1,3,1,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010439181,8,1,3,1,1,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010439435,7,1,1,2,1,0,0,0,B1|IN|PA|PE|PO|SA,PE,Y
9010439527,7,1,1,1,1,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010439836,6,1,1,1,1,0,0,0,B1|IN|PA|PE|PO|SA,PE,Y
9010440345,9,1,2,2,1,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010440370,11,1,3,3,1,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010440371,8,2,1,1,1,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010441927,10,1,2,2,1,0,1,0,AS|B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010442216,7,1,1,0,1,0,0,0,B1|BK|IN|PA|PO|PW|SA,B1,Y
9010442230,16,2,4,2,2,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010442330,8,1,2,1,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010442332,16,2,4,2,2,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010442552,13,2,3,2,2,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010442906,14,2,4,2,2,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010443109,18,2,4,2,2,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA|WA,PE,Y
9010443287,14,2,2,4,2,0,0,0,B1|IN|PA|PE|PO|SA,PE,Y
9010443646,14,2,2,4,2,0,0,0,B1|IN|PA|PE|PO|SA,PE,Y
9010443816,8,1,2,1,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010444207,9,1,2,1,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010444283,9,1,2,1,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|PW|SA,PE,Y
9010444917,12,2,2,2,2,0,0,0,B1|IN|PA|PE|PO|SA,PE,Y
9010445074,7,1,1,2,1,0,0,0,B1|IN|PA|PE|PO|SA,PE,Y
9010445091,8,1,2,1,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010445131,7,1,1,1,1,0,0,0,B1|IN|PA|PE|PO|PW|SA,PE,Y
9010445275,13,1,3,4,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|PW|SA,PE,Y
9010445351,14,2,2,2,2,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010445575,14,2,2,2,2,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010445719,15,1,4,5,1,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010446416,9,1,2,1,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010446638,8,1,2,2,1,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010446852,18,2,4,2,2,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA|WA,PE,Y
9010447574,9,1,2,1,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010448025,9,1,1,0,1,0,0,0,B1|BK|IN|PA|PO|PW|SA,B1,Y
9010448375,8,1,2,1,1,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010448806,7,1,2,1,1,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010449050,18,2,4,2,2,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA|WA,PE,Y
9010449074,7,1,2,1,1,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010449075,9,1,3,1,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010449155,10,1,4,1,1,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010449333,8,1,3,1,1,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010449512,11,1,2,2,1,0,0,0,B1|BK|IN|O1|PA|PE|PO|SA,PE,Y
9010449514,8,1,2,1,1,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010449559,8,1,1,1,1,0,0,0,B1|BK|IN|PA|PE|PO|PW|SA,PE,Y
9010449959,7,1,1,2,1,0,0,0,B1|IN|PA|PE|PO|SA,PE,Y
9010450135,7,1,2,1,1,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010450174,8,1,2,0,1,0,1,0,AS|B1|B2|BK|IN|PA|PO|SA,B1,Y
9010451215,14,2,2,2,2,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010451650,18,2,2,0,2,0,0,0,B1|BK|IN|PA|PO|PW|SA|WA,B1,Y
9010452169,16,2,4,4,2,0,0,0,B1|IN|PA|PE|PO|SA,PE,Y
9010452516,10,1,2,3,1,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010454002,28,2,4,6,2,0,0,0,B1|B2|IN|PA|PE|PO|SA|WA,PE,Y
9010454003,26,2,4,4,2,0,0,0,B1|B2|IN|PA|PE|PO|SA|WA,PE,Y
9010455341,8,1,2,2,1,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010455617,6,1,1,1,1,0,0,0,B1|IN|PA|PE|PO|SA,PE,Y
9010456928,20,2,4,2,2,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA|WA,PE,Y
9010457291,24,2,4,2,2,0,2,0,AS|B1|B2|BK|IN|PA|PE|PO|PW|SA|WA,PE,Y
9010457537,18,2,4,2,2,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA|WA,PE,Y
9010457603,16,2,2,2,2,0,0,0,B1|BK|GU|IN|PA|PE|PO|SA,PE,Y
9010457623,26,6,8,4,2,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010458190,24,2,6,2,2,0,0,0,B1|B2|BK|IN|PA|PE|PO|PW|SA,PE,Y
9010458520,20,2,6,4,2,0,0,0,B1|B2|IN|PA|PE|PO|SA|WA,PE,Y
9010458657,9,1,2,2,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010458663,22,2,6,6,2,0,0,0,B1|B2|IN|PA|PE|PO|SA|WA,PE,Y
9010458744,20,2,4,2,2,0,0,0,B1|BK|IN|PA|PE|PO|SA|WA,PE,Y
9010459050,8,1,1,2,1,0,0,0,B1|IN|PA|PE|PO|PW|SA,PE,Y
9010459164,10,1,3,2,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010459336,7,1,2,1,1,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010459653,22,2,6,6,2,0,0,0,B1|IN|PA|PE|PO|SA|WA,PE,Y
9010459970,43,2,1,35,2,0,0,0,B1|IN|PA|PE|PO|SA,PE,Y
9010460652,18,2,4,2,2,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA|WA,PE,Y
9010460886,18,2,4,2,2,0,0,0,B1|B2|IN|PA|PE|PO|SA|WA,PE,Y
9010461689,18,2,4,2,2,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA|WA,PE,Y
9010462630,9,1,2,1,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010462631,11,1,3,3,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010462759,8,1,3,1,1,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010462839,14,1,5,3,1,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010463161,26,2,6,6,2,0,0,0,B1|IN|PA|PE|PO|SA|WA,PE,Y
9010463190,20,2,6,4,2,0,0,0,B1|B2|IN|PA|PE|PO|PW|SA,PE,Y
9010463420,9,1,2,1,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010463537,8,1,2,2,1,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010464265,20,2,4,2,2,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA|WA,PE,Y
9010464590,34,2,12,8,2,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA|WA,PE,Y
9010464869,10,1,5,1,1,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010464870,16,1,5,4,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|PW|SA,PE,Y
9010465265,20,2,4,2,2,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA|WA,PE,Y
9010465451,16,2,2,2,2,0,0,0,B1|BK|IN|PA|PE|PO|SA|WA,PE,Y
9010466458,26,2,4,4,2,0,0,0,B1|B2|BK|IN|O1|PA|PE|PO|SA|WA,PE,Y
9010466470,10,1,4,2,1,0,0,0,B1|IN|PA|PE|PO|SA,PE,Y
9010466472,6,1,1,1,1,0,0,0,B1|IN|PA|PE|PO|SA,PE,Y
9010466473,9,2,1,2,2,0,0,0,B1|IN|PA|PE|PO|SA,PE,Y
9010466702,7,1,1,1,1,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010466978,20,2,4,2,2,0,0,0,B1|B2|IN|PA|PE|PO|SA|WA,PE,Y
9010467061,10,1,3,3,1,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010467173,10,1,2,3,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010467190,20,2,4,4,2,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA|WA,PE,Y
9010467771,8,1,2,1,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010468946,11,1,5,1,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010469430,16,1,4,4,1,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010469896,11,1,3,3,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010469984,10,1,3,3,1,0,0,0,B1|IN|PA|PE|PO|SA,PE,Y
9010469985,7,1,2,1,1,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010471769,20,2,4,2,2,0,0,0,B1|BK|IN|PA|PE|PO|PW|SA|WA,PE,Y
9010471933,8,1,2,1,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010472182,7,1,2,1,1,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010472183,7,1,2,1,1,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010473137,9,1,1,1,1,0,0,0,B1|BK|IN|PA|PE|PO|PW|SA,PE,Y
9010473866,11,1,2,3,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010474519,15,1,5,5,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010474522,9,1,2,1,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010475571,16,2,4,4,2,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010475576,8,1,3,1,1,0,0,0,B1|B2|IN|PA|PE|PO|SA,PE,Y
9010475850,17,1,6,5,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010476803,21,1,6,7,1,0,0,0,B1|BK|IN|PA|PE|PO|PW|SA,PE,Y
9010477512,11,1,3,3,1,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010477513,11,1,4,2,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010477989,7,1,1,1,1,0,0,0,B1|BK|IN|PA|PE|PO|SA,PE,Y
9010478259,16,2,4,2,2,0,0,0,B1|B2|IN|PA|PE|PO|SA|WA,PE,Y
9010478285,9,1,2,1,1,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA,PE,Y
9010478574,26,2,6,8,2,0,0,0,B1|BK|IN|PA|PE|PO|SA|WA,PE,Y
9010479749,28,2,10,6,2,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA|WA,PE,Y
9010484821,26,2,8,6,2,0,0,0,B1|BK|IN|PA|PE|PO|SA|WA,PE,Y
9010486919,20,2,4,4,2,0,0,0,B1|B2|BK|IN|PA|PE|PO|SA|WA,PE,Y
9010486964,16,2,4,2,2,0,0,0,B1|B2|IN|PA|PE|PO|SA|WA,PE,Y
