reconstructed_claim_id,settlement_chain_id,lifecycle_event_count,first_activity_date,last_activity_date,settlement_duration_days,payout_detected_flag,offset_detected_flag,withholding_detected_flag,interest_detected_flag,settlement_completion_status,chain_confidence_level
RC-9010348734-1-DISBURSEMENT_CLAIM-C0-20220124,RC-9010348734-1-DISBURSEMENT_CLAIM-C0-20220124-SC1,2,20220124,20220124,0,Y,N,N,N,COMPLETE,HIGH
RC-9010360289-1-SURRENDER_CLAIM-C0-20260401,RC-9010360289-1-SURRENDER_CLAIM-C0-20260401-SC1,2,20260401,20260401,0,N,N,N,N,INCOMPLETE,MEDIUM
RC-9010360290-1-SURRENDER_CLAIM-C0-20260326,RC-9010360290-1-SURRENDER_CLAIM-C0-20260326-SC1,2,20260326,20260326,0,N,N,N,N,INCOMPLETE,MEDIUM
RC-9010363098-1-DEATH_CLAIM-C0-20220917,RC-9010363098-1-DEATH_CLAIM-C0-20220917-SC1,4,20220917,20220917,0,Y,N,N,N,COMPLETE,HIGH
RC-9010363098-1-SURRENDER_CLAIM-C0-20180201,RC-9010363098-1-SURRENDER_CLAIM-C0-20180201-SC1,25,20180201,20181005,246,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010363098-5-DEATH_CLAIM-C0-20220917,RC-9010363098-5-DEATH_CLAIM-C0-20220917-SC1,1,20220917,20220917,0,N,N,N,N,INCOMPLETE,MEDIUM
RC-9010367438-1-DEATH_CLAIM-C0-20211110,RC-9010367438-1-DEATH_CLAIM-C0-20211110-SC1,6,20211110,20211110,0,Y,N,N,N,COMPLETE,HIGH
RC-9010367438-1-SURRENDER_CLAIM-C0-20180628,RC-9010367438-1-SURRENDER_CLAIM-C0-20180628-SC1,3,20180628,20180701,3,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010367438-1-SURRENDER_CLAIM-C1-20190701,RC-9010367438-1-SURRENDER_CLAIM-C1-20190701-SC1,1,20190701,20190701,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010367438-1-SURRENDER_CLAIM-C2-20200701,RC-9010367438-1-SURRENDER_CLAIM-C2-20200701-SC1,1,20200701,20200701,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010367438-1-SURRENDER_CLAIM-C3-20210701,RC-9010367438-1-SURRENDER_CLAIM-C3-20210701-SC1,5,20210701,20210720,19,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010367438-1-SURRENDER_CLAIM-C4-20211110,RC-9010367438-1-SURRENDER_CLAIM-C4-20211110-SC1,1,20211110,20211110,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010367438-2-DEATH_CLAIM-C0-20211110,RC-9010367438-2-DEATH_CLAIM-C0-20211110-SC1,1,20211110,20211110,0,N,N,N,N,INCOMPLETE,MEDIUM
RC-9010367705-1-SURRENDER_CLAIM-C0-20250626,RC-9010367705-1-SURRENDER_CLAIM-C0-20250626-SC1,2,20250626,20250626,0,N,N,N,N,INCOMPLETE,MEDIUM
RC-9010368703-1-DEATH_CLAIM-C0-20210114,RC-9010368703-1-DEATH_CLAIM-C0-20210114-SC1,4,20210114,20210114,0,Y,N,N,N,COMPLETE,HIGH
RC-9010368703-2-DEATH_CLAIM-C0-20210114,RC-9010368703-2-DEATH_CLAIM-C0-20210114-SC1,1,20210114,20210114,0,N,N,N,N,INCOMPLETE,MEDIUM
RC-9010371171-1-DEATH_CLAIM-C0-20240624,RC-9010371171-1-DEATH_CLAIM-C0-20240624-SC1,6,20240624,20240624,0,Y,N,N,N,COMPLETE,HIGH
RC-9010371171-2-DEATH_CLAIM-C0-20240624,RC-9010371171-2-DEATH_CLAIM-C0-20240624-SC1,1,20240624,20240624,0,N,N,N,N,INCOMPLETE,MEDIUM
RC-9010373918-1-SURRENDER_CLAIM-C0-20210412,RC-9010373918-1-SURRENDER_CLAIM-C0-20210412-SC1,2,20210412,20210412,0,N,N,N,N,INCOMPLETE,MEDIUM
RC-9010374779-1-DEATH_CLAIM-C0-20200530,RC-9010374779-1-DEATH_CLAIM-C0-20200530-SC1,3,20200530,20200530,0,Y,N,N,N,COMPLETE,HIGH
RC-9010374779-2-DEATH_CLAIM-C0-20200530,RC-9010374779-2-DEATH_CLAIM-C0-20200530-SC1,1,20200530,20200530,0,N,N,N,N,INCOMPLETE,MEDIUM
RC-9010376522-1-SURRENDER_CLAIM-C0-20181006,RC-9010376522-1-SURRENDER_CLAIM-C0-20181006-SC1,4,20181006,20181006,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010376522-1-SURRENDER_CLAIM-C1-20191006,RC-9010376522-1-SURRENDER_CLAIM-C1-20191006-SC1,4,20191006,20191006,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010376522-1-SURRENDER_CLAIM-C2-20201006,RC-9010376522-1-SURRENDER_CLAIM-C2-20201006-SC1,4,20201006,20201006,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010376522-1-SURRENDER_CLAIM-C3-20211006,RC-9010376522-1-SURRENDER_CLAIM-C3-20211006-SC1,4,20211006,20211006,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010376529-1-SURRENDER_CLAIM-C0-20180914,RC-9010376529-1-SURRENDER_CLAIM-C0-20180914-SC1,6,20180914,20181126,73,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010376529-1-SURRENDER_CLAIM-C1-20190614,RC-9010376529-1-SURRENDER_CLAIM-C1-20190614-SC1,3,20190614,20190614,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010376540-1-DEATH_CLAIM-C0-20181014,RC-9010376540-1-DEATH_CLAIM-C0-20181014-SC1,7,20181014,20181014,0,Y,N,N,Y,COMPLETE,HIGH
RC-9010376540-1-DEATH_CLAIM-C1-20190220,RC-9010376540-1-DEATH_CLAIM-C1-20190220-SC1,2,20190220,20190220,0,Y,N,N,N,PARTIAL,MEDIUM
RC-9010376540-2-DEATH_CLAIM-C0-20181014,RC-9010376540-2-DEATH_CLAIM-C0-20181014-SC1,3,20181014,20181014,0,N,N,N,N,INCOMPLETE,MEDIUM
RC-9010377918-1-SURRENDER_CLAIM-C0-20250331,RC-9010377918-1-SURRENDER_CLAIM-C0-20250331-SC1,2,20250331,20250331,0,N,N,N,N,INCOMPLETE,MEDIUM
RC-9010378710-1-DEATH_CLAIM-C0-20210210,RC-9010378710-1-DEATH_CLAIM-C0-20210210-SC1,3,20210210,20210210,0,Y,N,N,N,COMPLETE,HIGH
RC-9010378710-2-DEATH_CLAIM-C0-20210210,RC-9010378710-2-DEATH_CLAIM-C0-20210210-SC1,1,20210210,20210210,0,N,N,N,N,INCOMPLETE,MEDIUM
RC-9010378829-1-DEATH_CLAIM-C0-20210829,RC-9010378829-1-DEATH_CLAIM-C0-20210829-SC1,3,20210829,20210829,0,Y,N,N,N,COMPLETE,HIGH
RC-9010378829-2-DEATH_CLAIM-C0-20210829,RC-9010378829-2-DEATH_CLAIM-C0-20210829-SC1,1,20210829,20210829,0,N,N,N,N,INCOMPLETE,MEDIUM
RC-9010379405-1-SURRENDER_CLAIM-C0-20230526,RC-9010379405-1-SURRENDER_CLAIM-C0-20230526-SC1,2,20230526,20230526,0,N,N,N,N,INCOMPLETE,MEDIUM
RC-9010380049-1-SURRENDER_CLAIM-C0-20181113,RC-9010380049-1-SURRENDER_CLAIM-C0-20181113-SC1,1,20181113,20181113,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010380049-1-SURRENDER_CLAIM-C1-20191113,RC-9010380049-1-SURRENDER_CLAIM-C1-20191113-SC1,1,20191113,20191113,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010380049-1-SURRENDER_CLAIM-C2-20201113,RC-9010380049-1-SURRENDER_CLAIM-C2-20201113-SC1,5,20201113,20201208,25,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010380049-1-SURRENDER_CLAIM-C3-20211113,RC-9010380049-1-SURRENDER_CLAIM-C3-20211113-SC1,1,20211113,20211113,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010380049-1-SURRENDER_CLAIM-C4-20221113,RC-9010380049-1-SURRENDER_CLAIM-C4-20221113-SC1,4,20221113,20221113,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010380049-1-SURRENDER_CLAIM-C5-20231113,RC-9010380049-1-SURRENDER_CLAIM-C5-20231113-SC1,1,20231113,20231113,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010380049-1-SURRENDER_CLAIM-C6-20241113,RC-9010380049-1-SURRENDER_CLAIM-C6-20241113-SC1,3,20241113,20241205,22,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010380049-1-SURRENDER_CLAIM-C7-20251113,RC-9010380049-1-SURRENDER_CLAIM-C7-20251113-SC1,1,20251113,20251113,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010380627-1-SURRENDER_CLAIM-C0-20181125,RC-9010380627-1-SURRENDER_CLAIM-C0-20181125-SC1,1,20181125,20181125,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010380627-1-SURRENDER_CLAIM-C1-20190813,RC-9010380627-1-SURRENDER_CLAIM-C1-20190813-SC1,2,20190813,20190813,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010380627-1-SURRENDER_CLAIM-C10-20251125,RC-9010380627-1-SURRENDER_CLAIM-C10-20251125-SC1,1,20251125,20251125,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010380627-1-SURRENDER_CLAIM-C2-20191125,RC-9010380627-1-SURRENDER_CLAIM-C2-20191125-SC1,1,20191125,20191125,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010380627-1-SURRENDER_CLAIM-C3-20200825,RC-9010380627-1-SURRENDER_CLAIM-C3-20200825-SC1,3,20200825,20200825,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010380627-1-SURRENDER_CLAIM-C4-20201125,RC-9010380627-1-SURRENDER_CLAIM-C4-20201125-SC1,1,20201125,20201125,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010380627-1-SURRENDER_CLAIM-C5-20211125,RC-9010380627-1-SURRENDER_CLAIM-C5-20211125-SC1,1,20211125,20211125,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010380627-1-SURRENDER_CLAIM-C6-20230825,RC-9010380627-1-SURRENDER_CLAIM-C6-20230825-SC1,2,20230825,20230825,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010380627-1-SURRENDER_CLAIM-C7-20231125,RC-9010380627-1-SURRENDER_CLAIM-C7-20231125-SC1,1,20231125,20231125,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010380627-1-SURRENDER_CLAIM-C8-20240814,RC-9010380627-1-SURRENDER_CLAIM-C8-20240814-SC1,2,20240814,20240814,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010380627-1-SURRENDER_CLAIM-C9-20241120,RC-9010380627-1-SURRENDER_CLAIM-C9-20241120-SC1,3,20241120,20241125,5,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010381745-1-SURRENDER_CLAIM-C0-20180101,RC-9010381745-1-SURRENDER_CLAIM-C0-20180101-SC1,1,20180101,20180101,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010381745-1-SURRENDER_CLAIM-C1-20190101,RC-9010381745-1-SURRENDER_CLAIM-C1-20190101-SC1,1,20190101,20190101,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010381745-1-SURRENDER_CLAIM-C2-20200101,RC-9010381745-1-SURRENDER_CLAIM-C2-20200101-SC1,4,20200101,20200121,20,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010382426-1-SURRENDER_CLAIM-C0-20180112,RC-9010382426-1-SURRENDER_CLAIM-C0-20180112-SC1,1,20180112,20180112,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010382426-1-SURRENDER_CLAIM-C1-20180404,RC-9010382426-1-SURRENDER_CLAIM-C1-20180404-SC1,2,20180404,20180404,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010382426-1-SURRENDER_CLAIM-C10-20230112,RC-9010382426-1-SURRENDER_CLAIM-C10-20230112-SC1,1,20230112,20230112,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010382426-1-SURRENDER_CLAIM-C11-20230322,RC-9010382426-1-SURRENDER_CLAIM-C11-20230322-SC1,2,20230322,20230322,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010382426-1-SURRENDER_CLAIM-C12-20240112,RC-9010382426-1-SURRENDER_CLAIM-C12-20240112-SC1,3,20240112,20240229,48,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010382426-1-SURRENDER_CLAIM-C13-20250112,RC-9010382426-1-SURRENDER_CLAIM-C13-20250112-SC1,3,20250112,20250224,43,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010382426-1-SURRENDER_CLAIM-C14-20260112,RC-9010382426-1-SURRENDER_CLAIM-C14-20260112-SC1,3,20260112,20260227,46,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010382426-1-SURRENDER_CLAIM-C2-20190112,RC-9010382426-1-SURRENDER_CLAIM-C2-20190112-SC1,1,20190112,20190112,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010382426-1-SURRENDER_CLAIM-C3-20190405,RC-9010382426-1-SURRENDER_CLAIM-C3-20190405-SC1,2,20190405,20190405,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010382426-1-SURRENDER_CLAIM-C4-20200112,RC-9010382426-1-SURRENDER_CLAIM-C4-20200112-SC1,1,20200112,20200112,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010382426-1-SURRENDER_CLAIM-C5-20200412,RC-9010382426-1-SURRENDER_CLAIM-C5-20200412-SC1,2,20200412,20200412,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010382426-1-SURRENDER_CLAIM-C6-20210112,RC-9010382426-1-SURRENDER_CLAIM-C6-20210112-SC1,1,20210112,20210112,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010382426-1-SURRENDER_CLAIM-C7-20210322,RC-9010382426-1-SURRENDER_CLAIM-C7-20210322-SC1,2,20210322,20210322,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010382426-1-SURRENDER_CLAIM-C8-20220112,RC-9010382426-1-SURRENDER_CLAIM-C8-20220112-SC1,1,20220112,20220112,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010382426-1-SURRENDER_CLAIM-C9-20220412,RC-9010382426-1-SURRENDER_CLAIM-C9-20220412-SC1,2,20220412,20220412,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010382520-1-DEATH_CLAIM-C0-20200820,RC-9010382520-1-DEATH_CLAIM-C0-20200820-SC1,2,20200820,20200820,0,Y,N,N,N,COMPLETE,HIGH
RC-9010382520-3-DEATH_CLAIM-C0-20200820,RC-9010382520-3-DEATH_CLAIM-C0-20200820-SC1,1,20200820,20200820,0,N,N,N,N,INCOMPLETE,MEDIUM
RC-9010382931-1-DEATH_CLAIM-C0-20220210,RC-9010382931-1-DEATH_CLAIM-C0-20220210-SC1,5,20220210,20220210,0,Y,N,N,N,COMPLETE,HIGH
RC-9010382931-1-SURRENDER_CLAIM-C0-20180115,RC-9010382931-1-SURRENDER_CLAIM-C0-20180115-SC1,3,20180115,20180117,2,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010382931-1-SURRENDER_CLAIM-C1-20190117,RC-9010382931-1-SURRENDER_CLAIM-C1-20190117-SC1,3,20190117,20190117,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010382931-1-SURRENDER_CLAIM-C2-20200117,RC-9010382931-1-SURRENDER_CLAIM-C2-20200117-SC1,3,20200117,20200129,12,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010382931-1-SURRENDER_CLAIM-C3-20210114,RC-9010382931-1-SURRENDER_CLAIM-C3-20210114-SC1,3,20210114,20210117,3,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010382931-1-SURRENDER_CLAIM-C4-20220117,RC-9010382931-1-SURRENDER_CLAIM-C4-20220117-SC1,4,20220117,20220210,24,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010382931-2-DEATH_CLAIM-C0-20220210,RC-9010382931-2-DEATH_CLAIM-C0-20220210-SC1,1,20220210,20220210,0,N,N,N,N,INCOMPLETE,MEDIUM
RC-9010385491-1-DEATH_CLAIM-C0-20190501,RC-9010385491-1-DEATH_CLAIM-C0-20190501-SC1,11,20190501,20190501,0,Y,N,N,Y,COMPLETE,HIGH
RC-9010385491-1-DEATH_CLAIM-C1-20210707,RC-9010385491-1-DEATH_CLAIM-C1-20210707-SC1,2,20210707,20210707,0,Y,N,N,N,PARTIAL,MEDIUM
RC-9010385491-2-DEATH_CLAIM-C0-20190501,RC-9010385491-2-DEATH_CLAIM-C0-20190501-SC1,3,20190501,20190501,0,N,N,N,N,INCOMPLETE,MEDIUM
RC-9010385636-1-SURRENDER_CLAIM-C0-20180209,RC-9010385636-1-SURRENDER_CLAIM-C0-20180209-SC1,1,20180209,20180209,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010385636-1-SURRENDER_CLAIM-C1-20180507,RC-9010385636-1-SURRENDER_CLAIM-C1-20180507-SC1,3,20180507,20180507,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010389651-1-DEATH_CLAIM-C0-20240727,RC-9010389651-1-DEATH_CLAIM-C0-20240727-SC1,3,20240727,20240727,0,Y,N,N,N,COMPLETE,HIGH
RC-9010389651-2-DEATH_CLAIM-C0-20240727,RC-9010389651-2-DEATH_CLAIM-C0-20240727-SC1,1,20240727,20240727,0,N,N,N,N,INCOMPLETE,MEDIUM
RC-9010389802-1-SURRENDER_CLAIM-C0-20201026,RC-9010389802-1-SURRENDER_CLAIM-C0-20201026-SC1,2,20201026,20201026,0,N,N,N,N,INCOMPLETE,MEDIUM
RC-9010391004-1-SURRENDER_CLAIM-C0-20180501,RC-9010391004-1-SURRENDER_CLAIM-C0-20180501-SC1,3,20180501,20180516,15,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010391004-1-SURRENDER_CLAIM-C1-20190501,RC-9010391004-1-SURRENDER_CLAIM-C1-20190501-SC1,3,20190501,20190513,12,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010391004-1-SURRENDER_CLAIM-C2-20200501,RC-9010391004-1-SURRENDER_CLAIM-C2-20200501-SC1,3,20200501,20200518,17,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010391004-1-SURRENDER_CLAIM-C3-20210501,RC-9010391004-1-SURRENDER_CLAIM-C3-20210501-SC1,3,20210501,20210518,17,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010391004-1-SURRENDER_CLAIM-C4-20220501,RC-9010391004-1-SURRENDER_CLAIM-C4-20220501-SC1,3,20220501,20220523,22,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010391004-1-SURRENDER_CLAIM-C5-20230501,RC-9010391004-1-SURRENDER_CLAIM-C5-20230501-SC1,3,20230501,20230512,11,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010391004-1-SURRENDER_CLAIM-C6-20240501,RC-9010391004-1-SURRENDER_CLAIM-C6-20240501-SC1,3,20240501,20240514,13,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010391004-1-SURRENDER_CLAIM-C7-20250501,RC-9010391004-1-SURRENDER_CLAIM-C7-20250501-SC1,3,20250501,20250528,27,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010391228-1-SURRENDER_CLAIM-C0-20180421,RC-9010391228-1-SURRENDER_CLAIM-C0-20180421-SC1,4,20180421,20180421,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010391228-1-SURRENDER_CLAIM-C1-20181021,RC-9010391228-1-SURRENDER_CLAIM-C1-20181021-SC1,3,20181021,20181021,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010391228-1-SURRENDER_CLAIM-C10-20230421,RC-9010391228-1-SURRENDER_CLAIM-C10-20230421-SC1,4,20230421,20230421,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010391228-1-SURRENDER_CLAIM-C11-20231021,RC-9010391228-1-SURRENDER_CLAIM-C11-20231021-SC1,3,20231021,20231021,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010391228-1-SURRENDER_CLAIM-C12-20240319,RC-9010391228-1-SURRENDER_CLAIM-C12-20240319-SC1,3,20240319,20240319,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010391228-1-SURRENDER_CLAIM-C2-20190421,RC-9010391228-1-SURRENDER_CLAIM-C2-20190421-SC1,4,20190421,20190421,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010391228-1-SURRENDER_CLAIM-C3-20191021,RC-9010391228-1-SURRENDER_CLAIM-C3-20191021-SC1,3,20191021,20191021,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010391228-1-SURRENDER_CLAIM-C4-20200421,RC-9010391228-1-SURRENDER_CLAIM-C4-20200421-SC1,4,20200421,20200421,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010391228-1-SURRENDER_CLAIM-C5-20201021,RC-9010391228-1-SURRENDER_CLAIM-C5-20201021-SC1,3,20201021,20201021,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010391228-1-SURRENDER_CLAIM-C6-20210421,RC-9010391228-1-SURRENDER_CLAIM-C6-20210421-SC1,4,20210421,20210421,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010391228-1-SURRENDER_CLAIM-C7-20211021,RC-9010391228-1-SURRENDER_CLAIM-C7-20211021-SC1,3,20211021,20211021,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010391228-1-SURRENDER_CLAIM-C8-20220421,RC-9010391228-1-SURRENDER_CLAIM-C8-20220421-SC1,4,20220421,20220421,0,N,Y,N,N,INCOMPLETE,MEDIUM
RC-9010391228-1-SURRENDER_CLAIM-C9-20221021,RC-9010391228-1-SURRENDER_CLAIM-C9-20221021-SC1,3,20221021,20221021,0,N,Y,N,N,INCOMPLETE,MEDIUM
