policy_number,name_id,relationship_roles,role_count,individual_or_business,overlap_type,potential_resolution_risk
9011163086,212056,B1|IN|PA|PE|PO,5,INDIVIDUAL,BENEFICIARY_PAYEE_SAME|INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9011192322,40112,IN|PA|PE|PO|SA,5,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9011196134,703602,B1|PA|PE|PO|PW,5,INDIVIDUAL,BENEFICIARY_PAYEE_SAME|POA_BENEFICIARY_SAME,MEDIUM
9011196169,34368,IN|PA|PE|PO|SA,5,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9011218020,281292,B1|PA|PE|PO|PW,5,INDIVIDUAL,BENEFICIARY_PAYEE_SAME|POA_BENEFICIARY_SAME,MEDIUM
9011225329,298449,B2|IN|PA|PE|PO,5,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME|SECONDARY_BENEFICIARY_PAYEE_SAME,MEDIUM
901142D978,692847,B1|IN|PA|PE|PO,5,INDIVIDUAL,BENEFICIARY_PAYEE_SAME|INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
901185D536,692847,B1|IN|PA|PE|PO,5,INDIVIDUAL,BENEFICIARY_PAYEE_SAME|INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9015000570,614132,B1|IN|PA|PE|PO,5,INDIVIDUAL,BENEFICIARY_PAYEE_SAME|INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9018253,692428,IN|ML|PA|PE|PO,5,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
901ML4054,692463,IN|ML|PA|PE|PO,5,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
901ML8378A,692633,IN|ML|PA|PE|PO,5,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
901ML8457,692501,IN|ML|PA|PE|PO,5,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010149834,590264,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010154425,590277,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010185592,590307,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010235370,590311,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010264207,590326,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010335095,590355,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010346921,590357,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010348734,590361,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010360289,587630,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010360290,587631,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010367705,587650,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010373918,587669,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010376522,590378,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010376529,587684,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010377918,587690,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010379405,590386,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010381745,587710,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010382520,590407,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010382931,590409,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010385636,590349,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010388767,587738,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010389802,590416,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010390061,587755,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010391228,590418,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010391355,587772,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010391422,587776,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010391895,587793,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010392138,587796,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010392493,587808,B1|PA|PE|PO,4,BUSINESS,BENEFICIARY_PAYEE_SAME,MEDIUM
9010393142,587832,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010393143,587833,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010393158,587839,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010393181,237424,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010395098,587888,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010395761,587900,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010395879,587905,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010397118,587934,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010397318,587938,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010397528,587940,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010397583,587946,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010400462,587984,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010401565,587999,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010402010,588001,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010402060,588004,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010402061,588005,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010402899,588010,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010403109,588011,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010403922,697633,B1|PA|PE|PO,4,INDIVIDUAL,BENEFICIARY_PAYEE_SAME,MEDIUM
9010404602,588039,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010405642,588062,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010405858,588065,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010407533,588108,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010407534,588109,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010411920,590440,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010412526,588157,B1|PA|PE|PO,4,INDIVIDUAL,BENEFICIARY_PAYEE_SAME,MEDIUM
9010413628,588175,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010413745,590443,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010420983,588237,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010422033,588249,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010423540,588263,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010424798,588273,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010425845,588281,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010425942,590451,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010425944,590452,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010426747,590455,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010427456,588316,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010429066,588344,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010429558,710259,B1|PA|PE|PO,4,BUSINESS,BENEFICIARY_PAYEE_SAME,MEDIUM
9010429710,588360,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010429711,588361,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010429893,588372,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010430295,588397,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010432782,588463,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010432865,588469,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010432866,588470,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010434419,588514,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010434421,588516,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010434424,588519,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010435244,588561,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010435248,588564,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010436599,588607,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010436727,588621,B1|PA|PE|PO,4,BUSINESS,BENEFICIARY_PAYEE_SAME,MEDIUM
9010437335,588641,B1|PA|PE|PO,4,INDIVIDUAL,BENEFICIARY_PAYEE_SAME,MEDIUM
9010439084,590490,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010439181,588708,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010439435,588714,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010439527,588716,B1|PA|PE|PO,4,INDIVIDUAL,BENEFICIARY_PAYEE_SAME,MEDIUM
9010440371,590504,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010442330,588771,B1|PA|PE|PO,4,INDIVIDUAL,BENEFICIARY_PAYEE_SAME,MEDIUM
9010442332,588772,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010442552,588777,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010442906,590508,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010443287,588797,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010443646,588804,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010444207,588816,B1|PA|PE|PO,4,INDIVIDUAL,BENEFICIARY_PAYEE_SAME,MEDIUM
9010444283,588820,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010444917,588827,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010445074,588829,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010445275,590515,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010445575,588835,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010446416,588848,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010446638,588859,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010446852,588868,B1|PA|PE|PO,4,INDIVIDUAL,BENEFICIARY_PAYEE_SAME,MEDIUM
9010448375,588912,B1|PA|PE|PO,4,INDIVIDUAL,BENEFICIARY_PAYEE_SAME,MEDIUM
9010448806,588929,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010449050,588939,B1|PA|PE|PO,4,INDIVIDUAL,BENEFICIARY_PAYEE_SAME,MEDIUM
9010449155,588949,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010449333,588953,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010449512,588962,B1|PA|PE|PO,4,INDIVIDUAL,BENEFICIARY_PAYEE_SAME,MEDIUM
9010449514,588962,B1|PA|PE|PO,4,INDIVIDUAL,BENEFICIARY_PAYEE_SAME,MEDIUM
9010449959,588977,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010450135,588985,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010452169,589048,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010452516,684376,B1|PA|PE|PO,4,INDIVIDUAL,BENEFICIARY_PAYEE_SAME,MEDIUM
9010454002,589082,B1|PA|PE|PO,4,INDIVIDUAL,BENEFICIARY_PAYEE_SAME,MEDIUM
9010454003,589083,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010455341,589090,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010457623,590554,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010458190,589155,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010458520,589163,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010458657,590559,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010458663,589175,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010458744,589177,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010459050,589183,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010459336,589192,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010459970,589216,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010460652,589228,B1|PA|PE|PO,4,INDIVIDUAL,BENEFICIARY_PAYEE_SAME,MEDIUM
9010460886,589239,IN|PA|PE|PO,4,INDIVIDUAL,INSURED_OWNER_SAME|INSURED_PAYEE_SAME|INSURED_PAYOR_OWNER_SAME,MEDIUM
9010461689,685409,B1|PA|PE|PO,4,INDIVIDUAL,BENEFICIARY_PAYEE_SAME,MEDIUM
9010462630,589275,B1|PA|PE|PO,4,INDIVIDUAL,BENEFICIARY_PAYEE_SAME,MEDIUM
