relative_path,file_size,sha256,expected_to_change
qla_core/quikactg_converter.py,8327,eb77e0adf5f1b3409ebe750e58f107917694bb89b655b546049ba66e6a5c8496,N
qla_core/quikaint_closed_riders.py,1700,ec72143057ed96d407296dcb1f76318adf2b7fa6fcae4ad40b4fc729255d0a1b,N
qla_core/quikbenh_loan_history_converter.py,11056,a1978c1bdcf39a842844d2c348cf371b3d578f3f0cc936d4c9f500a8ef4a5dd7,N
qla_core/quikisrr_loader.py,17135,9baab3383527fb86ddf6d66608dac20171a0754596542b905f51b39be086ee50,N
qla_core/quikissc_loader.py,6300,616c566b7de835adfe9b3855e4f9c40a524312b6ca000758f2941e93eb353d59,N
qla_core/quikloan_converter.py,32985,b07fb4973a6bdd25fa58d70b1b175ecbee1676e933a9be921c5aa109f41848f1,N
qla_core/quikmemo_converter.py,10638,8599e3392b09256365f51e2dae056a1bcabb2c17a40e75c8d8cf81282c26da39,N
qla_core/quikmemo_dbf_generator.py,5139,b628d06cca043d6c885fcc0b7653f4070340adb1cc82afc5e54915f52bcf10e3,N
qla_core/quikmstr_active_phase_status.py,7137,a4cda3a909582370a7949ca8a2ea7ff9fc102f472e74dd17691544ca17bf309f,N
qla_core/quikplan_converter.py,21098,3e3c3f8f30934548e73f5a477a173a1ed40bc63ab38f6b6c4d92755edf2628d3,N
qla_core/quikplan_rate_variation_flags.py,33769,2cdc4d91100fc640957bfe7311771c7d03b647c183d90d2eed375d7699a9fdab,N
qla_core/quikplan_source_loader.py,5161,e36b6abb94ebce571e93d95d2f39a1e5b6a2ff671ffac337fbb8678b7853dbbd,N
qla_core/quikuint_loader.py,6626,5e698b4f3f6cf56f31c06ce2ba199c457544c8d61d7089f159d8a53f4f6b8c21,N
qla_core/rate_dbf_schema.py,9810,dd9e3b885d468c2c027d92dac4cf2cb9ee040fb82ded4daa6b9d117c70cfe976,N
qla_core/rate_dbf_writer.py,6390,0569e448316bf51e63c7502365ecb620ad79028ceef85e7559bb94175a9f2fc7,N
qla_core/rate_emit.py,12265,b255cb16b8742abcdfe247204fa151e1a1fc58e90e9f65c203277c8f0e7fdf37,N
qla_core/rate_factor_loader.py,15964,249a484f0c605b72994fc2e2f890283489cdd065cc6fad1528e359b2a983de95,N
qla_core/rate_inheritance_loader.py,10143,8c650b75ada69e03545c12b15126d460c7731883e7e34f1a83ca0ea3d94a7c34,N
qla_core/rate_key_setup.py,5121,97635fbf4cfa842d186ac43a7fc80b9a08e0f07d8ffb7892bd36d189eb1d95de,N
qla_core/rate_member_setup.py,3268,7191c73e6a7f93960b5af5ee1ed1e8fb270c021a60783ef8e7fa5f9022bd5339,N
qla_core/rate_pipeline.py,21463,33ba76eb8a7ddd52312d88e51e4172e489b99938e9cef5128dd02cd4110f4c4a,N
qla_core/rate_segment_resolution.py,5738,7129e1fa2ce58c972eee23192ba29bf6f91b23512e769292dee4d7833c603d1c,N
qla_core/rate_validation.py,7901,a83a64e7c16a101964e6df3b9e278ef0b70430f046e292c1107036674a1257a9,N
qla_core/reinsurance_converter.py,26212,f82531e3b684162f7ef458ee57ad9e965d4e5ea8c5e65b023bf97b287a171844,N
qla_core/reinsurance_lookups.py,5999,dec3604405b423f94180fe45f9301b6857c553bc4dd2279c0afcd4a5e79d126c,N
qla_core/reinsurance_source_loader.py,4404,5a7c72c43e7bccaca648e218c7ad672bdce0d6df25145e662e8705561541a624,N
qla_core/run_logging.py,9423,a351efb917d775d7127df8ea703da413c214b0b47f61c1fbbb41e8dd4959e139,N
qla_core/schema_constants.py,2287,66073e8f2943c07afda1192d94ebdc28ee7e116ecbeb547a147f2280d336838f,N
qla_core/shared_rate_candidate_loader.py,12472,999f0807bbd8dda7ea4ff0a8116b1d58a879b3c07879f2f9154be573b262b097,N
qla_core/sl_benefit_governance.py,5115,c8e554cb2555f9bcea4bbf951b071a4c4626bd8ec0f6d120c6aa04a0517b0720,N
qla_core/variation_classification.py,15462,1b3ec7edd637cfc8e5878a6e4e92087e0a6e0ec17fa8d7f2140f93306103d448,N
