PLAN,FORM,DESCR,PAR,SEX,BASIS,NFOINT,LOANINT,LOANINTX,DEPINT,VARDB,VARGP,LOAGE,HIAGE,RENEW,PAYYRS,PAYAGE,INSYRS,INSAGE,ANNL,SEMI,QTRL,MTHD,MTHB,ANNLFEE,SEMIFEE,QTRLFEE,MTHDFEE,MTHBFEE,INITVAL,MKTG,PRODUCT,CALCADV,COMMID,MINUNIT,MAXUNIT,BPOLFEE,BACTIVE,RRULE,AGTRSV,AUTONFO,PLANTYPE,INTMETHTV,INTMETHCV,DEFICIENCY,HDEDMETHOD,PLANVALOPT,GDVARYGP,GDVARYDB,GDVARYCV,GDVARYTV,GDVARYDV,UWVARYGP,UWVARYDB,UWVARYCV,UWVARYTV,UWVARYDV,BDVARYGP,BDVARYDB,BDVARYCV,BDVARYTV,BDVARYDV,STVARYGP,STVARYDB,STVARYCV,STVARYTV,STVARYDV,CONVCOMM,PLANNAME,HRENEW,HLOB,HCOMMIP,HRIGPKEY,SIMPLEINT,MLAPSE,MNOTE10,MNAICLOB,MNFOANNV,MGTDANNV
90POWP,0823,WAIVER OF PREMIUM,0,,,,0.00,A,0.00,0,4,15,55,N,00,60,00,60,100.0000,51.9988,26.5028,9.0021,8.6957,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,N,,0,99,,N,B,0.00,0,,,A,N,,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,,WAIVER OF PREMIUM,,,F,F,,0,,NAPLAN,,
960SWP,0823,WAIVER OF PREMIUM - SPOUSE,0,,,,0.00,A,0.00,0,4,00,55,N,00,60,00,60,100.0000,51.9988,26.5028,9.0021,8.6957,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,N,,0,99,,N,B,0.00,0,,,A,N,,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,,WAIVER OF PREMIUM - SPOUSE,,,F,F,,0,,NAPLAN,,
94PDIS,0824,& PAYOR DISABILITY RIDER,0,,,,0.00,A,0.00,0,4,00,55,N,25,00,25,00,100.0000,51.9988,26.5028,9.0021,8.6957,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,N,,0,99,,N,B,0.00,0,,,A,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,& PAYOR DISABILITY RIDER,,,F,F,,0,,NAPLAN,,
90PDTH,0824,PAYOR DEATH,0,,,,0.00,A,0.00,0,4,00,55,N,25,00,25,00,100.0000,52.0039,26.4956,9.0030,8.6960,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,N,,0,99,,N,B,0.00,0,,,A,N,,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,,PAYOR DEATH,,,F,F,,0,,NAPLAN,,
17CSI3,10827,CSI LIFE $3000,0,,,A,0.00,A,0.00,2,4,46,75,N,00,100,00,100,100.0000,50.0000,25.0026,8.3307,8.3307,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,19,N,,0,99,,N,B,0.00,0,,,0,N,,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,Y,Y,Y,N,Y,N,N,N,N,,CSI LIFE $3000,,,F,F,,0,,NAPLAN,,
17CSI5,10827,CSI LIFE $5000,0,,,A,7.40,A,0.00,2,4,46,75,N,00,100,00,100,100.0000,50.0021,24.9989,8.3344,8.3344,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,19,N,,0,99,,N,B,0.00,0,,,0,N,,Y,N,N,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,,CSI LIFE $5000,,,F,F,,0,,NAPLAN,,
17CSI7,10827,CSI LIFE $7500,0,,,A,7.40,A,0.00,2,4,46,75,N,00,100,00,100,100.0000,50.0000,24.9980,8.3327,8.3327,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,19,N,,0,99,,N,B,0.00,0,,,0,N,,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,Y,Y,Y,N,Y,N,N,N,N,,CSI LIFE $7500,,,F,F,,0,,NAPLAN,,
1CSIMN,10827,CSI LIFE MN $5000,0,,,A,0.00,A,0.00,2,4,46,75,N,00,100,00,100,100.0000,50.0000,25.0026,8.3307,8.3307,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,19,N,,0,99,,N,B,0.00,0,,,0,N,,Y,Y,N,Y,Y,N,N,N,N,N,N,Y,Y,Y,Y,N,Y,N,N,N,N,,CSI LIFE MN $5000,,,F,F,,0,,NAPLAN,,
976658,1576,DISABILITY WAIVER OF PREMIUM RIDER,0,,,,0.00,A,0.00,0,4,15,55,N,00,60,00,60,100.0000,52.5000,27.0000,9.1999,8.8018,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,10,N,,0,99,,N,B,0.00,0,,,A,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,DISABILITY WAIVER OF PREMIUM RIDER,,,F,F,,0,,NAPLAN,,
976659,1576,DISABILITY WAIVER OF PREMIUM RIDER,0,,,,0.00,A,0.00,0,4,15,55,N,00,60,00,60,100.0000,52.5000,27.0000,9.1999,8.8018,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,10,N,,0,99,,N,B,0.00,0,,,A,N,,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,,DISABILITY WAIVER OF PREMIUM RIDER,,,F,F,,0,,NAPLAN,,
977ADB,1577,ACCIDENTAL DEATH BENEFIT RIDER,0,,,,0.00,A,0.00,0,4,15,60,N,00,65,00,65,100.0000,52.5000,27.0000,9.1999,8.8018,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,N,,0,99,,N,B,0.00,0,,,A,N,,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,,ACCIDENTAL DEATH BENEFIT RIDER,,,F,F,,0,,NAPLAN,,
578CTR,1578,DEPENDENT CHILD TERM RIDER,0,,,,0.00,A,0.00,0,4,00,24,N,00,25,00,25,100.0000,52.5047,27.0032,9.1987,8.7971,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,06,N,,0,99,,N,B,0.00,0,,,A,N,,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,,DEPENDENT CHILD TERM RIDER,,,F,F,,0,,NAPLAN,,
778FTR,1578,FAMILY TERM RIDER,0,,,,0.00,A,0.00,0,4,18,59,N,00,65,00,65,100.0000,52.5047,27.0032,9.1987,8.7971,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,06,N,,0,99,,N,B,0.00,0,,,A,N,,Y,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,,FAMILY TERM RIDER,,,F,F,,0,,NAPLAN,,
578STR,1578,PAID UP SPOUSE TERM RIDER,0,,,,0.00,A,0.00,3,4,18,65,N,00,65,00,65,100.0000,52.5000,27.0000,9.1999,8.8018,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,06,N,,0,99,,N,B,0.00,0,,,A,N,,Y,N,N,Y,Y,N,N,N,N,N,N,Y,Y,Y,Y,N,Y,N,N,N,N,,PAID UP SPOUSE TERM RIDER,,,F,F,,0,,NAPLAN,,
9CTRWP,NA,1578 CTR WAIVER OF PREMIUM,0,,,,0.00,A,0.00,0,4,00,24,N,00,25,00,25,100.0000,52.5000,27.0000,9.1999,8.8018,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,10,N,,0,99,,N,B,0.00,0,,,A,N,,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,,1578 CTR WAIVER OF PREMIUM,,,F,F,,0,,NAPLAN,,
9FTRWP,NA,1578 FTR WAIVER OF PREMIUM,0,,,,0.00,A,0.00,0,4,18,59,N,00,65,00,65,100.0000,52.5000,27.0000,9.1999,8.8018,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,10,N,,0,99,,N,B,0.00,0,,,A,N,,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,,1578 FTR WAIVER OF PREMIUM,,,F,F,,0,,NAPLAN,,
9GPO79,1579,GUARANTEED PURCHASE OPTION RIDER,0,,,,0.00,A,0.00,0,4,00,40,N,08,00,08,00,100.0000,52.5000,27.0000,9.1999,8.8018,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,10,N,,0,99,,N,B,0.00,0,,,A,N,,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,,GUARANTEED PURCHASE OPTION RIDER,,,F,F,,0,,NAPLAN,,
980JPO,1580,JUVENILE FUTURE PURCHASE OPTION RIDER,0,,,,0.00,A,0.00,0,4,00,21,N,00,40,00,40,100.0000,52.5000,27.0000,9.1999,8.8018,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,10,N,,0,99,,N,B,0.00,0,,,A,N,,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,,JUVENILE FUTURE PURCHASE OPTION RIDER,,,F,F,,0,,NAPLAN,,
9595WP,1596,DISABILITY WAIVER OF PREMIUM,0,,,,0.00,A,0.00,0,4,18,59,N,00,60,00,60,100.0000,52.5000,27.0000,9.2002,8.8007,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,07,N,,0,99,,N,B,0.00,0,,,A,N,,Y,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,,DISABILITY WAIVER OF PREMIUM,,,F,F,,0,,NAPLAN,,
996ADB,1596,ACCIDENTAL DEATH BENEFIT RIDER,0,,,,0.00,A,0.00,0,4,00,60,N,00,65,00,65,100.0000,52.5000,27.0000,9.2000,8.8002,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,08,N,,0,99,,N,B,0.00,0,,,A,N,,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,,ACCIDENTAL DEATH BENEFIT RIDER,,,F,F,,0,,NAPLAN,,
967ADB,1596,ACCIDENTAL DEATH BENEFIT RIDER,0,,,,0.00,A,0.00,0,4,15,60,N,00,65,00,65,100.0000,52.5000,27.0000,9.2002,8.8007,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,07,N,,0,99,,N,B,0.00,0,,,A,N,,Y,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,,ACCIDENTAL DEATH BENEFIT RIDER,,,F,F,,0,,NAPLAN,,
901ADB,1596,ACCIDENTAL DEATH BENEFIT RIDER,0,,,,0.00,A,0.00,0,4,00,60,N,00,65,00,65,100.0000,52.4993,26.9994,9.1999,8.7999,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,08,N,,0,99,,N,B,0.00,0,,,A,N,,Y,N,N,N,Y,N,N,N,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,,ACCIDENTAL DEATH BENEFIT RIDER,,,F,F,,0,,NAPLAN,,
719CTR,619,DECR TERM PAID UP FOR CHILD,0,,,,0.00,A,0.00,0,4,00,22,N,00,22,00,22,100.0000,50.0000,25.0000,9.0000,8.3333,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,09,N,,0,99,,N,B,0.00,0,,,A,N,,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,,DECR TERM PAID UP FOR CHILD,,,F,F,,0,,NAPLAN,,
7619DT,619,DECREASING TERM,0,,,,0.00,A,0.00,3,4,00,59,N,00,65,00,65,100.0000,50.0000,25.0000,9.0000,8.3333,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,09,N,,0,99,,N,B,0.00,0,,,0,N,,Y,N,N,N,Y,N,N,N,N,N,N,Y,Y,N,Y,N,Y,N,N,N,N,,DECREASING TERM,,,F,F,,0,,NAPLAN,,
719CDT,619,CHILD DECREASING TERM,0,,,,0.00,A,0.00,3,4,00,22,N,00,23,00,23,100.0000,50.0000,25.0000,9.0000,8.3333,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,09,N,,0,99,,N,B,0.00,0,,,A,N,,Y,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,Y,N,N,N,N,,CHILD DECREASING TERM,,,F,F,,0,,NAPLAN,,
719SDT,619,SPOUSE DECREASING TERM,0,,,,0.00,A,0.00,0,4,00,59,N,00,65,00,65,100.0000,50.0000,25.0000,9.0000,8.3333,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,09,N,,0,99,,N,B,0.00,0,,,A,N,,Y,N,N,N,Y,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,,SPOUSE DECREASING TERM,,,F,F,,0,,NAPLAN,,
7619PU,619,DECREASING TERM PAID UP FOR SPOUSE,0,,,,0.00,A,0.00,3,4,00,65,N,00,65,00,65,100.0000,50.0000,25.0000,9.0000,8.3333,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,09,N,,0,99,,N,B,0.00,0,,,A,N,,Y,N,N,N,Y,N,N,N,N,N,N,Y,Y,N,Y,N,Y,N,N,N,N,,DECREASING TERM PAID UP FOR SPOUSE,,,F,F,,0,,NAPLAN,,
221END,620,ENDOWMENT AT AGE 85,1,,,2,0.00,A,0.00,0,4,15,60,N,00,85,00,85,100.0000,51.0140,26.0010,8.9964,8.9989,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,N,,0,99,,N,B,0.00,0,,,0,N,,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,,ENDOWMENT AT AGE 85,,,F,F,,0,,NAPLAN,,
121PUA,620,PAID UP ADDS - ENDOWMENT AT AGE 85,0,,,,0.00,A,0.00,0,4,15,60,N,00,85,00,85,100.0000,51.0140,26.0010,8.9964,8.9989,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,N,,0,99,,N,B,0.00,0,,,A,N,,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,PAID UP ADDS - ENDOWMENT AT AGE 85,,,F,F,,0,,NAPLAN,,
222END,620,20 PAY ENDOWMENT AT AGE 85,1,,,2,0.00,A,0.00,0,4,00,60,N,20,00,00,85,100.0000,51.0140,26.0010,8.9964,8.9989,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,N,,0,99,,N,B,0.00,0,,,0,N,,Y,N,N,Y,Y,N,N,N,N,N,N,Y,N,Y,Y,Y,Y,N,N,N,N,,20 PAY ENDOWMENT AT AGE 85,,,F,F,,0,,NAPLAN,,
130JEB,620,JUVENILE ESTATE BUILDER LIFE PD UP AT 65,1,,,,5.00,A,0.00,3,4,00,14,N,00,65,100,00,100.0000,51.0140,26.0010,8.9964,8.9989,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,N,,0,99,,N,B,0.00,0,,,A,N,,Y,N,N,Y,Y,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,,JUVENILE ESTATE BUILDER LIFE PD UP AT 65,,,F,F,,0,,NAPLAN,,
5646AT,667,ANNUAL RENEWABLE TERM,1,,,,0.00,A,0.00,0,4,20,60,N,00,69,00,69,100.0000,52.5000,27.0000,9.2002,8.8007,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,N,,0,99,,N,B,0.00,0,,,0,N,,Y,N,N,N,Y,N,Y,N,N,N,N,Y,N,N,Y,Y,Y,N,N,N,N,,ANNUAL RENEWABLE TERM,,,F,F,,0,,NAPLAN,,
7647FP,647,FAMILY LIFE DECREASING TERM,0,,,2,0.00,A,0.00,3,4,20,60,N,00,69,00,69,100.0000,50.0000,25.0000,8.3269,8.3269,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,N,,0,99,,N,B,0.00,0,,,0,N,,Y,N,N,N,Y,N,N,N,N,N,N,Y,Y,N,Y,N,Y,N,N,N,N,,FAMILY LIFE DECREASING TERM,,,F,F,,0,,NAPLAN,,
7647CH,647,CHILD - FAMILY LIFE DECREASING TERM,0,,,,0.00,A,0.00,0,4,20,60,N,00,69,00,69,100.0000,50.0000,25.0000,8.3269,8.3269,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,N,,0,99,,N,B,0.00,0,,,A,N,,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,CHILD - FAMILY LIFE DECREASING TERM,,,F,F,,0,,NAPLAN,,
7647SP,647,SPOUSE - FAMILY LIFE DECREASING TERM,0,,,,0.00,A,0.00,3,4,20,60,N,00,69,00,69,100.0000,50.0000,25.0000,8.3269,8.3269,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,N,,0,99,,N,B,0.00,0,,,A,N,,Y,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,N,N,,SPOUSE - FAMILY LIFE DECREASING TERM,,,F,F,,0,,NAPLAN,,
1658C1,658,INTEREST-SENSITIVE WHOLE LIFE,0,,,A,7.40,A,0.00,0,4,01,75,N,00,100,00,100,100.0000,52.5047,27.0032,9.1987,8.7971,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,ISWLFE,ISWLFE,N,,0,99,,N,B,0.00,0,,,0,N,,Y,N,N,Y,Y,N,N,N,Y,Y,N,N,N,Y,Y,N,N,N,N,N,N,,INTEREST-SENSITIVE WHOLE LIFE,,ISWLFE,F,F,,0,,NAPLAN,,
1658CS,658,INTEREST-SENSITIVE WHOLE LIFE,0,,,A,7.40,A,0.00,0,4,01,75,N,00,100,00,100,100.0000,52.5031,27.0001,9.2000,9.2000,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,ISWLFE,ISWLFE,N,,0,99,,N,B,0.00,0,,,0,N,,Y,Y,N,Y,Y,N,Y,N,N,N,N,Y,N,Y,Y,N,Y,N,N,N,N,,INTEREST-SENSITIVE WHOLE LIFE,,ISWLFE,F,F,,0,,NAPLAN,,
1659C2,659,INTEREST-SENSITIVE WHOLE LIFE,0,,,A,7.40,A,0.00,0,4,00,85,N,00,100,00,100,100.0000,52.5000,27.0000,9.1999,8.8018,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,ISWLFE,ISWLFE,N,,0,99,,N,B,0.00,0,,,0,N,,Y,N,N,Y,Y,N,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,,INTEREST-SENSITIVE WHOLE LIFE,,ISWLFE,F,F,,0,,NAPLAN,,
1659CS,659,INTEREST-SENSITIVE WHOLE LIFE,0,,,A,7.40,A,0.00,0,4,00,75,N,00,100,00,100,100.0000,52.5016,26.9974,9.1996,9.2013,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,ISWLFE,ISWLFE,N,,0,99,,N,B,0.00,0,,,0,N,,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,,INTEREST-SENSITIVE WHOLE LIFE,,ISWLFE,F,F,,0,,NAPLAN,,
1659CR,659,INTEREST-SENSITIVE WHOLE LIFE,0,,,A,7.40,A,0.00,0,4,00,85,N,00,100,00,100,100.0000,52.5017,27.0007,9.1997,8.7966,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,ISWLFE,ISWLFE,N,,0,99,,N,B,0.00,0,,,0,N,,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,,INTEREST-SENSITIVE WHOLE LIFE,,ISWLFE,F,F,,0,,NAPLAN,,
1659SR,659,INTEREST-SENSITIVE WHOLE LIFE,0,,,A,7.40,A,0.00,1,4,00,85,N,00,100,00,100,100.0000,52.5017,27.0007,8.8030,8.8030,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,ISWLFE,ISWLFE,N,,0,99,,N,B,0.00,0,,,0,N,,Y,N,N,Y,Y,N,N,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,,INTEREST-SENSITIVE WHOLE LIFE,,ISWLFE,F,F,,0,,NAPLAN,,
265PUA,665,PAID UP ADDS - STATESMAN MOD ENDOW AT 95,1,,,,0.00,A,0.00,0,4,00,50,N,00,95,00,95,100.0000,52.0025,26.4963,9.0001,9.0001,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,N,,0,99,,N,B,0.00,0,,,A,N,,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,,PAID UP ADDS - STATESMAN MOD ENDOW AT 95,,,F,F,,0,,NAPLAN,,
2665ST,665,STATESMAN MOD ENDOW AT 95,1,,,6,5.00,A,0.00,2,4,00,50,N,00,95,00,95,100.0000,52.0025,26.4963,9.0001,9.0001,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,N,,0,99,,N,B,0.00,0,,,0,N,,Y,N,N,Y,Y,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,N,N,N,N,,STATESMAN MOD ENDOW AT 95,,,F,F,,0,,NAPLAN,,
1666WL,666,MULTIPLE INSUREDS WHOLE LIFE,0,,,2,5.00,A,0.00,0,4,00,75,N,100,00,100,00,100.0000,52.0056,26.5077,9.0042,9.0042,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,03,N,,0,99,,N,B,0.00,0,,,0,N,,Y,N,N,Y,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,,MULTIPLE INSUREDS WHOLE LIFE,,,F,F,,0,,NAPLAN,,
5667AT,667,ANNUAL RENEWABLE TERM,0,,,,0.00,A,0.00,0,4,00,75,N,00,100,00,100,100.0000,52.5000,27.0000,9.2002,8.8007,0.0000,0.0000,0.0000,0.0000,0.0000,1000.00,,07,N,,0,99,,N,B,0.00,0,,,0,N,,Y,N,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,Y,N,N,N,N,,ANNUAL RENEWABLE TERM,,,F,F,,0,,NAPLAN,,
