mpolicy,claimstat,mpaid,mface,dividends,loan,netdb,premium,suspense,mintrate,mintamt,adjust,pddate_blank,payee_rows,payee_sum,mpaid_payee_delta,recon_class
010406962C,2,883.67,883.67,0.0,0.0,883.67,0.0,0.0,0.0,0.0,0.0,N,1,883.67,0.0,MATCH
010418088C,2,10000.0,10000.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,N,1,10000.0,0.0,MATCH
010425845C,2,7547.16,7545.0,0.0,0.0,7545.0,0.0,0.0,0.0,0.0,0.0,N,1,7547.16,0.0,MATCH
010426657C,99,0.0,0.0,0.0,0.0,968.98,0.0,0.0,0.0,0.0,0.0,Y,3,1453.48,-1453.48,HEADER_ZERO_HAS_PAYEE
010434419C,2,5603.16,5601.0,0.0,0.0,5601.0,0.0,0.0,0.0,0.0,0.0,N,1,5603.16,0.0,MATCH
010434421C,99,0.0,0.0,0.0,0.0,4.23,0.0,0.0,0.0,0.0,0.0,Y,1,4.23,-4.23,HEADER_ZERO_HAS_PAYEE
010434747C,99,24934.77,8311.59,0.0,0.0,8311.59,0.0,0.0,0.0,0.0,0.0,N,8,16411.19,8523.58,MISMATCH
010436599C,2,1256.98,1256.98,0.0,0.0,1256.98,0.0,0.0,0.0,143.22,0.0,N,1,1113.76,143.22,MISMATCH
010438325C,2,4104.54,4104.54,0.0,0.0,4104.54,0.0,0.0,0.0,41.27,0.0,N,1,4063.27,41.27,MISMATCH
010439084C,99,0.0,0.0,0.0,0.0,10199.7,0.0,0.0,0.0,0.0,0.0,Y,1,10199.7,-10199.7,HEADER_ZERO_HAS_PAYEE
010444283C,99,2760.58,0.0,0.0,0.0,4407.89,0.0,0.0,0.0,0.0,0.0,Y,1,4407.89,-1647.31,MISMATCH
010445131C,2,5644.66,5644.66,0.0,0.0,5644.66,0.0,0.0,0.0,0.0,0.0,N,1,5644.66,0.0,MATCH
010445575C,99,3043.0,0.0,0.0,0.0,5243.87,0.0,0.0,0.0,0.0,0.0,Y,1,5243.87,-2200.87,MISMATCH
010458657C,2,5056.24,5000.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,N,1,5056.24,0.0,MATCH
010459336C,99,0.0,0.0,0.0,0.0,21.6,0.0,0.0,0.0,0.0,0.0,Y,1,21.6,-21.6,HEADER_ZERO_HAS_PAYEE
010459970C,2,3580.0,3580.0,0.0,0.0,3580.0,0.0,0.0,0.0,0.0,0.0,N,1,3580.0,0.0,MATCH
010463537C,99,0.0,0.0,0.0,0.0,15.46,0.0,0.0,0.0,0.0,0.0,Y,1,15.46,-15.46,HEADER_ZERO_HAS_PAYEE
010464590C,2,3427.26,3427.26,0.0,0.0,3427.26,0.0,0.0,0.0,382.67,0.0,N,4,3044.59,382.67,MISMATCH
010465265C,2,1687.59,1687.59,0.0,0.0,1687.59,0.0,0.0,0.0,23.26,0.0,N,1,1664.33,23.26,MISMATCH
010469430C,99,16585.59,5528.53,0.0,0.0,5528.53,0.0,0.0,0.0,0.0,0.0,N,2,10952.87,5632.72,MISMATCH
010473137C,2,5248.51,5248.51,0.0,0.0,5248.51,0.0,0.0,0.0,23.53,0.0,N,1,5224.98,23.53,MISMATCH
010473866C,99,6898.95,0.0,0.0,0.0,36564.48,0.0,0.0,0.0,0.0,0.0,Y,3,36564.48,-29665.53,MISMATCH
010475576C,2,5268.37,5268.37,0.0,0.0,5268.37,0.0,0.0,0.0,29.75,0.0,N,1,5238.62,29.75,MISMATCH
010478259C,2,1644.11,1644.11,0.0,0.0,1644.11,0.0,0.0,0.0,8.3,0.0,N,1,1635.81,8.3,MISMATCH
010478574C,2,5695.12,5695.12,0.0,0.0,5695.12,0.0,0.0,0.0,34.56,0.0,N,3,5660.56,34.56,MISMATCH
010487886C,99,0.0,0.0,0.0,0.0,26.33,0.0,0.0,0.0,0.0,0.0,Y,1,26.33,-26.33,HEADER_ZERO_HAS_PAYEE
010494171C,99,2747.74,0.0,0.0,0.0,4758.17,0.0,0.0,0.0,0.0,0.0,Y,1,4758.17,-2010.43,MISMATCH
010495113C,99,0.0,0.0,0.0,0.0,12.19,0.0,0.0,0.0,0.0,0.0,Y,3,27.89,-27.89,HEADER_ZERO_HAS_PAYEE
010496486C,2,2003.75,2000.0,0.0,0.0,2000.0,0.0,0.0,0.0,0.0,0.0,N,1,2003.75,0.0,MATCH
010497768C,99,8667.86,4333.93,0.0,0.0,4333.93,0.0,0.0,0.0,0.0,0.0,N,2,4315.73,4352.13,MISMATCH
010499269C,2,1504.34,1500.0,0.0,0.0,1500.0,0.0,0.0,0.0,0.0,0.0,N,1,1504.34,0.0,MATCH
010500769C,2,10046.28,10046.28,0.0,0.0,10046.28,0.0,0.0,0.0,23.14,0.0,N,2,10023.14,23.14,MISMATCH
010501466C,2,5006.9,5000.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,N,1,5006.9,0.0,MATCH
010506789C,2,7578.07,7578.07,0.0,0.0,7578.07,0.0,0.0,0.0,550.41,0.0,N,1,7027.66,550.41,MISMATCH
010510671C,99,23205.49,0.0,0.0,0.0,17516.55,0.0,0.0,0.0,0.0,0.0,Y,2,40722.85,-17517.36,MISMATCH
010512061C,99,0.0,0.0,0.0,0.0,5344.61,0.0,0.0,0.0,0.0,0.0,Y,1,5344.61,-5344.61,HEADER_ZERO_HAS_PAYEE
010521160C,2,3877.32,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,1,3877.32,0.0,MATCH
010529993C,99,0.0,0.0,0.0,0.0,8.91,0.0,0.0,0.0,0.0,0.0,Y,1,8.91,-8.91,HEADER_ZERO_HAS_PAYEE
010530033C,99,0.0,0.0,0.0,0.0,131.7,0.0,0.0,0.0,0.0,0.0,Y,1,131.7,-131.7,HEADER_ZERO_HAS_PAYEE
010540781C,99,0.0,0.0,0.0,0.0,53.74,0.0,0.0,0.0,0.0,0.0,Y,1,53.74,-53.74,HEADER_ZERO_HAS_PAYEE
010544182C,2,4388.64,4388.64,0.0,0.0,4388.64,0.0,0.0,0.0,0.0,0.0,N,1,4388.64,0.0,MATCH
010545623C,99,0.0,0.0,0.0,0.0,19.79,0.0,0.0,0.0,0.0,0.0,Y,1,19.79,-19.79,HEADER_ZERO_HAS_PAYEE
010547488C,99,3625.33,0.0,0.0,0.0,2807.32,0.0,0.0,0.0,0.0,0.0,Y,3,8421.96,-4796.63,MISMATCH
010549966C,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Y,1,7376.31,-7376.31,HEADER_ZERO_HAS_PAYEE
010578820C,2,1683.88,1683.88,0.0,0.0,1683.88,0.0,0.0,0.0,144.18,0.0,N,4,1539.7,144.18,MISMATCH
010580464C,2,1828.19,1828.19,0.0,0.0,1828.19,0.0,0.0,0.0,10.52,0.0,N,1,1817.67,10.52,MISMATCH
010718495C,99,1095.75,1095.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,4,28287.25,-27191.5,MISMATCH
010718495C,99,1095.75,1095.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,4,28287.25,-27191.5,MISMATCH
010718495C,99,1095.75,1095.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,4,28287.25,-27191.5,MISMATCH
010718495C,2,25000.0,25000.0,0.0,0.0,25000.0,0.0,0.0,0.0,0.0,0.0,N,4,28287.25,-3287.25,MISMATCH
010724403C,99,1184.0,1184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,5,104736.0,-103552.0,MISMATCH
010724403C,99,1184.0,1184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,5,104736.0,-103552.0,MISMATCH
010724403C,99,1184.0,1184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,5,104736.0,-103552.0,MISMATCH
010724403C,99,1184.0,1184.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,5,104736.0,-103552.0,MISMATCH
010724403C,2,100000.0,100000.0,0.0,0.0,100000.0,0.0,0.0,0.0,0.0,0.0,N,5,104736.0,-4736.0,MISMATCH
010726319C,99,3179.8,0.0,0.0,0.0,2007.22,0.0,0.0,0.0,0.0,0.0,Y,1,2007.22,1172.58,MISMATCH
010736283C,2,25027.65,25000.0,0.0,0.0,25000.0,0.0,0.0,0.0,0.0,0.0,N,1,25027.65,0.0,MATCH
010737619C,99,0.0,0.0,0.0,0.0,7.84,0.0,0.0,0.0,0.0,0.0,Y,1,7.84,-7.84,HEADER_ZERO_HAS_PAYEE
010738751C,99,3018.15,0.0,0.0,0.0,2192.01,0.0,0.0,0.0,0.0,0.0,Y,1,2192.01,826.14,MISMATCH
010740836C,99,163.2,163.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,3,5326.4,-5163.2,MISMATCH
010740836C,99,163.2,163.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,3,5326.4,-5163.2,MISMATCH
010740836C,2,5000.0,5000.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,N,3,5326.4,-326.4,MISMATCH
010740877C,2,50000.0,50000.0,0.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,N,1,50000.0,0.0,MATCH
010741302C,99,0.0,0.0,0.0,0.0,78.88,0.0,0.0,0.0,0.0,0.0,Y,5,751.25,-751.25,HEADER_ZERO_HAS_PAYEE
010741302C,99,150.25,150.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,5,751.25,-601.0,MISMATCH
010741302C,99,150.25,150.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,5,751.25,-601.0,MISMATCH
010741302C,99,150.25,150.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,5,751.25,-601.0,MISMATCH
010741302C,99,150.25,150.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,5,751.25,-601.0,MISMATCH
010741302C,99,150.25,150.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,5,751.25,-601.0,MISMATCH
010741334C,99,0.0,0.0,0.0,0.0,89.12,0.0,0.0,0.0,0.0,0.0,Y,5,848.75,-848.75,HEADER_ZERO_HAS_PAYEE
010741334C,99,169.75,169.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,5,848.75,-679.0,MISMATCH
010741334C,99,169.75,169.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,5,848.75,-679.0,MISMATCH
010741334C,99,169.75,169.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,5,848.75,-679.0,MISMATCH
010741334C,99,169.75,169.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,5,848.75,-679.0,MISMATCH
010741334C,99,169.75,169.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,5,848.75,-679.0,MISMATCH
010742224C,2,25060.22,25000.0,0.0,0.0,25000.0,0.0,0.0,0.0,0.0,0.0,N,2,25060.22,0.0,MATCH
010742814C,99,155.75,155.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,2,5160.46,-5004.71,MISMATCH
010742814C,2,5009.42,5009.42,0.0,0.0,5009.42,0.0,0.0,0.0,4.71,0.0,N,2,5160.46,-151.04,MISMATCH
010743074C,99,246.12,246.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,2,8278.85,-8032.73,MISMATCH
010743074C,2,8065.46,8065.46,0.0,0.0,8065.46,0.0,0.0,0.0,32.73,0.0,N,2,8278.85,-213.39,MISMATCH
010744412C,99,217.2,217.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,6,12760.77,-12543.57,MISMATCH
010744412C,99,217.2,217.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,6,12760.77,-12543.57,MISMATCH
010744412C,99,217.2,217.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,6,12760.77,-12543.57,MISMATCH
010744412C,99,217.2,217.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,6,12760.77,-12543.57,MISMATCH
010744412C,99,217.2,217.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,6,12760.77,-12543.57,MISMATCH
010744412C,2,11703.34,11703.34,0.0,0.0,11703.34,0.0,0.0,0.0,28.57,0.0,N,6,12760.77,-1057.43,MISMATCH
010745344C,2,40340.02,40340.02,0.0,0.0,40340.02,0.0,0.0,0.0,170.01,0.0,N,2,40170.01,170.01,MISMATCH
010745640C,2,15152.24,15152.24,0.0,0.0,15152.24,0.0,0.0,0.0,76.12,0.0,N,3,15076.12,76.12,MISMATCH
010745811C,2,50007.18,50000.0,0.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,N,1,50007.18,0.0,MATCH
010746498C,2,50041.07,50000.0,0.0,0.0,50000.0,0.0,0.0,0.0,0.0,0.0,N,3,50041.07,0.0,MATCH
010747241C,99,351.2,351.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,5,15121.28,-14770.08,MISMATCH
010747241C,2,14822.88,14822.88,0.0,0.0,14822.88,0.0,0.0,0.0,52.8,0.0,N,5,15121.28,-298.4,MISMATCH
010747320C,99,0.0,0.0,0.0,0.0,22.4,0.0,0.0,0.0,0.0,0.0,Y,1,22.4,-22.4,HEADER_ZERO_HAS_PAYEE
010747438C,2,40081.38,40081.38,0.0,0.0,40081.38,0.0,0.0,0.0,37.72,0.0,N,1,40043.66,37.72,MISMATCH
010748070C,99,155.75,155.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,2,6321.0,-6165.25,MISMATCH
010748070C,2,6545.81,6545.81,0.0,0.0,6545.81,0.0,0.0,0.0,380.56,0.0,N,2,6321.0,224.81,MISMATCH
010748517C,99,217.2,217.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,2,5226.63,-5009.43,MISMATCH
010748517C,2,5018.86,5018.86,0.0,0.0,5018.86,0.0,0.0,0.0,9.43,0.0,N,2,5226.63,-207.77,MISMATCH
010749054C,2,10174.71,10152.78,0.0,0.0,10152.78,0.0,0.0,0.0,0.0,0.0,N,1,10174.71,0.0,MATCH
010749401C,99,0.0,0.0,0.0,0.0,27.23,0.0,0.0,0.0,0.0,0.0,Y,1,27.23,-27.23,HEADER_ZERO_HAS_PAYEE
010749968C,99,163.2,163.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,6,5816.0,-5652.8,MISMATCH
010749968C,99,163.2,163.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,6,5816.0,-5652.8,MISMATCH
010749968C,99,163.2,163.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,6,5816.0,-5652.8,MISMATCH
010749968C,99,163.2,163.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,6,5816.0,-5652.8,MISMATCH
010749968C,99,163.2,163.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,6,5816.0,-5652.8,MISMATCH
010749968C,2,5000.0,5000.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,N,6,5816.0,-816.0,MISMATCH
010752477C,2,76119.15,76119.15,0.0,0.0,76119.15,0.0,0.0,0.0,334.96,0.0,N,1,75784.19,334.96,MISMATCH
010752513C,99,7278.71,0.0,0.0,0.0,5.47,0.0,0.0,0.0,0.0,0.0,Y,5,64.28,7214.43,MISMATCH
010753311C,2,9062.0,9062.0,0.0,0.0,9062.0,0.0,0.0,0.0,31.0,0.0,N,2,9031.0,31.0,MISMATCH
010753687C,99,179.35,179.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,8,9154.33,-8974.98,MISMATCH
010753687C,99,179.35,179.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,8,9154.33,-8974.98,MISMATCH
010753687C,99,179.35,179.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,8,9154.33,-8974.98,MISMATCH
010753687C,99,179.35,179.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,8,9154.33,-8974.98,MISMATCH
010753687C,99,179.35,179.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,8,9154.33,-8974.98,MISMATCH
010753687C,99,179.35,179.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,8,9154.33,-8974.98,MISMATCH
010753687C,99,179.35,179.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,8,9154.33,-8974.98,MISMATCH
010753687C,2,7918.96,7918.96,0.0,0.0,7918.96,0.0,0.0,0.0,20.08,0.0,N,8,9154.33,-1235.37,MISMATCH
010756020C,99,163.2,163.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,4,5541.23,-5378.03,MISMATCH
010756020C,99,163.2,163.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,4,5541.23,-5378.03,MISMATCH
010756020C,99,163.2,163.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,4,5541.23,-5378.03,MISMATCH
010756020C,2,5103.26,5103.26,0.0,0.0,5103.26,0.0,0.0,0.0,51.63,0.0,N,4,5541.23,-437.97,MISMATCH
010756024C,99,458.75,458.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,8,28286.76,-27828.01,MISMATCH
010756024C,99,458.75,458.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,8,28286.76,-27828.01,MISMATCH
010756024C,99,458.75,458.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,8,28286.76,-27828.01,MISMATCH
010756024C,99,458.75,458.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,8,28286.76,-27828.01,MISMATCH
010756024C,99,458.75,458.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,8,28286.76,-27828.01,MISMATCH
010756024C,99,458.75,458.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,8,28286.76,-27828.01,MISMATCH
010756024C,99,458.75,458.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,8,28286.76,-27828.01,MISMATCH
010756024C,2,25151.02,25151.02,0.0,0.0,25151.02,0.0,0.0,0.0,75.51,0.0,N,8,28286.76,-3135.74,MISMATCH
010756033C,99,197.35,197.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,13,12592.9,-12395.55,MISMATCH
010756033C,99,197.35,197.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,13,12592.9,-12395.55,MISMATCH
010756033C,99,197.35,197.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,13,12592.9,-12395.55,MISMATCH
010756033C,99,197.35,197.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,13,12592.9,-12395.55,MISMATCH
010756033C,99,197.35,197.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,13,12592.9,-12395.55,MISMATCH
010756033C,99,197.35,197.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,13,12592.9,-12395.55,MISMATCH
010756033C,2,22899.18,11449.59,0.0,0.0,11449.59,0.0,0.0,0.0,40.79,0.0,N,13,12592.9,10306.28,MISMATCH
010756540C,99,0.0,0.0,0.0,0.0,167.57,0.0,0.0,0.0,0.0,0.0,Y,1,187.75,-187.75,HEADER_ZERO_HAS_PAYEE
010756540C,99,187.75,187.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,1,187.75,0.0,MATCH
010756929C,2,26665.02,26626.65,0.0,0.0,26626.65,0.0,0.0,0.0,0.0,0.0,N,1,26665.02,0.0,MATCH
010756931C,2,40015.7,40000.0,0.0,0.0,40000.0,0.0,0.0,0.0,0.0,0.0,N,1,40015.7,0.0,MATCH
010757042C,99,206.95,206.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,4,5639.26,-5432.31,MISMATCH
010757042C,99,206.95,206.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,4,5639.26,-5432.31,MISMATCH
010757042C,99,206.95,206.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,4,5639.26,-5432.31,MISMATCH
010757042C,2,5036.82,5036.82,0.0,0.0,5036.82,0.0,0.0,0.0,18.41,0.0,N,4,5639.26,-602.44,MISMATCH
010757508C,2,3975.0,3975.0,0.0,0.0,3975.0,0.0,0.0,0.0,48.55,0.0,N,3,3926.45,48.55,MISMATCH
010757536C,2,12824.73,12824.73,0.0,0.0,12824.73,0.0,0.0,0.0,102.7,0.0,N,3,12722.03,102.7,MISMATCH
010757542C,2,8213.38,8213.38,0.0,0.0,8213.38,0.0,0.0,0.0,56.69,0.0,N,5,8156.69,56.69,MISMATCH
010757551C,2,11226.64,11226.64,0.0,0.0,11226.64,0.0,0.0,0.0,77.49,0.0,N,1,11149.15,77.49,MISMATCH
010757817C,2,10413.54,10386.19,0.0,0.0,10386.19,0.0,0.0,0.0,0.0,0.0,N,2,10413.54,0.0,MATCH
010758520C,99,0.0,0.0,0.0,0.0,14399.61,0.0,0.0,0.0,0.0,0.0,Y,2,1142.0,-1142.0,HEADER_ZERO_HAS_PAYEE
010758520C,99,571.0,571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,2,1142.0,-571.0,MISMATCH
010758520C,99,571.0,571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,2,1142.0,-571.0,MISMATCH
010758549C,99,268.48,268.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,2,6268.48,-6000.0,MISMATCH
010758549C,2,6000.0,6000.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0,N,2,6268.48,-268.48,MISMATCH
010758573C,99,373.75,373.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,8,27616.25,-27242.5,MISMATCH
010758573C,99,373.75,373.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,8,27616.25,-27242.5,MISMATCH
010758573C,99,373.75,373.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,8,27616.25,-27242.5,MISMATCH
010758573C,99,373.75,373.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,8,27616.25,-27242.5,MISMATCH
010758573C,99,373.75,373.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,8,27616.25,-27242.5,MISMATCH
010758573C,99,373.75,373.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,8,27616.25,-27242.5,MISMATCH
010758573C,99,373.75,373.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,8,27616.25,-27242.5,MISMATCH
010758573C,2,25000.0,25000.0,0.0,0.0,25000.0,0.0,0.0,0.0,0.0,0.0,N,8,27616.25,-2616.25,MISMATCH
010759357C,2,5040.6,5040.6,0.0,0.0,5040.6,0.0,0.0,0.0,20.3,0.0,N,1,5020.3,20.3,MISMATCH
010759932C,99,329.25,329.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,6,26646.25,-26317.0,MISMATCH
010759932C,99,329.25,329.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,6,26646.25,-26317.0,MISMATCH
010759932C,99,329.25,329.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,6,26646.25,-26317.0,MISMATCH
010759932C,99,329.25,329.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,6,26646.25,-26317.0,MISMATCH
010759932C,2,25000.0,25000.0,0.0,0.0,25000.0,0.0,0.0,0.0,0.0,0.0,N,6,26646.25,-1646.25,MISMATCH
010759932C,99,329.25,329.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,6,26646.25,-26317.0,MISMATCH
010760294C,99,340.25,340.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,3,25680.5,-25340.25,MISMATCH
010760294C,99,340.25,340.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,3,25680.5,-25340.25,MISMATCH
010760294C,2,25000.0,25000.0,0.0,0.0,25000.0,0.0,0.0,0.0,0.0,0.0,N,3,25680.5,-680.5,MISMATCH
010760297C,2,25048.97,25000.0,0.0,0.0,25000.0,0.0,0.0,0.0,0.0,0.0,N,1,25048.97,0.0,MATCH
010760840C,99,0.0,0.0,0.0,0.0,544.29,0.0,0.0,0.0,0.0,0.0,Y,2,716.4,-716.4,HEADER_ZERO_HAS_PAYEE
010760840C,99,358.2,358.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,2,716.4,-358.2,MISMATCH
010760840C,99,358.2,358.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,2,716.4,-358.2,MISMATCH
010760865C,99,281.98,281.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,6,7465.2,-7183.22,MISMATCH
010760865C,99,281.98,281.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,6,7465.2,-7183.22,MISMATCH
010760865C,2,6901.24,6901.24,0.0,0.0,6901.24,0.0,0.0,0.0,0.0,0.0,N,6,7465.2,-563.96,MISMATCH
010760872C,2,12000.0,12000.0,0.0,0.0,12000.0,0.0,0.0,0.0,0.0,0.0,N,3,12000.0,0.0,MATCH
010761804C,99,0.0,0.0,0.0,0.0,14834.64,0.0,0.0,0.0,0.0,0.0,Y,3,44503.92,-44503.92,HEADER_ZERO_HAS_PAYEE
