reconstructed_claim_id,prototype_claimnum,claim_family,derivation_candidate_id,enhanced_settlement_group_id,root_cause,rejection_rationale,rejection_severity,remediability,governance_status,recommended_remediation,balancing_status,balancing_confidence,residual_amount,production_dbf_flag
RC-9010363098-5-DEATH_CLAIM-C0-20220917,,,QDC-RC-9010363098-5-DEATH_CLAIM-C0-20220917,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED; residual_amount=2765.73,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,2765.73,N
RC-9010367438-1-DEATH_CLAIM-C0-20211110,,,QDC-RC-9010367438-1-DEATH_CLAIM-C0-20211110,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED; residual_amount=889.37,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,889.37,N
RC-9010367438-2-DEATH_CLAIM-C0-20211110,,,QDC-RC-9010367438-2-DEATH_CLAIM-C0-20211110,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED; residual_amount=2464.99,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,2464.99,N
RC-9010367705-1-SURRENDER_CLAIM-C0-20250626,,,QDC-RC-9010367705-1-SURRENDER_CLAIM-C0-20250626,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,0.0,N
RC-9010368703-1-DEATH_CLAIM-C0-20210114,,,QDC-RC-9010368703-1-DEATH_CLAIM-C0-20210114,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED; residual_amount=6025.67,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,6025.67,N
RC-9010368703-2-DEATH_CLAIM-C0-20210114,,,QDC-RC-9010368703-2-DEATH_CLAIM-C0-20210114,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED; residual_amount=6019.86,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,6019.86,N
RC-9010371171-1-DEATH_CLAIM-C0-20240624,,,QDC-RC-9010371171-1-DEATH_CLAIM-C0-20240624,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED; residual_amount=6404.01,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,6404.01,N
RC-9010371171-2-DEATH_CLAIM-C0-20240624,,,QDC-RC-9010371171-2-DEATH_CLAIM-C0-20240624,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED; residual_amount=6381.68,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,6381.68,N
RC-9010373918-1-SURRENDER_CLAIM-C0-20210412,,,QDC-RC-9010373918-1-SURRENDER_CLAIM-C0-20210412,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,0.0,N
RC-9010374779-1-DEATH_CLAIM-C0-20200530,,,QDC-RC-9010374779-1-DEATH_CLAIM-C0-20200530,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED; residual_amount=4005.43,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,4005.43,N
RC-9010374779-2-DEATH_CLAIM-C0-20200530,,,QDC-RC-9010374779-2-DEATH_CLAIM-C0-20200530,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED; residual_amount=4005.43,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,4005.43,N
RC-9010376522-1-SURRENDER_CLAIM-C3-20211006,,,QDC-RC-9010376522-1-SURRENDER_CLAIM-C3-20211006,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,0.0,N
RC-9010376529-1-SURRENDER_CLAIM-C1-20190614,,,QDC-RC-9010376529-1-SURRENDER_CLAIM-C1-20190614,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,0.0,N
RC-9010376540-1-DEATH_CLAIM-C0-20181014,,,QDC-RC-9010376540-1-DEATH_CLAIM-C0-20181014,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED; residual_amount=1697.22,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,1697.22,N
RC-9010376540-1-DEATH_CLAIM-C1-20190220,,,QDC-RC-9010376540-1-DEATH_CLAIM-C1-20190220,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED; residual_amount=5810.61,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,5810.61,N
RC-9010376540-2-DEATH_CLAIM-C0-20181014,,,QDC-RC-9010376540-2-DEATH_CLAIM-C0-20181014,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED; residual_amount=7507.83,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,7507.83,N
RC-9010377918-1-SURRENDER_CLAIM-C0-20250331,,,QDC-RC-9010377918-1-SURRENDER_CLAIM-C0-20250331,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,0.0,N
RC-9010378710-1-DEATH_CLAIM-C0-20210210,,,QDC-RC-9010378710-1-DEATH_CLAIM-C0-20210210,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED; residual_amount=1715.85,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,1715.85,N
RC-9010378710-2-DEATH_CLAIM-C0-20210210,,,QDC-RC-9010378710-2-DEATH_CLAIM-C0-20210210,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED; residual_amount=1715.85,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,1715.85,N
RC-9010378829-1-DEATH_CLAIM-C0-20210829,,,QDC-RC-9010378829-1-DEATH_CLAIM-C0-20210829,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED; residual_amount=2174.45,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,2174.45,N
RC-9010378829-2-DEATH_CLAIM-C0-20210829,,,QDC-RC-9010378829-2-DEATH_CLAIM-C0-20210829,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED; residual_amount=2174.45,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,2174.45,N
RC-9010379405-1-SURRENDER_CLAIM-C0-20230526,,,QDC-RC-9010379405-1-SURRENDER_CLAIM-C0-20230526,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,0.0,N
RC-9010381745-1-SURRENDER_CLAIM-C2-20200101,,,QDC-RC-9010381745-1-SURRENDER_CLAIM-C2-20200101,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,0.0,N
RC-9010382520-1-DEATH_CLAIM-C0-20200820,,,QDC-RC-9010382520-1-DEATH_CLAIM-C0-20200820,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED; residual_amount=2807.24,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,2807.24,N
RC-9010382520-3-DEATH_CLAIM-C0-20200820,,,QDC-RC-9010382520-3-DEATH_CLAIM-C0-20200820,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED; residual_amount=2807.24,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,2807.24,N
RC-9010382931-1-DEATH_CLAIM-C0-20220210,,,QDC-RC-9010382931-1-DEATH_CLAIM-C0-20220210,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED; residual_amount=7290.3,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,7290.3,N
RC-9010382931-2-DEATH_CLAIM-C0-20220210,,,QDC-RC-9010382931-2-DEATH_CLAIM-C0-20220210,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED; residual_amount=7603.4,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,7603.4,N
RC-9010385491-1-DEATH_CLAIM-C0-20190501,,,QDC-RC-9010385491-1-DEATH_CLAIM-C0-20190501,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED; residual_amount=999.48,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,999.48,N
RC-9010385491-1-DEATH_CLAIM-C1-20210707,,,QDC-RC-9010385491-1-DEATH_CLAIM-C1-20210707,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED; residual_amount=5999.58,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,5999.58,N
RC-9010385491-2-DEATH_CLAIM-C0-20190501,,,QDC-RC-9010385491-2-DEATH_CLAIM-C0-20190501,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED; residual_amount=6999.06,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,6999.06,N
RC-9010385636-1-SURRENDER_CLAIM-C1-20180507,,,QDC-RC-9010385636-1-SURRENDER_CLAIM-C1-20180507,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,0.0,N
RC-9010389651-1-DEATH_CLAIM-C0-20240727,,,QDC-RC-9010389651-1-DEATH_CLAIM-C0-20240727,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED; residual_amount=11421.18,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,11421.18,N
RC-9010389651-2-DEATH_CLAIM-C0-20240727,,,QDC-RC-9010389651-2-DEATH_CLAIM-C0-20240727,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED; residual_amount=11421.18,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,11421.18,N
RC-9010389802-1-SURRENDER_CLAIM-C0-20201026,,,QDC-RC-9010389802-1-SURRENDER_CLAIM-C0-20201026,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,0.0,N
RC-9010391228-1-SURRENDER_CLAIM-C12-20240319,,,QDC-RC-9010391228-1-SURRENDER_CLAIM-C12-20240319,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,0.0,N
RC-9010391359-1-DEATH_CLAIM-C0-20211119,,,QDC-RC-9010391359-1-DEATH_CLAIM-C0-20211119,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED; residual_amount=739.94,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,739.94,N
RC-9010391359-2-DEATH_CLAIM-C0-20211119,,,QDC-RC-9010391359-2-DEATH_CLAIM-C0-20211119,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED; residual_amount=1118.65,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,1118.65,N
RC-9010391422-1-SURRENDER_CLAIM-C2-20191120,,,QDC-RC-9010391422-1-SURRENDER_CLAIM-C2-20191120,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,0.0,N
RC-9010392138-1-SURRENDER_CLAIM-C6-20231206,,,QDC-RC-9010392138-1-SURRENDER_CLAIM-C6-20231206,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,0.0,N
RC-9010392493-1-SURRENDER_CLAIM-C0-20200210,,,QDC-RC-9010392493-1-SURRENDER_CLAIM-C0-20200210,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,0.0,N
RC-9010392763-1-DEATH_CLAIM-C0-20220408,,,QDC-RC-9010392763-1-DEATH_CLAIM-C0-20220408,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED; residual_amount=910.01,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,910.01,N
RC-9010392763-2-DEATH_CLAIM-C0-20220408,,,QDC-RC-9010392763-2-DEATH_CLAIM-C0-20220408,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED; residual_amount=910.01,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,910.01,N
RC-9010393158-1-DEATH_CLAIM-C0-20210207,,,QDC-RC-9010393158-1-DEATH_CLAIM-C0-20210207,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED; residual_amount=5314.7,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,5314.7,N
RC-9010393158-2-DEATH_CLAIM-C0-20210207,,,QDC-RC-9010393158-2-DEATH_CLAIM-C0-20210207,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED; residual_amount=5295.97,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,5295.97,N
RC-9010393181-1-SURRENDER_CLAIM-C1-20190701,,,QDC-RC-9010393181-1-SURRENDER_CLAIM-C1-20190701,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,0.0,N
RC-9010393931-1-SURRENDER_CLAIM-C0-20251208,,,QDC-RC-9010393931-1-SURRENDER_CLAIM-C0-20251208,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,0.0,N
RC-9010394249-1-DEATH_CLAIM-C0-20240916,,,QDC-RC-9010394249-1-DEATH_CLAIM-C0-20240916,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED; residual_amount=6179.15,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,6179.15,N
RC-9010394249-2-DEATH_CLAIM-C0-20240916,,,QDC-RC-9010394249-2-DEATH_CLAIM-C0-20240916,,UNBALANCED,validation_issues=UNBALANCED; rejection_reason=derivation_status=NEEDS_MANUAL_REVIEW; balancing_status=UNBALANCED; residual_amount=6142.86,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 6 family balancing profile; validate offset and lifecycle exclusions before re-gating,UNBALANCED,LOW,6142.86,N
