POLICY_NUMBER,BANK_ROUTING_NUMBER
010732975C,09120130
010735160C,8630001
010736703C,10110197
010739886C,09191652
010739887C,09191652
010741231C,10110535
010741232C,10110535
010743832C,9140929
010746173C,09100001
010747013C,25317704
010749942C,5300021
010752138C,05310046
010752580C,082904043
010754231C,27117198
010754235C,8290087
010754538C,10311090
010754539C,10311090
010755495C,06100005
010756895C,07391167
010756928C,07391167
010757538C,9130113
010757553C,9130113
010759550C,073916367
010759555C,07391636
010760296C,10490895
010761357C,10100069
010761635C,07390288
010761653C,07390288
010761674C,10400084
010762068C,073902889
010762559C,08290856
010762560C,08290856
010764124C,09140004
010764322C,07391865
010764341C,07391181
010764392C,07391181
010764684C,091402879
010765270C,08290878
010766060C,10400005
010766671C,8290087
010766847C,04400216
010766896C,104901335
010767222C,065202555
010767770C,073917641
010769198C,09130113
010769554C,30408324
010769606C,065202555
010770720C,26318317
010770721C,26318317
010770722C,26318317
010771065C,11310683
010771349C,10410261
010771658C,7392143
010771679C,07300054
010772297C,10410261
010774643C,10200007
010774644C,10200007
010774793C,07392116
010775583C,07392053
010776005C,10120250
010776007C,10120250
010776909C,10190209
010777042C,5310258
010777662C,10491391
010777665C,10110335
010779718C,05320753
010779719C,05320753
010779720C,05320753
010779847C,10110535
010780046C,31408828
010782063C,09140048
010782671C,10100069
010783101C,104102613
010784251C,10120186
010784596C,04411509
010784756C,08430110
010784757C,08430110
010785834C,10100069
010786057C,31408828
010786896C,09140697
010786945C,31407426
010788188C,10490171
010788679C,103109390
010789876C,10400001
010790054C,5311213
010790758C,09140697
010790759C,09140697
010791597C,8190576
010792068C,11300002
010792082C,09140905
010792456C,24407768
010792713C,08151809
010793204C,8151890
010793292C,11100002
010794372C,08151809
010795213C,10121103
010795215C,10121103
010795228C,6100010
010795229C,6100010
010796535C,8191842
010796767C,05300021
010796913C,10410647
010800097C,11192323
010800350C,25327200
010800356C,26318281
010801272C,09140697
010801730C,10400001
010801893C,25327200
010801948C,25317704
010801956C,05310030
010802626C,104900912
010802656C,09140114
010803420C,09140846
010803421C,09140846
010804004C,7400001
010806653C,081506837
010807566C,08151235
010808545C,081514052
010808548C,08151235
010808553C,081514052
010808976C,08290140
010808977C,08290140
010810225C,10700219
010810226C,10700219
010811318C,27397636
010811319C,27397636
010811343C,11220108
010812225C,091301640
010812235C,091301640
010812360C,24107041
010813388C,104000870
010813392C,10110222
010814362C,101103356
010814390C,101103356
010814761C,07390506
010815522C,08100003
010815680C,091409487
010815681C,091409487
010815946C,091301640
010816232C,5320098
010817419C,10190551
010817803C,09140951
010818051C,10491142
010818663C,08151292
010820645C,27397636
010820944C,10190909
010822243C,8150359
010823332C,30408339
010823333C,30408339
010823600C,5320721
010824561C,04400216
010826544C,08150701
010826547C,10190909
010833383C,05320776
010833858C,05310987
010834192C,08390246
010834193C,08390246
010837136C,6100022
010838982C,09121552
010839119C,10410528
010840772C,05390448
010841422C,05310112
010842017C,091408446
010842293C,07300054
010843714C,09140114
010844127C,10411303
010846691C,8100138
010846692C,8100138
010855165C,30708700
010856189C,08290275
010858585C,08100021
010859658C,09140776
010863485C,10110535
010866752C,10190139
010877072C,12400154
010879082C,05390604
010879083C,05390604
010880469C,10111403
010882604C,05390448
010883239C,05320776
010883567C,12104288
010885442C,08151833
010887925C,10191630
010888312C,10100669
010888313C,10100669
010891307C,30408339
010891328C,081512407
010892688C,05320098
010892689C,05320098
010892690C,05320098
010895934C,10121751
010895937C,101211031
010896854C,10100069
010897295C,08151235
010900355C,8150359
010900529C,05320776
010900530C,05320776
010900623C,8290103
010900975C,10400002
010901657C,053200666
010905337C,09140846
010908068C,08150747
010908075C,12430246
010908285C,08150973
010908667C,11130725
010915810C,10310198
010918786C,30408339
010918787C,30408339
010922547C,05300019
010922553C,11100061
010927989C,10121215
010928775C,8400008
010947867C,27118833
010948241C,7112224
010955021C,5390219
010957790C,06121242
010969839C,08650063
010974489C,21148940
010980836C,26318255
010983389C,11132390
010986699C,8290087
010988590C,5390219
010988862C,5390219
010989860C,09140048
010990850C,304082876
010996389C,09140846
010997242C,08290087
010997243C,08290087
010999568C,05390448
011001744C,25327951
011008665C,10400002
011013020C,10490159
011013645C,06320666
011015985C,03607615
011016480C,03131627
011017167C,09140004
011018249C,09140048
011027058C,10411303
011032897C,10110197
011032898C,10110197
011034306C,5320098
011038645C,5390448
011041375C,10110197
011041479C,10111271
011044907C,09140869
011053767C,10200315
011054089C,7590057
011054196C,10200315
011058508C,10110195
011061044C,06120485
011061924C,29137869
011064334C,05320681
011064625C,3130593
011066175C,10110162
011066176C,10110162
011067856C,05320098
011068374C,06100005
011068750C,7590057
011068751C,7590057
011071018C,253279099
011072639C,10100069
011074813C,05310030
011080719C,6100010
011081463C,5390219
011081464C,5390219
011081465C,5390219
011085982C,25327982
011086283C,6110060
011086284C,6110060
011087325C,041001039
011093379C,10310129
011094013C,07390609
011096290C,09140870
011096291C,09140870
011100080C,01190057
011103507C,25317162
011103641C,065002548
011103642C,065002548
011106176C,082901538
011106422C,05320213
011106727C,05320776
011110635C,04331809
011110945C,10110197
011111218C,25327903
011111284C,11110191
011114994C,22117218
011124280C,11312366
011130781C,6130334
011131138C,06100005
011131139C,06100005
011132969C,4330682
011133942C,10110129
011134770C,27247185
011139474C,25327951
011142296C,28157301
011148184C,06120364
011149711C,05600106
011150947C,06530027
011150948C,06530027
011150969C,8290043
011154270C,05310025
011163353C,05320160
011176525C,25327951
011176902C,8200117
011183288C,30308799
011184199C,30707000
011184373C,05320681
011184821C,10410225
011185537C,30498235
011185539C,31638643
011186130C,5320098
011186457C,30117926
011187013C,05320776
011188556C,25607497
011189172C,05320776
011189575C,23607568
011190459C,6311403
011190724C,30708700
011190905C,11101432
011190907C,11101432
011190908C,11190078
011191043C,05310046
011191045C,05390604
011191055C,03100050
011191288C,8290087
011191390C,10400085
011191579C,5320148
011191779C,06310751
011191804C,23137224
011192391C,05390604
011193040C,4120613
011193165C,05390604
011193169C,03100005
011193243C,04410297
011193367C,06121196
011193709C,09120059
011194088C,05311167
011194346C,7192665
011194385C,5320721
011194386C,5320721
011194387C,5320721
011194438C,03100050
011194641C,03607615
011194642C,03607615
011194728C,05310364
011194789C,11312265
011194958C,03607615
011195395C,5310258
011195801C,10110002
011196063C,32217280
011196064C,32217280
011196355C,05310456
011196356C,05310456
011196510C,08420570
011197560C,12140511
011197938C,25317704
011197939C,25317704
011198494C,06500017
011198765C,05320160
011198766C,05320160
011198846C,05320776
011199270C,6111284
011199328C,05320710
011199349C,05320776
011199350C,05320776
011199685C,10411381
011200276C,11191368
011200360C,06111341
011203535C,08420127
011203772C,5320721
011203868C,05310368
011203871C,05310368
011204021C,31408968
011204044C,25327951
011204058C,05310112
011204059C,05310112
011204060C,05310112
011204257C,05320776
011204293C,10491079
011205111C,05390604
011207250C,25327194
011207251C,25327194
011210057C,05320776
011210058C,05320776
011210768C,05300021
011210769C,05300021
011212754C,07192504
011213238C,06500009
011217204C,7190160
011218497C,6310751
011219600C,06400005
011219601C,06400005
011219602C,06400005
011220279C,10700015
011221817C,8390174
011221818C,8390174
011225528C,5300021
011226579C,8290727
011228946C,05390219
011230043C,6110060
011236347C,6100022
011236350C,6100022
011257653C,26307883
011258186C,6100022
011259491C,6100010
011261641C,6310751
011262629C,6400001
011263764C,27597839
011264068C,6310751
011266798C,7490035
011271994C,11191368
011283882C,5320721
011283883C,5320721
011284022C,5320721
011284023C,5320721
011284024C,5320721
011284109C,9190279
013000159C,07192330
015000173C,9290168
011190416C,5390219
011248017C,6500073
010149834C,10490793
010154425C,10490588
010360289C,27397294
010360290C,27397294
010363098C,7112266
010367438C,104902800
010367705C,10491079
010371171C,07391167
010374779C,07392208
010376540C,09140851
010378710C,10120402
010379405C,08151235
010381745C,10410647
010385491C,09140697
010389651C,10490588
010391359C,10191630
010391422C,10700211
010392138C,10120568
010392763C,10110222
010394662C,10490336
010395382C,30127146
010395878C,10490171
010395879C,10490171
010396147C,08290091
010398274C,10110932
010400462C,081508466
010401181C,10190217
010402014C,101107886
010402060C,10190551
010402061C,10190551
010405858C,10491391
010406795C,07390785
010412522C,8290257
010412526C,07392143
010413628C,10490895
010414235C,10490895
010415834C,08300217
010420983C,10700145
010426657C,073921954
010426961C,08151811
010427457C,08390389
010429532C,10310448
010429558C,04410716
010430086C,04210257
010432865C,4420250
010432866C,4420250
010434419C,4420250
010434747C,09140945
010434876C,4210294
010435248C,09140870
010435466C,10110276
010436044C,09140945
010436727C,08151235
010439527C,07390254
010440345C,04220219
010440370C,07111290
010442330C,9140851
010442332C,08390308
010442552C,9140851
010443109C,7590057
010443816C,10100001
010444207C,09140048
010444283C,09140255
010445351C,042102571
010445575C,04210257
010445719C,9140717
010446416C,09140947
010446852C,09130113
010447574C,9140717
010449074C,071116224
010449512C,9140717
010449559C,10191205
010451215C,10110099
010456928C,29137091
010457291C,9190279
010458190C,9190405
010458744C,09130164
010459164C,09140545
010459653C,091301640
010460886C,091301640
010462630C,09140846
010464590C,09140068
010465265C,09140068
010466458C,9140017
010466702C,7590057
010468946C,09140226
010471769C,09120521
010474522C,09140846
010475571C,073922351
010475850C,09140155
010478285C,09140846
010478574C,9290168
010479749C,09130088
010486919C,9191584
010489508C,08151283
010494171C,08150683
010498260C,9140683
010502820C,08150701
010503560C,08151396
010505549C,08190900
010506789C,09140953
010511355C,10191630
010515598C,09140851
010518050C,09140851
010521756C,09140948
010526526C,09140697
010544182C,10121788
010545196C,081503694
010546961C,09140114
010550564C,9140844
010557142C,9140717
010578820C,09140068
010580464C,09140068
010581795C,09140048
010607249C,09140635
010731970C,091809731
010733162C,01190044
010733472C,082904302
010736283C,10110234
010738751C,8290087
010738752C,8290087
010738753C,8290087
010740877C,8290153
010745811C,8290163
010746498C,10110468
010749041C,10491338
010749053C,25397861
010749968C,101916307
010756929C,07390903
010757508C,09137148
010757536C,09130088
010757551C,09130088
010757817C,07300022
010760306C,07391640
010760942C,10300363
010761450C,08290043
010761554C,06310738
010761804C,11190674
010762558C,08290856
010764339C,07391181
010764376C,07391181
010766057C,06100005
010769220C,09130113
010769221C,09130113
010770719C,26318317
010770816C,10400002
010771352C,10410261
010771654C,07390603
010773267C,05310046
010774484C,07391395
010776002C,10120627
010776450C,101916307
010776918C,073914864
010777043C,5310258
010779912C,09140004
010780050C,07390288
010780408C,05320044
010780411C,104903032
010781863C,10190491
010782018C,10410162
010782022C,12110078
010782192C,5390448
010783102C,104102613
010784248C,10111271
010784249C,10111271
010784529C,073916367
010784767C,09140945
010785284C,08100942
010785300C,075000022
010785932C,07390772
010786240C,101203971
010786243C,10120397
010786312C,101902146
010786425C,075000022
010786823C,09140846
010786824C,09140846
010787390C,5140102
010787511C,8191842
010790543C,104902800
010791497C,8190576
010795564C,10121775
010796459C,8191842
010797922C,101100760
010798024C,08650342
010798517C,26318281
010800475C,29187133
010801178C,10410261
010801399C,09140846
010801734C,091400486
010803026C,07300054
010803244C,09140846
010804005C,7400001
010805048C,10120225
010805370C,08151240
010806155C,081506358
010806651C,081506837
010807493C,8150683
010807516C,9191584
010807792C,11220107
010808361C,7390008
010811059C,10190333
010811306C,101109842
010811652C,091301640
010811700C,07390603
010812079C,082904027
010812205C,07191305
010812930C,10100001
010813387C,104000870
010813683C,10190551
010814389C,101103356
010814836C,10191807
010815945C,09130002
010816070C,9140873
010816928C,8290087
010818717C,09190197
010818718C,09190197
010818799C,08151818
010820386C,09140400
010821322C,8200007
010822738C,5320098
010824559C,10200007
010825639C,301271693
010826097C,5300021
010826133C,4210416
010827968C,9140873
010828368C,10121775
010828602C,12410379
010829154C,06410405
010831893C,25317704
010832616C,06320474
010832617C,06320474
010832681C,9121462
010834344C,05300021
010834414C,05320800
010834745C,08290126
010835240C,05310112
010835334C,8290087
010835891C,9140851
010836057C,29137091
010836250C,9191584
010836583C,27397636
010836584C,27397636
010838654C,05320776
010840776C,5300021
010842026C,09140060
010842291C,07300054
010842786C,9140717
010844236C,05320044
010845880C,6400001
010846244C,05310112
010846279C,09140004
010847466C,091409458
010849121C,05310112
010849122C,05310112
010853288C,10190154
010854364C,5300021
010856188C,08290275
010856925C,05310046
010857115C,053206893
010858488C,30408325
010858489C,30408325
010859282C,09120731
010860471C,31117025
010860472C,31117025
010861363C,25318453
010863788C,10110535
010870474C,5320001
010880225C,06320666
010881272C,7590057
010881273C,7590057
010883245C,053103640
010883246C,053103640
010883563C,10100069
010885383C,08430104
010886805C,091213835
010887770C,07392240
010889547C,10120186
010890622C,10310088
010890627C,28417051
010892693C,10190909
010892696C,101207919
010893908C,08151235
010893949C,08100021
010895253C,08150635
010895675C,08430104
010895935C,101211031
010895936C,101211031
010896866C,05320195
010900145C,8150359
010900517C,08151235
010900971C,09100002
010907385C,30418209
010908069C,08150747
010908070C,08150747
010910320C,06100007
010913253C,06110060
010915619C,09181097
010917231C,08151819
010917520C,08151796
010919258C,9140844
010920793C,08150552
010920798C,10100001
010921853C,10120225
010928261C,104902172
010929367C,30108150
010936713C,073921527
010938962C,09190876
010942232C,324173626
010942233C,25327943
010948195C,10100001
010956144C,9191584
010956145C,9191584
010957789C,06121242
010961712C,7590057
010968811C,05310112
010979722C,10191630
010996841C,061209552
010996983C,275971087
011001743C,10410261
011005190C,7590057
011015419C,10700507
011016527C,031306993
011016867C,05320044
011018697C,9190279
011019414C,05320044
011033416C,05320776
011040022C,10110197
011040023C,10110197
011040527C,09140846
011045847C,07300054
011046104C,25317704
011047600C,09140912
011048440C,10110197
011050686C,05300021
011054122C,10210136
011056915C,05310112
011057904C,05310112
011058069C,09140017
011059421C,10400002
011062307C,05310025
011062815C,10490838
011063691C,061101980
011064568C,2130755
011065199C,09100002
011068375C,06100005
011072395C,05310112
011072405C,11100061
011073231C,5310112
011073652C,10700123
011075203C,10230119
011077533C,09100002
011078136C,1140007
011080977C,10110838
011081207C,082900911
011081469C,6400863
011081628C,10400085
011082292C,25327900
011083751C,6100010
011083791C,10491349
011085737C,053201034
011088883C,10700123
011089233C,10400002
011090375C,10310160
011090414C,10310160
011096868C,06110129
011098063C,06310319
011098198C,6400001
011102532C,5320098
011102977C,08430800
011104096C,21117013
011104342C,21117013
011106177C,082901538
011106317C,06311321
011106491C,3130912
011107863C,10400085
011107893C,25317051
011109124C,03130295
011109433C,7392016
011109852C,10110195
011109861C,05390604
011109994C,05310046
011111635C,25607497
011112366C,10400001
011112641C,08430703
011112744C,01190057
011112762C,05320160
011115295C,03130699
011115885C,05390604
011119820C,10100001
011124169C,05310046
011124501C,05320160
011124755C,06530027
011131163C,6100010
011132389C,08100138
011133146C,11100061
011136476C,10120610
011136508C,05310030
011138259C,10310333
011138880C,10490239
011139409C,10490239
011139998C,05320160
011140025C,05320776
011140100C,05320044
011140409C,11191618
011140521C,10100069
011141812C,5300021
011141942C,05390604
011145429C,5300021
011146268C,05320776
011146520C,5300021
011146946C,25607497
011147951C,05310112
011148336C,07392087
011148693C,6100010
011148694C,6100010
011150309C,05300021
011150971C,05390448
011151041C,5310030
011151378C,10110090
011151909C,05320776
011152039C,08290499
011152961C,05310112
011153148C,05390448
011153243C,05320103
011153546C,6310466
011153547C,6310466
011153790C,06530027
011154271C,05310025
011154622C,05320776
011155011C,05310112
011155357C,25327194
011157086C,05320776
011157087C,05320776
011158638C,5300021
011161880C,05390604
011162252C,05320259
011163086C,28307178
011175088C,10110276
011175414C,6110060
011176237C,05320776
011177102C,05320160
011178240C,22117218
011178435C,10310187
011178449C,05320681
011178618C,10400001
011179951C,05310112
011180496C,06210625
011180646C,06100005
011180733C,5300021
011180823C,25317704
011182070C,11190065
011182373C,05310139
011182857C,06120355
011183532C,05320044
011183653C,31408828
011184576C,10490842
011184745C,23137269
011184934C,08630004
011185638C,26537722
011186462C,5390604
011187601C,7591784
011188426C,10110090
011188870C,05320195
011188927C,05310073
011189620C,05310046
011189786C,10200007
011189791C,04120613
011189913C,06320143
011190048C,26527030
011190146C,23137269
011190239C,26318448
011190417C,10110099
011190516C,06320143
011190599C,07590097
011190669C,05390448
011190722C,06320143
011191042C,05310046
011191584C,04410297
011191702C,10111133
011192392C,25317704
011192586C,8290087
011193836C,06530194
011194064C,05320689
011194111C,05320160
011194225C,10110057
011194436C,05390448
011194499C,05310112
011194542C,10110507
011194751C,04121503
011195437C,08290091
011195589C,05390448
011195599C,06540456
011195673C,3130142
011196182C,5300021
011196513C,10400002
011196821C,03607615
011197062C,05320231
011197709C,08420225
011198366C,10120189
011198806C,05300019
011199527C,29197335
011200251C,06530438
011200630C,28637166
011202381C,06310751
011207210C,06320666
011207871C,11100115
011208730C,10490349
011208817C,06540013
011209262C,03130295
011209469C,21187233
011210720C,25307497
011211451C,09181100
011212050C,06121134
011212753C,10191630
011216545C,4220091
011217970C,3130934
011219517C,2130361
011225416C,4300009
011226577C,6100010
011246525C,10110176
011254298C,21187169
011258185C,6110103
011261272C,26307883
011261439C,6310751
011261507C,10490349
011262030C,5140054
011263483C,6100022
011263484C,6100022
011264713C,6110137
011264714C,6110137
011271241C,11490268
015000089C,32407955
015000181C,12410358
015000416C,09100001
