MSP B2 -2,-2,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
MSP B2 17,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18,5.33,5.49,5.66,5.83,6.01,6.2,6.39,6.6,6.82,7.05,7.29,7.54,7.81,8.08,8.37,8.68,8.99,9.32,9.66,10.01,10.38,10.76,11.17,11.59,12.04,12.5,12.99,13.91,14.47,15.07,15.7,16.36,16.88,17.61,18.39,19.21,20.07,20.76,21.73,22.75,23.85,25.02,26.26,27.59,29.01,30.52,32.13,33.49,35.32,37.29,39.41,41.7,43.69,46.32,49.14,52.19,55.47,58.4,62.2,66.32,70.8,75.67,80.13,85.82,92,98.68,105.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSP B2 18,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18,5.33,5.49,5.66,5.83,6.01,6.2,6.39,6.6,6.82,7.05,7.29,7.54,7.81,8.08,8.37,8.68,8.99,9.32,9.66,10.01,10.38,10.76,11.17,11.59,12.04,12.5,12.99,13.91,14.47,15.07,15.7,16.36,16.88,17.61,18.39,19.21,20.07,20.76,21.73,22.75,23.85,25.02,26.26,27.59,29.01,30.52,32.13,33.49,35.32,37.29,39.41,41.7,43.69,46.32,49.14,52.19,55.47,58.4,62.2,66.32,70.8,75.67,80.13,85.82,92,98.68,105.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSP B2 19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18,5.33,5.49,5.66,5.83,6.01,6.2,6.39,6.6,6.82,7.05,7.29,7.54,7.81,8.08,8.37,8.68,8.99,9.32,9.66,10.01,10.38,10.76,11.17,11.59,12.04,12.5,12.99,13.91,14.47,15.07,15.7,16.36,16.88,17.61,18.39,19.21,20.07,20.76,21.73,22.75,23.85,25.02,26.26,27.59,29.01,30.52,32.13,33.49,35.32,37.29,39.41,41.7,43.69,46.32,49.14,52.19,55.47,58.4,62.2,66.32,70.8,75.67,80.13,85.82,92,98.68,105.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSP B2 20,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18,5.33,5.49,5.66,5.83,6.01,6.2,6.39,6.6,6.82,7.05,7.29,7.54,7.81,8.08,8.37,8.68,8.99,9.32,9.66,10.01,10.38,10.76,11.17,11.59,12.04,12.5,12.99,13.91,14.47,15.07,15.7,16.36,16.88,17.61,18.39,19.21,20.07,20.76,21.73,22.75,23.85,25.02,26.26,27.59,29.01,30.52,32.13,33.49,35.32,37.29,39.41,41.7,43.69,46.32,49.14,52.19,55.47,58.4,62.2,66.32,70.8,75.67,80.13,85.82,92,98.68,105.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSP B2 21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18,5.33,5.49,5.66,5.83,6.01,6.2,6.39,6.6,6.82,7.05,7.29,7.54,7.81,8.08,8.37,8.68,8.99,9.32,9.66,10.01,10.38,10.76,11.17,11.59,12.04,12.5,12.99,13.91,14.47,15.07,15.7,16.36,16.88,17.61,18.39,19.21,20.07,20.76,21.73,22.75,23.85,25.02,26.26,27.59,29.01,30.52,32.13,33.49,35.32,37.29,39.41,41.7,43.69,46.32,49.14,52.19,55.47,58.4,62.2,66.32,70.8,75.67,80.13,85.82,92,98.68,105.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSP B2 22,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18,5.33,5.49,5.66,5.83,6.01,6.2,6.39,6.6,6.82,7.05,7.29,7.54,7.81,8.08,8.37,8.68,8.99,9.32,9.66,10.01,10.38,10.76,11.17,11.59,12.04,12.5,12.99,13.91,14.47,15.07,15.7,16.36,16.88,17.61,18.39,19.21,20.07,20.76,21.73,22.75,23.85,25.02,26.26,27.59,29.01,30.52,32.13,33.49,35.32,37.29,39.41,41.7,43.69,46.32,49.14,52.19,55.47,58.4,62.2,66.32,70.8,75.67,80.13,85.82,92,98.68,105.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSP B2 23,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18,5.33,5.49,5.66,5.83,6.01,6.2,6.39,6.6,6.82,7.05,7.29,7.54,7.81,8.08,8.37,8.68,8.99,9.32,9.66,10.01,10.38,10.76,11.17,11.59,12.04,12.5,12.99,13.91,14.47,15.07,15.7,16.36,16.88,17.61,18.39,19.21,20.07,20.76,21.73,22.75,23.85,25.02,26.26,27.59,29.01,30.52,32.13,33.49,35.32,37.29,39.41,41.7,43.69,46.32,49.14,52.19,55.47,58.4,62.2,66.32,70.8,75.67,80.13,85.82,92,98.68,105.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSP B2 24,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18,5.33,5.49,5.66,5.83,6.01,6.2,6.39,6.6,6.82,7.05,7.29,7.54,7.81,8.08,8.37,8.68,8.99,9.32,9.66,10.01,10.38,10.76,11.17,11.59,12.04,12.5,12.99,13.91,14.47,15.07,15.7,16.36,16.88,17.61,18.39,19.21,20.07,20.76,21.73,22.75,23.85,25.02,26.26,27.59,29.01,30.52,32.13,33.49,35.32,37.29,39.41,41.7,43.69,46.32,49.14,52.19,55.47,58.4,62.2,66.32,70.8,75.67,80.13,85.82,92,98.68,105.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSP B2 25,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18,5.33,5.49,5.66,5.83,6.01,6.2,6.39,6.6,6.82,7.05,7.29,7.54,7.81,8.08,8.37,8.68,8.99,9.32,9.66,10.01,10.38,10.76,11.17,11.59,12.04,12.5,12.99,13.91,14.47,15.07,15.7,16.36,16.88,17.61,18.39,19.21,20.07,20.76,21.73,22.75,23.85,25.02,26.26,27.59,29.01,30.52,32.13,33.49,35.32,37.29,39.41,41.7,43.69,46.32,49.14,52.19,55.47,58.4,62.2,66.32,70.8,75.67,80.13,85.82,92,98.68,105.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSP B2 26,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18,5.33,5.49,5.66,5.83,6.01,6.2,6.39,6.6,6.82,7.05,7.29,7.54,7.81,8.08,8.37,8.68,8.99,9.32,9.66,10.01,10.38,10.76,11.17,11.59,12.04,12.5,12.99,13.91,14.47,15.07,15.7,16.36,16.88,17.61,18.39,19.21,20.07,20.76,21.73,22.75,23.85,25.02,26.26,27.59,29.01,30.52,32.13,33.49,35.32,37.29,39.41,41.7,43.69,46.32,49.14,52.19,55.47,58.4,62.2,66.32,70.8,75.67,80.13,85.82,92,98.68,105.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSP B2 27,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18,5.33,5.49,5.66,5.83,6.01,6.2,6.39,6.6,6.82,7.05,7.29,7.54,7.81,8.08,8.37,8.68,8.99,9.32,9.66,10.01,10.38,10.76,11.17,11.59,12.04,12.5,12.99,13.91,14.47,15.07,15.7,16.36,16.88,17.61,18.39,19.21,20.07,20.76,21.73,22.75,23.85,25.02,26.26,27.59,29.01,30.52,32.13,33.49,35.32,37.29,39.41,41.7,43.69,46.32,49.14,52.19,55.47,58.4,62.2,66.32,70.8,75.67,80.13,85.82,92,98.68,105.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSP B2 28,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18,5.33,5.49,5.66,5.83,6.01,6.2,6.39,6.6,6.82,7.05,7.29,7.54,7.81,8.08,8.37,8.68,8.99,9.32,9.66,10.01,10.38,10.76,11.17,11.59,12.04,12.5,12.99,13.91,14.47,15.07,15.7,16.36,16.88,17.61,18.39,19.21,20.07,20.76,21.73,22.75,23.85,25.02,26.26,27.59,29.01,30.52,32.13,33.49,35.32,37.29,39.41,41.7,43.69,46.32,49.14,52.19,55.47,58.4,62.2,66.32,70.8,75.67,80.13,85.82,92,98.68,105.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSP B2 29,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18,5.33,5.49,5.66,5.83,6.01,6.2,6.39,6.6,6.82,7.05,7.29,7.54,7.81,8.08,8.37,8.68,8.99,9.32,9.66,10.01,10.38,10.76,11.17,11.59,12.04,12.5,12.99,13.91,14.47,15.07,15.7,16.36,16.88,17.61,18.39,19.21,20.07,20.76,21.73,22.75,23.85,25.02,26.26,27.59,29.01,30.52,32.13,33.49,35.32,37.29,39.41,41.7,43.69,46.32,49.14,52.19,55.47,58.4,62.2,66.32,70.8,75.67,80.13,85.82,92,98.68,105.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSP B2 30,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18,5.33,5.49,5.66,5.83,6.01,6.2,6.39,6.6,6.82,7.05,7.29,7.54,7.81,8.08,8.37,8.68,8.99,9.32,9.66,10.01,10.38,10.76,11.17,11.59,12.04,12.5,12.99,13.91,14.47,15.07,15.7,16.36,16.88,17.61,18.39,19.21,20.07,20.76,21.73,22.75,23.85,25.02,26.26,27.59,29.01,30.52,32.13,33.49,35.32,37.29,39.41,41.7,43.69,46.32,49.14,52.19,55.47,58.4,62.2,66.32,70.8,75.67,80.13,85.82,92,98.68,105.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSP B2 31,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18,5.33,5.49,5.66,5.83,6.01,6.2,6.39,6.6,6.82,7.05,7.29,7.54,7.81,8.08,8.37,8.68,8.99,9.32,9.66,10.01,10.38,10.76,11.17,11.59,12.04,12.5,12.99,13.91,14.47,15.07,15.7,16.36,16.88,17.61,18.39,19.21,20.07,20.76,21.73,22.75,23.85,25.02,26.26,27.59,29.01,30.52,32.13,33.49,35.32,37.29,39.41,41.7,43.69,46.32,49.14,52.19,55.47,58.4,62.2,66.32,70.8,75.67,80.13,85.82,92,98.68,105.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSP B2 32,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18,5.33,5.49,5.66,5.83,6.01,6.2,6.39,6.6,6.82,7.05,7.29,7.54,7.81,8.08,8.37,8.68,8.99,9.32,9.66,10.01,10.38,10.76,11.17,11.59,12.04,12.5,12.99,13.91,14.47,15.07,15.7,16.36,16.88,17.61,18.39,19.21,20.07,20.76,21.73,22.75,23.85,25.02,26.26,27.59,29.01,30.52,32.13,33.49,35.32,37.29,39.41,41.7,43.69,46.32,49.14,52.19,55.47,58.4,62.2,66.32,70.8,75.67,80.13,85.82,92,98.68,105.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSP B2 33,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18,5.33,5.49,5.66,5.83,6.01,6.2,6.39,6.6,6.82,7.05,7.29,7.54,7.81,8.08,8.37,8.68,8.99,9.32,9.66,10.01,10.38,10.76,11.17,11.59,12.04,12.5,12.99,13.91,14.47,15.07,15.7,16.36,16.88,17.61,18.39,19.21,20.07,20.76,21.73,22.75,23.85,25.02,26.26,27.59,29.01,30.52,32.13,33.49,35.32,37.29,39.41,41.7,43.69,46.32,49.14,52.19,55.47,58.4,62.2,66.32,70.8,75.67,80.13,85.82,92,98.68,105.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSP B2 34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18,5.33,5.49,5.66,5.83,6.01,6.2,6.39,6.6,6.82,7.05,7.29,7.54,7.81,8.08,8.37,8.68,8.99,9.32,9.66,10.01,10.38,10.76,11.17,11.59,12.04,12.5,12.99,13.91,14.47,15.07,15.7,16.36,16.88,17.61,18.39,19.21,20.07,20.76,21.73,22.75,23.85,25.02,26.26,27.59,29.01,30.52,32.13,33.49,35.32,37.29,39.41,41.7,43.69,46.32,49.14,52.19,55.47,58.4,62.2,66.32,70.8,75.67,80.13,85.82,92,98.68,105.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSP B2 35,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18,5.33,5.49,5.66,5.83,6.01,6.2,6.39,6.6,6.82,7.05,7.29,7.54,7.81,8.08,8.37,8.68,8.99,9.32,9.66,10.01,10.38,10.76,11.17,11.59,12.04,12.5,12.99,13.91,14.47,15.07,15.7,16.36,16.88,17.61,18.39,19.21,20.07,20.76,21.73,22.75,23.85,25.02,26.26,27.59,29.01,30.52,32.13,33.49,35.32,37.29,39.41,41.7,43.69,46.32,49.14,52.19,55.47,58.4,62.2,66.32,70.8,75.67,80.13,85.82,92,98.68,105.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSP B2 36,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18,5.33,5.49,5.66,5.83,6.01,6.2,6.39,6.6,6.82,7.05,7.29,7.54,7.81,8.08,8.37,8.68,8.99,9.32,9.66,10.01,10.38,10.76,11.17,11.59,12.04,12.5,12.99,13.91,14.47,15.07,15.7,16.36,16.88,17.61,18.39,19.21,20.07,20.76,21.73,22.75,23.85,25.02,26.26,27.59,29.01,30.52,32.13,33.49,35.32,37.29,39.41,41.7,43.69,46.32,49.14,52.19,55.47,58.4,62.2,66.32,70.8,75.67,80.13,85.82,92,98.68,105.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSP B2 37,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18,5.33,5.49,5.66,5.83,6.01,6.2,6.39,6.6,6.82,7.05,7.29,7.54,7.81,8.08,8.37,8.68,8.99,9.32,9.66,10.01,10.38,10.76,11.17,11.59,12.04,12.5,12.99,13.91,14.47,15.07,15.7,16.36,16.88,17.61,18.39,19.21,20.07,20.76,21.73,22.75,23.85,25.02,26.26,27.59,29.01,30.52,32.13,33.49,35.32,37.29,39.41,41.7,43.69,46.32,49.14,52.19,55.47,58.4,62.2,66.32,70.8,75.67,80.13,85.82,92,98.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSP B2 38,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18,5.33,5.49,5.66,5.83,6.01,6.2,6.39,6.6,6.82,7.05,7.29,7.54,7.81,8.08,8.37,8.68,8.99,9.32,9.66,10.01,10.38,10.76,11.17,11.59,12.04,12.5,12.99,13.91,14.47,15.07,15.7,16.36,16.88,17.61,18.39,19.21,20.07,20.76,21.73,22.75,23.85,25.02,26.26,27.59,29.01,30.52,32.13,33.49,35.32,37.29,39.41,41.7,43.69,46.32,49.14,52.19,55.47,58.4,62.2,66.32,70.8,75.67,80.13,85.82,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSP B2 39,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.18,5.33,5.49,5.66,5.83,6.01,6.2,6.39,6.6,6.82,7.05,7.29,7.54,7.81,8.08,8.37,8.68,8.99,9.32,9.66,10.01,10.38,10.76,11.17,11.59,12.04,12.5,12.99,13.91,14.47,15.07,15.7,16.36,16.88,17.61,18.39,19.21,20.07,20.76,21.73,22.75,23.85,25.02,26.26,27.59,29.01,30.52,32.13,33.49,35.32,37.29,39.41,41.7,43.69,46.32,49.14,52.19,55.47,58.4,62.2,66.32,70.8,75.67,80.13,85.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
