QLA,MPHASE,MPLAN,MPHSTAT,BENEFIT_TYPE,BENEFIT_SEQ,MODE_PREMIUM,ANN_PREM_PER_UNIT,MPREM_CURRENT
010390061C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010390251C,1,196065,44,BA          ,1,10.0,0.0,10.0
010391004C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010391228C,2,970 PA,56,PU          ,2,0.0,0.0,0.0
010391355C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010391359C,2,280EPA,56,PU          ,2,0.0,0.0,0.0
010391411C,1,170858,41,BA          ,1,0.0,0.0,0.0
010391411C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010391422C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010391582C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010391582C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010391840C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010391841C,1,170858,44,BA          ,1,0.0,0.0,0.0
010391876C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010391878C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010391895C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010392117C,1,170858,41,BA          ,1,0.0,0.0,0.0
010392117C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010392138C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010392138C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010392493C,1,170858,41,BA          ,1,0.0,0.0,0.0
010392493C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010392763C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010392763C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010392763C,3,17085M,56,SL          ,3,0.0,0.0,0.0
010392930C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010393142C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010393143C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010393158C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010393181C,1,170858,41,BA          ,1,0.0,0.0,0.0
010393181C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010393401C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010393899C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010393931C,1,170858,45,BA          ,1,0.0,0.0,0.0
010393931C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010394249C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010394353C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010394662C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010394662C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010395098C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010395211C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010395382C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010395382C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010395382C,3,17085M,56,SL          ,3,0.0,0.0,0.0
010395411C,1,170858,41,BA          ,1,0.0,0.0,0.0
010395411C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010395761C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010395878C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010395878C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010395879C,1,170858,41,BA          ,1,0.0,0.0,0.0
010395879C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010396147C,1,170858,41,BA          ,1,0.0,0.0,0.0
010396147C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010396186C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010396425C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010397118C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010397318C,1,17085M,45,BA          ,1,0.0,0.0,0.0
010397318C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010397318C,3,17085M,56,SL          ,3,0.0,0.0,0.0
010397493C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010397528C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010397583C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010397945C,1,170858,41,BA          ,1,0.0,0.0,0.0
010397945C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010398274C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010398471C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010398471C,3,17085M,22,SL          ,3,0.0,0.0,0.0
010398475C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010398591C,1,170858,41,BA          ,1,0.0,0.0,0.0
010398591C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010399927C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010400462C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010401087C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010401181C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010401210C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010401534C,1,170858,44,BA          ,1,0.0,0.0,0.0
010401565C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010402010C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010402014C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010402105C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010402899C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010403109C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010403117C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010403222C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010403222C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010403516C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010403872C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010403916C,1,170858,45,BA          ,1,0.0,0.0,0.0
010403922C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010403922C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010404600C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010404602C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010404604C,1,170858,44,BA          ,1,0.0,0.0,0.0
010404605C,1,170858,44,BA          ,1,0.0,0.0,0.0
010404857C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010405175C,1,170858,45,BA          ,1,0.0,0.0,0.0
010405440C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010405642C,1,170858,45,BA          ,1,0.0,0.0,0.0
010405802C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010405802C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010405858C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010405858C,3,17085M,56,SL          ,3,0.0,0.0,0.0
010406576C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010406795C,1,170858,41,BA          ,1,0.0,0.0,0.0
010406795C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010406962C,1,170858,45,BA          ,1,0.0,0.0,0.0
010407237C,1,170858,45,BA          ,1,0.0,0.0,0.0
010407533C,1,170858,41,BA          ,1,0.0,0.0,0.0
010407533C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010407534C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010407670C,1,170858,45,BA          ,1,0.0,0.0,0.0
010407670C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010407925C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010408371C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010408371C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010410566C,1,170858,41,BA          ,1,0.0,0.0,0.0
010410566C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010410566C,3,170858,56,SL          ,3,0.0,0.0,0.0
010410616C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010410714C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010410714C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010411499C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010411577C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010411727C,1,196065,41,BA          ,1,0.0,0.0,0.0
010411920C,3,9POADB,56,SL          ,3,0.0,0.0,0.0
010411920C,4,1960PA,22,PU          ,4,0.0,0.0,0.0
010412522C,2,1960PA,56,PU          ,2,0.0,0.0,0.0
010412525C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010412526C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010412640C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010412641C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010413417C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010413417C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010413421C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010413628C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010414235C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010415834C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010417200C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010417838C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010418088C,1,196065,41,BA          ,1,0.0,0.0,0.0
010418562C,1,170858,41,BA          ,1,0.0,0.0,0.0
010418562C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010419054C,1,170858,41,BA          ,1,0.0,0.0,0.0
010419054C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010420853C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010420983C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010422033C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010422221C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010422417C,1,196065,41,BA          ,1,0.0,0.0,0.0
010422722C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010422977C,3,1960PA,22,PU          ,3,0.0,0.0,0.0
010423540C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010424185C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010424798C,1,170858,41,BA          ,1,0.0,0.0,0.0
010424798C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010425718C,1,170858,41,BA          ,1,0.0,0.0,0.0
010425718C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010425720C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010425720C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010425845C,2,17085M,56,SL          ,2,0.0,0.0,0.0
010425928C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010425941C,2,1960PA,22,PU          ,2,0.0,0.0,0.0
010425942C,1,196065,41,BA          ,1,0.0,0.0,0.0
010425942C,2,1960PA,56,PU          ,2,0.0,0.0,0.0
010426657C,1,170858,41,BA          ,1,0.0,0.0,0.0
010426657C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010426747C,2,1960PA,56,PU          ,2,0.0,0.0,0.0
010426858C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010426859C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010426961C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010427442C,1,170858,45,BA          ,1,0.0,0.0,0.0
010427456C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010427456C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010427457C,1,170858,41,BA          ,1,0.0,0.0,0.0
010427457C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010427723C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010428258C,1,170858,44,BA          ,1,0.0,0.0,0.0
010428688C,1,170858,44,BA          ,1,10.44,0.0,10.44
010428747C,1,1960PO,45,BA          ,1,0.0,0.0,0.0
010428771C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010428771C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010429064C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010429066C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010429259C,2,1960PA,56,PU          ,2,0.0,0.0,0.0
010429417C,1,196065,41,BA          ,1,0.0,0.0,0.0
010429417C,3,1960PA,22,PU          ,3,0.0,0.0,0.0
010429532C,1,170858,41,BA          ,1,0.0,0.0,0.0
010429532C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010429558C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010429710C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010429711C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010429893C,1,170858,45,BA          ,1,0.0,0.0,0.0
010429958C,1,170858,41,BA          ,1,0.0,0.0,0.0
010429958C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010429965C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010430017C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010430023C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010430086C,1,170858,41,BA          ,1,0.0,0.0,0.0
010430086C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010430295C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010430296C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010430993C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010431301C,4,1960PA,22,PU          ,4,0.0,0.0,0.0
010431510C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010431738C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010431738C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010432120C,1,170858,45,BA          ,1,0.0,0.0,0.0
010432254C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010432254C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010432414C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010432493C,1,170858,44,BA          ,1,0.0,0.0,0.0
010432494C,1,170858,44,BA          ,1,0.0,0.0,0.0
010432631C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010432782C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010432782C,3,1708PA,56,PU          ,3,0.0,0.0,0.0
010432865C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010432866C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010433471C,1,170858,45,BA          ,1,0.0,0.0,0.0
010433630C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010433786C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010433786C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010434092C,1,170858,41,BA          ,1,0.0,0.0,0.0
010434092C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010434418C,2,1960PA,22,PU          ,2,0.0,0.0,0.0
010434419C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010434421C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010434422C,1,170858,41,BA          ,1,0.0,0.0,0.0
010434422C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010434424C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010434544C,1,170858,41,BA          ,1,0.0,0.0,0.0
010434544C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010434659C,1,170858,41,BA          ,1,0.0,0.0,0.0
010434659C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010434747C,1,170858,41,BA          ,1,0.0,0.0,0.0
010434747C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010434876C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010434876C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010435244C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010435248C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010435466C,1,170858,41,BA          ,1,0.0,0.0,0.0
010435466C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010435466C,3,170858,56,SL          ,3,0.0,0.0,0.0
010435609C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010435672C,1,196065,41,BA          ,1,0.0,0.0,0.0
010436028C,1,170858,44,BA          ,1,0.0,0.0,0.0
010436044C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010436082C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010436083C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010436085C,1,196065,44,BA          ,1,0.0,0.0,0.0
010436406C,1,1991PL,45,BA          ,1,0.0,0.0,0.0
010436541C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010436599C,1,17085M,45,BA          ,1,0.0,0.0,0.0
010436599C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010436691C,1,170858,41,BA          ,1,0.0,0.0,0.0
010436691C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010436712C,1,170858,45,BA          ,1,0.0,0.0,0.0
010436727C,1,170858,41,BA          ,1,0.0,0.0,0.0
010436727C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010436955C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010436955C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010436959C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010437076C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010437232C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010437335C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010437335C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010437794C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010437794C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010438028C,1,170858,44,BA          ,1,0.0,0.0,0.0
010438063C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010438073C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010438325C,1,170858,41,BA          ,1,0.0,0.0,0.0
010438523C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010438525C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010438554C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010438556C,4,1960PA,22,PU          ,4,0.0,0.0,0.0
010438820C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010438821C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010438861C,1,170858,45,BA          ,1,0.0,0.0,0.0
010438926C,1,170858,41,BA          ,1,0.0,0.0,0.0
010438926C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010438938C,1,170858,41,BA          ,1,0.0,0.0,0.0
010438938C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010438942C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010438942C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010438942C,3,17085M,56,SL          ,3,0.0,0.0,0.0
010439128C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010439156C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010439181C,1,170858,45,BA          ,1,0.0,0.0,0.0
010439277C,1,196065,41,BA          ,1,0.0,0.0,0.0
010439277C,2,1960PA,22,PU          ,2,0.0,0.0,0.0
010439435C,1,170858,41,BA          ,1,0.0,0.0,0.0
010439435C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010439527C,2,170858,56,SL          ,2,0.0,0.0,0.0
010439527C,3,1708PA,56,PU          ,3,0.0,0.0,0.0
010439836C,2,1960PA,56,PU          ,2,0.0,0.0,0.0
010439999C,2,1960PA,22,PU          ,2,0.0,0.0,0.0
010440000C,1,196065,41,BA          ,1,0.0,0.0,0.0
010440000C,2,1960PA,22,PU          ,2,0.0,0.0,0.0
010440345C,1,170858,41,BA          ,1,0.0,0.0,0.0
010440345C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010440370C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010440371C,1,196065,41,BA          ,1,0.0,0.0,0.0
010440371C,3,1960PA,22,PU          ,3,0.0,0.0,0.0
010440631C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010440631C,3,170858,22,SL          ,3,0.0,0.0,0.0
010441082C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010441084C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010441085C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010441927C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010442216C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010442222C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010442230C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010442330C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010442332C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010442551C,1,170858,44,BA          ,1,0.0,0.0,0.0
010442552C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010442906C,2,1960PA,22,PU          ,2,0.0,0.0,0.0
010443032C,1,170858,41,BA          ,1,0.0,0.0,0.0
010443032C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010443109C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010443161C,1,170858,44,BA          ,1,0.0,0.0,0.0
010443287C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010443296C,1,17085M,41,BA          ,1,0.0,0.0,0.0
010443296C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010443389C,1,1960PO,45,BA          ,1,0.0,0.0,0.0
010443432C,1,196065,41,BA          ,1,0.0,0.0,0.0
010443432C,3,1960PA,22,PU          ,3,0.0,0.0,0.0
010443433C,1,1960PO,45,BA          ,1,0.0,0.0,0.0
010443646C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010443816C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010444207C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010444283C,1,170858,41,BA          ,1,0.0,0.0,0.0
010444283C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010444917C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010445074C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010445091C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010445091C,3,17085M,56,SL          ,3,0.0,0.0,0.0
010445131C,1,170858,45,BA          ,1,0.0,0.0,0.0
010445275C,2,90OLWP,56,SU          ,2,0.0,0.0,0.0
010445351C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010445575C,1,170858,41,BA          ,1,0.0,0.0,0.0
010445575C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010445719C,1,170858,41,BA          ,1,0.0,0.0,0.0
010445719C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010446088C,1,1960OL,45,BA          ,1,0.0,0.0,0.0
010446237C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010446416C,1,170858,41,BA          ,1,0.0,0.0,0.0
010446416C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010446638C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010446741C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010446852C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010447475C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010447559C,1,1991PL,45,BA          ,1,0.0,0.0,0.0
010447574C,1,170858,41,BA          ,1,0.0,0.0,0.0
010447574C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010448025C,1,170858,41,BA          ,1,0.0,0.0,0.0
010448025C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010448181C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010448375C,2,1708PA,56,PU          ,2,0.0,0.0,0.0
010448609C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010448806C,2,1708PA,22,PU          ,2,0.0,0.0,0.0
010448806C,3,170858,22,SL          ,3,0.0,0.0,0.0
