MPOLICY,DIVIDEND_OPTION,ACCUM_DIVIDENDS,DIVIDENDS_CREDITED,WINDOW_DIV_TYPE3,WINDOW_INT_TYPE6,WINDOW_OUT_TYPE7,WINDOW_REVERSED_BACK,OPENING_20171231,OPENING_TYPE3_PRE2018_DIV,OPENING_TYPE6_PRE2018_INT,RESOLUTION
9010452575,3,4580.67,1654.40,0.00,1148.93,0.00,0.00,3431.74,1654.40,1777.34,SPLIT_3_AND_6
9010455617,3,3948.31,1750.33,0.00,396.18,4015.87,0.00,7568.00,1750.33,5817.67,SPLIT_3_AND_6
9010457623,3,1.53,2596.00,0.00,0.38,0.00,0.00,1.15,2596.00,-2594.85,NEEDS_TYPE_7_PLUG
9010458525,6,529.93,1866.46,485.87,46.36,0.00,0.00,-2.30,1380.59,-1382.89,NEEDS_TYPE_7_PLUG
9010460323,3,1974.49,739.18,0.00,476.31,0.00,0.00,1498.18,739.18,759.00,SPLIT_3_AND_6
9010460406,3,772.29,290.96,0.00,186.23,0.00,0.00,586.06,290.96,295.10,SPLIT_3_AND_6
9010463537,3,1080.39,417.30,0.00,269.23,0.00,0.00,811.16,417.30,393.86,SPLIT_3_AND_6
9010467061,3,4222.33,1676.92,0.00,983.64,4222.33,0.00,7461.02,1676.92,5784.10,SPLIT_3_AND_6
9010469430,3,5817.29,2605.30,0.00,586.39,5828.81,0.00,11059.71,2605.30,8454.41,SPLIT_3_AND_6
9010469666,3,7566.61,2968.20,0.00,1823.68,0.00,0.00,5742.93,2968.20,2774.73,SPLIT_3_AND_6
9010471933,3,3823.10,1916.55,0.00,231.46,3904.45,0.00,7496.09,1916.55,5579.54,SPLIT_3_AND_6
9010481459,3,6093.50,2524.90,0.00,1475.58,0.00,0.00,4617.92,2524.90,2093.02,SPLIT_3_AND_6
9010492604,3,4650.49,1898.15,0.00,1175.63,0.00,0.00,3474.86,1898.15,1576.71,SPLIT_3_AND_6
9010494229,3,608.16,308.44,0.00,70.05,626.96,0.00,1165.07,308.44,856.63,SPLIT_3_AND_6
9010495113,3,3404.65,1454.80,0.00,830.24,0.00,0.00,2574.41,1454.80,1119.61,SPLIT_3_AND_6
9010497768,3,263.20,2727.08,259.30,7.35,266.65,0.00,263.20,2467.78,-2204.58,NEEDS_TYPE_7_PLUG
9010498617,3,3151.02,1478.36,0.00,505.93,3177.56,0.00,5822.65,1478.36,4344.29,SPLIT_3_AND_6
9010503391,3,4788.64,2086.50,104.90,1161.41,0.00,0.00,3522.33,1981.60,1540.73,SPLIT_3_AND_6
9010507004,3,3193.36,1370.05,65.85,790.40,0.00,0.00,2337.11,1304.20,1032.91,SPLIT_3_AND_6
9010507005,3,1240.38,533.56,25.82,307.01,0.00,0.00,907.55,507.74,399.81,SPLIT_3_AND_6
9010511203,3,5213.61,315.32,94.54,1261.44,0.00,0.00,3857.63,220.78,3636.85,SPLIT_3_AND_6
9010513848,3,11089.82,6051.60,2060.40,2424.71,0.00,0.00,6604.71,3991.20,2613.51,SPLIT_3_AND_6
9010513849,3,5749.01,2569.80,130.80,1397.62,0.00,0.00,4220.59,2439.00,1781.59,SPLIT_3_AND_6
9010514051,3,4048.89,1847.95,88.35,858.18,4081.46,0.00,7183.82,1759.60,5424.22,SPLIT_3_AND_6
9010520451,3,1475.58,750.05,39.10,355.20,0.00,0.00,1081.28,710.95,370.33,SPLIT_3_AND_6
9010521160,3,1870.49,909.62,79.80,295.25,1870.67,0.00,3366.11,829.82,2536.29,SPLIT_3_AND_6
9010523097,3,7217.65,3201.50,306.92,1748.74,0.00,0.00,5161.99,2894.58,2267.41,SPLIT_3_AND_6
9010527336,3,651.46,290.96,29.80,160.33,0.00,0.00,461.33,261.16,200.17,SPLIT_3_AND_6
9010542288,3,10427.22,5769.90,2002.95,2237.21,0.00,0.00,6187.06,3766.95,2420.11,SPLIT_3_AND_6
9010544183,3,1900.26,881.26,90.30,453.50,0.00,0.00,1356.46,790.96,565.50,SPLIT_3_AND_6
9010555714,3,2603.45,1227.30,177.75,650.16,0.00,0.00,1775.54,1049.55,725.99,SPLIT_3_AND_6
9010653595,3,1023.69,609.93,119.28,150.86,1058.32,0.00,1811.87,490.65,1321.22,SPLIT_3_AND_6
9010653596,3,1015.93,595.05,140.04,140.74,1015.93,0.00,1751.08,455.01,1296.07,SPLIT_3_AND_6
9010728947,3,1875.38,1049.16,326.55,416.88,0.00,0.00,1131.95,722.61,409.34,SPLIT_3_AND_6
