reconstructed_claim_id,gross_benefit_amount,interest_amount,loan_principal_offset,loan_interest_offset,surrender_charge_amount,withholding_amount,total_cash_amount,partial_surrender_amount,reconstructed_net_payment,raw_transaction_total,balancing_difference,balancing_status,confidence_level
RC-9010376522-1-SURRENDER_CLAIM-C3-20211006,0.0,816.12,0.0,816.12,0.0,0.0,5408.9,0.0,5408.9,6225.02,5408.9,UNBALANCED,LOW
RC-9010376529-1-SURRENDER_CLAIM-C0-20180914,0.0,532.23,2000.0,532.23,0.0,0.0,0.0,0.0,-2000.0,2532.23,-2000.0,UNBALANCED,LOW
RC-9010376529-1-SURRENDER_CLAIM-C1-20190614,0.0,60.72,0.0,60.72,0.0,0.0,2512.06,0.0,2512.06,2572.78,2512.06,UNBALANCED,LOW
RC-9010376540-1-DEATH_CLAIM-C0-20181014,9924.0,85.54,0.0,0.0,0.0,0.0,0.0,0.0,10009.54,21716.3,-1697.22,UNBALANCED,LOW
RC-9010376540-1-DEATH_CLAIM-C1-20190220,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5810.61,-5810.61,UNBALANCED,LOW
RC-9010376540-2-DEATH_CLAIM-C0-20181014,7507.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7507.83,7507.83,7507.83,UNBALANCED,LOW
RC-9010377918-1-SURRENDER_CLAIM-C0-20250331,0.0,0.0,0.0,0.0,0.0,0.0,15878.94,0.0,15878.94,15878.94,15878.94,UNBALANCED,LOW
RC-9010378710-1-DEATH_CLAIM-C0-20210210,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,11715.85,-1715.85,UNBALANCED,LOW
RC-9010378710-2-DEATH_CLAIM-C0-20210210,1715.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1715.85,1715.85,1715.85,UNBALANCED,LOW
RC-9010378829-1-DEATH_CLAIM-C0-20210829,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,12174.45,-2174.45,UNBALANCED,LOW
RC-9010378829-2-DEATH_CLAIM-C0-20210829,2174.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2174.45,2174.45,2174.45,UNBALANCED,LOW
RC-9010379405-1-SURRENDER_CLAIM-C0-20230526,0.0,0.0,0.0,0.0,0.0,0.0,7437.83,0.0,7437.83,7437.83,7437.83,UNBALANCED,LOW
RC-9010380049-1-SURRENDER_CLAIM-C0-20181113,0.0,189.9,0.0,189.9,0.0,0.0,0.0,0.0,0.0,189.9,0.0,BALANCED,HIGH
RC-9010380049-1-SURRENDER_CLAIM-C1-20191113,0.0,199.89,0.0,199.89,0.0,0.0,0.0,0.0,0.0,199.89,0.0,BALANCED,HIGH
RC-9010380049-1-SURRENDER_CLAIM-C2-20201113,0.0,989.66,0.0,989.66,0.0,0.0,0.0,0.0,0.0,989.66,0.0,BALANCED,HIGH
RC-9010380049-1-SURRENDER_CLAIM-C3-20211113,0.0,215.97,0.0,215.97,0.0,0.0,0.0,0.0,0.0,215.97,0.0,BALANCED,HIGH
RC-9010380049-1-SURRENDER_CLAIM-C4-20221113,0.0,686.6,87.5,686.6,0.0,0.0,0.0,0.0,-87.5,774.1,-87.5,MINOR_VARIANCE,MEDIUM
RC-9010380049-1-SURRENDER_CLAIM-C5-20231113,0.0,244.15,0.0,244.15,0.0,0.0,0.0,0.0,0.0,244.15,0.0,BALANCED,HIGH
RC-9010380049-1-SURRENDER_CLAIM-C6-20241113,0.0,735.82,0.0,735.82,0.0,0.0,0.0,0.0,0.0,735.82,0.0,BALANCED,HIGH
RC-9010380049-1-SURRENDER_CLAIM-C7-20251113,0.0,265.0,0.0,265.0,0.0,0.0,0.0,0.0,0.0,265.0,0.0,BALANCED,HIGH
RC-9010380627-1-SURRENDER_CLAIM-C0-20181125,0.0,2.3,0.0,2.3,0.0,0.0,0.0,0.0,0.0,2.3,0.0,BALANCED,HIGH
RC-9010380627-1-SURRENDER_CLAIM-C1-20190813,0.0,1.3,0.0,1.3,0.0,0.0,0.0,0.0,0.0,1.3,0.0,BALANCED,HIGH
RC-9010380627-1-SURRENDER_CLAIM-C10-20251125,0.0,7.88,0.0,7.88,0.0,0.0,0.0,0.0,0.0,7.88,0.0,BALANCED,HIGH
RC-9010380627-1-SURRENDER_CLAIM-C2-20191125,0.0,2.42,0.0,2.42,0.0,0.0,0.0,0.0,0.0,2.42,0.0,BALANCED,HIGH
RC-9010380627-1-SURRENDER_CLAIM-C3-20200825,0.0,1.77,40.93,1.77,0.0,0.0,0.0,0.0,-40.93,42.7,-40.93,MINOR_VARIANCE,MEDIUM
RC-9010380627-1-SURRENDER_CLAIM-C4-20201125,0.0,4.73,0.0,4.73,0.0,0.0,0.0,0.0,0.0,4.73,0.0,BALANCED,HIGH
RC-9010380627-1-SURRENDER_CLAIM-C5-20211125,0.0,4.98,0.0,4.98,0.0,0.0,0.0,0.0,0.0,4.98,0.0,BALANCED,HIGH
RC-9010380627-1-SURRENDER_CLAIM-C6-20230825,0.0,1.83,40.93,1.83,0.0,0.0,0.0,0.0,-40.93,42.76,-40.93,MINOR_VARIANCE,MEDIUM
RC-9010380627-1-SURRENDER_CLAIM-C7-20231125,0.0,7.49,0.0,7.49,0.0,0.0,0.0,0.0,0.0,7.49,0.0,BALANCED,HIGH
RC-9010380627-1-SURRENDER_CLAIM-C8-20240814,0.0,4.19,0.0,4.19,0.0,0.0,0.0,0.0,0.0,4.19,0.0,BALANCED,HIGH
RC-9010380627-1-SURRENDER_CLAIM-C9-20241120,0.0,7.7,0.0,7.7,0.0,0.0,0.0,0.0,0.0,7.7,0.0,BALANCED,HIGH
RC-9010381745-1-SURRENDER_CLAIM-C0-20180101,0.0,341.04,0.0,341.04,0.0,0.0,0.0,0.0,0.0,341.04,0.0,BALANCED,HIGH
RC-9010381745-1-SURRENDER_CLAIM-C1-20190101,0.0,358.99,0.0,358.99,0.0,0.0,0.0,0.0,0.0,358.99,0.0,BALANCED,HIGH
RC-9010381745-1-SURRENDER_CLAIM-C2-20200101,0.0,735.61,0.0,735.61,0.0,0.0,5648.21,0.0,5648.21,6383.82,5648.21,UNBALANCED,LOW
RC-9010382426-1-SURRENDER_CLAIM-C0-20180112,0.0,144.91,0.0,144.91,0.0,0.0,0.0,0.0,0.0,144.91,0.0,BALANCED,HIGH
RC-9010382426-1-SURRENDER_CLAIM-C1-20180404,0.0,220.12,0.0,220.12,0.0,0.0,0.0,0.0,0.0,220.12,0.0,BALANCED,HIGH
RC-9010382426-1-SURRENDER_CLAIM-C10-20230112,0.0,143.37,0.0,143.37,0.0,0.0,0.0,0.0,0.0,143.37,0.0,BALANCED,HIGH
RC-9010382426-1-SURRENDER_CLAIM-C11-20230322,0.0,227.57,0.0,227.57,0.0,0.0,0.0,0.0,0.0,227.57,0.0,BALANCED,HIGH
RC-9010382426-1-SURRENDER_CLAIM-C12-20240112,0.0,385.94,0.0,385.94,0.0,0.0,0.0,0.0,0.0,385.94,0.0,BALANCED,HIGH
RC-9010382426-1-SURRENDER_CLAIM-C13-20250112,0.0,388.66,0.0,388.66,0.0,0.0,0.0,0.0,0.0,388.66,0.0,BALANCED,HIGH
RC-9010382426-1-SURRENDER_CLAIM-C14-20260112,0.0,385.47,0.0,385.47,0.0,0.0,0.0,0.0,0.0,385.47,0.0,BALANCED,HIGH
RC-9010382426-1-SURRENDER_CLAIM-C2-20190112,0.0,144.6,0.0,144.6,0.0,0.0,0.0,0.0,0.0,144.6,0.0,BALANCED,HIGH
RC-9010382426-1-SURRENDER_CLAIM-C3-20190405,0.0,218.89,0.0,218.89,0.0,0.0,0.0,0.0,0.0,218.89,0.0,BALANCED,HIGH
RC-9010382426-1-SURRENDER_CLAIM-C4-20200112,0.0,144.29,0.0,144.29,0.0,0.0,0.0,0.0,0.0,144.29,0.0,BALANCED,HIGH
RC-9010382426-1-SURRENDER_CLAIM-C5-20200412,0.0,212.53,0.0,212.53,0.0,0.0,0.0,0.0,0.0,212.53,0.0,BALANCED,HIGH
RC-9010382426-1-SURRENDER_CLAIM-C6-20210112,0.0,143.99,0.0,143.99,0.0,0.0,0.0,0.0,0.0,143.99,0.0,BALANCED,HIGH
RC-9010382426-1-SURRENDER_CLAIM-C7-20210322,0.0,228.55,0.0,228.55,0.0,0.0,0.0,0.0,0.0,228.55,0.0,BALANCED,HIGH
RC-9010382426-1-SURRENDER_CLAIM-C8-20220112,0.0,143.67,0.0,143.67,0.0,0.0,0.0,0.0,0.0,143.67,0.0,BALANCED,HIGH
RC-9010382426-1-SURRENDER_CLAIM-C9-20220412,0.0,212.19,0.0,212.19,0.0,0.0,0.0,0.0,0.0,212.19,0.0,BALANCED,HIGH
RC-9010382520-1-DEATH_CLAIM-C0-20200820,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,12807.24,-2807.24,UNBALANCED,LOW
RC-9010382520-3-DEATH_CLAIM-C0-20200820,2807.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2807.24,2807.24,2807.24,UNBALANCED,LOW
RC-9010382931-1-DEATH_CLAIM-C0-20220210,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,27655.4,-7290.3,UNBALANCED,LOW
RC-9010382931-1-SURRENDER_CLAIM-C0-20180115,0.0,17.98,0.0,17.98,0.0,0.0,0.0,0.0,0.0,17.98,0.0,BALANCED,HIGH
RC-9010382931-1-SURRENDER_CLAIM-C1-20190117,0.0,55.23,0.0,55.23,0.0,0.0,0.0,0.0,0.0,55.23,0.0,BALANCED,HIGH
RC-9010382931-1-SURRENDER_CLAIM-C2-20200117,0.0,54.06,0.0,54.06,0.0,0.0,0.0,0.0,0.0,54.06,0.0,BALANCED,HIGH
RC-9010382931-1-SURRENDER_CLAIM-C3-20210114,0.0,18.08,0.0,18.08,0.0,0.0,0.0,0.0,0.0,18.08,0.0,BALANCED,HIGH
RC-9010382931-1-SURRENDER_CLAIM-C4-20220117,0.0,71.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,71.0,0.0,BALANCED,HIGH
RC-9010382931-2-DEATH_CLAIM-C0-20220210,7603.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7603.4,7603.4,7603.4,UNBALANCED,LOW
RC-9010385491-1-DEATH_CLAIM-C0-20190501,9510.0,1490.33,0.0,0.0,0.0,0.0,0.0,0.0,11000.33,23000.14,-999.48,UNBALANCED,LOW
RC-9010385491-1-DEATH_CLAIM-C1-20210707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5999.58,-5999.58,UNBALANCED,LOW
RC-9010385491-2-DEATH_CLAIM-C0-20190501,6999.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6999.06,6999.06,6999.06,UNBALANCED,LOW
RC-9010385636-1-SURRENDER_CLAIM-C0-20180209,0.0,720.87,0.0,720.87,0.0,0.0,0.0,0.0,0.0,720.87,0.0,BALANCED,HIGH
RC-9010385636-1-SURRENDER_CLAIM-C1-20180507,0.0,552.39,0.0,552.39,0.0,0.0,10108.84,0.0,10108.84,10661.23,10108.84,UNBALANCED,LOW
RC-9010389651-1-DEATH_CLAIM-C0-20240727,10931.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10931.0,33283.18,-11421.18,UNBALANCED,LOW
RC-9010389651-2-DEATH_CLAIM-C0-20240727,11421.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11421.18,11421.18,11421.18,UNBALANCED,LOW
RC-9010389802-1-SURRENDER_CLAIM-C0-20201026,0.0,0.0,0.0,0.0,0.0,0.0,8178.76,0.0,8178.76,8178.76,8178.76,UNBALANCED,LOW
RC-9010391004-1-SURRENDER_CLAIM-C0-20180501,0.0,695.95,0.0,695.95,0.0,0.0,0.0,0.0,0.0,695.95,0.0,BALANCED,HIGH
RC-9010391004-1-SURRENDER_CLAIM-C1-20190501,0.0,699.87,0.0,699.87,0.0,0.0,0.0,0.0,0.0,699.87,0.0,BALANCED,HIGH
RC-9010391004-1-SURRENDER_CLAIM-C2-20200501,0.0,693.56,0.0,693.56,0.0,0.0,0.0,0.0,0.0,693.56,0.0,BALANCED,HIGH
RC-9010391004-1-SURRENDER_CLAIM-C3-20210501,0.0,693.65,0.0,693.65,0.0,0.0,0.0,0.0,0.0,693.65,0.0,BALANCED,HIGH
RC-9010391004-1-SURRENDER_CLAIM-C4-20220501,0.0,687.42,0.0,687.42,0.0,0.0,0.0,0.0,0.0,687.42,0.0,BALANCED,HIGH
RC-9010391004-1-SURRENDER_CLAIM-C5-20230501,0.0,701.47,0.0,701.47,0.0,0.0,0.0,0.0,0.0,701.47,0.0,BALANCED,HIGH
RC-9010391004-1-SURRENDER_CLAIM-C6-20240501,0.0,698.96,0.0,698.96,0.0,0.0,0.0,0.0,0.0,698.96,0.0,BALANCED,HIGH
RC-9010391004-1-SURRENDER_CLAIM-C7-20250501,0.0,681.32,0.0,681.32,0.0,0.0,0.0,0.0,0.0,681.32,0.0,BALANCED,HIGH
RC-9010391228-1-SURRENDER_CLAIM-C0-20180421,0.0,181.85,45.83,181.85,0.0,0.0,0.0,0.0,-45.83,227.68,-45.83,MINOR_VARIANCE,MEDIUM
RC-9010391228-1-SURRENDER_CLAIM-C1-20181021,0.0,64.04,45.83,64.04,0.0,0.0,0.0,0.0,-45.83,109.87,-45.83,MINOR_VARIANCE,MEDIUM
RC-9010391228-1-SURRENDER_CLAIM-C10-20230421,0.0,317.86,45.83,317.86,0.0,0.0,0.0,0.0,-45.83,363.69,-45.83,MINOR_VARIANCE,MEDIUM
RC-9010391228-1-SURRENDER_CLAIM-C11-20231021,0.0,110.13,45.83,110.13,0.0,0.0,0.0,0.0,-45.83,155.96,-45.83,MINOR_VARIANCE,MEDIUM
RC-9010391228-1-SURRENDER_CLAIM-C12-20240319,0.0,10.14,0.0,10.14,0.0,0.0,4007.17,0.0,4007.17,4017.31,4007.17,UNBALANCED,LOW
RC-9010391228-1-SURRENDER_CLAIM-C2-20190421,0.0,206.35,45.83,206.35,0.0,0.0,0.0,0.0,-45.83,252.18,-45.83,MINOR_VARIANCE,MEDIUM
RC-9010391228-1-SURRENDER_CLAIM-C3-20191021,0.0,72.49,45.83,72.49,0.0,0.0,0.0,0.0,-45.83,118.32,-45.83,MINOR_VARIANCE,MEDIUM
RC-9010391228-1-SURRENDER_CLAIM-C4-20200421,0.0,232.12,45.83,232.12,0.0,0.0,0.0,0.0,-45.83,277.95,-45.83,MINOR_VARIANCE,MEDIUM
RC-9010391228-1-SURRENDER_CLAIM-C5-20201021,0.0,80.97,45.83,80.97,0.0,0.0,0.0,0.0,-45.83,126.8,-45.83,MINOR_VARIANCE,MEDIUM
RC-9010391228-1-SURRENDER_CLAIM-C6-20210421,0.0,259.24,45.83,259.24,0.0,0.0,0.0,0.0,-45.83,305.07,-45.83,MINOR_VARIANCE,MEDIUM
RC-9010391228-1-SURRENDER_CLAIM-C7-20211021,0.0,90.09,45.83,90.09,0.0,0.0,0.0,0.0,-45.83,135.92,-45.83,MINOR_VARIANCE,MEDIUM
RC-9010391228-1-SURRENDER_CLAIM-C8-20220421,0.0,287.8,45.83,287.8,0.0,0.0,0.0,0.0,-45.83,333.63,-45.83,MINOR_VARIANCE,MEDIUM
RC-9010391228-1-SURRENDER_CLAIM-C9-20221021,0.0,99.71,45.83,99.71,0.0,0.0,0.0,0.0,-45.83,145.54,-45.83,MINOR_VARIANCE,MEDIUM
RC-9010391359-1-DEATH_CLAIM-C0-20211119,2000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2000.0,5120.27,739.94,UNBALANCED,LOW
RC-9010391359-1-SURRENDER_CLAIM-C0-20180426,0.0,81.5,0.0,81.5,0.0,0.0,0.0,0.0,0.0,81.5,0.0,BALANCED,HIGH
RC-9010391359-1-SURRENDER_CLAIM-C1-20190426,0.0,85.79,0.0,85.79,0.0,0.0,0.0,0.0,0.0,85.79,0.0,BALANCED,HIGH
RC-9010391359-1-SURRENDER_CLAIM-C2-20200426,0.0,90.31,0.0,90.31,0.0,0.0,0.0,0.0,0.0,90.31,0.0,BALANCED,HIGH
RC-9010391359-1-SURRENDER_CLAIM-C3-20210426,0.0,95.06,0.0,95.06,0.0,0.0,0.0,0.0,0.0,95.06,0.0,BALANCED,HIGH
RC-9010391359-1-SURRENDER_CLAIM-C4-20211119,0.0,41.75,0.0,41.75,0.0,0.0,0.0,0.0,0.0,41.75,0.0,BALANCED,HIGH
RC-9010391359-2-DEATH_CLAIM-C0-20211119,1118.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1118.65,1118.65,1118.65,UNBALANCED,LOW
RC-9010391359-3-DEATH_CLAIM-C0-20211119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,BALANCED,HIGH
RC-9010391422-1-SURRENDER_CLAIM-C0-20180601,0.0,75.11,0.0,75.11,0.0,0.0,0.0,0.0,0.0,75.11,0.0,BALANCED,HIGH
RC-9010391422-1-SURRENDER_CLAIM-C1-20190601,0.0,79.06,0.0,79.06,0.0,0.0,0.0,0.0,0.0,79.06,0.0,BALANCED,HIGH
RC-9010391422-1-SURRENDER_CLAIM-C2-20191120,0.0,42.41,0.0,42.41,0.0,0.0,2460.7,0.0,2460.7,2503.11,2460.7,UNBALANCED,LOW
RC-9010392138-1-SURRENDER_CLAIM-C0-20180601,0.0,633.03,0.0,633.03,0.0,0.0,0.0,0.0,0.0,633.03,0.0,BALANCED,HIGH
RC-9010392138-1-SURRENDER_CLAIM-C1-20190601,0.0,666.35,0.0,666.35,0.0,0.0,0.0,0.0,0.0,666.35,0.0,BALANCED,HIGH
RC-9010392138-1-SURRENDER_CLAIM-C2-20200529,0.0,700.58,0.0,700.58,0.0,0.0,0.0,0.0,0.0,700.58,0.0,BALANCED,HIGH
RC-9010392138-1-SURRENDER_CLAIM-C3-20210601,0.0,725.76,0.0,725.76,0.0,0.0,0.0,0.0,0.0,725.76,0.0,BALANCED,HIGH
RC-9010392138-1-SURRENDER_CLAIM-C4-20220601,0.0,763.96,0.0,763.96,0.0,0.0,0.0,0.0,0.0,763.96,0.0,BALANCED,HIGH
RC-9010392138-1-SURRENDER_CLAIM-C5-20230601,0.0,804.17,0.0,804.17,0.0,0.0,0.0,0.0,0.0,804.17,0.0,BALANCED,HIGH
RC-9010392138-1-SURRENDER_CLAIM-C6-20231206,0.0,396.25,0.0,396.25,0.0,0.0,8571.23,0.0,8571.23,8967.48,8571.23,UNBALANCED,LOW
RC-9010392493-1-DISBURSEMENT_CLAIM-C0-20200210,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18738.3,-18738.3,UNBALANCED,LOW
