reconstructed_claim_id,policy_number,benefit_seq,claim_family,claim_subtype,reconstructed_lifecycle_status,first_activity_date,latest_activity_date,claim_activity_row_count,claim_relevant_transaction_codes,possible_reversal_flag,confidence_level,reconstruction_notes
RC-9010363098-5-DEATH_CLAIM-C0-20220917,9010363098,5,DEATH_CLAIM,DEATH_BENEFIT,FUNDED,20220917,20220917,1,0530,N,LOW,Prototype grouping by policy/benefit_seq/DEATH_CLAIM with 60-day date cluster window
RC-9010367438-1-DEATH_CLAIM-C0-20211110,9010367438,1,DEATH_CLAIM,DEATH_BENEFIT|DEATH_CLAIM_CLEARING|DEATH_CLAIM_PAYOUT,SETTLED,20211110,20211110,5,0038|0094|0530,N,LOW,Prototype grouping by policy/benefit_seq/DEATH_CLAIM with 60-day date cluster window
RC-9010367438-1-SURRENDER_CLAIM-C0-20180628,9010367438,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20180628,20180701,3,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010367438-1-SURRENDER_CLAIM-C1-20190701,9010367438,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20190701,20190701,1,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010367438-1-SURRENDER_CLAIM-C2-20200701,9010367438,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20200701,20200701,1,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010367438-1-SURRENDER_CLAIM-C3-20210701,9010367438,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20210701,20210720,5,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010367438-1-SURRENDER_CLAIM-C4-20211110,9010367438,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20211110,20211110,1,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010367438-2-DEATH_CLAIM-C0-20211110,9010367438,2,DEATH_CLAIM,DEATH_BENEFIT,FUNDED,20211110,20211110,1,0530,N,LOW,Prototype grouping by policy/benefit_seq/DEATH_CLAIM with 60-day date cluster window
RC-9010367705-1-SURRENDER_CLAIM-C0-20250626,9010367705,1,SURRENDER_CLAIM,TOTAL_CASH,FUNDED,20250626,20250626,2,0560,N,LOW,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010368703-1-DEATH_CLAIM-C0-20210114,9010368703,1,DEATH_CLAIM,DEATH_BENEFIT|DEATH_CLAIM_CLEARING|DEATH_CLAIM_PAYOUT,SETTLED,20210114,20210114,3,0038|0094|0530,N,LOW,Prototype grouping by policy/benefit_seq/DEATH_CLAIM with 60-day date cluster window
RC-9010368703-2-DEATH_CLAIM-C0-20210114,9010368703,2,DEATH_CLAIM,DEATH_BENEFIT,FUNDED,20210114,20210114,1,0530,N,LOW,Prototype grouping by policy/benefit_seq/DEATH_CLAIM with 60-day date cluster window
RC-9010371171-1-DEATH_CLAIM-C0-20240624,9010371171,1,DEATH_CLAIM,DEATH_BENEFIT|DEATH_CLAIM_CLEARING|DEATH_CLAIM_PAYOUT,SETTLED,20240624,20240624,5,0038|0094|0530,N,LOW,Prototype grouping by policy/benefit_seq/DEATH_CLAIM with 60-day date cluster window
RC-9010371171-2-DEATH_CLAIM-C0-20240624,9010371171,2,DEATH_CLAIM,DEATH_BENEFIT,FUNDED,20240624,20240624,1,0530,N,LOW,Prototype grouping by policy/benefit_seq/DEATH_CLAIM with 60-day date cluster window
RC-9010373918-1-SURRENDER_CLAIM-C0-20210412,9010373918,1,SURRENDER_CLAIM,TOTAL_CASH,FUNDED,20210412,20210412,2,0560,N,LOW,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010374779-1-DEATH_CLAIM-C0-20200530,9010374779,1,DEATH_CLAIM,DEATH_BENEFIT|DEATH_CLAIM_PAYOUT,SETTLED,20200530,20200530,2,0094|0530,N,LOW,Prototype grouping by policy/benefit_seq/DEATH_CLAIM with 60-day date cluster window
RC-9010374779-2-DEATH_CLAIM-C0-20200530,9010374779,2,DEATH_CLAIM,DEATH_BENEFIT,FUNDED,20200530,20200530,1,0530,N,LOW,Prototype grouping by policy/benefit_seq/DEATH_CLAIM with 60-day date cluster window
RC-9010376522-1-SURRENDER_CLAIM-C0-20181006,9010376522,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET|LOAN_PRINCIPAL_OFFSET,INFERRED,20181006,20181006,4,0411|0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010376522-1-SURRENDER_CLAIM-C1-20191006,9010376522,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET|LOAN_PRINCIPAL_OFFSET,INFERRED,20191006,20191006,4,0411|0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010376522-1-SURRENDER_CLAIM-C2-20201006,9010376522,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET|LOAN_PRINCIPAL_OFFSET,INFERRED,20201006,20201006,4,0411|0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010376522-1-SURRENDER_CLAIM-C3-20211006,9010376522,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET|TOTAL_CASH,FUNDED,20211006,20211006,4,0412|0560,N,LOW,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010376529-1-SURRENDER_CLAIM-C0-20180914,9010376529,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET|LOAN_PRINCIPAL_OFFSET,INFERRED,20180914,20181126,6,0411|0412,N,LOW,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010376529-1-SURRENDER_CLAIM-C1-20190614,9010376529,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET|TOTAL_CASH,FUNDED,20190614,20190614,3,0412|0560,N,LOW,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010376540-1-DEATH_CLAIM-C0-20181014,9010376540,1,DEATH_CLAIM,DEATH_BENEFIT|DEATH_BENEFIT_INTEREST|DEATH_CLAIM_PAYOUT,SETTLED,20181014,20181014,6,0094|0530|0630,N,LOW,Prototype grouping by policy/benefit_seq/DEATH_CLAIM with 60-day date cluster window
RC-9010376540-1-DEATH_CLAIM-C1-20190220,9010376540,1,DEATH_CLAIM,DEATH_CLAIM_PAYOUT,PAID,20190220,20190220,1,0094,N,LOW,Prototype grouping by policy/benefit_seq/DEATH_CLAIM with 60-day date cluster window
RC-9010376540-2-DEATH_CLAIM-C0-20181014,9010376540,2,DEATH_CLAIM,DEATH_BENEFIT,FUNDED,20181014,20181014,3,0530,N,LOW,Prototype grouping by policy/benefit_seq/DEATH_CLAIM with 60-day date cluster window
RC-9010377918-1-SURRENDER_CLAIM-C0-20250331,9010377918,1,SURRENDER_CLAIM,TOTAL_CASH,FUNDED,20250331,20250331,2,0560,N,LOW,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010378710-1-DEATH_CLAIM-C0-20210210,9010378710,1,DEATH_CLAIM,DEATH_BENEFIT|DEATH_CLAIM_PAYOUT,SETTLED,20210210,20210210,2,0094|0530,N,LOW,Prototype grouping by policy/benefit_seq/DEATH_CLAIM with 60-day date cluster window
RC-9010378710-2-DEATH_CLAIM-C0-20210210,9010378710,2,DEATH_CLAIM,DEATH_BENEFIT,FUNDED,20210210,20210210,1,0530,N,LOW,Prototype grouping by policy/benefit_seq/DEATH_CLAIM with 60-day date cluster window
RC-9010378829-1-DEATH_CLAIM-C0-20210829,9010378829,1,DEATH_CLAIM,DEATH_BENEFIT|DEATH_CLAIM_PAYOUT,SETTLED,20210829,20210829,2,0094|0530,N,LOW,Prototype grouping by policy/benefit_seq/DEATH_CLAIM with 60-day date cluster window
RC-9010378829-2-DEATH_CLAIM-C0-20210829,9010378829,2,DEATH_CLAIM,DEATH_BENEFIT,FUNDED,20210829,20210829,1,0530,N,LOW,Prototype grouping by policy/benefit_seq/DEATH_CLAIM with 60-day date cluster window
RC-9010379405-1-SURRENDER_CLAIM-C0-20230526,9010379405,1,SURRENDER_CLAIM,TOTAL_CASH,FUNDED,20230526,20230526,2,0560,N,LOW,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010380049-1-SURRENDER_CLAIM-C0-20181113,9010380049,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20181113,20181113,1,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010380049-1-SURRENDER_CLAIM-C1-20191113,9010380049,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20191113,20191113,1,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010380049-1-SURRENDER_CLAIM-C2-20201113,9010380049,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20201113,20201208,5,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010380049-1-SURRENDER_CLAIM-C3-20211113,9010380049,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20211113,20211113,1,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010380049-1-SURRENDER_CLAIM-C4-20221113,9010380049,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET|LOAN_PRINCIPAL_OFFSET,INFERRED,20221113,20221113,4,0411|0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010380049-1-SURRENDER_CLAIM-C5-20231113,9010380049,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20231113,20231113,1,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010380049-1-SURRENDER_CLAIM-C6-20241113,9010380049,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20241113,20241205,3,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010380049-1-SURRENDER_CLAIM-C7-20251113,9010380049,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20251113,20251113,1,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010380627-1-SURRENDER_CLAIM-C0-20181125,9010380627,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20181125,20181125,1,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010380627-1-SURRENDER_CLAIM-C1-20190813,9010380627,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20190813,20190813,2,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010380627-1-SURRENDER_CLAIM-C10-20251125,9010380627,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20251125,20251125,1,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010380627-1-SURRENDER_CLAIM-C2-20191125,9010380627,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20191125,20191125,1,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010380627-1-SURRENDER_CLAIM-C3-20200825,9010380627,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET|LOAN_PRINCIPAL_OFFSET,INFERRED,20200825,20200825,3,0411|0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010380627-1-SURRENDER_CLAIM-C4-20201125,9010380627,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20201125,20201125,1,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010380627-1-SURRENDER_CLAIM-C5-20211125,9010380627,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20211125,20211125,1,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010380627-1-SURRENDER_CLAIM-C6-20230825,9010380627,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET|LOAN_PRINCIPAL_OFFSET,INFERRED,20230825,20230825,2,0411|0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010380627-1-SURRENDER_CLAIM-C7-20231125,9010380627,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20231125,20231125,1,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010380627-1-SURRENDER_CLAIM-C8-20240814,9010380627,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20240814,20240814,2,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010380627-1-SURRENDER_CLAIM-C9-20241120,9010380627,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20241120,20241125,3,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010381745-1-SURRENDER_CLAIM-C0-20180101,9010381745,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20180101,20180101,1,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010381745-1-SURRENDER_CLAIM-C1-20190101,9010381745,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20190101,20190101,1,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010381745-1-SURRENDER_CLAIM-C2-20200101,9010381745,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET|TOTAL_CASH,FUNDED,20200101,20200121,4,0412|0560,N,LOW,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010382426-1-SURRENDER_CLAIM-C0-20180112,9010382426,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20180112,20180112,1,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010382426-1-SURRENDER_CLAIM-C1-20180404,9010382426,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20180404,20180404,2,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010382426-1-SURRENDER_CLAIM-C10-20230112,9010382426,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20230112,20230112,1,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010382426-1-SURRENDER_CLAIM-C11-20230322,9010382426,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20230322,20230322,2,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010382426-1-SURRENDER_CLAIM-C12-20240112,9010382426,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20240112,20240229,3,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010382426-1-SURRENDER_CLAIM-C13-20250112,9010382426,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20250112,20250224,3,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010382426-1-SURRENDER_CLAIM-C14-20260112,9010382426,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20260112,20260227,3,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010382426-1-SURRENDER_CLAIM-C2-20190112,9010382426,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20190112,20190112,1,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010382426-1-SURRENDER_CLAIM-C3-20190405,9010382426,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20190405,20190405,2,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010382426-1-SURRENDER_CLAIM-C4-20200112,9010382426,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20200112,20200112,1,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010382426-1-SURRENDER_CLAIM-C5-20200412,9010382426,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20200412,20200412,2,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010382426-1-SURRENDER_CLAIM-C6-20210112,9010382426,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20210112,20210112,1,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010382426-1-SURRENDER_CLAIM-C7-20210322,9010382426,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20210322,20210322,2,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
RC-9010382426-1-SURRENDER_CLAIM-C8-20220112,9010382426,1,SURRENDER_CLAIM,LOAN_INTEREST_OFFSET,INFERRED,20220112,20220112,1,0412,N,MEDIUM,Prototype grouping by policy/benefit_seq/SURRENDER_CLAIM with 60-day date cluster window
