reconstructed_claim_id,policy_number,likely_payee_name_id,likely_payee_relationship,payee_resolution_method,fallback_strategy_used,address_available_flag,tax_id_available_flag,trust_indicator,business_indicator,confidence_level,resolution_notes
RC-9010367438-1-DEATH_CLAIM-C0-20211110,9010367438,711405,PE,PACTG_PAYEE_RELA_CODE,PO|B1|TR|PE|B2|IN,Y,Y,N,N,HIGH,death_claim_payment
RC-9010367438-1-SURRENDER_CLAIM-C0-20180628,9010367438,711405,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010367438-1-SURRENDER_CLAIM-C1-20190701,9010367438,711405,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010367438-1-SURRENDER_CLAIM-C2-20200701,9010367438,711405,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010367438-1-SURRENDER_CLAIM-C3-20210701,9010367438,711405,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010367438-1-SURRENDER_CLAIM-C4-20211110,9010367438,711405,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010367438-2-DEATH_CLAIM-C0-20211110,9010367438,711405,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,death_claim_payment
RC-9010367705-1-SURRENDER_CLAIM-C0-20250626,9010367705,587650,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010368703-1-DEATH_CLAIM-C0-20210114,9010368703,696436,PE,PACTG_PAYEE_RELA_CODE,PO|B1|TR|PE|B2|IN,Y,Y,N,N,HIGH,death_claim_payment
RC-9010368703-2-DEATH_CLAIM-C0-20210114,9010368703,696436,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,death_claim_payment
RC-9010371171-1-DEATH_CLAIM-C0-20240624,9010371171,696442,PE,PACTG_PAYEE_RELA_CODE,PO|B1|TR|PE|B2|IN,Y,Y,N,N,HIGH,death_claim_payment
RC-9010371171-2-DEATH_CLAIM-C0-20240624,9010371171,696442,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,death_claim_payment
RC-9010373918-1-SURRENDER_CLAIM-C0-20210412,9010373918,587669,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010374779-1-DEATH_CLAIM-C0-20200530,9010374779,696461,PE,PACTG_PAYEE_RELA_CODE,PO|B1|TR|PE|B2|IN,Y,Y,N,N,HIGH,death_claim_payment
RC-9010374779-2-DEATH_CLAIM-C0-20200530,9010374779,696461,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,death_claim_payment
RC-9010376522-1-SURRENDER_CLAIM-C0-20181006,9010376522,590378,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010376522-1-SURRENDER_CLAIM-C1-20191006,9010376522,590378,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010376522-1-SURRENDER_CLAIM-C2-20201006,9010376522,590378,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010376522-1-SURRENDER_CLAIM-C3-20211006,9010376522,590378,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010376529-1-SURRENDER_CLAIM-C0-20180914,9010376529,587684,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010376529-1-SURRENDER_CLAIM-C1-20190614,9010376529,587684,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010376540-1-DEATH_CLAIM-C0-20181014,9010376540,701011,PE,PACTG_PAYEE_RELA_CODE,PO|B1|TR|PE|B2|IN,Y,Y,N,Y,HIGH,death_claim_payment
RC-9010376540-1-DEATH_CLAIM-C1-20190220,9010376540,701011,PE,PRELSA_PRIORITY,PE,Y,Y,N,Y,MEDIUM,death_claim_payment
RC-9010376540-2-DEATH_CLAIM-C0-20181014,9010376540,701011,PE,PRELSA_PRIORITY,PE,Y,Y,N,Y,MEDIUM,death_claim_payment
RC-9010377918-1-SURRENDER_CLAIM-C0-20250331,9010377918,587690,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010378710-1-DEATH_CLAIM-C0-20210210,9010378710,696488,PE,PACTG_PAYEE_RELA_CODE,PO|B1|TR|PE|B2|IN,Y,N,N,Y,HIGH,death_claim_payment
RC-9010378710-2-DEATH_CLAIM-C0-20210210,9010378710,696488,PE,PRELSA_PRIORITY,PE,Y,N,N,Y,MEDIUM,death_claim_payment
RC-9010378829-1-DEATH_CLAIM-C0-20210829,9010378829,600763,PE,PACTG_PAYEE_RELA_CODE,PO|B1|TR|PE|B2|IN,Y,Y,N,N,HIGH,death_claim_payment
RC-9010378829-2-DEATH_CLAIM-C0-20210829,9010378829,600763,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,death_claim_payment
RC-9010379405-1-SURRENDER_CLAIM-C0-20230526,9010379405,590386,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010380049-1-SURRENDER_CLAIM-C0-20181113,9010380049,590392,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010380049-1-SURRENDER_CLAIM-C1-20191113,9010380049,590392,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010380049-1-SURRENDER_CLAIM-C2-20201113,9010380049,590392,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010380049-1-SURRENDER_CLAIM-C3-20211113,9010380049,590392,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010380049-1-SURRENDER_CLAIM-C4-20221113,9010380049,590392,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010380049-1-SURRENDER_CLAIM-C5-20231113,9010380049,590392,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010380049-1-SURRENDER_CLAIM-C6-20241113,9010380049,590392,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010380049-1-SURRENDER_CLAIM-C7-20251113,9010380049,590392,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010380627-1-SURRENDER_CLAIM-C0-20181125,9010380627,590398,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010380627-1-SURRENDER_CLAIM-C1-20190813,9010380627,590398,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010380627-1-SURRENDER_CLAIM-C10-20251125,9010380627,590398,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010380627-1-SURRENDER_CLAIM-C2-20191125,9010380627,590398,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010380627-1-SURRENDER_CLAIM-C3-20200825,9010380627,590398,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010380627-1-SURRENDER_CLAIM-C4-20201125,9010380627,590398,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010380627-1-SURRENDER_CLAIM-C5-20211125,9010380627,590398,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010380627-1-SURRENDER_CLAIM-C6-20230825,9010380627,590398,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010380627-1-SURRENDER_CLAIM-C7-20231125,9010380627,590398,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010380627-1-SURRENDER_CLAIM-C8-20240814,9010380627,590398,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010380627-1-SURRENDER_CLAIM-C9-20241120,9010380627,590398,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010381745-1-SURRENDER_CLAIM-C0-20180101,9010381745,587710,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010381745-1-SURRENDER_CLAIM-C1-20190101,9010381745,587710,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010381745-1-SURRENDER_CLAIM-C2-20200101,9010381745,587710,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010382426-1-SURRENDER_CLAIM-C0-20180112,9010382426,589752,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010382426-1-SURRENDER_CLAIM-C1-20180404,9010382426,589752,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010382426-1-SURRENDER_CLAIM-C10-20230112,9010382426,589752,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010382426-1-SURRENDER_CLAIM-C11-20230322,9010382426,589752,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010382426-1-SURRENDER_CLAIM-C12-20240112,9010382426,589752,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010382426-1-SURRENDER_CLAIM-C13-20250112,9010382426,589752,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010382426-1-SURRENDER_CLAIM-C14-20260112,9010382426,589752,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010382426-1-SURRENDER_CLAIM-C2-20190112,9010382426,589752,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010382426-1-SURRENDER_CLAIM-C3-20190405,9010382426,589752,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010382426-1-SURRENDER_CLAIM-C4-20200112,9010382426,589752,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010382426-1-SURRENDER_CLAIM-C5-20200412,9010382426,589752,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010382426-1-SURRENDER_CLAIM-C6-20210112,9010382426,589752,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010382426-1-SURRENDER_CLAIM-C7-20210322,9010382426,589752,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010382426-1-SURRENDER_CLAIM-C8-20220112,9010382426,589752,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010382426-1-SURRENDER_CLAIM-C9-20220412,9010382426,589752,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010382520-1-DEATH_CLAIM-C0-20200820,9010382520,590407,PE,PACTG_PAYEE_RELA_CODE,PO|B1|TR|PE|B2|IN,Y,Y,N,N,HIGH,death_claim_payment
RC-9010382520-3-DEATH_CLAIM-C0-20200820,9010382520,590407,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,death_claim_payment
RC-9010382931-1-DEATH_CLAIM-C0-20220210,9010382931,590409,PE,PACTG_PAYEE_RELA_CODE,PO|B1|TR|PE|B2|IN,Y,Y,N,N,HIGH,death_claim_payment
RC-9010382931-1-SURRENDER_CLAIM-C0-20180115,9010382931,590409,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010382931-1-SURRENDER_CLAIM-C1-20190117,9010382931,590409,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010382931-1-SURRENDER_CLAIM-C2-20200117,9010382931,590409,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010382931-1-SURRENDER_CLAIM-C3-20210114,9010382931,590409,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010382931-1-SURRENDER_CLAIM-C4-20220117,9010382931,590409,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010382931-2-DEATH_CLAIM-C0-20220210,9010382931,590409,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,death_claim_payment
RC-9010385491-1-DEATH_CLAIM-C0-20190501,9010385491,696569,PE,PACTG_PAYEE_RELA_CODE,PO|B1|TR|PE|B2|IN,Y,Y,N,N,HIGH,death_claim_payment
RC-9010385491-1-DEATH_CLAIM-C1-20210707,9010385491,696569,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,death_claim_payment
RC-9010385491-2-DEATH_CLAIM-C0-20190501,9010385491,696569,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,death_claim_payment
RC-9010385636-1-SURRENDER_CLAIM-C0-20180209,9010385636,590349,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010385636-1-SURRENDER_CLAIM-C1-20180507,9010385636,590349,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010389651-1-DEATH_CLAIM-C0-20240727,9010389651,696590,PE,PACTG_PAYEE_RELA_CODE,PO|B1|TR|PE|B2|IN,Y,Y,N,N,HIGH,death_claim_payment
RC-9010389651-2-DEATH_CLAIM-C0-20240727,9010389651,696590,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,death_claim_payment
RC-9010389802-1-SURRENDER_CLAIM-C0-20201026,9010389802,590416,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010391004-1-SURRENDER_CLAIM-C0-20180501,9010391004,587766,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010391004-1-SURRENDER_CLAIM-C1-20190501,9010391004,587766,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010391004-1-SURRENDER_CLAIM-C2-20200501,9010391004,587766,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010391004-1-SURRENDER_CLAIM-C3-20210501,9010391004,587766,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010391004-1-SURRENDER_CLAIM-C4-20220501,9010391004,587766,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010391004-1-SURRENDER_CLAIM-C5-20230501,9010391004,587766,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010391004-1-SURRENDER_CLAIM-C6-20240501,9010391004,587766,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010391004-1-SURRENDER_CLAIM-C7-20250501,9010391004,587766,PO,PRELSA_PRIORITY,PE|PO,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010391228-1-SURRENDER_CLAIM-C0-20180421,9010391228,590418,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010391228-1-SURRENDER_CLAIM-C1-20181021,9010391228,590418,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010391228-1-SURRENDER_CLAIM-C10-20230421,9010391228,590418,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010391228-1-SURRENDER_CLAIM-C11-20231021,9010391228,590418,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010391228-1-SURRENDER_CLAIM-C12-20240319,9010391228,590418,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010391228-1-SURRENDER_CLAIM-C2-20190421,9010391228,590418,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010391228-1-SURRENDER_CLAIM-C3-20191021,9010391228,590418,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010391228-1-SURRENDER_CLAIM-C4-20200421,9010391228,590418,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010391228-1-SURRENDER_CLAIM-C5-20201021,9010391228,590418,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010391228-1-SURRENDER_CLAIM-C6-20210421,9010391228,590418,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010391228-1-SURRENDER_CLAIM-C7-20211021,9010391228,590418,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010391228-1-SURRENDER_CLAIM-C8-20220421,9010391228,590418,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010391228-1-SURRENDER_CLAIM-C9-20221021,9010391228,590418,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010391359-1-DEATH_CLAIM-C0-20211119,9010391359,627639,PE,PACTG_PAYEE_RELA_CODE,PO|B1|TR|PE|B2|IN,Y,Y,N,Y,HIGH,death_claim_payment
RC-9010391359-1-SURRENDER_CLAIM-C0-20180426,9010391359,627639,PE,PRELSA_PRIORITY,PE,Y,Y,N,Y,MEDIUM,surrender_payment
RC-9010391359-1-SURRENDER_CLAIM-C1-20190426,9010391359,627639,PE,PRELSA_PRIORITY,PE,Y,Y,N,Y,MEDIUM,surrender_payment
RC-9010391359-1-SURRENDER_CLAIM-C2-20200426,9010391359,627639,PE,PRELSA_PRIORITY,PE,Y,Y,N,Y,MEDIUM,surrender_payment
RC-9010391359-1-SURRENDER_CLAIM-C3-20210426,9010391359,627639,PE,PRELSA_PRIORITY,PE,Y,Y,N,Y,MEDIUM,surrender_payment
RC-9010391359-1-SURRENDER_CLAIM-C4-20211119,9010391359,627639,PE,PRELSA_PRIORITY,PE,Y,Y,N,Y,MEDIUM,surrender_payment
RC-9010391359-2-DEATH_CLAIM-C0-20211119,9010391359,627639,PE,PRELSA_PRIORITY,PE,Y,Y,N,Y,MEDIUM,death_claim_payment
RC-9010391359-3-DEATH_CLAIM-C0-20211119,9010391359,627639,PE,PRELSA_PRIORITY,PE,Y,Y,N,Y,MEDIUM,death_claim_payment
RC-9010391422-1-SURRENDER_CLAIM-C0-20180601,9010391422,587776,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010391422-1-SURRENDER_CLAIM-C1-20190601,9010391422,587776,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010391422-1-SURRENDER_CLAIM-C2-20191120,9010391422,587776,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010392138-1-SURRENDER_CLAIM-C0-20180601,9010392138,587796,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010392138-1-SURRENDER_CLAIM-C1-20190601,9010392138,587796,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010392138-1-SURRENDER_CLAIM-C2-20200529,9010392138,587796,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010392138-1-SURRENDER_CLAIM-C3-20210601,9010392138,587796,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010392138-1-SURRENDER_CLAIM-C4-20220601,9010392138,587796,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010392138-1-SURRENDER_CLAIM-C5-20230601,9010392138,587796,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010392138-1-SURRENDER_CLAIM-C6-20231206,9010392138,587796,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,surrender_payment
RC-9010392493-1-DISBURSEMENT_CLAIM-C0-20200210,9010392493,587808,PE,PACTG_PAYEE_RELA_CODE,PO|B1|IN|PE,Y,Y,N,Y,HIGH,missing_payee_relationship
RC-9010392493-1-SURRENDER_CLAIM-C0-20200210,9010392493,587808,PE,PRELSA_PRIORITY,PE,Y,Y,N,Y,MEDIUM,surrender_payment
RC-9010392763-1-DEATH_CLAIM-C0-20220408,9010392763,711629,PE,PACTG_PAYEE_RELA_CODE,PO|B1|TR|PE|B2|IN,Y,Y,N,N,HIGH,death_claim_payment
RC-9010392763-2-DEATH_CLAIM-C0-20220408,9010392763,711629,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,death_claim_payment
RC-9010393158-1-DEATH_CLAIM-C0-20210207,9010393158,587839,PE,PACTG_PAYEE_RELA_CODE,PO|B1|TR|PE|B2|IN,Y,Y,N,N,HIGH,death_claim_payment
RC-9010393158-2-DEATH_CLAIM-C0-20210207,9010393158,587839,PE,PRELSA_PRIORITY,PE,Y,Y,N,N,MEDIUM,death_claim_payment
RC-9010393181-1-DISBURSEMENT_CLAIM-C0-20190702,9010393181,237424,PE,PACTG_PAYEE_RELA_CODE,PO|B1|IN|PE,Y,Y,N,N,HIGH,missing_payee_relationship
