old_value,new_value,mapping_class,mapping_subtype,is_policy_number,quarantine_candidate,governance_action
9018237G,018237GC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018252,018252C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018253,018253C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018253A,018253AC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018253B,018253BC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018258A,018258AC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018258B,018258BC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018258C,018258CC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018270,018270C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018284A,018284AC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018284C,018284CC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018284D,018284DC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018306F,018306FC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018313A,018313AC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018313B,018313BC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018313D,018313DC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018330A,018330AC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018330B,018330BC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018330C,018330CC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018355,018355C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018386,018386C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018465C,018465CC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018465D,018465DC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018491,018491C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018492,018492C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018495A,018495AC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018495B,018495BC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018495C,018495CC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018499A,018499AC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018499B,018499BC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018499C,018499CC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018499D,018499DC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018509,018509C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018510,018510C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018528,018528C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018529,018529C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018586,018586C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018645A,018645AC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018645B,018645BC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018645C,018645CC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018646,018646C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018712,018712C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018712F,018712FC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018719,018719C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018721,018721C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018737A,018737AC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018737B,018737BC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018845B,018845BC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018845C,018845CC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018900,018900C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018907,018907C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018909,018909C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018910,018910C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9018912,018912C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
9019002,019002C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901FG8033B,01FG8033BC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901FG8033C,01FG8033CC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901FG8217A,01FG8217AC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901FG8217B,01FG8217BC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901FG8217C,01FG8217CC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901FG8217D,01FG8217DC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901FG8302B,01FG8302BC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901FG8314B,01FG8314BC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901FG8314D,01FG8314DC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901FG8314E,01FG8314EC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901FG8314F,01FG8314FC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901FG8563,01FG8563C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901FG8801,01FG8801C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML4012A,01ML4012AC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML4054,01ML4054C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML4096,01ML4096C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML4107,01ML4107C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML4134,01ML4134C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML4140B,01ML4140BC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML4140C,01ML4140CC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML4150,01ML4150C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML8007,01ML8007C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML8123,01ML8123C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML8143,01ML8143C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML8151,01ML8151C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML8171,01ML8171C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML8195,01ML8195C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML8209,01ML8209C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML8211,01ML8211C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML8214,01ML8214C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML8225,01ML8225C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML8246,01ML8246C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML8250,01ML8250C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML8251,01ML8251C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML8267,01ML8267C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML8303,01ML8303C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML8307,01ML8307C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML8314B,01ML8314BC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML8367,01ML8367C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML8378A,01ML8378AC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML8378B,01ML8378BC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML8378C,01ML8378CC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML8378D,01ML8378DC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML8378E,01ML8378EC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML8438,01ML8438C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML8450B,01ML8450BC,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML8457,01ML8457C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML8464,01ML8464C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML8487,01ML8487C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML8493,01ML8493C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML8501,01ML8501C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML8515,01ML8515C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML8522,01ML8522C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML8535,01ML8535C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML8556,01ML8556C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML8557,01ML8557C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML8565,01ML8565C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML8570,01ML8570C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML8584,01ML8584C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML8597,01ML8597C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML8678,01ML8678C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML8772,01ML8772C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML8791,01ML8791C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
901ML8804,01ML8804C,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
658 CEN I,1658C1,PRODUCT_OR_ENTITY,COVERAGE_ID_TO_PLAN,N,Y,MIGRATE_TO_PRODUCT_CATALOG
1578 FTR,778FTR,PRODUCT_OR_ENTITY,COVERAGE_ID_TO_PLAN,N,Y,MIGRATE_TO_PRODUCT_CATALOG
1576 658,976658,PRODUCT_OR_ENTITY,COVERAGE_ID_TO_PLAN,N,Y,MIGRATE_TO_PRODUCT_CATALOG
1580 JPO,980JPO,PRODUCT_OR_ENTITY,COVERAGE_ID_TO_PLAN,N,Y,MIGRATE_TO_PRODUCT_CATALOG
1577 ADB,977ADB,PRODUCT_OR_ENTITY,COVERAGE_ID_TO_PLAN,N,Y,MIGRATE_TO_PRODUCT_CATALOG
1578FTR WP,9FTRWP,PRODUCT_OR_ENTITY,COVERAGE_ID_TO_PLAN,N,Y,MIGRATE_TO_PRODUCT_CATALOG
1578 CTR,578CTR,PRODUCT_OR_ENTITY,COVERAGE_ID_TO_PLAN,N,Y,MIGRATE_TO_PRODUCT_CATALOG
1578CTR WP,9CTRWP,PRODUCT_OR_ENTITY,COVERAGE_ID_TO_PLAN,N,Y,MIGRATE_TO_PRODUCT_CATALOG
8042 STR,542STR,PRODUCT_OR_ENTITY,COVERAGE_ID_TO_PLAN,N,Y,MIGRATE_TO_PRODUCT_CATALOG
8042STR WP,9STRWP,PRODUCT_OR_ENTITY,COVERAGE_ID_TO_PLAN,N,Y,MIGRATE_TO_PRODUCT_CATALOG
DISCHO80,9DIS80,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
DISCHO90,9DIS90,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
658 CEN SD,1658CS,PRODUCT_OR_ENTITY,COVERAGE_ID_TO_PLAN,N,Y,MIGRATE_TO_PRODUCT_CATALOG
1578 FTR,778FTR,PRODUCT_OR_ENTITY,COVERAGE_ID_TO_PLAN,N,Y,MIGRATE_TO_PRODUCT_CATALOG
659 CEN II,1659C2,PRODUCT_OR_ENTITY,COVERAGE_ID_TO_PLAN,N,Y,MIGRATE_TO_PRODUCT_CATALOG
DISCHO90,9DIS90,PRODUCT_OR_ENTITY,ENTITY_OR_LEGACY_CODE,N,Y,MIGRATE_TO_PRODUCT_CATALOG
1578 FTR,778FTR,PRODUCT_OR_ENTITY,COVERAGE_ID_TO_PLAN,N,Y,MIGRATE_TO_PRODUCT_CATALOG
1576 659,976659,PRODUCT_OR_ENTITY,COVERAGE_ID_TO_PLAN,N,Y,MIGRATE_TO_PRODUCT_CATALOG
1577 ADB,977ADB,PRODUCT_OR_ENTITY,COVERAGE_ID_TO_PLAN,N,Y,MIGRATE_TO_PRODUCT_CATALOG
1580 JPO,980JPO,PRODUCT_OR_ENTITY,COVERAGE_ID_TO_PLAN,N,Y,MIGRATE_TO_PRODUCT_CATALOG
1578FTR WP,9FTRWP,PRODUCT_OR_ENTITY,COVERAGE_ID_TO_PLAN,N,Y,MIGRATE_TO_PRODUCT_CATALOG
8043 CTR,543CTR,PRODUCT_OR_ENTITY,COVERAGE_ID_TO_PLAN,N,Y,MIGRATE_TO_PRODUCT_CATALOG
