mpolicy,mseq,effective_date,date_added,record_sequence,claimnum,payee_source
010717034C,13,20210511,20210511,0,PS-010717034-013,OWNR
010717034C,14,20220511,20220511,0,PS-010717034-014,OWNR
010717034C,15,20230511,20230511,0,PS-010717034-015,OWNR
010717034C,16,20240511,20240513,0,PS-010717034-016,OWNR
010717034C,17,20250511,20250512,0,PS-010717034-017,OWNR
010717034C,18,20260511,20260511,0,PS-010717034-018,OWNR
010717447C,5,20230523,20230321,0,PS-010717447-005,OWNR
010717447C,6,20240523,20240523,0,PS-010717447-006,OWNR
010717447C,7,20250523,20250523,0,PS-010717447-007,OWNR
010717447C,8,20260523,20260526,0,PS-010717447-008,OWNR
010718276C,9,20180622,20180622,0,PS-010718276-009,OWNR
010718276C,10,20190622,20190624,0,PS-010718276-010,OWNR
010718276C,11,20200622,20200622,0,PS-010718276-011,OWNR
010718276C,12,20210622,20210622,0,PS-010718276-012,OWNR
010718276C,13,20220622,20220622,0,PS-010718276-013,OWNR
010718276C,14,20230622,20230622,0,PS-010718276-014,OWNR
010718276C,15,20240622,20240624,0,PS-010718276-015,OWNR
010718276C,16,20250622,20250623,0,PS-010718276-016,OWNR
010718277C,9,20180604,20180604,0,PS-010718277-009,OWNR
010718277C,10,20190604,20190604,0,PS-010718277-010,OWNR
010718277C,11,20200604,20200604,0,PS-010718277-011,OWNR
010718277C,12,20210604,20210604,0,PS-010718277-012,OWNR
010718277C,13,20220604,20220606,0,PS-010718277-013,OWNR
010718277C,14,20230604,20230605,0,PS-010718277-014,OWNR
010718277C,15,20240604,20240604,0,PS-010718277-015,OWNR
010718277C,16,20250604,20250604,0,PS-010718277-016,OWNR
010718495C,4,20180602,20180604,0,PS-010718495-004,OWNR
010718495C,5,20190602,20190603,0,PS-010718495-005,OWNR
010718495C,6,20200602,20200602,0,PS-010718495-006,OWNR
010719553C,9,20180611,20180611,0,PS-010719553-009,OWNR
010719553C,10,20190611,20190611,0,PS-010719553-010,OWNR
010719553C,11,20200611,20200611,0,PS-010719553-011,OWNR
010719553C,12,20210611,20210611,0,PS-010719553-012,OWNR
010719553C,13,20220611,20220613,0,PS-010719553-013,OWNR
010719553C,14,20230611,20230612,0,PS-010719553-014,OWNR
010719553C,15,20240611,20240611,0,PS-010719553-015,OWNR
010719553C,16,20250611,20250611,0,PS-010719553-016,OWNR
010719815C,9,20180803,20180803,0,PS-010719815-009,OWNR
010719815C,10,20190803,20190805,0,PS-010719815-010,OWNR
010719815C,11,20200803,20200803,0,PS-010719815-011,OWNR
010719815C,12,20210803,20210803,0,PS-010719815-012,OWNR
010719815C,13,20220803,20220803,0,PS-010719815-013,OWNR
010719815C,14,20230803,20230803,0,PS-010719815-014,OWNR
010719815C,15,20240803,20240805,0,PS-010719815-015,OWNR
010719815C,16,20250803,20250804,0,PS-010719815-016,OWNR
010720759C,9,20180618,20180618,0,PS-010720759-009,OWNR
010720759C,10,20190618,20190618,0,PS-010720759-010,OWNR
010720759C,11,20200618,20200618,0,PS-010720759-011,OWNR
010720759C,12,20210618,20210618,0,PS-010720759-012,OWNR
010720759C,13,20220618,20220620,0,PS-010720759-013,OWNR
010720759C,14,20230618,20230619,0,PS-010720759-014,OWNR
010720759C,15,20240618,20240618,0,PS-010720759-015,OWNR
010720759C,16,20250618,20250618,0,PS-010720759-016,OWNR
010722734C,9,20180710,20180710,0,PS-010722734-009,OWNR
010722734C,10,20190710,20190710,0,PS-010722734-010,OWNR
010722734C,11,20200710,20200710,0,PS-010722734-011,OWNR
010722734C,12,20210710,20210712,0,PS-010722734-012,OWNR
010722734C,13,20220710,20220711,0,PS-010722734-013,OWNR
010722734C,14,20230710,20230710,0,PS-010722734-014,OWNR
010722734C,15,20240710,20240710,0,PS-010722734-015,OWNR
010722734C,16,20250710,20250710,0,PS-010722734-016,OWNR
010723386C,9,20180718,20180713,0,PS-010723386-009,OWNR
010723386C,10,20190718,20190718,0,PS-010723386-010,OWNR
010723386C,11,20200718,20200716,0,PS-010723386-011,OWNR
010723386C,12,20210718,20210719,0,PS-010723386-012,OWNR
010723386C,13,20220718,20220718,0,PS-010723386-013,OWNR
010723386C,14,20230718,20230720,0,PS-010723386-014,OWNR
010723386C,15,20240718,20240718,0,PS-010723386-015,OWNR
010723386C,16,20250718,20250718,0,PS-010723386-016,OWNR
010723387C,9,20180718,20180718,0,PS-010723387-009,OWNR
010723387C,10,20190718,20190718,0,PS-010723387-010,OWNR
010723387C,11,20200718,20200720,0,PS-010723387-011,OWNR
010723387C,12,20210718,20210719,0,PS-010723387-012,OWNR
010723387C,13,20220718,20220718,0,PS-010723387-013,OWNR
010723387C,14,20230718,20230718,0,PS-010723387-014,OWNR
010723387C,15,20240718,20240718,0,PS-010723387-015,OWNR
010723387C,16,20250718,20250718,0,PS-010723387-016,OWNR
010723388C,6,20180718,20180713,0,PS-010723388-006,OWNR
010723388C,7,20190718,20190718,0,PS-010723388-007,OWNR
010723388C,8,20200718,20200716,0,PS-010723388-008,OWNR
010723388C,9,20210718,20210719,0,PS-010723388-009,OWNR
010723388C,10,20220718,20220718,0,PS-010723388-010,OWNR
010723523C,9,20180726,20180726,0,PS-010723523-009,OWNR
010723523C,10,20190726,20190726,0,PS-010723523-010,OWNR
010723523C,11,20200726,20200727,0,PS-010723523-011,OWNR
010723523C,12,20210726,20210726,0,PS-010723523-012,OWNR
010723523C,13,20220726,20220726,0,PS-010723523-013,OWNR
010723523C,14,20230726,20230726,0,PS-010723523-014,OWNR
010723523C,15,20240726,20240726,0,PS-010723523-015,OWNR
010723523C,16,20250726,20250728,0,PS-010723523-016,OWNR
010723524C,9,20180718,20180718,0,PS-010723524-009,OWNR
010723524C,10,20190718,20190718,0,PS-010723524-010,OWNR
010723524C,11,20200718,20200720,0,PS-010723524-011,OWNR
010723524C,12,20210718,20210719,0,PS-010723524-012,OWNR
010723524C,13,20220718,20220718,0,PS-010723524-013,OWNR
010723524C,14,20230718,20230718,0,PS-010723524-014,OWNR
010723524C,15,20240718,20240718,0,PS-010723524-015,OWNR
010723524C,16,20250718,20250718,0,PS-010723524-016,OWNR
010724403C,5,20180801,20180801,0,PS-010724403-005,OWNR
010724403C,6,20190801,20190801,0,PS-010724403-006,OWNR
010724403C,7,20200801,20200803,0,PS-010724403-007,OWNR
010724403C,8,20210801,20210802,0,PS-010724403-008,OWNR
010724510C,9,20180801,20180801,0,PS-010724510-009,OWNR
010724510C,10,20190801,20190801,0,PS-010724510-010,OWNR
010724510C,11,20200801,20200803,0,PS-010724510-011,OWNR
010724510C,12,20210801,20210802,0,PS-010724510-012,OWNR
010724510C,13,20220801,20220801,0,PS-010724510-013,OWNR
010724510C,14,20230801,20230801,0,PS-010724510-014,OWNR
010724510C,15,20240801,20240801,0,PS-010724510-015,OWNR
010724510C,16,20250801,20250801,0,PS-010724510-016,OWNR
010726922C,9,20180820,20180820,0,PS-010726922-009,OWNR
010726922C,10,20190820,20190820,0,PS-010726922-010,OWNR
010726922C,11,20200820,20200820,0,PS-010726922-011,OWNR
010726922C,12,20210820,20210820,0,PS-010726922-012,OWNR
010726922C,13,20220820,20220822,0,PS-010726922-013,OWNR
010726922C,14,20230820,20230821,0,PS-010726922-014,OWNR
010726922C,15,20240820,20240820,0,PS-010726922-015,OWNR
010726922C,16,20250820,20250820,0,PS-010726922-016,OWNR
010728696C,7,20180902,20180904,0,PS-010728696-007,OWNR
010728696C,8,20190902,20190903,0,PS-010728696-008,OWNR
010728696C,9,20200902,20200902,0,PS-010728696-009,OWNR
010728696C,10,20210902,20210902,0,PS-010728696-010,OWNR
010728696C,11,20220902,20220902,0,PS-010728696-011,OWNR
010728696C,12,20230902,20230905,0,PS-010728696-012,OWNR
010729500C,9,20180913,20180913,0,PS-010729500-009,OWNR
010729500C,10,20190913,20190913,0,PS-010729500-010,OWNR
010729500C,11,20200913,20200914,0,PS-010729500-011,OWNR
010729500C,12,20210913,20210913,0,PS-010729500-012,OWNR
010729500C,13,20220913,20220913,0,PS-010729500-013,OWNR
010729500C,14,20230913,20230913,0,PS-010729500-014,OWNR
010729500C,15,20240913,20240913,0,PS-010729500-015,OWNR
010729500C,16,20250913,20250915,0,PS-010729500-016,OWNR
010729999C,9,20181009,20181009,0,PS-010729999-009,OWNR
010729999C,10,20191009,20191009,0,PS-010729999-010,OWNR
010729999C,11,20201009,20201009,0,PS-010729999-011,OWNR
010729999C,12,20211009,20211011,0,PS-010729999-012,OWNR
010729999C,13,20221009,20221010,0,PS-010729999-013,OWNR
010729999C,14,20231009,20231009,0,PS-010729999-014,OWNR
010729999C,15,20241009,20241009,0,PS-010729999-015,OWNR
010729999C,16,20251009,20251009,0,PS-010729999-016,OWNR
010731608C,5,20181008,20181008,0,PS-010731608-005,OWNR
010731608C,6,20191008,20191008,0,PS-010731608-006,OWNR
010731608C,7,20201008,20201008,0,PS-010731608-007,OWNR
010731608C,8,20211008,20211014,0,PS-010731608-008,OWNR
010732270C,5,20221010,20221006,0,PS-010732270-005,OWNR
010732270C,6,20231010,20231010,0,PS-010732270-006,OWNR
010732270C,7,20241010,20241010,0,PS-010732270-007,OWNR
010732270C,8,20251010,20251010,0,PS-010732270-008,OWNR
010732276C,5,20221010,20221013,0,PS-010732276-005,OWNR
010732276C,6,20231010,20231010,0,PS-010732276-006,OWNR
010732276C,7,20241010,20241010,0,PS-010732276-007,OWNR
010732276C,8,20251010,20251010,0,PS-010732276-008,OWNR
010732278C,7,20181010,20181010,0,PS-010732278-007,OWNR
010732278C,8,20191010,20191010,0,PS-010732278-008,OWNR
010732278C,9,20201010,20201012,0,PS-010732278-009,OWNR
010732278C,10,20211010,20211011,0,PS-010732278-010,OWNR
010732278C,11,20221010,20221010,0,PS-010732278-011,OWNR
010732278C,12,20231010,20231010,0,PS-010732278-012,OWNR
010732280C,9,20181010,20181010,0,PS-010732280-009,OWNR
010732280C,10,20191010,20191010,0,PS-010732280-010,OWNR
010732280C,11,20201010,20201012,0,PS-010732280-011,OWNR
010732280C,12,20211010,20211011,0,PS-010732280-012,OWNR
010732280C,13,20221010,20221010,0,PS-010732280-013,OWNR
010732280C,14,20231010,20231010,0,PS-010732280-014,OWNR
010732280C,15,20241010,20241010,0,PS-010732280-015,OWNR
010732280C,16,20251010,20251010,0,PS-010732280-016,OWNR
010736736C,7,20201209,20201209,0,PS-010736736-007,OWNR
010736736C,8,20211209,20211209,0,PS-010736736-008,OWNR
010736736C,9,20221209,20221209,0,PS-010736736-009,OWNR
010736736C,10,20231209,20231211,0,PS-010736736-010,OWNR
010736736C,11,20241209,20241209,0,PS-010736736-011,OWNR
010736736C,12,20251209,20251209,0,PS-010736736-012,OWNR
010737378C,9,20181205,20181205,0,PS-010737378-009,OWNR
010737378C,10,20191205,20191205,0,PS-010737378-010,OWNR
010737378C,11,20201205,20201207,0,PS-010737378-011,OWNR
010737378C,12,20211205,20211206,0,PS-010737378-012,OWNR
010737378C,13,20221205,20221205,0,PS-010737378-013,OWNR
010737378C,14,20231205,20231205,0,PS-010737378-014,OWNR
010737378C,15,20241205,20241205,0,PS-010737378-015,OWNR
010737378C,16,20251205,20251205,0,PS-010737378-016,OWNR
010738207C,9,20181228,20181228,0,PS-010738207-009,OWNR
010738207C,10,20191228,20191230,0,PS-010738207-010,OWNR
010738207C,11,20201228,20201228,0,PS-010738207-011,OWNR
010738207C,12,20211228,20211228,0,PS-010738207-012,OWNR
010738207C,13,20221228,20221228,0,PS-010738207-013,OWNR
010738207C,14,20231228,20231228,0,PS-010738207-014,OWNR
010738207C,15,20241228,20241230,0,PS-010738207-015,OWNR
010738207C,16,20251228,20251229,0,PS-010738207-016,OWNR
010738672C,10,20180101,20180102,0,PS-010738672-010,OWNR
010738672C,11,20190101,20190102,0,PS-010738672-011,OWNR
010738672C,12,20200101,20200102,0,PS-010738672-012,OWNR
010738672C,13,20210101,20210104,0,PS-010738672-013,OWNR
010738672C,14,20220101,20220103,0,PS-010738672-014,OWNR
010738672C,15,20230101,20230103,0,PS-010738672-015,OWNR
010738672C,16,20240101,20240102,0,PS-010738672-016,OWNR
010738672C,17,20250101,20250102,0,PS-010738672-017,OWNR
010738672C,18,20260101,20260102,0,PS-010738672-018,OWNR
010740836C,3,20180128,20180129,0,PS-010740836-003,OWNR
010740836C,4,20190128,20190128,0,PS-010740836-004,OWNR
010741302C,7,20210126,20210617,0,PS-010741302-007,OWNR
010741302C,8,20220126,20220126,0,PS-010741302-008,OWNR
010741302C,9,20230126,20230126,0,PS-010741302-009,OWNR
010741302C,10,20240126,20240126,0,PS-010741302-010,OWNR
010741302C,11,20250126,20250127,0,PS-010741302-011,OWNR
010741302C,12,20260126,20260126,0,PS-010741302-012,OWNR
010741334C,7,20210126,20210617,0,PS-010741334-007,OWNR
010741334C,8,20220126,20220126,0,PS-010741334-008,OWNR
010741334C,9,20230126,20230126,0,PS-010741334-009,OWNR
010741334C,10,20240126,20240126,0,PS-010741334-010,OWNR
010741334C,11,20250126,20250127,0,PS-010741334-011,OWNR
010741334C,12,20260126,20260126,0,PS-010741334-012,OWNR
010742814C,2,20180211,20180212,0,PS-010742814-002,OWNR
010743074C,2,20180220,20180220,0,PS-010743074-002,OWNR
010743638C,9,20180227,20180227,0,PS-010743638-009,OWNR
010743638C,10,20190227,20190227,0,PS-010743638-010,OWNR
010743638C,11,20200227,20200227,0,PS-010743638-011,OWNR
010743638C,12,20210227,20210226,0,PS-010743638-012,OWNR
010743638C,13,20220227,20220228,0,PS-010743638-013,OWNR
010743638C,14,20230227,20230227,0,PS-010743638-014,OWNR
010743638C,15,20240227,20240227,0,PS-010743638-015,OWNR
010743638C,16,20250227,20250227,0,PS-010743638-016,OWNR
010744412C,6,20180306,20180109,0,PS-010744412-006,OWNR
010744412C,7,20190306,20190306,0,PS-010744412-007,OWNR
010744412C,8,20200306,20200306,0,PS-010744412-008,OWNR
010744412C,9,20210306,20210308,0,PS-010744412-009,OWNR
010744412C,10,20220306,20220307,0,PS-010744412-010,OWNR
010745456C,10,20180315,20180315,0,PS-010745456-010,OWNR
010745456C,11,20190315,20190315,0,PS-010745456-011,OWNR
010745456C,12,20200315,20200316,0,PS-010745456-012,OWNR
010745456C,13,20210315,20210315,0,PS-010745456-013,OWNR
010745456C,14,20220315,20220315,0,PS-010745456-014,OWNR
010745456C,15,20230315,20230315,0,PS-010745456-015,OWNR
010745456C,16,20240315,20240315,0,PS-010745456-016,OWNR
010745456C,17,20250315,20250317,0,PS-010745456-017,OWNR
010745456C,18,20260315,20260316,0,PS-010745456-018,OWNR
010745750C,10,20180322,20180322,0,PS-010745750-010,OWNR
010745750C,11,20190322,20190322,0,PS-010745750-011,OWNR
010745750C,12,20200322,20200323,0,PS-010745750-012,OWNR
010745750C,13,20210322,20210322,0,PS-010745750-013,OWNR
010745750C,14,20220322,20220322,0,PS-010745750-014,OWNR
010745750C,15,20230322,20230322,0,PS-010745750-015,OWNR
010745750C,16,20240322,20240322,0,PS-010745750-016,OWNR
010745750C,17,20250322,20250324,0,PS-010745750-017,OWNR
010745750C,18,20260322,20260323,0,PS-010745750-018,OWNR
010745751C,10,20180322,20180322,0,PS-010745751-010,OWNR
010745751C,11,20190322,20190322,0,PS-010745751-011,OWNR
010745751C,12,20200322,20200323,0,PS-010745751-012,OWNR
010745751C,13,20210322,20210322,0,PS-010745751-013,OWNR
010745751C,14,20220322,20220322,0,PS-010745751-014,OWNR
010745751C,15,20230322,20230322,0,PS-010745751-015,OWNR
010745751C,16,20240322,20240322,0,PS-010745751-016,OWNR
010745751C,17,20250322,20250324,0,PS-010745751-017,OWNR
010745751C,18,20260322,20260323,0,PS-010745751-018,OWNR
010746005C,6,20180325,20180326,0,PS-010746005-006,OWNR
010746005C,7,20190325,20190325,0,PS-010746005-007,OWNR
010746005C,8,20200325,20200325,0,PS-010746005-008,OWNR
010746005C,9,20210325,20210325,0,PS-010746005-009,OWNR
010746005C,10,20220325,20220325,0,PS-010746005-010,OWNR
010746424C,4,20180328,20180328,0,PS-010746424-004,OWNR
010746424C,5,20190328,20190328,0,PS-010746424-005,OWNR
010746424C,6,20200328,20200330,0,PS-010746424-006,OWNR
010746846C,8,20200328,20200528,0,PS-010746846-008,OWNR
010746846C,9,20210328,20210329,0,PS-010746846-009,OWNR
010746846C,10,20220328,20220328,0,PS-010746846-010,OWNR
010746846C,11,20230328,20230328,0,PS-010746846-011,OWNR
010746846C,12,20240328,20240328,0,PS-010746846-012,OWNR
010746846C,13,20250328,20250328,0,PS-010746846-013,OWNR
010746846C,14,20260328,20260330,0,PS-010746846-014,OWNR
010747186C,6,20180407,20180409,0,PS-010747186-006,OWNR
010747186C,7,20190407,20190408,0,PS-010747186-007,OWNR
010747186C,8,20200407,20200407,0,PS-010747186-008,OWNR
010747186C,9,20210407,20210407,0,PS-010747186-009,OWNR
010747186C,10,20220407,20220407,0,PS-010747186-010,OWNR
010747241C,2,20180408,20180409,0,PS-010747241-002,OWNR
010747636C,5,20230410,20230612,0,PS-010747636-005,OWNR
010747636C,6,20240410,20240410,0,PS-010747636-006,OWNR
010747636C,7,20250410,20250411,0,PS-010747636-007,OWNR
010747636C,8,20260410,20260410,0,PS-010747636-008,OWNR
010748070C,2,20180520,20180521,0,PS-010748070-002,OWNR
010748334C,10,20180415,20180416,0,PS-010748334-010,OWNR
010748334C,11,20190415,20190415,0,PS-010748334-011,OWNR
010748334C,12,20200415,20200415,0,PS-010748334-012,OWNR
010748334C,13,20210415,20210415,0,PS-010748334-013,OWNR
010748334C,14,20220415,20220414,0,PS-010748334-014,OWNR
010748334C,15,20230415,20230417,0,PS-010748334-015,OWNR
010748334C,16,20240415,20240415,0,PS-010748334-016,OWNR
010748334C,17,20250415,20250415,0,PS-010748334-017,OWNR
010748334C,18,20260415,20260415,0,PS-010748334-018,OWNR
010748335C,10,20180415,20180416,0,PS-010748335-010,OWNR
010748335C,11,20190415,20190415,0,PS-010748335-011,OWNR
010748335C,12,20200415,20200415,0,PS-010748335-012,OWNR
010748335C,13,20210415,20210415,0,PS-010748335-013,OWNR
010748335C,14,20220415,20220414,0,PS-010748335-014,OWNR
010748335C,15,20230415,20230417,0,PS-010748335-015,OWNR
010748335C,16,20240415,20240415,0,PS-010748335-016,OWNR
010748335C,17,20250415,20250415,0,PS-010748335-017,OWNR
010748335C,18,20260415,20260415,0,PS-010748335-018,OWNR
010748404C,2,20180415,20180416,0,PS-010748404-002,OWNR
010748517C,2,20180422,20180423,0,PS-010748517-002,OWNR
010748556C,10,20180421,20180423,0,PS-010748556-010,OWNR
010748556C,11,20190421,20190422,0,PS-010748556-011,OWNR
010748556C,12,20200421,20200421,0,PS-010748556-012,OWNR
010748556C,13,20210421,20210421,0,PS-010748556-013,OWNR
010748556C,14,20220421,20220421,0,PS-010748556-014,OWNR
010748556C,15,20230421,20230421,0,PS-010748556-015,OWNR
010748556C,16,20240421,20240422,0,PS-010748556-016,OWNR
010748556C,17,20250421,20250421,0,PS-010748556-017,OWNR
010748556C,18,20260421,20260421,0,PS-010748556-018,OWNR
010749038C,10,20180425,20180425,0,PS-010749038-010,OWNR
010749038C,11,20190425,20190425,0,PS-010749038-011,OWNR
010749038C,12,20200425,20200427,0,PS-010749038-012,OWNR
010749038C,13,20210425,20210426,0,PS-010749038-013,OWNR
010749038C,14,20220425,20220425,0,PS-010749038-014,OWNR
010749038C,15,20230425,20230425,0,PS-010749038-015,OWNR
010749038C,16,20240425,20240425,0,PS-010749038-016,OWNR
010749038C,17,20250425,20250425,0,PS-010749038-017,OWNR
010749038C,18,20260425,20260427,0,PS-010749038-018,OWNR
010749042C,3,20180425,20180425,0,PS-010749042-003,OWNR
010749042C,4,20190425,20190425,0,PS-010749042-004,OWNR
010749463C,10,20180424,20180424,0,PS-010749463-010,OWNR
010749463C,11,20190424,20190424,0,PS-010749463-011,OWNR
010749463C,12,20200424,20200424,0,PS-010749463-012,OWNR
010749463C,13,20210424,20210426,0,PS-010749463-013,OWNR
010749463C,14,20220424,20220425,0,PS-010749463-014,OWNR
010749463C,15,20230424,20230424,0,PS-010749463-015,OWNR
010749463C,16,20240424,20240424,0,PS-010749463-016,OWNR
010749463C,17,20250424,20250424,0,PS-010749463-017,OWNR
010749463C,18,20260424,20260424,0,PS-010749463-018,OWNR
010749842C,9,20180615,20180615,0,PS-010749842-009,OWNR
010749842C,10,20190615,20190617,0,PS-010749842-010,OWNR
010749842C,11,20200615,20200615,0,PS-010749842-011,OWNR
010749842C,12,20210615,20210615,0,PS-010749842-012,OWNR
010749842C,13,20220615,20220615,0,PS-010749842-013,OWNR
010749842C,14,20230615,20230615,0,PS-010749842-014,OWNR
010749842C,15,20240615,20240617,0,PS-010749842-015,OWNR
010749842C,16,20250615,20250616,0,PS-010749842-016,OWNR
010749843C,9,20180615,20180615,0,PS-010749843-009,OWNR
010749843C,10,20190615,20190617,0,PS-010749843-010,OWNR
010749843C,11,20200615,20200615,0,PS-010749843-011,OWNR
010749843C,12,20210615,20210615,0,PS-010749843-012,OWNR
010749843C,13,20220615,20220615,0,PS-010749843-013,OWNR
010749843C,14,20230615,20230615,0,PS-010749843-014,OWNR
010749843C,15,20240615,20240617,0,PS-010749843-015,OWNR
010749843C,16,20250615,20250616,0,PS-010749843-016,OWNR
010749849C,10,20180504,20180504,0,PS-010749849-010,OWNR
010749849C,11,20190504,20190506,0,PS-010749849-011,OWNR
010749849C,12,20200504,20200504,0,PS-010749849-012,OWNR
010749849C,13,20210504,20210504,0,PS-010749849-013,OWNR
010749849C,14,20220504,20220504,0,PS-010749849-014,OWNR
010749849C,15,20230504,20230504,0,PS-010749849-015,OWNR
010749849C,16,20240504,20240506,0,PS-010749849-016,OWNR
010749849C,17,20250504,20250505,0,PS-010749849-017,OWNR
010749849C,18,20260504,20260504,0,PS-010749849-018,OWNR
010749906C,7,20180506,20180507,0,PS-010749906-007,OWNR
010749906C,8,20190506,20190506,0,PS-010749906-008,OWNR
010749906C,9,20200506,20200506,0,PS-010749906-009,OWNR
010749906C,10,20210506,20210506,0,PS-010749906-010,OWNR
010749906C,11,20220506,20220506,0,PS-010749906-011,OWNR
010749906C,12,20230506,20230508,0,PS-010749906-012,OWNR
010749968C,6,20180509,20180509,0,PS-010749968-006,OWNR
010749968C,7,20190509,20190509,0,PS-010749968-007,OWNR
010749968C,8,20200509,20200511,0,PS-010749968-008,OWNR
010749968C,9,20210509,20210510,0,PS-010749968-009,OWNR
010749968C,10,20220509,20220509,0,PS-010749968-010,OWNR
010750755C,7,20180514,20180514,0,PS-010750755-007,OWNR
010750755C,8,20190514,20190514,0,PS-010750755-008,OWNR
010750755C,9,20200514,20200514,0,PS-010750755-009,OWNR
010750755C,10,20210514,20210514,0,PS-010750755-010,OWNR
010750755C,11,20220514,20220516,0,PS-010750755-011,OWNR
010750755C,12,20230514,20230515,0,PS-010750755-012,OWNR
010752580C,9,20180601,20180601,0,PS-010752580-009,OWNR
010752580C,10,20190601,20190603,0,PS-010752580-010,OWNR
010752580C,11,20200601,20200601,0,PS-010752580-011,OWNR
010752580C,12,20210601,20210601,0,PS-010752580-012,OWNR
010752580C,13,20220601,20220601,0,PS-010752580-013,OWNR
010752580C,14,20230601,20230601,0,PS-010752580-014,OWNR
010752580C,15,20240601,20240603,0,PS-010752580-015,OWNR
010752580C,16,20250601,20250602,0,PS-010752580-016,OWNR
010752702C,9,20180605,20180605,0,PS-010752702-009,OWNR
010752702C,10,20190605,20190605,0,PS-010752702-010,OWNR
010752702C,11,20200605,20200605,0,PS-010752702-011,OWNR
010752702C,12,20210605,20210607,0,PS-010752702-012,OWNR
010752702C,13,20220605,20220606,0,PS-010752702-013,OWNR
010752702C,14,20230605,20230605,0,PS-010752702-014,OWNR
010752702C,15,20240605,20240605,0,PS-010752702-015,OWNR
010752702C,16,20250605,20250605,0,PS-010752702-016,OWNR
010753409C,6,20210612,20210812,0,PS-010753409-006,OWNR
010753409C,7,20220612,20220613,0,PS-010753409-007,OWNR
010753409C,8,20230612,20230612,0,PS-010753409-008,OWNR
010753409C,9,20240612,20240612,0,PS-010753409-009,OWNR
010753409C,10,20250612,20250612,0,PS-010753409-010,OWNR
010753687C,8,20180611,20180611,0,PS-010753687-008,OWNR
010753687C,9,20190611,20190611,0,PS-010753687-009,OWNR
010753687C,10,20200611,20200611,0,PS-010753687-010,OWNR
010753687C,11,20210611,20210611,0,PS-010753687-011,OWNR
010753687C,12,20220611,20220613,0,PS-010753687-012,OWNR
010753687C,13,20230611,20230612,0,PS-010753687-013,OWNR
010753687C,14,20240611,20240611,0,PS-010753687-014,OWNR
010754359C,9,20180527,20180529,0,PS-010754359-009,OWNR
010754359C,10,20190527,20190528,0,PS-010754359-010,OWNR
010754359C,11,20200527,20200527,0,PS-010754359-011,OWNR
010754359C,12,20210527,20210527,0,PS-010754359-012,OWNR
010754359C,13,20220527,20220527,0,PS-010754359-013,OWNR
010754359C,14,20230527,20230530,0,PS-010754359-014,OWNR
010754359C,15,20240527,20240528,0,PS-010754359-015,OWNR
010754359C,16,20250527,20250527,0,PS-010754359-016,OWNR
010754485C,10,20180203,20180205,0,PS-010754485-010,OWNR
010754485C,11,20190203,20190204,0,PS-010754485-011,OWNR
010754485C,12,20200203,20200203,0,PS-010754485-012,OWNR
010754485C,13,20210203,20210203,0,PS-010754485-013,OWNR
010754485C,14,20220203,20220203,0,PS-010754485-014,OWNR
010754485C,15,20230203,20230203,0,PS-010754485-015,OWNR
010754485C,16,20240203,20240205,0,PS-010754485-016,OWNR
010754485C,17,20250203,20250203,0,PS-010754485-017,OWNR
010754485C,18,20260203,20260203,0,PS-010754485-018,OWNR
010754898C,8,20180701,20180702,0,PS-010754898-008,OWNR
