coverage_id,type_code,secondary_rate_table_rows,primary_paagerat_rows,present_in
622 END85,CV,3656,0,SECONDARY_ONLY
622 END85,DV,1220,0,SECONDARY_ONLY
622 END85,NP,2440,0,SECONDARY_ONLY
622 END85,RV,6710,0,SECONDARY_ONLY
630 JEB,CV,885,0,SECONDARY_ONLY
630 JEB,DB,0,117,PRIMARY_ONLY
630 JEB,DV,120,0,SECONDARY_ONLY
630 JEB,NP,1770,0,SECONDARY_ONLY
630 JEB,PR,0,15,PRIMARY_ONLY
630 JEB,RV,1770,0,SECONDARY_ONLY
646 ART,DV,805,0,SECONDARY_ONLY
646 ART,NN,192,0,SECONDARY_ONLY
646 ART,NP,0,82,PRIMARY_ONLY
646 ART,PN,192,0,SECONDARY_ONLY
646 ART,PR,0,201,PRIMARY_ONLY
646 ART,RV,82,0,SECONDARY_ONLY
647 FLP,DB,0,49,PRIMARY_ONLY
647 FLP,NP,2450,0,SECONDARY_ONLY
647 FLP,PR,0,117,PRIMARY_ONLY
647 FLP,RV,2186,0,SECONDARY_ONLY
647 FLP SP,DB,0,49,PRIMARY_ONLY
658 CEN I,BP,0,294,PRIMARY_ONLY
658 CEN I,CV,18124,0,SECONDARY_ONLY
658 CEN I,NC,0,294,PRIMARY_ONLY
658 CEN I,NF,0,260,PRIMARY_ONLY
658 CEN I,NP,19000,0,SECONDARY_ONLY
658 CEN I,RD,0,1,PRIMARY_ONLY
658 CEN I,RV,19000,0,SECONDARY_ONLY
658 CEN I,U6,0,400,PRIMARY_ONLY
658 CEN SD,BP,0,150,PRIMARY_ONLY
658 CEN SD,CV,9113,0,SECONDARY_ONLY
658 CEN SD,NP,9496,0,SECONDARY_ONLY
658 CEN SD,RV,9496,0,SECONDARY_ONLY
659 CEN II,BP,0,330,PRIMARY_ONLY
659 CEN II,CV,9678,0,SECONDARY_ONLY
659 CEN II,NC,0,330,PRIMARY_ONLY
659 CEN II,NF,0,172,PRIMARY_ONLY
659 CEN II,NP,19780,0,SECONDARY_ONLY
659 CEN II,RV,19780,0,SECONDARY_ONLY
659 CEN II,SL,14,0,SECONDARY_ONLY
659 CEN II,TP,19780,0,SECONDARY_ONLY
659 CEN II,TX,19780,0,SECONDARY_ONLY
659 CEN II,U5,0,200,PRIMARY_ONLY
659 CEN II,U6,0,400,PRIMARY_ONLY
659 CEN II,UF,1,0,SECONDARY_ONLY
659 CEN SD,BP,0,152,PRIMARY_ONLY
659 CEN SD,CV,9288,0,SECONDARY_ONLY
659 CEN SD,NP,9496,0,SECONDARY_ONLY
659 CEN SD,RV,9496,0,SECONDARY_ONLY
659 CEN SR,BP,0,172,PRIMARY_ONLY
659 CEN SR,CV,9678,0,SECONDARY_ONLY
659 CEN SR,NP,9890,0,SECONDARY_ONLY
659 CEN SR,RV,9890,0,SECONDARY_ONLY
659 SR GD,CV,9700,0,SECONDARY_ONLY
659 SR GD,DB,100,0,SECONDARY_ONLY
659 SR GD,NP,2340,0,SECONDARY_ONLY
659 SR GD,RV,2340,0,SECONDARY_ONLY
665 PUA,CV,0,96,PRIMARY_ONLY
665 PUA,PU,0,117,PRIMARY_ONLY
665 STME95,CV,3479,0,SECONDARY_ONLY
665 STME95,DB,5100,0,SECONDARY_ONLY
665 STME95,DV,1800,0,SECONDARY_ONLY
665 STME95,NP,7140,0,SECONDARY_ONLY
665 STME95,PR,117,0,SECONDARY_ONLY
665 STME95,RD,0,1,PRIMARY_ONLY
665 STME95,RV,7140,0,SECONDARY_ONLY
666 WL,CV,4895,0,SECONDARY_ONLY
666 WL,NN,10080,0,SECONDARY_ONLY
666 WL,NP,9890,0,SECONDARY_ONLY
666 WL,PN,10080,0,SECONDARY_ONLY
666 WL,PR,0,86,PRIMARY_ONLY
666 WL,RV,9890,0,SECONDARY_ONLY
667 ART,NP,0,288,PRIMARY_ONLY
667 ART,PR,0,738,PRIMARY_ONLY
667 ART CR,NP,0,384,PRIMARY_ONLY
667 ART CR,PR,0,75,PRIMARY_ONLY
668 SPWL,BP,0,172,PRIMARY_ONLY
668 SPWL,CV,0,202,PRIMARY_ONLY
668 SPWL,NP,0,117,PRIMARY_ONLY
668 SPWL,RV,0,117,PRIMARY_ONLY
668 SPWL,SL,10,0,SECONDARY_ONLY
668 SPWL,U5,0,217,PRIMARY_ONLY
669 SR GD,CV,2340,0,SECONDARY_ONLY
670 GL85-8,CV,9121,0,SECONDARY_ONLY
670 GL85-8,DV,7126,0,SECONDARY_ONLY
670 GL85-8,NF,7171,0,SECONDARY_ONLY
670 GL85-8,NN,7563,0,SECONDARY_ONLY
670 GL85-8,NP,6988,0,SECONDARY_ONLY
670 GL85-8,PN,7730,0,SECONDARY_ONLY
670 GL85-8,RV,9230,0,SECONDARY_ONLY
670 GL8588,CV,7346,0,SECONDARY_ONLY
670 PUA,CV,0,175,PRIMARY_ONLY
670 PUA,PU,0,234,PRIMARY_ONLY
670 PUA,RV,0,202,PRIMARY_ONLY
679 CEN SD,BP,0,66,PRIMARY_ONLY
679 CEN SD,CV,4350,0,SECONDARY_ONLY
679 CEN SD,NC,0,66,PRIMARY_ONLY
686S 30MRG,DB,30,0,SECONDARY_ONLY
686S 30MRG,NP,6120,0,SECONDARY_ONLY
686S 30MRG,PR,0,248,PRIMARY_ONLY
686S 30MRG,RV,3402,0,SECONDARY_ONLY
687J 30MRG,NP,4590,0,SECONDARY_ONLY
687J 30MRG,PR,0,72,PRIMARY_ONLY
687J 30MRG,RV,2388,0,SECONDARY_ONLY
687J 30MRG,TP,3060,0,SECONDARY_ONLY
690 DT 65,DB,0,66,PRIMARY_ONLY
690 DT 65,DV,51,0,SECONDARY_ONLY
690 DT 65,NN,4144,0,SECONDARY_ONLY
690 DT 65,NP,2240,0,SECONDARY_ONLY
690 DT 65,PN,4270,0,SECONDARY_ONLY
690 DT 65,PR,0,117,PRIMARY_ONLY
690 DT 65,RV,676,0,SECONDARY_ONLY
8034 30MRG,PR,0,174,PRIMARY_ONLY
8034 J30MT,PR,0,52,PRIMARY_ONLY
8042 STR,DB,0,48,PRIMARY_ONLY
8042 STR,NP,2156,0,SECONDARY_ONLY
8042 STR,PR,0,38,PRIMARY_ONLY
8042 STR,RV,88,0,SECONDARY_ONLY
8042STR WP,PR,0,117,PRIMARY_ONLY
8043 CTR,NP,48,0,SECONDARY_ONLY
8043 CTR,PR,0,117,PRIMARY_ONLY
8043 CTR,RV,2,0,SECONDARY_ONLY
8043CTR WP,PR,0,117,PRIMARY_ONLY
8046 JPO,PR,0,22,PRIMARY_ONLY
8115,PR,0,168,PRIMARY_ONLY
8115 L01,PR,0,168,PRIMARY_ONLY
826,CV,930,0,SECONDARY_ONLY
826,NP,1105,0,SECONDARY_ONLY
826,PR,0,32,PRIMARY_ONLY
826,RV,1071,0,SECONDARY_ONLY
828,NP,99,0,SECONDARY_ONLY
828,PR,0,19,PRIMARY_ONLY
828,RV,1,0,SECONDARY_ONLY
8286 GI 2+,PR,0,19,PRIMARY_ONLY
863,DB,1230,0,SECONDARY_ONLY
863,NP,2100,0,SECONDARY_ONLY
863,PR,0,112,PRIMARY_ONLY
863,RV,1692,0,SECONDARY_ONLY
889 960,PR,0,38,PRIMARY_ONLY
896 DAR,CV,2040,0,SECONDARY_ONLY
896 DAR,DV,2040,0,SECONDARY_ONLY
896 DAR,NP,78,3,BOTH
896 DAR,PR,0,117,PRIMARY_ONLY
896 DAR,RV,41,0,SECONDARY_ONLY
960 65 PUA,CV,0,66,PRIMARY_ONLY
960 65 PUA,PU,0,117,PRIMARY_ONLY
960 65 PUA,RV,0,101,PRIMARY_ONLY
960 LP PUA,CV,0,175,PRIMARY_ONLY
960 LP PUA,PU,0,234,PRIMARY_ONLY
960 LP PUA,RV,0,205,PRIMARY_ONLY
960 LP65,CV,4615,0,SECONDARY_ONLY
960 LP65,DV,2123,0,SECONDARY_ONLY
960 LP65,NN,4146,0,SECONDARY_ONLY
960 LP65,NP,4230,0,SECONDARY_ONLY
960 LP65,PN,4270,0,SECONDARY_ONLY
960 LP65,PR,0,112,PRIMARY_ONLY
960 LP65,RV,9230,0,SECONDARY_ONLY
960 OL,CV,4564,0,SECONDARY_ONLY
960 OL,DV,2785,0,SECONDARY_ONLY
960 OL,NN,10080,0,SECONDARY_ONLY
960 OL,NP,9835,0,SECONDARY_ONLY
960 OL,PN,10080,0,SECONDARY_ONLY
960 OL,PR,0,142,PRIMARY_ONLY
960 OL,RV,9475,0,SECONDARY_ONLY
960 OL PUA,CV,0,100,PRIMARY_ONLY
960 OL PUA,PU,0,117,PRIMARY_ONLY
960 PO,CV,9274,0,SECONDARY_ONLY
960 PO,DV,6448,0,SECONDARY_ONLY
960 PO,NN,10080,0,SECONDARY_ONLY
960 PO,NP,9443,0,SECONDARY_ONLY
960 PO,PN,10080,0,SECONDARY_ONLY
960 PO,PR,0,142,PRIMARY_ONLY
960 PO,RV,9443,0,SECONDARY_ONLY
960 PO PUA,CV,0,200,PRIMARY_ONLY
960 PO PUA,PU,0,234,PRIMARY_ONLY
961 ME65,CV,4069,0,SECONDARY_ONLY
961 ME65,DV,3144,0,SECONDARY_ONLY
961 ME65,NN,4144,0,SECONDARY_ONLY
961 ME65,NP,4200,0,SECONDARY_ONLY
961 ME65,PN,4270,0,SECONDARY_ONLY
961 ME65,PR,0,112,PRIMARY_ONLY
961 ME65,RD,0,1,PRIMARY_ONLY
961 ME65,RV,4200,0,SECONDARY_ONLY
961 PUA,CV,0,132,PRIMARY_ONLY
961 PUA,PU,0,234,PRIMARY_ONLY
970 JEB,CV,1162,0,SECONDARY_ONLY
970 JEB,DB,0,96,PRIMARY_ONLY
970 JEB,DV,724,0,SECONDARY_ONLY
970 JEB,NP,2370,0,SECONDARY_ONLY
970 JEB,PR,0,15,PRIMARY_ONLY
970 JEB,RV,2370,0,SECONDARY_ONLY
970 PUA,CV,0,86,PRIMARY_ONLY
970 PUA,PU,0,117,PRIMARY_ONLY
970 PUA,RV,0,101,PRIMARY_ONLY
980 END65,CV,4143,0,SECONDARY_ONLY
980 END65,DV,3716,0,SECONDARY_ONLY
980 END65,NN,4146,0,SECONDARY_ONLY
980 END65,NP,4200,0,SECONDARY_ONLY
980 END65,PN,4270,0,SECONDARY_ONLY
980 END65,PR,0,112,PRIMARY_ONLY
980 END65,RD,0,1,PRIMARY_ONLY
980 END65,RV,4200,0,SECONDARY_ONLY
980 PUA,CV,0,132,PRIMARY_ONLY
980 PUA,PU,0,234,PRIMARY_ONLY
991 PWL,CV,6398,0,SECONDARY_ONLY
991 PWL,DV,2830,0,SECONDARY_ONLY
991 PWL,NP,6440,0,SECONDARY_ONLY
991 PWL,PR,0,61,PRIMARY_ONLY
991 PWL,RV,6440,0,SECONDARY_ONLY
DISCHO20 B,PR,10,0,SECONDARY_ONLY
DISCHO2475,PR,10,0,SECONDARY_ONLY
DISCHO247B,PR,10,0,SECONDARY_ONLY
DISCHO247C,PR,10,0,SECONDARY_ONLY
DISCHO25,PR,117,0,SECONDARY_ONLY
DISCHO29,PR,10,0,SECONDARY_ONLY
DISCHO70,PR,3,0,SECONDARY_ONLY
DISCHO80,PR,10,0,SECONDARY_ONLY
DISCHO90,PR,117,0,SECONDARY_ONLY
L01 10Y LT,PR,0,924,PRIMARY_ONLY
L01 10Y MA,NN,1425,0,SECONDARY_ONLY
L01 10Y MA,NP,134,0,SECONDARY_ONLY
L01 10Y MA,PN,1720,0,SECONDARY_ONLY
L01 10Y MA,PR,9720,0,SECONDARY_ONLY
L01 10Y MA,RV,2,0,SECONDARY_ONLY
L05 10Y LT,PR,0,804,PRIMARY_ONLY
L07 5Y LT,PR,0,1020,PRIMARY_ONLY
L10 CDT,NP,144,0,SECONDARY_ONLY
L10 CDT,RV,6,0,SECONDARY_ONLY
L10 LP95,CV,29599,0,SECONDARY_ONLY
L10 LP95,NF,27090,0,SECONDARY_ONLY
L10 LP95,NN,23964,0,SECONDARY_ONLY
L10 LP95,NP,27606,0,SECONDARY_ONLY
L10 LP95,PN,24475,0,SECONDARY_ONLY
L10 LP95,PR,0,1832,PRIMARY_ONLY
L10 LP95,RV,28908,0,SECONDARY_ONLY
L10 LP95SR,NN,7968,0,SECONDARY_ONLY
L10 LP95SR,NP,9202,0,SECONDARY_ONLY
L10 LP95SR,PN,8135,0,SECONDARY_ONLY
L10 LP95SR,PR,0,172,PRIMARY_ONLY
L10 LP95SR,RV,9202,0,SECONDARY_ONLY
L10 PRE97,CV,29263,0,SECONDARY_ONLY
L10 PRE97,NF,27219,0,SECONDARY_ONLY
L10 PRE97,PR,0,1832,PRIMARY_ONLY
L10 PRE97,RD,0,3,PRIMARY_ONLY
L10 PREUNI,CV,14799,0,SECONDARY_ONLY
L10 PREUNI,NF,13545,0,SECONDARY_ONLY
L10 PREUNI,PR,0,1033,PRIMARY_ONLY
L10 SDT,NP,6468,0,SECONDARY_ONLY
L10 SDT,RV,264,0,SECONDARY_ONLY
L10 SPSWP,PR,0,117,PRIMARY_ONLY
L10 WP,PR,0,222,PRIMARY_ONLY
L10 WP CDT,PR,0,117,PRIMARY_ONLY
L10 WP OLD,PR,0,222,PRIMARY_ONLY
L10 WP SRN,PR,0,74,PRIMARY_ONLY
L14,CV,2836,0,SECONDARY_ONLY
L14,NF,2870,0,SECONDARY_ONLY
L14,NP,2886,0,SECONDARY_ONLY
L14,PR,0,268,PRIMARY_ONLY
L14,RD,0,1,PRIMARY_ONLY
L14,RV,2874,0,SECONDARY_ONLY
L15,CV,2872,0,SECONDARY_ONLY
L15,NF,2870,0,SECONDARY_ONLY
L15,NP,2886,0,SECONDARY_ONLY
L15,PR,0,82,PRIMARY_ONLY
L15,RD,0,1,PRIMARY_ONLY
L15,RV,2886,0,SECONDARY_ONLY
L15,YP,0,117,PRIMARY_ONLY
L16,CV,1682,0,SECONDARY_ONLY
L16,DB,1680,0,SECONDARY_ONLY
L16,NF,1680,0,SECONDARY_ONLY
L16,NP,1690,0,SECONDARY_ONLY
L16,PR,0,42,PRIMARY_ONLY
L16,RV,1690,0,SECONDARY_ONLY
L16POLFEE,DB,5,0,SECONDARY_ONLY
L17 2+,PR,0,76,PRIMARY_ONLY
SAL ADB,PR,0,234,PRIMARY_ONLY
SAL MULTPL,PR,0,66,PRIMARY_ONLY
SAL OL,CV,4750,0,SECONDARY_ONLY
SAL OL,NF,0,76,PRIMARY_ONLY
SAL OL,NP,0,76,PRIMARY_ONLY
SAL OL,PR,0,135,PRIMARY_ONLY
SAL OL,RV,4750,0,SECONDARY_ONLY
WP 646,PR,0,40,PRIMARY_ONLY
