bucket,type_code,coverage_id,rt_rows,paa_rows,rt_age_min,rt_age_max,rt_dur_min,rt_dur_max,paa_seq_count,note
RT_ONLY_EXACT_COV,CV,896 DAR,2040,0,0,50,1,65,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,CV,960 LP65,4615,0,0,70,1,100,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,CV,960 OL,4564,0,0,70,1,97,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,CV,960 PO,9274,0,0,70,1,98,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,CV,961 ME65,4069,0,0,55,1,60,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,CV,970 JEB,1162,0,0,14,1,84,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,CV,980 END65,4143,0,0,55,1,63,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,CV,991 PWL,6398,0,15,73,1,83,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,CV,L10 LP95,29599,0,0,85,1,100,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,CV,L10 PRE97,29263,0,0,100,1,95,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,CV,L10 PREUNI,14799,0,0,85,1,100,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,CV,L14,2836,0,45,85,1,54,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,CV,L15,2872,0,45,85,1,55,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,CV,L16,1682,0,50,70,1,50,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,CV,SAL OL,4750,0,0,75,1,100,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,DB,10827 CSI3,1185,0,46,75,1,54,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,DB,10827 CSI5,1185,0,46,75,1,54,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,DB,10827 CSI7,1185,0,46,75,1,54,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,DB,10827 MN5K,1185,0,46,75,1,54,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,DB,659 SR GD,100,0,0,0,1,100,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,DB,665 STME95,5100,0,0,50,1,100,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,DB,686S 30MRG,30,0,0,0,1,30,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,DB,863,1230,0,15,55,1,50,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,DB,L16,1680,0,50,70,1,50,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,DB,L16POLFEE,5,0,0,0,1,3,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NF,670 GL85-8,7171,0,0,70,1,88,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NF,L10 LP95,27090,0,0,85,1,95,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NF,L10 PRE97,27219,0,0,100,1,95,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NF,L10 PREUNI,13545,0,0,85,1,95,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NF,L14,2870,0,45,85,1,55,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NF,L15,2870,0,45,85,1,55,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NF,L16,1680,0,50,70,1,50,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,10827 CSI3,2370,0,46,75,1,54,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,10827 CSI5,2370,0,46,75,1,54,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,10827 CSI7,2370,0,46,75,1,54,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,10827 MN5K,2370,0,46,75,1,54,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,1578 FTR,2551,0,0,64,1,50,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,1578 SPSPU,2226,0,18,59,1,47,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,619 CH PU,2484,0,0,22,1,65,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,619 DT,4148,0,1,61,1,64,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,619 DT SP,4320,0,15,59,1,70,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,619 SPS PU,4260,0,0,59,1,65,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,621 END85,4370,0,15,60,1,70,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,622 END85,2440,0,0,60,1,20,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,630 JEB,1770,0,0,14,1,66,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,647 FLP,2450,0,16,64,1,49,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,658 CEN I,19000,0,0,75,1,100,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,658 CEN SD,9496,0,0,75,1,100,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,659 CEN II,19780,0,0,85,1,100,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,659 CEN SD,9496,0,0,75,1,100,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,659 CEN SR,9890,0,0,85,1,100,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,659 SR GD,2340,0,50,85,1,50,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,665 STME95,7140,0,0,50,1,95,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,666 WL,9890,0,0,85,1,100,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,670 GL85-8,6988,0,0,70,1,88,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,686S 30MRG,6120,0,0,50,1,30,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,687J 30MRG,4590,0,0,50,1,30,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,690 DT 65,2240,0,16,50,1,49,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,8042 STR,2156,0,18,61,1,46,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,8043 CTR,48,0,0,0,1,24,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,826,1105,0,16,49,1,49,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,828,99,0,0,0,1,99,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,863,2100,0,0,55,1,65,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,960 LP65,4230,0,0,70,1,65,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,960 OL,9835,0,0,80,1,100,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,960 PO,9443,0,0,70,1,103,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,961 ME65,4200,0,0,55,1,65,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,970 JEB,2370,0,0,14,1,86,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,980 END65,4200,0,0,55,1,65,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,991 PWL,6440,0,15,73,1,85,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,L01 10Y MA,134,0,28,28,1,67,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,L10 CDT,144,0,0,0,1,24,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,L10 LP95,27606,0,0,85,1,96,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,L10 LP95SR,9202,0,0,85,1,96,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,L10 SDT,6468,0,18,61,1,46,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,L14,2886,0,45,85,1,55,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,L15,2886,0,45,85,1,55,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,NP,L16,1690,0,50,70,1,50,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
BOTH_EXACT_COV,NP,896 DAR,78,3,0,0,1,78,3,PAAGERAT present — Rate_Table must NOT override
RT_ONLY_EXACT_COV,PR,665 STME95,117,0,0,0,1,117,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,PR,DISCHO20 B,10,0,0,0,1,10,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,PR,DISCHO2475,10,0,0,0,1,10,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,PR,DISCHO247B,10,0,0,0,1,10,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,PR,DISCHO247C,10,0,0,0,1,10,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,PR,DISCHO25,117,0,0,0,1,117,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,PR,DISCHO29,10,0,0,0,1,10,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,PR,DISCHO70,3,0,0,0,1,3,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,PR,DISCHO80,10,0,0,0,1,10,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,PR,DISCHO90,117,0,0,0,1,117,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,PR,L01 10Y MA,9720,0,15,94,1,80,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,10827 CSI3,2370,0,46,75,1,54,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,10827 CSI5,2370,0,46,75,1,54,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,10827 CSI7,2370,0,46,75,1,54,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,10827 MN5K,2370,0,46,75,1,54,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,1578 FTR,101,0,0,64,1,1,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,1578 SPSPU,2018,0,18,59,1,39,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,619 CH PU,46,0,0,22,1,1,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,619 DT,122,0,1,61,1,1,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,619 DT SP,90,0,15,59,1,1,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,621 END85,4370,0,15,60,1,70,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,622 END85,6710,0,0,60,1,85,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,630 JEB,1770,0,0,14,1,66,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,646 ART,82,0,20,60,1,1,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,647 FLP,2186,0,16,64,1,48,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,658 CEN I,19000,0,0,75,1,100,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,658 CEN SD,9496,0,0,75,1,100,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,659 CEN II,19780,0,0,85,1,100,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,659 CEN SD,9496,0,0,75,1,100,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,659 CEN SR,9890,0,0,85,1,100,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,659 SR GD,2340,0,50,85,1,50,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,665 STME95,7140,0,0,50,1,95,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,666 WL,9890,0,0,85,1,100,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,670 GL85-8,9230,0,0,70,1,100,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,686S 30MRG,3402,0,0,50,1,26,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,687J 30MRG,2388,0,0,50,1,26,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,690 DT 65,676,0,16,50,1,28,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,8042 STR,88,0,18,61,1,1,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,8043 CTR,2,0,0,0,1,1,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,826,1071,0,16,49,1,48,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,828,1,0,0,0,1,1,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,863,1692,0,0,55,1,61,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,896 DAR,41,0,0,0,1,41,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,960 LP65,9230,0,0,70,1,100,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,960 OL,9475,0,0,80,1,100,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,960 PO,9443,0,0,70,1,103,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,961 ME65,4200,0,0,55,1,65,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,970 JEB,2370,0,0,14,1,86,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,980 END65,4200,0,0,55,1,65,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,991 PWL,6440,0,15,73,1,85,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,L01 10Y MA,2,0,28,28,1,1,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,L10 CDT,6,0,0,0,1,1,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,L10 LP95,28908,0,0,85,1,100,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,L10 LP95SR,9202,0,0,85,1,96,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,L10 SDT,264,0,18,61,1,1,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,L14,2874,0,45,85,1,55,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,L15,2886,0,45,85,1,55,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,L16,1690,0,50,70,1,50,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
RT_ONLY_EXACT_COV,RV,SAL OL,4750,0,0,75,1,100,0,"exact COVERAGE_ID in Rate_Table, absent from PAAGERAT"
BOTH_EXACT_COV,RV,619 SPS PU,3724,94,0,59,1,63,47,PAAGERAT present — Rate_Table must NOT override
RT_TYPE_NOT_IN_PAA,DV,621 END85,2098,0,15,60,1,67,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,DV,622 END85,1220,0,0,60,1,20,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,DV,630 JEB,120,0,0,12,1,66,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,DV,646 ART,805,0,20,60,1,43,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,DV,665 STME95,1800,0,0,50,1,94,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,DV,670 GL85-8,7126,0,0,68,1,85,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,DV,690 DT 65,51,0,0,50,1,1,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,DV,896 DAR,2040,0,0,50,1,65,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,DV,960 LP65,2123,0,0,55,1,65,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,DV,960 OL,2785,0,0,70,1,40,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,DV,960 PO,6448,0,0,70,1,99,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,DV,961 ME65,3144,0,0,55,1,61,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,DV,970 JEB,724,0,0,14,1,85,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,DV,980 END65,3716,0,0,55,1,65,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,DV,991 PWL,2830,0,15,78,1,69,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,NN,10827 CSI3,9720,0,0,80,1,100,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,NN,10827 CSI5,9720,0,0,80,1,100,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,NN,619 DT,4148,0,0,60,1,64,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,NN,621 END85,7122,0,0,80,1,83,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,NN,646 ART,192,0,0,95,1,1,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,NN,666 WL,10080,0,0,95,1,100,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,NN,670 GL85-8,7563,0,0,85,1,89,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,NN,690 DT 65,4144,0,0,60,1,63,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,NN,960 LP65,4146,0,0,60,1,63,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,NN,960 OL,10080,0,0,95,1,100,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,NN,960 PO,10080,0,0,95,1,100,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,NN,961 ME65,4144,0,0,60,1,63,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,NN,980 END65,4146,0,0,60,1,63,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,NN,L01 10Y MA,1425,0,0,85,1,9,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,NN,L10 LP95,23964,0,0,85,1,89,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,NN,L10 LP95SR,7968,0,0,85,1,89,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
RT_TYPE_NOT_IN_PAA,PN,10827 CSI5,9720,0,0,80,1,100,0,TYPE_CODE never in PAAGERAT — Rate_Table is sole source today
