plan,type_code,target_table,rt_rows,rt_coverages,proposed_action
1L1095,NP,QuikNps,27606,L10 LP95,EMIT_RATE_TABLE_TAG_SECONDARY
1L1095,RV,QuikTvs,28908,L10 LP95,EMIT_RATE_TABLE_TAG_SECONDARY
1L10OD,CV,QuikCvs,29263,L10 PRE97,EMIT_RATE_TABLE_TAG_SECONDARY
1L10OD,NF,QuikNff,27219,L10 PRE97,EMIT_RATE_TABLE_TAG_SECONDARY
1L10PR,CV,QuikCvs,14799,L10 PREUNI,EMIT_RATE_TABLE_TAG_SECONDARY
1L10PR,NF,QuikNff,13545,L10 PREUNI,EMIT_RATE_TABLE_TAG_SECONDARY
1L10SR,NP,QuikNps,9202,L10 LP95SR,EMIT_RATE_TABLE_TAG_SECONDARY
1L10SR,RV,QuikTvs,9202,L10 LP95SR,EMIT_RATE_TABLE_TAG_SECONDARY
1L14SC,CV,QuikCvs,2836,L14,EMIT_RATE_TABLE_TAG_SECONDARY
1L14SC,NF,QuikNff,2870,L14,EMIT_RATE_TABLE_TAG_SECONDARY
1L14SC,NP,QuikNps,2886,L14,EMIT_RATE_TABLE_TAG_SECONDARY
1L14SC,RV,QuikTvs,2874,L14,EMIT_RATE_TABLE_TAG_SECONDARY
1L15GD,CV,QuikCvs,2872,L15,EMIT_RATE_TABLE_TAG_SECONDARY
1L15GD,NF,QuikNff,2870,L15,EMIT_RATE_TABLE_TAG_SECONDARY
1L15GD,NP,QuikNps,2886,L15,EMIT_RATE_TABLE_TAG_SECONDARY
1L15GD,RV,QuikTvs,2886,L15,EMIT_RATE_TABLE_TAG_SECONDARY
1L16GD,CV,QuikCvs,1682,L16,EMIT_RATE_TABLE_TAG_SECONDARY
1L16GD,DB,QuikDbs,1680,L16,EMIT_RATE_TABLE_TAG_SECONDARY
1L16GD,NF,QuikNff,1680,L16,EMIT_RATE_TABLE_TAG_SECONDARY
1L16GD,NP,QuikNps,1690,L16,EMIT_RATE_TABLE_TAG_SECONDARY
1L16GD,RV,QuikTvs,1690,L16,EMIT_RATE_TABLE_TAG_SECONDARY
1SALOL,CV,QuikCvs,4750,SAL OL,EMIT_RATE_TABLE_TAG_SECONDARY
1SALOL,RV,QuikTvs,4750,SAL OL,EMIT_RATE_TABLE_TAG_SECONDARY
221END,CV,QuikCvs,2165,621 END85,EMIT_RATE_TABLE_TAG_SECONDARY
221END,NP,QuikNps,4370,621 END85,EMIT_RATE_TABLE_TAG_SECONDARY
221END,RV,QuikTvs,4370,621 END85,EMIT_RATE_TABLE_TAG_SECONDARY
222END,CV,QuikCvs,3656,622 END85,EMIT_RATE_TABLE_TAG_SECONDARY
222END,NP,QuikNps,2440,622 END85,EMIT_RATE_TABLE_TAG_SECONDARY
222END,RV,QuikTvs,6710,622 END85,EMIT_RATE_TABLE_TAG_SECONDARY
2665ST,CV,QuikCvs,3479,665 STME95,EMIT_RATE_TABLE_TAG_SECONDARY
2665ST,DB,QuikDbs,5100,665 STME95,EMIT_RATE_TABLE_TAG_SECONDARY
2665ST,NP,QuikNps,7140,665 STME95,EMIT_RATE_TABLE_TAG_SECONDARY
2665ST,PR,QuikGps,117,665 STME95,EMIT_RATE_TABLE_TAG_SECONDARY
2665ST,RV,QuikTvs,7140,665 STME95,EMIT_RATE_TABLE_TAG_SECONDARY
280END,CV,QuikCvs,4143,980 END65,EMIT_RATE_TABLE_TAG_SECONDARY
280END,NP,QuikNps,4200,980 END65,EMIT_RATE_TABLE_TAG_SECONDARY
280END,RV,QuikTvs,4200,980 END65,EMIT_RATE_TABLE_TAG_SECONDARY
2961ME,CV,QuikCvs,4069,961 ME65,EMIT_RATE_TABLE_TAG_SECONDARY
2961ME,NP,QuikNps,4200,961 ME65,EMIT_RATE_TABLE_TAG_SECONDARY
2961ME,RV,QuikTvs,4200,961 ME65,EMIT_RATE_TABLE_TAG_SECONDARY
528CTR,NP,QuikNps,99,828,EMIT_RATE_TABLE_TAG_SECONDARY
528CTR,RV,QuikTvs,1,828,EMIT_RATE_TABLE_TAG_SECONDARY
542STR,NP,QuikNps,2156,8042 STR,EMIT_RATE_TABLE_TAG_SECONDARY
542STR,RV,QuikTvs,88,8042 STR,EMIT_RATE_TABLE_TAG_SECONDARY
543CTR,NP,QuikNps,48,8043 CTR,EMIT_RATE_TABLE_TAG_SECONDARY
543CTR,RV,QuikTvs,2,8043 CTR,EMIT_RATE_TABLE_TAG_SECONDARY
560STR,CV,QuikCvs,930,826,EMIT_RATE_TABLE_TAG_SECONDARY
560STR,NP,QuikNps,1105,826,EMIT_RATE_TABLE_TAG_SECONDARY
560STR,RV,QuikTvs,1071,826,EMIT_RATE_TABLE_TAG_SECONDARY
5646AT,RV,QuikTvs,82,646 ART,EMIT_RATE_TABLE_TAG_SECONDARY
578STR,CV,QuikCvs,1006,1578 SPSPU,EMIT_RATE_TABLE_TAG_SECONDARY
578STR,NP,QuikNps,2226,1578 SPSPU,EMIT_RATE_TABLE_TAG_SECONDARY
578STR,RV,QuikTvs,2018,1578 SPSPU,EMIT_RATE_TABLE_TAG_SECONDARY
5CDT10,NP,QuikNps,144,L10 CDT,EMIT_RATE_TABLE_TAG_SECONDARY
5CDT10,RV,QuikTvs,6,L10 CDT,EMIT_RATE_TABLE_TAG_SECONDARY
5L01MA,NP,QuikNps,134,L01 10Y MA,EMIT_RATE_TABLE_TAG_SECONDARY
5L01MA,PR,QuikGps,9720,L01 10Y MA,EMIT_RATE_TABLE_TAG_SECONDARY
5L01MA,RV,QuikTvs,2,L01 10Y MA,EMIT_RATE_TABLE_TAG_SECONDARY
719CTR,NP,QuikNps,2484,619 CH PU,EMIT_RATE_TABLE_TAG_SECONDARY
719CTR,RV,QuikTvs,46,619 CH PU,EMIT_RATE_TABLE_TAG_SECONDARY
719SDT,NP,QuikNps,4320,619 DT SP,EMIT_RATE_TABLE_TAG_SECONDARY
719SDT,RV,QuikTvs,90,619 DT SP,EMIT_RATE_TABLE_TAG_SECONDARY
7619DT,NP,QuikNps,4148,619 DT,EMIT_RATE_TABLE_TAG_SECONDARY
7619DT,RV,QuikTvs,122,619 DT,EMIT_RATE_TABLE_TAG_SECONDARY
7619PU,NP,QuikNps,4260,619 SPS PU,EMIT_RATE_TABLE_TAG_SECONDARY
7647FP,NP,QuikNps,2450,647 FLP,EMIT_RATE_TABLE_TAG_SECONDARY
7647FP,RV,QuikTvs,2186,647 FLP,EMIT_RATE_TABLE_TAG_SECONDARY
7686S3,DB,QuikDbs,30,686S 30MRG,EMIT_RATE_TABLE_TAG_SECONDARY
7686S3,NP,QuikNps,6120,686S 30MRG,EMIT_RATE_TABLE_TAG_SECONDARY
7686S3,RV,QuikTvs,3402,686S 30MRG,EMIT_RATE_TABLE_TAG_SECONDARY
7687J3,NP,QuikNps,4590,687J 30MRG,EMIT_RATE_TABLE_TAG_SECONDARY
7687J3,RV,QuikTvs,2388,687J 30MRG,EMIT_RATE_TABLE_TAG_SECONDARY
7690DT,NP,QuikNps,2240,690 DT 65,EMIT_RATE_TABLE_TAG_SECONDARY
7690DT,RV,QuikTvs,676,690 DT 65,EMIT_RATE_TABLE_TAG_SECONDARY
778FTR,NP,QuikNps,2551,1578 FTR,EMIT_RATE_TABLE_TAG_SECONDARY
778FTR,RV,QuikTvs,101,1578 FTR,EMIT_RATE_TABLE_TAG_SECONDARY
7SDT10,NP,QuikNps,6468,L10 SDT,EMIT_RATE_TABLE_TAG_SECONDARY
7SDT10,RV,QuikTvs,264,L10 SDT,EMIT_RATE_TABLE_TAG_SECONDARY
9DIS20,PR,QuikGps,10,DISCHO20 B,EMIT_RATE_TABLE_TAG_SECONDARY
9DIS24,PR,QuikGps,10,DISCHO2475,EMIT_RATE_TABLE_TAG_SECONDARY
9DIS25,PR,QuikGps,117,DISCHO25,EMIT_RATE_TABLE_TAG_SECONDARY
9DIS29,PR,QuikGps,10,DISCHO29,EMIT_RATE_TABLE_TAG_SECONDARY
9DIS70,PR,QuikGps,3,DISCHO70,EMIT_RATE_TABLE_TAG_SECONDARY
9DIS80,PR,QuikGps,10,DISCHO80,EMIT_RATE_TABLE_TAG_SECONDARY
9DIS90,PR,QuikGps,117,DISCHO90,EMIT_RATE_TABLE_TAG_SECONDARY
9DS24B,PR,QuikGps,10,DISCHO247B,EMIT_RATE_TABLE_TAG_SECONDARY
9DS24C,PR,QuikGps,10,DISCHO247C,EMIT_RATE_TABLE_TAG_SECONDARY
9L16PF,DB,QuikDbs,5,L16POLFEE,EMIT_RATE_TABLE_TAG_SECONDARY
A60MIR,DB,QuikDbs,1230,863,EMIT_RATE_TABLE_TAG_SECONDARY
A60MIR,NP,QuikNps,2100,863,EMIT_RATE_TABLE_TAG_SECONDARY
A60MIR,RV,QuikTvs,1692,863,EMIT_RATE_TABLE_TAG_SECONDARY
A96DAR,CV,QuikCvs,2040,896 DAR,EMIT_RATE_TABLE_TAG_SECONDARY
A96DAR,RV,QuikTvs,41,896 DAR,EMIT_RATE_TABLE_TAG_SECONDARY
