MPOLICY,DIVISION,DATEPAID,RENEWAL,PREMIUM,MLIFE,MTERM,MSUPP,MANN,MHEALTH,XS,MPAIDTO,MSTDUES,MLCDUES,MPOSTDATE,MSOURCE,MBATCH,USER_ID,MBILLFRM,MMODEPD
    14560K,A,1992-02-03,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1992-01-31,,,,,
    14560K,A,1992-02-28,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1992-02-28,,,,,
    14560K,A,1992-03-31,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1992-03-31,,,,,
    14560K,A,1992-04-29,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1992-04-29,,,,,
    14560K,A,1992-05-29,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1992-05-29,,,,,
    14560K,A,1992-06-30,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1992-06-30,,,,,
    14560K,A,1992-07-31,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1992-07-31,,,,,
    14560K,A,1992-08-31,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1992-08-31,,,,,
    14560K,A,1992-09-30,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1992-09-30,,,,,
    14560K,A,1992-10-30,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1992-10-30,,,,,
    14560K,A,1992-11-30,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1992-11-30,,,,,
    14560K,A,1992-12-31,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1992-12-31,,,,,
    14560K,A,1993-01-29,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1993-01-29,,,,,
    14560K,A,1993-02-26,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1993-02-26,,,,,
    14560K,A,1993-03-31,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1993-03-31,,,,,
    14560K,A,1993-04-30,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1993-04-30,,,,,
    14560K,A,1993-05-27,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1993-05-27,,,,,
    14560K,A,1993-06-29,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1993-06-29,,,,,
    14560K,A,1993-07-30,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1993-07-30,,,,,
    14560K,A,1993-08-31,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1993-08-31,,,,,
    14560K,A,1993-09-30,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1993-09-30,,,,,
    14560K,A,1993-10-29,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1993-10-29,,,,,
    14560K,A,1993-11-29,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1993-11-29,,,,,
    14560K,A,1993-12-31,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1993-12-31,,,,,
    14560K,A,1994-01-31,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1994-01-31,,,,,
    14560K,A,1994-02-28,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1994-02-28,,,,,
    14560K,A,1994-03-31,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1994-03-31,,,,,
    14560K,A,1994-04-29,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1994-04-29,,,,,
    14560K,A,1994-05-31,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1994-05-31,,,,,
    14560K,A,1994-06-30,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1994-06-30,,,,,
    14560K,A,1994-07-29,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1994-07-29,,,,,
    14560K,A,1994-08-31,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1994-08-31,,,,,
    14560K,A,1994-09-30,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1994-09-30,,,,,
    14560K,A,1994-10-31,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1994-10-31,,,,,
    14560K,A,1994-11-30,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1994-11-30,,,,,
    14560K,A,1994-12-31,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1994-12-31,,,,,
    14560K,A,1995-01-31,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1995-01-31,,,,,
    14560K,A,1995-02-28,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1995-02-28,,,,,
    14560K,A,1995-03-31,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1995-03-31,,,,,
    14560K,A,1995-04-28,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1995-04-28,,,,,
    14560K,A,1995-05-31,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1995-05-31,,,,,
    14560K,A,1995-06-30,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1995-06-30,,,,,
    14560K,A,1995-07-31,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1995-07-31,,,,,
    14560K,A,1995-08-31,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1995-08-31,,,,,
    14560K,A,1995-09-29,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1995-09-29,,,,,
    14560K,A,1995-10-31,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1995-10-31,,,,,
    14560K,A,1995-11-30,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1995-11-30,,,,,
    14560K,A,1995-12-31,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1995-12-31,,,,,
    14560K,A,1996-01-31,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1996-01-31,,,,,
    14560K,A,1996-02-29,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1919-02-28,,,,,
    14560K,A,1996-03-29,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1919-03-29,,,,,
    14560K,A,1996-04-30,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1996-04-30,,,,,
    14560K,A,1996-05-31,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1919-05-31,,,,,
    14560K,A,1996-06-28,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1919-06-28,,,,,
    14560K,A,1996-07-31,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1919-07-31,,,,,
    14560K,A,1996-08-30,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1919-08-30,,,,,
    14560K,A,1996-09-30,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1919-09-30,,,,,
    14560K,A,1996-10-31,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1919-10-31,,,,,
    14560K,A,1996-11-29,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1919-11-29,,,,,
    14560K,A,1996-12-31,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1919-12-31,,,,,
    14560K,A,1997-01-31,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1997-01-31,,,,,
    14560K,A,1997-02-28,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1997-02-28,,,,,
    14560K,A,1997-03-31,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1997-03-31,,,,,
    14560K,A,1997-04-30,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1997-04-30,,,,,
    14560K,A,1997-05-30,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1997-05-30,,,,,
    14560K,A,1997-06-30,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1997-06-30,,,,,
    14560K,A,1997-07-31,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1997-07-31,,,,,
    14560K,A,1997-08-29,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1997-08-29,,,,,
    14560K,A,1997-09-30,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1997-09-30,,,,,
    14560K,A,1997-10-31,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1997-10-31,,,,,
    14560K,A,1997-11-28,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1997-11-28,,,,,
    14560K,A,1997-12-31,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1997-12-31,,,,,
    14560K,A,1998-01-30,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1919-01-30,,,,,
    14560K,A,1998-02-27,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1919-02-27,,,,,
    14560K,A,1998-03-31,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1998-03-31,,,,,
    14560K,A,1998-04-30,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1998-04-30,,,,,
    14560K,A,1998-05-29,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1998-05-29,,E,  4,,
    14560K,A,1998-06-30,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1998-06-30,,C,  4,,
    14560K,A,1998-07-30,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1998-07-30,,D,  4,,
    14560K,A,1998-08-31,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1998-08-31,,E,  4,,
    14560K,A,1998-09-30,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1998-09-30,,E,  4,,
    14560K,A,1998-10-30,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1998-10-30,,E,  4,,
    14560K,A,1998-11-30,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1998-11-30,,K,  4,,
    14560K,A,1998-12-31,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1998-12-31,,D,  4,,
    14560K,A,1999-01-31,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1999-01-31,,D,  4,,
    14560K,A,1999-02-26,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1999-02-26,,G,  4,,
    14560K,A,1999-03-24,R,8.25,4.65,0.0,0.0,0.0,0.0,0.0,,2.4,1.2,1999-03-24,,E,  4,,
    14560K,A,1999-03-24,R,0.71,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.1,1999-03-24,,E,  4,,
    14560K,A,1999-03-24,R,0.7,0.41,0.0,0.0,0.0,0.0,-0.01,,0.2,0.1,1999-03-24,,E,  4,,
    14560K,A,2000-02-22,R,2.09,1.19,0.0,0.0,0.0,0.0,0.0,,0.6,0.3,2000-02-29,,A,,,
    14560K,A,2000-08-21,R,9.45,4.65,0.0,0.0,0.0,0.0,0.0,,2.4,2.4,2000-08-21,,A,  4,,
    14560K,A,2001-02-22,R,1.62,0.82,0.0,0.0,0.0,0.0,0.0,,0.4,0.4,2001-02-28,,A,,,
    14560K,A,2001-10-22,R,9.45,4.65,0.0,0.0,0.0,0.0,0.0,,2.4,2.4,2001-10-22,,A,  4,,
    14560K,A,2002-02-22,R,2.39,1.19,0.0,0.0,0.0,0.0,0.0,,0.6,0.6,2002-02-28,,A,,,
    14560K,A,2003-01-21,R,9.45,4.65,0.0,0.0,0.0,0.0,0.0,,2.4,2.4,2003-01-21,,B,  4,,
    14560K,A,2003-02-22,R,0.81,0.41,0.0,0.0,0.0,0.0,0.0,,0.2,0.2,2003-02-28,,B,  1,,
    14560K,A,2004-02-22,R,4.74,2.34,0.0,0.0,0.0,0.0,0.0,,1.2,1.2,2004-02-27,,A,  1,,
    14560K,A,2004-09-03,R,9.45,4.65,0.0,0.0,0.0,4.8,0.0,2005-08-22,2.4,2.4,2004-09-03,,C,  4,,
    14560K,A,2005-02-22,R,2.4,1.19,0.0,0.0,0.0,1.21,0.0,2005-11-22,0.61,0.6,2005-02-22,,A,  1,,
    14560K,A,2006-01-03,R,9.45,4.65,0.0,0.0,0.0,4.8,0.0,2006-11-22,2.4,2.4,2006-01-03,CSH,B,  4,,
    14560K,A,2006-02-22,R,2.4,1.19,0.0,0.0,0.0,1.21,0.0,2007-02-22,0.61,0.6,2006-02-22,DIV,A,  1,1,3
    14560K,A,2007-02-22,R,2.4,1.19,0.0,0.0,0.0,1.21,0.0,2007-05-22,0.61,0.6,2007-02-22,DIV,A,  1,1,3
    14560K,A,2007-06-04,R,9.45,4.65,0.0,0.0,0.0,4.8,0.0,2008-05-22,2.4,2.4,2007-06-04,CSH,A,  7,1,12
    14560K,A,2008-02-22,R,1.64,0.82,0.0,0.0,0.0,0.82,0.0,2008-07-22,0.41,0.41,2008-02-22,DIV,A,  1,1,1
    14560K,A,2008-09-05,R,9.45,4.65,0.0,0.0,0.0,4.8,0.0,2009-07-22,2.4,2.4,2008-09-05,CSH,A,  4,1,12
    14560K,A,2009-02-23,R,1.64,0.82,0.0,0.0,0.0,0.82,0.0,2009-09-22,0.41,0.41,2009-02-23,DIV,A,  1,1,1
    14560K,A,2009-10-07,R,9.45,4.65,0.0,0.0,0.0,4.8,0.0,2010-09-22,2.4,2.4,2009-10-07,CSH,A,  7,1,12
    14560K,A,2010-02-22,R,1.64,0.82,0.0,0.0,0.0,0.82,0.0,2010-11-22,0.41,0.41,2010-02-22,DIV,A,  1,1,1
    14560K,A,2010-12-09,R,9.45,4.65,0.0,0.0,0.0,4.8,0.0,2011-11-22,2.4,2.4,2010-12-09,CSH,A,  7,1,12
    14560K,A,2011-02-22,R,1.64,0.82,0.0,0.0,0.0,0.82,0.0,2012-01-22,0.41,0.41,2011-02-22,DIV,A,  1,1,1
    14560K,A,2012-02-06,R,9.45,4.65,0.0,0.0,0.0,4.8,0.0,2013-01-22,2.4,2.4,2012-02-06,CSH,C,  4,1,12
    14560K,A,2012-02-22,R,0.82,0.41,0.0,0.0,0.0,0.41,0.0,2013-02-22,0.21,0.2,2012-02-22,DIV,A,  1,1,1
    14560K,A,2013-02-22,R,0.82,0.41,0.0,0.0,0.0,0.41,0.0,2013-03-22,0.21,0.2,2013-02-22,DIV,AA,  1,1,1
    14560K,A,2013-03-06,R,9.45,4.65,0.0,0.0,0.0,4.8,0.0,2014-03-22,2.4,2.4,2013-03-06,CSH,AC,  4,1,12
    14560K,A,2014-02-24,R,0.82,0.41,0.0,0.0,0.0,0.41,0.0,2014-04-22,0.21,0.2,2014-02-24,DIV,AA,  1,1,1
    14560K,A,2014-05-05,R,9.45,4.65,0.0,0.0,0.0,4.8,0.0,2015-04-22,2.4,2.4,2014-05-05,CSH,AC,  4,1,12
    14560K,A,2015-02-23,R,0.82,0.82,0.0,0.0,0.0,0.0,0.0,2015-06-22,0.0,0.0,2015-02-23,DIV,AA,  1,1,1
    14560K,A,2015-07-01,R,4.65,4.65,0.0,0.0,0.0,0.0,0.0,2016-06-22,0.0,0.0,2015-07-01,CSH,AD,  4,1,12
    14560K,A,2016-02-22,R,0.41,0.41,0.0,0.0,0.0,0.0,0.0,2016-07-22,0.0,0.0,2016-02-22,DIV,AA,  1,1,1
    14560K,A,2016-09-12,R,4.65,4.65,0.0,0.0,0.0,0.0,0.0,2017-07-22,0.0,0.0,2016-09-12,CSH,AA,  4,1,12
    14560K,A,2017-02-22,R,0.41,0.41,0.0,0.0,0.0,0.0,0.0,2017-08-22,0.0,0.0,2017-02-22,DIV,AA,  1,1,1
    14560K,A,2017-09-05,R,4.65,4.65,0.0,0.0,0.0,0.0,0.0,2018-08-22,0.0,0.0,2017-09-05,CSH,AD,  4,1,12
    14560K,A,2018-02-22,R,0.41,0.41,0.0,0.0,0.0,0.0,0.0,2018-09-22,0.0,0.0,2018-02-22,DIV,AA,  1,1,1
    14560K,A,2018-10-05,R,4.65,4.65,0.0,0.0,0.0,0.0,0.0,2019-09-22,0.0,0.0,2018-10-05,CSH,AA,  4,1,12
    14560K,A,2019-02-22,R,0.41,0.41,0.0,0.0,0.0,0.0,0.0,2019-10-22,0.0,0.0,2019-02-22,DIV,AA, 10,1,1
    14560K,A,2019-11-14,R,4.65,4.65,0.0,0.0,0.0,0.0,0.0,2020-10-22,0.0,0.0,2019-11-14,CSH,AA, 20,1,12
    14560K,A,2020-02-24,R,0.41,0.41,0.0,0.0,0.0,0.0,0.0,2020-11-22,0.0,0.0,2020-02-24,DIV,AA, 10,1,1
    14560K,A,2020-12-14,R,4.65,4.65,0.0,0.0,0.0,0.0,0.0,2021-11-22,0.0,0.0,2020-12-14,CSH,AA,  4,1,12
    14560K,A,2021-02-22,R,0.41,0.41,0.0,0.0,0.0,0.0,0.0,2021-12-22,0.0,0.0,2021-02-22,DIV,AA, 10,1,1
    14560K,A,2021-12-27,R,4.65,4.65,0.0,0.0,0.0,0.0,0.0,2022-12-22,0.0,0.0,2021-12-27,CSH,AC,  4,1,12
    14560K,A,2022-02-22,R,0.41,0.41,0.0,0.0,0.0,0.0,0.0,2023-01-22,0.0,0.0,2022-02-22,DIV,AA, 10,1,1
    14560K,A,2023-02-06,R,4.65,4.65,0.0,0.0,0.0,0.0,0.0,2024-01-22,0.0,0.0,2023-02-06,CSH,AB, 24,1,12
    14560K,A,2023-02-22,R,0.41,0.41,0.0,0.0,0.0,0.0,0.0,2024-02-22,0.0,0.0,2023-02-22,DIV,AA, 10,1,1
    14560K,A,2024-02-22,R,0.82,0.82,0.0,0.0,0.0,0.0,0.0,2024-04-22,0.0,0.0,2024-02-22,DIV,AA, 10,1,1
    14560K,A,2024-05-03,R,4.65,4.65,0.0,0.0,0.0,0.0,0.0,2025-04-22,0.0,0.0,2024-05-03,CSH,AA, 24,1,12
    14560K,A,2025-02-24,R,0.41,0.41,0.0,0.0,0.0,0.0,0.0,2025-05-22,0.0,0.0,2025-02-24,DIV,AA, 10,1,1
    14560K,A,2025-06-02,R,4.65,4.65,0.0,0.0,0.0,0.0,0.0,2026-05-22,0.0,0.0,2025-06-02,CSH,AC, 24,1,12
    14560K,A,2026-02-23,R,0.82,0.82,0.0,0.0,0.0,0.0,0.0,2026-07-22,0.0,0.0,2026-02-23,DIV,AA, 10,1,1
