MPOLICY,LP,first_benh,seed_date,seed_balance,MBENTYP
010760306C,9010760306,20180125,20171227,8998.60,10
010760840C,9010760840,20200225,20071101,186.13,10
010760873C,9010760873,20180915,20170915,8866.85,10
010761966C,9010761966,20180901,20170905,2869.67,10
010762047C,9010762047,20180110,20171208,8309.65,10
010762331C,9010762331,20180828,20170912,3004.70,10
010763063C,9010763063,20180915,20170920,38.95,10
010764348C,9010764348,20180920,20171001,117.69,10
010764379C,9010764379,20181008,20171010,17.63,10
010766057C,9010766057,20180924,20170924,16439.10,10
010766284C,9010766284,20181004,20171004,8561.30,10
010766920C,9010766920,20180928,20171001,57.90,10
010766921C,9010766921,20181001,20171001,87.71,10
010767776C,9010767776,20181101,20171101,183.36,10
010769191C,9010769191,20181101,20171120,763.15,10
010769711C,9010769711,20180202,20171101,32894.87,10
010769714C,9010769714,20181101,20180228,548.37,10
010770719C,9010770719,20181105,20171105,7481.52,10
010770721C,9010770721,20181105,20171105,3247.06,10
010770816C,9010770816,20181111,20171111,13106.16,10
010771111C,9010771111,20181111,20171111,18009.30,10
010771354C,9010771354,20181114,20171114,817.04,10
010772840C,9010772840,20181127,20171201,168.65,10
010772903C,9010772903,20180425,20171201,5688.40,10
010773575C,9010773575,20171204,20170906,7026.97,10
010774107C,9010774107,20180104,20171215,12676.88,10
010774109C,9010774109,20180106,20170107,629.46,10
010775583C,9010775583,20180129,20171228,7584.93,10
010775940C,9010775940,20180101,20170101,8080.17,10
010776157C,9010776157,20180104,20170107,2277.92,10
010776653C,9010776653,20180115,20170115,171.99,10
010776811C,9010776811,20180108,20170108,4531.79,10
010778697C,9010778697,20180122,20170124,496.14,10
010779556C,9010779556,20180128,20170128,6874.32,10
010779563C,9010779563,20180201,20171101,2990.69,10
010782818C,9010782818,20180214,20170301,6875.26,10
010783066C,9010783066,20180212,20170212,726.36,10
010783296C,9010783296,20180304,20170317,965.50,10
010783715C,9010783715,20180227,20170227,14183.84,10
010784248C,9010784248,20180304,20170304,6793.05,10
010784249C,9010784249,20180304,20170304,8927.94,10
010784732C,9010784732,20180703,20170703,58.09,10
010784742C,9010784742,20180309,20170309,3440.69,10
010785049C,9010785049,20180304,20170304,8583.37,10
010785099C,9010785099,20171106,20171006,5071.24,10
010786321C,9010786321,20180320,20170320,5358.26,10
010787669C,9010787669,20180326,20170328,285.07,10
010789531C,9010789531,20180403,20170403,9574.98,10
010789532C,9010789532,20180212,20170412,3008.69,10
010789547C,9010789547,20180118,20171218,13246.81,10
010790531C,9010790531,20180406,20170406,123.68,10
010790532C,9010790532,20180406,20170406,89.77,10
010790754C,9010790754,20180422,20170503,1112.54,10
010790782C,9010790782,20180108,20171208,9150.11,10
010791498C,9010791498,20180501,20170501,4690.00,10
010792541C,9010792541,20180424,20170424,1470.89,10
010792705C,9010792705,20180503,20170503,3216.23,10
010792706C,9010792706,20180503,20170503,2253.49,10
010795699C,9010795699,20180526,20170526,4298.84,10
010796464C,9010796464,20171210,20170610,4587.16,10
010797197C,9010797197,20180610,20170801,2161.89,10
010803025C,9010803025,20180801,20170801,7560.54,10
010803026C,9010803026,20180715,20170715,8116.74,10
010803417C,9010803417,20180104,20171120,13099.76,10
010806606C,9010806606,20180807,20170807,1979.69,10
010807566C,9010807566,20180822,20170822,9245.93,10
010808548C,9010808548,20180901,20170901,10000.18,10
010808831C,9010808831,20251031,20120826,409.14,10
010809317C,9010809317,20180915,20170915,1790.41,10
010809320C,9010809320,20180915,20170915,1302.83,10
010809353C,9010809353,20180912,20170915,52.59,10
010809966C,9010809966,20180214,20170826,4852.56,10
010810194C,9010810194,20180910,20171010,624.01,10
010810271C,9010810271,20180905,20170905,9670.64,10
010810504C,9010810504,20180915,20170915,670.02,10
010810539C,9010810539,20180901,20170901,3263.97,10
010810912C,9010810912,20180610,20170910,5144.15,10
010811204C,9010811204,20180911,20170929,4684.36,10
010811250C,9010811250,20180922,20170922,993.76,10
010811319C,9010811319,20180911,20170911,5307.29,10
010814172C,9010814172,20181001,20171001,1182.19,10
010814968C,9010814968,20171225,20170925,5241.98,10
010816331C,9010816331,20171120,20161120,4002.81,10
010816898C,9010816898,20181021,20171021,42360.11,10
010817415C,9010817415,20181017,20171027,2530.41,10
010817483C,9010817483,20171201,20171101,4041.41,10
010817639C,9010817639,20181120,20171128,518.62,10
010818051C,9010818051,20180129,20171227,6918.04,10
010819271C,9010819271,20171205,20170905,4407.03,10
010819400C,9010819400,20181119,20171119,13895.08,10
010819774C,9010819774,20171224,20170624,6939.87,10
010819960C,9010819960,20181115,20171204,26.97,10
010819961C,9010819961,20181115,20171204,26.47,10
010821381C,9010821381,20180115,20170115,2347.92,10
010822238C,9010822238,20180115,20171220,8373.99,10
010826097C,9010826097,20180114,20171219,10817.99,10
010826133C,9010826133,20180115,20170115,13838.16,10
010827081C,9010827081,20180211,20170211,14016.47,10
010827507C,9010827507,20180127,20170130,5277.95,10
010827528C,9010827528,20180203,20170203,1260.99,10
010827575C,9010827575,20230221,20220221,42.81,10
010827674C,9010827674,20180102,20170202,3379.81,10
010828368C,9010828368,20180203,20170203,4190.32,10
010831478C,9010831478,20180303,20170317,1384.63,10
010832626C,9010832626,20180312,20170312,4434.04,10
010832740C,9010832740,20180423,20170505,5191.21,10
010833382C,9010833382,20180123,20171227,8025.09,10
010833467C,9010833467,20180313,20170313,5710.95,10
010834414C,9010834414,20180326,20170326,2617.86,10
010834430C,9010834430,20180214,20171205,10616.95,10
010834689C,9010834689,20180501,20170531,2594.29,10
010834690C,9010834690,20180501,20170531,1550.48,10
010838863C,9010838863,20180129,20171227,839.24,10
010839784C,9010839784,20180714,20170714,7135.17,10
010841782C,9010841782,20180312,20171228,2814.51,10
010841783C,9010841783,20180615,20170615,5104.08,10
010842016C,9010842016,20180701,20170701,14344.96,10
010842017C,9010842017,20180701,20170701,13585.38,10
010842291C,9010842291,20180611,20170611,5195.29,10
010842863C,9010842863,20180617,20170617,7362.73,10
010844322C,9010844322,20171201,20171101,20710.75,10
010847191C,9010847191,20180801,20170814,1343.51,10
010847570C,9010847570,20180801,20170801,1028.14,10
010847571C,9010847571,20180801,20170801,795.65,10
010848255C,9010848255,20180108,20171204,4587.80,10
010848256C,9010848256,20180108,20171204,4134.43,10
010848292C,9010848292,20180401,20171001,2454.91,10
010851112C,9010851112,20180819,20180219,66.02,10
010851148C,9010851148,20180830,20170913,3106.94,10
010851847C,9010851847,20180907,20170907,7676.77,10
010852709C,9010852709,20180504,20170929,4891.41,10
010852748C,9010852748,20181116,20171128,1352.44,10
010853070C,9010853070,20180916,20170916,3999.36,10
010853285C,9010853285,20180916,20170928,6164.55,10
010854307C,9010854307,20180110,20171211,5410.22,10
010855657C,9010855657,20180326,20171001,459.61,10
010855945C,9010855945,20180123,20171218,3787.72,10
010856188C,9010856188,20181006,20171006,1527.85,10
010856189C,9010856189,20181006,20171006,1209.56,10
010856925C,9010856925,20181013,20171017,8617.35,10
010858099C,9010858099,20181020,20171020,24277.86,10
010858124C,9010858124,20181020,20171020,3505.49,10
010858434C,9010858434,20181023,20171023,1038.12,10
010858435C,9010858435,20181023,20171023,886.21,10
010860471C,9010860471,20181103,20171103,5097.51,10
010860472C,9010860472,20180425,20171106,17045.28,10
010863788C,9010863788,20180104,20171201,6651.57,10
010866396C,9010866396,20180123,20171227,2646.26,10
010870474C,9010870474,20180106,20170106,12018.28,10
010872105C,9010872105,20180119,20170119,3755.22,10
010872404C,9010872404,20180122,20170122,1227.49,10
010872406C,9010872406,20180122,20170122,1315.49,10
010873155C,9010873155,20180126,20170209,3634.80,10
010873283C,9010873283,20180123,20170215,164.10,10
010877009C,9010877009,20180127,20170127,3509.31,10
010878099C,9010878099,20180211,20170211,1810.94,10
010880257C,9010880257,20180302,20170302,3554.23,10
010880362C,9010880362,20180303,20170303,1643.89,10
010881272C,9010881272,20180225,20170411,3233.08,10
010882408C,9010882408,20180307,20170316,342.73,10
010883172C,9010883172,20180314,20170314,1270.93,10
010883244C,9010883244,20180314,20170314,1006.19,10
010887927C,9010887927,20171108,20171008,1535.69,10
010887929C,9010887929,20171108,20171008,1909.29,10
010891075C,9010891075,20180501,20170501,11705.49,10
010892327C,9010892327,20180418,20170626,966.76,10
010892695C,9010892695,20180105,20171205,6070.95,10
010895934C,9010895934,20180509,20170509,2181.40,10
010895935C,9010895935,20180130,20171115,1273.09,10
010895936C,9010895936,20180130,20171115,1273.09,10
010897662C,9010897662,20180520,20170520,2706.18,10
010897663C,9010897663,20180520,20170520,1164.75,10
010897664C,9010897664,20180320,20170520,7082.04,10
010899709C,9010899709,20180129,20171228,183.99,10
010899715C,9010899715,20180129,20171227,478.15,10
010899716C,9010899716,20180129,20171228,21.58,10
010899761C,9010899761,20180129,20171228,168.75,10
010900512C,9010900512,20180601,20170719,3153.60,10
010901657C,9010901657,20171201,20170601,1298.43,10
010904808C,9010904808,20180613,20170613,1559.08,10
010904809C,9010904809,20180613,20170613,1391.67,10
010904810C,9010904810,20180613,20170613,1494.36,10
010908068C,9010908068,20180701,20170701,2828.55,10
010913059C,9010913059,20180115,20170715,267.24,10
010913799C,9010913799,20180724,20170724,1803.70,10
010917231C,9010917231,20180118,20171204,5410.75,10
010917599C,9010917599,20180803,20170803,783.52,10
010917600C,9010917600,20180803,20171110,691.85,10
010920186C,9010920186,20180102,20171122,4327.42,10
010924660C,9010924660,20180829,20170906,8286.06,10
010927421C,9010927421,20180420,20171106,11465.22,10
010928495C,9010928495,20171201,20171101,56.33,10
010928497C,9010928497,20180501,20171101,5568.25,10
010928498C,9010928498,20180302,20171218,5910.36,10
010928507C,9010928507,20181001,20171001,4420.16,10
010928775C,9010928775,20180104,20171204,13017.86,10
010933488C,9010933488,20181005,20171031,1893.31,10
010937087C,9010937087,20181017,20171020,701.22,10
010937735C,9010937735,20181020,20171020,4615.81,10
010942246C,9010942246,20181110,20171213,3668.87,10
010946647C,9010946647,20181213,20171227,998.68,10
010949672C,9010949672,20180110,20171213,2920.76,10
010951159C,9010951159,20180111,20171219,1926.66,10
010953834C,9010953834,20171227,20161227,6097.00,10
010956144C,9010956144,20180113,20170120,8075.00,10
010956145C,9010956145,20180113,20170120,8069.70,10
010968283C,9010968283,20180224,20170824,7611.58,10
010969329C,9010969329,20180221,20170222,5373.41,10
010979005C,9010979005,20180404,20170404,1652.54,10
010985597C,9010985597,20180501,20170501,208.63,10
010987089C,9010987089,20180509,20170509,4441.33,10
010994968C,9010994968,20180113,20170713,188.65,10
010995983C,9010995983,20180801,20170801,2627.19,10
010995984C,9010995984,20180801,20170801,2627.10,10
011000000C,9011000000,20171207,20170911,824.11,10
011003108C,9011003108,20180801,20171001,3783.75,10
011005435C,9011005435,20180209,20171009,5368.11,10
011006697C,9011006697,20171113,20161113,588.74,10
011008708C,9011008708,20180115,20171213,13709.85,10
011010387C,9011010387,20180126,20171227,4273.54,10
011014578C,9011014578,20180216,20171107,5319.96,10
011029547C,9011029547,20171201,20161201,2601.72,10
011042400C,9011042400,20180116,20170716,2509.00,10
011042625C,9011042625,20220101,20090701,63.92,10
011045768C,9011045768,20180918,20170918,1053.37,10
011045769C,9011045769,20180918,20170918,1267.01,10
011047682C,9011047682,20181104,20171104,1233.03,10
011047683C,9011047683,20181104,20171104,1109.78,10
011047684C,9011047684,20181104,20171104,1144.67,10
011050803C,9011050803,20180110,20170110,896.77,10
011050804C,9011050804,20180110,20170110,896.77,10
011051851C,9011051851,20180202,20170815,4835.30,10
011052581C,9011052581,20180207,20170210,158.43,10
011053428C,9011053428,20180108,20171208,1975.93,10
011057904C,9011057904,20180524,20170524,5164.92,10
011059421C,9011059421,20180717,20170717,7684.91,10
011060710C,9011060710,20180714,20170714,3474.08,10
011061607C,9011061607,20180202,20171109,2386.02,10
011066023C,9011066023,20180101,20170101,423.84,10
011068750C,9011068750,20180301,20170301,915.46,10
011068751C,9011068751,20180301,20170301,812.46,10
011075595C,9011075595,20180727,20170727,2480.86,10
011075596C,9011075596,20180727,20170727,817.35,10
011075754C,9011075754,20180803,20170821,968.19,10
011075863C,9011075863,20180826,20170826,1190.98,10
011078262C,9011078262,20181002,20171002,2006.24,10
011078891C,9011078891,20180121,20171021,145.28,10
011081463C,9011081463,20180106,20170106,2554.34,10
011081464C,9011081464,20180201,20170201,1783.75,10
011081465C,9011081465,20180111,20170111,591.02,10
011087127C,9011087127,20180407,20170407,5890.23,10
011087128C,9011087128,20180110,20171212,4553.79,10
011087230C,9011087230,20180412,20170501,1688.26,10
011089397C,9011089397,20180102,20171201,7.97,10
011092549C,9011092549,20171109,20171009,290.16,10
011095330C,9011095330,20180108,20171208,5677.92,10
011095851C,9011095851,20180110,20171211,1386.87,10
011096068C,9011096068,20180901,20170901,3256.73,10
011101578C,9011101578,20171229,20171228,772.01,10
011102270C,9011102270,20171117,20171017,13669.12,10
011104064C,9011104064,20180118,20170122,109.22,10
011105008C,9011105008,20180105,20171206,1759.25,10
011105232C,9011105232,20180207,20170207,4686.76,10
011105523C,9011105523,20180213,20170217,2160.12,10
011105839C,9011105839,20180220,20170220,4213.39,10
011106598C,9011106598,20180202,20170207,2033.16,10
011109446C,9011109446,20180501,20170717,16097.48,10
011109994C,9011109994,20180601,20170601,9639.67,10
011113250C,9011113250,20180620,20170620,3791.79,10
011114950C,9011114950,20180712,20170714,689.27,10
011118555C,9011118555,20180914,20170914,1006.92,10
011118615C,9011118615,20180913,20170913,7369.57,10
011129883C,9011129883,20180105,20171117,207.63,10
011130547C,9011130547,20171201,20171101,995.54,10
011135494C,9011135494,20180405,20170405,6108.51,10
011139474C,9011139474,20180601,20170601,11960.65,10
011139778C,9011139778,20180314,20170314,399.85,10
011140185C,9011140185,20180422,20170328,665.79,10
011140516C,9011140516,20180401,20170401,2547.93,10
011140652C,9011140652,20180401,20170401,2326.76,10
011141382C,9011141382,20180105,20171205,1614.55,10
011145429C,9011145429,20180520,20170520,11085.91,10
011148847C,9011148847,20180628,20170701,44.07,10
011151209C,9011151209,20180805,20170805,6414.42,10
011151436C,9011151436,20180808,20170913,6.33,10
011152459C,9011152459,20180901,20171011,2465.86,10
011154752C,9011154752,20181001,20171001,1448.06,10
011154852C,9011154852,20180227,20180129,6391.26,10
011158068C,9011158068,20181101,20171101,2540.75,10
011158069C,9011158069,20181128,20171201,30.60,10
011158071C,9011158071,20181128,20171201,26.98,10
011162203C,9011162203,20180127,20171027,316.15,10
011175485C,9011175485,20180422,20170422,169.99,10
011177899C,9011177899,20240416,20060116,0.05,10
011178455C,9011178455,20180227,20170501,1403.69,10
011179153C,9011179153,20171108,20171008,2784.94,10
011179371C,9011179371,20180122,20170607,55.30,10
011181080C,9011181080,20180710,20170710,2707.99,10
011183653C,9011183653,20180813,20170813,4885.39,10
011183936C,9011183936,20180117,20171204,2478.97,10
011184753C,9011184753,20171109,20171009,619.49,10
011185002C,9011185002,20171101,20171001,1513.59,10
011185059C,9011185059,20180128,20171028,2379.41,10
011185943C,9011185943,20171201,20171101,2511.88,10
011185944C,9011185944,20171110,20171010,11.76,10
011187300C,9011187300,20180120,20170120,2797.32,10
011188288C,9011188288,20180104,20170109,265.22,10
011189530C,9011189530,20180302,20170315,79.66,10
011189851C,9011189851,20171102,20171002,645.17,10
011190146C,9011190146,20180403,20170403,7873.98,10
011190668C,9011190668,20171217,20170917,421.60,10
011191513C,9011191513,20180402,20170402,2955.12,10
011191779C,9011191779,20180417,20170417,9444.60,10
011192121C,9011192121,20180423,20170504,150.42,10
011193165C,9011193165,20180622,20170622,2852.55,10
011193674C,9011193674,20171107,20171007,1631.13,10
011194768C,9011194768,20180201,20170726,3160.81,10
011195139C,9011195139,20180104,20170104,5853.89,10
011195201C,9011195201,20180101,20170515,4196.26,10
011196444C,9011196444,20171102,20171002,437.12,10
011196445C,9011196445,20171102,20171002,434.56,10
011197220C,9011197220,20180815,20170815,4914.21,10
011197244C,9011197244,20180824,20170824,5440.80,10
011198246C,9011198246,20180216,20171201,2110.22,10
011198305C,9011198305,20181215,20171215,2028.19,10
011198306C,9011198306,20181215,20171215,1859.04,10
011198765C,9011198765,20180401,20170401,13984.00,10
011198799C,9011198799,20180129,20171228,906.30,10
011198845C,9011198845,20180401,20170501,3092.46,10
011198951C,9011198951,20180403,20170407,26.74,10
011198997C,9011198997,20171228,20170628,1413.59,10
011199549C,9011199549,20180501,20170510,110.44,10
011199612C,9011199612,20180105,20171205,441.99,10
011200008C,9011200008,20180101,20171001,16720.00,10
011200196C,9011200196,20180117,20171218,4196.41,10
011200570C,9011200570,20181101,20171101,3389.00,10
011200872C,9011200872,20180907,20170907,6711.24,10
011202381C,9011202381,20180112,20171212,1901.46,10
011203371C,9011203371,20171113,20171013,2310.10,10
011203455C,9011203455,20180213,20170213,2198.11,10
011203456C,9011203456,20180213,20170213,3308.86,10
011203598C,9011203598,20171105,20171005,1323.09,10
011206410C,9011206410,20171120,20171020,392.86,10
011206644C,9011206644,20171201,20171101,242.99,10
011207112C,9011207112,20180101,20171001,321.99,10
011207113C,9011207113,20171124,20170924,1211.49,10
011207114C,9011207114,20180101,20171001,334.04,10
011207115C,9011207115,20180101,20171001,335.36,10
011207116C,9011207116,20180101,20171001,216.59,10
011207117C,9011207117,20180101,20171001,163.16,10
011208787C,9011208787,20181216,20171216,11064.15,10
011209064C,9011209064,20180104,20170105,165.60,10
011209262C,9011209262,20180107,20171211,2565.04,10
011209916C,9011209916,20180226,20170826,833.20,10
011210149C,9011210149,20180226,20170320,1097.01,10
011210768C,9011210768,20180301,20170301,1849.61,10
011210769C,9011210769,20180301,20170301,950.15,10
011211134C,9011211134,20180410,20170610,10.16,10
011211326C,9011211326,20180105,20171205,8829.11,10
011212602C,9011212602,20180131,20171207,10198.44,10
011214223C,9011214223,20171124,20171024,6950.76,10
011214731C,9011214731,20180706,20170806,5056.50,10
011215080C,9011215080,20171121,20171021,886.48,10
011215081C,9011215081,20171121,20171021,886.48,10
011215550C,9011215550,20171227,20171220,1185.04,10
011216498C,9011216498,20171201,20171101,899.61,10
011219517C,9011219517,20171113,20171013,6039.79,10
011221537C,9011221537,20180228,20170228,3338.74,10
011226273C,9011226273,20180122,20171220,1159.07,10
011226579C,9011226579,20180501,20171101,370.26,10
011227604C,9011227604,20171231,20171127,1723.19,10
011229737C,9011229737,20180703,20170731,25.33,10
011229738C,9011229738,20180703,20170731,29.61,10
011230767C,9011230767,20180125,20171225,8008.11,10
011232775C,9011232775,20180728,20170728,239.24,10
011232776C,9011232776,20180728,20170728,239.24,10
011235627C,9011235627,20180212,20171113,4092.71,10
011240164C,9011240164,20180827,20171204,2931.87,10
011243732C,9011243732,20181118,20171118,1484.75,10
011244378C,9011244378,20181118,20171206,407.78,10
011246246C,9011246246,20181204,20171204,4697.81,10
011249830C,9011249830,20180101,20171101,634.89,10
011249831C,9011249831,20180101,20171101,637.64,10
011250566C,9011250566,20171021,20170927,1425.08,10
011251166C,9011251166,20171201,20171101,2164.85,10
011251167C,9011251167,20171201,20171101,2164.85,10
011253007C,9011253007,20180406,20170415,178.84,10
011255665C,9011255665,20180101,20171001,45.20,10
011257037C,9011257037,20180125,20171227,7834.29,10
011257863C,9011257863,20180601,20170601,4413.39,10
011262630C,9011262630,20180108,20171208,3373.94,10
011262631C,9011262631,20180108,20171208,2728.85,10
011262825C,9011262825,20180801,20170821,1002.88,10
011263126C,9011263126,20180828,20170828,461.90,10
011263511C,9011263511,20180803,20170803,76.65,10
011267253C,9011267253,20171216,20171006,1145.14,10
011268761C,9011268761,20181101,20171101,186.39,10
011269166C,9011269166,20171110,20170810,89.01,10
011269263C,9011269263,20180109,20171211,2614.56,10
011269382C,9011269382,20181128,20171212,4617.58,10
011273881C,9011273881,20180214,20170214,2081.32,10
011273882C,9011273882,20180214,20170214,2351.38,10
011274754C,9011274754,20171104,20171004,469.65,10
011274755C,9011274755,20171104,20171004,469.65,10
011275503C,9011275503,20180119,20171212,1816.53,10
015000171C,9015000171,20180110,20171207,2589.25,10
015000466C,9015000466,20180107,20171218,2083.23,10
