reconstructed_claim_id,canonical_payment_stage_id,payment_sequence,distribution_type,payee_distribution_status,equal_split_detected,beneficiary_name_id,relationship_code,confidence_level
RC-9010367438-1-DEATH_CLAIM-C0-20211110,CPS-RC-9010367438-1-DEATH_CLAIM-C0-20211110-P3,3,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,711406,PE,HIGH_CONFIDENCE
RC-9010376540-1-DEATH_CLAIM-C0-20181014,CPS-RC-9010376540-1-DEATH_CLAIM-C0-20181014-P1,1,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,N,701011,PE,MODERATE_CONFIDENCE
RC-9010376540-1-DEATH_CLAIM-C0-20181014,CPS-RC-9010376540-1-DEATH_CLAIM-C0-20181014-P2,2,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,N,701011,B1,MODERATE_CONFIDENCE
RC-9010385491-1-DEATH_CLAIM-C0-20190501,CPS-RC-9010385491-1-DEATH_CLAIM-C0-20190501-P1,1,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,N,696567,PE,HIGH_CONFIDENCE
RC-9010385491-1-DEATH_CLAIM-C0-20190501,CPS-RC-9010385491-1-DEATH_CLAIM-C0-20190501-P2,2,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,N,696568,PE,HIGH_CONFIDENCE
RC-9010385491-1-DEATH_CLAIM-C0-20190501,CPS-RC-9010385491-1-DEATH_CLAIM-C0-20190501-P3,3,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,N,696569,PE,HIGH_CONFIDENCE
RC-9010385491-1-DEATH_CLAIM-C0-20190501,CPS-RC-9010385491-1-DEATH_CLAIM-C0-20190501-P4,4,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,N,696570,PE,HIGH_CONFIDENCE
RC-9010392763-1-DEATH_CLAIM-C0-20220408,CPS-RC-9010392763-1-DEATH_CLAIM-C0-20220408-P1,1,TRUSTEE_ROUTED,TRUSTEE_MANAGED_DISTRIBUTION,Y,704465,PW,MODERATE_CONFIDENCE
RC-9010392763-1-DEATH_CLAIM-C0-20220408,CPS-RC-9010392763-1-DEATH_CLAIM-C0-20220408-P2,2,TRUSTEE_ROUTED,TRUSTEE_MANAGED_DISTRIBUTION,Y,704465,PW,MODERATE_CONFIDENCE
RC-9010392763-1-DEATH_CLAIM-C0-20220408,CPS-RC-9010392763-1-DEATH_CLAIM-C0-20220408-P3,3,TRUSTEE_ROUTED,TRUSTEE_MANAGED_DISTRIBUTION,Y,704465,PW,MODERATE_CONFIDENCE
RC-9010392763-1-DEATH_CLAIM-C0-20220408,CPS-RC-9010392763-1-DEATH_CLAIM-C0-20220408-P4,4,TRUSTEE_ROUTED,TRUSTEE_MANAGED_DISTRIBUTION,Y,704465,PW,MODERATE_CONFIDENCE
RC-9010395879-1-DEATH_CLAIM-C0-20230114,CPS-RC-9010395879-1-DEATH_CLAIM-C0-20230114-P1,1,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,587905,PE,HIGH_CONFIDENCE
RC-9010395879-1-DEATH_CLAIM-C0-20230114,CPS-RC-9010395879-1-DEATH_CLAIM-C0-20230114-P2,2,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,712147,PE,HIGH_CONFIDENCE
RC-9010395879-1-DEATH_CLAIM-C0-20230114,CPS-RC-9010395879-1-DEATH_CLAIM-C0-20230114-P3,3,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,712149,PE,HIGH_CONFIDENCE
RC-9010395879-1-DEATH_CLAIM-C0-20230114,CPS-RC-9010395879-1-DEATH_CLAIM-C0-20230114-P4,4,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,712150,PE,HIGH_CONFIDENCE
RC-9010395879-1-DEATH_CLAIM-C0-20230114,CPS-RC-9010395879-1-DEATH_CLAIM-C0-20230114-P5,5,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,712151,PE,HIGH_CONFIDENCE
RC-9010395879-1-DEATH_CLAIM-C0-20230114,CPS-RC-9010395879-1-DEATH_CLAIM-C0-20230114-P6,6,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,712152,PE,HIGH_CONFIDENCE
RC-9010395879-1-DEATH_CLAIM-C0-20230114,CPS-RC-9010395879-1-DEATH_CLAIM-C0-20230114-P7,7,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,712153,PE,HIGH_CONFIDENCE
RC-9010397318-1-DEATH_CLAIM-C0-20200409,CPS-RC-9010397318-1-DEATH_CLAIM-C0-20200409-P1,1,TRUSTEE_ROUTED,TRUSTEE_MANAGED_DISTRIBUTION,N,707078,PW,MODERATE_CONFIDENCE
RC-9010397318-1-DEATH_CLAIM-C0-20200409,CPS-RC-9010397318-1-DEATH_CLAIM-C0-20200409-P2,2,TRUSTEE_ROUTED,TRUSTEE_MANAGED_DISTRIBUTION,N,707078,PW,MODERATE_CONFIDENCE
RC-9010398274-1-DEATH_CLAIM-C0-20240313,CPS-RC-9010398274-1-DEATH_CLAIM-C0-20240313-P1,1,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,712804,PE,HIGH_CONFIDENCE
RC-9010398274-1-DEATH_CLAIM-C0-20240313,CPS-RC-9010398274-1-DEATH_CLAIM-C0-20240313-P2,2,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,712805,PE,HIGH_CONFIDENCE
RC-9010398274-1-DEATH_CLAIM-C0-20240313,CPS-RC-9010398274-1-DEATH_CLAIM-C0-20240313-P3,3,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,712806,PE,HIGH_CONFIDENCE
RC-9010398274-1-DEATH_CLAIM-C0-20240313,CPS-RC-9010398274-1-DEATH_CLAIM-C0-20240313-P4,4,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,712807,PE,HIGH_CONFIDENCE
RC-9010398591-1-DEATH_CLAIM-C0-20190827,CPS-RC-9010398591-1-DEATH_CLAIM-C0-20190827-P1,1,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,587967,PE,HIGH_CONFIDENCE
RC-9010398591-1-DEATH_CLAIM-C0-20190827,CPS-RC-9010398591-1-DEATH_CLAIM-C0-20190827-P2,2,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,697223,PE,HIGH_CONFIDENCE
RC-9010398591-1-DEATH_CLAIM-C0-20190827,CPS-RC-9010398591-1-DEATH_CLAIM-C0-20190827-P3,3,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,697224,PE,HIGH_CONFIDENCE
RC-9010398591-1-DEATH_CLAIM-C0-20190827,CPS-RC-9010398591-1-DEATH_CLAIM-C0-20190827-P4,4,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,697225,PE,HIGH_CONFIDENCE
RC-9010398591-1-DEATH_CLAIM-C0-20190827,CPS-RC-9010398591-1-DEATH_CLAIM-C0-20190827-P5,5,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,697226,PE,HIGH_CONFIDENCE
RC-9010398591-1-DEATH_CLAIM-C0-20190827,CPS-RC-9010398591-1-DEATH_CLAIM-C0-20190827-P6,6,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,697227,PE,HIGH_CONFIDENCE
RC-9010398591-1-DEATH_CLAIM-C0-20190827,CPS-RC-9010398591-1-DEATH_CLAIM-C0-20190827-P7,7,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,697228,PE,HIGH_CONFIDENCE
RC-9010398591-1-DEATH_CLAIM-C0-20190827,CPS-RC-9010398591-1-DEATH_CLAIM-C0-20190827-P8,8,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,697229,PE,HIGH_CONFIDENCE
RC-9010398591-1-DEATH_CLAIM-C0-20190827,CPS-RC-9010398591-1-DEATH_CLAIM-C0-20190827-P9,9,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,697230,PE,HIGH_CONFIDENCE
RC-9010403922-1-DEATH_CLAIM-C0-20240412,CPS-RC-9010403922-1-DEATH_CLAIM-C0-20240412-P1,1,TRUSTEE_ROUTED,TRUSTEE_MANAGED_DISTRIBUTION,N,709992,PW,MODERATE_CONFIDENCE
RC-9010406795-1-DEATH_CLAIM-C0-20180706,CPS-RC-9010406795-1-DEATH_CLAIM-C0-20180706-P1,1,TRUSTEE_ROUTED,TRUSTEE_MANAGED_DISTRIBUTION,N,691613,PW,MODERATE_CONFIDENCE
RC-9010407533-1-DEATH_CLAIM-C0-20250911,CPS-RC-9010407533-1-DEATH_CLAIM-C0-20250911-P1,1,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,588108,PE,HIGH_CONFIDENCE
RC-9010407533-1-DEATH_CLAIM-C0-20250911,CPS-RC-9010407533-1-DEATH_CLAIM-C0-20250911-P2,2,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,588109,PE,HIGH_CONFIDENCE
RC-9010407533-1-DEATH_CLAIM-C0-20250911,CPS-RC-9010407533-1-DEATH_CLAIM-C0-20250911-P3,3,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,695259,PE,HIGH_CONFIDENCE
RC-9010407533-1-DEATH_CLAIM-C0-20250911,CPS-RC-9010407533-1-DEATH_CLAIM-C0-20250911-P4,4,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,695260,PE,HIGH_CONFIDENCE
RC-9010410714-1-DEATH_CLAIM-C0-20190611,CPS-RC-9010410714-1-DEATH_CLAIM-C0-20190611-P1,1,TRUSTEE_ROUTED,TRUSTEE_MANAGED_DISTRIBUTION,N,693737,PW,MODERATE_CONFIDENCE
RC-9010411499-1-DEATH_CLAIM-C0-20200830,CPS-RC-9010411499-1-DEATH_CLAIM-C0-20200830-P1,1,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,N,711170,PE,HIGH_CONFIDENCE
RC-9010411499-1-DEATH_CLAIM-C0-20200830,CPS-RC-9010411499-1-DEATH_CLAIM-C0-20200830-P2,2,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,N,697780,B1,HIGH_CONFIDENCE
RC-9010411727-1-DEATH_CLAIM-C0-20190315,CPS-RC-9010411727-1-DEATH_CLAIM-C0-20190315-P1,1,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,707149,PE,HIGH_CONFIDENCE
RC-9010411727-1-DEATH_CLAIM-C0-20190315,CPS-RC-9010411727-1-DEATH_CLAIM-C0-20190315-P2,2,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,707150,PE,HIGH_CONFIDENCE
RC-9010415834-1-DEATH_CLAIM-C0-20200601,CPS-RC-9010415834-1-DEATH_CLAIM-C0-20200601-P1,1,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,N,710287,PE,MODERATE_CONFIDENCE
RC-9010415834-1-DEATH_CLAIM-C0-20200601,CPS-RC-9010415834-1-DEATH_CLAIM-C0-20200601-P2,2,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,N,697811,B1,MODERATE_CONFIDENCE
RC-9010426858-1-DEATH_CLAIM-C0-20181213,CPS-RC-9010426858-1-DEATH_CLAIM-C0-20181213-P1,1,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,N,706008,PE,HIGH_CONFIDENCE
RC-9010426858-1-DEATH_CLAIM-C0-20181213,CPS-RC-9010426858-1-DEATH_CLAIM-C0-20181213-P2,2,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,N,709116,PE,HIGH_CONFIDENCE
RC-9010426961-1-DEATH_CLAIM-C0-20260125,CPS-RC-9010426961-1-DEATH_CLAIM-C0-20260125-P1,1,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,N,689369,PE,HIGH_CONFIDENCE
RC-9010426961-1-DEATH_CLAIM-C0-20260125,CPS-RC-9010426961-1-DEATH_CLAIM-C0-20260125-P2,2,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,N,692073,PE,HIGH_CONFIDENCE
RC-9010428771-1-DEATH_CLAIM-C0-20200311,CPS-RC-9010428771-1-DEATH_CLAIM-C0-20200311-P1,1,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,N,703174,PE,MODERATE_CONFIDENCE
RC-9010428771-1-DEATH_CLAIM-C0-20200311,CPS-RC-9010428771-1-DEATH_CLAIM-C0-20200311-P2,2,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,N,703174,B1,MODERATE_CONFIDENCE
RC-9010429259-1-DEATH_CLAIM-C0-20200707,CPS-RC-9010429259-1-DEATH_CLAIM-C0-20200707-P1,1,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,697976,PE,HIGH_CONFIDENCE
RC-9010429259-1-DEATH_CLAIM-C0-20200707,CPS-RC-9010429259-1-DEATH_CLAIM-C0-20200707-P2,2,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,697977,PE,HIGH_CONFIDENCE
RC-9010429259-1-DEATH_CLAIM-C0-20200707,CPS-RC-9010429259-1-DEATH_CLAIM-C0-20200707-P3,3,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,710004,PE,HIGH_CONFIDENCE
RC-9010433786-1-DEATH_CLAIM-C0-20180514,CPS-RC-9010433786-1-DEATH_CLAIM-C0-20180514-P1,1,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,N,645951,PE,MODERATE_CONFIDENCE
RC-9010433786-1-DEATH_CLAIM-C0-20180514,CPS-RC-9010433786-1-DEATH_CLAIM-C0-20180514-P2,2,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,N,698100,PE,MODERATE_CONFIDENCE
RC-9010434747-1-DEATH_CLAIM-C0-20190326,CPS-RC-9010434747-1-DEATH_CLAIM-C0-20190326-P1,1,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,643553,PE,HIGH_CONFIDENCE
RC-9010434747-1-DEATH_CLAIM-C0-20190326,CPS-RC-9010434747-1-DEATH_CLAIM-C0-20190326-P2,2,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,643554,PE,HIGH_CONFIDENCE
RC-9010434747-1-DEATH_CLAIM-C0-20190326,CPS-RC-9010434747-1-DEATH_CLAIM-C0-20190326-P3,3,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,643556,PE,HIGH_CONFIDENCE
RC-9010434747-1-DEATH_CLAIM-C0-20190326,CPS-RC-9010434747-1-DEATH_CLAIM-C0-20190326-P4,4,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,643557,PE,HIGH_CONFIDENCE
RC-9010434747-1-DEATH_CLAIM-C1-20190719,CPS-RC-9010434747-1-DEATH_CLAIM-C1-20190719-P1,1,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,643553,PE,HIGH_CONFIDENCE
RC-9010434747-1-DEATH_CLAIM-C1-20190719,CPS-RC-9010434747-1-DEATH_CLAIM-C1-20190719-P2,2,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,643554,PE,HIGH_CONFIDENCE
RC-9010434747-1-DEATH_CLAIM-C1-20190719,CPS-RC-9010434747-1-DEATH_CLAIM-C1-20190719-P3,3,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,643556,PE,HIGH_CONFIDENCE
RC-9010434747-1-DEATH_CLAIM-C1-20190719,CPS-RC-9010434747-1-DEATH_CLAIM-C1-20190719-P4,4,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,643557,PE,HIGH_CONFIDENCE
RC-9010434876-1-DEATH_CLAIM-C0-20230302,CPS-RC-9010434876-1-DEATH_CLAIM-C0-20230302-P1,1,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,N,680881,PE,MODERATE_CONFIDENCE
RC-9010434876-1-DEATH_CLAIM-C0-20230302,CPS-RC-9010434876-1-DEATH_CLAIM-C0-20230302-P2,2,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,N,701923,PE,MODERATE_CONFIDENCE
RC-9010434876-1-DEATH_CLAIM-C0-20230302,CPS-RC-9010434876-1-DEATH_CLAIM-C0-20230302-P3,3,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,N,704960,PE,MODERATE_CONFIDENCE
RC-9010434876-1-DEATH_CLAIM-C0-20230302,CPS-RC-9010434876-1-DEATH_CLAIM-C0-20230302-P4,4,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,N,704961,PE,MODERATE_CONFIDENCE
RC-9010436691-1-DEATH_CLAIM-C0-20201203,CPS-RC-9010436691-1-DEATH_CLAIM-C0-20201203-P1,1,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,N,686338,PE,HIGH_CONFIDENCE
RC-9010436691-1-DEATH_CLAIM-C0-20201203,CPS-RC-9010436691-1-DEATH_CLAIM-C0-20201203-P2,2,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,N,698195,PE,HIGH_CONFIDENCE
RC-9010436955-1-DEATH_CLAIM-C0-20230930,CPS-RC-9010436955-1-DEATH_CLAIM-C0-20230930-P1,1,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,698204,PE,HIGH_CONFIDENCE
RC-9010436955-1-DEATH_CLAIM-C0-20230930,CPS-RC-9010436955-1-DEATH_CLAIM-C0-20230930-P2,2,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,698205,PE,HIGH_CONFIDENCE
RC-9010438821-1-DEATH_CLAIM-C0-20190402,CPS-RC-9010438821-1-DEATH_CLAIM-C0-20190402-P1,1,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,709399,PE,HIGH_CONFIDENCE
RC-9010438821-1-DEATH_CLAIM-C0-20190402,CPS-RC-9010438821-1-DEATH_CLAIM-C0-20190402-P2,2,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,709400,PE,HIGH_CONFIDENCE
RC-9010438821-1-DEATH_CLAIM-C0-20190402,CPS-RC-9010438821-1-DEATH_CLAIM-C0-20190402-P3,3,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,709401,PE,HIGH_CONFIDENCE
RC-9010438821-1-DEATH_CLAIM-C0-20190402,CPS-RC-9010438821-1-DEATH_CLAIM-C0-20190402-P4,4,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,709402,PE,HIGH_CONFIDENCE
RC-9010438821-1-DEATH_CLAIM-C0-20190402,CPS-RC-9010438821-1-DEATH_CLAIM-C0-20190402-P5,5,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,709413,PE,HIGH_CONFIDENCE
RC-9010440345-1-DEATH_CLAIM-C0-20220822,CPS-RC-9010440345-1-DEATH_CLAIM-C0-20220822-P1,1,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,698287,PE,HIGH_CONFIDENCE
RC-9010440345-1-DEATH_CLAIM-C0-20220822,CPS-RC-9010440345-1-DEATH_CLAIM-C0-20220822-P2,2,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,698288,PE,HIGH_CONFIDENCE
RC-9010440370-1-DEATH_CLAIM-C0-20220129,CPS-RC-9010440370-1-DEATH_CLAIM-C0-20220129-P1,1,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,698291,PE,HIGH_CONFIDENCE
RC-9010440370-1-DEATH_CLAIM-C0-20220129,CPS-RC-9010440370-1-DEATH_CLAIM-C0-20220129-P2,2,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,698292,PE,HIGH_CONFIDENCE
RC-9010440370-1-DEATH_CLAIM-C0-20220129,CPS-RC-9010440370-1-DEATH_CLAIM-C0-20220129-P3,3,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,698293,PE,HIGH_CONFIDENCE
RC-9010441927-1-DEATH_CLAIM-C0-20210221,CPS-RC-9010441927-1-DEATH_CLAIM-C0-20210221-P1,1,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,N,592720,PE,HIGH_CONFIDENCE
RC-9010441927-1-DEATH_CLAIM-C0-20210221,CPS-RC-9010441927-1-DEATH_CLAIM-C0-20210221-P2,2,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,N,698372,PE,HIGH_CONFIDENCE
RC-9010445131-1-DEATH_CLAIM-C0-20201201,CPS-RC-9010445131-1-DEATH_CLAIM-C0-20201201-P1,1,TRUSTEE_ROUTED,TRUSTEE_MANAGED_DISTRIBUTION,N,705266,PW,MODERATE_CONFIDENCE
RC-9010445719-1-DEATH_CLAIM-C0-20180329,CPS-RC-9010445719-1-DEATH_CLAIM-C0-20180329-P1,1,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,690685,PE,HIGH_CONFIDENCE
RC-9010445719-1-DEATH_CLAIM-C0-20180329,CPS-RC-9010445719-1-DEATH_CLAIM-C0-20180329-P2,2,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,690749,PE,HIGH_CONFIDENCE
RC-9010445719-1-DEATH_CLAIM-C0-20180329,CPS-RC-9010445719-1-DEATH_CLAIM-C0-20180329-P3,3,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,690750,PE,HIGH_CONFIDENCE
RC-9010445719-1-DEATH_CLAIM-C0-20180329,CPS-RC-9010445719-1-DEATH_CLAIM-C0-20180329-P4,4,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,690751,PE,HIGH_CONFIDENCE
RC-9010449512-1-DEATH_CLAIM-C0-20200418,CPS-RC-9010449512-1-DEATH_CLAIM-C0-20200418-P1,1,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,588962,PE,HIGH_CONFIDENCE
RC-9010449512-1-DEATH_CLAIM-C0-20200418,CPS-RC-9010449512-1-DEATH_CLAIM-C0-20200418-P2,2,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,687105,PE,HIGH_CONFIDENCE
RC-9010449559-1-DEATH_CLAIM-C0-20190126,CPS-RC-9010449559-1-DEATH_CLAIM-C0-20190126-P1,1,TRUSTEE_ROUTED,TRUSTEE_MANAGED_DISTRIBUTION,N,698611,PW,MODERATE_CONFIDENCE
RC-9010452516-1-DEATH_CLAIM-C0-20190323,CPS-RC-9010452516-1-DEATH_CLAIM-C0-20190323-P1,1,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,684375,PE,HIGH_CONFIDENCE
RC-9010452516-1-DEATH_CLAIM-C0-20190323,CPS-RC-9010452516-1-DEATH_CLAIM-C0-20190323-P2,2,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,684376,PE,HIGH_CONFIDENCE
RC-9010454002-1-DEATH_CLAIM-C0-20230424,CPS-RC-9010454002-1-DEATH_CLAIM-C0-20230424-P1,1,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,N,589082,PE,HIGH_CONFIDENCE
RC-9010454002-1-DEATH_CLAIM-C0-20230424,CPS-RC-9010454002-1-DEATH_CLAIM-C0-20230424-P2,2,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,N,589082,B1,HIGH_CONFIDENCE
RC-9010457291-1-DEATH_CLAIM-C0-20211126,CPS-RC-9010457291-1-DEATH_CLAIM-C0-20211126-P1,1,TRUSTEE_ROUTED,TRUSTEE_MANAGED_DISTRIBUTION,N,707101,PW,MODERATE_CONFIDENCE
RC-9010459653-1-DEATH_CLAIM-C0-20240313,CPS-RC-9010459653-1-DEATH_CLAIM-C0-20240313-P1,1,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,708842,PE,HIGH_CONFIDENCE
RC-9010459653-1-DEATH_CLAIM-C0-20240313,CPS-RC-9010459653-1-DEATH_CLAIM-C0-20240313-P2,2,SEQUENTIAL_SPLIT,MULTI_BENEFICIARY_SPLIT,Y,708843,PE,HIGH_CONFIDENCE
