canonical_residual_stage_id,reconstructed_claim_id,policy_number,enhanced_settlement_group_id,residual_type,residual_amount,residual_reason,gap_direction,decomposition_status,balancing_status,payee_distribution_status,canonical_status,confidence_level,derivation_lineage,production_dbf_flag
CRS-RC-9010368703-2-DEATH_CLAIM-C0-20210114,RC-9010368703-2-DEATH_CLAIM-C0-20210114,9010368703,ESG-9010368703-RC-9010368703-2-DEATH_CLAIM-C0-20210114-SOLO,UNRESOLVED_PAYEE_RESIDUAL,6019.86,UNRESOLVED_PAYEE;PARTIAL_DECOMPOSITION,PAYOUT_SHORTFALL,PARTIAL_DECOMPOSITION,UNBALANCED,PAYEE_UNRESOLVED,RESIDUAL_PENDING,LOW_CONFIDENCE,RC-9010368703-2-DEATH_CLAIM-C0-20210114,N
CRS-RC-9010371171-1-DEATH_CLAIM-C0-20240624,RC-9010371171-1-DEATH_CLAIM-C0-20240624,9010371171,ESG-9010371171-RC-9010371171-1-DEATH_CLAIM-C0-20240624-SOLO,PAYOUT_EXCESS_RESIDUAL,-6404.01,PARTIAL_DECOMPOSITION,PAYOUT_EXCESS,PARTIAL_DECOMPOSITION,UNBALANCED,SINGLE_PAYEE_MATCH,RESIDUAL_PENDING,HIGH_CONFIDENCE,RC-9010371171-1-DEATH_CLAIM-C0-20240624,N
CRS-RC-9010371171-2-DEATH_CLAIM-C0-20240624,RC-9010371171-2-DEATH_CLAIM-C0-20240624,9010371171,ESG-9010371171-RC-9010371171-2-DEATH_CLAIM-C0-20240624-SOLO,UNRESOLVED_PAYEE_RESIDUAL,6381.68,UNRESOLVED_PAYEE;PARTIAL_DECOMPOSITION,PAYOUT_SHORTFALL,PARTIAL_DECOMPOSITION,UNBALANCED,PAYEE_UNRESOLVED,RESIDUAL_PENDING,LOW_CONFIDENCE,RC-9010371171-2-DEATH_CLAIM-C0-20240624,N
CRS-RC-9010374779-1-DEATH_CLAIM-C0-20200530,RC-9010374779-1-DEATH_CLAIM-C0-20200530,9010374779,ESG-9010374779-RC-9010374779-1-DEATH_CLAIM-C0-20200530-SOLO,PAYOUT_EXCESS_RESIDUAL,-4005.43,PARTIAL_DECOMPOSITION,PAYOUT_EXCESS,PARTIAL_DECOMPOSITION,UNBALANCED,SINGLE_PAYEE_MATCH,RESIDUAL_PENDING,HIGH_CONFIDENCE,RC-9010374779-1-DEATH_CLAIM-C0-20200530,N
CRS-RC-9010374779-2-DEATH_CLAIM-C0-20200530,RC-9010374779-2-DEATH_CLAIM-C0-20200530,9010374779,ESG-9010374779-RC-9010374779-2-DEATH_CLAIM-C0-20200530-SOLO,UNRESOLVED_PAYEE_RESIDUAL,4005.43,UNRESOLVED_PAYEE;PARTIAL_DECOMPOSITION,PAYOUT_SHORTFALL,PARTIAL_DECOMPOSITION,UNBALANCED,PAYEE_UNRESOLVED,RESIDUAL_PENDING,LOW_CONFIDENCE,RC-9010374779-2-DEATH_CLAIM-C0-20200530,N
CRS-RC-9010376540-1-DEATH_CLAIM-C0-20181014,RC-9010376540-1-DEATH_CLAIM-C0-20181014,9010376540,ESG-9010376540-RC-9010376540-1-DEATH_CLAIM-C0-20181014-SOLO,PAYOUT_EXCESS_RESIDUAL,-1697.22,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,PAYOUT_EXCESS,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,UNBALANCED,MULTI_BENEFICIARY_SPLIT,RESIDUAL_PENDING,MODERATE_CONFIDENCE,RC-9010376540-1-DEATH_CLAIM-C0-20181014,N
CRS-RC-9010376540-1-DEATH_CLAIM-C1-20190220,RC-9010376540-1-DEATH_CLAIM-C1-20190220,9010376540,ESG-9010376540-RC-9010376540-1-DEATH_CLAIM-C1-20190220-SOLO,PAYOUT_EXCESS_RESIDUAL,-5810.61,RESIDUAL_REMAINS,PAYOUT_EXCESS,RESIDUAL_REMAINS,UNBALANCED,SINGLE_PAYEE_MATCH,RESIDUAL_PENDING,HIGH_CONFIDENCE,RC-9010376540-1-DEATH_CLAIM-C1-20190220,N
CRS-RC-9010376540-2-DEATH_CLAIM-C0-20181014,RC-9010376540-2-DEATH_CLAIM-C0-20181014,9010376540,ESG-9010376540-RC-9010376540-2-DEATH_CLAIM-C0-20181014-SOLO,UNRESOLVED_PAYEE_RESIDUAL,7507.83,UNRESOLVED_PAYEE;PARTIAL_DECOMPOSITION,PAYOUT_SHORTFALL,PARTIAL_DECOMPOSITION,UNBALANCED,PAYEE_UNRESOLVED,RESIDUAL_PENDING,LOW_CONFIDENCE,RC-9010376540-2-DEATH_CLAIM-C0-20181014,N
CRS-RC-9010378710-1-DEATH_CLAIM-C0-20210210,RC-9010378710-1-DEATH_CLAIM-C0-20210210,9010378710,ESG-9010378710-RC-9010378710-1-DEATH_CLAIM-C0-20210210-SOLO,PAYOUT_EXCESS_RESIDUAL,-1715.85,PARTIAL_DECOMPOSITION,PAYOUT_EXCESS,PARTIAL_DECOMPOSITION,UNBALANCED,SINGLE_PAYEE_MATCH,RESIDUAL_PENDING,INFERRED,RC-9010378710-1-DEATH_CLAIM-C0-20210210,N
CRS-RC-9010378710-2-DEATH_CLAIM-C0-20210210,RC-9010378710-2-DEATH_CLAIM-C0-20210210,9010378710,ESG-9010378710-RC-9010378710-2-DEATH_CLAIM-C0-20210210-SOLO,UNRESOLVED_PAYEE_RESIDUAL,1715.85,UNRESOLVED_PAYEE;PARTIAL_DECOMPOSITION,PAYOUT_SHORTFALL,PARTIAL_DECOMPOSITION,UNBALANCED,PAYEE_UNRESOLVED,RESIDUAL_PENDING,LOW_CONFIDENCE,RC-9010378710-2-DEATH_CLAIM-C0-20210210,N
CRS-RC-9010378829-1-DEATH_CLAIM-C0-20210829,RC-9010378829-1-DEATH_CLAIM-C0-20210829,9010378829,ESG-9010378829-RC-9010378829-1-DEATH_CLAIM-C0-20210829-SOLO,PAYOUT_EXCESS_RESIDUAL,-2174.45,PARTIAL_DECOMPOSITION,PAYOUT_EXCESS,PARTIAL_DECOMPOSITION,UNBALANCED,SINGLE_PAYEE_MATCH,RESIDUAL_PENDING,HIGH_CONFIDENCE,RC-9010378829-1-DEATH_CLAIM-C0-20210829,N
CRS-RC-9010378829-2-DEATH_CLAIM-C0-20210829,RC-9010378829-2-DEATH_CLAIM-C0-20210829,9010378829,ESG-9010378829-RC-9010378829-2-DEATH_CLAIM-C0-20210829-SOLO,UNRESOLVED_PAYEE_RESIDUAL,2174.45,UNRESOLVED_PAYEE;PARTIAL_DECOMPOSITION,PAYOUT_SHORTFALL,PARTIAL_DECOMPOSITION,UNBALANCED,PAYEE_UNRESOLVED,RESIDUAL_PENDING,LOW_CONFIDENCE,RC-9010378829-2-DEATH_CLAIM-C0-20210829,N
CRS-RC-9010382520-1-DEATH_CLAIM-C0-20200820,RC-9010382520-1-DEATH_CLAIM-C0-20200820,9010382520,ESG-9010382520-RC-9010382520-1-DEATH_CLAIM-C0-20200820-SOLO,PAYOUT_EXCESS_RESIDUAL,-2807.24,PARTIAL_DECOMPOSITION,PAYOUT_EXCESS,PARTIAL_DECOMPOSITION,UNBALANCED,SINGLE_PAYEE_MATCH,RESIDUAL_PENDING,HIGH_CONFIDENCE,RC-9010382520-1-DEATH_CLAIM-C0-20200820,N
CRS-RC-9010382520-3-DEATH_CLAIM-C0-20200820,RC-9010382520-3-DEATH_CLAIM-C0-20200820,9010382520,ESG-9010382520-RC-9010382520-3-DEATH_CLAIM-C0-20200820-SOLO,UNRESOLVED_PAYEE_RESIDUAL,2807.24,UNRESOLVED_PAYEE;PARTIAL_DECOMPOSITION,PAYOUT_SHORTFALL,PARTIAL_DECOMPOSITION,UNBALANCED,PAYEE_UNRESOLVED,RESIDUAL_PENDING,LOW_CONFIDENCE,RC-9010382520-3-DEATH_CLAIM-C0-20200820,N
CRS-RC-9010382931-1-DEATH_CLAIM-C0-20220210,RC-9010382931-1-DEATH_CLAIM-C0-20220210,9010382931,ESG-9010382931-RC-9010382931-1-DEATH_CLAIM-C0-20220210-SOLO,PAYOUT_EXCESS_RESIDUAL,-7290.3,PARTIAL_DECOMPOSITION,PAYOUT_EXCESS,PARTIAL_DECOMPOSITION,UNBALANCED,SINGLE_PAYEE_MATCH,RESIDUAL_PENDING,HIGH_CONFIDENCE,RC-9010382931-1-DEATH_CLAIM-C0-20220210,N
CRS-RC-9010382931-2-DEATH_CLAIM-C0-20220210,RC-9010382931-2-DEATH_CLAIM-C0-20220210,9010382931,ESG-9010382931-RC-9010382931-2-DEATH_CLAIM-C0-20220210-SOLO,UNRESOLVED_PAYEE_RESIDUAL,7603.4,UNRESOLVED_PAYEE;PARTIAL_DECOMPOSITION,PAYOUT_SHORTFALL,PARTIAL_DECOMPOSITION,UNBALANCED,PAYEE_UNRESOLVED,RESIDUAL_PENDING,LOW_CONFIDENCE,RC-9010382931-2-DEATH_CLAIM-C0-20220210,N
CRS-RC-9010385491-1-DEATH_CLAIM-C0-20190501,RC-9010385491-1-DEATH_CLAIM-C0-20190501,9010385491,ESG-9010385491-RC-9010385491-1-DEATH_CLAIM-C0-20190501-SOLO,PAYOUT_EXCESS_RESIDUAL,-999.48,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,PAYOUT_EXCESS,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,UNBALANCED,MULTI_BENEFICIARY_SPLIT,RESIDUAL_PENDING,HIGH_CONFIDENCE,RC-9010385491-1-DEATH_CLAIM-C0-20190501,N
CRS-RC-9010385491-1-DEATH_CLAIM-C1-20210707,RC-9010385491-1-DEATH_CLAIM-C1-20210707,9010385491,ESG-9010385491-RC-9010385491-1-DEATH_CLAIM-C1-20210707-SOLO,PAYOUT_EXCESS_RESIDUAL,-5999.58,RESIDUAL_REMAINS,PAYOUT_EXCESS,RESIDUAL_REMAINS,UNBALANCED,SINGLE_PAYEE_MATCH,RESIDUAL_PENDING,HIGH_CONFIDENCE,RC-9010385491-1-DEATH_CLAIM-C1-20210707,N
CRS-RC-9010385491-2-DEATH_CLAIM-C0-20190501,RC-9010385491-2-DEATH_CLAIM-C0-20190501,9010385491,ESG-9010385491-RC-9010385491-2-DEATH_CLAIM-C0-20190501-SOLO,UNRESOLVED_PAYEE_RESIDUAL,6999.06,UNRESOLVED_PAYEE;PARTIAL_DECOMPOSITION,PAYOUT_SHORTFALL,PARTIAL_DECOMPOSITION,UNBALANCED,PAYEE_UNRESOLVED,RESIDUAL_PENDING,LOW_CONFIDENCE,RC-9010385491-2-DEATH_CLAIM-C0-20190501,N
CRS-RC-9010389651-1-DEATH_CLAIM-C0-20240727,RC-9010389651-1-DEATH_CLAIM-C0-20240727,9010389651,ESG-9010389651-RC-9010389651-1-DEATH_CLAIM-C0-20240727-SOLO,PAYOUT_EXCESS_RESIDUAL,-11421.18,PARTIAL_DECOMPOSITION,PAYOUT_EXCESS,PARTIAL_DECOMPOSITION,UNBALANCED,SINGLE_PAYEE_MATCH,RESIDUAL_PENDING,HIGH_CONFIDENCE,RC-9010389651-1-DEATH_CLAIM-C0-20240727,N
CRS-RC-9010389651-2-DEATH_CLAIM-C0-20240727,RC-9010389651-2-DEATH_CLAIM-C0-20240727,9010389651,ESG-9010389651-RC-9010389651-2-DEATH_CLAIM-C0-20240727-SOLO,UNRESOLVED_PAYEE_RESIDUAL,11421.18,UNRESOLVED_PAYEE;PARTIAL_DECOMPOSITION,PAYOUT_SHORTFALL,PARTIAL_DECOMPOSITION,UNBALANCED,PAYEE_UNRESOLVED,RESIDUAL_PENDING,LOW_CONFIDENCE,RC-9010389651-2-DEATH_CLAIM-C0-20240727,N
CRS-RC-9010391359-1-DEATH_CLAIM-C0-20211119,RC-9010391359-1-DEATH_CLAIM-C0-20211119,9010391359,ESG-9010391359-RC-9010391359-1-DEATH_CLAIM-C0-20211119-SOLO,PAYOUT_SHORTFALL_RESIDUAL,739.94,CLEARING_ONLY_DISTORTION,PAYOUT_SHORTFALL,CLEARING_ONLY_DISTORTION,UNBALANCED,SINGLE_PAYEE_MATCH,RESIDUAL_PENDING,HIGH_CONFIDENCE,RC-9010391359-1-DEATH_CLAIM-C0-20211119,N
CRS-RC-9010391359-2-DEATH_CLAIM-C0-20211119,RC-9010391359-2-DEATH_CLAIM-C0-20211119,9010391359,ESG-9010391359-RC-9010391359-2-DEATH_CLAIM-C0-20211119-SOLO,UNRESOLVED_PAYEE_RESIDUAL,1118.65,UNRESOLVED_PAYEE;PARTIAL_DECOMPOSITION,PAYOUT_SHORTFALL,PARTIAL_DECOMPOSITION,UNBALANCED,PAYEE_UNRESOLVED,RESIDUAL_PENDING,LOW_CONFIDENCE,RC-9010391359-2-DEATH_CLAIM-C0-20211119,N
CRS-RC-9010391359-3-DEATH_CLAIM-C0-20211119,RC-9010391359-3-DEATH_CLAIM-C0-20211119,9010391359,ESG-9010391359-RC-9010391359-3-DEATH_CLAIM-C0-20211119-SOLO,UNRESOLVED_PAYEE_RESIDUAL,0.0,UNRESOLVED_PAYEE;CLEARING_ONLY_DISTORTION,NONE,CLEARING_ONLY_DISTORTION,BALANCED,PAYEE_UNRESOLVED,RESIDUAL_PENDING,LOW_CONFIDENCE,RC-9010391359-3-DEATH_CLAIM-C0-20211119,N
CRS-RC-9010392763-1-DEATH_CLAIM-C0-20220408,RC-9010392763-1-DEATH_CLAIM-C0-20220408,9010392763,ESG-9010392763-RC-9010392763-1-DEATH_CLAIM-C0-20220408-SOLO,PAYOUT_EXCESS_RESIDUAL,-910.01,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,PAYOUT_EXCESS,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,UNBALANCED,TRUSTEE_MANAGED_DISTRIBUTION,RESIDUAL_PENDING,MODERATE_CONFIDENCE,RC-9010392763-1-DEATH_CLAIM-C0-20220408,N
CRS-RC-9010392763-2-DEATH_CLAIM-C0-20220408,RC-9010392763-2-DEATH_CLAIM-C0-20220408,9010392763,ESG-9010392763-RC-9010392763-2-DEATH_CLAIM-C0-20220408-SOLO,UNRESOLVED_PAYEE_RESIDUAL,910.01,UNRESOLVED_PAYEE;PARTIAL_DECOMPOSITION,PAYOUT_SHORTFALL,PARTIAL_DECOMPOSITION,UNBALANCED,PAYEE_UNRESOLVED,RESIDUAL_PENDING,LOW_CONFIDENCE,RC-9010392763-2-DEATH_CLAIM-C0-20220408,N
CRS-RC-9010393158-1-DEATH_CLAIM-C0-20210207,RC-9010393158-1-DEATH_CLAIM-C0-20210207,9010393158,ESG-9010393158-RC-9010393158-1-DEATH_CLAIM-C0-20210207-SOLO,PAYOUT_EXCESS_RESIDUAL,-5314.7,PARTIAL_DECOMPOSITION,PAYOUT_EXCESS,PARTIAL_DECOMPOSITION,UNBALANCED,SINGLE_PAYEE_MATCH,RESIDUAL_PENDING,HIGH_CONFIDENCE,RC-9010393158-1-DEATH_CLAIM-C0-20210207,N
CRS-RC-9010393158-2-DEATH_CLAIM-C0-20210207,RC-9010393158-2-DEATH_CLAIM-C0-20210207,9010393158,ESG-9010393158-RC-9010393158-2-DEATH_CLAIM-C0-20210207-SOLO,UNRESOLVED_PAYEE_RESIDUAL,5295.97,UNRESOLVED_PAYEE;PARTIAL_DECOMPOSITION,PAYOUT_SHORTFALL,PARTIAL_DECOMPOSITION,UNBALANCED,PAYEE_UNRESOLVED,RESIDUAL_PENDING,LOW_CONFIDENCE,RC-9010393158-2-DEATH_CLAIM-C0-20210207,N
CRS-RC-9010394249-1-DEATH_CLAIM-C0-20240916,RC-9010394249-1-DEATH_CLAIM-C0-20240916,9010394249,ESG-9010394249-RC-9010394249-1-DEATH_CLAIM-C0-20240916-SOLO,PAYOUT_EXCESS_RESIDUAL,-6179.15,PARTIAL_DECOMPOSITION,PAYOUT_EXCESS,PARTIAL_DECOMPOSITION,UNBALANCED,SINGLE_PAYEE_MATCH,RESIDUAL_PENDING,HIGH_CONFIDENCE,RC-9010394249-1-DEATH_CLAIM-C0-20240916,N
CRS-RC-9010394249-2-DEATH_CLAIM-C0-20240916,RC-9010394249-2-DEATH_CLAIM-C0-20240916,9010394249,ESG-9010394249-RC-9010394249-2-DEATH_CLAIM-C0-20240916-SOLO,UNRESOLVED_PAYEE_RESIDUAL,6142.86,UNRESOLVED_PAYEE;PARTIAL_DECOMPOSITION,PAYOUT_SHORTFALL,PARTIAL_DECOMPOSITION,UNBALANCED,PAYEE_UNRESOLVED,RESIDUAL_PENDING,LOW_CONFIDENCE,RC-9010394249-2-DEATH_CLAIM-C0-20240916,N
CRS-RC-9010394662-1-DEATH_CLAIM-C0-20211009,RC-9010394662-1-DEATH_CLAIM-C0-20211009,9010394662,ESG-9010394662-RC-9010394662-1-DEATH_CLAIM-C0-20211009-SOLO,PAYOUT_EXCESS_RESIDUAL,-2011.4,PARTIAL_DECOMPOSITION,PAYOUT_EXCESS,PARTIAL_DECOMPOSITION,UNBALANCED,SINGLE_PAYEE_MATCH,RESIDUAL_PENDING,HIGH_CONFIDENCE,RC-9010394662-1-DEATH_CLAIM-C0-20211009,N
CRS-RC-9010394662-2-DEATH_CLAIM-C0-20211009,RC-9010394662-2-DEATH_CLAIM-C0-20211009,9010394662,ESG-9010394662-RC-9010394662-2-DEATH_CLAIM-C0-20211009-SOLO,UNRESOLVED_PAYEE_RESIDUAL,2011.4,UNRESOLVED_PAYEE;PARTIAL_DECOMPOSITION,PAYOUT_SHORTFALL,PARTIAL_DECOMPOSITION,UNBALANCED,PAYEE_UNRESOLVED,RESIDUAL_PENDING,LOW_CONFIDENCE,RC-9010394662-2-DEATH_CLAIM-C0-20211009,N
CRS-RC-9010395382-1-DEATH_CLAIM-C0-20240528,RC-9010395382-1-DEATH_CLAIM-C0-20240528,9010395382,ESG-9010395382-RC-9010395382-1-DEATH_CLAIM-C0-20240528-SOLO,PAYOUT_SHORTFALL_RESIDUAL,6498.69,CLEARING_ONLY_DISTORTION,PAYOUT_SHORTFALL,CLEARING_ONLY_DISTORTION,UNBALANCED,SINGLE_PAYEE_MATCH,RESIDUAL_PENDING,HIGH_CONFIDENCE,RC-9010395382-1-DEATH_CLAIM-C0-20240528,N
CRS-RC-9010395382-2-DEATH_CLAIM-C0-20240528,RC-9010395382-2-DEATH_CLAIM-C0-20240528,9010395382,ESG-9010395382-RC-9010395382-2-DEATH_CLAIM-C0-20240528-SOLO,UNRESOLVED_PAYEE_RESIDUAL,9795.0,UNRESOLVED_PAYEE;PARTIAL_DECOMPOSITION,PAYOUT_SHORTFALL,PARTIAL_DECOMPOSITION,UNBALANCED,PAYEE_UNRESOLVED,RESIDUAL_PENDING,LOW_CONFIDENCE,RC-9010395382-2-DEATH_CLAIM-C0-20240528,N
CRS-RC-9010395878-1-DEATH_CLAIM-C0-20180113,RC-9010395878-1-DEATH_CLAIM-C0-20180113,9010395878,ESG-9010395878-RC-9010395878-1-DEATH_CLAIM-C0-20180113-SOLO,PAYOUT_EXCESS_RESIDUAL,-3289.62,PARTIAL_DECOMPOSITION,PAYOUT_EXCESS,PARTIAL_DECOMPOSITION,UNBALANCED,SINGLE_PAYEE_MATCH,RESIDUAL_PENDING,HIGH_CONFIDENCE,RC-9010395878-1-DEATH_CLAIM-C0-20180113,N
CRS-RC-9010395878-2-DEATH_CLAIM-C0-20180113,RC-9010395878-2-DEATH_CLAIM-C0-20180113,9010395878,ESG-9010395878-RC-9010395878-2-DEATH_CLAIM-C0-20180113-SOLO,UNRESOLVED_PAYEE_RESIDUAL,3289.62,UNRESOLVED_PAYEE;PARTIAL_DECOMPOSITION,PAYOUT_SHORTFALL,PARTIAL_DECOMPOSITION,UNBALANCED,PAYEE_UNRESOLVED,RESIDUAL_PENDING,LOW_CONFIDENCE,RC-9010395878-2-DEATH_CLAIM-C0-20180113,N
CRS-RC-9010395879-1-DEATH_CLAIM-C0-20230114,RC-9010395879-1-DEATH_CLAIM-C0-20230114,9010395879,ESG-9010395879-RC-9010395879-1-DEATH_CLAIM-C0-20230114-SOLO,PAYOUT_EXCESS_RESIDUAL,-568.26,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,PAYOUT_EXCESS,NEEDS_PAYEE_DISTRIBUTION_ANALYSIS,UNBALANCED,MULTI_BENEFICIARY_SPLIT,RESIDUAL_PENDING,HIGH_CONFIDENCE,RC-9010395879-1-DEATH_CLAIM-C0-20230114,N
CRS-RC-9010395879-2-DEATH_CLAIM-C0-20230114,RC-9010395879-2-DEATH_CLAIM-C0-20230114,9010395879,ESG-9010395879-RC-9010395879-2-DEATH_CLAIM-C0-20230114-SOLO,UNRESOLVED_PAYEE_RESIDUAL,568.26,UNRESOLVED_PAYEE;PARTIAL_DECOMPOSITION,PAYOUT_SHORTFALL,PARTIAL_DECOMPOSITION,UNBALANCED,PAYEE_UNRESOLVED,RESIDUAL_PENDING,LOW_CONFIDENCE,RC-9010395879-2-DEATH_CLAIM-C0-20230114,N
CRS-RC-9010396147-1-DEATH_CLAIM-C0-20250106,RC-9010396147-1-DEATH_CLAIM-C0-20250106,9010396147,ESG-9010396147-RC-9010396147-1-DEATH_CLAIM-C0-20250106-SOLO,PAYOUT_EXCESS_RESIDUAL,-5117.83,PARTIAL_DECOMPOSITION,PAYOUT_EXCESS,PARTIAL_DECOMPOSITION,UNBALANCED,SINGLE_PAYEE_MATCH,RESIDUAL_PENDING,HIGH_CONFIDENCE,RC-9010396147-1-DEATH_CLAIM-C0-20250106,N
CRS-RC-9010396147-2-DEATH_CLAIM-C0-20250106,RC-9010396147-2-DEATH_CLAIM-C0-20250106,9010396147,ESG-9010396147-RC-9010396147-2-DEATH_CLAIM-C0-20250106-SOLO,UNRESOLVED_PAYEE_RESIDUAL,5117.83,UNRESOLVED_PAYEE;PARTIAL_DECOMPOSITION,PAYOUT_SHORTFALL,PARTIAL_DECOMPOSITION,UNBALANCED,PAYEE_UNRESOLVED,RESIDUAL_PENDING,LOW_CONFIDENCE,RC-9010396147-2-DEATH_CLAIM-C0-20250106,N
