MPLAN,MEFFDATE,MINTRATE,MINTRATE1,PFSA_PLAN,PLAN_NAME
A108SP,20200101,2.5,2.5,107,"Promo Annuity: ROTH & SEP IRA's $100 - $9,999"
A108SP,20210101,2.0,2.0,107,"Promo Annuity: ROTH & SEP IRA's $100 - $9,999"
A108SP,20230101,2.5,3.0,107,"Promo Annuity: ROTH & SEP IRA's $100 - $9,999"
A108SP,20240101,3.0,4.5,107,"Promo Annuity: ROTH & SEP IRA's $100 - $9,999"
A108SP,20250101,3.0,5.0,107,"Promo Annuity: ROTH & SEP IRA's $100 - $9,999"
A108SP,20260101,3.0,6.0,107,"Promo Annuity: ROTH & SEP IRA's $100 - $9,999"
A109IM,19000101,3.0,3.0,207,Immediate Annuity
A109IM,20200101,2.0,2.0,207,Immediate Annuity
A93ULP,19000101,3.0,3.0,93,Single Premium Annuity/IRA
A94FCL,19000101,3.0,3.0,94,Flexible Annuity/IRA
A94FLP,19000101,3.0,3.0,94,Flexible Annuity/IRA
A94SLP,19000101,3.0,3.0,94,Flexible Annuity/IRA
A94UCL,19000101,3.0,3.0,94,Flexible Annuity/IRA
A94ULP,19000101,3.0,3.0,94,Flexible Annuity/IRA
A95ICL,19000101,3.0,3.0,95,Flexible Annuity/IRA
A95ILP,19000101,3.0,3.0,95,Flexible Annuity/IRA
A95PLP,19000101,3.0,3.0,95,Flexible Annuity/IRA
A95SLP,19000101,3.0,3.0,95,Flexible Annuity/IRA
A95ULP,19000101,3.0,3.0,95,Flexible Annuity/IRA
A96ILP,19000101,4.5,4.5,96,Single Premium Annuity/IRA
A96PLP,19000101,4.5,4.5,96,Single Premium Annuity/IRA
A96SLP,19000101,4.5,4.5,96,Single Premium Annuity/IRA
A96ULP,19000101,4.5,4.5,96,Single Premium Annuity/IRA
A97PLP,19000101,4.5,4.5,97,Flexible Annuity/IRA
A97SLP,19000101,4.5,4.5,97,Flexible Annuity/IRA
A97UCL,19000101,4.5,4.5,97,Flexible Annuity/IRA
A97ULP,19000101,4.5,4.5,97,Flexible Annuity/IRA
