QLA,CLASS,BEFORE_LEN,AFTER_LEN,DELTA_LEN,GAINED_BAUERLY_PATTERN,BEFORE_HAS_PNOTE,AFTER_HAS_PNOTE
010723388C,MEMOTEXT_CHANGED,3429,4208,779,False,True,True
010779197C,NEW_MEMOKEY,0,776,776,,,
010445074C,MEMOTEXT_CHANGED,702,1475,773,False,True,True
011162203C,MEMOTEXT_CHANGED,4817,5582,765,False,True,True
011201896C,MEMOTEXT_CHANGED,776,1535,759,False,True,True
011273881C,MEMOTEXT_CHANGED,117,873,756,False,False,True
010917603C,MEMOTEXT_CHANGED,5749,6504,755,False,True,True
010917604C,MEMOTEXT_CHANGED,5648,6401,753,False,True,True
011130781C,MEMOTEXT_CHANGED,1058,1803,745,False,False,True
010804711C,MEMOTEXT_CHANGED,166,908,742,False,False,True
010776027C,MEMOTEXT_CHANGED,3473,4211,738,False,True,True
01FG8801C,MEMOTEXT_CHANGED,695,1424,729,False,True,True
011195673C,MEMOTEXT_CHANGED,252,978,726,False,True,True
010886812C,MEMOTEXT_CHANGED,892,1614,722,False,True,True
011250566C,MEMOTEXT_CHANGED,4319,5033,714,False,True,True
011226273C,MEMOTEXT_CHANGED,6738,7450,712,False,True,True
011206562C,MEMOTEXT_CHANGED,495,1205,710,False,True,True
010448025C,MEMOTEXT_CHANGED,1633,2342,709,False,True,True
015000570C,MEMOTEXT_CHANGED,298,1002,704,False,False,True
011086178C,MEMOTEXT_CHANGED,755,1458,703,False,True,True
010889439C,MEMOTEXT_CHANGED,1163,1866,703,False,True,True
011213043C,MEMOTEXT_CHANGED,98,795,697,False,False,True
011237657C,MEMOTEXT_CHANGED,85,782,697,False,True,True
010776672C,MEMOTEXT_CHANGED,276,970,694,False,True,True
011148532C,MEMOTEXT_CHANGED,254,947,693,False,False,True
010785310C,NEW_MEMOKEY,0,689,689,,,
011253007C,MEMOTEXT_CHANGED,2688,3375,687,False,True,True
010768069C,MEMOTEXT_CHANGED,2643,3330,687,False,True,True
011140100C,MEMOTEXT_CHANGED,697,1384,687,False,False,True
010780668C,MEMOTEXT_CHANGED,3182,3862,680,False,True,True
011107863C,MEMOTEXT_CHANGED,296,973,677,False,True,True
010741943C,MEMOTEXT_CHANGED,5492,6165,673,False,True,True
010858489C,MEMOTEXT_CHANGED,3528,4197,669,False,True,True
011026337C,MEMOTEXT_CHANGED,257,926,669,False,True,True
010798517C,MEMOTEXT_CHANGED,175,844,669,False,False,True
01185D536C,MEMOTEXT_CHANGED,198,867,669,False,True,True
01ML8250C,MEMOTEXT_CHANGED,409,1078,669,False,True,True
010863334C,MEMOTEXT_CHANGED,533,1201,668,False,True,True
010840780C,MEMOTEXT_CHANGED,374,1037,663,False,True,True
010498260C,MEMOTEXT_CHANGED,669,1329,660,False,False,True
010382520C,MEMOTEXT_CHANGED,968,1611,643,False,True,True
011197220C,MEMOTEXT_CHANGED,4971,5614,643,False,True,True
011198532C,MEMOTEXT_CHANGED,2606,3246,640,False,True,True
011263511C,MEMOTEXT_CHANGED,279,919,640,False,False,True
011121984C,MEMOTEXT_CHANGED,602,1230,628,False,False,True
011125619C,MEMOTEXT_CHANGED,1283,1910,627,False,True,True
011191578C,MEMOTEXT_CHANGED,1118,1729,611,False,True,True
011141382C,MEMOTEXT_CHANGED,389,999,610,False,False,True
011226579C,MEMOTEXT_CHANGED,6978,7587,609,False,True,True
018163C,MEMOTEXT_CHANGED,581,1190,609,False,True,True
011038065C,MEMOTEXT_CHANGED,387,992,605,False,True,True
010786237C,MEMOTEXT_CHANGED,1102,1705,603,False,True,True
011090363C,MEMOTEXT_CHANGED,265,867,602,False,True,True
01ML4096C,MEMOTEXT_CHANGED,49,651,602,False,True,True
010824611C,MEMOTEXT_CHANGED,12761,13360,599,False,True,True
010796459C,MEMOTEXT_CHANGED,144,743,599,False,True,True
010783086C,NEW_MEMOKEY,0,597,597,,,
011195201C,MEMOTEXT_CHANGED,5393,5988,595,False,True,True
011224556C,MEMOTEXT_CHANGED,1010,1600,590,False,True,True
010816336C,MEMOTEXT_CHANGED,3401,3990,589,False,True,True
011068652C,MEMOTEXT_CHANGED,877,1463,586,False,False,True
010769221C,MEMOTEXT_CHANGED,160,743,583,False,True,True
014098AC,MEMOTEXT_CHANGED,117,700,583,False,False,True
010816337C,MEMOTEXT_CHANGED,4221,4804,583,False,True,True
010816969C,MEMOTEXT_CHANGED,909,1491,582,False,True,True
010733472C,MEMOTEXT_CHANGED,5466,6046,580,False,True,True
010872105C,MEMOTEXT_CHANGED,1998,2577,579,False,True,True
010806596C,MEMOTEXT_CHANGED,465,1043,578,False,True,True
010432631C,MEMOTEXT_CHANGED,758,1335,577,False,True,True
010899163C,MEMOTEXT_CHANGED,3558,4134,576,False,True,True
010834690C,MEMOTEXT_CHANGED,1066,1641,575,False,False,True
010479749C,MEMOTEXT_CHANGED,1026,1601,575,False,True,True
011006781C,MEMOTEXT_CHANGED,4791,5364,573,False,True,True
011113093C,MEMOTEXT_CHANGED,789,1360,571,False,True,True
010780667C,MEMOTEXT_CHANGED,1848,2418,570,False,True,True
010484821C,MEMOTEXT_CHANGED,920,1490,570,False,True,True
011130902C,MEMOTEXT_CHANGED,281,851,570,False,True,True
011129883C,MEMOTEXT_CHANGED,3709,4278,569,False,False,True
01ML8209C,MEMOTEXT_CHANGED,708,1276,568,False,True,True
010937735C,MEMOTEXT_CHANGED,9364,9931,567,False,True,True
010809311C,MEMOTEXT_CHANGED,776,1340,564,False,True,True
011113046C,MEMOTEXT_CHANGED,1112,1676,564,False,True,True
011080170C,MEMOTEXT_CHANGED,2736,3293,557,False,True,True
011207116C,MEMOTEXT_CHANGED,6953,7510,557,False,False,True
011188927C,MEMOTEXT_CHANGED,507,1064,557,False,True,True
010516211C,MEMOTEXT_CHANGED,3805,4360,555,False,False,True
011157086C,MEMOTEXT_CHANGED,224,777,553,False,True,True
010814389C,MEMOTEXT_CHANGED,1202,1752,550,False,True,True
010917599C,MEMOTEXT_CHANGED,15387,15936,549,False,True,True
01FG8563C,MEMOTEXT_CHANGED,554,1102,548,False,True,True
011014579C,MEMOTEXT_CHANGED,1063,1611,548,False,True,True
010832681C,MEMOTEXT_CHANGED,1062,1609,547,False,True,True
011154282C,MEMOTEXT_CHANGED,275,822,547,False,False,True
010545623C,MEMOTEXT_CHANGED,1211,1757,546,False,False,True
010810194C,MEMOTEXT_CHANGED,8731,9276,545,False,True,True
011105387C,MEMOTEXT_CHANGED,567,1111,544,False,False,True
010796554C,MEMOTEXT_CHANGED,1611,2154,543,False,True,True
010987089C,MEMOTEXT_CHANGED,1015,1556,541,False,True,True
010828369C,MEMOTEXT_CHANGED,1517,2056,539,False,True,True
010760874C,MEMOTEXT_CHANGED,1114,1653,539,False,True,True
010738539C,MEMOTEXT_CHANGED,1582,2117,535,False,True,True
010777546C,MEMOTEXT_CHANGED,518,1053,535,False,True,True
010817835C,MEMOTEXT_CHANGED,99,633,534,False,False,True
010731608C,MEMOTEXT_CHANGED,975,1509,534,False,True,True
011160018C,MEMOTEXT_CHANGED,373,905,532,False,True,True
011190048C,MEMOTEXT_CHANGED,317,849,532,False,True,True
010764121C,MEMOTEXT_CHANGED,506,1036,530,False,True,True
011093883C,MEMOTEXT_CHANGED,6906,7435,529,False,True,True
011143825C,MEMOTEXT_CHANGED,652,1181,529,False,True,True
011238372C,MEMOTEXT_CHANGED,236,764,528,False,True,True
010521213C,MEMOTEXT_CHANGED,368,895,527,False,True,True
010841424C,MEMOTEXT_CHANGED,977,1503,526,False,True,True
010749906C,MEMOTEXT_CHANGED,1311,1836,525,False,True,True
010860471C,MEMOTEXT_CHANGED,1432,1953,521,False,True,True
010792884C,MEMOTEXT_CHANGED,1041,1561,520,False,True,True
011196521C,MEMOTEXT_CHANGED,123,643,520,False,False,True
010547892C,MEMOTEXT_CHANGED,536,1055,519,False,False,True
010917602C,MEMOTEXT_CHANGED,6271,6784,513,False,True,True
010936709C,MEMOTEXT_CHANGED,2569,3077,508,False,False,True
010748300C,MEMOTEXT_CHANGED,2193,2695,502,False,True,True
010876417C,MEMOTEXT_CHANGED,580,1081,501,False,True,True
010813286C,MEMOTEXT_CHANGED,1054,1555,501,False,True,True
010914301C,MEMOTEXT_CHANGED,1089,1588,499,False,True,True
011191584C,MEMOTEXT_CHANGED,118,616,498,False,False,True
011189535C,NEW_MEMOKEY,0,497,497,,,
011204292C,MEMOTEXT_CHANGED,2562,3056,494,False,True,True
010464870C,MEMOTEXT_CHANGED,1577,2069,492,False,True,True
011270209C,MEMOTEXT_CHANGED,82,572,490,False,True,True
011198207C,MEMOTEXT_CHANGED,356,845,489,False,False,True
011231670C,MEMOTEXT_CHANGED,103,590,487,False,True,True
011189855C,MEMOTEXT_CHANGED,1250,1737,487,False,True,True
011194622C,MEMOTEXT_CHANGED,841,1327,486,False,True,True
01ML8804C,MEMOTEXT_CHANGED,367,852,485,False,True,True
011150430C,MEMOTEXT_CHANGED,491,976,485,False,False,True
011223517C,MEMOTEXT_CHANGED,1081,1562,481,False,True,True
011191892C,MEMOTEXT_CHANGED,5716,6193,477,False,True,True
010760865C,MEMOTEXT_CHANGED,2752,3229,477,False,True,True
010813387C,MEMOTEXT_CHANGED,269,745,476,False,True,True
011182823C,NEW_MEMOKEY,0,476,476,,,
011223989C,MEMOTEXT_CHANGED,308,782,474,False,False,True
010817836C,MEMOTEXT_CHANGED,306,780,474,False,True,True
011158320C,MEMOTEXT_CHANGED,2541,3012,471,False,True,True
010888339C,MEMOTEXT_CHANGED,126,595,469,False,False,True
011243725C,MEMOTEXT_CHANGED,1355,1824,469,False,True,True
010896924C,MEMOTEXT_CHANGED,176,644,468,False,False,True
010847488C,MEMOTEXT_CHANGED,1064,1531,467,False,True,True
010901824C,NEW_MEMOKEY,0,465,465,,,
011214181C,MEMOTEXT_CHANGED,481,946,465,False,False,True
011217839C,MEMOTEXT_CHANGED,436,898,462,False,True,True
010762319C,MEMOTEXT_CHANGED,857,1319,462,False,True,True
011214338C,NEW_MEMOKEY,0,459,459,,,
010840582C,MEMOTEXT_CHANGED,498,956,458,False,True,True
011114119C,NEW_MEMOKEY,0,457,457,,,
010787511C,NEW_MEMOKEY,0,457,457,,,
010747241C,MEMOTEXT_CHANGED,579,1035,456,False,True,True
010398274C,MEMOTEXT_CHANGED,408,863,455,False,True,True
011266421C,MEMOTEXT_CHANGED,232,684,452,False,True,True
010771580C,MEMOTEXT_CHANGED,2211,2663,452,False,True,True
010764837C,MEMOTEXT_CHANGED,451,903,452,False,True,True
011041220C,MEMOTEXT_CHANGED,2800,3248,448,False,True,True
011262791C,MEMOTEXT_CHANGED,1456,1903,447,False,True,True
010948278C,MEMOTEXT_CHANGED,5393,5837,444,False,True,True
011225266C,MEMOTEXT_CHANGED,483,927,444,False,False,True
010456928C,MEMOTEXT_CHANGED,118,557,439,False,False,True
010753687C,MEMOTEXT_CHANGED,176,615,439,False,False,True
011221309C,MEMOTEXT_CHANGED,2246,2684,438,False,True,True
010902761C,MEMOTEXT_CHANGED,530,968,438,False,True,True
011227605C,MEMOTEXT_CHANGED,923,1359,436,False,True,True
011198366C,MEMOTEXT_CHANGED,1899,2335,436,False,True,True
010958268C,MEMOTEXT_CHANGED,1683,2119,436,False,True,True
011082331C,MEMOTEXT_CHANGED,1639,2074,435,False,True,True
010820635C,MEMOTEXT_CHANGED,546,975,429,False,True,True
011178240C,MEMOTEXT_CHANGED,683,1111,428,False,False,True
010853285C,MEMOTEXT_CHANGED,1059,1483,424,False,False,True
011116003C,MEMOTEXT_CHANGED,422,844,422,False,True,True
010999170C,MEMOTEXT_CHANGED,4188,4605,417,False,True,True
010760840C,MEMOTEXT_CHANGED,2390,2806,416,False,True,True
011151285C,MEMOTEXT_CHANGED,1462,1877,415,False,True,True
010948195C,MEMOTEXT_CHANGED,546,958,412,False,True,True
011137768C,MEMOTEXT_CHANGED,830,1241,411,False,False,True
010811204C,MEMOTEXT_CHANGED,543,953,410,False,True,True
018910C,NEW_MEMOKEY,0,409,409,,,
011000854C,MEMOTEXT_CHANGED,691,1100,409,False,True,True
011047402C,MEMOTEXT_CHANGED,183,592,409,False,True,True
010776445C,MEMOTEXT_CHANGED,333,742,409,False,True,True
011237663C,MEMOTEXT_CHANGED,92,495,403,False,True,True
010823867C,MEMOTEXT_CHANGED,286,689,403,False,True,True
010835334C,MEMOTEXT_CHANGED,131,533,402,False,True,True
010773088C,MEMOTEXT_CHANGED,1597,1997,400,False,True,True
011175414C,MEMOTEXT_CHANGED,400,789,389,False,False,True
010486919C,MEMOTEXT_CHANGED,1455,1843,388,False,False,True
010439836C,MEMOTEXT_CHANGED,327,715,388,False,True,True
010828602C,NEW_MEMOKEY,0,386,386,,,
011184291C,MEMOTEXT_CHANGED,292,675,383,False,True,True
010425944C,MEMOTEXT_CHANGED,961,1343,382,False,False,True
010822330C,MEMOTEXT_CHANGED,639,1020,381,False,True,True
011154281C,MEMOTEXT_CHANGED,176,557,381,False,False,True
010446852C,NEW_MEMOKEY,0,378,378,,,
010804005C,NEW_MEMOKEY,0,372,372,,,
010787147C,MEMOTEXT_CHANGED,175,544,369,False,False,True
011194186C,MEMOTEXT_CHANGED,476,843,367,False,True,True
011109881C,MEMOTEXT_CHANGED,534,900,366,False,True,True
010823736C,MEMOTEXT_CHANGED,81,447,366,False,True,True
010904097C,MEMOTEXT_CHANGED,364,728,364,False,True,True
010809353C,MEMOTEXT_CHANGED,284,648,364,False,True,True
011254298C,MEMOTEXT_CHANGED,87,451,364,False,True,True
011080481C,MEMOTEXT_CHANGED,467,830,363,False,True,True
010761874C,MEMOTEXT_CHANGED,1212,1571,359,False,True,True
010429958C,MEMOTEXT_CHANGED,755,1114,359,False,False,True
010499349C,MEMOTEXT_CHANGED,277,636,359,False,True,True
010442552C,MEMOTEXT_CHANGED,253,608,355,False,True,True
011145521C,MEMOTEXT_CHANGED,543,898,355,False,False,True
010757551C,NEW_MEMOKEY,0,354,354,,,
01ML8487C,MEMOTEXT_CHANGED,503,856,353,False,True,True
010848398C,MEMOTEXT_CHANGED,165,518,353,False,False,True
015000622C,MEMOTEXT_CHANGED,558,909,351,False,True,True
010901775C,MEMOTEXT_CHANGED,3177,3528,351,False,True,True
010808361C,MEMOTEXT_CHANGED,1090,1441,351,False,True,True
010880362C,MEMOTEXT_CHANGED,2337,2688,351,False,True,True
010782822C,MEMOTEXT_CHANGED,893,1243,350,False,True,True
010877890C,MEMOTEXT_CHANGED,775,1125,350,False,True,True
010736935C,MEMOTEXT_CHANGED,1209,1558,349,False,True,True
011246246C,MEMOTEXT_CHANGED,3618,3966,348,False,True,True
010958111C,MEMOTEXT_CHANGED,255,603,348,False,False,True
010971528C,MEMOTEXT_CHANGED,707,1054,347,False,False,True
010790755C,MEMOTEXT_CHANGED,136,481,345,False,True,True
010411920C,MEMOTEXT_CHANGED,542,887,345,False,True,True
010438325C,MEMOTEXT_CHANGED,1502,1845,343,False,True,True
011257862C,MEMOTEXT_CHANGED,706,1048,342,False,True,True
011202750C,MEMOTEXT_CHANGED,445,786,341,False,True,True
010834719C,MEMOTEXT_CHANGED,2811,3152,341,False,True,True
011202039C,MEMOTEXT_CHANGED,2106,2446,340,False,True,True
010440000C,MEMOTEXT_CHANGED,1085,1424,339,False,True,True
010407023C,MEMOTEXT_CHANGED,83,421,338,False,True,True
010764834C,MEMOTEXT_CHANGED,700,1037,337,False,True,True
011145715C,NEW_MEMOKEY,0,337,337,,,
011090807C,MEMOTEXT_CHANGED,2200,2536,336,False,True,True
010823868C,MEMOTEXT_CHANGED,627,962,335,False,True,True
010823870C,MEMOTEXT_CHANGED,167,502,335,False,False,True
010823869C,MEMOTEXT_CHANGED,478,813,335,False,False,True
010486964C,MEMOTEXT_CHANGED,1775,2109,334,False,True,True
010773681C,MEMOTEXT_CHANGED,467,800,333,False,True,True
018284AC,NEW_MEMOKEY,0,332,332,,,
018236CC,MEMOTEXT_CHANGED,385,717,332,False,True,True
010934017C,MEMOTEXT_CHANGED,2720,3052,332,False,True,True
010395382C,MEMOTEXT_CHANGED,550,881,331,False,False,True
010741234C,MEMOTEXT_CHANGED,1545,1876,331,False,True,True
011073758C,MEMOTEXT_CHANGED,565,895,330,False,True,True
010792607C,MEMOTEXT_CHANGED,873,1203,330,False,True,True
011139777C,MEMOTEXT_CHANGED,254,583,329,False,False,True
011103996C,MEMOTEXT_CHANGED,466,794,328,False,True,True
010778841C,NEW_MEMOKEY,0,328,328,,,
011197709C,MEMOTEXT_CHANGED,1399,1726,327,False,True,True
010363098C,MEMOTEXT_CHANGED,1328,1655,327,False,True,True
011262631C,MEMOTEXT_CHANGED,482,807,325,False,True,True
011189851C,MEMOTEXT_CHANGED,14035,14360,325,False,True,True
010920186C,MEMOTEXT_CHANGED,2881,3206,325,False,False,True
011134051C,MEMOTEXT_CHANGED,2033,2357,324,False,True,True
010795612C,MEMOTEXT_CHANGED,176,499,323,False,False,True
011261538C,MEMOTEXT_CHANGED,998,1320,322,False,True,True
010762461C,MEMOTEXT_CHANGED,4160,4482,322,False,True,True
010451650C,MEMOTEXT_CHANGED,157,478,321,False,True,True
011150003C,MEMOTEXT_CHANGED,446,766,320,False,True,True
011254240C,MEMOTEXT_CHANGED,156,476,320,False,True,True
010933370C,MEMOTEXT_CHANGED,359,679,320,False,False,True
010815118C,MEMOTEXT_CHANGED,87,406,319,False,True,True
011038780C,MEMOTEXT_CHANGED,1522,1841,319,False,True,True
011033048C,MEMOTEXT_CHANGED,1320,1639,319,False,True,True
011179153C,MEMOTEXT_CHANGED,18975,19294,319,False,True,True
011227604C,MEMOTEXT_CHANGED,1068,1387,319,False,True,True
011284103C,NEW_MEMOKEY,0,319,319,,,
010812079C,MEMOTEXT_CHANGED,2121,2440,319,False,True,True
011199527C,MEMOTEXT_CHANGED,226,543,317,False,True,True
010434544C,MEMOTEXT_CHANGED,208,525,317,False,True,True
018258CC,NEW_MEMOKEY,0,317,317,,,
011148847C,MEMOTEXT_CHANGED,2098,2414,316,False,True,True
010443816C,MEMOTEXT_CHANGED,361,676,315,False,True,True
010786878C,NEW_MEMOKEY,0,315,315,,,
010477513C,MEMOTEXT_CHANGED,1529,1844,315,False,True,True
011044132C,MEMOTEXT_CHANGED,593,908,315,False,True,True
01154D174C,MEMOTEXT_CHANGED,1136,1450,314,False,True,True
011192240C,MEMOTEXT_CHANGED,519,832,313,False,True,True
01ML8791C,MEMOTEXT_CHANGED,1024,1337,313,False,True,True
011177899C,MEMOTEXT_CHANGED,2504,2817,313,False,True,True
011211133C,MEMOTEXT_CHANGED,1715,2028,313,False,False,True
010802494C,MEMOTEXT_CHANGED,2103,2415,312,False,True,True
010429711C,MEMOTEXT_CHANGED,1986,2298,312,False,True,True
011080169C,MEMOTEXT_CHANGED,2825,3137,312,False,False,True
011036054C,MEMOTEXT_CHANGED,1012,1323,311,False,False,True
011186904C,MEMOTEXT_CHANGED,1204,1514,310,False,True,True
011224634C,MEMOTEXT_CHANGED,256,566,310,False,False,True
011102977C,MEMOTEXT_CHANGED,744,1054,310,False,True,True
011206224C,MEMOTEXT_CHANGED,809,1118,309,False,False,True
010969153C,MEMOTEXT_CHANGED,805,1114,309,False,True,True
011042400C,MEMOTEXT_CHANGED,3740,4049,309,False,False,True
011209097C,MEMOTEXT_CHANGED,296,605,309,False,True,True
010429965C,MEMOTEXT_CHANGED,83,391,308,False,True,True
011108803C,MEMOTEXT_CHANGED,437,744,307,False,False,True
010833378C,MEMOTEXT_CHANGED,783,1090,307,False,True,True
010759537C,MEMOTEXT_CHANGED,592,899,307,False,True,True
011184753C,MEMOTEXT_CHANGED,15299,15606,307,False,True,True
011209098C,MEMOTEXT_CHANGED,296,602,306,False,True,True
011065352C,MEMOTEXT_CHANGED,675,981,306,False,True,True
011101925C,MEMOTEXT_CHANGED,1535,1841,306,False,True,True
011085270C,MEMOTEXT_CHANGED,275,581,306,False,False,True
011109861C,MEMOTEXT_CHANGED,943,1248,305,False,True,True
011045619C,MEMOTEXT_CHANGED,61,365,304,False,True,True
011211134C,MEMOTEXT_CHANGED,2824,3128,304,False,False,True
011060625C,MEMOTEXT_CHANGED,336,639,303,False,False,True
011208334C,MEMOTEXT_CHANGED,1365,1667,302,False,True,True
010813155C,MEMOTEXT_CHANGED,544,846,302,False,True,True
011124987C,MEMOTEXT_CHANGED,480,782,302,False,False,True
011003162C,MEMOTEXT_CHANGED,86,388,302,False,True,True
010439128C,NEW_MEMOKEY,0,302,302,,,
010813163C,MEMOTEXT_CHANGED,2514,2815,301,False,True,True
010487125C,MEMOTEXT_CHANGED,704,1005,301,False,True,True
010936713C,MEMOTEXT_CHANGED,1747,2048,301,False,True,True
011040826C,MEMOTEXT_CHANGED,1053,1353,300,False,True,True
010872331C,MEMOTEXT_CHANGED,937,1236,299,False,True,True
010789351C,MEMOTEXT_CHANGED,1846,2145,299,False,True,True
010434876C,MEMOTEXT_CHANGED,941,1239,298,False,True,True
011139002C,MEMOTEXT_CHANGED,122,420,298,False,True,True
010756833C,MEMOTEXT_CHANGED,1857,2155,298,False,True,True
011261618C,MEMOTEXT_CHANGED,1574,1872,298,False,True,True
011130666C,MEMOTEXT_CHANGED,259,557,298,False,True,True
011207117C,MEMOTEXT_CHANGED,7384,7681,297,False,True,True
011158069C,MEMOTEXT_CHANGED,890,1187,297,False,True,True
01ML8557C,MEMOTEXT_CHANGED,1276,1573,297,False,False,True
011127439C,MEMOTEXT_CHANGED,1767,2064,297,False,True,True
011105523C,MEMOTEXT_CHANGED,1416,1713,297,False,True,True
010797766C,MEMOTEXT_CHANGED,494,790,296,False,False,True
011268908C,MEMOTEXT_CHANGED,916,1212,296,False,True,True
010442230C,MEMOTEXT_CHANGED,175,471,296,False,False,True
011214731C,MEMOTEXT_CHANGED,4239,4535,296,False,True,True
010765068C,MEMOTEXT_CHANGED,126,419,293,False,False,True
