,30 Year Band 1,,,,30 Year Band 2,,,,,,,,30 Year Band 3,,,,,,,,30 Year Band 4,,,,,,,
36,2.80,6.54,2.26,5.15,1.47,1.98,2.32,5.94,1.18,1.52,1.87,4.53,1.28,1.66,2.05,5.21,1.05,1.33,1.59,3.92,1.13,1.57,1.93,4.97,0.93,1.25,1.50,3.76 
37,3.03,7.22,2.45,5.64,1.61,2.13,2.55,6.32,1.28,1.66,2.03,4.89,1.40,1.81,2.25,5.66,1.13,1.44,1.72,4.25,1.23,1.70,2.10,5.41,1.00,1.34,1.61,4.08 
38,3.27,7.89,2.63,6.13,1.75,2.28,2.78,6.71,1.38,1.81,2.19,5.25,1.51,1.96,2.45,6.12,1.21,1.54,1.86,4.58,1.33,1.82,2.26,5.86,1.07,1.44,1.72,4.41 
39,3.50,8.57,2.82,6.62,1.89,2.43,3.01,7.09,1.48,1.95,2.35,5.61,1.63,2.11,2.65,6.57,1.29,1.65,1.99,4.91,1.43,1.95,2.43,6.30,1.14,1.53,1.83,4.73 
40,3.73,9.24,3.00,7.11,2.02,2.58,3.23,7.47,1.58,2.09,2.51,5.96,1.74,2.25,2.85,7.02,1.36,1.75,2.12,5.24,1.53,2.07,2.59,6.74,1.20,1.62,1.93,5.05 
41,4.08,10.14,3.22,7.75,2.23,2.82,3.55,8.32,1.71,2.29,2.73,6.58,1.97,2.49,3.14,7.85,1.51,1.90,2.31,5.80,1.74,2.33,2.90,7.51,1.33,1.79,2.14,5.57 
42,4.43,11.03,3.44,8.38,2.44,3.06,3.87,9.16,1.83,2.49,2.94,7.20,2.20,2.72,3.43,8.67,1.65,2.05,2.49,6.36,1.95,2.58,3.21,8.28,1.45,1.95,2.34,6.08 
43,4.78,11.93,3.65,9.02,2.65,3.30,4.19,10.01,1.96,2.69,3.15,7.82,2.42,2.95,3.71,9.49,1.79,2.20,2.67,6.92,2.15,2.84,3.52,9.05,1.58,2.11,2.54,6.60 
44,5.13,12.82,3.87,9.65,2.86,3.54,4.51,10.85,2.08,2.89,3.36,8.44,2.65,3.18,4.00,10.31,1.93,2.35,2.85,7.48,2.36,3.09,3.83,9.82,1.70,2.27,2.74,7.11 
45,5.47,13.71,4.08,10.28,3.06,3.78,4.83,11.69,2.20,3.09,3.57,9.06,2.87,3.41,4.28,11.13,2.07,2.50,3.03,8.03,2.56,3.34,4.13,10.58,1.82,2.43,2.94,7.62 
46,6.25,14.87,4.65,11.37,3.45,4.27,5.44,12.70,2.52,3.40,4.03,9.93,3.22,3.89,4.82,12.11,2.30,2.84,3.46,8.65,2.87,3.79,4.63,11.46,2.04,2.71,3.29,8.31 
47,7.02,16.02,5.22,12.46,3.84,4.75,6.05,13.70,2.84,3.70,4.49,10.80,3.57,4.36,5.36,13.09,2.53,3.18,3.88,9.27,3.17,4.23,5.12,12.34,2.26,2.99,3.64,8.99 
48,7.80,17.17,5.79,13.55,4.22,5.24,6.66,14.71,3.15,4.00,4.95,11.67,3.91,4.84,5.89,14.07,2.76,3.51,4.31,9.89,3.47,4.68,5.61,13.22,2.48,3.27,3.99,9.67 
49,8.57,18.32,6.36,14.64,4.61,5.72,7.27,15.71,3.47,4.30,5.41,12.54,4.26,5.31,6.43,15.05,2.99,3.85,4.73,10.51,3.77,5.12,6.10,14.10,2.70,3.55,4.34,10.35 
50,9.34,19.47,6.93,15.72,4.99,6.20,7.87,16.71,3.78,4.60,5.87,13.40,4.60,5.78,6.96,16.03,3.22,4.18,5.15,11.13,4.07,5.56,6.59,14.98,2.91,3.82,4.69,11.03 
