mpolicy,policy_digits,mpaid,cso_total_paid,live_payee_rows,claimstat,class,reason,eco_n,eco_sum,payee_n,selection_rule,payee_evidence
9010779130C,9010779130,12890.54,12890.54,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,12890.54,1,eco_full_sum_match,1:697712:12890.54
9010781117C,9010781117,14279.04,14279.04,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,3,14279.04,3,eco_full_sum_match,3:697820:4759.68|4:697821:4759.68|5:697822:4759.68
9010786824C,9010786824,25546.19,25546.19,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,25546.19,1,eco_full_sum_match,1:600210:25546.19
9010786886C,9010786886,17030.96,17030.96,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,17030.96,1,eco_full_sum_match,2:553657:17030.96
9010787511C,9010787511,31832.34,31832.34,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,31832.34,1,eco_full_sum_match,1:712909:31832.34
9010790543C,9010790543,29479.09,29479.09,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,29479.09,1,eco_full_sum_match,1:696433:29479.09
9010792038C,9010792038,12421.63,12421.63,0,2,HOLD_INCOMPLETE,missing_rna_for_payee rela='PE' seq='1' pe_keys=[] b1_keys=[],1,12421.63,0,eco_full_sum_match,
9010792701C,9010792701,10738.04,10738.04,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,10738.04,1,eco_full_sum_match,1:683554:10738.04
9010797854C,9010797854,11267.32,11267.32,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,11267.32,1,eco_full_sum_match,1:710738:11267.32
9010800667C,9010800667,9218.66,9218.66,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,9218.66,1,eco_full_sum_match,1:604787:9218.66
9010803051C,9010803051,28484.97,28484.97,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,28484.97,1,eco_full_sum_match,1:589586:28484.97
9010809930C,9010809930,13070.65,13070.65,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,13070.65,1,eco_full_sum_match,1:706921:13070.65
9010813155C,9010813155,15671.73,15671.73,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,15671.73,1,eco_full_sum_match,1:708808:15671.73
9010814971C,9010814971,8671.57,8671.57,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,3,8671.57,3,eco_full_sum_match,2:708538:2890.53|3:708540:2890.52|4:708539:2890.52
9010823601C,9010823601,23148.52,23148.52,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,23148.52,1,eco_full_sum_match,1:709331:23148.52
9010823906C,9010823906,11163.08,11163.08,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,11163.08,1,eco_full_sum_match,1:602330:11163.08
9010829154C,9010829154,25444.5,25444.5,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,25444.5,1,eco_full_sum_match,1:711649:25444.50
9010836547C,9010836547,25273.96,25273.96,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,2,25273.96,2,eco_full_sum_match,2:708414:9820.86|3:708415:15453.10
9010840582C,9010840582,38795.51,38795.51,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,38795.51,1,eco_full_sum_match,2:711856:38795.51
9010843553C,9010843553,50134.03,50134.03,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,50134.03,1,eco_full_sum_match,1:592473:50134.03
9010858488C,9010858488,64307.56,64307.56,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,64307.56,1,eco_full_sum_match,2:591409:64307.56
9010858489C,9010858489,64449.23,64449.23,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,2,64449.23,2,eco_full_sum_match,1:710329:32224.61|2:710330:32224.62
9010859462C,9010859462,16877.14,16877.14,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,4,16877.14,4,eco_full_sum_match,1:709197:4219.28|2:709199:4219.28|3:709198:4219.29|4:706812:4219.29
9010867962C,9010867962,41682.58,41682.58,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,41682.58,1,eco_full_sum_match,1:713095:41682.58
9010872526C,9010872526,25265.97,25265.97,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,25265.97,1,eco_full_sum_match,1:707097:25265.97
9010877012C,9010877012,9837.12,9837.12,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,9837.12,1,eco_full_sum_match,2:704669:9837.12
9010879203C,9010879203,20208.33,20208.33,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,2,20208.33,2,eco_full_sum_match,2:712732:10104.17|3:712733:10104.16
9010881975C,9010881975,11620.3,11620.3,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,11620.3,1,eco_full_sum_match,1:709316:11620.30
9010885383C,9010885383,35272.71,35272.71,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,35272.71,1,eco_full_sum_match,1:712207:35272.71
9010889547C,9010889547,25140.63,25140.63,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,25140.63,1,eco_full_sum_match,1:712960:25140.63
9010895675C,9010895675,25124.31,25124.31,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,2,25124.31,2,eco_full_sum_match,1:712230:10072.45|2:712207:15051.86
9010919258C,9010919258,50162.56,50162.56,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,50162.56,1,eco_full_sum_match,1:706979:50162.56
9010927885C,9010927885,25584.06,25584.06,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,25584.06,1,eco_full_sum_match,1:704526:25584.06
9010936183C,9010936183,10330.57,10330.57,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,10330.57,1,eco_full_sum_match,1:711554:10330.57
9010942239C,9010942239,16647.99,16647.99,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,16647.99,1,eco_full_sum_match,1:616885:16647.99
9010946394C,9010946394,12033.31,12033.31,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,12033.31,1,eco_full_sum_match,1:709452:12033.31
9010952069C,9010952069,17207.73,17207.73,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,4,17207.73,4,eco_full_sum_match,5:710655:4301.93|2:710657:4301.94|3:694385:4301.93|4:710654:4301.93
9010968811C,9010968811,25184.04,25184.04,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,25184.04,1,eco_full_sum_match,1:712476:25184.04
9010968814C,9010968814,25370.66,25370.66,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,2,25370.66,2,eco_full_sum_match,1:592404:12685.33|2:591713:12685.33
9010983828C,9010983828,100142.5,100142.5,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,100142.5,1,eco_full_sum_match,1:709583:100142.50
9010988454C,9010988454,25641.69,25641.69,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,25641.69,1,eco_full_sum_match,1:713181:25641.69
9011004587C,9011004587,75220.31,75220.31,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,75220.31,1,eco_full_sum_match,1:606277:75220.31
9011005855C,9011005855,11937.83,11937.83,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,11937.83,1,eco_full_sum_match,2:701761:11937.83
9011014276C,9011014276,10658.42,10658.42,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,10658.42,1,eco_full_sum_match,1:710296:10658.42
9011041120C,9011041120,25124.92,25124.92,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,4,25124.92,4,eco_full_sum_match,1:708785:11165.05|2:711327:4653.29|3:711328:4653.29|4:711346:4653.29
9011044132C,9011044132,20642.85,20642.85,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,20642.85,1,eco_full_sum_match,1:589507:20642.85
9011045618C,9011045618,21628.52,21628.52,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,21628.52,1,eco_full_sum_match,1:606755:21628.52
9011056407C,9011056407,100257.55,100257.55,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,100257.55,1,eco_full_sum_match,1:710436:100257.55
9011062307C,9011062307,100188.08,100188.08,0,2,HOLD_INCOMPLETE,missing_rna_for_payee rela='PE' seq='1' pe_keys=[] b1_keys=[],1,100188.08,0,eco_full_sum_match,
9011064372C,9011064372,100412.53,100412.53,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,100412.53,1,eco_full_sum_match,1:592140:100412.53
9011072405C,9011072405,25237.73,25237.73,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,25237.73,1,eco_full_sum_match,1:712133:25237.73
9011083028C,9011083028,101188.34,101188.34,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,101188.34,1,eco_full_sum_match,1:707425:101188.34
9011085842C,9011085842,25368.79,25368.79,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,25368.79,1,eco_full_sum_match,1:712518:25368.79
9011087227C,9011087227,50228.3,50228.3,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,50228.3,1,eco_full_sum_match,1:592454:50228.30
9011090807C,9011090807,9286.43,9286.43,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,9286.43,1,eco_full_sum_match,1:710495:9286.43
9011098238C,9011098238,37062.25,37062.25,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,2,37062.25,2,eco_full_sum_match,1:705383:18531.13|2:705384:18531.12
9011098913C,9011098913,20143.57,20143.57,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,20143.57,1,eco_full_sum_match,1:592724:20143.57
9011100907C,9011100907,5104.9,5104.9,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,5104.9,1,eco_full_sum_match,1:710293:5104.90
9011102788C,9011102788,5133.04,5133.04,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,5133.04,1,eco_full_sum_match,2:710292:5133.04
9011103202C,9011103202,25420.22,25420.22,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,2,25420.22,2,eco_full_sum_match,1:709092:12710.11|2:709093:12710.11
9011103996C,9011103996,5107.06,5107.06,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,5107.06,1,eco_full_sum_match,1:711769:5107.06
9011104096C,9011104096,5518.0,5518.0,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,5518.0,1,eco_full_sum_match,1:199970:5518.00
9011104828C,9011104828,6362.95,6362.95,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,6362.95,1,eco_full_sum_match,1:709259:6362.95
9011105951C,9011105951,30520.5,30520.5,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,30520.5,1,eco_full_sum_match,1:708710:30520.50
9011107641C,9011107641,5222.13,5222.13,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,5222.13,1,eco_full_sum_match,1:198469:5222.13
9011107848C,9011107848,5193.62,5193.62,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,4,5193.62,4,eco_full_sum_match,1:711723:1298.41|2:711724:1298.41|3:711725:1298.40|4:711726:1298.40
9011112743C,9011112743,5138.18,5138.18,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,5138.18,1,eco_full_sum_match,1:706269:5138.18
9011112744C,9011112744,5256.73,5256.73,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,5256.73,1,eco_full_sum_match,1:709535:5256.73
9011115690C,9011115690,5999.15,5999.15,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,5999.15,1,eco_full_sum_match,1:708932:5999.15
9011116180C,9011116180,5324.63,5324.63,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,2,5324.63,2,eco_full_sum_match,1:712099:2662.32|2:712100:2662.31
9011122141C,9011122141,3201.83,3201.83,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,3201.83,1,eco_full_sum_match,1:709171:3201.83
9011123322C,9011123322,25185.28,25185.28,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,25185.28,1,eco_full_sum_match,1:593325:25185.28
9011128643C,9011128643,50759.5,50759.5,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,50759.5,1,eco_full_sum_match,1:701452:50759.50
9011130902C,9011130902,25144.69,25144.69,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,25144.69,1,eco_full_sum_match,1:711171:25144.69
9011136690C,9011136690,119795.38,119795.38,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,119795.38,1,eco_full_sum_match,1:593506:119795.38
9011139256C,9011139256,5124.43,5124.43,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,5124.43,1,eco_full_sum_match,1:225459:5124.43
9011140409C,9011140409,50234.02,50234.02,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,50234.02,1,eco_full_sum_match,1:711760:50234.02
9011145715C,9011145715,15594.1,15594.1,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,2,15594.1,2,eco_full_sum_match,1:700657:7797.05|2:700658:7797.05
9011149370C,9011149370,7651.03,7651.03,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,7651.03,1,eco_full_sum_match,1:712250:7651.03
9011155232C,9011155232,5129.15,5129.15,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,2,5129.15,2,eco_full_sum_match,1:706614:5000.00|2:708581:129.15
9011156655C,9011156655,5145.67,5145.67,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,4,5145.67,4,eco_full_sum_match,1:711250:1286.42|2:711251:1286.41|3:711252:1286.42|4:711254:1286.42
9011157291C,9011157291,10287.69,10287.69,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,10287.69,1,eco_full_sum_match,1:708785:10287.69
9011158551C,9011158551,5275.73,5275.73,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,5275.73,1,eco_full_sum_match,1:201679:5275.73
9011159295C,9011159295,5162.26,5162.26,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,5162.26,1,eco_full_sum_match,1:221912:5162.26
9011160075C,9011160075,5255.25,5255.25,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,5255.25,1,eco_full_sum_match,1:706547:5255.25
9011162391C,9011162391,5102.35,5102.35,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,5102.35,1,eco_full_sum_match,1:709454:5102.35
9011175414C,9011175414,26483.75,26483.75,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,26483.75,1,eco_full_sum_match,1:322512:26483.75
9011178457C,9011178457,10189.5,10189.5,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,10189.5,1,eco_full_sum_match,1:594250:10189.50
9011181208C,9011181208,5180.18,5180.18,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,7,5180.18,7,eco_full_sum_match,1:711984:740.03|2:711985:740.03|3:711986:740.03|4:711987:740.03|5:711988:740.02|6:711989:740.02|7:711990:740.02
9011181683C,9011181683,25271.06,25271.06,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,25271.06,1,eco_full_sum_match,1:696945:25271.06
9011184291C,9011184291,5246.65,5246.65,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,5246.65,1,eco_full_sum_match,1:709734:5246.65
9011184745C,9011184745,25132.48,25132.48,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,25132.48,1,eco_full_sum_match,1:710794:25132.48
9011187601C,9011187601,5114.88,5114.88,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,5114.88,1,eco_full_sum_match,1:232857:5114.88
9011187904C,9011187904,5269.64,5269.64,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,5269.64,1,eco_full_sum_match,1:705255:5269.64
9011190410C,9011190410,5110.84,5110.84,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,5110.84,1,eco_full_sum_match,1:710564:5110.84
9011191289C,9011191289,8132.88,8132.88,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,8132.88,1,eco_full_sum_match,1:699135:8132.88
9011191584C,9011191584,8498.14,8498.14,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,8498.14,1,eco_full_sum_match,1:713367:8498.14
9011192032C,9011192032,8398.32,8398.32,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,2,8398.32,2,eco_full_sum_match,1:710527:8000.00|2:707276:398.32
9011194273C,9011194273,5271.23,5271.23,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,5271.23,1,eco_full_sum_match,1:708490:5271.23
9011195087C,9011195087,50347.28,50347.28,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,50347.28,1,eco_full_sum_match,1:705257:50347.28
9011197559C,9011197559,25113.71,25113.71,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,25113.71,1,eco_full_sum_match,1:688300:25113.71
9011198344C,9011198344,105244.48,105244.48,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,2,105244.48,2,eco_full_sum_match,1:711052:52622.24|2:711053:52622.24
9011198366C,9011198366,10121.7,10121.7,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,3,10121.7,3,eco_full_sum_match,1:696387:3373.90|2:696389:3373.90|3:705784:3373.90
9011198806C,9011198806,15145.25,15145.25,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,15145.25,1,eco_full_sum_match,1:689811:15145.25
9011199632C,9011199632,12276.81,12276.81,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,2,12276.81,2,eco_full_sum_match,1:711471:6138.41|2:711472:6138.40
9011207871C,9011207871,35132.32,35132.32,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,35132.32,1,eco_full_sum_match,1:596736:35132.32
9011214181C,9011214181,5121.11,5121.11,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,2,5121.11,2,eco_full_sum_match,1:658727:2560.56|2:713366:2560.55
9011216680C,9011216680,15331.67,15331.67,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,15331.67,1,eco_full_sum_match,2:263717:15331.67
9011220582C,9011220582,50178.53,50178.53,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,2,50178.53,2,eco_full_sum_match,1:286600:25089.27|2:286602:25089.26
9011221309C,9011221309,11770.89,11770.89,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,11770.89,1,eco_full_sum_match,1:288323:11770.89
9011222039C,9011222039,5352.46,5352.46,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,5352.46,1,eco_full_sum_match,1:291311:5352.46
9011223989C,9011223989,5190.74,5190.74,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,5190.74,1,eco_full_sum_match,1:296010:5190.74
9011226091C,9011226091,25137.26,25137.26,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,25137.26,1,eco_full_sum_match,1:559550:25137.26
9011237180C,9011237180,25300.3,25300.3,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,25300.3,1,eco_full_sum_match,1:581276:25300.30
9011243725C,9011243725,50203.51,50203.51,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,2,50203.51,2,eco_full_sum_match,1:698784:15061.05|2:698615:35142.46
9011261276C,9011261276,25228.18,25228.18,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,25228.18,1,eco_full_sum_match,1:704866:25228.18
9011264375C,9011264375,25108.67,25108.67,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,25108.67,1,eco_full_sum_match,1:662046:25108.67
9011266421C,9011266421,13501.51,13501.51,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,13501.51,1,eco_full_sum_match,1:666703:13501.51
9011282859C,9011282859,50143.24,50143.24,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,50143.24,1,eco_full_sum_match,1:710665:50143.24
9015000341C,9015000341,5201.97,5201.97,0,2,HOLD_INCOMPLETE,missing_rna_for_payee rela='PE' seq='1' pe_keys=[] b1_keys=[],1,5201.97,0,eco_full_sum_match,
9015000570C,9015000570,5217.65,5217.65,0,2,SAFE_BACKFILL,open_2032_to_1058_pe_match_mpaid,1,5217.65,1,eco_full_sum_match,1:614132:5217.65
