mpolicy,policy_digits,evidence_class,prior_hold_flag,cso_total_paid,current_death_mpaid,current_payee_sum,option3_status,rule_reasons,corrected_mpaid,corrected_payee_sum,corrected_payee_n,loop_dates_excluded,needs_payee_identity,overlay_note
9010900144C,9010900144,MULTIPLICITY_X2_DUPLICATE_OR_CLEARING,CANDIDATE,6463.4,12926.8,12926.8,CORRECTED,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP|KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058|DEDUP_SUBSET_MATCH_CSO_TOTAL_PAID,6463.40,6463.40,1,20230427,N,payee_subset_n=1
9010914301C,9010914301,MULTIPLICITY_X2_DUPLICATE_OR_CLEARING,CANDIDATE,25019.98,50039.96,50039.96,CORRECTED,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP|KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058|DEDUP_SUBSET_MATCH_CSO_TOTAL_PAID,25019.98,25019.98,2,20220929,N,payee_subset_n=2
9010959302C,9010959302,MULTIPLICITY_X3_REINSTATEMENT,CANDIDATE,5005.66,15031.14,15031.14,CORRECTED,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP|KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058|DEDUP_SUBSET_MATCH_CSO_TOTAL_PAID,5005.66,5005.66,1,20211102,N,payee_subset_n=1
9011025088C,9011025088,MULTIPLICITY_X3_REINSTATEMENT,CANDIDATE,8212.35,24661.83,0.0,CORRECTED,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP|KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058|PROMOTE_MISSING_DEATH_PAYOUT_FROM_PACTG,8212.35,8212.35,1,20200106,Y,pactg_promote date=20191208 lineage=PACTG_OPEN_2032_TO_1058
9011040826C,9011040826,MULTIPLICITY_X3_REINSTATEMENT,CANDIDATE,5200.28,15588.1,16022.5,CORRECTED,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP|KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058|DEDUP_SUBSET_MATCH_CSO_TOTAL_PAID,5200.28,5200.28,1,20201228,N,payee_subset_n=1
9011077798C,9011077798,MULTIPLICITY_X2_DUPLICATE_OR_CLEARING,CANDIDATE,4367.36,8734.72,9403.22,CORRECTED,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058|DEDUP_SUBSET_MATCH_CSO_TOTAL_PAID,4367.36,4367.36,1,,N,payee_subset_n=1
9011090414C,9011090414,MULTIPLICITY_X3_REINSTATEMENT,CANDIDATE,4998.4,15028.28,0.0,HOLD,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP|HOLD_MISSING_NO_PACTG_CSO_MATCH,,,0,20220126,N,no_pactg_economic_match keys=[]
9011092140C,9011092140,MULTIPLICITY_X3_REINSTATEMENT,CANDIDATE,9240.91,27720.99,27720.99,CORRECTED,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP|KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058|DEDUP_SUBSET_MATCH_CSO_TOTAL_PAID,9240.91,9240.91,1,20190719,N,payee_subset_n=1
9011097343C,9011097343,MULTIPLICITY_X2_DUPLICATE_OR_CLEARING,CANDIDATE,5009.47,10009.47,10009.47,CORRECTED,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058|DEDUP_SUBSET_MATCH_CSO_TOTAL_PAID,5009.47,5009.47,1,,N,payee_subset_n=1
9011101315C,9011101315,MULTIPLICITY_X2_DUPLICATE_OR_CLEARING,CANDIDATE,5040.18,10080.36,10080.36,CORRECTED,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058|DEDUP_SUBSET_MATCH_CSO_TOTAL_PAID,5040.18,5040.18,1,,N,payee_subset_n=1
9011104342C,9011104342,MULTIPLICITY_X3_REINSTATEMENT,CANDIDATE,5115.47,15346.41,15346.41,CORRECTED,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP|KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058|DEDUP_SUBSET_MATCH_CSO_TOTAL_PAID,5115.47,5115.47,1,20240105,N,payee_subset_n=1
9011115534C,9011115534,MULTIPLICITY_X3_REINSTATEMENT,CANDIDATE,5000.0,15000.0,15000.0,CORRECTED,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP|KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058|DEDUP_SUBSET_MATCH_CSO_TOTAL_PAID,5000.00,5000.00,1,20220407,N,payee_subset_n=1
9011132389C,9011132389,MULTIPLICITY_X3_REINSTATEMENT,CANDIDATE,10058.24,30174.72,0.0,CORRECTED,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP|KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058|PROMOTE_MISSING_DEATH_PAYOUT_FROM_PACTG,10058.24,10058.24,1,20181029,Y,pactg_promote date=20181006 lineage=PACTG_OPEN_2032_TO_1058
9011133146C,9011133146,MULTIPLICITY_X3_REINSTATEMENT,CANDIDATE,3696.53,11088.89,11088.89,CORRECTED,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP|KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058|DEDUP_SUBSET_MATCH_CSO_TOTAL_PAID,3696.53,3696.53,1,20220114,N,payee_subset_n=1
9011134051C,9011134051,MULTIPLICITY_X3_REINSTATEMENT,CANDIDATE,10006.6,30019.8,30019.8,CORRECTED,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP|KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058|DEDUP_SUBSET_MATCH_CSO_TOTAL_PAID,10006.60,10006.60,1,20230320,N,payee_subset_n=1
9011138884C,9011138884,MULTIPLICITY_X3_REINSTATEMENT,CANDIDATE,5048.71,15146.13,0.0,CORRECTED,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP|KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058|PROMOTE_MISSING_DEATH_PAYOUT_FROM_PACTG,5048.71,5048.71,1,20190531,Y,pactg_promote date=20190430 lineage=PACTG_OPEN_2032_TO_1058
9011141895C,9011141895,MISSING_DEATH_MPAID_BUT_PACTG_PAYOUT,CANDIDATE,5019.46,0.0,0.0,CORRECTED,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058|PROMOTE_MISSING_DEATH_PAYOUT_FROM_PACTG,5019.46,5019.46,1,,Y,pactg_promote date=20180328 lineage=PACTG_OPEN_2032_TO_1058
9011156098C,9011156098,MULTIPLICITY_X3_REINSTATEMENT,CANDIDATE,15000.0,45000.0,45000.0,CORRECTED,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP|KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058|DEDUP_SUBSET_MATCH_CSO_TOTAL_PAID,15000.00,15000.00,1,20231115,N,payee_subset_n=1
9011159843C,9011159843,MULTIPLICITY_X2_DUPLICATE_OR_CLEARING,CANDIDATE,5031.67,10031.67,10031.67,CORRECTED,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058|DEDUP_SUBSET_MATCH_CSO_TOTAL_PAID,5031.67,5031.67,1,,N,payee_subset_n=1
9011162387C,9011162387,MULTIPLICITY_X2_DUPLICATE_OR_CLEARING,CANDIDATE,5040.38,10121.14,10121.14,CORRECTED,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058|DEDUP_SUBSET_MATCH_CSO_TOTAL_PAID,5040.38,5040.38,2,,N,payee_subset_n=2
9011175626C,9011175626,MULTIPLICITY_X2_DUPLICATE_OR_CLEARING,CANDIDATE,10162.77,20325.54,20325.54,CORRECTED,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP|KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058|DEDUP_SUBSET_MATCH_CSO_TOTAL_PAID,10162.77,10162.77,3,20180531|20180625,N,payee_subset_n=3
9011176023C,9011176023,MULTIPLICITY_X2_DUPLICATE_OR_CLEARING,CANDIDATE,5041.97,10084.41,10084.41,CORRECTED,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058|DEDUP_SUBSET_MATCH_CSO_TOTAL_PAID,5041.97,5041.97,1,,N,payee_subset_n=1
9011181053C,9011181053,MULTIPLICITY_X2_DUPLICATE_OR_CLEARING,CANDIDATE,5061.86,10123.72,10123.72,CORRECTED,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058|DEDUP_SUBSET_MATCH_CSO_TOTAL_PAID,5061.86,5061.86,2,,N,payee_subset_n=2
9011183505C,9011183505,MISSING_DEATH_MPAID_BUT_PACTG_PAYOUT,CANDIDATE,5032.62,0.0,0.0,CORRECTED,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058|PROMOTE_MISSING_DEATH_PAYOUT_FROM_PACTG,5032.62,5032.62,1,,Y,pactg_promote date=20210402 lineage=PACTG_OPEN_2032_TO_1058
9011191578C,9011191578,MULTIPLICITY_X3_REINSTATEMENT,CANDIDATE,5230.1,15690.3,15690.3,CORRECTED,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP|KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058|DEDUP_SUBSET_MATCH_CSO_TOTAL_PAID,5230.10,5230.10,1,20201013,N,payee_subset_n=1
9011193421C,9011193421,MULTIPLICITY_X3_REINSTATEMENT,CANDIDATE,4052.41,12147.31,12147.31,CORRECTED,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP|KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058|DEDUP_SUBSET_MATCH_CSO_TOTAL_PAID,4052.41,4052.41,1,20231227,N,payee_subset_n=1
9011197222C,9011197222,MULTIPLICITY_X3_REINSTATEMENT,CANDIDATE,15067.69,45266.15,0.0,CORRECTED,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP|KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058|PROMOTE_MISSING_DEATH_PAYOUT_FROM_PACTG,15067.69,15067.69,1,20190710|20190919,Y,pactg_promote date=20190610 lineage=PACTG_DATE_SUM
9011198532C,9011198532,MULTIPLICITY_X3_REINSTATEMENT,CANDIDATE,5000.0,15000.0,15000.0,CORRECTED,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP|KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058|DEDUP_SUBSET_MATCH_CSO_TOTAL_PAID,5000.00,5000.00,1,20231115,N,payee_subset_n=1
9011200251C,9011200251,MULTIPLICITY_X2_DUPLICATE_OR_CLEARING,CANDIDATE,8190.72,16320.68,0.0,CORRECTED,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP|KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058|PROMOTE_MISSING_DEATH_PAYOUT_FROM_PACTG,8190.72,8190.72,1,20201022|20201217,Y,pactg_promote date=20200811 lineage=PACTG_OPEN_2032_TO_1058
9011208787C,9011208787,MISSING_DEATH_MPAID_BUT_PACTG_PAYOUT,CANDIDATE,36660.0,0.0,0.0,CORRECTED,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058|PROMOTE_MISSING_DEATH_PAYOUT_FROM_PACTG,36660.00,36660.00,1,,Y,pactg_promote date=20210624 lineage=PACTG_DATE_SUM
9011217970C,9011217970,MISSING_DEATH_MPAID_BUT_PACTG_PAYOUT,CANDIDATE,7988.35,0.0,0.0,CORRECTED,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058|PROMOTE_MISSING_DEATH_PAYOUT_FROM_PACTG,7988.35,7988.35,1,,Y,pactg_promote date=20190309 lineage=PACTG_DATE_SUM
