mpolicy,policy_digits,claimstat,mpaid,mface,mintamt,premium,cso_total_paid,live_payee_rows,recon_payee_rows,source
9010840582C,9010840582,2,38795.51,38272.72,0.0,0.0,38795.51,0,0,recon_MATCH_CSO
9010843553C,9010843553,2,50134.03,50000.0,0.0,0.0,50134.03,0,0,recon_MATCH_CSO
9010858488C,9010858488,2,64307.56,63000.0,0.0,0.0,64307.56,0,0,recon_MATCH_CSO
9010858489C,9010858489,2,64449.23,63000.0,0.0,0.0,64449.23,0,0,recon_MATCH_CSO
9010859462C,9010859462,2,16877.14,16469.54,0.0,0.0,16877.14,0,0,recon_MATCH_CSO
9010867962C,9010867962,2,41682.58,41359.44,0.0,0.0,41682.58,0,0,recon_MATCH_CSO
9010872526C,9010872526,2,25265.97,25000.0,0.0,0.0,25265.97,0,0,recon_MATCH_CSO
9010877012C,9010877012,2,9837.12,9703.91,0.0,0.0,9837.12,0,0,recon_MATCH_CSO
9010879203C,9010879203,2,20208.33,19934.51,0.0,0.0,20208.33,0,0,recon_MATCH_CSO
9010881975C,9010881975,2,11620.3,11481.66,0.0,0.0,11620.3,0,0,recon_MATCH_CSO
9010885383C,9010885383,2,35272.71,35000.0,0.0,0.0,35272.71,0,0,recon_MATCH_CSO
9010889547C,9010889547,2,25140.63,25000.0,0.0,0.0,25140.63,0,0,recon_MATCH_CSO
9010895675C,9010895675,2,25124.31,25000.0,0.0,0.0,25124.31,0,0,recon_MATCH_CSO
9010919258C,9010919258,2,50162.56,49114.76,0.0,0.0,50162.56,0,0,recon_MATCH_CSO
9010927885C,9010927885,2,25584.06,25000.0,0.0,0.0,25584.06,0,0,recon_MATCH_CSO
9010936183C,9010936183,2,10330.57,10129.66,0.0,0.0,10330.57,0,0,recon_MATCH_CSO
9010942239C,9010942239,2,16647.99,16418.11,0.0,0.0,16647.99,0,0,recon_MATCH_CSO
9010946394C,9010946394,2,12033.31,11875.09,0.0,0.0,12033.31,0,0,recon_MATCH_CSO
9010952069C,9010952069,2,17207.73,16755.75,0.0,0.0,17207.73,0,0,recon_MATCH_CSO
9010968811C,9010968811,2,25184.04,25000.0,0.0,0.0,25184.04,0,0,recon_MATCH_CSO
9010968814C,9010968814,2,25370.66,25000.0,0.0,0.0,25370.66,0,0,recon_MATCH_CSO
9010983828C,9010983828,2,100142.5,100000.0,0.0,0.0,100142.5,0,0,recon_MATCH_CSO
9010988454C,9010988454,2,25641.69,25000.0,0.0,0.0,25641.69,0,0,recon_MATCH_CSO
9011004587C,9011004587,2,75220.31,75000.0,0.0,0.0,75220.31,0,0,recon_MATCH_CSO
9011005855C,9011005855,2,11937.83,11768.15,0.0,0.0,11937.83,0,0,recon_MATCH_CSO
9011014276C,9011014276,2,10658.42,10462.48,0.0,0.0,10658.42,0,0,recon_MATCH_CSO
9011041120C,9011041120,2,25124.92,25000.0,0.0,0.0,25124.92,0,0,recon_MATCH_CSO
9011044132C,9011044132,2,20642.85,20337.63,0.0,0.0,20642.85,0,0,recon_MATCH_CSO
9011045618C,9011045618,2,21628.52,21299.54,0.0,0.0,21628.52,0,0,recon_MATCH_CSO
9011056407C,9011056407,2,100257.55,100000.0,0.0,0.0,100257.55,0,0,recon_MATCH_CSO
9011062307C,9011062307,2,100188.08,100000.0,0.0,0.0,100188.08,0,0,recon_MATCH_CSO
9011064372C,9011064372,2,100412.53,100000.0,0.0,0.0,100412.53,0,0,recon_MATCH_CSO
9011072405C,9011072405,2,25237.73,25000.0,0.0,0.0,25237.73,0,0,recon_MATCH_CSO
9011083028C,9011083028,2,101188.34,100000.0,0.0,0.0,101188.34,0,0,recon_MATCH_CSO
9011085842C,9011085842,2,25368.79,25000.0,0.0,0.0,25368.79,0,0,recon_MATCH_CSO
9011087227C,9011087227,2,50228.3,50000.0,0.0,0.0,50228.3,0,0,recon_MATCH_CSO
9011090807C,9011090807,2,9286.43,8899.26,0.0,0.0,9286.43,0,0,recon_MATCH_CSO
9011098238C,9011098238,2,37062.25,36000.0,0.0,0.0,37062.25,0,0,recon_MATCH_CSO
9011098913C,9011098913,2,20143.57,20000.0,0.0,0.0,20143.57,0,0,recon_MATCH_CSO
9011100907C,9011100907,2,5104.9,5000.0,0.0,0.0,5104.9,0,0,recon_MATCH_CSO
9011102788C,9011102788,2,5133.04,5000.0,0.0,0.0,5133.04,0,0,recon_MATCH_CSO
9011103202C,9011103202,2,25420.22,25000.0,0.0,0.0,25420.22,0,0,recon_MATCH_CSO
9011103996C,9011103996,2,5107.06,5000.0,0.0,0.0,5107.06,0,0,recon_MATCH_CSO
9011104096C,9011104096,2,5518.0,5000.0,0.0,0.0,5518.0,0,0,recon_MATCH_CSO
9011104828C,9011104828,2,6362.95,6000.0,0.0,0.0,6362.95,0,0,recon_MATCH_CSO
9011105951C,9011105951,2,30520.5,30000.0,0.0,0.0,30520.5,0,0,recon_MATCH_CSO
9011107641C,9011107641,2,5222.13,5000.0,0.0,0.0,5222.13,0,0,recon_MATCH_CSO
9011107848C,9011107848,2,5193.62,5000.0,0.0,0.0,5193.62,0,0,recon_MATCH_CSO
9011112743C,9011112743,2,5138.18,5000.0,0.0,0.0,5138.18,0,0,recon_MATCH_CSO
9011112744C,9011112744,2,5256.73,5000.0,0.0,0.0,5256.73,0,0,recon_MATCH_CSO
9011115690C,9011115690,2,5999.15,5000.0,0.0,0.0,5999.15,0,0,recon_MATCH_CSO
9011116180C,9011116180,2,5324.63,5000.0,0.0,0.0,5324.63,0,0,recon_MATCH_CSO
9011122141C,9011122141,2,3201.83,3000.0,0.0,0.0,3201.83,0,0,recon_MATCH_CSO
9011123322C,9011123322,2,25185.28,25000.0,0.0,0.0,25185.28,0,0,recon_MATCH_CSO
9011128643C,9011128643,2,50759.5,50000.0,0.0,0.0,50759.5,0,0,recon_MATCH_CSO
9011130902C,9011130902,2,25144.69,25000.0,0.0,0.0,25144.69,0,0,recon_MATCH_CSO
9011136690C,9011136690,2,119795.38,119000.0,0.0,0.0,119795.38,0,0,recon_MATCH_CSO
9011139256C,9011139256,2,5124.43,5000.0,0.0,0.0,5124.43,0,0,recon_MATCH_CSO
9011140409C,9011140409,2,50234.02,50000.0,0.0,0.0,50234.02,0,0,recon_MATCH_CSO
9011145715C,9011145715,2,15594.1,15000.0,0.0,0.0,15594.1,0,0,recon_MATCH_CSO
9011149370C,9011149370,2,7651.03,7500.0,0.0,0.0,7651.03,0,0,recon_MATCH_CSO
9011155232C,9011155232,2,5129.15,5000.0,0.0,0.0,5129.15,0,0,recon_MATCH_CSO
9011156655C,9011156655,2,5145.67,5000.0,0.0,0.0,5145.67,0,0,recon_MATCH_CSO
9011157291C,9011157291,2,10287.69,10000.0,0.0,0.0,10287.69,0,0,recon_MATCH_CSO
9011158551C,9011158551,2,5275.73,5000.0,0.0,0.0,5275.73,0,0,recon_MATCH_CSO
9011159295C,9011159295,2,5162.26,5000.0,0.0,0.0,5162.26,0,0,recon_MATCH_CSO
9011160075C,9011160075,2,5255.25,5000.0,0.0,0.0,5255.25,0,0,recon_MATCH_CSO
9011162391C,9011162391,2,5102.35,5000.0,0.0,0.0,5102.35,0,0,recon_MATCH_CSO
9011175414C,9011175414,2,26483.75,25000.0,0.0,0.0,26483.75,0,0,recon_MATCH_CSO
9011178457C,9011178457,2,10189.5,10000.0,0.0,0.0,10189.5,0,0,recon_MATCH_CSO
9011181208C,9011181208,2,5180.18,5000.0,0.0,0.0,5180.18,0,0,recon_MATCH_CSO
9011181683C,9011181683,2,25271.06,25000.0,0.0,0.0,25271.06,0,0,recon_MATCH_CSO
9011184291C,9011184291,2,5246.65,5000.0,0.0,0.0,5246.65,0,0,recon_MATCH_CSO
9011184745C,9011184745,2,25132.48,25000.0,0.0,0.0,25132.48,0,0,recon_MATCH_CSO
9011187601C,9011187601,2,5114.88,5000.0,0.0,0.0,5114.88,0,0,recon_MATCH_CSO
9011187904C,9011187904,2,5269.64,5000.0,0.0,0.0,5269.64,0,0,recon_MATCH_CSO
9011190410C,9011190410,2,5110.84,5000.0,0.0,0.0,5110.84,0,0,recon_MATCH_CSO
9011191289C,9011191289,2,8132.88,8000.0,0.0,0.0,8132.88,0,0,recon_MATCH_CSO
9011191584C,9011191584,2,8498.14,8000.0,0.0,0.0,8498.14,0,0,recon_MATCH_CSO
9011192032C,9011192032,2,8398.32,8000.0,0.0,0.0,8398.32,0,0,recon_MATCH_CSO
9011194273C,9011194273,2,5271.23,5000.0,0.0,0.0,5271.23,0,0,recon_MATCH_CSO
9011195087C,9011195087,2,50347.28,50000.0,0.0,0.0,50347.28,0,0,recon_MATCH_CSO
9011197559C,9011197559,2,25113.71,25000.0,0.0,0.0,25113.71,0,0,recon_MATCH_CSO
9011198344C,9011198344,2,105244.48,100000.0,0.0,0.0,105244.48,0,0,recon_MATCH_CSO
9011198366C,9011198366,2,10121.7,10000.0,0.0,0.0,10121.7,0,0,recon_MATCH_CSO
9011198806C,9011198806,2,15145.25,15000.0,0.0,0.0,15145.25,0,0,recon_MATCH_CSO
9011199632C,9011199632,2,12276.81,12000.0,0.0,0.0,12276.81,0,0,recon_MATCH_CSO
9011207871C,9011207871,2,35132.32,35000.0,0.0,0.0,35132.32,0,0,recon_MATCH_CSO
9011214181C,9011214181,2,5121.11,5000.0,0.0,0.0,5121.11,0,0,recon_MATCH_CSO
9011216680C,9011216680,2,15331.67,15000.0,0.0,0.0,15331.67,0,0,recon_MATCH_CSO
9011220582C,9011220582,2,50178.53,50000.0,0.0,0.0,50178.53,0,0,recon_MATCH_CSO
9011221309C,9011221309,2,11770.89,10000.0,0.0,0.0,11770.89,0,0,recon_MATCH_CSO
9011222039C,9011222039,2,5352.46,5000.0,0.0,0.0,5352.46,0,0,recon_MATCH_CSO
9011223989C,9011223989,2,5190.74,5000.0,0.0,0.0,5190.74,0,0,recon_MATCH_CSO
9011226091C,9011226091,2,25137.26,25000.0,0.0,0.0,25137.26,0,0,recon_MATCH_CSO
9011237180C,9011237180,2,25300.3,25000.0,0.0,0.0,25300.3,0,0,recon_MATCH_CSO
9011243725C,9011243725,2,50203.51,50000.0,0.0,0.0,50203.51,0,0,recon_MATCH_CSO
9011261276C,9011261276,2,25228.18,25000.0,0.0,0.0,25228.18,0,0,recon_MATCH_CSO
9011264375C,9011264375,2,25108.67,25000.0,0.0,0.0,25108.67,0,0,recon_MATCH_CSO
9011266421C,9011266421,2,13501.51,13000.0,0.0,0.0,13501.51,0,0,recon_MATCH_CSO
9011282859C,9011282859,2,50143.24,50000.0,0.0,0.0,50143.24,0,0,recon_MATCH_CSO
9015000341C,9015000341,2,5201.97,5000.0,0.0,0.0,5201.97,0,0,recon_MATCH_CSO
9015000570C,9015000570,2,5217.65,5000.0,0.0,0.0,5217.65,0,0,recon_MATCH_CSO
