mpolicy,policy_digits,population,is_teacher_death,cso_total_paid,death_mpaid,death_mintamt,death_rows,death_claimstats,payee_sum_mamount,payee_rows,residual_cso_minus_death_mpaid,payee_minus_death_mpaid,non_death_rows,non_death_families,non_death_mpaid_sum_DO_NOT_ADD_TO_CSO,pactg_row_count,pactg_layer_totals_json,proposed_rule_class,proposed_rule_note,cso_plan_code,cso_last_pd_date
9010402014C,9010402014,AVAILABLE_MATCH,N,4290.22,4290.22,0.0,1,2,4290.22,1,0.0,0.0,0,,0.0,41,"{""clearing_death"": 4290.22, ""loan_interest_capitalized"": 732.55, ""loan_unearned_interest_income"": 221.99, ""payout_death_claim_payment"": 4290.22, ""reinstatement_clearing"": 17540.76, ""unapplied_intraco"": 1479.03, ""unclassified"": 610.42}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,167002,2025-01-17 00:00:00
9010403922C,9010403922,MISSING_ERIC_SUPPLY,N,9666.78,0.0,0.0,0,,0.0,0,9666.78,0.0,0,,0.0,0,{},ERIC_POLICY_GAP,Absent from current Output; Eric has not supplied all policies yet — not a conversion failure,167001,2024-05-08 00:00:00
9010404857C,9010404857,MISSING_ERIC_SUPPLY,N,6292.7,0.0,0.0,0,,0.0,0,6292.7,0.0,0,,0.0,0,{},ERIC_POLICY_GAP,Absent from current Output; Eric has not supplied all policies yet — not a conversion failure,167001,2018-03-07 00:00:00
9010406247C,9010406247,MISSING_ERIC_SUPPLY,N,7695.77,0.0,0.0,0,,0.0,0,7695.77,0.0,0,,0.0,0,{},ERIC_POLICY_GAP,Absent from current Output; Eric has not supplied all policies yet — not a conversion failure,167001,2017-08-15 00:00:00
9010406605C,9010406605,MISSING_ERIC_SUPPLY,N,3422.57,0.0,0.0,0,,0.0,0,3422.57,0.0,0,,0.0,0,{},ERIC_POLICY_GAP,Absent from current Output; Eric has not supplied all policies yet — not a conversion failure,166300,2017-03-20 00:00:00
9010406795C,9010406795,MISSING_ERIC_SUPPLY,N,8750.51,0.0,0.0,0,,0.0,0,8750.51,0.0,0,,0.0,0,{},ERIC_POLICY_GAP,Absent from current Output; Eric has not supplied all policies yet — not a conversion failure,167002,2018-07-27 00:00:00
9010406962C,9010406962,AVAILABLE_MATCH,N,883.67,883.67,0.0,1,2,883.67,1,0.0,0.0,0,,0.0,2,"{""clearing_death"": 883.67, ""payout_death_claim_payment"": 883.67}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,167002,2021-08-09 00:00:00
9010407533C,9010407533,AVAILABLE_MATCH,N,9206.17,9206.17,0.0,1,2,9206.17,4,0.0,0.0,0,,0.0,17,"{""clearing_death"": 9206.17, ""payout_death_claim_payment"": 9206.17, ""unapplied_intraco"": 480.0, ""unclassified"": 908.98}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,167002,2025-11-03 00:00:00
9010410566C,9010410566,AVAILABLE_MATCH,N,5470.48,5470.48,0.0,1,2,5470.48,1,0.0,0.0,0,,0.0,3,"{""clearing_death"": 5470.48, ""payout_death_claim_payment"": 5470.48}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,167002,2023-06-19 00:00:00
9010410714C,9010410714,MISSING_ERIC_SUPPLY,N,6140.25,0.0,0.0,0,,0.0,0,6140.25,0.0,0,,0.0,0,{},ERIC_POLICY_GAP,Absent from current Output; Eric has not supplied all policies yet — not a conversion failure,167001,2019-07-02 00:00:00
9010411499C,9010411499,AVAILABLE_MISMATCH,N,10466.96,20934.25,0.0,1,2,20934.25,2,-10467.29,0.0,0,,0.0,51,"{""clearing_death"": 20934.25, ""payout_death_claim_payment"": 31401.54, ""reinstatement_endow_loop"": 10467.29, ""unclassified"": 795.75}",DUPLICATE_PAYOUT,MPAID ≈ 2× CSO Total_Paid,167001,2021-09-30 00:00:00
9010411727C,9010411727,AVAILABLE_MATCH,N,17235.67,17235.67,0.0,1,2,0.0,0,0.0,-17235.67,0,,0.0,8,"{""clearing_death"": 10000.0, ""dividend_interest"": 293.27, ""dividend_on_deposit"": 7235.67, ""payout_death_claim_payment"": 17235.67}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,166300,2019-04-17 00:00:00
9010412522C,9010412522,AVAILABLE_MATCH,N,20435.43,20435.43,0.0,1,2,20435.43,1,0.0,0.0,0,,0.0,25,"{""clearing_death"": 20435.43, ""payout_death_claim_payment"": 20435.43, ""unclassified"": 844.57}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,166101,2019-08-07 00:00:00
9010412526C,9010412526,AVAILABLE_MATCH,N,9197.24,9197.24,0.0,1,2,9197.24,1,0.0,0.0,0,,0.0,40,"{""clearing_death"": 9197.24, ""payout_death_claim_payment"": 9197.24, ""unclassified"": 721.6}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,167001,2020-08-14 00:00:00
9010413417C,9010413417,AVAILABLE_MATCH,N,11563.2,11563.2,0.0,1,2,11563.2,1,0.0,0.0,0,,0.0,3,"{""clearing_death"": 11563.2, ""payout_death_claim_payment"": 11563.2}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,167001,2019-02-19 00:00:00
9010413628C,9010413628,AVAILABLE_MATCH,N,10234.54,10234.54,0.0,1,2,10234.54,1,0.0,0.0,0,,0.0,53,"{""clearing_death"": 10234.54, ""payout_death_claim_payment"": 10234.54, ""unclassified"": 1017.2}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,167001,2021-07-14 00:00:00
9010414235C,9010414235,AVAILABLE_MATCH,N,9060.74,9060.74,0.0,1,2,9060.74,1,0.0,0.0,0,,0.0,75,"{""clearing_death"": 9060.74, ""payout_death_claim_payment"": 9060.74, ""reversal"": 136.39, ""unclassified"": 903.69}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,167001,2022-03-31 00:00:00
9010415376C,9010415376,MISSING_ERIC_SUPPLY,N,4962.81,0.0,0.0,0,,0.0,0,4962.81,0.0,0,,0.0,0,{},ERIC_POLICY_GAP,Absent from current Output; Eric has not supplied all policies yet — not a conversion failure,167002,2017-09-01 00:00:00
9010415834C,9010415834,AVAILABLE_MATCH,N,9380.63,9380.63,0.0,1,2,9380.63,2,0.0,0.0,0,,0.0,39,"{""clearing_death"": 9195.63, ""payout_death_claim_payment"": 9380.63, ""unapplied_intraco"": 185.0, ""unclassified"": 701.6}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,167001,2020-07-22 00:00:00
9010417200C,9010417200,MISSING_ERIC_SUPPLY,N,3283.18,0.0,0.0,0,,0.0,0,3283.18,0.0,0,,0.0,0,{},ERIC_POLICY_GAP,Absent from current Output; Eric has not supplied all policies yet — not a conversion failure,167001,2020-06-17 00:00:00
9010418088C,9010418088,AVAILABLE_MATCH,N,10000.0,10000.0,0.0,1,2,10000.0,1,0.0,0.0,0,,0.0,2,"{""clearing_death"": 10000.0, ""payout_death_claim_payment"": 10000.0}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,166300,2024-07-31 00:00:00
9010418208C,9010418208,MISSING_ERIC_SUPPLY,N,1676.99,0.0,0.0,0,,0.0,0,1676.99,0.0,0,,0.0,0,{},ERIC_POLICY_GAP,Absent from current Output; Eric has not supplied all policies yet — not a conversion failure,167001,2017-04-10 00:00:00
9010418562C,9010418562,AVAILABLE_MATCH,N,6816.41,6816.41,0.0,1,2,6816.41,1,0.0,0.0,0,,0.0,3,"{""clearing_death"": 6816.41, ""payout_death_claim_payment"": 6816.41}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,167002,2018-05-29 00:00:00
9010421832C,9010421832,MISSING_ERIC_SUPPLY,N,16109.44,0.0,0.0,0,,0.0,0,16109.44,0.0,0,,0.0,0,{},ERIC_POLICY_GAP,Absent from current Output; Eric has not supplied all policies yet — not a conversion failure,166300,2017-10-16 00:00:00
9010422105C,9010422105,MISSING_ERIC_SUPPLY,N,10593.48,0.0,0.0,0,,0.0,0,10593.48,0.0,0,,0.0,0,{},ERIC_POLICY_GAP,Absent from current Output; Eric has not supplied all policies yet — not a conversion failure,167001,2017-11-10 00:00:00
9010424798C,9010424798,AVAILABLE_MATCH,N,8389.72,8389.72,0.0,1,2,8389.72,1,0.0,0.0,0,,0.0,24,"{""clearing_death"": 8389.72, ""payout_death_claim_payment"": 8389.72, ""unapplied_intraco"": 572.4, ""unclassified"": 378.76}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,167002,2023-10-25 00:00:00
9010425718C,9010425718,AVAILABLE_MATCH,N,6498.54,6498.54,0.0,1,2,6498.54,1,0.0,0.0,0,,0.0,4,"{""clearing_death"": 6467.99, ""interest_death_benefit"": 30.55, ""payout_death_claim_payment"": 6498.54}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,167002,2019-01-29 00:00:00
9010425720C,9010425720,MISSING_ERIC_SUPPLY,N,1918.99,0.0,0.0,0,,0.0,0,1918.99,0.0,0,,0.0,0,{},ERIC_POLICY_GAP,Absent from current Output; Eric has not supplied all policies yet — not a conversion failure,167001,2020-11-25 00:00:00
9010425845C,9010425845,AVAILABLE_MATCH,N,7547.16,7547.16,0.0,1,2,7547.16,1,0.0,0.0,0,,0.0,41,"{""clearing_death"": 7547.16, ""payout_death_claim_payment"": 7547.16, ""payout_related"": 64.8, ""reversal"": 173.38, ""unapplied_intraco"": 712.8, ""unclassified"": 494.35}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,167001,2021-08-11 00:00:00
9010425928C,9010425928,AVAILABLE_MATCH,N,11036.05,11036.05,0.0,1,2,11036.05,1,0.0,0.0,0,,0.0,80,"{""clearing_death"": 11036.05, ""payout_death_claim_payment"": 11036.05, ""unclassified"": 1599.29}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,167002,2023-11-08 00:00:00
9010426657C,9010426657,IN_OUTPUT_NO_DEATH_HEADER,N,1453.48,0.0,0.0,0,,0.0,0,1453.48,0.0,1,DISBURSEMENT,0.0,13,"{""clearing_death"": 25764.82, ""loan_interest_capitalized"": 2701.33, ""loan_unearned_interest_income"": 512.25, ""payout_death_claim_payment"": 484.5, ""payout_related"": 968.98}",NO_DEATH_CLAIM_ROW,Policy in Output but no DEATH_CLAIM/CLAIMSTAT 1|2 header; do not use PS/surrender amounts,167002,2022-11-22 00:00:00
9010426858C,9010426858,AVAILABLE_MATCH,N,14301.78,14301.78,0.0,1,2,14301.78,2,0.0,0.0,0,,0.0,18,"{""clearing_death"": 14301.78, ""payout_death_claim_payment"": 14301.78, ""unclassified"": 283.58}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,167002,2019-01-04 00:00:00
9010427457C,9010427457,AVAILABLE_MATCH,N,8367.72,8367.72,0.0,1,2,8367.72,1,0.0,0.0,0,,0.0,37,"{""clearing_death"": 8367.72, ""payout_death_claim_payment"": 8367.72, ""unclassified"": 688.76}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,167002,2023-12-06 00:00:00
9010427723C,9010427723,AVAILABLE_MATCH,N,13503.51,13503.51,0.0,1,2,13503.51,1,0.0,0.0,0,,0.0,5,"{""clearing_death"": 13493.33, ""interest_death_benefit"": 10.18, ""payout_death_claim_payment"": 13503.51}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,167002,2018-02-21 00:00:00
9010428771C,9010428771,AVAILABLE_MISMATCH,N,5023.62,10023.62,0.0,1,2,10023.62,2,-5000.0,0.0,0,,0.0,11,"{""clearing_death"": 10000.0, ""interest_death_benefit"": 23.62, ""payout_cash_death_claim"": 5000.0, ""payout_death_claim_payment"": 10023.62, ""reinstatement_endow_loop"": 10000.0}",DUPLICATE_PAYOUT,MPAID ≈ 2× CSO Total_Paid,167001,2020-04-24 00:00:00
9010429064C,9010429064,AVAILABLE_MATCH,Y,22711.07,22711.07,0.0,1,2,22711.07,1,0.0,0.0,0,,0.0,23,"{""clearing_death"": 22577.89, ""interest_death_benefit"": 133.18, ""payout_death_claim_payment"": 22711.07, ""unapplied_intraco"": 2880.12, ""unclassified"": 1847.09}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,167002,2024-02-16 00:00:00
9010429259C,9010429259,AVAILABLE_MATCH,N,17507.35,17507.35,0.0,1,2,17507.35,3,0.0,0.0,0,,0.0,40,"{""clearing_death"": 17425.04, ""interest_death_benefit"": 82.31, ""payout_death_claim_payment"": 17507.35, ""unclassified"": 1041.82}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,166101,2020-08-19 00:00:00
9010429532C,9010429532,AVAILABLE_MATCH,N,7186.35,7186.35,0.0,1,2,7186.35,1,0.0,0.0,0,,0.0,3,"{""clearing_death"": 7186.35, ""payout_death_claim_payment"": 7186.35}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,167002,2021-08-24 00:00:00
9010429558C,9010429558,AVAILABLE_MATCH,N,12604.44,12604.44,0.0,1,2,12604.44,1,0.0,0.0,0,,0.0,63,"{""clearing_death"": 12443.91, ""interest_death_benefit"": 160.53, ""payout_death_claim_payment"": 12604.44, ""unapplied_intraco"": 339.6, ""unclassified"": 1135.49}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,167002,2021-12-28 00:00:00
9010429965C,9010429965,AVAILABLE_MATCH,N,21055.31,21055.31,0.0,1,2,21055.31,1,0.0,0.0,0,,0.0,107,"{""clearing_death"": 21055.31, ""payout_death_claim_payment"": 21055.31, ""unclassified"": 3529.18}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,167001,2025-12-11 00:00:00
9010430016C,9010430016,MISSING_ERIC_SUPPLY,N,10358.79,0.0,0.0,0,,0.0,0,10358.79,0.0,0,,0.0,0,{},ERIC_POLICY_GAP,Absent from current Output; Eric has not supplied all policies yet — not a conversion failure,167001,2018-11-01 00:00:00
9010430023C,9010430023,AVAILABLE_MATCH,N,10226.15,10226.15,0.0,1,2,10226.15,1,0.0,0.0,0,,0.0,44,"{""clearing_death"": 10165.61, ""interest_death_benefit"": 60.54, ""payout_death_claim_payment"": 10226.15, ""unclassified"": 787.25}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,167002,2021-01-26 00:00:00
9010430086C,9010430086,MISSING_ERIC_SUPPLY,N,6481.27,0.0,0.0,0,,0.0,0,6481.27,0.0,0,,0.0,0,{},ERIC_POLICY_GAP,Absent from current Output; Eric has not supplied all policies yet — not a conversion failure,167002,2020-02-27 00:00:00
9010430296C,9010430296,AVAILABLE_MATCH,Y,11639.54,11639.54,0.0,1,2,11639.54,1,0.0,0.0,0,,0.0,79,"{""clearing_death"": 11544.87, ""interest_death_benefit"": 94.67, ""payout_death_claim_payment"": 11639.54, ""unclassified"": 1450.52}",MATCH_CSO,Death MPAID equals CSO Total_Paid within tolerance,167002,2023-10-03 00:00:00
