mpolicy,population,policy_digits,effective_date,debit_code,credit_code,debit_account,credit_account,trans_amount,date_reversed,reversal_code,layer_class
9010331157C,AVAILABLE_MATCH,9010331157,20180717,0012,0110,2019,400103R,44.28,0,,unapplied_intraco
9010331157C,AVAILABLE_MATCH,9010331157,20180717,0641,0310,603703R,2023,162.94,0,,dividend_interest
9010331157C,AVAILABLE_MATCH,9010331157,20180717,0514,0310,905003R,2023,220.2,0,,dividend_on_deposit
9010331157C,AVAILABLE_MATCH,9010331157,20181005,0049,0012,1061000049,2019,44.28,0,,unapplied_intraco
9010331157C,AVAILABLE_MATCH,9010331157,20181017,0012,0110,2019,400103R,44.28,0,,unapplied_intraco
9010331157C,AVAILABLE_MATCH,9010331157,20181231,0641,0310,603703R,2023,143.3,0,,dividend_interest
9010331157C,AVAILABLE_MATCH,9010331157,20190111,0049,0012,1061000049,2019,44.28,0,,unapplied_intraco
9010331157C,AVAILABLE_MATCH,9010331157,20190117,0012,0110,2019,400103R,44.28,0,,unapplied_intraco
9010331157C,AVAILABLE_MATCH,9010331157,20190315,0530,0038,600103R,2032,10000.0,0,,clearing_death
9010331157C,AVAILABLE_MATCH,9010331157,20190315,0641,0310,603703R,2023,64.22,0,,dividend_interest
9010331157C,AVAILABLE_MATCH,9010331157,20190315,0310,0038,2023,2032,9240.69,0,,dividend_on_deposit
9010331157C,AVAILABLE_MATCH,9010331157,20190315,0110,0038,400103R,2032,16.24,0,,clearing_death
9010331157C,AVAILABLE_MATCH,9010331157,20190315,0630,0038,603803R,2032,189.69,0,,interest_death_benefit
9010331157C,AVAILABLE_MATCH,9010331157,20190315,0038,0094,2032,1058,3889.33,0,,payout_death_claim_payment
9010331157C,AVAILABLE_MATCH,9010331157,20190315,0038,0094,2032,1058,3889.33,0,,payout_death_claim_payment
9010331157C,AVAILABLE_MATCH,9010331157,20190315,0038,0094,2032,1058,3889.32,0,,payout_death_claim_payment
9010331157C,AVAILABLE_MATCH,9010331157,20190315,0038,0094,2032,1058,3889.32,0,,payout_death_claim_payment
9010331157C,AVAILABLE_MATCH,9010331157,20190315,0038,0094,2032,1058,3889.32,0,,payout_death_claim_payment
9010335038C,AVAILABLE_MATCH,9010335038,20180227,0049,0012,1061000049,2019,36.38,0,,unapplied_intraco
9010335038C,AVAILABLE_MATCH,9010335038,20180309,0012,0110,2019,400103R,36.38,0,,unapplied_intraco
9010335038C,AVAILABLE_MATCH,9010335038,20180422,0530,0038,600103R,2032,5000.0,0,,clearing_death
9010335038C,AVAILABLE_MATCH,9010335038,20180422,0641,0310,603703R,2023,70.96,0,,dividend_interest
9010335038C,AVAILABLE_MATCH,9010335038,20180422,0310,0038,2023,2032,6758.07,0,,dividend_on_deposit
9010335038C,AVAILABLE_MATCH,9010335038,20180422,0110,0038,400103R,2032,18.98,0,,clearing_death
9010335038C,AVAILABLE_MATCH,9010335038,20180422,0038,0094,2032,1058,11777.05,0,,payout_death_claim_payment
9010363098C,AVAILABLE_MATCH,9010363098,20180102,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20180202,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20180302,0044,0012,1061000044,2019,68.4,0,,unapplied_intraco
9010363098C,AVAILABLE_MATCH,9010363098,20180201,0451,0412,7046,1017,14.62,0,,loan_unearned_interest_income
9010363098C,AVAILABLE_MATCH,9010363098,20180201,0012,0413,2019,1017,68.4,0,,unapplied_intraco
9010363098C,AVAILABLE_MATCH,9010363098,20180201,0412,0451,1017,7046,13.44,0,,loan_interest_capitalized
9010363098C,AVAILABLE_MATCH,9010363098,20180227,0451,0412,7046,1017,10.57,0,,loan_unearned_interest_income
9010363098C,AVAILABLE_MATCH,9010363098,20180302,0044,0012,1061000044,2019,75.0,0,,unapplied_intraco
9010363098C,AVAILABLE_MATCH,9010363098,20180227,0012,0413,2019,1017,75.0,0,,unapplied_intraco
9010363098C,AVAILABLE_MATCH,9010363098,20180227,0412,0451,1017,7046,9.57,0,,loan_interest_capitalized
9010363098C,AVAILABLE_MATCH,9010363098,20180302,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20180402,0044,0012,1061000044,2019,75.0,0,,unapplied_intraco
9010363098C,AVAILABLE_MATCH,9010363098,20180402,0451,0412,7046,1017,6.16,0,,loan_unearned_interest_income
9010363098C,AVAILABLE_MATCH,9010363098,20180402,0012,0413,2019,1017,75.0,0,,unapplied_intraco
9010363098C,AVAILABLE_MATCH,9010363098,20180402,0412,0451,1017,7046,5.51,0,,loan_interest_capitalized
9010363098C,AVAILABLE_MATCH,9010363098,20180402,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20180502,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20180602,0044,0012,1061000044,2019,75.0,0,,unapplied_intraco
9010363098C,AVAILABLE_MATCH,9010363098,20180504,0451,0412,7046,1017,2.62,0,,loan_unearned_interest_income
9010363098C,AVAILABLE_MATCH,9010363098,20180504,0012,0413,2019,1017,75.0,0,,unapplied_intraco
9010363098C,AVAILABLE_MATCH,9010363098,20180504,0412,0451,1017,7046,2.32,0,,loan_interest_capitalized
9010363098C,AVAILABLE_MATCH,9010363098,20180602,0044,0012,1061000044,2019,100.0,0,,unapplied_intraco
9010363098C,AVAILABLE_MATCH,9010363098,20180529,0451,0412,7046,1017,0.32,0,,loan_unearned_interest_income
9010363098C,AVAILABLE_MATCH,9010363098,20180529,0012,0413,2019,1017,100.0,0,,unapplied_intraco
9010363098C,AVAILABLE_MATCH,9010363098,20180529,0412,0451,1017,7046,0.26,0,,loan_interest_capitalized
9010363098C,AVAILABLE_MATCH,9010363098,20180602,0517,0112,906103R,406203S,119.9,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20180602,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20180602,0412,0451,1017,7046,24.75,0,,loan_interest_capitalized
9010363098C,AVAILABLE_MATCH,9010363098,20180702,0044,0012,1061000044,2019,23.51,0,,unapplied_intraco
9010363098C,AVAILABLE_MATCH,9010363098,20180620,0451,0412,7046,1017,23.56,0,,loan_unearned_interest_income
9010363098C,AVAILABLE_MATCH,9010363098,20180620,0012,0413,2019,1017,23.51,0,,unapplied_intraco
9010363098C,AVAILABLE_MATCH,9010363098,20180620,0412,0451,1017,7046,22.38,0,,loan_interest_capitalized
9010363098C,AVAILABLE_MATCH,9010363098,20180702,0044,0012,1061000044,2019,75.0,0,,unapplied_intraco
9010363098C,AVAILABLE_MATCH,9010363098,20180702,0012,0110,2019,400103R,8.7,0,,unapplied_intraco
9010363098C,AVAILABLE_MATCH,9010363098,20180628,0451,0412,7046,1017,21.88,0,,loan_unearned_interest_income
9010363098C,AVAILABLE_MATCH,9010363098,20180628,0012,0413,2019,1017,66.3,0,,unapplied_intraco
9010363098C,AVAILABLE_MATCH,9010363098,20180628,0412,0451,1017,7046,18.65,0,,loan_interest_capitalized
9010363098C,AVAILABLE_MATCH,9010363098,20180802,0044,0012,1061000044,2019,82.73,0,,unapplied_intraco
9010363098C,AVAILABLE_MATCH,9010363098,20180802,0012,0110,2019,400103R,8.7,0,,unapplied_intraco
9010363098C,AVAILABLE_MATCH,9010363098,20180731,0451,0412,7046,1017,16.87,0,,loan_unearned_interest_income
9010363098C,AVAILABLE_MATCH,9010363098,20180731,0012,0413,2019,1017,74.03,0,,unapplied_intraco
9010363098C,AVAILABLE_MATCH,9010363098,20180731,0412,0451,1017,7046,13.62,0,,loan_interest_capitalized
9010363098C,AVAILABLE_MATCH,9010363098,20180902,0044,0012,1061000044,2019,84.93,0,,unapplied_intraco
9010363098C,AVAILABLE_MATCH,9010363098,20180815,0451,0412,7046,1017,12.97,0,,loan_unearned_interest_income
9010363098C,AVAILABLE_MATCH,9010363098,20180815,0012,0413,2019,1017,84.93,0,,unapplied_intraco
9010363098C,AVAILABLE_MATCH,9010363098,20180815,0412,0451,1017,7046,9.42,0,,loan_interest_capitalized
9010363098C,AVAILABLE_MATCH,9010363098,20180902,0044,0012,1061000044,2019,75.0,0,,unapplied_intraco
9010363098C,AVAILABLE_MATCH,9010363098,20180828,0451,0412,7046,1017,9.01,0,,loan_unearned_interest_income
9010363098C,AVAILABLE_MATCH,9010363098,20180828,0012,0413,2019,1017,75.0,0,,unapplied_intraco
9010363098C,AVAILABLE_MATCH,9010363098,20180828,0412,0451,1017,7046,6.02,0,,loan_interest_capitalized
9010363098C,AVAILABLE_MATCH,9010363098,20180902,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20181002,0044,0012,1061000044,2019,75.0,0,,unapplied_intraco
9010363098C,AVAILABLE_MATCH,9010363098,20180920,0451,0412,7046,1017,5.53,0,,loan_unearned_interest_income
9010363098C,AVAILABLE_MATCH,9010363098,20180920,0012,0413,2019,1017,75.0,0,,unapplied_intraco
9010363098C,AVAILABLE_MATCH,9010363098,20180920,0412,0451,1017,7046,2.79,0,,loan_interest_capitalized
9010363098C,AVAILABLE_MATCH,9010363098,20181002,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20181102,0044,0012,1061000044,2019,76.59,0,,unapplied_intraco
9010363098C,AVAILABLE_MATCH,9010363098,20181005,0451,0412,7046,1017,2.63,20181107,Y,reversal
9010363098C,AVAILABLE_MATCH,9010363098,20181005,0012,0413,2019,1017,76.59,20181107,Y,reversal
9010363098C,AVAILABLE_MATCH,9010363098,20181102,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20180921,0451,0412,7046,1017,2.78,0,,loan_unearned_interest_income
9010363098C,AVAILABLE_MATCH,9010363098,20180921,0012,0413,2019,1017,76.52,0,,unapplied_intraco
9010363098C,AVAILABLE_MATCH,9010363098,20181107,0012,0710,2019,8047,0.07,0,,unapplied_intraco
9010363098C,AVAILABLE_MATCH,9010363098,20181202,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20190102,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20190202,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20190302,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20190402,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20190502,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20190602,0517,0112,906103R,406203S,122.6,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20190602,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20190702,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20190802,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20190902,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20191002,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20191102,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20191202,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20200102,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20200202,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20200302,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20200402,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20200502,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20200602,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20200602,0517,0112,906103R,406203S,125.25,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20200702,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20200802,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20200902,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20201002,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20201102,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20201202,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20210102,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20210202,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20210302,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20210402,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20210502,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20210602,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20210602,0517,0112,906103R,406203S,127.85,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20210702,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20210802,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20210902,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20211002,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20211102,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20211202,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20220102,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20220202,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20220302,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20220402,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20220502,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20220602,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20220602,0517,0112,906103R,406203S,130.4,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20220702,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20220802,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20220902,0046,0110,1018,400103R,8.7,0,,unclassified
9010363098C,AVAILABLE_MATCH,9010363098,20220917,0530,0038,600103R,2032,5000.0,0,,clearing_death
9010363098C,AVAILABLE_MATCH,9010363098,20220917,0110,0038,400103R,2032,4.35,0,,clearing_death
9010363098C,AVAILABLE_MATCH,9010363098,20220917,0038,0094,2032,1058,7770.08,0,,payout_death_claim_payment
9010363098C,AVAILABLE_MATCH,9010363098,20220917,0530,0038,600103R,2032,2765.73,0,,clearing_death
9010368703C,AVAILABLE_MATCH,9010368703,20180101,0046,0110,1018,400103R,10.0,0,,unclassified
9010368703C,AVAILABLE_MATCH,9010368703,20180201,0046,0110,1018,400103R,10.0,0,,unclassified
9010368703C,AVAILABLE_MATCH,9010368703,20180301,0046,0110,1018,400103R,10.0,0,,unclassified
9010368703C,AVAILABLE_MATCH,9010368703,20180401,0046,0110,1018,400103R,10.0,0,,unclassified
9010368703C,AVAILABLE_MATCH,9010368703,20180501,0046,0110,1018,400103R,10.0,0,,unclassified
9010368703C,AVAILABLE_MATCH,9010368703,20180601,0046,0110,1018,400103R,10.0,0,,unclassified
9010368703C,AVAILABLE_MATCH,9010368703,20180701,0046,0110,1018,400103R,10.0,0,,unclassified
9010368703C,AVAILABLE_MATCH,9010368703,20180801,0517,0112,906103R,406203S,164.62,0,,unclassified
9010368703C,AVAILABLE_MATCH,9010368703,20180801,0046,0110,1018,400103R,10.0,0,,unclassified
9010368703C,AVAILABLE_MATCH,9010368703,20180901,0046,0110,1018,400103R,10.0,0,,unclassified
9010368703C,AVAILABLE_MATCH,9010368703,20181001,0046,0110,1018,400103R,10.0,0,,unclassified
9010368703C,AVAILABLE_MATCH,9010368703,20181101,0046,0110,1018,400103R,10.0,0,,unclassified
9010368703C,AVAILABLE_MATCH,9010368703,20181201,0046,0110,1018,400103R,10.0,0,,unclassified
9010368703C,AVAILABLE_MATCH,9010368703,20190101,0046,0110,1018,400103R,10.0,0,,unclassified
9010368703C,AVAILABLE_MATCH,9010368703,20190201,0046,0110,1018,400103R,10.0,0,,unclassified
9010368703C,AVAILABLE_MATCH,9010368703,20190301,0046,0110,1018,400103R,10.0,0,,unclassified
9010368703C,AVAILABLE_MATCH,9010368703,20190401,0046,0110,1018,400103R,10.0,0,,unclassified
9010368703C,AVAILABLE_MATCH,9010368703,20190501,0046,0110,1018,400103R,10.0,0,,unclassified
9010368703C,AVAILABLE_MATCH,9010368703,20190601,0046,0110,1018,400103R,10.0,0,,unclassified
9010368703C,AVAILABLE_MATCH,9010368703,20190701,0046,0110,1018,400103R,10.0,0,,unclassified
9010368703C,AVAILABLE_MATCH,9010368703,20190801,0046,0110,1018,400103R,10.0,0,,unclassified
9010368703C,AVAILABLE_MATCH,9010368703,20190801,0517,0112,906103R,406203S,168.33,0,,unclassified
9010368703C,AVAILABLE_MATCH,9010368703,20190901,0046,0110,1018,400103R,10.0,0,,unclassified
9010368703C,AVAILABLE_MATCH,9010368703,20191001,0046,0110,1018,400103R,10.0,0,,unclassified
9010368703C,AVAILABLE_MATCH,9010368703,20191101,0046,0110,1018,400103R,10.0,0,,unclassified
9010368703C,AVAILABLE_MATCH,9010368703,20191201,0046,0110,1018,400103R,10.0,0,,unclassified
9010368703C,AVAILABLE_MATCH,9010368703,20200101,0046,0110,1018,400103R,10.0,0,,unclassified
9010368703C,AVAILABLE_MATCH,9010368703,20200201,0046,0110,1018,400103R,10.0,0,,unclassified
9010368703C,AVAILABLE_MATCH,9010368703,20200301,0046,0110,1018,400103R,10.0,0,,unclassified
9010368703C,AVAILABLE_MATCH,9010368703,20200401,0046,0110,1018,400103R,10.0,0,,unclassified
9010368703C,AVAILABLE_MATCH,9010368703,20200501,0046,0110,1018,400103R,10.0,0,,unclassified
9010368703C,AVAILABLE_MATCH,9010368703,20200601,0046,0110,1018,400103R,10.0,0,,unclassified
9010368703C,AVAILABLE_MATCH,9010368703,20200701,0046,0110,1018,400103R,10.0,0,,unclassified
9010368703C,AVAILABLE_MATCH,9010368703,20200801,0046,0110,1018,400103R,10.0,0,,unclassified
9010368703C,AVAILABLE_MATCH,9010368703,20200801,0517,0112,906103R,406203S,171.97,0,,unclassified
9010368703C,AVAILABLE_MATCH,9010368703,20200901,0046,0110,1018,400103R,10.0,0,,unclassified
9010368703C,AVAILABLE_MATCH,9010368703,20201001,0046,0110,1018,400103R,10.0,0,,unclassified
9010368703C,AVAILABLE_MATCH,9010368703,20201101,0046,0110,1018,400103R,10.0,0,,unclassified
9010368703C,AVAILABLE_MATCH,9010368703,20201201,0046,0110,1018,400103R,10.0,0,,unclassified
9010368703C,AVAILABLE_MATCH,9010368703,20210101,0046,0110,1018,400103R,10.0,0,,unclassified
9010368703C,AVAILABLE_MATCH,9010368703,20210114,0530,0038,600103R,2032,6865.0,0,,clearing_death
9010368703C,AVAILABLE_MATCH,9010368703,20210114,0110,0038,400103R,2032,5.81,0,,clearing_death
9010368703C,AVAILABLE_MATCH,9010368703,20210114,0038,0094,2032,1058,12890.67,0,,payout_death_claim_payment
9010368703C,AVAILABLE_MATCH,9010368703,20210114,0530,0038,600103R,2032,6019.86,0,,clearing_death
9010371171C,AVAILABLE_MATCH,9010371171,20180101,0046,0110,1018,400103R,10.0,0,,unclassified
9010371171C,AVAILABLE_MATCH,9010371171,20180201,0046,0110,1018,400103R,10.0,0,,unclassified
9010371171C,AVAILABLE_MATCH,9010371171,20180301,0046,0110,1018,400103R,10.0,0,,unclassified
9010371171C,AVAILABLE_MATCH,9010371171,20180401,0046,0110,1018,400103R,10.0,0,,unclassified
9010371171C,AVAILABLE_MATCH,9010371171,20180501,0046,0110,1018,400103R,10.0,0,,unclassified
9010371171C,AVAILABLE_MATCH,9010371171,20180601,0046,0110,1018,400103R,10.0,0,,unclassified
9010371171C,AVAILABLE_MATCH,9010371171,20180701,0046,0110,1018,400103R,10.0,0,,unclassified
9010371171C,AVAILABLE_MATCH,9010371171,20180801,0517,0112,906103R,406203S,160.04,0,,unclassified
9010371171C,AVAILABLE_MATCH,9010371171,20180801,0046,0110,1018,400103R,10.0,0,,unclassified
9010371171C,AVAILABLE_MATCH,9010371171,20180901,0046,0110,1018,400103R,10.0,0,,unclassified
9010371171C,AVAILABLE_MATCH,9010371171,20181001,0046,0110,1018,400103R,10.0,0,,unclassified
9010371171C,AVAILABLE_MATCH,9010371171,20181101,0046,0110,1018,400103R,10.0,0,,unclassified
9010371171C,AVAILABLE_MATCH,9010371171,20181201,0046,0110,1018,400103R,10.0,0,,unclassified
9010371171C,AVAILABLE_MATCH,9010371171,20190101,0046,0110,1018,400103R,10.0,0,,unclassified
9010371171C,AVAILABLE_MATCH,9010371171,20190201,0046,0110,1018,400103R,10.0,0,,unclassified
9010371171C,AVAILABLE_MATCH,9010371171,20190301,0046,0110,1018,400103R,10.0,0,,unclassified
9010371171C,AVAILABLE_MATCH,9010371171,20190401,0046,0110,1018,400103R,10.0,0,,unclassified
