mpolicy,event_role,effective_date,amount,debit_account,credit_account,debit_code,credit_code,date_reversed,rule_reason,policy_category,derived_amount
9010607249C,INCLUDED_ECO_CANDIDATE,20221102,3224.27,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,9672.81
9010731970C,INCLUDED_ECO_CANDIDATE,20220829,20424.82,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,20424.82
9010736035C,INCLUDED_ECO_CANDIDATE,20190613,81378.18,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,81378.18
9010741943C,LOOP_REISSUE_DATE_MARKER,20250820,,,,,,,EXCLUDE_REINSTATEMENT_OR_INTRACO_REISSUE,HOLD_INCOMPLETE_SOURCE,
9010748300C,INCLUDED_ECO_CANDIDATE,20200327,3994.47,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,15977.88
9010748300C,INCLUDED_ECO_CANDIDATE,20200327,3994.47,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,15977.88
9010748300C,INCLUDED_ECO_CANDIDATE,20200327,3994.47,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,15977.88
9010748300C,INCLUDED_ECO_CANDIDATE,20200327,3994.47,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,15977.88
9010749053C,INCLUDED_ECO_CANDIDATE,20220701,3634.52,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,3634.52
9010750813C,INCLUDED_ECO_CANDIDATE,20180629,1071.77,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,1071.77
9010752703C,INCLUDED_ECO_CANDIDATE,20181206,22556.61,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,22556.61
9010769714C,INCLUDED_ECO_CANDIDATE,20230404,49445.73,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,49445.73
9010771111C,INCLUDED_ECO_CANDIDATE,20200430,2166.5,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,29840.23
9010771111C,INCLUDED_ECO_CANDIDATE,20200430,27673.73,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,29840.23
9010771580C,LOOP_REISSUE_DATE_MARKER,20220513,,,,,,,EXCLUDE_REINSTATEMENT_OR_INTRACO_REISSUE,HOLD_INCOMPLETE_SOURCE,
9010771580C,LOOP_REISSUE_DATE_MARKER,20220516,,,,,,,EXCLUDE_REINSTATEMENT_OR_INTRACO_REISSUE,HOLD_INCOMPLETE_SOURCE,
9010771580C,LOOP_REISSUE_DATE_MARKER,20220601,,,,,,,EXCLUDE_REINSTATEMENT_OR_INTRACO_REISSUE,HOLD_INCOMPLETE_SOURCE,
9010771580C,LOOP_REISSUE_DATE_MARKER,20220707,,,,,,,EXCLUDE_REINSTATEMENT_OR_INTRACO_REISSUE,HOLD_INCOMPLETE_SOURCE,
9010771662C,LOOP_REISSUE_DATE_MARKER,20221115,,,,,,,EXCLUDE_REINSTATEMENT_OR_INTRACO_REISSUE,HOLD_INCOMPLETE_SOURCE,
9010771662C,LOOP_REISSUE_DATE_MARKER,20221122,,,,,,,EXCLUDE_REINSTATEMENT_OR_INTRACO_REISSUE,HOLD_INCOMPLETE_SOURCE,
9010774109C,INCLUDED_ECO_CANDIDATE,20201120,4971.24,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,9942.49
9010774109C,INCLUDED_ECO_CANDIDATE,20201120,4971.25,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,9942.49
9010776157C,INCLUDED_ECO_CANDIDATE,20200116,30968.34,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,30968.34
9010776653C,INCLUDED_ECO_CANDIDATE,20190302,30663.38,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,30663.38
9010785049C,INCLUDED_ECO_CANDIDATE,20200503,9221.03,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,15651.06
9010785049C,INCLUDED_ECO_CANDIDATE,20200503,6430.03,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,15651.06
9010785932C,INCLUDED_ECO_CANDIDATE,20220408,11926.31,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,11926.31
9010803025C,INCLUDED_ECO_CANDIDATE,20211027,7086.13,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,17499.78
9010803025C,INCLUDED_ECO_CANDIDATE,20211027,10413.65,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,17499.78
9010809932C,INCLUDED_ECO_CANDIDATE,20190828,25113.36,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,25132.30
9010809932C,INCLUDED_ECO_CANDIDATE,20190828,25132.3,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,25132.30
9010809932C,LOOP_REISSUE_DATE_MARKER,20191016,,,,,,,EXCLUDE_REINSTATEMENT_OR_INTRACO_REISSUE,DERIVED_HIGH,25132.30
9010810504C,INCLUDED_ECO_CANDIDATE,20220824,7828.31,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,24284.16
9010810504C,INCLUDED_ECO_CANDIDATE,20220824,16455.85,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,24284.16
9010811204C,INCLUDED_ECO_CANDIDATE,20230824,17660.74,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,19623.04
9010811204C,INCLUDED_ECO_CANDIDATE,20230824,1962.3,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,19623.04
9010814552C,INCLUDED_ECO_CANDIDATE,20180429,15271.13,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,15271.13
9010814552C,INCLUDED_ECO_CANDIDATE,20180618,15271.13,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,15271.13
9010816590C,INCLUDED_ECO_CANDIDATE,20220916,4142.3,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,4142.30
9010817415C,INCLUDED_ECO_CANDIDATE,20201122,25936.35,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,25936.35
9010817477C,INCLUDED_ECO_CANDIDATE,20230502,53656.24,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,53656.24
9010817639C,INCLUDED_ECO_CANDIDATE,20231215,10735.34,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,10735.34
9010825720C,INCLUDED_ECO_CANDIDATE,20210208,99890.93,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,99890.93
9010834430C,INCLUDED_ECO_CANDIDATE,20181204,14160.46,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,14160.46
9010834689C,INCLUDED_ECO_CANDIDATE,20211130,15701.1,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,15701.10
9010834690C,INCLUDED_ECO_CANDIDATE,20240928,5241.58,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,10483.16
9010834690C,INCLUDED_ECO_CANDIDATE,20240928,5241.58,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,10483.16
9010838129C,INCLUDED_ECO_CANDIDATE,20210316,10943.69,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,10943.69
9010851148C,INCLUDED_ECO_CANDIDATE,20240519,47407.1,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,47407.10
9010856188C,INCLUDED_ECO_CANDIDATE,20240306,5104.31,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,22694.40
9010856188C,INCLUDED_ECO_CANDIDATE,20240306,17590.09,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,22694.40
9010860471C,INCLUDED_ECO_CANDIDATE,20231207,9023.92,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,18257.80
9010860471C,INCLUDED_ECO_CANDIDATE,20231207,9233.88,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,18257.80
9010860472C,INCLUDED_ECO_CANDIDATE,20210129,5700.07,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,34257.45
9010860472C,INCLUDED_ECO_CANDIDATE,20210129,28557.38,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,34257.45
9010863788C,INCLUDED_ECO_CANDIDATE,20250905,30627.74,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,30627.74
9010875065C,INCLUDED_ECO_CANDIDATE,20230928,16701.59,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,16701.59
9010891075C,INCLUDED_ECO_CANDIDATE,20220220,18469.18,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,36938.36
9010891075C,INCLUDED_ECO_CANDIDATE,20220220,18469.18,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,36938.36
9010892327C,INCLUDED_ECO_CANDIDATE,20180418,10088.54,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,10088.54
9010917520C,INCLUDED_ECO_CANDIDATE,20181001,6896.82,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,6896.82
9010917600C,INCLUDED_ECO_CANDIDATE,20190718,5118.07,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,24314.62
9010917600C,INCLUDED_ECO_CANDIDATE,20190718,19196.55,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,24314.62
9010920793C,INCLUDED_ECO_CANDIDATE,20250929,10363.74,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,10363.74
9010928495C,INCLUDED_ECO_CANDIDATE,20241003,5331.43,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,21325.70
9010928495C,INCLUDED_ECO_CANDIDATE,20241003,5331.43,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,21325.70
9010928495C,INCLUDED_ECO_CANDIDATE,20241003,5331.42,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,21325.70
9010928495C,INCLUDED_ECO_CANDIDATE,20241003,5331.42,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,21325.70
9010929235C,INCLUDED_ECO_CANDIDATE,20181001,3128.66,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,4236.96
9010929235C,INCLUDED_ECO_CANDIDATE,20181001,1108.3,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,4236.96
9010929235C,INCLUDED_ECO_CANDIDATE,20181029,1108.3,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,4236.96
9010942233C,INCLUDED_ECO_CANDIDATE,20191129,12165.61,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,12165.61
9011013545C,INCLUDED_ECO_CANDIDATE,20241231,6197.09,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,6197.09
9011016867C,INCLUDED_ECO_CANDIDATE,20230512,8421.91,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,8421.91
9011045847C,INCLUDED_ECO_CANDIDATE,20200731,11636.43,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,11636.43
9011077201C,INCLUDED_ECO_CANDIDATE,20200229,9172.72,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,9172.72
9011077201C,INCLUDED_ECO_CANDIDATE,20200229,9172.72,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,9172.72
9011077201C,LOOP_REISSUE_DATE_MARKER,20200323,,,,,,,EXCLUDE_REINSTATEMENT_OR_INTRACO_REISSUE,DERIVED_HIGH,9172.72
9011083791C,INCLUDED_ECO_CANDIDATE,20231212,9513.81,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,9513.81
9011101578C,INCLUDED_ECO_CANDIDATE,20180628,2328.69,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,2328.69
9011105059C,INCLUDED_ECO_CANDIDATE,20180926,10000.0,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,10037.77
9011105059C,INCLUDED_ECO_CANDIDATE,20180926,10037.77,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,10037.77
9011105059C,LOOP_REISSUE_DATE_MARKER,20181029,,,,,,,EXCLUDE_REINSTATEMENT_OR_INTRACO_REISSUE,DERIVED_HIGH,10037.77
9011105839C,INCLUDED_ECO_CANDIDATE,20190424,1890.17,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,3780.33
9011105839C,INCLUDED_ECO_CANDIDATE,20190424,1890.16,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,3780.33
9011106214C,INCLUDED_ECO_CANDIDATE,20190406,2512.69,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,5078.60
9011106214C,INCLUDED_ECO_CANDIDATE,20190406,2512.68,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,5078.60
9011106214C,INCLUDED_ECO_CANDIDATE,20190406,2539.3,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,5078.60
9011106214C,INCLUDED_ECO_CANDIDATE,20190406,2539.3,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,5078.60
9011106214C,LOOP_REISSUE_DATE_MARKER,20190531,,,,,,,EXCLUDE_REINSTATEMENT_OR_INTRACO_REISSUE,DERIVED_HIGH,5078.60
9011106317C,INCLUDED_ECO_CANDIDATE,20190317,1720.0,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,3009.87
9011106317C,INCLUDED_ECO_CANDIDATE,20190317,1291.24,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,3009.87
9011106317C,INCLUDED_ECO_CANDIDATE,20190317,1720.0,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,3009.87
9011106317C,INCLUDED_ECO_CANDIDATE,20190317,1289.87,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,3009.87
9011106317C,LOOP_REISSUE_DATE_MARKER,20190408,,,,,,,EXCLUDE_REINSTATEMENT_OR_INTRACO_REISSUE,DERIVED_HIGH,3009.87
9011109861C,INCLUDED_ECO_CANDIDATE,20181224,5015.13,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,5015.13
9011109994C,INCLUDED_ECO_CANDIDATE,20200305,5963.99,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,5963.99
9011114096C,INCLUDED_ECO_CANDIDATE,20220520,6755.54,2032,1058,0038,0094,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,DERIVED_HIGH,6755.54
