mpolicy,policy_digits,event_role,effective_date,amount,debit_code,credit_code,debit_account,credit_account,date_reversed,rule_reason,source_lineage,option3_status
9010745640C,9010745640,ECONOMIC_DEATH_PAYOUT_SOURCE,20230901,5030.88,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9010745640C,9010745640,LOOP_DATE_EXCLUDED,20231009,,,,,,,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP,PACTG_LOOP_DATE,CORRECTED
9010764834C,9010764834,ECONOMIC_DEATH_PAYOUT_SOURCE,20180326,10493.02,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9010764834C,9010764834,ECONOMIC_DEATH_PAYOUT_SOURCE,20180326,10577.42,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9010764834C,9010764834,LOOP_DATE_EXCLUDED,20180612,,,,,,,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP,PACTG_LOOP_DATE,CORRECTED
9010778262C,9010778262,ECONOMIC_DEATH_PAYOUT_SOURCE,20190222,3286.18,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9010778262C,9010778262,ECONOMIC_DEATH_PAYOUT_SOURCE,20190222,3286.18,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9010778262C,9010778262,ECONOMIC_DEATH_PAYOUT_SOURCE,20190222,3286.18,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9010778262C,9010778262,ECONOMIC_DEATH_PAYOUT_SOURCE,20190222,3306.58,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9010778262C,9010778262,ECONOMIC_DEATH_PAYOUT_SOURCE,20190222,3306.57,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9010778262C,9010778262,ECONOMIC_DEATH_PAYOUT_SOURCE,20190222,3306.57,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9010778262C,9010778262,LOOP_DATE_EXCLUDED,20190604,,,,,,,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP,PACTG_LOOP_DATE,CORRECTED
9010778841C,9010778841,ECONOMIC_DEATH_PAYOUT_SOURCE,20180326,11162.77,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9010778841C,9010778841,ECONOMIC_DEATH_PAYOUT_SOURCE,20180326,11162.77,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9010786152C,9010786152,LOOP_DATE_EXCLUDED,20220621,,,,,,,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP,PACTG_LOOP_DATE,HOLD
9010832681C,9010832681,ECONOMIC_DEATH_PAYOUT_SOURCE,20220109,10860.9,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9010832681C,9010832681,ECONOMIC_DEATH_PAYOUT_SOURCE,20220109,10929.7,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9010832681C,9010832681,LOOP_DATE_EXCLUDED,20220401,,,,,,,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP,PACTG_LOOP_DATE,CORRECTED
9010841471C,9010841471,ECONOMIC_DEATH_PAYOUT_SOURCE,20200128,7315.24,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9010841471C,9010841471,LOOP_DATE_EXCLUDED,20200221,,,,,,,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP,PACTG_LOOP_DATE,CORRECTED
9010894951C,9010894951,ECONOMIC_DEATH_PAYOUT_SOURCE,20230331,14442.87,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9010894951C,9010894951,LOOP_DATE_EXCLUDED,20230427,,,,,,,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP,PACTG_LOOP_DATE,CORRECTED
9010896924C,9010896924,ECONOMIC_DEATH_PAYOUT_SOURCE,20250917,6160.68,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9010896924C,9010896924,ECONOMIC_DEATH_PAYOUT_SOURCE,20250917,6160.67,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9010900144C,9010900144,ECONOMIC_DEATH_PAYOUT_SOURCE,20230331,6463.4,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9010900144C,9010900144,LOOP_DATE_EXCLUDED,20230427,,,,,,,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP,PACTG_LOOP_DATE,CORRECTED
9010914301C,9010914301,ECONOMIC_DEATH_PAYOUT_SOURCE,20210830,12509.99,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9010914301C,9010914301,ECONOMIC_DEATH_PAYOUT_SOURCE,20210830,12509.99,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9010914301C,9010914301,LOOP_DATE_EXCLUDED,20220929,,,,,,,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP,PACTG_LOOP_DATE,CORRECTED
9010959302C,9010959302,ECONOMIC_DEATH_PAYOUT_SOURCE,20211008,5012.74,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9010959302C,9010959302,ECONOMIC_DEATH_PAYOUT_SOURCE,20211008,5005.66,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9010959302C,9010959302,LOOP_DATE_EXCLUDED,20211102,,,,,,,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP,PACTG_LOOP_DATE,CORRECTED
9011025088C,9011025088,ECONOMIC_DEATH_PAYOUT_SOURCE,20191208,8224.74,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011025088C,9011025088,ECONOMIC_DEATH_PAYOUT_SOURCE,20191208,8212.35,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011025088C,9011025088,LOOP_DATE_EXCLUDED,20200106,,,,,,,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP,PACTG_LOOP_DATE,CORRECTED
9011040826C,9011040826,ECONOMIC_DEATH_PAYOUT_SOURCE,20200323,5193.91,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011040826C,9011040826,ECONOMIC_DEATH_PAYOUT_SOURCE,20200323,5200.28,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011040826C,9011040826,LOOP_DATE_EXCLUDED,20201228,,,,,,,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP,PACTG_LOOP_DATE,CORRECTED
9011077798C,9011077798,ECONOMIC_DEATH_PAYOUT_SOURCE,20200828,4367.36,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011077798C,9011077798,ECONOMIC_DEATH_PAYOUT_SOURCE,20200828,4367.36,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011090414C,9011090414,LOOP_DATE_EXCLUDED,20220126,,,,,,,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP,PACTG_LOOP_DATE,HOLD
9011092140C,9011092140,ECONOMIC_DEATH_PAYOUT_SOURCE,20190527,9240.04,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011092140C,9011092140,ECONOMIC_DEATH_PAYOUT_SOURCE,20190527,9240.91,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011092140C,9011092140,LOOP_DATE_EXCLUDED,20190719,,,,,,,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP,PACTG_LOOP_DATE,CORRECTED
9011097343C,9011097343,ECONOMIC_DEATH_PAYOUT_SOURCE,20190430,5009.47,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011101315C,9011101315,ECONOMIC_DEATH_PAYOUT_SOURCE,20181005,5040.18,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011101315C,9011101315,ECONOMIC_DEATH_PAYOUT_SOURCE,20181220,5040.18,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011104342C,9011104342,ECONOMIC_DEATH_PAYOUT_SOURCE,20230613,5115.47,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011104342C,9011104342,ECONOMIC_DEATH_PAYOUT_SOURCE,20230613,5115.47,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011104342C,9011104342,LOOP_DATE_EXCLUDED,20240105,,,,,,,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP,PACTG_LOOP_DATE,CORRECTED
9011115534C,9011115534,ECONOMIC_DEATH_PAYOUT_SOURCE,20211119,5000.0,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011115534C,9011115534,ECONOMIC_DEATH_PAYOUT_SOURCE,20211119,5000.0,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011115534C,9011115534,LOOP_DATE_EXCLUDED,20220407,,,,,,,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP,PACTG_LOOP_DATE,CORRECTED
9011132389C,9011132389,ECONOMIC_DEATH_PAYOUT_SOURCE,20181006,10058.24,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011132389C,9011132389,ECONOMIC_DEATH_PAYOUT_SOURCE,20181006,9941.25,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011132389C,9011132389,ECONOMIC_DEATH_PAYOUT_SOURCE,20181006,116.99,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011132389C,9011132389,LOOP_DATE_EXCLUDED,20181029,,,,,,,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP,PACTG_LOOP_DATE,CORRECTED
9011133146C,9011133146,ECONOMIC_DEATH_PAYOUT_SOURCE,20210122,3696.18,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011133146C,9011133146,ECONOMIC_DEATH_PAYOUT_SOURCE,20210122,3696.53,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011133146C,9011133146,LOOP_DATE_EXCLUDED,20220114,,,,,,,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP,PACTG_LOOP_DATE,CORRECTED
9011134051C,9011134051,ECONOMIC_DEATH_PAYOUT_SOURCE,20230121,10006.6,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011134051C,9011134051,ECONOMIC_DEATH_PAYOUT_SOURCE,20230121,10006.6,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011134051C,9011134051,LOOP_DATE_EXCLUDED,20230320,,,,,,,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP,PACTG_LOOP_DATE,CORRECTED
9011138884C,9011138884,ECONOMIC_DEATH_PAYOUT_SOURCE,20190430,5048.71,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011138884C,9011138884,ECONOMIC_DEATH_PAYOUT_SOURCE,20190430,5048.71,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011138884C,9011138884,LOOP_DATE_EXCLUDED,20190531,,,,,,,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP,PACTG_LOOP_DATE,CORRECTED
9011141895C,9011141895,ECONOMIC_DEATH_PAYOUT_SOURCE,20180328,5027.03,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011141895C,9011141895,ECONOMIC_DEATH_PAYOUT_SOURCE,20180328,5019.46,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011156098C,9011156098,ECONOMIC_DEATH_PAYOUT_SOURCE,20230213,15000.0,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011156098C,9011156098,ECONOMIC_DEATH_PAYOUT_SOURCE,20230213,15000.0,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011156098C,9011156098,LOOP_DATE_EXCLUDED,20231115,,,,,,,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP,PACTG_LOOP_DATE,CORRECTED
9011159843C,9011159843,ECONOMIC_DEATH_PAYOUT_SOURCE,20211010,5031.67,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011162387C,9011162387,ECONOMIC_DEATH_PAYOUT_SOURCE,20180509,2500.0,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011162387C,9011162387,ECONOMIC_DEATH_PAYOUT_SOURCE,20180509,2540.38,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011162387C,9011162387,ECONOMIC_DEATH_PAYOUT_SOURCE,20180710,2540.38,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011175626C,9011175626,ECONOMIC_DEATH_PAYOUT_SOURCE,20180125,3387.59,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011175626C,9011175626,ECONOMIC_DEATH_PAYOUT_SOURCE,20180125,3387.59,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011175626C,9011175626,ECONOMIC_DEATH_PAYOUT_SOURCE,20180125,3387.59,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011175626C,9011175626,ECONOMIC_DEATH_PAYOUT_SOURCE,20180213,3387.59,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011175626C,9011175626,LOOP_DATE_EXCLUDED,20180531,,,,,,,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP,PACTG_LOOP_DATE,CORRECTED
9011175626C,9011175626,LOOP_DATE_EXCLUDED,20180625,,,,,,,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP,PACTG_LOOP_DATE,CORRECTED
9011176023C,9011176023,ECONOMIC_DEATH_PAYOUT_SOURCE,20210918,5041.97,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011181053C,9011181053,ECONOMIC_DEATH_PAYOUT_SOURCE,20200404,2530.93,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011181053C,9011181053,ECONOMIC_DEATH_PAYOUT_SOURCE,20200404,2530.93,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011181053C,9011181053,ECONOMIC_DEATH_PAYOUT_SOURCE,20210216,2530.93,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011183505C,9011183505,ECONOMIC_DEATH_PAYOUT_SOURCE,20210402,5032.62,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011191578C,9011191578,ECONOMIC_DEATH_PAYOUT_SOURCE,20200531,5230.1,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011191578C,9011191578,ECONOMIC_DEATH_PAYOUT_SOURCE,20200531,1743.36,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011191578C,9011191578,ECONOMIC_DEATH_PAYOUT_SOURCE,20200531,1743.37,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011191578C,9011191578,ECONOMIC_DEATH_PAYOUT_SOURCE,20200531,1743.37,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011191578C,9011191578,LOOP_DATE_EXCLUDED,20201013,,,,,,,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP,PACTG_LOOP_DATE,CORRECTED
9011193421C,9011193421,ECONOMIC_DEATH_PAYOUT_SOURCE,20230824,4000.0,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011193421C,9011193421,ECONOMIC_DEATH_PAYOUT_SOURCE,20230824,47.45,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011193421C,9011193421,ECONOMIC_DEATH_PAYOUT_SOURCE,20230824,4052.41,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011193421C,9011193421,LOOP_DATE_EXCLUDED,20231227,,,,,,,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP,PACTG_LOOP_DATE,CORRECTED
9011197222C,9011197222,ECONOMIC_DEATH_PAYOUT_SOURCE,20190610,12990.0,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011197222C,9011197222,ECONOMIC_DEATH_PAYOUT_SOURCE,20190610,2077.69,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011197222C,9011197222,LOOP_DATE_EXCLUDED,20190710,,,,,,,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP,PACTG_LOOP_DATE,CORRECTED
9011197222C,9011197222,LOOP_DATE_EXCLUDED,20190919,,,,,,,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP,PACTG_LOOP_DATE,CORRECTED
9011198532C,9011198532,ECONOMIC_DEATH_PAYOUT_SOURCE,20220926,5000.0,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011198532C,9011198532,ECONOMIC_DEATH_PAYOUT_SOURCE,20230926,5000.0,0038,0094,2032,1058,0,KEEP_ECONOMIC_DEATH_PAYOUT_2032_TO_1058,PACTG_OPEN_2032_TO_1058,CORRECTED
9011198532C,9011198532,LOOP_DATE_EXCLUDED,20231115,,,,,,,EXCLUDE_REINSTATEMENT_ENDOW_LOOP|EXCLUDE_INTRACO_UNAPPLIED_LOOP,PACTG_LOOP_DATE,CORRECTED
