MPOLICY,MDEP_BEFORE,MDEP_AFTER,MINTYTD_BEFORE,MINTYTD_AFTER,MINTDATE_BEFORE,MINTDATE_AFTER,MDEPINT
010395878C,0.0,0.0,0.0,0.0,,,4.00
010395879C,0.0,0.0,0.0,0.0,,,4.00
010396147C,0.0,0.0,0.0,0.0,,,4.00
010396186C,0.0,0.0,0.0,0.0,,,4.00
010396425C,0.0,0.0,0.0,0.0,,,4.00
010397118C,0.0,0.0,0.0,0.0,,,4.00
010397318C,0.0,0.0,0.0,0.0,,,4.00
010397493C,0.0,0.0,0.0,0.0,,,4.00
010397528C,0.0,0.0,0.0,0.0,,,4.00
010397583C,0.0,0.0,0.0,0.0,,,4.00
010397945C,0.0,0.0,0.0,0.0,,,4.00
010398274C,0.0,0.0,0.0,0.0,,,4.00
010398471C,0.0,0.0,0.0,0.0,,,4.00
010398475C,0.0,0.0,0.0,0.0,,,4.00
010398591C,0.0,0.0,0.0,0.0,,,4.00
010399927C,0.0,0.0,0.0,0.0,,,4.00
010400462C,0.0,0.0,0.0,0.0,,,4.00
010401087C,0.0,0.0,0.0,0.0,,,4.00
010401181C,0.0,0.0,0.0,0.0,,,4.00
010401210C,0.0,0.0,0.0,0.0,,,4.00
010401534C,0.0,0.0,0.0,0.0,,,4.00
010401565C,0.0,0.0,0.0,0.0,,,4.00
010402010C,0.0,0.0,0.0,0.0,,,4.00
010402014C,0.0,0.0,0.0,0.0,,,4.00
010402060C,0.0,0.0,0.0,0.0,,,4.00
010402061C,0.0,0.0,0.0,0.0,,,4.00
010402105C,0.0,0.0,0.0,0.0,,,4.00
010402899C,0.0,0.0,0.0,0.0,,,4.00
010403109C,0.0,0.0,0.0,0.0,,,4.00
010403117C,0.0,0.0,0.0,0.0,,,4.00
010403222C,0.0,0.0,0.0,0.0,,,4.00
010403516C,0.0,0.0,0.0,0.0,,,4.00
010403789C,0.0,7780.13,0.0,0.0,,20251231,4.00
010403872C,0.0,0.0,0.0,0.0,,,4.00
010403916C,0.0,0.0,0.0,0.0,,,4.00
010403922C,0.0,0.0,0.0,0.0,,,4.00
010404600C,0.0,0.0,0.0,0.0,,,4.00
010404602C,0.0,0.0,0.0,0.0,,,4.00
010404604C,0.0,0.0,0.0,0.0,,,4.00
010404605C,0.0,0.0,0.0,0.0,,,4.00
010404857C,0.0,0.0,0.0,0.0,,,4.00
010405175C,0.0,0.0,0.0,0.0,,,4.00
010405440C,0.0,0.0,0.0,0.0,,,4.00
010405642C,0.0,0.0,0.0,0.0,,,4.00
010405802C,0.0,11672.07,0.0,0.0,,20251231,4.00
010405858C,0.0,0.0,0.0,0.0,,,4.00
010406576C,0.0,0.0,0.0,0.0,,,4.00
010406795C,0.0,0.0,0.0,0.0,,,4.00
010406962C,0.0,0.0,0.0,0.0,,,4.00
010407023C,0.0,9987.1,0.0,35.89,,20260208,4.00
010407237C,0.0,0.0,0.0,0.0,,,4.00
010407533C,0.0,0.0,0.0,0.0,,,4.00
010407534C,0.0,0.0,0.0,0.0,,,4.00
010407670C,0.0,0.0,0.0,0.0,,,4.00
010407925C,0.0,0.0,0.0,0.0,,,4.00
010408371C,0.0,0.0,0.0,0.0,,,4.00
010410566C,0.0,0.0,0.0,0.0,,,4.00
010410616C,0.0,0.0,0.0,0.0,,,4.00
010410714C,0.0,0.0,0.0,0.0,,,4.00
010411499C,0.0,0.0,0.0,0.0,,,4.00
010411577C,0.0,0.0,0.0,0.0,,,4.00
010411727C,0.0,7212.52,0.0,0.0,,20190315,4.00
010411920C,0.0,0.0,0.0,0.0,,,4.00
010412522C,0.0,0.0,0.0,0.0,,,4.00
010412525C,0.0,0.0,0.0,0.0,,,4.00
010412526C,0.0,0.0,0.0,0.0,,,4.00
010412640C,0.0,0.0,0.0,0.0,,,4.00
010412641C,0.0,0.0,0.0,0.0,,,4.00
010413417C,0.0,0.0,0.0,0.0,,,4.00
010413421C,0.0,0.0,0.0,0.0,,,4.00
010413628C,0.0,0.0,0.0,0.0,,,4.00
010413745C,0.0,5635.62,0.0,0.0,,20180622,4.00
010414235C,0.0,0.0,0.0,0.0,,,4.00
010415834C,0.0,0.0,0.0,0.0,,,4.00
010417200C,0.0,0.0,0.0,0.0,,,4.00
010417838C,0.0,0.0,0.0,0.0,,,4.00
010418088C,0.0,0.0,0.0,0.0,,,4.00
010418562C,0.0,0.0,0.0,0.0,,,4.00
010419054C,0.0,0.0,0.0,0.0,,,4.00
010420853C,0.0,0.0,0.0,0.0,,,4.00
010420983C,0.0,0.0,0.0,0.0,,,4.00
010422033C,0.0,0.0,0.0,0.0,,,4.00
010422221C,0.0,0.0,0.0,0.0,,,4.00
010422417C,0.0,0.0,0.0,0.0,,,4.00
010422722C,0.0,0.0,0.0,0.0,,,4.00
010422977C,0.0,0.0,0.0,0.0,,,4.00
010423540C,0.0,0.0,0.0,0.0,,,4.00
010424185C,0.0,0.0,0.0,0.0,,,4.00
010424798C,0.0,0.0,0.0,0.0,,,4.00
010425718C,0.0,0.0,0.0,0.0,,,4.00
010425720C,0.0,0.0,0.0,0.0,,,4.00
010425845C,0.0,0.0,0.0,0.0,,,4.00
010425928C,0.0,0.0,0.0,0.0,,,4.00
010425941C,0.0,0.0,0.0,0.0,,,4.00
010425942C,0.0,0.0,0.0,0.0,,,4.00
010425944C,0.0,0.0,0.0,0.0,,,4.00
010426657C,0.0,0.0,0.0,0.0,,,4.00
010426747C,0.0,0.0,0.0,0.0,,,4.00
010426858C,0.0,0.0,0.0,0.0,,,4.00
010426859C,0.0,0.0,0.0,0.0,,,4.00
010426961C,0.0,0.0,0.0,0.0,,,4.00
010427442C,0.0,0.0,0.0,0.0,,,4.00
010427456C,0.0,0.0,0.0,0.0,,,4.00
010427457C,0.0,0.0,0.0,0.0,,,4.00
010427723C,0.0,0.0,0.0,0.0,,,4.00
010428258C,0.0,0.0,0.0,0.0,,,4.00
010428259C,0.0,0.0,0.0,0.0,,,4.00
010428688C,0.0,0.0,0.0,0.0,,,4.00
010428747C,0.0,0.0,0.0,0.0,,,4.00
010428771C,0.0,0.0,0.0,0.0,,,4.00
010429064C,0.0,0.0,0.0,0.0,,,4.00
010429066C,0.0,0.0,0.0,0.0,,,4.00
010429259C,0.0,0.0,0.0,0.0,,,4.00
010429417C,0.0,0.0,0.0,0.0,,,4.00
010429532C,0.0,0.0,0.0,0.0,,,4.00
010429558C,0.0,0.0,0.0,0.0,,,4.00
010429710C,0.0,0.0,0.0,0.0,,,4.00
010429711C,0.0,0.0,0.0,0.0,,,4.00
010429893C,0.0,0.0,0.0,0.0,,,4.00
010429958C,0.0,0.0,0.0,0.0,,,4.00
010429965C,0.0,0.0,0.0,0.0,,,4.00
010430017C,0.0,0.0,0.0,0.0,,,4.00
010430023C,0.0,0.0,0.0,0.0,,,4.00
010430086C,0.0,0.0,0.0,0.0,,,4.00
010430295C,0.0,0.0,0.0,0.0,,,4.00
010430296C,0.0,0.0,0.0,0.0,,,4.00
010430993C,0.0,0.0,0.0,0.0,,,4.00
010431301C,0.0,0.0,0.0,0.0,,,4.00
010431510C,0.0,0.0,0.0,0.0,,,4.00
010431738C,0.0,0.0,0.0,0.0,,,4.00
010432120C,0.0,0.0,0.0,0.0,,,4.00
010432254C,0.0,0.0,0.0,0.0,,,4.00
010432414C,0.0,0.0,0.0,0.0,,,4.00
010432493C,0.0,0.0,0.0,0.0,,,4.00
010432494C,0.0,0.0,0.0,0.0,,,4.00
010432631C,0.0,0.0,0.0,0.0,,,4.00
010432782C,0.0,0.0,0.0,0.0,,,4.00
010432865C,0.0,0.0,0.0,0.0,,,4.00
010432866C,0.0,0.0,0.0,0.0,,,4.00
010433471C,0.0,0.0,0.0,0.0,,,4.00
010433630C,0.0,0.0,0.0,0.0,,,4.00
010433786C,0.0,0.0,0.0,0.0,,,4.00
010434092C,0.0,0.0,0.0,0.0,,,4.00
010434418C,0.0,0.0,0.0,0.0,,,4.00
010434419C,0.0,0.0,0.0,0.0,,,4.00
010434421C,0.0,0.0,0.0,0.0,,,4.00
010434422C,0.0,0.0,0.0,0.0,,,4.00
010434424C,0.0,0.0,0.0,0.0,,,4.00
010434544C,0.0,0.0,0.0,0.0,,,4.00
010434659C,0.0,0.0,0.0,0.0,,,4.00
010434747C,0.0,0.0,0.0,0.0,,,4.00
010434876C,0.0,0.0,0.0,0.0,,,4.00
010435244C,0.0,0.0,0.0,0.0,,,4.00
010435248C,0.0,0.0,0.0,0.0,,,4.00
010435466C,0.0,0.0,0.0,0.0,,,4.00
010435609C,0.0,0.0,0.0,0.0,,,4.00
010435671C,0.0,17237.02,0.0,0.0,,20251231,4.00
010435672C,0.0,1911.89,0.0,0.0,,20251231,4.00
010435673C,0.0,1301.97,0.0,2.16,,20260118,4.00
010436028C,0.0,0.0,0.0,0.0,,,4.00
010436044C,0.0,0.0,0.0,0.0,,,4.00
010436082C,0.0,0.0,0.0,0.0,,,4.00
010436083C,0.0,0.0,0.0,0.0,,,4.00
010436085C,0.0,0.0,0.0,0.0,,,4.00
010436406C,0.0,0.0,0.0,0.0,,,4.00
010436541C,0.0,0.0,0.0,0.0,,,4.00
010436599C,0.0,0.0,0.0,0.0,,,4.00
010436691C,0.0,0.0,0.0,0.0,,,4.00
010436712C,0.0,0.0,0.0,0.0,,,4.00
010436727C,0.0,0.0,0.0,0.0,,,4.00
010436782C,0.0,0.0,0.0,0.0,,,4.00
010436955C,0.0,0.0,0.0,0.0,,,4.00
010436959C,0.0,0.0,0.0,0.0,,,4.00
010437076C,0.0,0.0,0.0,0.0,,,4.00
010437232C,0.0,0.0,0.0,0.0,,,4.00
010437335C,0.0,0.0,0.0,0.0,,,4.00
010437794C,0.0,0.0,0.0,0.0,,,4.00
010438028C,0.0,0.0,0.0,0.0,,,4.00
010438063C,0.0,0.0,0.0,0.0,,,4.00
010438073C,0.0,0.0,0.0,0.0,,,4.00
010438325C,0.0,0.0,0.0,0.0,,,4.00
010438523C,0.0,0.0,0.0,0.0,,,4.00
010438524C,0.0,0.0,0.0,0.0,,,4.00
010438525C,0.0,0.0,0.0,0.0,,,4.00
010438554C,0.0,0.0,0.0,0.0,,,4.00
010438556C,0.0,0.0,0.0,0.0,,,4.00
010438820C,0.0,0.0,0.0,0.0,,,4.00
010438821C,0.0,0.0,0.0,0.0,,,4.00
010438861C,0.0,0.0,0.0,0.0,,,4.00
010438926C,0.0,0.0,0.0,0.0,,,4.00
010438938C,0.0,0.0,0.0,0.0,,,4.00
010438942C,0.0,0.0,0.0,0.0,,,4.00
010439084C,0.0,0.0,0.0,0.0,,,4.00
010439128C,0.0,0.0,0.0,0.0,,,4.00
010439156C,0.0,0.0,0.0,0.0,,,4.00
010439181C,0.0,0.0,0.0,0.0,,,4.00
010439277C,0.0,0.0,0.0,0.0,,,4.00
010439435C,0.0,0.0,0.0,0.0,,,4.00
010439527C,0.0,0.0,0.0,0.0,,,4.00
010439836C,0.0,0.0,0.0,0.0,,,4.00
010439999C,0.0,0.0,0.0,0.0,,,4.00
010440000C,0.0,0.0,0.0,0.0,,,4.00
010440345C,0.0,0.0,0.0,0.0,,,4.00
010440370C,0.0,0.0,0.0,0.0,,,4.00
010440371C,0.0,0.0,0.0,0.0,,,4.00
010440631C,0.0,0.0,0.0,0.0,,,4.00
010441082C,0.0,0.0,0.0,0.0,,,4.00
010441084C,0.0,0.0,0.0,0.0,,,4.00
010441085C,0.0,0.0,0.0,0.0,,,4.00
010441927C,0.0,0.0,0.0,0.0,,,4.00
010442216C,0.0,0.0,0.0,0.0,,,4.00
010442222C,0.0,0.0,0.0,0.0,,,4.00
010442230C,0.0,0.0,0.0,0.0,,,4.00
010442330C,0.0,0.0,0.0,0.0,,,4.00
010442332C,0.0,0.0,0.0,0.0,,,4.00
010442551C,0.0,0.0,0.0,0.0,,,4.00
010442552C,0.0,0.0,0.0,0.0,,,4.00
010442906C,0.0,0.0,0.0,0.0,,,4.00
010443032C,0.0,0.0,0.0,0.0,,,4.00
010443109C,0.0,0.0,0.0,0.0,,,4.00
010443161C,0.0,0.0,0.0,0.0,,,4.00
010443287C,0.0,0.0,0.0,0.0,,,4.00
010443296C,0.0,0.0,0.0,0.0,,,4.00
010443389C,0.0,0.0,0.0,0.0,,,4.00
010443432C,0.0,0.0,0.0,0.0,,,4.00
010443433C,0.0,0.0,0.0,0.0,,,4.00
010443646C,0.0,0.0,0.0,0.0,,,4.00
010443816C,0.0,0.0,0.0,0.0,,,4.00
010444207C,0.0,0.0,0.0,0.0,,,4.00
010444283C,0.0,0.0,0.0,0.0,,,4.00
010444917C,0.0,0.0,0.0,0.0,,,4.00
010445074C,0.0,0.0,0.0,0.0,,,4.00
010445091C,0.0,0.0,0.0,0.0,,,4.00
010445131C,0.0,0.0,0.0,0.0,,,4.00
010445275C,0.0,1767.87,0.0,0.0,,20200810,4.00
010445351C,0.0,0.0,0.0,0.0,,,4.00
010445575C,0.0,0.0,0.0,0.0,,,4.00
010445719C,0.0,0.0,0.0,0.0,,,4.00
010446088C,0.0,0.0,0.0,0.0,,,4.00
010446237C,0.0,0.0,0.0,0.0,,,4.00
010446416C,0.0,0.0,0.0,0.0,,,4.00
010446638C,0.0,0.0,0.0,0.0,,,4.00
010446741C,0.0,0.0,0.0,0.0,,,4.00
010446852C,0.0,0.0,0.0,0.0,,,4.00
010447475C,0.0,0.0,0.0,0.0,,,4.00
010447559C,0.0,0.0,0.0,0.0,,,4.00
010447574C,0.0,0.0,0.0,0.0,,,4.00
010448025C,0.0,0.0,0.0,0.0,,,4.00
010448181C,0.0,0.0,0.0,0.0,,,4.00
010448375C,0.0,0.0,0.0,0.0,,,4.00
010448609C,0.0,0.0,0.0,0.0,,,4.00
010448806C,0.0,0.0,0.0,0.0,,,4.00
010448810C,0.0,0.0,0.0,0.0,,,4.00
010448828C,0.0,0.0,0.0,0.0,,,4.00
010449013C,0.0,0.0,0.0,0.0,,,4.00
010449017C,0.0,0.0,0.0,0.0,,,4.00
010449050C,0.0,0.0,0.0,0.0,,,4.00
010449074C,0.0,0.0,0.0,0.0,,,4.00
010449075C,0.0,0.0,0.0,0.0,,,4.00
010449155C,0.0,0.0,0.0,0.0,,,4.00
010449158C,0.0,0.0,0.0,0.0,,,4.00
010449333C,0.0,0.0,0.0,0.0,,,4.00
010449334C,0.0,0.0,0.0,0.0,,,4.00
010449417C,0.0,0.0,0.0,0.0,,,4.00
010449498C,0.0,0.0,0.0,0.0,,,4.00
010449512C,0.0,0.0,0.0,0.0,,,4.00
010449514C,0.0,0.0,0.0,0.0,,,4.00
010449532C,0.0,0.0,0.0,0.0,,,4.00
010449559C,0.0,0.0,0.0,0.0,,,4.00
010449959C,0.0,0.0,0.0,0.0,,,4.00
010450135C,0.0,0.0,0.0,0.0,,,4.00
010450174C,0.0,0.0,0.0,0.0,,,4.00
010450300C,0.0,0.0,0.0,0.0,,,4.00
010450809C,0.0,0.0,0.0,0.0,,,4.00
010450811C,0.0,0.0,0.0,0.0,,,4.00
010450906C,0.0,5424.81,0.0,46.33,,20260401,4.00
010451148C,0.0,0.0,0.0,0.0,,,4.00
010451149C,0.0,0.0,0.0,0.0,,,4.00
010451215C,0.0,0.0,0.0,0.0,,,4.00
010451385C,0.0,0.0,0.0,0.0,,,4.00
010451453C,0.0,353.29,0.0,1.94,,20260515,4.00
010451596C,0.0,0.0,0.0,0.0,,,4.00
010451650C,0.0,0.0,0.0,0.0,,,4.00
010452169C,0.0,0.0,0.0,0.0,,,4.00
010452304C,0.0,0.0,0.0,0.0,,,4.00
010452305C,0.0,0.0,0.0,0.0,,,4.00
010452516C,0.0,0.0,0.0,0.0,,,4.00
010452575C,0.0,4580.67,0.0,61.75,,20260524,4.00
010454002C,0.0,0.0,0.0,0.0,,,4.00
010454003C,0.0,0.0,0.0,0.0,,,4.00
010455341C,0.0,0.0,0.0,0.0,,,4.00
010455617C,0.0,3948.31,0.0,0.0,,20210107,4.00
010455884C,0.0,0.0,0.0,0.0,,,4.00
010456114C,0.0,0.0,0.0,0.0,,,4.00
010456182C,0.0,0.0,0.0,0.0,,,4.00
010456183C,0.0,0.0,0.0,0.0,,,4.00
010456184C,0.0,0.0,0.0,0.0,,,4.00
010456188C,0.0,0.0,0.0,0.0,,,4.00
010456751C,0.0,0.0,0.0,0.0,,,4.00
010456928C,0.0,0.0,0.0,0.0,,,4.00
010457291C,0.0,0.0,0.0,0.0,,,4.00
010457536C,0.0,0.0,0.0,0.0,,,4.00
010457537C,0.0,0.0,0.0,0.0,,,4.00
010457603C,0.0,0.0,0.0,0.0,,,4.00
010457623C,0.0,1.53,0.0,0.0,,20251231,4.00
010458190C,0.0,0.0,0.0,0.0,,,4.00
010458520C,0.0,0.0,0.0,0.0,,,4.00
010458525C,0.0,529.93,0.0,0.0,,20251231,4.00
010458526C,0.0,0.0,0.0,0.0,,,4.00
010458657C,0.0,0.0,0.0,0.0,,,4.00
010458663C,0.0,0.0,0.0,0.0,,,4.00
010458744C,0.0,0.0,0.0,0.0,,,4.00
010459011C,0.0,0.0,0.0,0.0,,,4.00
010459050C,0.0,0.0,0.0,0.0,,,4.00
010459164C,0.0,0.0,0.0,0.0,,,4.00
010459336C,0.0,0.0,0.0,0.0,,,4.00
010459421C,0.0,0.0,0.0,0.0,,,4.00
010459527C,0.0,0.0,0.0,0.0,,,4.00
010459579C,0.0,0.0,0.0,0.0,,,4.00
010459653C,0.0,0.0,0.0,0.0,,,4.00
010459723C,0.0,0.0,0.0,0.0,,,4.00
010459814C,0.0,0.0,0.0,0.0,,,4.00
010459850C,0.0,0.0,0.0,0.0,,,4.00
010459970C,0.0,0.0,0.0,0.0,,,4.00
010460276C,0.0,0.0,0.0,0.0,,,4.00
010460323C,0.0,1974.49,0.0,1.67,,20260109,4.00
010460406C,0.0,772.29,0.0,0.58,,20260108,4.00
010460652C,0.0,0.0,0.0,0.0,,,4.00
010460653C,0.0,0.0,0.0,0.0,,,4.00
010460886C,0.0,0.0,0.0,0.0,,,4.00
010461210C,0.0,0.0,0.0,0.0,,,4.00
010461689C,0.0,0.0,0.0,0.0,,,4.00
010461753C,0.0,0.0,0.0,0.0,,,4.00
010462057C,0.0,0.0,0.0,0.0,,,4.00
010462415C,0.0,0.0,0.0,0.0,,,4.00
010462630C,0.0,0.0,0.0,0.0,,,4.00
010462631C,0.0,0.0,0.0,0.0,,,4.00
010462759C,0.0,0.0,0.0,0.0,,,4.00
010462839C,0.0,0.0,0.0,0.0,,,4.00
010463017C,0.0,0.0,0.0,0.0,,,4.00
010463161C,0.0,0.0,0.0,0.0,,,4.00
010463190C,0.0,0.0,0.0,0.0,,,4.00
010463420C,0.0,0.0,0.0,0.0,,,4.00
010463537C,0.0,1080.39,0.0,12.25,,20260501,4.00
010463553C,0.0,0.0,0.0,0.0,,,4.00
010464265C,0.0,0.0,0.0,0.0,,,4.00
010464590C,0.0,0.0,0.0,0.0,,,4.00
010464869C,0.0,0.0,0.0,0.0,,,4.00
010464870C,0.0,0.0,0.0,0.0,,,4.00
010465265C,0.0,0.0,0.0,0.0,,,4.00
010465331C,0.0,0.0,0.0,0.0,,,4.00
010465363C,0.0,0.0,0.0,0.0,,,4.00
010465451C,0.0,0.0,0.0,0.0,,,4.00
010466391C,0.0,0.0,0.0,0.0,,,4.00
010466392C,0.0,0.0,0.0,0.0,,,4.00
010466458C,0.0,0.0,0.0,0.0,,,4.00
010466470C,0.0,0.0,0.0,0.0,,,4.00
010466471C,0.0,0.0,0.0,0.0,,,4.00
010466472C,0.0,0.0,0.0,0.0,,,4.00
010466473C,0.0,0.0,0.0,0.0,,,4.00
010466702C,0.0,0.0,0.0,0.0,,,4.00
010466706C,0.0,0.0,0.0,0.0,,,4.00
010466978C,0.0,0.0,0.0,0.0,,,4.00
010467025C,0.0,0.0,0.0,0.0,,,4.00
010467061C,0.0,4222.33,0.0,0.0,,20250916,4.00
010467154C,0.0,0.0,0.0,0.0,,,4.00
010467173C,0.0,0.0,0.0,0.0,,,4.00
010467185C,0.0,0.0,0.0,0.0,,,4.00
010467190C,0.0,0.0,0.0,0.0,,,4.00
010467500C,0.0,0.0,0.0,0.0,,,4.00
010467771C,0.0,0.0,0.0,0.0,,,4.00
010468945C,0.0,0.0,0.0,0.0,,,4.00
010468946C,0.0,0.0,0.0,0.0,,,4.00
010469081C,0.0,0.0,0.0,0.0,,,4.00
010469430C,0.0,5817.29,0.0,0.0,,20210130,4.00
010469579C,0.0,0.0,0.0,0.0,,,4.00
010469666C,0.0,7566.61,0.0,4.28,,20260106,4.00
010469728C,0.0,0.0,0.0,0.0,,,4.00
010469896C,0.0,0.0,0.0,0.0,,,4.00
010469984C,0.0,0.0,0.0,0.0,,,4.00
010469985C,0.0,0.0,0.0,0.0,,,4.00
010470522C,0.0,0.0,0.0,0.0,,,4.00
010471046C,0.0,0.0,0.0,0.0,,,4.00
010471532C,0.0,0.0,0.0,0.0,,,4.00
010471534C,0.0,0.0,0.0,0.0,,,4.00
010471769C,0.0,0.0,0.0,0.0,,,4.00
010471933C,0.0,3823.1,0.0,0.0,,20191011,4.00
010472182C,0.0,0.0,0.0,0.0,,,4.00
010472183C,0.0,0.0,0.0,0.0,,,4.00
010473137C,0.0,0.0,0.0,0.0,,,4.00
010473866C,0.0,0.0,0.0,0.0,,,4.00
010473867C,0.0,0.0,0.0,0.0,,,4.00
010473868C,0.0,0.0,0.0,0.0,,,4.00
010474317C,0.0,0.0,0.0,0.0,,,4.00
010474318C,0.0,0.0,0.0,0.0,,,4.00
010474519C,0.0,0.0,0.0,0.0,,,4.00
010474522C,0.0,0.0,0.0,0.0,,,4.00
010475571C,0.0,0.0,0.0,0.0,,,4.00
010475576C,0.0,0.0,0.0,0.0,,,4.00
010475850C,0.0,0.0,0.0,0.0,,,4.00
010476803C,0.0,0.0,0.0,0.0,,,4.00
