policy_number,claim_activity_present_flag,likely_payee_candidates,beneficiary_candidates,payee_candidates,owner_candidates,trustee_candidates,relationship_resolution_priority,fallback_strategy_candidate
9010397583,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:697544|B2:697545,PE:587946,PO:587946,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010397945,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:710965|B2:635019,PE:587950|PE:710965,PO:710965,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010398274,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:697546|B1:712804|B1:712805|B1:712806|B1:712807,PE:712804|PE:712805|PE:712806|PE:712807,PO:587952,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
9010398591,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:697223|B1:697224|B1:697225|B1:697226|B1:697227|B1:697228|B1:697229|B1:697230|B1:697231,PE:587967|PE:697223|PE:697224|PE:697225|PE:697226|PE:697227|PE:697228|PE:697229|PE:697230|PE:697231,PO:587969,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
9010400462,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:697561|B2:697562,PE:587984,PO:587984,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010401181,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:703423|B2:697574,PE:703423,PO:587993,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010402010,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:693059,PE:588001|PE:693059,PO:588001,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
9010402014,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:697594|B2:560066,PE:689946,PO:588002,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010402060,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:588005|B2:697442,PE:588004,PO:588004,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010402061,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:588004|B2:697442,PE:588005,PO:588005,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010402105,Y,B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:697595|B2:697442,,PO:588006,,B1|PO|B2|IN,PRELSA_FALLBACK_NO_EXPLICIT_PAYEE
9010403109,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:710757,PE:588011,PO:588011,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
9010403789,Y,B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:697601|B2:697442,,PO:588029,,B1|PO|B2|IN,PRELSA_FALLBACK_NO_EXPLICIT_PAYEE
9010403922,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:697633|B2:697634,PE:697633,PO:697633,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010404600,Y,B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:697635|B2:697442|B2:697636|B2:697638,,PO:588038,,B1|PO|B2|IN,PRELSA_FALLBACK_NO_EXPLICIT_PAYEE
9010404857,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:707137|B2:707138,PE:707137,PO:588045,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010405440,Y,B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:599198|B2:697653,,PO:588058,,B1|PO|B2|IN,PRELSA_FALLBACK_NO_EXPLICIT_PAYEE
9010405642,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:697659|B2:697442,PE:588062,PO:588062,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010405858,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:697664|B1:697665,PE:588065,PO:588065,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
9010406795,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:691613,PE:691613,PO:588091,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
9010406962,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|AS:Assignee|IN:Insured,B1:699995|B2:699996,PE:706888,PO:588098,,PE|B1|PO|B2|AS|IN,EXPLICIT_PAYEE_AVAILABLE
9010407533,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:588109|B1:695259|B1:695260|B1:695261,PE:588108|PE:588109|PE:695259|PE:695260|PE:695261,PO:588108,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
9010407925,Y,B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:697758|B2:697442,,PO:588116,,B1|PO|B2|IN,PRELSA_FALLBACK_NO_EXPLICIT_PAYEE
9010410566,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:697767|B2:697769|B2:706253,PE:697767,PO:588131,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010410714,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:709391,PE:709391,PO:588137,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
9010411499,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:697780|B2:711170,PE:711170,PO:588147,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010411727,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:707149|B1:707150,PE:707149|PE:707150,PO:590439,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
9010412522,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:697787|B2:697788|B2:697789,PE:697787,PO:590441,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010412526,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:588157,PE:588157,PO:588157,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
9010412640,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:697792|B2:697793,PE:697792,PO:588161,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010413417,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:588171|B2:697804,PE:697804,PO:588169,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010413628,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:553846|B2:560066,PE:553846|PE:588175,PO:588175,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010413745,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:697805,PE:590443,PO:590443,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
9010414235,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:697809|B2:615519,PE:697809,PO:588184,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010415834,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:697811,PE:710287,PO:588198,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
9010417200,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:705761,PE:705761,PO:588204,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
9010418088,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:590449|B2:597533|B2:597534|B2:597537,PE:590449,PO:590446,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010418562,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:698059,PE:698059,PO:588219,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
9010420983,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:697840|B1:697841|B1:697842|B2:697843,PE:588237,PO:588237,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010422033,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:697855|B2:697856,PE:588249,PO:588249,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010422722,Y,B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:706750|B2:706751,,PO:588256,,B1|PO|B2|IN,PRELSA_FALLBACK_NO_EXPLICIT_PAYEE
9010424798,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:710695,PE:588273|PE:710695,PO:588273,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
9010425718,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:683096|B2:683097|B2:683098,PE:683096,PO:588279,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010425720,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:697878,PE:697878,PO:588280,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
9010425845,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:697879,PE:588281|PE:697879,PO:588281,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
9010425928,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:697883,PE:697883,PO:588283,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
9010425941,Y,B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:590451,,PO:590450,,B1|PO|IN,PRELSA_FALLBACK_NO_EXPLICIT_PAYEE
9010425942,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:590450,PE:590451,PO:590451,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
9010426657,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:697910|B1:697911|B1:697912,PE:697910|PE:697911|PE:697912,PO:588296,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
9010426747,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:697913,PE:590455,PO:590455,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
9010426858,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|AS:Assignee|IN:Insured,B1:706008|B2:705972,PE:706008|PE:709116,PO:588305,,PE|B1|PO|B2|AS|IN,EXPLICIT_PAYEE_AVAILABLE
9010426961,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|AS:Assignee|IN:Insured,B1:692073|B2:692074,PE:689369|PE:692073,PO:588308,,PE|B1|PO|B2|AS|IN,EXPLICIT_PAYEE_AVAILABLE
9010427457,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:697999|B2:698000|B2:698001|B2:698002|B2:698003,PE:697999,PO:588317,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010427723,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|B2:Beneficiary Secondary|IN:Insured,B1:708122|B2:708123|B2:708124|B2:708125,PE:708122,PO:588320,,PE|B1|PO|B2|IN,EXPLICIT_PAYEE_AVAILABLE
9010428771,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:703174,PE:703174,PO:588340,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
9010429064,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:709272,PE:709272,PO:588343,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
9010429259,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:697976|B1:697977|B1:710004,PE:697976|PE:697977|PE:710004,PO:590463,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
9010429532,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:697982,PE:697982,PO:588352,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
9010429558,Y,PE:Payee|B1:Beneficiary Primary|PO:Policyowner|IN:Insured,B1:710259,PE:710259,PO:710259,,PE|B1|PO|IN,EXPLICIT_PAYEE_AVAILABLE
