reconstructed_claim_id,gross_benefit_amount,interest_amount,loan_offsets,withholding_amount,surrender_charges,payout_amount,unidentified_amount,missing_component_candidates,suspected_unlinked_transactions,balancing_status
RC-9010376540-1-DEATH_CLAIM-C1-20190220,0.0,0.0,0.0,0.0,0.0,5810.61,5810.61,0038|0411|0412|0530|0630|0810|0820|WITHHOLDING_NOT_OBSERVED,,UNBALANCED
RC-9010376540-2-DEATH_CLAIM-C0-20181014,7507.83,0.0,0.0,0.0,0.0,0.0,0.0,0038|0094|0411|0412|0630|0810|0820|WITHHOLDING_NOT_OBSERVED,,UNBALANCED
RC-9010377918-1-SURRENDER_CLAIM-C0-20250331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0090|0411|0412|0561|1020|WITHHOLDING_NOT_OBSERVED,,UNBALANCED
RC-9010378710-1-DEATH_CLAIM-C0-20210210,5000.0,0.0,0.0,0.0,0.0,6715.85,6715.85,0038|0411|0412|0630|0810|0820|WITHHOLDING_NOT_OBSERVED,,UNBALANCED
RC-9010378710-2-DEATH_CLAIM-C0-20210210,1715.85,0.0,0.0,0.0,0.0,0.0,0.0,0038|0094|0411|0412|0630|0810|0820|WITHHOLDING_NOT_OBSERVED,,UNBALANCED
RC-9010378829-1-DEATH_CLAIM-C0-20210829,5000.0,0.0,0.0,0.0,0.0,7174.45,7174.45,0038|0411|0412|0630|0810|0820|WITHHOLDING_NOT_OBSERVED,,UNBALANCED
RC-9010378829-2-DEATH_CLAIM-C0-20210829,2174.45,0.0,0.0,0.0,0.0,0.0,0.0,0038|0094|0411|0412|0630|0810|0820|WITHHOLDING_NOT_OBSERVED,,UNBALANCED
RC-9010379405-1-SURRENDER_CLAIM-C0-20230526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0090|0411|0412|0561|1020|WITHHOLDING_NOT_OBSERVED,,UNBALANCED
RC-9010380049-1-SURRENDER_CLAIM-C0-20181113,0.0,189.9,189.9,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010380049-1-SURRENDER_CLAIM-C1-20191113,0.0,199.89,199.89,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010380049-1-SURRENDER_CLAIM-C2-20201113,0.0,989.66,989.66,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010380049-1-SURRENDER_CLAIM-C3-20211113,0.0,215.97,215.97,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010380049-1-SURRENDER_CLAIM-C4-20221113,0.0,686.6,774.1,0.0,0.0,0.0,87.5,0090|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,MINOR_VARIANCE
RC-9010380049-1-SURRENDER_CLAIM-C5-20231113,0.0,244.15,244.15,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010380049-1-SURRENDER_CLAIM-C6-20241113,0.0,735.82,735.82,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010380049-1-SURRENDER_CLAIM-C7-20251113,0.0,265.0,265.0,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010380627-1-SURRENDER_CLAIM-C0-20181125,0.0,2.3,2.3,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010380627-1-SURRENDER_CLAIM-C1-20190813,0.0,1.3,1.3,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010380627-1-SURRENDER_CLAIM-C10-20251125,0.0,7.88,7.88,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010380627-1-SURRENDER_CLAIM-C2-20191125,0.0,2.42,2.42,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010380627-1-SURRENDER_CLAIM-C3-20200825,0.0,1.77,42.7,0.0,0.0,0.0,40.93,0090|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,MINOR_VARIANCE
RC-9010380627-1-SURRENDER_CLAIM-C4-20201125,0.0,4.73,4.73,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010380627-1-SURRENDER_CLAIM-C5-20211125,0.0,4.98,4.98,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010380627-1-SURRENDER_CLAIM-C6-20230825,0.0,1.83,42.76,0.0,0.0,0.0,40.93,0090|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,MINOR_VARIANCE
RC-9010380627-1-SURRENDER_CLAIM-C7-20231125,0.0,7.49,7.49,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010380627-1-SURRENDER_CLAIM-C8-20240814,0.0,4.19,4.19,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010380627-1-SURRENDER_CLAIM-C9-20241120,0.0,7.7,7.7,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010381745-1-SURRENDER_CLAIM-C0-20180101,0.0,341.04,341.04,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010381745-1-SURRENDER_CLAIM-C1-20190101,0.0,358.99,358.99,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010381745-1-SURRENDER_CLAIM-C2-20200101,0.0,735.61,735.61,0.0,0.0,0.0,0.0,0090|0411|0561|1020|WITHHOLDING_NOT_OBSERVED,,UNBALANCED
RC-9010382426-1-SURRENDER_CLAIM-C0-20180112,0.0,144.91,144.91,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010382426-1-SURRENDER_CLAIM-C1-20180404,0.0,220.12,220.12,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010382426-1-SURRENDER_CLAIM-C10-20230112,0.0,143.37,143.37,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010382426-1-SURRENDER_CLAIM-C11-20230322,0.0,227.57,227.57,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010382426-1-SURRENDER_CLAIM-C12-20240112,0.0,385.94,385.94,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010382426-1-SURRENDER_CLAIM-C13-20250112,0.0,388.66,388.66,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010382426-1-SURRENDER_CLAIM-C14-20260112,0.0,385.47,385.47,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010382426-1-SURRENDER_CLAIM-C2-20190112,0.0,144.6,144.6,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010382426-1-SURRENDER_CLAIM-C3-20190405,0.0,218.89,218.89,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010382426-1-SURRENDER_CLAIM-C4-20200112,0.0,144.29,144.29,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010382426-1-SURRENDER_CLAIM-C5-20200412,0.0,212.53,212.53,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010382426-1-SURRENDER_CLAIM-C6-20210112,0.0,143.99,143.99,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010382426-1-SURRENDER_CLAIM-C7-20210322,0.0,228.55,228.55,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010382426-1-SURRENDER_CLAIM-C8-20220112,0.0,143.67,143.67,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010382426-1-SURRENDER_CLAIM-C9-20220412,0.0,212.19,212.19,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010382520-1-DEATH_CLAIM-C0-20200820,5000.0,0.0,0.0,0.0,0.0,7807.24,7807.24,0038|0411|0412|0630|0810|0820|WITHHOLDING_NOT_OBSERVED,,UNBALANCED
RC-9010382520-3-DEATH_CLAIM-C0-20200820,2807.24,0.0,0.0,0.0,0.0,0.0,0.0,0038|0094|0411|0412|0630|0810|0820|WITHHOLDING_NOT_OBSERVED,,UNBALANCED
RC-9010382931-1-DEATH_CLAIM-C0-20220210,10000.0,0.0,0.0,0.0,0.0,17290.3,17655.4,0411|0412|0630|0810|0820|CLEARING_HUB_DOUBLE_COUNT|WITHHOLDING_NOT_OBSERVED,0038 clearing rows may be unlinked from payout pairing,UNBALANCED
RC-9010382931-1-SURRENDER_CLAIM-C0-20180115,0.0,17.98,17.98,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010382931-1-SURRENDER_CLAIM-C1-20190117,0.0,55.23,55.23,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010382931-1-SURRENDER_CLAIM-C2-20200117,0.0,54.06,54.06,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010382931-1-SURRENDER_CLAIM-C3-20210114,0.0,18.08,18.08,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010382931-1-SURRENDER_CLAIM-C4-20220117,0.0,71.0,71.0,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010382931-2-DEATH_CLAIM-C0-20220210,7603.4,0.0,0.0,0.0,0.0,0.0,0.0,0038|0094|0411|0412|0630|0810|0820|WITHHOLDING_NOT_OBSERVED,,UNBALANCED
RC-9010385491-1-DEATH_CLAIM-C0-20190501,9510.0,1490.33,0.0,0.0,0.0,11999.81,11999.81,0038|0411|0412|0810|0820|WITHHOLDING_NOT_OBSERVED,,UNBALANCED
RC-9010385491-1-DEATH_CLAIM-C1-20210707,0.0,0.0,0.0,0.0,0.0,5999.58,5999.58,0038|0411|0412|0530|0630|0810|0820|WITHHOLDING_NOT_OBSERVED,,UNBALANCED
RC-9010385491-2-DEATH_CLAIM-C0-20190501,6999.06,0.0,0.0,0.0,0.0,0.0,0.0,0038|0094|0411|0412|0630|0810|0820|WITHHOLDING_NOT_OBSERVED,,UNBALANCED
RC-9010385636-1-SURRENDER_CLAIM-C0-20180209,0.0,720.87,720.87,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010385636-1-SURRENDER_CLAIM-C1-20180507,0.0,552.39,552.39,0.0,0.0,0.0,0.0,0090|0411|0561|1020|WITHHOLDING_NOT_OBSERVED,,UNBALANCED
RC-9010389651-1-DEATH_CLAIM-C0-20240727,10931.0,0.0,0.0,0.0,0.0,22352.18,22352.18,0038|0411|0412|0630|0810|0820|WITHHOLDING_NOT_OBSERVED,,UNBALANCED
RC-9010389651-2-DEATH_CLAIM-C0-20240727,11421.18,0.0,0.0,0.0,0.0,0.0,0.0,0038|0094|0411|0412|0630|0810|0820|WITHHOLDING_NOT_OBSERVED,,UNBALANCED
RC-9010389802-1-SURRENDER_CLAIM-C0-20201026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0090|0411|0412|0561|1020|WITHHOLDING_NOT_OBSERVED,,UNBALANCED
RC-9010391004-1-SURRENDER_CLAIM-C0-20180501,0.0,695.95,695.95,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010391004-1-SURRENDER_CLAIM-C1-20190501,0.0,699.87,699.87,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010391004-1-SURRENDER_CLAIM-C2-20200501,0.0,693.56,693.56,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010391004-1-SURRENDER_CLAIM-C3-20210501,0.0,693.65,693.65,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010391004-1-SURRENDER_CLAIM-C4-20220501,0.0,687.42,687.42,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010391004-1-SURRENDER_CLAIM-C5-20230501,0.0,701.47,701.47,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010391004-1-SURRENDER_CLAIM-C6-20240501,0.0,698.96,698.96,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010391004-1-SURRENDER_CLAIM-C7-20250501,0.0,681.32,681.32,0.0,0.0,0.0,0.0,0090|0411|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,BALANCED
RC-9010391228-1-SURRENDER_CLAIM-C0-20180421,0.0,181.85,227.68,0.0,0.0,0.0,45.83,0090|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,MINOR_VARIANCE
RC-9010391228-1-SURRENDER_CLAIM-C1-20181021,0.0,64.04,109.87,0.0,0.0,0.0,45.83,0090|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,MINOR_VARIANCE
RC-9010391228-1-SURRENDER_CLAIM-C10-20230421,0.0,317.86,363.69,0.0,0.0,0.0,45.83,0090|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,MINOR_VARIANCE
RC-9010391228-1-SURRENDER_CLAIM-C11-20231021,0.0,110.13,155.96,0.0,0.0,0.0,45.83,0090|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,MINOR_VARIANCE
RC-9010391228-1-SURRENDER_CLAIM-C12-20240319,0.0,10.14,10.14,0.0,0.0,0.0,0.0,0090|0411|0561|1020|WITHHOLDING_NOT_OBSERVED,,UNBALANCED
RC-9010391228-1-SURRENDER_CLAIM-C2-20190421,0.0,206.35,252.18,0.0,0.0,0.0,45.83,0090|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,MINOR_VARIANCE
RC-9010391228-1-SURRENDER_CLAIM-C3-20191021,0.0,72.49,118.32,0.0,0.0,0.0,45.83,0090|0560|0561|1020|WITHHOLDING_NOT_OBSERVED,,MINOR_VARIANCE
