source_plan,ql_plan,issue_age,duration,renewal_net,terminal_reserve,mean_reserve,cash_value,paid_up,eti_years,eti_days,pure_end,inforce_unit,gender,uwclass,band,source_file,source_page,extract_method,extract_confidence
P7MN,10P7MN,18,29,5.385586,794,9,,78,,2,369,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.4424
P7MN,10P7MN,18,30,5.385586,308,22,21,800,,22,190,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.6969
P7MN,10P7MN,18,31,5.385586,323,9,42,811,,22,12,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.6918
P7MN,10P7MN,18,32,5.385586,5580,3500,1599,022,,21,70,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.1356
P7MN,10P7MN,18,33,5.385586,555.,348.61,70.71,054,,21,14,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.1196
P7MN,10P7MN,18,34,5.385586,3673,3043,300,044,,20,211,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.1586
P7MN,10P7MN,18,35,5.385586,301,3,800,091,,40,40,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.1324
P7MN,10P7MN,18,36,5.385586,,0380,4,04,,,0,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.0410
P7MN,10P7MN,18,37,5.385586,,449,3,00,,,2,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.0164
P7MN,10P7MN,18,38,5.385586,39,48,,0,,70,4,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.0254
P7MN,10P7MN,18,39,5.385586,4,,4,3,,3,7,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.0461
P7MN,10P7MN,18,40,5.385586,,,,,,,,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.0000
P7MN,10P7MN,18,41,5.385586,1,,6,,,,07,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.1379
P7MN,10P7MN,18,42,5.385586,68,517,,9,,15,7,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.1608
P7MN,10P7MN,18,43,5.385586,,,,,,,,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.0000
P7MN,10P7MN,18,44,5.385586,,,,,,,,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.0000
P7MN,10P7MN,18,45,5.385586,,,,,,,,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.0000
P7MN,10P7MN,18,46,5.385586,,,,,,,,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.0000
P7MN,10P7MN,18,47,5.385586,,,,,,,,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.0000
P7MN,10P7MN,18,48,5.385586,,,,,,,,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.0000
P7MN,10P7MN,18,49,5.385586,,,,,,,,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p1,1,easyocr_p7_template_v1,0.0000
P7MN,10P7MN,18,50,5.385586,5,507,75,075,,,,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.1109
P7MN,10P7MN,18,51,5.385586,,,,0,,,3,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.1049
P7MN,10P7MN,18,52,5.385586,635,629,10.03,917,,2,1,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.4585
P7MN,10P7MN,18,53,5.385586,050,5,90,9,,,35,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.1619
P7MN,10P7MN,18,54,5.385586,5662,66154,25.57,950,,11,206,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.5744
P7MN,10P7MN,18,55,5.385586,081,076,14,85,,,32,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.1573
P7MN,10P7MN,18,56,5.385586,6950,591.0,11,956,,10,246,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.2185
P7MN,10P7MN,18,57,5.385586,1086,705,400,39,,0,,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.1135
P7MN,10P7MN,18,58,5.385586,1290,1174,19.0,00,,,000,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.1552
P7MN,10P7MN,18,59,5.385586,2,49,4024,4,,,4,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.0289
P7MN,10P7MN,18,60,5.385586,370,400,0,,,4,11,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.0535
P7MN,10P7MN,18,61,5.385586,4,4,,,,,4,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.0620
P7MN,10P7MN,18,62,5.385586,,3,4,,,5,,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.0586
P7MN,10P7MN,18,63,5.385586,,705,5,,,,,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.3093
P7MN,10P7MN,18,64,5.385586,,0,,,,,8,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.0420
P7MN,10P7MN,18,65,5.385586,3,95,,,,,370,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.4160
P7MN,10P7MN,18,66,5.385586,32,2,,9,,,,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.3727
P7MN,10P7MN,18,67,5.385586,5568,6,113,980,,6,91,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.2536
P7MN,10P7MN,18,68,5.385586,5461,844,,982,,5,306,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.3112
P7MN,10P7MN,18,69,5.385586,036,855.6,12.66,963,,5,162,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.1598
P7MN,10P7MN,18,70,5.385586,80,013,090,96,,,314,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.0254
P7MN,10P7MN,18,71,5.385586,8,074004,0,700,,,13,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.0356
P7MN,10P7MN,18,72,5.385586,,40,,,,3,46,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.1934
P7MN,10P7MN,18,73,5.385586,7,40,9,,,5,9,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.0125
P7MN,10P7MN,18,74,5.385586,,,,00,,,,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.8430
P7MN,10P7MN,18,75,5.385586,0,23,3,007,,,4,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.0285
P7MN,10P7MN,18,76,5.385586,,078,,,,,1,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.0819
P7MN,10P7MN,18,77,5.385586,,,,,,,,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.0000
P7MN,10P7MN,18,78,5.385586,,,,,,,,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.0000
P7MN,10P7MN,18,79,5.385586,,,,,,,,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.0000
P7MN,10P7MN,18,80,5.385586,,,,,,,,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.0000
P7MN,10P7MN,18,81,5.385586,,,,,,,,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.0000
P7MN,10P7MN,18,82,5.385586,,,,,,,,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.0000
P7MN,10P7MN,18,83,5.385586,,,,,,,,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.0000
P7MN,10P7MN,18,84,5.385586,,,,,,,,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.0000
P7MN,10P7MN,18,85,5.385586,,,,,,,,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.0000
P7MN,10P7MN,18,86,5.385586,,,,,,,,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.0000
P7MN,10P7MN,18,87,5.385586,,,,,,,,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.0000
P7MN,10P7MN,18,88,5.385586,,,,,,,,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.0000
P7MN,10P7MN,18,89,5.385586,,,,,,,,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.0000
P7MN,10P7MN,18,90,5.385586,,,,,,,,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.0000
P7MN,10P7MN,18,91,5.385586,,,,,,,,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.0000
P7MN,10P7MN,18,92,5.385586,,,,,,,,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.0000
P7MN,10P7MN,18,93,5.385586,,,,,,,,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.0000
P7MN,10P7MN,18,94,5.385586,,,,,,,,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.0000
P7MN,10P7MN,18,95,5.385586,,,,,,,,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.0000
P7MN,10P7MN,18,96,5.385586,,,,,,,,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.0000
P7MN,10P7MN,18,97,5.385586,,,,,,,,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.0000
P7MN,10P7MN,18,98,5.385586,,,,,,,,,M,NS,01,P7MN_CV.zip:P7MN/18.pdf:p2,2,easyocr_p7_template_v1,0.0000
