prototype_claimnum,sequence_number,reconstructed_claim_id,derivation_candidate_id,enhanced_settlement_group_id,policy_number,claim_family,derivation_confidence,lineage_source
CLM0000034,34,RC-9010376522-1-SURRENDER_CLAIM-C2-20201006,QDC-RC-9010376522-1-SURRENDER_CLAIM-C2-20201006,ESG-9010376522-RC-9010376522-1-SURRENDER_CLAIM-C2-20201006-SOLO,9010376522,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000035,35,RC-9010376529-1-SURRENDER_CLAIM-C0-20180914,QDC-RC-9010376529-1-SURRENDER_CLAIM-C0-20180914,ESG-9010376529-RC-9010376529-1-SURRENDER_CLAIM-C0-20180914-SOLO,9010376529,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000036,36,RC-9010380049-1-SURRENDER_CLAIM-C0-20181113,QDC-RC-9010380049-1-SURRENDER_CLAIM-C0-20181113,ESG-9010380049-RC-9010380049-1-SURRENDER_CLAIM-C0-20181113-SOLO,9010380049,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000037,37,RC-9010380049-1-SURRENDER_CLAIM-C1-20191113,QDC-RC-9010380049-1-SURRENDER_CLAIM-C1-20191113,ESG-9010380049-RC-9010380049-1-SURRENDER_CLAIM-C1-20191113-SOLO,9010380049,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000038,38,RC-9010380049-1-SURRENDER_CLAIM-C2-20201113,QDC-RC-9010380049-1-SURRENDER_CLAIM-C2-20201113,ESG-9010380049-RC-9010380049-1-SURRENDER_CLAIM-C2-20201113-SOLO,9010380049,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000039,39,RC-9010380049-1-SURRENDER_CLAIM-C3-20211113,QDC-RC-9010380049-1-SURRENDER_CLAIM-C3-20211113,ESG-9010380049-RC-9010380049-1-SURRENDER_CLAIM-C3-20211113-SOLO,9010380049,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000040,40,RC-9010380049-1-SURRENDER_CLAIM-C4-20221113,QDC-RC-9010380049-1-SURRENDER_CLAIM-C4-20221113,ESG-9010380049-RC-9010380049-1-SURRENDER_CLAIM-C4-20221113-SOLO,9010380049,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000041,41,RC-9010380049-1-SURRENDER_CLAIM-C5-20231113,QDC-RC-9010380049-1-SURRENDER_CLAIM-C5-20231113,ESG-9010380049-RC-9010380049-1-SURRENDER_CLAIM-C5-20231113-SOLO,9010380049,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000042,42,RC-9010380049-1-SURRENDER_CLAIM-C6-20241113,QDC-RC-9010380049-1-SURRENDER_CLAIM-C6-20241113,ESG-9010380049-RC-9010380049-1-SURRENDER_CLAIM-C6-20241113-SOLO,9010380049,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000043,43,RC-9010380049-1-SURRENDER_CLAIM-C7-20251113,QDC-RC-9010380049-1-SURRENDER_CLAIM-C7-20251113,ESG-9010380049-RC-9010380049-1-SURRENDER_CLAIM-C7-20251113-SOLO,9010380049,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000044,44,RC-9010380627-1-SURRENDER_CLAIM-C0-20181125,QDC-RC-9010380627-1-SURRENDER_CLAIM-C0-20181125,ESG-9010380627-RC-9010380627-1-SURRENDER_CLAIM-C0-20181125-SOLO,9010380627,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000045,45,RC-9010380627-1-SURRENDER_CLAIM-C1-20190813,QDC-RC-9010380627-1-SURRENDER_CLAIM-C1-20190813,ESG-9010380627-RC-9010380627-1-SURRENDER_CLAIM-C1-20190813-SOLO,9010380627,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000046,46,RC-9010380627-1-SURRENDER_CLAIM-C10-20251125,QDC-RC-9010380627-1-SURRENDER_CLAIM-C10-20251125,ESG-9010380627-RC-9010380627-1-SURRENDER_CLAIM-C10-20251125-SOLO,9010380627,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000047,47,RC-9010380627-1-SURRENDER_CLAIM-C2-20191125,QDC-RC-9010380627-1-SURRENDER_CLAIM-C2-20191125,ESG-9010380627-RC-9010380627-1-SURRENDER_CLAIM-C2-20191125-SOLO,9010380627,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000048,48,RC-9010380627-1-SURRENDER_CLAIM-C3-20200825,QDC-RC-9010380627-1-SURRENDER_CLAIM-C3-20200825,ESG-9010380627-RC-9010380627-1-SURRENDER_CLAIM-C3-20200825-SOLO,9010380627,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000049,49,RC-9010380627-1-SURRENDER_CLAIM-C4-20201125,QDC-RC-9010380627-1-SURRENDER_CLAIM-C4-20201125,ESG-9010380627-RC-9010380627-1-SURRENDER_CLAIM-C4-20201125-SOLO,9010380627,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000050,50,RC-9010380627-1-SURRENDER_CLAIM-C5-20211125,QDC-RC-9010380627-1-SURRENDER_CLAIM-C5-20211125,ESG-9010380627-RC-9010380627-1-SURRENDER_CLAIM-C5-20211125-SOLO,9010380627,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000051,51,RC-9010380627-1-SURRENDER_CLAIM-C6-20230825,QDC-RC-9010380627-1-SURRENDER_CLAIM-C6-20230825,ESG-9010380627-RC-9010380627-1-SURRENDER_CLAIM-C6-20230825-SOLO,9010380627,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000052,52,RC-9010380627-1-SURRENDER_CLAIM-C7-20231125,QDC-RC-9010380627-1-SURRENDER_CLAIM-C7-20231125,ESG-9010380627-RC-9010380627-1-SURRENDER_CLAIM-C7-20231125-SOLO,9010380627,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000053,53,RC-9010380627-1-SURRENDER_CLAIM-C8-20240814,QDC-RC-9010380627-1-SURRENDER_CLAIM-C8-20240814,ESG-9010380627-RC-9010380627-1-SURRENDER_CLAIM-C8-20240814-SOLO,9010380627,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000054,54,RC-9010380627-1-SURRENDER_CLAIM-C9-20241120,QDC-RC-9010380627-1-SURRENDER_CLAIM-C9-20241120,ESG-9010380627-RC-9010380627-1-SURRENDER_CLAIM-C9-20241120-SOLO,9010380627,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000055,55,RC-9010381745-1-SURRENDER_CLAIM-C0-20180101,QDC-RC-9010381745-1-SURRENDER_CLAIM-C0-20180101,ESG-9010381745-RC-9010381745-1-SURRENDER_CLAIM-C0-20180101-SOLO,9010381745,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000056,56,RC-9010381745-1-SURRENDER_CLAIM-C1-20190101,QDC-RC-9010381745-1-SURRENDER_CLAIM-C1-20190101,ESG-9010381745-RC-9010381745-1-SURRENDER_CLAIM-C1-20190101-SOLO,9010381745,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000057,57,RC-9010382426-1-SURRENDER_CLAIM-C0-20180112,QDC-RC-9010382426-1-SURRENDER_CLAIM-C0-20180112,ESG-9010382426-RC-9010382426-1-SURRENDER_CLAIM-C0-20180112-SOLO,9010382426,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000058,58,RC-9010382426-1-SURRENDER_CLAIM-C1-20180404,QDC-RC-9010382426-1-SURRENDER_CLAIM-C1-20180404,ESG-9010382426-RC-9010382426-1-SURRENDER_CLAIM-C1-20180404-SOLO,9010382426,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000059,59,RC-9010382426-1-SURRENDER_CLAIM-C10-20230112,QDC-RC-9010382426-1-SURRENDER_CLAIM-C10-20230112,ESG-9010382426-RC-9010382426-1-SURRENDER_CLAIM-C10-20230112-SOLO,9010382426,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000060,60,RC-9010382426-1-SURRENDER_CLAIM-C11-20230322,QDC-RC-9010382426-1-SURRENDER_CLAIM-C11-20230322,ESG-9010382426-RC-9010382426-1-SURRENDER_CLAIM-C11-20230322-SOLO,9010382426,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000061,61,RC-9010382426-1-SURRENDER_CLAIM-C12-20240112,QDC-RC-9010382426-1-SURRENDER_CLAIM-C12-20240112,ESG-9010382426-RC-9010382426-1-SURRENDER_CLAIM-C12-20240112-SOLO,9010382426,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000062,62,RC-9010382426-1-SURRENDER_CLAIM-C13-20250112,QDC-RC-9010382426-1-SURRENDER_CLAIM-C13-20250112,ESG-9010382426-RC-9010382426-1-SURRENDER_CLAIM-C13-20250112-SOLO,9010382426,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000063,63,RC-9010382426-1-SURRENDER_CLAIM-C14-20260112,QDC-RC-9010382426-1-SURRENDER_CLAIM-C14-20260112,ESG-9010382426-RC-9010382426-1-SURRENDER_CLAIM-C14-20260112-SOLO,9010382426,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000064,64,RC-9010382426-1-SURRENDER_CLAIM-C2-20190112,QDC-RC-9010382426-1-SURRENDER_CLAIM-C2-20190112,ESG-9010382426-RC-9010382426-1-SURRENDER_CLAIM-C2-20190112-SOLO,9010382426,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000065,65,RC-9010382426-1-SURRENDER_CLAIM-C3-20190405,QDC-RC-9010382426-1-SURRENDER_CLAIM-C3-20190405,ESG-9010382426-RC-9010382426-1-SURRENDER_CLAIM-C3-20190405-SOLO,9010382426,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000066,66,RC-9010382426-1-SURRENDER_CLAIM-C4-20200112,QDC-RC-9010382426-1-SURRENDER_CLAIM-C4-20200112,ESG-9010382426-RC-9010382426-1-SURRENDER_CLAIM-C4-20200112-SOLO,9010382426,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000067,67,RC-9010382426-1-SURRENDER_CLAIM-C5-20200412,QDC-RC-9010382426-1-SURRENDER_CLAIM-C5-20200412,ESG-9010382426-RC-9010382426-1-SURRENDER_CLAIM-C5-20200412-SOLO,9010382426,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000068,68,RC-9010382426-1-SURRENDER_CLAIM-C6-20210112,QDC-RC-9010382426-1-SURRENDER_CLAIM-C6-20210112,ESG-9010382426-RC-9010382426-1-SURRENDER_CLAIM-C6-20210112-SOLO,9010382426,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000069,69,RC-9010382426-1-SURRENDER_CLAIM-C7-20210322,QDC-RC-9010382426-1-SURRENDER_CLAIM-C7-20210322,ESG-9010382426-RC-9010382426-1-SURRENDER_CLAIM-C7-20210322-SOLO,9010382426,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000070,70,RC-9010382426-1-SURRENDER_CLAIM-C8-20220112,QDC-RC-9010382426-1-SURRENDER_CLAIM-C8-20220112,ESG-9010382426-RC-9010382426-1-SURRENDER_CLAIM-C8-20220112-SOLO,9010382426,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000071,71,RC-9010382426-1-SURRENDER_CLAIM-C9-20220412,QDC-RC-9010382426-1-SURRENDER_CLAIM-C9-20220412,ESG-9010382426-RC-9010382426-1-SURRENDER_CLAIM-C9-20220412-SOLO,9010382426,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000072,72,RC-9010382931-1-SURRENDER_CLAIM-C0-20180115,QDC-RC-9010382931-1-SURRENDER_CLAIM-C0-20180115,ESG-9010382931-RC-9010382931-1-SURRENDER_CLAIM-C0-20180115-SOLO,9010382931,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000073,73,RC-9010382931-1-SURRENDER_CLAIM-C1-20190117,QDC-RC-9010382931-1-SURRENDER_CLAIM-C1-20190117,ESG-9010382931-RC-9010382931-1-SURRENDER_CLAIM-C1-20190117-SOLO,9010382931,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000074,74,RC-9010382931-1-SURRENDER_CLAIM-C2-20200117,QDC-RC-9010382931-1-SURRENDER_CLAIM-C2-20200117,ESG-9010382931-RC-9010382931-1-SURRENDER_CLAIM-C2-20200117-SOLO,9010382931,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000075,75,RC-9010382931-1-SURRENDER_CLAIM-C3-20210114,QDC-RC-9010382931-1-SURRENDER_CLAIM-C3-20210114,ESG-9010382931-RC-9010382931-1-SURRENDER_CLAIM-C3-20210114-SOLO,9010382931,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000076,76,RC-9010382931-1-SURRENDER_CLAIM-C4-20220117,QDC-RC-9010382931-1-SURRENDER_CLAIM-C4-20220117,ESG-9010382931-RC-9010382931-1-SURRENDER_CLAIM-C4-20220117-SOLO,9010382931,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000077,77,RC-9010385636-1-SURRENDER_CLAIM-C0-20180209,QDC-RC-9010385636-1-SURRENDER_CLAIM-C0-20180209,ESG-9010385636-RC-9010385636-1-SURRENDER_CLAIM-C0-20180209-SOLO,9010385636,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000078,78,RC-9010391004-1-SURRENDER_CLAIM-C0-20180501,QDC-RC-9010391004-1-SURRENDER_CLAIM-C0-20180501,ESG-9010391004-RC-9010391004-1-SURRENDER_CLAIM-C0-20180501-SOLO,9010391004,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000079,79,RC-9010391004-1-SURRENDER_CLAIM-C1-20190501,QDC-RC-9010391004-1-SURRENDER_CLAIM-C1-20190501,ESG-9010391004-RC-9010391004-1-SURRENDER_CLAIM-C1-20190501-SOLO,9010391004,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000080,80,RC-9010391004-1-SURRENDER_CLAIM-C2-20200501,QDC-RC-9010391004-1-SURRENDER_CLAIM-C2-20200501,ESG-9010391004-RC-9010391004-1-SURRENDER_CLAIM-C2-20200501-SOLO,9010391004,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000081,81,RC-9010391004-1-SURRENDER_CLAIM-C3-20210501,QDC-RC-9010391004-1-SURRENDER_CLAIM-C3-20210501,ESG-9010391004-RC-9010391004-1-SURRENDER_CLAIM-C3-20210501-SOLO,9010391004,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000082,82,RC-9010391004-1-SURRENDER_CLAIM-C4-20220501,QDC-RC-9010391004-1-SURRENDER_CLAIM-C4-20220501,ESG-9010391004-RC-9010391004-1-SURRENDER_CLAIM-C4-20220501-SOLO,9010391004,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000083,83,RC-9010391004-1-SURRENDER_CLAIM-C5-20230501,QDC-RC-9010391004-1-SURRENDER_CLAIM-C5-20230501,ESG-9010391004-RC-9010391004-1-SURRENDER_CLAIM-C5-20230501-SOLO,9010391004,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
CLM0000084,84,RC-9010391004-1-SURRENDER_CLAIM-C6-20240501,QDC-RC-9010391004-1-SURRENDER_CLAIM-C6-20240501,ESG-9010391004-RC-9010391004-1-SURRENDER_CLAIM-C6-20240501-SOLO,9010391004,SURRENDER_CLAIM,HIGH_CONFIDENCE,phase10b_quikclms_derivation
