cfic_plan,ql_plan,gender,uwclass,age,rate_under_100k,rate_over_100k,cash_value_10,cash_value_20,cash_value_65,paid_up_10,paid_up_20,paid_up_65,source_pdf,source_page,extract_method,extract_confidence
P7MN,10P7MN,M,NS,35,12.06,10.90,73,208,382,326,619,793,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.894
P7MN,10P7MN,M,NS,36,12.63,11.43,77,217,377,330,626,772,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.906
P7MN,10P7MN,M,NS,37,13.22,11.98,81,227,372,334,626,760,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.997
P7MN,10P7MN,M,NS,38,13.85,12.57,85,237,366,337,630,760,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.967
P7MN,10P7MN,M,NS,39,12.06,10.90,73,490,382,326,619,793,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.943
P7MN,10P7MN,M,NS,40,12.06,10.90,73,208,382,020,09,783,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.842
P7MN,10P7MN,M,NS,41,12.63,11.43,77,217,377,330,623,783,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.929
P7MN,10P7MN,M,NS,42,13.22,11.98,81,227,372,334,626,772,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.997
P7MN,10P7MN,M,NS,43,18.44,76.04,116,303,324,358,651,672,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.972
P7MN,10P7MN,M,NS,44,13.85,12.57,85,247,360,341,633,748,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.900
P7MN,10P7MN,M,NS,45,19.38,17.74,121,315,315,361,654,,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.963
P7MN,10P7MN,M,NS,46,20.37,18.66,127,327,306,368,660,,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.951
P7MN,10P7MN,M,NS,47,15.95,14.53,100,269,347,348,640,720,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.967
P7MN,10P7MN,M,NS,48,15.95,14.53,105,280,340,351,644,705,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.966
P7MN,10P7MN,M,NS,49,23.73,21.80,146,364,274,373,666,,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.968
P7MN,10P7MN,M,NS,50,25.00,22.99,153,376,262,376,669,,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.995
P7MN,10P7MN,M,NS,51,26.35,24.25,159,389,249,379,672,,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.923
P7MN,10P7MN,M,NS,52,19.38,17.74,121,315,315,361,654,,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.943
P7MN,10P7MN,M,NS,53,29.32,27.03,173,414,220,384,678,,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.965
P7MN,10P7MN,M,NS,54,30.95,28.55,180,426,205,389,682,,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.996
P7MN,10P7MN,M,NS,55,32.69,30.18,188,438,188,389,682,,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.949
P7MN,10P7MN,M,NS,56,22.54,20.69,140,351,285,371,663,,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.985
P7MN,10P7MN,M,NS,57,23.73,21.80,146,364,274,373,666,,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.968
P7MN,10P7MN,M,NS,58,2500,22.99,153,376,262,376,669,,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.993
P7MN,10P7MN,M,NS,59,40.91,37.86,217,482,107,397,689,,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.958
P7MN,10P7MN,M,NS,60,43.33,40.12,224,492,82,399,690,,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.914
P7MN,10P7MN,M,NS,61,27.79,25.60,166,401,235,381,675,,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.881
P7MN,10P7MN,M,NS,62,27.79,2703,166,414,220,384,678,,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.951
P7MN,10P7MN,M,NS,63,29.32,27.03,173,414,220,386,680,,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.993
P7MN,10P7MN,M,NS,64,54.88,50.92,258,534,,411,698,,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.995
P7MN,10P7MN,M,NS,65,32.69,30.18,188,438,188,389,682,,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.936
P7MN,10P7MN,M,NS,66,3454,3191,195,449,169,391,684,,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.952
P7MN,10P7MN,M,NS,67,34.54,31.91,195,449,150,393,686,,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.949
P7MN,10P7MN,M,NS,68,36.52,33.76,202,461,150,393,686,,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.946
P7MN,10P7MN,M,NS,69,38.64,35.74,209,471,129,395,687,,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,0.929
P7MN,10P7MN,M,NS,70,40.91,37.86,217,482,107,397,689,,CurrentNewBusiness_PlanCodes_Rates SheetsHold.pdf,4,easyocr_permalife7_v1,1.000
