coverage_id,mplan,segment_code,qla_area,paagerat,pdage,rate_table_april,total
679 CEN SD,1679CS,G2,Expenses,0,0,0,0
658 CEN I,1658C1,G3,Expenses,0,0,0,0
658 CEN SD,1658CS,G3,Expenses,0,0,0,0
659 CEN II,1659C2,G3,Expenses,0,0,0,0
659 CEN SR,1659CR,G3,Expenses,0,0,0,0
659 CEN SD,1659CS,G3,Expenses,0,0,0,0
659 SR GD,1659SR,G3,Expenses,0,0,0,0
669 SR GD,1669SR,G3,Expenses,0,0,0,0
679 CEN SD,1679CS,G3,Expenses,0,0,0,0
658 CEN I,1658C1,GF,Expenses,0,0,0,0
658 CEN SD,1658CS,GF,Expenses,0,0,0,0
659 CEN II,1659C2,GF,Expenses,0,0,0,0
659 CEN SR,1659CR,GF,Expenses,0,0,0,0
659 CEN SD,1659CS,GF,Expenses,0,0,0,0
659 SR GD,1659SR,GF,Expenses,0,0,0,0
669 SR GD,1669SR,GF,Expenses,0,0,0,0
679 CEN SD,1679CS,GF,Expenses,0,0,0,0
658 CEN I,1658C1,BI,Expenses,0,0,0,0
658 CEN SD,1658CS,BI,Expenses,0,0,0,0
659 CEN II,1659C2,BI,Expenses,0,0,0,0
659 CEN SR,1659CR,BI,Expenses,0,0,0,0
659 CEN SD,1659CS,BI,Expenses,0,0,0,0
659 SR GD,1659SR,BI,Expenses,0,0,0,0
669 SR GD,1669SR,BI,Expenses,0,0,0,0
679 CEN SD,1679CS,BI,Expenses,0,0,0,0
658 CEN I,1658C1,UG,Expenses,0,0,0,0
658 CEN SD,1658CS,UG,Expenses,0,0,0,0
659 CEN II,1659C2,UG,Expenses,0,0,0,0
659 CEN SR,1659CR,UG,Expenses,0,0,0,0
659 CEN SD,1659CS,UG,Expenses,0,0,0,0
659 SR GD,1659SR,UG,Expenses,0,0,0,0
669 SR GD,1669SR,UG,Expenses,0,0,0,0
679 CEN SD,1679CS,UG,Expenses,0,0,0,0
658 CEN I,1658C1,UH,Expenses,0,0,0,0
658 CEN SD,1658CS,UH,Expenses,0,0,0,0
659 CEN II,1659C2,UH,Expenses,0,0,0,0
659 CEN SR,1659CR,UH,Expenses,0,0,0,0
659 CEN SD,1659CS,UH,Expenses,0,0,0,0
659 SR GD,1659SR,UH,Expenses,0,0,0,0
669 SR GD,1669SR,UH,Expenses,0,0,0,0
679 CEN SD,1679CS,UH,Expenses,0,0,0,0
658 CEN I,1658C1,UX,Expenses,0,0,0,0
658 CEN SD,1658CS,UX,Expenses,0,0,0,0
659 CEN II,1659C2,UX,Expenses,0,0,0,0
659 CEN SR,1659CR,UX,Expenses,0,0,0,0
659 CEN SD,1659CS,UX,Expenses,0,0,0,0
659 SR GD,1659SR,UX,Expenses,0,0,0,0
669 SR GD,1669SR,UX,Expenses,0,0,0,0
679 CEN SD,1679CS,UX,Expenses,0,0,0,0
658 CEN I,1658C1,UY,Expenses,0,0,0,0
658 CEN SD,1658CS,UY,Expenses,0,0,0,0
659 CEN II,1659C2,UY,Expenses,0,0,0,0
659 CEN SR,1659CR,UY,Expenses,0,0,0,0
659 CEN SD,1659CS,UY,Expenses,0,0,0,0
659 SR GD,1659SR,UY,Expenses,0,0,0,0
669 SR GD,1669SR,UY,Expenses,0,0,0,0
679 CEN SD,1679CS,UY,Expenses,0,0,0,0
658 CEN I,1658C1,UZ,Expenses,0,0,0,0
658 CEN SD,1658CS,UZ,Expenses,0,0,0,0
659 CEN II,1659C2,UZ,Expenses,0,0,0,0
659 CEN SR,1659CR,UZ,Expenses,0,0,0,0
659 CEN SD,1659CS,UZ,Expenses,0,0,0,0
659 SR GD,1659SR,UZ,Expenses,0,0,0,0
669 SR GD,1669SR,UZ,Expenses,0,0,0,0
679 CEN SD,1679CS,UZ,Expenses,0,0,0,0
658 CEN I,1658C1,U6,QUIKCOI,0,0,0,0
658 CEN SD,1658CS,U6,QUIKCOI,400,0,0,400
659 CEN II,1659C2,U6,QUIKCOI,0,0,0,0
659 CEN SR,1659CR,U6,QUIKCOI,0,0,0,0
659 CEN SD,1659CS,U6,QUIKCOI,0,0,0,0
659 SR GD,1659SR,U6,QUIKCOI,0,0,0,0
669 SR GD,1669SR,U6,QUIKCOI,0,0,0,0
679 CEN SD,1679CS,U6,QUIKCOI,400,0,0,400
658 CEN I,1658C1,NR,QUIKCOI,0,0,0,0
658 CEN SD,1658CS,NR,QUIKCOI,0,0,0,0
659 CEN II,1659C2,NR,QUIKCOI,0,0,0,0
659 CEN SR,1659CR,NR,QUIKCOI,0,0,0,0
659 CEN SD,1659CS,NR,QUIKCOI,0,0,0,0
659 SR GD,1659SR,NR,QUIKCOI,0,0,0,0
669 SR GD,1669SR,NR,QUIKCOI,0,0,0,0
679 CEN SD,1679CS,NR,QUIKCOI,0,0,0,0
658 CEN I,1658C1,UL,QUIKCOI,0,0,0,0
658 CEN SD,1658CS,UL,QUIKCOI,0,0,0,0
659 CEN II,1659C2,UL,QUIKCOI,0,0,0,0
659 CEN SR,1659CR,UL,QUIKCOI,0,0,0,0
659 CEN SD,1659CS,UL,QUIKCOI,0,0,0,0
659 SR GD,1659SR,UL,QUIKCOI,0,0,0,0
669 SR GD,1669SR,UL,QUIKCOI,0,0,0,0
679 CEN SD,1679CS,UL,QUIKCOI,0,0,0,0
658 CEN I,1658C1,UI,QUIKCOI,0,0,0,0
658 CEN SD,1658CS,UI,QUIKCOI,0,0,0,0
659 CEN II,1659C2,UI,QUIKCOI,0,0,0,0
659 CEN SR,1659CR,UI,QUIKCOI,0,0,0,0
659 CEN SD,1659CS,UI,QUIKCOI,0,0,0,0
659 SR GD,1659SR,UI,QUIKCOI,0,0,0,0
669 SR GD,1669SR,UI,QUIKCOI,0,0,0,0
679 CEN SD,1679CS,UI,QUIKCOI,0,0,0,0
658 CEN I,1658C1,FC,QUIKCOI,0,0,0,0
658 CEN SD,1658CS,FC,QUIKCOI,0,0,0,0
659 CEN II,1659C2,FC,QUIKCOI,0,0,0,0
659 CEN SR,1659CR,FC,QUIKCOI,0,0,0,0
659 CEN SD,1659CS,FC,QUIKCOI,0,0,0,0
659 SR GD,1659SR,FC,QUIKCOI,0,0,0,0
669 SR GD,1669SR,FC,QUIKCOI,0,0,0,0
679 CEN SD,1679CS,FC,QUIKCOI,0,0,0,0
658 CEN I,1658C1,MR,QUIKCOI,0,0,0,0
658 CEN SD,1658CS,MR,QUIKCOI,0,0,0,0
659 CEN II,1659C2,MR,QUIKCOI,0,0,0,0
659 CEN SR,1659CR,MR,QUIKCOI,0,0,0,0
659 CEN SD,1659CS,MR,QUIKCOI,0,0,0,0
659 SR GD,1659SR,MR,QUIKCOI,0,0,0,0
669 SR GD,1669SR,MR,QUIKCOI,0,0,0,0
679 CEN SD,1679CS,MR,QUIKCOI,0,0,0,0
658 CEN I,1658C1,NC,QUIKCOI,0,0,0,0
658 CEN SD,1658CS,NC,QUIKCOI,294,0,0,294
659 CEN II,1659C2,NC,QUIKCOI,0,0,0,0
659 CEN SR,1659CR,NC,QUIKCOI,0,0,0,0
659 CEN SD,1659CS,NC,QUIKCOI,0,0,0,0
659 SR GD,1659SR,NC,QUIKCOI,0,0,0,0
669 SR GD,1669SR,NC,QUIKCOI,0,0,0,0
679 CEN SD,1679CS,NC,QUIKCOI,396,0,0,396
658 CEN I,1658C1,U5,QUIKGCOI,0,0,0,0
658 CEN SD,1658CS,U5,QUIKGCOI,0,0,0,0
659 CEN II,1659C2,U5,QUIKGCOI,0,0,0,0
659 CEN SR,1659CR,U5,QUIKGCOI,0,0,0,0
659 CEN SD,1659CS,U5,QUIKGCOI,0,0,0,0
659 SR GD,1659SR,U5,QUIKGCOI,0,0,0,0
669 SR GD,1669SR,U5,QUIKGCOI,0,0,0,0
679 CEN SD,1679CS,U5,QUIKGCOI,200,0,0,200
658 CEN I,1658C1,SR,QUIKISSC,0,0,0,0
658 CEN SD,1658CS,SR,QUIKISSC,0,0,0,0
659 CEN II,1659C2,SR,QUIKISSC,0,0,0,0
659 CEN SR,1659CR,SR,QUIKISSC,0,0,0,0
659 CEN SD,1659CS,SR,QUIKISSC,0,0,0,0
659 SR GD,1659SR,SR,QUIKISSC,0,0,0,0
669 SR GD,1669SR,SR,QUIKISSC,0,0,0,0
679 CEN SD,1679CS,SR,QUIKISSC,0,0,0,0
658 CEN I,1658C1,SL,QUIKISSC,0,0,0,0
658 CEN SD,1658CS,SL,QUIKISSC,0,0,0,0
659 CEN II,1659C2,SL,QUIKISSC,0,12,14,26
659 CEN SR,1659CR,SL,QUIKISSC,0,0,0,0
659 CEN SD,1659CS,SL,QUIKISSC,0,0,0,0
659 SR GD,1659SR,SL,QUIKISSC,0,0,0,0
669 SR GD,1669SR,SL,QUIKISSC,0,0,0,0
679 CEN SD,1679CS,SL,QUIKISSC,0,0,0,0
658 CEN I,1658C1,U7,QUIKISSC,0,0,0,0
658 CEN SD,1658CS,U7,QUIKISSC,0,0,0,0
659 CEN II,1659C2,U7,QUIKISSC,0,0,0,0
659 CEN SR,1659CR,U7,QUIKISSC,0,0,0,0
659 CEN SD,1659CS,U7,QUIKISSC,0,0,0,0
659 SR GD,1659SR,U7,QUIKISSC,0,0,0,0
669 SR GD,1669SR,U7,QUIKISSC,0,0,0,0
679 CEN SD,1679CS,U7,QUIKISSC,0,0,0,0
658 CEN I,1658C1,U8,QUIKISSC,0,0,0,0
658 CEN SD,1658CS,U8,QUIKISSC,0,0,0,0
659 CEN II,1659C2,U8,QUIKISSC,0,0,0,0
659 CEN SR,1659CR,U8,QUIKISSC,0,0,0,0
659 CEN SD,1659CS,U8,QUIKISSC,0,0,0,0
659 SR GD,1659SR,U8,QUIKISSC,0,0,0,0
669 SR GD,1669SR,U8,QUIKISSC,0,0,0,0
679 CEN SD,1679CS,U8,QUIKISSC,0,0,0,0
658 CEN I,1658C1,TP,QUIKISSC,0,0,0,0
658 CEN SD,1658CS,TP,QUIKISSC,0,0,0,0
659 CEN II,1659C2,TP,QUIKISSC,0,2128,19780,21908
659 CEN SR,1659CR,TP,QUIKISSC,0,0,0,0
659 CEN SD,1659CS,TP,QUIKISSC,0,0,0,0
659 SR GD,1659SR,TP,QUIKISSC,0,0,0,0
669 SR GD,1669SR,TP,QUIKISSC,0,0,0,0
679 CEN SD,1679CS,TP,QUIKISSC,0,0,0,0
658 CEN I,1658C1,TX,QUIKISSC,0,0,0,0
658 CEN SD,1658CS,TX,QUIKISSC,0,0,0,0
659 CEN II,1659C2,TX,QUIKISSC,0,2128,19780,21908
659 CEN SR,1659CR,TX,QUIKISSC,0,0,0,0
659 CEN SD,1659CS,TX,QUIKISSC,0,0,0,0
659 SR GD,1659SR,TX,QUIKISSC,0,0,0,0
669 SR GD,1669SR,TX,QUIKISSC,0,0,0,0
679 CEN SD,1679CS,TX,QUIKISSC,0,0,0,0
658 CEN I,1658C1,BP,QUIKGPS,0,0,0,0
658 CEN SD,1658CS,BP,QUIKGPS,444,0,0,444
659 CEN II,1659C2,BP,QUIKGPS,0,0,0,0
659 CEN SR,1659CR,BP,QUIKGPS,0,0,0,0
659 CEN SD,1659CS,BP,QUIKGPS,152,0,0,152
659 SR GD,1659SR,BP,QUIKGPS,0,0,0,0
669 SR GD,1669SR,BP,QUIKGPS,172,0,0,172
679 CEN SD,1679CS,BP,QUIKGPS,396,0,0,396
658 CEN I,1658C1,BI,QUIKGPS,0,0,0,0
658 CEN SD,1658CS,BI,QUIKGPS,0,0,0,0
659 CEN II,1659C2,BI,QUIKGPS,0,0,0,0
659 CEN SR,1659CR,BI,QUIKGPS,0,0,0,0
659 CEN SD,1659CS,BI,QUIKGPS,0,0,0,0
659 SR GD,1659SR,BI,QUIKGPS,0,0,0,0
669 SR GD,1669SR,BI,QUIKGPS,0,0,0,0
679 CEN SD,1679CS,BI,QUIKGPS,0,0,0,0
658 CEN I,1658C1,UG,QUIKGPS,0,0,0,0
658 CEN SD,1658CS,UG,QUIKGPS,0,0,0,0
659 CEN II,1659C2,UG,QUIKGPS,0,0,0,0
659 CEN SR,1659CR,UG,QUIKGPS,0,0,0,0
659 CEN SD,1659CS,UG,QUIKGPS,0,0,0,0
659 SR GD,1659SR,UG,QUIKGPS,0,0,0,0
669 SR GD,1669SR,UG,QUIKGPS,0,0,0,0
679 CEN SD,1679CS,UG,QUIKGPS,0,0,0,0
658 CEN I,1658C1,UH,QUIKGPS,0,0,0,0
658 CEN SD,1658CS,UH,QUIKGPS,0,0,0,0
659 CEN II,1659C2,UH,QUIKGPS,0,0,0,0
659 CEN SR,1659CR,UH,QUIKGPS,0,0,0,0
659 CEN SD,1659CS,UH,QUIKGPS,0,0,0,0
659 SR GD,1659SR,UH,QUIKGPS,0,0,0,0
669 SR GD,1669SR,UH,QUIKGPS,0,0,0,0
679 CEN SD,1679CS,UH,QUIKGPS,0,0,0,0
658 CEN I,1658C1,UX,QUIKGPS,0,0,0,0
658 CEN SD,1658CS,UX,QUIKGPS,0,0,0,0
659 CEN II,1659C2,UX,QUIKGPS,0,0,0,0
659 CEN SR,1659CR,UX,QUIKGPS,0,0,0,0
659 CEN SD,1659CS,UX,QUIKGPS,0,0,0,0
659 SR GD,1659SR,UX,QUIKGPS,0,0,0,0
669 SR GD,1669SR,UX,QUIKGPS,0,0,0,0
679 CEN SD,1679CS,UX,QUIKGPS,0,0,0,0
658 CEN I,1658C1,UY,QUIKGPS,0,0,0,0
658 CEN SD,1658CS,UY,QUIKGPS,0,0,0,0
659 CEN II,1659C2,UY,QUIKGPS,0,0,0,0
659 CEN SR,1659CR,UY,QUIKGPS,0,0,0,0
659 CEN SD,1659CS,UY,QUIKGPS,0,0,0,0
659 SR GD,1659SR,UY,QUIKGPS,0,0,0,0
669 SR GD,1669SR,UY,QUIKGPS,0,0,0,0
679 CEN SD,1679CS,UY,QUIKGPS,0,0,0,0
658 CEN I,1658C1,UZ,QUIKGPS,0,0,0,0
658 CEN SD,1658CS,UZ,QUIKGPS,0,0,0,0
659 CEN II,1659C2,UZ,QUIKGPS,0,0,0,0
659 CEN SR,1659CR,UZ,QUIKGPS,0,0,0,0
659 CEN SD,1659CS,UZ,QUIKGPS,0,0,0,0
659 SR GD,1659SR,UZ,QUIKGPS,0,0,0,0
669 SR GD,1669SR,UZ,QUIKGPS,0,0,0,0
679 CEN SD,1679CS,UZ,QUIKGPS,0,0,0,0
658 CEN I,1658C1,MP,QUIKGPS,0,0,0,0
658 CEN SD,1658CS,MP,QUIKGPS,0,0,0,0
659 CEN II,1659C2,MP,QUIKGPS,0,0,0,0
659 CEN SR,1659CR,MP,QUIKGPS,0,0,0,0
659 CEN SD,1659CS,MP,QUIKGPS,0,0,0,0
659 SR GD,1659SR,MP,QUIKGPS,0,0,0,0
669 SR GD,1669SR,MP,QUIKGPS,0,0,0,0
679 CEN SD,1679CS,MP,QUIKGPS,0,0,0,0
658 CEN I,1658C1,PR,QUIKGPS,0,0,0,0
658 CEN SD,1658CS,PR,QUIKGPS,164,0,0,164
659 CEN II,1659C2,PR,QUIKGPS,0,0,0,0
659 CEN SR,1659CR,PR,QUIKGPS,0,0,0,0
659 CEN SD,1659CS,PR,QUIKGPS,0,0,0,0
659 SR GD,1659SR,PR,QUIKGPS,0,0,0,0
669 SR GD,1669SR,PR,QUIKGPS,164,0,0,164
679 CEN SD,1679CS,PR,QUIKGPS,0,0,0,0
658 CEN I,1658C1,CV,QUIKCVS,0,2112,18124,20236
658 CEN SD,1658CS,CV,QUIKCVS,0,1824,9113,10937
659 CEN II,1659C2,CV,QUIKCVS,0,1104,9678,10782
659 CEN SR,1659CR,CV,QUIKCVS,0,2064,9678,11742
659 CEN SD,1659CS,CV,QUIKCVS,0,1824,9288,11112
659 SR GD,1659SR,CV,QUIKCVS,0,1500,9700,11200
669 SR GD,1669SR,CV,QUIKCVS,0,864,2340,3204
679 CEN SD,1679CS,CV,QUIKCVS,0,792,4350,5142
