segment_code,mplan,coverage_id,psetg_slots,sample_segt_ids,paagerat_rows,pdage_rows,rate_table_rows,hierarchy_authoritative
U2,1659CR,659 CEN SR,0,,0,0,0,N
U2,1659CS,659 CEN SD,0,,0,0,0,N
U2,1659SR,659 SR GD,0,,0,0,0,N
U2,1669SR,669 SR GD,0,,0,0,0,N
U2,1679CS,679 CEN SD,0,,0,0,0,N
U3,1658C1,658 CEN I,0,,0,0,0,N
U3,1658CS,658 CEN SD,0,,0,0,0,N
U3,1659C2,659 CEN II,0,,0,0,0,N
U3,1659CR,659 CEN SR,0,,0,0,0,N
U3,1659CS,659 CEN SD,0,,0,0,0,N
U3,1659SR,659 SR GD,0,,0,0,0,N
U3,1669SR,669 SR GD,0,,0,0,0,N
U3,1679CS,679 CEN SD,0,,0,0,0,N
G2,1658C1,658 CEN I,0,,0,0,0,N
G2,1658CS,658 CEN SD,0,,0,0,0,N
G2,1659C2,659 CEN II,0,,0,0,0,N
G2,1659CR,659 CEN SR,0,,0,0,0,N
G2,1659CS,659 CEN SD,0,,0,0,0,N
G2,1659SR,659 SR GD,0,,0,0,0,N
G2,1669SR,669 SR GD,0,,0,0,0,N
G2,1679CS,679 CEN SD,0,,0,0,0,N
G3,1658C1,658 CEN I,0,,0,0,0,N
G3,1658CS,658 CEN SD,0,,0,0,0,N
G3,1659C2,659 CEN II,0,,0,0,0,N
G3,1659CR,659 CEN SR,0,,0,0,0,N
G3,1659CS,659 CEN SD,0,,0,0,0,N
G3,1659SR,659 SR GD,0,,0,0,0,N
G3,1669SR,669 SR GD,0,,0,0,0,N
G3,1679CS,679 CEN SD,0,,0,0,0,N
GF,1658C1,658 CEN I,0,,0,0,0,N
GF,1658CS,658 CEN SD,0,,0,0,0,N
GF,1659C2,659 CEN II,0,,0,0,0,N
GF,1659CR,659 CEN SR,0,,0,0,0,N
GF,1659CS,659 CEN SD,0,,0,0,0,N
GF,1659SR,659 SR GD,0,,0,0,0,N
GF,1669SR,669 SR GD,0,,0,0,0,N
GF,1679CS,679 CEN SD,0,,0,0,0,N
