qla_area,segment_code,mplan,coverage_id,pcovrsgt_slot_count,pcovrsgt_active_segt_count,pcomp_component_count,hex_blob_code_hit,hex_hit_paths,paagerat_rows,pdage_rows,rate_table_rows,total_rate_rows,inferred_source_table,hierarchy_confirmed,pset_extract_present
Expenses,U3,1658CS,658 CEN SD,56,24,2,N,,0,0,0,0,,Partial,N
Expenses,U3,1659C2,659 CEN II,56,24,20,N,,0,0,0,0,,Partial,N
Expenses,U3,1659CR,659 CEN SR,56,24,1,N,,0,0,0,0,,Partial,N
Expenses,U3,1659CS,659 CEN SD,56,24,1,N,,0,0,0,0,,Partial,N
Expenses,U3,1659SR,659 SR GD,56,24,1,N,,0,0,0,0,,Partial,N
Expenses,U3,1669SR,669 SR GD,56,24,0,N,,0,0,0,0,,Partial,N
Expenses,U3,1679CS,679 CEN SD,56,23,1,N,,0,0,0,0,,Partial,N
Expenses,G2,1658C1,658 CEN I,56,24,19,N,,0,0,0,0,,Partial,N
Expenses,G2,1658CS,658 CEN SD,56,24,2,N,,0,0,0,0,,Partial,N
Expenses,G2,1659C2,659 CEN II,56,24,20,N,,0,0,0,0,,Partial,N
Expenses,G2,1659CR,659 CEN SR,56,24,1,N,,0,0,0,0,,Partial,N
Expenses,G2,1659CS,659 CEN SD,56,24,1,N,,0,0,0,0,,Partial,N
Expenses,G2,1659SR,659 SR GD,56,24,1,N,,0,0,0,0,,Partial,N
Expenses,G2,1669SR,669 SR GD,56,24,0,N,,0,0,0,0,,Partial,N
Expenses,G2,1679CS,679 CEN SD,56,23,1,N,,0,0,0,0,,Partial,N
Expenses,G3,1658C1,658 CEN I,56,24,19,N,,0,0,0,0,,Partial,N
Expenses,G3,1658CS,658 CEN SD,56,24,2,N,,0,0,0,0,,Partial,N
Expenses,G3,1659C2,659 CEN II,56,24,20,N,,0,0,0,0,,Partial,N
Expenses,G3,1659CR,659 CEN SR,56,24,1,N,,0,0,0,0,,Partial,N
Expenses,G3,1659CS,659 CEN SD,56,24,1,N,,0,0,0,0,,Partial,N
Expenses,G3,1659SR,659 SR GD,56,24,1,N,,0,0,0,0,,Partial,N
Expenses,G3,1669SR,669 SR GD,56,24,0,N,,0,0,0,0,,Partial,N
Expenses,G3,1679CS,679 CEN SD,56,23,1,N,,0,0,0,0,,Partial,N
Expenses,GF,1658C1,658 CEN I,56,24,19,N,,0,0,0,0,,Partial,N
Expenses,GF,1658CS,658 CEN SD,56,24,2,N,,0,0,0,0,,Partial,N
Expenses,GF,1659C2,659 CEN II,56,24,20,N,,0,0,0,0,,Partial,N
Expenses,GF,1659CR,659 CEN SR,56,24,1,N,,0,0,0,0,,Partial,N
Expenses,GF,1659CS,659 CEN SD,56,24,1,N,,0,0,0,0,,Partial,N
Expenses,GF,1659SR,659 SR GD,56,24,1,N,,0,0,0,0,,Partial,N
Expenses,GF,1669SR,669 SR GD,56,24,0,N,,0,0,0,0,,Partial,N
Expenses,GF,1679CS,679 CEN SD,56,23,1,N,,0,0,0,0,,Partial,N
Expenses,BI,1658C1,658 CEN I,56,24,19,N,,0,0,0,0,,Partial,N
Expenses,BI,1658CS,658 CEN SD,56,24,2,N,,0,0,0,0,,Partial,N
Expenses,BI,1659C2,659 CEN II,56,24,20,N,,0,0,0,0,,Partial,N
Expenses,BI,1659CR,659 CEN SR,56,24,1,N,,0,0,0,0,,Partial,N
Expenses,BI,1659CS,659 CEN SD,56,24,1,N,,0,0,0,0,,Partial,N
Expenses,BI,1659SR,659 SR GD,56,24,1,N,,0,0,0,0,,Partial,N
Expenses,BI,1669SR,669 SR GD,56,24,0,N,,0,0,0,0,,Partial,N
Expenses,BI,1679CS,679 CEN SD,56,23,1,N,,0,0,0,0,,Partial,N
Expenses,UG,1658C1,658 CEN I,56,24,19,N,,0,0,0,0,,Partial,N
Expenses,UG,1658CS,658 CEN SD,56,24,2,N,,0,0,0,0,,Partial,N
Expenses,UG,1659C2,659 CEN II,56,24,20,N,,0,0,0,0,,Partial,N
Expenses,UG,1659CR,659 CEN SR,56,24,1,N,,0,0,0,0,,Partial,N
Expenses,UG,1659CS,659 CEN SD,56,24,1,N,,0,0,0,0,,Partial,N
Expenses,UG,1659SR,659 SR GD,56,24,1,N,,0,0,0,0,,Partial,N
Expenses,UG,1669SR,669 SR GD,56,24,0,N,,0,0,0,0,,Partial,N
Expenses,UG,1679CS,679 CEN SD,56,23,1,N,,0,0,0,0,,Partial,N
Expenses,UH,1658C1,658 CEN I,56,24,19,N,,0,0,0,0,,Partial,N
Expenses,UH,1658CS,658 CEN SD,56,24,2,N,,0,0,0,0,,Partial,N
Expenses,UH,1659C2,659 CEN II,56,24,20,N,,0,0,0,0,,Partial,N
Expenses,UH,1659CR,659 CEN SR,56,24,1,N,,0,0,0,0,,Partial,N
Expenses,UH,1659CS,659 CEN SD,56,24,1,N,,0,0,0,0,,Partial,N
Expenses,UH,1659SR,659 SR GD,56,24,1,N,,0,0,0,0,,Partial,N
Expenses,UH,1669SR,669 SR GD,56,24,0,N,,0,0,0,0,,Partial,N
Expenses,UH,1679CS,679 CEN SD,56,23,1,N,,0,0,0,0,,Partial,N
Expenses,UX,1658C1,658 CEN I,56,24,19,N,,0,0,0,0,,Partial,N
Expenses,UX,1658CS,658 CEN SD,56,24,2,N,,0,0,0,0,,Partial,N
Expenses,UX,1659C2,659 CEN II,56,24,20,N,,0,0,0,0,,Partial,N
Expenses,UX,1659CR,659 CEN SR,56,24,1,N,,0,0,0,0,,Partial,N
Expenses,UX,1659CS,659 CEN SD,56,24,1,N,,0,0,0,0,,Partial,N
Expenses,UX,1659SR,659 SR GD,56,24,1,N,,0,0,0,0,,Partial,N
Expenses,UX,1669SR,669 SR GD,56,24,0,N,,0,0,0,0,,Partial,N
Expenses,UX,1679CS,679 CEN SD,56,23,1,N,,0,0,0,0,,Partial,N
Expenses,UY,1658C1,658 CEN I,56,24,19,N,,0,0,0,0,,Partial,N
Expenses,UY,1658CS,658 CEN SD,56,24,2,N,,0,0,0,0,,Partial,N
Expenses,UY,1659C2,659 CEN II,56,24,20,N,,0,0,0,0,,Partial,N
Expenses,UY,1659CR,659 CEN SR,56,24,1,N,,0,0,0,0,,Partial,N
Expenses,UY,1659CS,659 CEN SD,56,24,1,N,,0,0,0,0,,Partial,N
Expenses,UY,1659SR,659 SR GD,56,24,1,N,,0,0,0,0,,Partial,N
Expenses,UY,1669SR,669 SR GD,56,24,0,N,,0,0,0,0,,Partial,N
Expenses,UY,1679CS,679 CEN SD,56,23,1,N,,0,0,0,0,,Partial,N
Expenses,UZ,1658C1,658 CEN I,56,24,19,N,,0,0,0,0,,Partial,N
Expenses,UZ,1658CS,658 CEN SD,56,24,2,N,,0,0,0,0,,Partial,N
Expenses,UZ,1659C2,659 CEN II,56,24,20,N,,0,0,0,0,,Partial,N
Expenses,UZ,1659CR,659 CEN SR,56,24,1,N,,0,0,0,0,,Partial,N
Expenses,UZ,1659CS,659 CEN SD,56,24,1,N,,0,0,0,0,,Partial,N
Expenses,UZ,1659SR,659 SR GD,56,24,1,N,,0,0,0,0,,Partial,N
Expenses,UZ,1669SR,669 SR GD,56,24,0,N,,0,0,0,0,,Partial,N
Expenses,UZ,1679CS,679 CEN SD,56,23,1,N,,0,0,0,0,,Partial,N
QUIKCOI,U6,1658C1,658 CEN I,56,24,19,N,,0,0,0,0,,Partial,N
QUIKCOI,U6,1658CS,658 CEN SD,56,24,2,N,,400,0,0,400,PAAGERAT,Partial,N
QUIKCOI,U6,1659C2,659 CEN II,56,24,20,N,,0,0,0,0,,Partial,N
QUIKCOI,U6,1659CR,659 CEN SR,56,24,1,N,,0,0,0,0,,Partial,N
QUIKCOI,U6,1659CS,659 CEN SD,56,24,1,N,,0,0,0,0,,Partial,N
QUIKCOI,U6,1659SR,659 SR GD,56,24,1,N,,0,0,0,0,,Partial,N
QUIKCOI,U6,1669SR,669 SR GD,56,24,0,N,,0,0,0,0,,Partial,N
QUIKCOI,U6,1679CS,679 CEN SD,56,23,1,N,,400,0,0,400,PAAGERAT,Partial,N
QUIKCOI,NR,1658C1,658 CEN I,56,24,19,N,,0,0,0,0,,Partial,N
QUIKCOI,NR,1658CS,658 CEN SD,56,24,2,N,,0,0,0,0,,Partial,N
QUIKCOI,NR,1659C2,659 CEN II,56,24,20,N,,0,0,0,0,,Partial,N
QUIKCOI,NR,1659CR,659 CEN SR,56,24,1,N,,0,0,0,0,,Partial,N
QUIKCOI,NR,1659CS,659 CEN SD,56,24,1,N,,0,0,0,0,,Partial,N
QUIKCOI,NR,1659SR,659 SR GD,56,24,1,N,,0,0,0,0,,Partial,N
QUIKCOI,NR,1669SR,669 SR GD,56,24,0,N,,0,0,0,0,,Partial,N
QUIKCOI,NR,1679CS,679 CEN SD,56,23,1,N,,0,0,0,0,,Partial,N
QUIKCOI,UL,1658C1,658 CEN I,56,24,19,N,,0,0,0,0,,Partial,N
QUIKCOI,UL,1658CS,658 CEN SD,56,24,2,N,,0,0,0,0,,Partial,N
QUIKCOI,UL,1659C2,659 CEN II,56,24,20,N,,0,0,0,0,,Partial,N
QUIKCOI,UL,1659CR,659 CEN SR,56,24,1,N,,0,0,0,0,,Partial,N
QUIKCOI,UL,1659CS,659 CEN SD,56,24,1,N,,0,0,0,0,,Partial,N
QUIKCOI,UL,1659SR,659 SR GD,56,24,1,N,,0,0,0,0,,Partial,N
QUIKCOI,UL,1669SR,669 SR GD,56,24,0,N,,0,0,0,0,,Partial,N
QUIKCOI,UL,1679CS,679 CEN SD,56,23,1,N,,0,0,0,0,,Partial,N
QUIKCOI,UI,1658C1,658 CEN I,56,24,19,N,,0,0,0,0,,Partial,N
QUIKCOI,UI,1658CS,658 CEN SD,56,24,2,N,,0,0,0,0,,Partial,N
QUIKCOI,UI,1659C2,659 CEN II,56,24,20,N,,0,0,0,0,,Partial,N
QUIKCOI,UI,1659CR,659 CEN SR,56,24,1,N,,0,0,0,0,,Partial,N
QUIKCOI,UI,1659CS,659 CEN SD,56,24,1,N,,0,0,0,0,,Partial,N
QUIKCOI,UI,1659SR,659 SR GD,56,24,1,N,,0,0,0,0,,Partial,N
QUIKCOI,UI,1669SR,669 SR GD,56,24,0,N,,0,0,0,0,,Partial,N
QUIKCOI,UI,1679CS,679 CEN SD,56,23,1,N,,0,0,0,0,,Partial,N
QUIKCOI,FC,1658C1,658 CEN I,56,24,19,N,,0,0,0,0,,Partial,N
QUIKCOI,FC,1658CS,658 CEN SD,56,24,2,N,,0,0,0,0,,Partial,N
QUIKCOI,FC,1659C2,659 CEN II,56,24,20,N,,0,0,0,0,,Partial,N
QUIKCOI,FC,1659CR,659 CEN SR,56,24,1,N,,0,0,0,0,,Partial,N
QUIKCOI,FC,1659CS,659 CEN SD,56,24,1,N,,0,0,0,0,,Partial,N
QUIKCOI,FC,1659SR,659 SR GD,56,24,1,N,,0,0,0,0,,Partial,N
QUIKCOI,FC,1669SR,669 SR GD,56,24,0,N,,0,0,0,0,,Partial,N
QUIKCOI,FC,1679CS,679 CEN SD,56,23,1,N,,0,0,0,0,,Partial,N
QUIKCOI,MR,1658C1,658 CEN I,56,24,19,N,,0,0,0,0,,Partial,N
QUIKCOI,MR,1658CS,658 CEN SD,56,24,2,N,,0,0,0,0,,Partial,N
QUIKCOI,MR,1659C2,659 CEN II,56,24,20,N,,0,0,0,0,,Partial,N
QUIKCOI,MR,1659CR,659 CEN SR,56,24,1,N,,0,0,0,0,,Partial,N
QUIKCOI,MR,1659CS,659 CEN SD,56,24,1,N,,0,0,0,0,,Partial,N
QUIKCOI,MR,1659SR,659 SR GD,56,24,1,N,,0,0,0,0,,Partial,N
QUIKCOI,MR,1669SR,669 SR GD,56,24,0,N,,0,0,0,0,,Partial,N
QUIKCOI,MR,1679CS,679 CEN SD,56,23,1,N,,0,0,0,0,,Partial,N
QUIKCOI,NC,1658C1,658 CEN I,56,24,19,N,,0,0,0,0,,Partial,N
QUIKCOI,NC,1658CS,658 CEN SD,56,24,2,N,,294,0,0,294,PAAGERAT,Partial,N
QUIKCOI,NC,1659C2,659 CEN II,56,24,20,N,,0,0,0,0,,Partial,N
QUIKCOI,NC,1659CR,659 CEN SR,56,24,1,N,,0,0,0,0,,Partial,N
QUIKCOI,NC,1659CS,659 CEN SD,56,24,1,N,,0,0,0,0,,Partial,N
QUIKCOI,NC,1659SR,659 SR GD,56,24,1,N,,0,0,0,0,,Partial,N
QUIKCOI,NC,1669SR,669 SR GD,56,24,0,N,,0,0,0,0,,Partial,N
QUIKCOI,NC,1679CS,679 CEN SD,56,23,1,N,,396,0,0,396,PAAGERAT,Partial,N
QUIKGCOI,U5,1658C1,658 CEN I,56,24,19,N,,0,0,0,0,,Partial,N
QUIKGCOI,U5,1658CS,658 CEN SD,56,24,2,N,,0,0,0,0,,Partial,N
QUIKGCOI,U5,1659C2,659 CEN II,56,24,20,N,,0,0,0,0,,Partial,N
QUIKGCOI,U5,1659CR,659 CEN SR,56,24,1,N,,0,0,0,0,,Partial,N
QUIKGCOI,U5,1659CS,659 CEN SD,56,24,1,N,,0,0,0,0,,Partial,N
QUIKGCOI,U5,1659SR,659 SR GD,56,24,1,N,,0,0,0,0,,Partial,N
QUIKGCOI,U5,1669SR,669 SR GD,56,24,0,N,,0,0,0,0,,Partial,N
QUIKGCOI,U5,1679CS,679 CEN SD,56,23,1,N,,200,0,0,200,PAAGERAT,Partial,N
QUIKISSC,SR,1658C1,658 CEN I,56,24,19,N,,0,0,0,0,,Partial,N
QUIKISSC,SR,1658CS,658 CEN SD,56,24,2,N,,0,0,0,0,,Partial,N
QUIKISSC,SR,1659C2,659 CEN II,56,24,20,N,,0,0,0,0,,Partial,N
QUIKISSC,SR,1659CR,659 CEN SR,56,24,1,Y,PCOVR.COVR_KEY0; PCOMP.comp#1.659 CEN SR,0,0,0,0,PCOVR/PCOMP hex (unverified),Partial,N
QUIKISSC,SR,1659CS,659 CEN SD,56,24,1,N,,0,0,0,0,,Partial,N
QUIKISSC,SR,1659SR,659 SR GD,56,24,1,Y,PCOVR.ROW_COLUMN; PCOVR.COVR_KEY0; PCOMP.comp#1.659 SR GD,0,0,0,0,PCOVR/PCOMP hex (unverified),Partial,N
QUIKISSC,SR,1669SR,669 SR GD,56,24,0,Y,PCOVR.ROW_COLUMN; PCOVR.COVR_KEY0,0,0,0,0,PCOVR/PCOMP hex (unverified),Partial,N
QUIKISSC,SR,1679CS,679 CEN SD,56,23,1,N,,0,0,0,0,,Partial,N
QUIKISSC,SL,1658C1,658 CEN I,56,24,19,N,,0,0,0,0,,Partial,N
QUIKISSC,SL,1658CS,658 CEN SD,56,24,2,N,,0,0,0,0,,Partial,N
QUIKISSC,SL,1659C2,659 CEN II,56,24,20,N,,0,12,14,26,PDAGE,Partial,N
QUIKISSC,SL,1659CR,659 CEN SR,56,24,1,N,,0,0,0,0,,Partial,N
QUIKISSC,SL,1659CS,659 CEN SD,56,24,1,N,,0,0,0,0,,Partial,N
QUIKISSC,SL,1659SR,659 SR GD,56,24,1,N,,0,0,0,0,,Partial,N
QUIKISSC,SL,1669SR,669 SR GD,56,24,0,N,,0,0,0,0,,Partial,N
QUIKISSC,SL,1679CS,679 CEN SD,56,23,1,N,,0,0,0,0,,Partial,N
QUIKISSC,U7,1658C1,658 CEN I,56,24,19,N,,0,0,0,0,,Partial,N
QUIKISSC,U7,1658CS,658 CEN SD,56,24,2,N,,0,0,0,0,,Partial,N
QUIKISSC,U7,1659C2,659 CEN II,56,24,20,N,,0,0,0,0,,Partial,N
QUIKISSC,U7,1659CR,659 CEN SR,56,24,1,N,,0,0,0,0,,Partial,N
QUIKISSC,U7,1659CS,659 CEN SD,56,24,1,N,,0,0,0,0,,Partial,N
QUIKISSC,U7,1659SR,659 SR GD,56,24,1,N,,0,0,0,0,,Partial,N
QUIKISSC,U7,1669SR,669 SR GD,56,24,0,N,,0,0,0,0,,Partial,N
QUIKISSC,U7,1679CS,679 CEN SD,56,23,1,N,,0,0,0,0,,Partial,N
QUIKISSC,U8,1658C1,658 CEN I,56,24,19,N,,0,0,0,0,,Partial,N
QUIKISSC,U8,1658CS,658 CEN SD,56,24,2,N,,0,0,0,0,,Partial,N
QUIKISSC,U8,1659C2,659 CEN II,56,24,20,N,,0,0,0,0,,Partial,N
QUIKISSC,U8,1659CR,659 CEN SR,56,24,1,N,,0,0,0,0,,Partial,N
QUIKISSC,U8,1659CS,659 CEN SD,56,24,1,N,,0,0,0,0,,Partial,N
QUIKISSC,U8,1659SR,659 SR GD,56,24,1,N,,0,0,0,0,,Partial,N
QUIKISSC,U8,1669SR,669 SR GD,56,24,0,N,,0,0,0,0,,Partial,N
QUIKISSC,U8,1679CS,679 CEN SD,56,23,1,N,,0,0,0,0,,Partial,N
QUIKISSC,TP,1658C1,658 CEN I,56,24,19,N,,0,0,0,0,,Partial,N
QUIKISSC,TP,1658CS,658 CEN SD,56,24,2,N,,0,0,0,0,,Partial,N
QUIKISSC,TP,1659C2,659 CEN II,56,24,20,N,,0,2128,19780,21908,PDAGE,Partial,N
QUIKISSC,TP,1659CR,659 CEN SR,56,24,1,N,,0,0,0,0,,Partial,N
QUIKISSC,TP,1659CS,659 CEN SD,56,24,1,N,,0,0,0,0,,Partial,N
QUIKISSC,TP,1659SR,659 SR GD,56,24,1,N,,0,0,0,0,,Partial,N
QUIKISSC,TP,1669SR,669 SR GD,56,24,0,N,,0,0,0,0,,Partial,N
QUIKISSC,TP,1679CS,679 CEN SD,56,23,1,N,,0,0,0,0,,Partial,N
QUIKISSC,TX,1658C1,658 CEN I,56,24,19,N,,0,0,0,0,,Partial,N
QUIKISSC,TX,1658CS,658 CEN SD,56,24,2,N,,0,0,0,0,,Partial,N
QUIKISSC,TX,1659C2,659 CEN II,56,24,20,N,,0,2128,19780,21908,PDAGE,Partial,N
QUIKISSC,TX,1659CR,659 CEN SR,56,24,1,N,,0,0,0,0,,Partial,N
QUIKISSC,TX,1659CS,659 CEN SD,56,24,1,N,,0,0,0,0,,Partial,N
QUIKISSC,TX,1659SR,659 SR GD,56,24,1,N,,0,0,0,0,,Partial,N
QUIKISSC,TX,1669SR,669 SR GD,56,24,0,N,,0,0,0,0,,Partial,N
QUIKISSC,TX,1679CS,679 CEN SD,56,23,1,N,,0,0,0,0,,Partial,N
QUIKGPS,BP,1658C1,658 CEN I,56,24,19,N,,0,0,0,0,,Partial,N
QUIKGPS,BP,1658CS,658 CEN SD,56,24,2,N,,444,0,0,444,PAAGERAT,Partial,N
QUIKGPS,BP,1659C2,659 CEN II,56,24,20,N,,0,0,0,0,,Partial,N
QUIKGPS,BP,1659CR,659 CEN SR,56,24,1,N,,0,0,0,0,,Partial,N
QUIKGPS,BP,1659CS,659 CEN SD,56,24,1,N,,152,0,0,152,PAAGERAT,Partial,N
QUIKGPS,BP,1659SR,659 SR GD,56,24,1,N,,0,0,0,0,,Partial,N
QUIKGPS,BP,1669SR,669 SR GD,56,24,0,N,,172,0,0,172,PAAGERAT,Partial,N
QUIKGPS,BP,1679CS,679 CEN SD,56,23,1,N,,396,0,0,396,PAAGERAT,Partial,N
QUIKGPS,BI,1658C1,658 CEN I,56,24,19,N,,0,0,0,0,,Partial,N
QUIKGPS,BI,1658CS,658 CEN SD,56,24,2,N,,0,0,0,0,,Partial,N
QUIKGPS,BI,1659C2,659 CEN II,56,24,20,N,,0,0,0,0,,Partial,N
QUIKGPS,BI,1659CR,659 CEN SR,56,24,1,N,,0,0,0,0,,Partial,N
QUIKGPS,BI,1659CS,659 CEN SD,56,24,1,N,,0,0,0,0,,Partial,N
QUIKGPS,BI,1659SR,659 SR GD,56,24,1,N,,0,0,0,0,,Partial,N
QUIKGPS,BI,1669SR,669 SR GD,56,24,0,N,,0,0,0,0,,Partial,N
QUIKGPS,BI,1679CS,679 CEN SD,56,23,1,N,,0,0,0,0,,Partial,N
QUIKGPS,UG,1658C1,658 CEN I,56,24,19,N,,0,0,0,0,,Partial,N
QUIKGPS,UG,1658CS,658 CEN SD,56,24,2,N,,0,0,0,0,,Partial,N
QUIKGPS,UG,1659C2,659 CEN II,56,24,20,N,,0,0,0,0,,Partial,N
QUIKGPS,UG,1659CR,659 CEN SR,56,24,1,N,,0,0,0,0,,Partial,N
QUIKGPS,UG,1659CS,659 CEN SD,56,24,1,N,,0,0,0,0,,Partial,N
QUIKGPS,UG,1659SR,659 SR GD,56,24,1,N,,0,0,0,0,,Partial,N
QUIKGPS,UG,1669SR,669 SR GD,56,24,0,N,,0,0,0,0,,Partial,N
QUIKGPS,UG,1679CS,679 CEN SD,56,23,1,N,,0,0,0,0,,Partial,N
QUIKGPS,UH,1658C1,658 CEN I,56,24,19,N,,0,0,0,0,,Partial,N
QUIKGPS,UH,1658CS,658 CEN SD,56,24,2,N,,0,0,0,0,,Partial,N
QUIKGPS,UH,1659C2,659 CEN II,56,24,20,N,,0,0,0,0,,Partial,N
QUIKGPS,UH,1659CR,659 CEN SR,56,24,1,N,,0,0,0,0,,Partial,N
QUIKGPS,UH,1659CS,659 CEN SD,56,24,1,N,,0,0,0,0,,Partial,N
QUIKGPS,UH,1659SR,659 SR GD,56,24,1,N,,0,0,0,0,,Partial,N
QUIKGPS,UH,1669SR,669 SR GD,56,24,0,N,,0,0,0,0,,Partial,N
QUIKGPS,UH,1679CS,679 CEN SD,56,23,1,N,,0,0,0,0,,Partial,N
QUIKGPS,UX,1658C1,658 CEN I,56,24,19,N,,0,0,0,0,,Partial,N
QUIKGPS,UX,1658CS,658 CEN SD,56,24,2,N,,0,0,0,0,,Partial,N
QUIKGPS,UX,1659C2,659 CEN II,56,24,20,N,,0,0,0,0,,Partial,N
QUIKGPS,UX,1659CR,659 CEN SR,56,24,1,N,,0,0,0,0,,Partial,N
QUIKGPS,UX,1659CS,659 CEN SD,56,24,1,N,,0,0,0,0,,Partial,N
QUIKGPS,UX,1659SR,659 SR GD,56,24,1,N,,0,0,0,0,,Partial,N
QUIKGPS,UX,1669SR,669 SR GD,56,24,0,N,,0,0,0,0,,Partial,N
QUIKGPS,UX,1679CS,679 CEN SD,56,23,1,N,,0,0,0,0,,Partial,N
QUIKGPS,UY,1658C1,658 CEN I,56,24,19,N,,0,0,0,0,,Partial,N
QUIKGPS,UY,1658CS,658 CEN SD,56,24,2,N,,0,0,0,0,,Partial,N
QUIKGPS,UY,1659C2,659 CEN II,56,24,20,N,,0,0,0,0,,Partial,N
QUIKGPS,UY,1659CR,659 CEN SR,56,24,1,N,,0,0,0,0,,Partial,N
QUIKGPS,UY,1659CS,659 CEN SD,56,24,1,N,,0,0,0,0,,Partial,N
QUIKGPS,UY,1659SR,659 SR GD,56,24,1,N,,0,0,0,0,,Partial,N
QUIKGPS,UY,1669SR,669 SR GD,56,24,0,N,,0,0,0,0,,Partial,N
QUIKGPS,UY,1679CS,679 CEN SD,56,23,1,N,,0,0,0,0,,Partial,N
QUIKGPS,UZ,1658C1,658 CEN I,56,24,19,N,,0,0,0,0,,Partial,N
