COVERAGE_ID,STATUS_CODE,DESCRIPTION                             ,COMPANY_CODE,VAL_CODE  ,POLICY_FORM_NUM,TAX_QUAL_RULES,MULT_INSUREDS_FLAG,PERS_OF_RESIDENCE,PREM_TAX_LOAD_FLAG,ALLCTD_COVRG_FLAG,EXHIBIT_PAR_NONPAR,EXHIBIT_CODE,NET_COMMISSIONS,POLICY_BASIS,SEX_BASIS,PRIMARY_PERSON,POLICY_FEE,AGE_BASIS,COVERAGE_TYPE_FLAG,INT_CR_RULE,MOD_CODER,MOD_DATE   ,MOD_TIME   ,NUM_OF_SEGMENTS,OWNER_ANNUIT_DEATH,BC_PRIOR_TO_PTD,OLAB_RULES_FLAG,PAY_UP_DT_EQ_ISS,AUTOREVR_URT_FLAG,ALLOW_EARLY_PAD_UP,TRANSACTION_LOG,ALL_PREM_DEP_INCOM,SKIPPED_PAYMENTS,SKIP_ADV_DAYS,ELDEST_OWNR_ANNTNT,PREM_RESTRICT_DUR,CREATE_ACTG_PRM_TX,EDIT_REG_REP_BD,MIN_ISSUE_AGE,MAX_ISSUE_AGE,VALUE_TYPE,REPORTING_NUMBER,COLL_ADVANCE_PTD,GLOBAL_TAX_FLAG,STATE_FUND_TAX,NUM_MULT_INS_ALLWD,MODAL_ANNIV_FLAG,MDV_MATURE_EXPIRE,PERCENT_OF_BASE,MAX_ISSUE_AS_RIDER,PLAN_TYPE,PRODUCT_TYPE,TAX_QUAL_CODE,PAR,PAR_OYT_ID,PAR_PUA_ID,MAX_RENEWAL_AGE,NUM_OF_RENEWALS,PREM_CEASE_TYPE,PREM_CEASE_POINT,MIN_PREM_PAY_DUR,BENEFIT_CEASE_TYPE,BEN_CEASE_POINT,MIN_BENEFIT_DUR,MAX_BENEFIT_AGE,VALUE_OF_BEN_UNIT,ANN_GUAR_RATE,TAX_NQ_ANN_DC_FLAG,TAX_Q_ANN_DC_FLAG,AGGREGATE_GAIN,ANNL_STMT_GEN_CODE,ANNUAL_STMT_CODE,ANNUAL_STMT_RATE,ANNL_STMT_GUAR_PRD,GUIDELINE_APPLY,TAMRA_APPLY_FLAG,TAMRA_TREATMENT,GUAR_BEN_MIN_DD_AG,GUAR_BEN_MIN_DD_DR,DESIGNATED_ROTH,PROCESS_CYCLE_FLAG,PREM_TO_TAX_BASIS,PREM_CALCS_SYSTEM,PROJECTIONS_SYSTEM,LOANS_AVAILABLE,VAR_LOAN,LOAN_ADV_ARREARS,EXPANSION_FLG,CONTINUE_FLG,COVR_UPD_COUNT,COVR_KEY0             ,ROW_COLUMN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
622 END85  ,A          ,20 Pay Endowment at Age 85              ,03          ,          ,620            ,N             ,N                 ,                 ,N                 ,N                ,P                 ,END         ,Y              ,P           ,B        ,I             ,       .00,0        ,                  ,C          ,KPSA     ,   20050926,   13450633,              0,                  ,N              ,N              ,N               ,                 ,N                 ,               ,                  ,               0,            0,N                 ,                0,N                 ,N              ,            0,           60,U         ,                ,                ,               ,N             ,                 0,N               ,N                ,              0,                 0,L        ,03          ,N            ,X  ,          ,622 PUA   ,             99,             99,D              ,              20,               1,A                 ,             85,              1,            100,          1000.00,         .000,N                 ,N                ,N             ,                  ,               0,             .00,                 0,N              ,N               ,               ,                 0,                 0,N              ,                  ,Y                ,                 ,                  ,Y              ,N       ,0               ,Y            ,Y           ,             0,0x36323220454E44383520,0x36323220454E443835204132302050617920456E646F776D656E74206174204167652038352020202020202020202020202020303320202020202020202020363230202020202020204E4E204E4E50454E4459504249000000003020434B505341EEF33101893DCD0099999F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000000204E4E4E204E00002000000000303030304E4E00000000000000000000000000000000000000000030304E4E000F060F5520202020204E000000004E4E010000000000000000000000000000000000000000000000E80300000000000000000000000000000000000000000000060F000F000F000F000F000F000F000000000F4C30334E582020202020202020202036323220505541202020099F099F44020F001F41085F001F100F000100000F00000C4E4E4E20000F00000F000F4E4E20592020594E304E202020202020202020205936323220454E443835205936323220454E443835204E202020202020202020204E2020202020202020202059352041445620202020204E202020202020202020204E202020202020202020204E202020202020202020205936323020454E443835204E202020202020202020205936323220454E443835205936323220454E443835204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E2020202020202020202059414139423120202020204E202020202020202020204E202020202020202020205936323220454E443835204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020594C4946455743562020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020594C494645202020202020594C4946452020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020592059
630 JEB    ,A          ,Juvenile Estate Builder Life Pd Up at 65,03          ,          ,620            ,N             ,N                 ,                 ,N                 ,N                ,P                 ,WHO         ,Y              ,P           ,B        ,I             ,       .00,0        ,                  ,C          ,KPSA     ,   20121221,    9203862,              0,                  ,N              ,N              ,N               ,N                ,N                 ,N              ,N                 ,               0,            0,N                 ,                0,N                 ,N              ,            0,           14,U         ,                ,                ,               ,N             ,                 0,N               ,N                ,              0,                 0,L        ,03          ,N            ,X  ,          ,630 PUA   ,             99,             99,A              ,              65,               1,D                 ,            100,              1,            100,          1000.00,         .000,N                 ,N                ,N             ,                  ,               0,             .00,                 0,N              ,N               ,               ,                 0,                 0,N              ,                  ,Y                ,                 ,                  ,Y              ,N       ,0               ,Y            ,Y           ,             0,0x363330204A4542202020,0x363330204A4542202020414A7576656E696C6520457374617465204275696C646572204C696665205064205570206174203635303320202020202020202020363230202020202020204E4E204E4E5057484F59504249000000003020434B5053418506330196708C0099999F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000000204E4E4E4E4E4E4E2000000000303030304E4E00000000000000000000000000000000000000000030304E4E000F014F5520202020204E000000004E4E0100000000000000000000000000000000000000000000000A0000000000000000000000000000000000000000000000014F000F000F000F000F000F000F000000000F4C30334E582020202020202020202036333020505541202020099F099F41065F001F44100F001F100F000100000F00000C4E4E4E20000F00000F000F4E4E20592020594E3059363330204A454220202059363330204A454220202059363330204A45422020204E202020202020202020204E20202020202020202020593520414456202020202059363330204A45422020204E202020202020202020204E2020202020202020202059454E444F5731303020204E2020202020202020202059363330204A454220202059363330204A45422020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E2020202020202020202059424131202020202020204E202020202020202020204E2020202020202020202059363330204A45422020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020594C4946455743562020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020594C494645202020202020594C4946452020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020592059
646 ART    ,A          ,Annual Renewable Term                   ,03          ,          ,667            ,N             ,N                 ,                 ,N                 ,N                ,P                 ,TPO         ,Y              ,P           ,B        ,I             ,     10.00,0        ,                  ,C          ,KAR1     ,   20080825,    8130878,              0,                  ,N              ,N              ,N               ,N                ,N                 ,N              ,N                 ,               0,            0,N                 ,                0,N                 ,N              ,           20,           60,U         ,                ,                ,               ,N             ,                 0,N               ,N                ,              0,                 0,L        ,03          ,N            ,X  ,          ,          ,             99,             99,A              ,              69,               1,A                 ,             69,              1,            100,          1000.00,         .000,N                 ,N                ,N             ,                  ,               0,             .00,                 0,N              ,N               ,               ,                 0,                 0,N              ,                  ,Y                ,                 ,                  ,Y              ,N       ,0               ,Y            ,Y           ,             0,0x36343620415254202020,0x3634362041525420202041416E6E75616C2052656E657761626C65205465726D20202020202020202020202020202020202020303320202020202020202020363637202020202020204E4E204E4E5054504F59504249E80300003020434B415231B96832013E117C0099999F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000000204E4E4E4E4E4E4E2000000000303030304E4E00000000000000000000000000000000000000000030304E4E020F060F5520202020204E000000004E4E320000000000000000000000000000000000000000000000E80300000000000000000000000000000000000000000000075F000F000F000F000F000F000F000000000F4C30334E582020202020202020202020202020202020202020099F099F41069F001F41069F001F100F000100000F00000C4E4E4E20000F00000F000F4E4E20592020594E3059363436204152542020204E2020202020202020202059363436204152542020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020593634362041525420202059363436204152542020204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020594152542020202020202059424139202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020594C494645574356202020593634362041525420202059363436204152542020204E202020202020202020204E202020202020202020204E20202020202020202020594C4946452020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020592059
647 FLP    ,A          ,Family Life Decreasing Term             ,03          ,          ,647            ,N             ,N                 ,                 ,N                 ,N                ,P                 ,TPD         ,Y              ,P           ,B        ,I             ,       .00,0        ,                  ,C          ,KPSA     ,   20060831,   10292457,              0,                  ,N              ,N              ,N               ,                 ,N                 ,               ,                  ,               0,            0,N                 ,                0,N                 ,N              ,           20,           60,U         ,                ,                ,               ,N             ,                 0,N               ,N                ,              0,                 0,L        ,03          ,N            ,X  ,          ,          ,             99,             99,A              ,              69,               1,A                 ,             69,              1,            100,          1000.00,         .000,N                 ,N                ,N             ,                  ,               0,             .00,                 0,N              ,N               ,               ,                 0,                 0,N              ,                  ,Y                ,                 ,                  ,Y              ,N       ,0               ,Y            ,Y           ,             0,0x36343720464C50202020,0x36343720464C502020204146616D696C79204C6966652044656372656173696E67205465726D20202020202020202020202020303320202020202020202020363437202020202020204E4E204E4E5054504459504249000000003020434B5053419F1A3201E90C9D0099999F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000000204E4E4E204E00002000000000303030304E4E00000000000000000000000000000000000000000030304E4E020F060F5520202020204E000000004E4E010000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000075F000F000F000F000F000F000F000000000F4C30334E582020202020202020202020202020202020202020099F099F41069F001F41069F001F100F000100000F00000C4E4E4E20000F00000F000F4E4E20592020594E305936343720464C502020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020205936343720464C502020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020205936343720464C502020205936343720464C502020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E2020202020202020202059464138202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020592059
647 FLP CH ,A          ,Child - Family Life Decreasing Term     ,03          ,          ,647            ,N             ,N                 ,                 ,N                 ,N                ,P                 ,OTD         ,Y              ,P           ,B        ,I             ,       .00,0        ,                  ,C          ,KPSA     ,   20060831,   10295380,              0,                  ,N              ,N              ,N               ,                 ,N                 ,               ,                  ,               0,            0,N                 ,                0,N                 ,N              ,           20,           60,U         ,                ,                ,               ,N             ,                 0,N               ,N                ,              0,                 0,L        ,03          ,N            ,X  ,          ,          ,             99,             99,A              ,              69,               1,A                 ,             69,              1,            100,          1000.00,         .000,N                 ,N                ,N             ,                  ,               0,             .00,                 0,N              ,N               ,               ,                 0,                 0,N              ,                  ,N                ,                 ,                  ,Y              ,N       ,0               ,Y            ,Y           ,             0,0x36343720464C50204348,0x36343720464C50204348414368696C64202D2046616D696C79204C6966652044656372656173696E67205465726D2020202020303320202020202020202020363437202020202020204E4E204E4E504F544459504249000000003020434B5053419F1A320154189D0099999F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000000204E4E4E204E00002000000000303030304E4E00000000000000000000000000000000000000000030304E4E020F060F5520202020204E000000004E4E010000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000075F000F000F000F000F000F000F000000000F4C30334E582020202020202020202020202020202020202020099F099F41069F001F41069F001F100F000100000F00000C4E4E4E20000F00000F000F4E4E204E2020594E304E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E2020202020202020202059424153452020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020592059
647 FLP SP ,A          ,Spouse - Family Life Decreasing Term    ,03          ,          ,647            ,N             ,N                 ,                 ,N                 ,N                ,P                 ,OTD         ,Y              ,P           ,B        ,I             ,       .00,0        ,                  ,C          ,KPSA     ,   20060831,   10294221,              0,                  ,N              ,N              ,N               ,                 ,N                 ,               ,                  ,               0,            0,N                 ,                0,N                 ,N              ,           20,           60,U         ,                ,                ,               ,N             ,                 0,N               ,N                ,              0,                 0,L        ,03          ,N            ,X  ,          ,          ,             99,             99,A              ,              69,               1,A                 ,             69,              1,            100,          1000.00,         .000,N                 ,N                ,N             ,                  ,               0,             .00,                 0,N              ,N               ,               ,                 0,                 0,N              ,                  ,N                ,                 ,                  ,Y              ,N       ,0               ,Y            ,Y           ,             0,0x36343720464C50205350,0x36343720464C502053504153706F757365202D2046616D696C79204C6966652044656372656173696E67205465726D20202020303320202020202020202020363437202020202020204E4E204E4E504F544459504249000000003020434B5053419F1A3201CD139D0099999F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000000204E4E4E204E00002000000000303030304E4E00000000000000000000000000000000000000000030304E4E020F060F5520202020204E000000004E4E010000000000000000000000000000000000000000000000010000000000000000000000000000000000000000000000075F000F000F000F000F000F000F000000000F4C30334E582020202020202020202020202020202020202020099F099F41069F001F41069F001F100F000100000F00000C4E4E4E20000F00000F000F4E4E204E2020594E304E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020205936343720464C502053504E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E2020202020202020202059424153452020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020592059
658 CEN I  ,A          ,Interest-Sensitive Whole Life           ,03          ,          ,658            ,N             ,N                 ,                 ,N                 ,N                ,N                 ,WHO         ,Y              ,P           ,B        ,I             ,     25.00,0        ,F                 ,B          ,KPSA     ,   20050926,   13475596,              0,                  ,N              ,N              ,N               ,                 ,N                 ,               ,                  ,               0,            0,N                 ,                0,N                 ,N              ,            1,           75,F         ,                ,Y               ,N              ,N             ,                 0,N               ,N                ,              0,                 0,U        ,06          ,N            ,N  ,NA        ,NA        ,             99,             99,A              ,             100,               1,A                 ,            100,              1,            100,          1000.00,         .000,N                 ,N                ,N             ,                  ,              22,             .00,                 0,N              ,N               ,               ,                 0,                 0,N              ,M                 ,Y                ,M                ,M                 ,Y              ,N       ,0               ,Y            ,Y           ,             0,0x3635382043454E204920,0x3635382043454E20492041496E7465726573742D53656E7369746976652057686F6C65204C6966652020202020202020202020303320202020202020202020363538202020202020204E4E204E4E4E57484F59504249C40900003046424B505341EEF331010C9FCD0099999F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000000204E4E4E204E00002000000000303030304E4E00000000000000000000000000000000000000000030304E4E001F075F46202020594E4E000000004E4E000000000000000000000000000000000000000000000000FFC99A3B0000000000000000000000000000000000000000075F000F000F000F000F000F000F000000000F5530364E4E4E4120202020202020204E412020202020202020099F099F41100F001F41100F001F100F000100000F00000C4E4E4E20022F00000F000F4E4E4D594D4D594E30593635382043454E204920593635382043454E204920593635392043454E204949593635392043454E2049494E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020593635392043454E204949593635382043454E2049204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020593635392043454E204949593635392043454E2049494E20202020202020202020593635392043454E2049494E202020202020202020204E2020202020202020202059444546524120202020205931353736203635382020594141394232202020202059424D413635382020202059424D4136353820202020593635392043454E204949593635382043454E2049204E20202020202020202020593635382043454E2049205949424130312034352020594C313420202020202020593635382043454E2049204E20202020202020202020593635392043454E2049494E202020202020202020204E20202020202020202020593635382043454E2049204E202020202020202020204E20202020202020202020594C4946455743562020204E202020202020202020204E202020202020202020204E20202020202020202020594C4946452020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020592059
658 CEN SD ,A          ,Interest-Sensitive Whole Life           ,03          ,          ,658            ,N             ,N                 ,                 ,N                 ,N                ,N                 ,WHO         ,Y              ,P           ,B        ,I             ,     25.00,0        ,F                 ,B          ,KPSA     ,   20050926,   13510147,              0,                  ,N              ,N              ,N               ,                 ,N                 ,               ,                  ,               0,            0,N                 ,                0,N                 ,N              ,            1,           75,F         ,                ,Y               ,N              ,N             ,                 0,N               ,N                ,              0,                 0,U        ,06          ,N            ,N  ,NA        ,NA        ,             99,             99,A              ,             100,               1,A                 ,            100,              1,            100,          1000.00,         .000,N                 ,N                ,N             ,                  ,              22,             .00,                 0,N              ,N               ,               ,                 0,                 0,N              ,M                 ,Y                ,M                ,M                 ,Y              ,N       ,0               ,Y            ,Y           ,             0,0x3635382043454E205344,0x3635382043454E20534441496E7465726573742D53656E7369746976652057686F6C65204C6966652020202020202020202020303320202020202020202020363538202020202020204E4E204E4E4E57484F59504249C40900003046424B505341EEF331010326CE0099999F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000000204E4E4E204E00002000000000303030304E4E00000000000000000000000000000000000000000030304E4E001F075F46202020594E4E000000004E4E000000000000000000000000000000000000000000000000A08601000000000000000000000000000000000000000000075F000F000F000F000F000F000F000000000F5530364E4E4E4120202020202020204E412020202020202020099F099F41100F001F41100F001F100F000100000F00000C4E4E4E20022F00000F000F4E4E4D594D4D594E30593635382043454E204920593635382043454E204920593635392043454E204949593635392043454E2049494E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020593635392043454E204949593635382043454E2049204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020593635392043454E204949593635392043454E2049494E20202020202020202020593635392043454E2049494E202020202020202020204E2020202020202020202059444546524120202020205931353736203635382020594741342020202020202059424D413635382020202059424D4136353820202020593635392043454E204949593635382043454E2053444E20202020202020202020593635382043454E2049205949424130312034352020594C313420202020202020593635382043454E2053444E20202020202020202020593635392043454E2049494E202020202020202020204E20202020202020202020593635382043454E2049204E202020202020202020204E20202020202020202020594C4946455743562020204E202020202020202020204E202020202020202020204E20202020202020202020594C4946452020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020592059
659 CEN II ,A          ,Interest-Sensitive Whole Life           ,03          ,          ,659            ,N             ,N                 ,                 ,N                 ,N                ,N                 ,WHO         ,N              ,P           ,B        ,I             ,     25.00,0        ,F                 ,B          ,KPSA     ,   20050926,   13521710,              0,                  ,N              ,N              ,N               ,                 ,N                 ,               ,                  ,               0,            0,N                 ,                0,N                 ,N              ,            0,           85,F         ,                ,Y               ,N              ,N             ,                 0,N               ,N                ,              0,                 0,U        ,05          ,N            ,N  ,NA        ,NA        ,             99,             99,A              ,             100,               1,A                 ,            100,              1,            100,          1000.00,         .000,N                 ,N                ,N             ,                  ,              22,             .00,                 0,N              ,N               ,               ,                 0,                 0,N              ,M                 ,Y                ,M                ,M                 ,Y              ,N       ,0               ,Y            ,Y           ,             0,0x3635392043454E204949,0x3635392043454E20494941496E7465726573742D53656E7369746976652057686F6C65204C6966652020202020202020202020303320202020202020202020363539202020202020204E4E204E4E4E57484F4E504249C40900003046424B505341EEF331012E53CE0099999FC40900000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000000204E4E4E204E00002000000000303030304E4E00000000000000000000000000000000000000000030304E4E000F085F46202020594E4E000000004E4E000000000000000000000000000000000000000000000000FFC99A3B0000000000000000000000000000000000000000085F000F000F000F000F000F000F000000000F5530354E4E4E4120202020202020204E412020202020202020099F099F41100F001F41100F001F100F000100000F00000C4E4E4E20022F00000F000F4E4E4D594D4D594E30593635392043454E204949593635392043454E204949593635392043454E204949593635392043454E2049494E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020593635392043454E204949593635392043454E2049494E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020593635392043454E204949593635392043454E2049494E20202020202020202020593635392043454E2049494E202020202020202020204E202020202020202020205944454652412020202020593135373620363539202059414139423120202020204E202020202020202020204E20202020202020202020593635392043454E204949593635392043454E2049494E20202020202020202020593635392043454E2049495949424130312034352020594C313420202020202020593635392043454E2049494E20202020202020202020593635392043454E204949593635392043454E204949593635392043454E204949593635392043454E2049494E202020202020202020204E20202020202020202020594C4946455743562020204E202020202020202020204E202020202020202020204E20202020202020202020594C4946452020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020593659
659 CEN SD ,A          ,Interest-Sensitive Whole Life           ,03          ,          ,659            ,N             ,N                 ,                 ,N                 ,N                ,N                 ,WHO         ,N              ,P           ,B        ,I             ,     25.00,0        ,F                 ,B          ,KPSA     ,   20050926,   13550958,              0,                  ,N              ,N              ,N               ,                 ,N                 ,               ,                  ,               0,            0,N                 ,                0,N                 ,N              ,            0,           75,F         ,                ,Y               ,N              ,N             ,                 0,N               ,N                ,              0,                 0,U        ,05          ,N            ,N  ,NA        ,NA        ,             99,             99,A              ,             100,               1,A                 ,            100,              1,            100,          1000.00,         .000,N                 ,N                ,N             ,                  ,              22,             .00,                 0,N              ,N               ,               ,                 0,                 0,N              ,M                 ,Y                ,M                ,M                 ,Y              ,N       ,0               ,Y            ,Y           ,             0,0x3635392043454E205344,0x3635392043454E20534441496E7465726573742D53656E7369746976652057686F6C65204C6966652020202020202020202020303320202020202020202020363539202020202020204E4E204E4E4E57484F4E504249C40900003046424B505341EEF331016EC5CE0099999F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000F000000000000204E4E4E204E00002000000000303030304E4E00000000000000000000000000000000000000000030304E4E000F075F46202020594E4E000000004E4E000000000000000000000000000000000000000000000000A08601000000000000000000000000000000000000000000075F000F000F000F000F000F000F000000000F5530354E4E4E4120202020202020204E412020202020202020099F099F41100F001F41100F001F100F000100000F00000C4E4E4E20022F00000F000F4E4E4D594D4D594E30593635392043454E204949593635392043454E204949593635392043454E204949593635392043454E2049494E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020593635392043454E204949593635392043454E2049494E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020593635392043454E204949593635392043454E2049494E20202020202020202020593635392043454E2049494E202020202020202020204E202020202020202020205944454652412020202020593135373620363539202059474134202020202020204E202020202020202020204E20202020202020202020593635392043454E204949593635392043454E2053444E20202020202020202020593635392043454E2049495949424130312034352020594C313420202020202020593635392043454E2053444E20202020202020202020593635392043454E204949593635392043454E204949593635392043454E204949593635392043454E2049494E202020202020202020204E20202020202020202020594C4946455743562020204E202020202020202020204E202020202020202020204E20202020202020202020594C4946452020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E202020202020202020204E20202020202020202020593659
