audit_timestamp,reconstructed_claim_id,derivation_candidate_id,enhanced_settlement_group_id,claim_family,applied_balancing_profile,revised_balancing_status,revised_balancing_difference,balancing_confidence,balancing_notes,excluded_transaction_codes,optional_components_missing,root_cause,production_dbf_flag,failure_pattern,severity,remediability,governance_status,recommended_remediation,replay_simulation_eligible,balancing_difference_abs,lifecycle_only_excluded
2026-05-24T19:18:38Z,RC-9010363098-5-DEATH_CLAIM-C0-20220917,QDC-RC-9010363098-5-DEATH_CLAIM-C0-20220917,,DEATH_CLAIM,DEATH_CLAIM,UNBALANCED,2765.73,LOW,Optional components absent (not forced),,0810|0820|0411|0412|1020|0630,UNBALANCED,N,DEATH_DECOMPOSITION_GAP,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 7C decomposition and payee distribution before balancing replay,N,2765.73,0.0
2026-05-24T19:18:38Z,RC-9010367438-1-DEATH_CLAIM-C0-20211110,QDC-RC-9010367438-1-DEATH_CLAIM-C0-20211110,,DEATH_CLAIM,DEATH_CLAIM,UNBALANCED,-889.37,LOW,Excluded lifecycle-only amount 1575.62; Optional components absent (not forced),0038,0810|0820|0411|0412|1020|0630,UNBALANCED,N,LIFECYCLE_EXCLUSION_GAP,MEDIUM,RECOVERABLE,SAFE_TO_REPROCESS,Validate lifecycle-only exclusion (0038) handling in balancing replay,N,889.37,1575.62
2026-05-24T19:18:38Z,RC-9010367438-2-DEATH_CLAIM-C0-20211110,QDC-RC-9010367438-2-DEATH_CLAIM-C0-20211110,,DEATH_CLAIM,DEATH_CLAIM,UNBALANCED,2464.99,LOW,Optional components absent (not forced),,0810|0820|0411|0412|1020|0630,UNBALANCED,N,DEATH_DECOMPOSITION_GAP,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 7C decomposition and payee distribution before balancing replay,N,2464.99,0.0
2026-05-24T19:18:38Z,RC-9010367705-1-SURRENDER_CLAIM-C0-20250626,QDC-RC-9010367705-1-SURRENDER_CLAIM-C0-20250626,,SURRENDER_CLAIM,SURRENDER_CLAIM,UNBALANCED,3043.61,LOW,Optional components absent (not forced),,0810|0820|0090|0567|1900|1020,UNBALANCED,N,SURRENDER_OFFSET_CYCLE,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review offset-only surrender cycles and cross-claim linkage overlay,N,3043.61,0.0
2026-05-24T19:18:38Z,RC-9010368703-1-DEATH_CLAIM-C0-20210114,QDC-RC-9010368703-1-DEATH_CLAIM-C0-20210114,,DEATH_CLAIM,DEATH_CLAIM,UNBALANCED,-6025.67,LOW,Excluded lifecycle-only amount 5.81; Optional components absent (not forced),0038,0810|0820|0411|0412|1020|0630,UNBALANCED,N,LIFECYCLE_EXCLUSION_GAP,MEDIUM,RECOVERABLE,SAFE_TO_REPROCESS,Validate lifecycle-only exclusion (0038) handling in balancing replay,N,6025.67,5.81
2026-05-24T19:18:38Z,RC-9010368703-2-DEATH_CLAIM-C0-20210114,QDC-RC-9010368703-2-DEATH_CLAIM-C0-20210114,,DEATH_CLAIM,DEATH_CLAIM,UNBALANCED,6019.86,LOW,Optional components absent (not forced),,0810|0820|0411|0412|1020|0630,UNBALANCED,N,DEATH_DECOMPOSITION_GAP,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 7C decomposition and payee distribution before balancing replay,N,6019.86,0.0
2026-05-24T19:18:38Z,RC-9010371171-1-DEATH_CLAIM-C0-20240624,QDC-RC-9010371171-1-DEATH_CLAIM-C0-20240624,,DEATH_CLAIM,DEATH_CLAIM,UNBALANCED,-6404.01,LOW,Excluded lifecycle-only amount 22.33; Optional components absent (not forced),0038,0810|0820|0411|0412|1020|0630,UNBALANCED,N,LIFECYCLE_EXCLUSION_GAP,MEDIUM,RECOVERABLE,SAFE_TO_REPROCESS,Validate lifecycle-only exclusion (0038) handling in balancing replay,N,6404.01,22.33
2026-05-24T19:18:38Z,RC-9010371171-2-DEATH_CLAIM-C0-20240624,QDC-RC-9010371171-2-DEATH_CLAIM-C0-20240624,,DEATH_CLAIM,DEATH_CLAIM,UNBALANCED,6381.68,LOW,Optional components absent (not forced),,0810|0820|0411|0412|1020|0630,UNBALANCED,N,DEATH_DECOMPOSITION_GAP,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 7C decomposition and payee distribution before balancing replay,N,6381.68,0.0
2026-05-24T19:18:38Z,RC-9010373918-1-SURRENDER_CLAIM-C0-20210412,QDC-RC-9010373918-1-SURRENDER_CLAIM-C0-20210412,,SURRENDER_CLAIM,SURRENDER_CLAIM,UNBALANCED,11120.23,LOW,Optional components absent (not forced),,0810|0820|0090|0567|1900|1020,UNBALANCED,N,SURRENDER_OFFSET_CYCLE,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review offset-only surrender cycles and cross-claim linkage overlay,N,11120.23,0.0
2026-05-24T19:18:38Z,RC-9010374779-1-DEATH_CLAIM-C0-20200530,QDC-RC-9010374779-1-DEATH_CLAIM-C0-20200530,,DEATH_CLAIM,DEATH_CLAIM,UNBALANCED,-4005.43,LOW,Optional components absent (not forced),,0810|0820|0411|0412|1020|0630,UNBALANCED,N,DEATH_DECOMPOSITION_GAP,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 7C decomposition and payee distribution before balancing replay,N,4005.43,0.0
2026-05-24T19:18:38Z,RC-9010374779-2-DEATH_CLAIM-C0-20200530,QDC-RC-9010374779-2-DEATH_CLAIM-C0-20200530,,DEATH_CLAIM,DEATH_CLAIM,UNBALANCED,4005.43,LOW,Optional components absent (not forced),,0810|0820|0411|0412|1020|0630,UNBALANCED,N,DEATH_DECOMPOSITION_GAP,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 7C decomposition and payee distribution before balancing replay,N,4005.43,0.0
2026-05-24T19:18:38Z,RC-9010376522-1-SURRENDER_CLAIM-C3-20211006,QDC-RC-9010376522-1-SURRENDER_CLAIM-C3-20211006,,SURRENDER_CLAIM,SURRENDER_CLAIM,UNBALANCED,4592.78,LOW,Optional components absent (not forced),,0810|0820|0090|0567|1900|1020,UNBALANCED,N,SURRENDER_OFFSET_CYCLE,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review offset-only surrender cycles and cross-claim linkage overlay,N,4592.78,0.0
2026-05-24T19:18:38Z,RC-9010376529-1-SURRENDER_CLAIM-C1-20190614,QDC-RC-9010376529-1-SURRENDER_CLAIM-C1-20190614,,SURRENDER_CLAIM,SURRENDER_CLAIM,UNBALANCED,2451.34,LOW,Optional components absent (not forced),,0810|0820|0090|0567|1900|1020,UNBALANCED,N,SURRENDER_OFFSET_CYCLE,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review offset-only surrender cycles and cross-claim linkage overlay,N,2451.34,0.0
2026-05-24T19:18:38Z,RC-9010376540-1-DEATH_CLAIM-C0-20181014,QDC-RC-9010376540-1-DEATH_CLAIM-C0-20181014,,DEATH_CLAIM,DEATH_CLAIM,UNBALANCED,-1697.22,LOW,Optional components absent (not forced),,0810|0820|0411|0412|1020,UNBALANCED,N,DEATH_DECOMPOSITION_GAP,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 7C decomposition and payee distribution before balancing replay,N,1697.22,0.0
2026-05-24T19:18:38Z,RC-9010376540-1-DEATH_CLAIM-C1-20190220,QDC-RC-9010376540-1-DEATH_CLAIM-C1-20190220,,DEATH_CLAIM,DEATH_CLAIM,UNBALANCED,-5810.61,LOW,Optional components absent (not forced),,0810|0820|0411|0412|1020|0630,UNBALANCED,N,DEATH_DECOMPOSITION_GAP,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 7C decomposition and payee distribution before balancing replay,N,5810.61,0.0
2026-05-24T19:18:38Z,RC-9010376540-2-DEATH_CLAIM-C0-20181014,QDC-RC-9010376540-2-DEATH_CLAIM-C0-20181014,,DEATH_CLAIM,DEATH_CLAIM,UNBALANCED,7507.83,LOW,Optional components absent (not forced),,0810|0820|0411|0412|1020|0630,UNBALANCED,N,DEATH_DECOMPOSITION_GAP,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 7C decomposition and payee distribution before balancing replay,N,7507.83,0.0
2026-05-24T19:18:38Z,RC-9010377918-1-SURRENDER_CLAIM-C0-20250331,QDC-RC-9010377918-1-SURRENDER_CLAIM-C0-20250331,,SURRENDER_CLAIM,SURRENDER_CLAIM,UNBALANCED,15878.94,LOW,Optional components absent (not forced),,0810|0820|0090|0567|1900|1020,UNBALANCED,N,SURRENDER_OFFSET_CYCLE,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review offset-only surrender cycles and cross-claim linkage overlay,N,15878.94,0.0
2026-05-24T19:18:38Z,RC-9010378710-1-DEATH_CLAIM-C0-20210210,QDC-RC-9010378710-1-DEATH_CLAIM-C0-20210210,,DEATH_CLAIM,DEATH_CLAIM,UNBALANCED,-1715.85,LOW,Optional components absent (not forced),,0810|0820|0411|0412|1020|0630,UNBALANCED,N,DEATH_DECOMPOSITION_GAP,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 7C decomposition and payee distribution before balancing replay,N,1715.85,0.0
2026-05-24T19:18:38Z,RC-9010378710-2-DEATH_CLAIM-C0-20210210,QDC-RC-9010378710-2-DEATH_CLAIM-C0-20210210,,DEATH_CLAIM,DEATH_CLAIM,UNBALANCED,1715.85,LOW,Optional components absent (not forced),,0810|0820|0411|0412|1020|0630,UNBALANCED,N,DEATH_DECOMPOSITION_GAP,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 7C decomposition and payee distribution before balancing replay,N,1715.85,0.0
2026-05-24T19:18:38Z,RC-9010378829-1-DEATH_CLAIM-C0-20210829,QDC-RC-9010378829-1-DEATH_CLAIM-C0-20210829,,DEATH_CLAIM,DEATH_CLAIM,UNBALANCED,-2174.45,LOW,Optional components absent (not forced),,0810|0820|0411|0412|1020|0630,UNBALANCED,N,DEATH_DECOMPOSITION_GAP,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 7C decomposition and payee distribution before balancing replay,N,2174.45,0.0
2026-05-24T19:18:38Z,RC-9010378829-2-DEATH_CLAIM-C0-20210829,QDC-RC-9010378829-2-DEATH_CLAIM-C0-20210829,,DEATH_CLAIM,DEATH_CLAIM,UNBALANCED,2174.45,LOW,Optional components absent (not forced),,0810|0820|0411|0412|1020|0630,UNBALANCED,N,DEATH_DECOMPOSITION_GAP,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 7C decomposition and payee distribution before balancing replay,N,2174.45,0.0
2026-05-24T19:18:38Z,RC-9010379405-1-SURRENDER_CLAIM-C0-20230526,QDC-RC-9010379405-1-SURRENDER_CLAIM-C0-20230526,,SURRENDER_CLAIM,SURRENDER_CLAIM,UNBALANCED,7437.83,LOW,Optional components absent (not forced),,0810|0820|0090|0567|1900|1020,UNBALANCED,N,SURRENDER_OFFSET_CYCLE,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review offset-only surrender cycles and cross-claim linkage overlay,N,7437.83,0.0
2026-05-24T19:18:38Z,RC-9010381745-1-SURRENDER_CLAIM-C2-20200101,QDC-RC-9010381745-1-SURRENDER_CLAIM-C2-20200101,,SURRENDER_CLAIM,SURRENDER_CLAIM,UNBALANCED,4912.6,LOW,Optional components absent (not forced),,0810|0820|0090|0567|1900|1020,UNBALANCED,N,SURRENDER_OFFSET_CYCLE,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review offset-only surrender cycles and cross-claim linkage overlay,N,4912.6,0.0
2026-05-24T19:18:38Z,RC-9010382520-1-DEATH_CLAIM-C0-20200820,QDC-RC-9010382520-1-DEATH_CLAIM-C0-20200820,,DEATH_CLAIM,DEATH_CLAIM,UNBALANCED,-2807.24,LOW,Optional components absent (not forced),,0810|0820|0411|0412|1020|0630,UNBALANCED,N,DEATH_DECOMPOSITION_GAP,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 7C decomposition and payee distribution before balancing replay,N,2807.24,0.0
2026-05-24T19:18:38Z,RC-9010382520-3-DEATH_CLAIM-C0-20200820,QDC-RC-9010382520-3-DEATH_CLAIM-C0-20200820,,DEATH_CLAIM,DEATH_CLAIM,UNBALANCED,2807.24,LOW,Optional components absent (not forced),,0810|0820|0411|0412|1020|0630,UNBALANCED,N,DEATH_DECOMPOSITION_GAP,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 7C decomposition and payee distribution before balancing replay,N,2807.24,0.0
2026-05-24T19:18:38Z,RC-9010382931-1-DEATH_CLAIM-C0-20220210,QDC-RC-9010382931-1-DEATH_CLAIM-C0-20220210,,DEATH_CLAIM,DEATH_CLAIM,UNBALANCED,-7290.3,LOW,Excluded lifecycle-only amount 365.1; Optional components absent (not forced),0038,0810|0820|0411|0412|1020|0630,UNBALANCED,N,LIFECYCLE_EXCLUSION_GAP,MEDIUM,RECOVERABLE,SAFE_TO_REPROCESS,Validate lifecycle-only exclusion (0038) handling in balancing replay,N,7290.3,365.1
2026-05-24T19:18:38Z,RC-9010382931-2-DEATH_CLAIM-C0-20220210,QDC-RC-9010382931-2-DEATH_CLAIM-C0-20220210,,DEATH_CLAIM,DEATH_CLAIM,UNBALANCED,7603.4,LOW,Optional components absent (not forced),,0810|0820|0411|0412|1020|0630,UNBALANCED,N,DEATH_DECOMPOSITION_GAP,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 7C decomposition and payee distribution before balancing replay,N,7603.4,0.0
2026-05-24T19:18:38Z,RC-9010385491-1-DEATH_CLAIM-C0-20190501,QDC-RC-9010385491-1-DEATH_CLAIM-C0-20190501,,DEATH_CLAIM,DEATH_CLAIM,UNBALANCED,-999.48,LOW,Optional components absent (not forced),,0810|0820|0411|0412|1020,UNBALANCED,N,DEATH_DECOMPOSITION_GAP,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 7C decomposition and payee distribution before balancing replay,N,999.48,0.0
2026-05-24T19:18:38Z,RC-9010385491-1-DEATH_CLAIM-C1-20210707,QDC-RC-9010385491-1-DEATH_CLAIM-C1-20210707,,DEATH_CLAIM,DEATH_CLAIM,UNBALANCED,-5999.58,LOW,Optional components absent (not forced),,0810|0820|0411|0412|1020|0630,UNBALANCED,N,DEATH_DECOMPOSITION_GAP,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 7C decomposition and payee distribution before balancing replay,N,5999.58,0.0
2026-05-24T19:18:38Z,RC-9010385491-2-DEATH_CLAIM-C0-20190501,QDC-RC-9010385491-2-DEATH_CLAIM-C0-20190501,,DEATH_CLAIM,DEATH_CLAIM,UNBALANCED,6999.06,LOW,Optional components absent (not forced),,0810|0820|0411|0412|1020|0630,UNBALANCED,N,DEATH_DECOMPOSITION_GAP,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 7C decomposition and payee distribution before balancing replay,N,6999.06,0.0
2026-05-24T19:18:38Z,RC-9010385636-1-SURRENDER_CLAIM-C1-20180507,QDC-RC-9010385636-1-SURRENDER_CLAIM-C1-20180507,,SURRENDER_CLAIM,SURRENDER_CLAIM,UNBALANCED,9556.45,LOW,Optional components absent (not forced),,0810|0820|0090|0567|1900|1020,UNBALANCED,N,SURRENDER_OFFSET_CYCLE,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review offset-only surrender cycles and cross-claim linkage overlay,N,9556.45,0.0
2026-05-24T19:18:38Z,RC-9010389651-1-DEATH_CLAIM-C0-20240727,QDC-RC-9010389651-1-DEATH_CLAIM-C0-20240727,,DEATH_CLAIM,DEATH_CLAIM,UNBALANCED,-11421.18,LOW,Optional components absent (not forced),,0810|0820|0411|0412|1020|0630,UNBALANCED,N,DEATH_DECOMPOSITION_GAP,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 7C decomposition and payee distribution before balancing replay,N,11421.18,0.0
2026-05-24T19:18:38Z,RC-9010389651-2-DEATH_CLAIM-C0-20240727,QDC-RC-9010389651-2-DEATH_CLAIM-C0-20240727,,DEATH_CLAIM,DEATH_CLAIM,UNBALANCED,11421.18,LOW,Optional components absent (not forced),,0810|0820|0411|0412|1020|0630,UNBALANCED,N,DEATH_DECOMPOSITION_GAP,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 7C decomposition and payee distribution before balancing replay,N,11421.18,0.0
2026-05-24T19:18:38Z,RC-9010389802-1-SURRENDER_CLAIM-C0-20201026,QDC-RC-9010389802-1-SURRENDER_CLAIM-C0-20201026,,SURRENDER_CLAIM,SURRENDER_CLAIM,UNBALANCED,8178.76,LOW,Optional components absent (not forced),,0810|0820|0090|0567|1900|1020,UNBALANCED,N,SURRENDER_OFFSET_CYCLE,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review offset-only surrender cycles and cross-claim linkage overlay,N,8178.76,0.0
2026-05-24T19:18:38Z,RC-9010391228-1-SURRENDER_CLAIM-C12-20240319,QDC-RC-9010391228-1-SURRENDER_CLAIM-C12-20240319,,SURRENDER_CLAIM,SURRENDER_CLAIM,UNBALANCED,3997.03,LOW,Optional components absent (not forced),,0810|0820|0090|0567|1900|1020,UNBALANCED,N,SURRENDER_OFFSET_CYCLE,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review offset-only surrender cycles and cross-claim linkage overlay,N,3997.03,0.0
2026-05-24T19:18:38Z,RC-9010391359-1-DEATH_CLAIM-C0-20211119,QDC-RC-9010391359-1-DEATH_CLAIM-C0-20211119,,DEATH_CLAIM,DEATH_CLAIM,UNBALANCED,739.94,LOW,Excluded lifecycle-only amount 1860.21; Optional components absent (not forced),0038,0810|0820|0411|0412|1020|0630,UNBALANCED,N,LIFECYCLE_EXCLUSION_GAP,MEDIUM,RECOVERABLE,SAFE_TO_REPROCESS,Validate lifecycle-only exclusion (0038) handling in balancing replay,N,739.94,1860.21
2026-05-24T19:18:38Z,RC-9010391359-2-DEATH_CLAIM-C0-20211119,QDC-RC-9010391359-2-DEATH_CLAIM-C0-20211119,,DEATH_CLAIM,DEATH_CLAIM,UNBALANCED,1118.65,LOW,Optional components absent (not forced),,0810|0820|0411|0412|1020|0630,UNBALANCED,N,DEATH_DECOMPOSITION_GAP,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 7C decomposition and payee distribution before balancing replay,N,1118.65,0.0
2026-05-24T19:18:38Z,RC-9010391422-1-SURRENDER_CLAIM-C2-20191120,QDC-RC-9010391422-1-SURRENDER_CLAIM-C2-20191120,,SURRENDER_CLAIM,SURRENDER_CLAIM,UNBALANCED,2418.29,LOW,Optional components absent (not forced),,0810|0820|0090|0567|1900|1020,UNBALANCED,N,SURRENDER_OFFSET_CYCLE,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review offset-only surrender cycles and cross-claim linkage overlay,N,2418.29,0.0
2026-05-24T19:18:38Z,RC-9010392138-1-SURRENDER_CLAIM-C6-20231206,QDC-RC-9010392138-1-SURRENDER_CLAIM-C6-20231206,,SURRENDER_CLAIM,SURRENDER_CLAIM,UNBALANCED,8174.98,LOW,Optional components absent (not forced),,0810|0820|0090|0567|1900|1020,UNBALANCED,N,SURRENDER_OFFSET_CYCLE,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review offset-only surrender cycles and cross-claim linkage overlay,N,8174.98,0.0
2026-05-24T19:18:38Z,RC-9010392493-1-SURRENDER_CLAIM-C0-20200210,QDC-RC-9010392493-1-SURRENDER_CLAIM-C0-20200210,,SURRENDER_CLAIM,SURRENDER_CLAIM,UNBALANCED,3422.27,LOW,Optional components absent (not forced),,0810|0820|0090|0567|1900|1020,UNBALANCED,N,SURRENDER_OFFSET_CYCLE,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review offset-only surrender cycles and cross-claim linkage overlay,N,3422.27,0.0
2026-05-24T19:18:38Z,RC-9010392763-1-DEATH_CLAIM-C0-20220408,QDC-RC-9010392763-1-DEATH_CLAIM-C0-20220408,,DEATH_CLAIM,DEATH_CLAIM,UNBALANCED,-910.01,LOW,Optional components absent (not forced),,0810|0820|0411|0412|1020|0630,UNBALANCED,N,DEATH_DECOMPOSITION_GAP,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 7C decomposition and payee distribution before balancing replay,N,910.01,0.0
2026-05-24T19:18:38Z,RC-9010392763-2-DEATH_CLAIM-C0-20220408,QDC-RC-9010392763-2-DEATH_CLAIM-C0-20220408,,DEATH_CLAIM,DEATH_CLAIM,UNBALANCED,910.01,LOW,Optional components absent (not forced),,0810|0820|0411|0412|1020|0630,UNBALANCED,N,DEATH_DECOMPOSITION_GAP,HIGH,PARTIALLY_RECOVERABLE,BUSINESS_REVIEW_REQUIRED,Review Phase 7C decomposition and payee distribution before balancing replay,N,910.01,0.0
