pl_plan,pl_desc,pl_type,pl_class,pl_valunit,pl_form,adfee_amt,payfee_amt,ir1_date,ir1_value,ir2_date,ir2_value,ir3_date,ir3_value,ir4_date,ir4_value,ir5_date,ir5_value,ir6_date,ir6_value,ir7_date,ir7_value,ir8_date,ir8_value,source_file
054G,ACCIDENTAL DEATH BENEFIT,3,8,1000.00,DI 8-82,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
057G,ACCIDENTAL DEATH BENEFIT,3,8,1000.00,DI 8-82,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
0D0G,RATING,3,8,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
100,MERCHANDISE/SERVICE,$,1,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
1015,REDUCED PAID UP LIFE 41 CSO 3,$,1,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
101G,REDUCED PAID UP LIFE 58 CSO 3,$,1,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
101M,PD UP OR PD IN FULL 80 CSO,$,1,1000.00,,,,,,,,,,,,,,,,,,,,cifi0004.dbf
165,LIFE PAID UP AT 65,$,1,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
466G,REDUCED PAID-UP ENDOW @ 65 58,$,1,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
8025,EXTENDED INSURANCE 41 CSO 3 1/,$,5,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
802G,EXTENDED INSURANCE 58 CSO 3,$,5,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
802M,EXTENDED TERM 80 CSO,$,5,1000.00,,,,,,,,,,,,,,,,,,,,cifi0004.dbf
802W,EXTENDED INSURANCE 58 CET 3,$,5,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
938,ACC PROFESSIONAL 2A/2B/2,$,A,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
951,CANCER - INDIVIDUAL,$,A,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
952,CANCER - FAMILY,$,A,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
961,ACC/SICKNESS,$,A,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
962,,$,A,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
963,,$,A,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
964,,$,A,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
965,,$,A,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
971,ACC DEATH & DISMEMBERMENT,$,A,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
972,ACC COMPREHENSIVE,$,A,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
973,,$,A,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
978,ACC PROFESSIONAL 1,$,A,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
ABFN,ACCELERATED BENEFIT PLAN,$,1,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
ABFS,ACCELERATED BENEFIT PLAN,$,1,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
ABMN,ACCELERATED BENEFIT PLAN,$,1,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
ABMS,ACCELERATED BENEFIT PLAN,$,1,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
ALBR,ACCELERATED BENEFIT RIDER,2,8,1000.00,ALBR-94,,,,,,,,,,,,,,,,,,,cifi0004.dbf
ALP2,ADDITIONAL PAID UP,$,1,1000.00,ALP-99,,,,,,,,,,,,,,,,,,,cifi0004.dbf
ALP6,ADDITIONAL PAID UP,$,1,1000.00,ALP-99,,,,,,,,,,,,,,,,,,,cifi0004.dbf
ALPS,ADDITIONAL PAID UP,$,1,1000.00,ALP-99,,,,,,,,,,,,,,,,,,,cifi0004.dbf
B1B,15 PAY BURIAL,$,S,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
B2B,20 PAY BURIAL,$,S,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
BA1,ROLLER BURIAL ASSOCIATION,$,S,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
BA2,ROLLER BURIAL ASSOCIATION,$,S,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
BA3,ROLLER BURIAL ASSOCIATION,$,S,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
BA4,ROLLER BURIAL ASSOCIATION,$,S,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
BA5,ROLLER BURIAL ASSOCIATION,$,S,1000.00,,,,,,,,,,,,,,,,,,,,cifi0004.dbf
BA5N,ROLLER BURIAL ASSOCIATION,$,S,1000.00,,,,,,,,,,,,,,,,,,,,cifi0004.dbf
BA6,SALINE COUNTY BURIAL,$,S,1000.00,,,,,,,,,,,,,,,,,,,,cifi0004.dbf
BA6N,SALINE COUNTY BURIAL,$,S,1000.00,,,,,,,,,,,,,,,,,,,,cifi0004.dbf
BA7,TRI COUNTY BURIAL CLUB,$,S,1000.00,,,,,,,,,,,,,,,,,,,,cifi0004.dbf
BA7N,TRI COUNTY BURIAL CLUB,$,S,1000.00,,,,,,,,,,,,,,,,,,,,cifi0004.dbf
BPU,PAID UP STIPULATED,$,S,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
BW,BURIAL/MERCHANDISE SERVICE,$,S,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
BWB,SPECIFIED BURIAL,$,S,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
BWS,SPECIFIED BURIAL,$,S,1000.00,,,,,,,,,,,,,,,,,,,,cifi0004.dbf
CTR,CHILD TERM RIDER,2,5,1000.00,0-1-90CTR,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
CTRP,PAID UP CHILDRENS TERM RIDER,$,1,1000.00,,,,,,,,,,,,,,,,,,,,cifi0004.dbf
CW,CASH BENEFIT,$,S,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
F14,15 PAY BURIAL,$,1,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
F24,20 PAY BURIAL,$,1,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
F25,MERCHANIDSE/SERVICE 20 YR PAY,$,1,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
F65,LIFE PAID UP AT 65,$,1,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
FDAA,FIVE YEAR ANNUITY,$,9,1000.00,FDA 587,2.50,1.25,19800101,4.5000,99991231,0.0001,99991231,0.0001,99991231,0.0001,99991231,0.0001,99991231,0.0001,99991231,0.0001,99991231,0.0001,cifi0004.dbf
FDAB,TEN YEAR ANNUITY,$,C,1000.00,FDA 587,2.50,1.25,19800101,4.5000,99991231,0.0001,99991231,0.0001,99991231,0.0001,99991231,0.0001,99991231,0.0001,99991231,0.0001,99991231,0.0001,cifi0004.dbf
FDAC,FIFTEEN YEAR ANNUITY,$,9,1000.00,FDA 587,2.50,1.25,19800101,4.5000,99991231,0.0001,99991231,0.0001,99991231,0.0001,99991231,0.0001,99991231,0.0001,99991231,0.0001,99991231,0.0001,cifi0004.dbf
FDAD,TWENTY YEAR ANNUITY,$,9,1000.00,FDA 587,2.50,1.25,19800101,4.5000,99991231,0.0001,99991231,0.0001,99991231,0.0001,99991231,0.0001,99991231,0.0001,99991231,0.0001,99991231,0.0001,cifi0004.dbf
FDAP,PAID UP FLEX/DEF ANNUITY,$,9,1000.00,,2.50,1.25,19800101,4.5000,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
FDAS,SINGLE PREMIUM ANNUITY,$,9,1000.00,FDA 587,2.50,1.25,19800101,4.5000,99991231,0.0001,99991231,0.0001,99991231,0.0001,99991231,0.0001,99991231,0.0001,99991231,0.0001,99991231,0.0001,cifi0004.dbf
FF14,SINGLE PREMIUM ANNUITY SSLI,$,9,1000.00,,0.00,,19931001,4.0000,99991231,4.0000,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
FF15,SINGLE PREMIUM ANNUITY SSLI,$,9,1000.00,,,,19920601,5.0000,99991231,5.0000,99991231,,99991231,0.0000,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
FF24,TWO YEAR ANNUITY  SSLI,$,9,1000.00,,,,19931001,4.0000,99991231,4.0000,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
FF25,TWO YEAR ANNUITY   SSLI,$,9,1000.00,,0.00,,19920601,5.0000,99991231,5.0000,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
FF44,FOUR YEAR ANNUITY SSLI,$,9,1000.00,,,,19931001,4.0000,99991201,4.0000,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
FF45,FOUR YEAR ANNUITY SSLI,$,9,1000.00,,0.00,,19920601,5.0000,99991231,5.0000,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
FF54,FIVE YEAR ANNUITY   SSLI,$,9,1000.00,,,,19931001,4.0000,99991231,4.0000,99991231,0.0000,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
FF55,FIVE YEAR ANNUITY  SSLI,$,9,1000.00,,0.00,,19920601,5.0000,99991231,5.0000,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
FFAA,FIVE YEAR ANNUITY,$,9,1000.00,FDA 587,2.50,1.25,19800101,4.5000,99991231,0.0001,99991231,0.0001,99991231,0.0001,99991231,0.0001,99991231,0.0001,99991231,0.0001,99991231,0.0001,cifi0004.dbf
FFAB,TEN YEAR ANNUITY,$,9,1000.00,FDA 587,2.50,1.25,19800101,4.5000,99991231,0.0001,99991231,0.0001,99991231,0.0001,99991231,0.0001,99991231,0.0001,99991231,0.0001,99991231,0.0001,cifi0004.dbf
FFAC,FIFTEEN YEAR ANNUITY,$,9,1000.00,FDA5-87,2.50,1.25,19800101,4.5000,99991231,0.0001,99991231,0.0001,99991231,0.0001,99991231,0.0001,99991231,0.0001,99991231,0.0001,99991231,0.0001,cifi0004.dbf
FFAD,TWENTY YEAR ANNUITY,$,9,1000.00,FDA 587,2.50,1.25,19800101,4.5000,99991231,0.0001,99991231,0.0001,99991231,0.0001,99991231,0.0001,99991231,0.0001,99991231,0.0001,99991231,0.0001,cifi0004.dbf
FFAP,PAID UP OR MATURED PAID UP,$,9,1000.00,,2.50,1.25,19800101,4.5000,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
FFAS,SINGLE PREMIUM ANNUITY,$,9,1000.00,FDA 587,2.50,1.25,19800101,4.5000,99991231,0.0001,99991231,0.0001,99991231,0.0001,99991231,0.0001,99991231,0.0001,99991231,0.0001,99991231,0.0001,cifi0004.dbf
FS4,SINGLE BURIAL,$,1,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
FW,STIPULATED,$,S,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
FW4,MERCHANDISE/SERVICE BURIAL,$,1,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
FW5,MERCHANDISE/SERVICE BURIAL,$,1,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
GDB,GRADED DEATH BENEFIT,$,1,1000.00,CFIGDB1293,,,,,,,,,,,,,,,,,,,cifi0004.dbf
GLI,GUARANTY LIFE,$,S,1000.00,,,,,,,,,,,,,,,,,,,,cifi0004.dbf
GS28,20 YEAR PAY CASH,$,1,1000.00,RW-OL-2-82,,,,,,,,,,,,,,,,,,,cifi0004.dbf
HIV,GROUP ACCIDENTIAL,$,1,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
LPI2,20 PAY LIFE,$,1,1000.00,LPI90,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
LPI6,LIFE PAID UP AT 65,$,1,1000.00,LPI90,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
LPIS,SINGLE PREMIUM,$,1,1000.00,LPI90,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
M10,MORTGAGE CANCEL 10 YR,$,6,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
M15,MORTGAGE CANCEL 15 YR,$,6,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
M20,MORTGAGE CANCEL 20 YR,$,6,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
M25,MORTGAGE CANCEL 25 YR,$,6,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
M30,MORTGAGE CANCEL 30 YR,$,6,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
MEB,ESTATE BUILDER - SP AGE 21 TO,$,5,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
MIC,STIPULATED,$,S,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
P7FN,PERMA LIFE 7N FEMALE,$,1,1000.00,PL7-2-96,,,,,,,,,,,,,,,,,,,cifi0004.dbf
P7FS,PERMA LIFE 7S FEMALE,$,1,1000.00,PL7-2-96,,,,,,,,,,,,,,,,,,,cifi0004.dbf
P7MN,PERMA LIFE 7N MALE,$,P,1000.00,PL7-2-96,,,,,,,,,,,,,,,,,,,cifi0004.dbf
P7MS,PERMA LIFE 7S MALE,$,1,1000.00,PL7-2-96,,,,,,,,,,,,,,,,,,,cifi0004.dbf
PLP,INCREASING DEATH BENEFIT PLAN,$,7,1000.00,PLP 85,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
PLP6,INCREASING DEATH BENEFIT PLAN,$,7,1000.00,PLP85-65,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
R2,20 PAY CASH,$,1,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
R28,20 PAY CASH,$,1,1000.00,RW-OL2-82,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
R28G,WHOLE LIFE CASH 20 YEAR PAY,$,1,1000.00,OLF (1-82),,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
R2G,WHOLE LIFE CASH 20 YEAR PAY,$,1,1000.00,RW-0L 2-82,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
R68,WHOLE LIFE CASH PAID UP AT 65,$,1,1000.00,RW-OL2-82,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
R68G,WHOLE LIFE CASH PAID UP AT 65,$,1,1000.00,OLF (1-82),,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
RE1,ENDOWMENT AT 65,$,2,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
RE2,YOUTH ESTATE,$,2,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
RJ,JOINT LIFE,$,1,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
RS5,,$,1,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
RW,WHOLE LIFE CASH  D,$,1,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
RW1,FAMILY PLAN - SINGLE,$,1,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
RW18,FAMILY PLAN 1 PARENT,$,1,1000.00,RW-FL83-80,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
RW2,FAMILY PLAN - TWO PARENT,$,1,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
RW28,FAMILY PLAN 2 PARENT,$,1,1000.00,RW-FL83-80,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
RW8,WHOLE LIFE CASH,$,1,1000.00,RW-OL2-82,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
RW8G,WHOLE LIFE CASH,$,1,1000.00,OLF (1-82),,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
S28G,WHOLE LIFE CASH 20 YEAR PAY,$,1,1000.00,OLF (1-82),,,,,,,,,,,,,,,,,,,cifi0004.dbf
SLP2,TWENTY PAY INCREASING BENEFIT,$,C,1000.00,,,,,,,,,,,,,,,,,,,,cifi0004.dbf
SLP5,5 YEAR INCREASING BENEFIT,$,1,1000.00,,,,,,,,,,,,,,,,,,,,cifi0004.dbf
SLPW,WHOLE LIFE  SSLI,$,1,1000.00,,,,,,,,,,,,,,,,,,,,cifi0004.dbf
SRW,WHOLE LIFE SSLI,$,1,1000.00,,,,,,,,,,,,,,,,,,,,cifi0004.dbf
SRW2,20 PAY WHOLE LIFE SSLI,$,1,1000.00,,,,,,,,,,,,,,,,,,,,cifi0004.dbf
T10F,10 YR RC TERM - FEMALE,$,5,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
T10M,10 TR RC TERM - MALE,$,5,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
T18F,10 YEAR TERM,$,5,1000.00,T.682,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
T18M,10 YEAR TERM,$,5,1000.00,T.682,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
T25,FAMILY PLAN - CHILD,$,5,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
T28,FAMILY PLAN - CHILD,$,1,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
T58F,FIVE YEAR TERM,$,5,1000.00,T.682,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
T58M,FIVE YEAR TERM,$,5,1000.00,T.682,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
T5F,5 YR RC TERM - FEMALE,$,5,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
T5M,5 YR RC TERM - MALE,$,5,1000.00,,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
TAFA,FIVE YEAR DECREASING TERM,2,A,1000.00,AF 488,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
TAFB,TEN YEAR DECREASING TERM,2,8,1000.00,AF 488,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
TAFC,15 YEAR DECREASING TERM,2,8,1000.00,AF 488,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
TAFD,20 YEAR DECREASING TERM,2,8,1000.00,AF 488,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
TR1F,TEN YEAR TERM RIDER,2,5,1000.00,31764,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
TR1M,10 YEAR TERM RIDER,2,5,1000.00,31764,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
TR5F,FIVE YEAR TERM RIDER,2,5,1000.00,31764,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
TR5M,FIVE YEAR TERM RIDER,2,5,1000.00,31764,,,19800101,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,99991231,,cifi0004.dbf
X18F,10 YEAR TERM,$,5,1000.00,T.682,,,,,,,,,,,,,,,,,,,cifi0004.dbf
X18M,10 YEAR TERM,$,5,1000.00,T.682,,,,,,,,,,,,,,,,,,,cifi0004.dbf
X58F,5 YEAR TERM,$,5,1000.00,T.682,,,,,,,,,,,,,,,,,,,cifi0004.dbf
X58M,5 YEAR TERM,$,5,1000.00,T.682,,,,,,,,,,,,,,,,,,,cifi0004.dbf
XR1F,TEN YEAR TERM RIDER,2,5,1000.00,31764,,,,,,,,,,,,,,,,,,,cifi0004.dbf
XR1M,10 YEAR TERM RIDER,2,5,1000.00,31764,,,,,,,,,,,,,,,,,,,cifi0004.dbf
XR5F,FIVE YEAR TERM RIDER,2,C,1000.00,31764,,,,,,,,,,,,,,,,,,,cifi0004.dbf
XR5M,FIVE YEAR TERM RIDER,2,5,1000.00,31764,,,,,,,,,,,,,,,,,,,cifi0004.dbf
BA8,ROLLER BURIAL ASSOCIATION,$,S,1000.00,,,,,,,,,,,,,,,,,,,,cifi0004.dbf
BA8N,ROLLER BURIAL ASSOCIATION,$,S,1000.00,,,,,,,,,,,,,,,,,,,,cifi0004.dbf
FW5C,MERCHANDISE/SERVICE BURIAL,$,1,1000.00,,,,,,,,,,,,,,,,,,,,cifi0004.dbf
RWC,WHOLE LIFE CASH,$,1,1000.00,,,,,,,,,,,,,,,,,,,,cifi0004.dbf
P8FN,PERMA LIFE 8N FEMALE,$,1,1000.00,PL8-1-07,,,,,,,,,,,,,,,,,,,cifi0004.dbf
P8FS,PERMA LIFE 8S FEMALE,$,1,1000.00,PL8-1-07,,,,,,,,,,,,,,,,,,,cifi0004.dbf
P8MN,PERMA LIFE 8N MALE,$,1,1000.00,PL8-1-07,,,,,,,,,,,,,,,,,,,cifi0004.dbf
P8MS,PERMA LIFE 8S MALE,$,1,1000.00,PL8-1-07,,,,,,,,,,,,,,,,,,,cifi0004.dbf
P8MJ,PERMA LIFE 8 MALE JUVENILE,$,1,1000.00,PL8-1-07,,,,,,,,,,,,,,,,,,,cifi0004.dbf
P8FJ,PERMA LIFE 8 FEMALE JUVENILE,$,1,1000.00,PL8-1-07,,,,,,,,,,,,,,,,,,,cifi0004.dbf
BA9,ROLLER BURIAL ASSOCIATION,$,S,1000.00,,,,,,,,,,,,,,,,,,,,cifi0004.dbf
