RateUnder100K,RateOver100K,CashValueIn10,CashValueIn20,CashValueAt65,PaidUpIn10,PaidUpIn20,PaidUpAt65,WOP,Age,Sex,Smoker
15.21000004,13.84000015,101.6999969,271.6600037,369.1799927,337,626,724,0.05999999866,40,Male,No
20.62000084,18.52000046,125.0100021,310.4500122,407.8699951,338,617,711,0.05999999866,40,Male,Yes
13.53999996,12.27999973,85.38999939,234.6699982,307.7200012,315,601,686,0.07999999821,41,Female,No
16.42000008,14.60000038,93.61000061,247.6900024,321.2399902,306,584,669,0.07999999821,41,Female,Yes
15.94999981,14.52999973,106.7399979,282.5599976,361.9599915,340,629,710,0.05999999866,41,Male,No
21.62000084,19.45999908,129.8600006,320.0100098,399.1000061,339,618,696,0.05999999866,41,Male,Yes
14.15999985,12.85999966,89.51000214,244.9799957,300.8999939,318,606,671,0.07999999821,42,Female,No
17.14999962,15.27999973,97.33000183,257.3399963,313.5799866,307,588,653,0.07999999821,42,Female,Yes
16.73999977,15.27000046,112,293.7200012,354.2999878,344,633,695,0.05999999866,42,Male,No
22.69000053,20.45999908,134.8500061,329.6900024,389.8299866,341,620,680,0.05999999866,42,Male,Yes
14.81999969,13.47999954,93.81999969,255.7100067,293.7099915,321,611,655,0.07999999821,43,Female,No
17.90999985,15.98999977,101.2300034,267.4200134,305.5499878,309,592,636,0.07999999821,43,Female,Yes
17.55999947,16.04000092,117.4400024,305.1099854,346.1700134,347,637,679,0.0700000003,43,Male,No
23.80999947,21.5,139.9499969,339.4100037,380.019989,343,622,663,0.0700000003,43,Male,Yes
15.51000023,14.11999989,98.29000092,266.769989,286.1300049,324,616,638,0.07999999821,44,Female,No
18.70999908,16.73999977,105.2600021,277.75,297.1400146,311,596,619,0.07999999821,44,Female,Yes
18.44000053,16.86000061,123.0699997,316.6700134,337.5400085,350,640,662,0.0700000003,44,Male,No
24.98999977,22.61000061,145.1100006,349.0899963,369.6499939,344,624,644,0.0700000003,44,Male,Yes
16.25,14.81000042,102.9400024,278.1000061,278.1000061,327,620,620,0.07999999821,45,Female,No
19.54999924,17.52000046,109.4300003,288.2900085,288.2900085,313,600,600,0.07999999821,45,Female,Yes
19.37999916,17.73999977,128.8399963,328.3500061,328.3500061,354,644,644,0.0700000003,45,Male,No
26.23999977,23.78000069,150.2700043,358.6600037,358.6600037,345,625,625,0.0700000003,45,Male,Yes
17.02000046,15.52999973,107.7799988,289.7099915,269.6099854,331,625,601,0.09000000358,46,Female,No
20.43000031,18.35000038,113.7600021,298.980011,278.9700012,315,604,581,0.09000000358,46,Female,Yes
20.37000084,18.65999985,134.7799988,340.1300049,318.5799866,357,647,625,0.0700000003,46,Male,No
27.55999947,25.01000023,155.4700012,368.1000061,347.0299988,347,627,605,0.0700000003,46,Male,Yes
17.82999992,16.29000092,112.8300018,301.6000061,260.6000061,334,630,581,0.09000000358,47,Female,No
21.37000084,19.21999931,118.2799988,309.9299927,269.1499939,317,609,560,0.09000000358,47,Female,Yes
21.40999985,19.63999939,140.8699951,352.0299988,308.1700134,360,651,604,0.07999999821,47,Male,No
28.95999908,26.31999969,160.6600037,377.4299927,334.6900024,348,628,584,0.07999999821,47,Male,Yes
18.70000076,17.10000038,118.1500015,313.8800049,251.0500031,337,635,560,0.09000000358,48,Female,No
22.34000015,20.12999916,123.0699997,321.1900024,258.769989,320,613,539,0.09000000358,48,Female,Yes
22.54000092,20.69000053,147.1300049,364.0499878,297.0899963,363,654,583,0.07999999821,48,Male,No
30.44000053,27.70000076,165.8699951,386.6799927,321.5899963,349,629,561,0.07999999821,48,Male,Yes
19.61000061,17.95000076,123.8199997,326.6400146,240.9199982,341,640,537,0.1000000015,49,Female,No
23.37999916,21.10000038,128.2299957,332.9899902,247.8000031,323,618,516,0.1000000015,49,Female,Yes
23.72999954,21.79999924,153.5599976,376.2000122,285.25,366,658,560,0.07999999821,49,Male,No
32.00999832,29.17000008,171.1100006,395.9200134,307.6400146,350,631,536,0.07999999821,49,Male,Yes
20.57999992,18.86000061,129.8500061,339.9500122,230.1499939,345,645,513,0.1000000015,50,Female,No
24.45999908,22.11000061,133.8000031,345.3399963,236.1999969,326,623,492,0.1000000015,50,Female,Yes
25,22.98999977,160.1499939,388.5,272.6099854,369,661,535,0.09000000358,50,Male,No
33.68000031,30.72999954,176.4400024,405.2000122,292.7999878,351,632,511,0.09000000358,50,Male,Yes
21.61000061,19.81999969,136.2700043,353.8099976,218.7100067,349,651,488,0.1099999994,51,Female,No
25.61000061,23.19000053,139.8500061,358.3699951,223.9299927,330,628,466,0.1099999994,51,Female,Yes
26.35000038,24.25,166.8699951,400.8900146,259.0799866,372,664,508,0.09000000358,51,Male,No
35.45000076,32.38000107,181.8099976,414.4599915,276.980011,351,633,483,0.09000000358,51,Male,Yes
22.70000076,20.84000015,143.0700073,368.2099915,206.5399933,354,657,461,0.1099999994,52,Female,No
26.81999969,24.31999969,146.2899933,371.8500061,210.9299927,334,634,439,0.1099999994,52,Female,Yes
27.79000092,25.60000038,173.7400055,412.9299927,244.6199951,375,667,480,0.1000000015,52,Male,No
37.31999969,34.13000107,187.2200012,423.6600037,260.1400146,352,635,454,0.1000000015,52,Male,Yes
23.84000015,21.90999985,150.2100067,382.8999939,193.6000061,359,663,432,0.1199999973,53,Female,No
28.11000061,25.52000046,153.0800018,385.6300049,197.1699982,339,640,411,0.1199999973,53,Female,Yes
29.31999969,27.03000069,180.7400055,425.2000122,229.1499939,377,670,450,0.1000000015,53,Male,No
39.29999924,35.97999954,192.5899963,432.6400146,242.2200012,353,636,422,0.1000000015,53,Male,Yes
25.06999969,23.05999947,157.6100006,397.7799988,179.8399963,364,669,401,0.1299999952,54,Female,No
29.45000076,26.78000069,160.0700073,399.5100098,182.6199951,344,646,380,0.1299999952,54,Female,Yes
30.95000076,28.54999924,187.8200073,437.2000122,212.6199951,380,673,417,0.1099999994,54,Male,No
41.40000153,37.93999863,197.8600006,441.2600098,223.1999969,354,637,389,0.1099999994,54,Male,Yes
26.37999916,24.28000069,165.1900024,412.7000122,165.1900024,369,675,369,0.150000006,55,Female,No
30.87999916,28.11000061,167.1999969,413.2999878,167.1999969,348,652,348,0.150000006,55,Female,Yes
32.68999863,30.18000031,194.9499969,448.8200073,194.9499969,383,676,383,0.1199999973,55,Male,No
43.59999847,40,203.0099945,449.4299927,203.0099945,354,637,354,0.1199999973,55,Male,Yes
27.76000023,25.56999969,172.9600067,427.5499878,149.5599976,373,680,334,0.1700000018,56,Female,No
32.40000153,29.53000069,174.3899994,426.8900146,150.8300018,353,658,314,0.1700000018,56,Female,Yes
34.54000092,31.90999985,202.1100006,460.0499878,176.0399933,385,678,345,0.1299999952,56,Male,No
45.93999863,42.18999863,207.9900055,456.9299927,181.5800018,354,637,317,0.1299999952,56,Male,Yes
29.25,26.95999908,180.9199982,442.3099976,132.8399963,378,686,297,0.1899999976,57,Female,No
34.06999969,31.09000015,181.75,440.2600098,133.3899994,357,663,278,0.1899999976,57,Female,Yes
36.52000046,33.75999832,209.3200073,470.8900146,155.8000031,387,680,306,0.150000006,57,Male,No
48.43000031,44.50999832,213.7599945,464.4200134,159.7899933,356,638,279,0.150000006,57,Male,Yes
30.84000015,28.45000076,189.1300049,457,114.8899994,383,691,257,0.2199999988,58,Female,No
35.79999924,32.70999908,189.25,453.4400024,114.6999969,361,668,239,0.2199999988,58,Female,Yes
38.63999939,35.74000168,216.5800018,481.3900146,134.0800018,389,682,263,0.1800000072,58,Male,No
51.06000137,46.97000122,220.5899963,472.1799927,137.8800049,359,639,241,0.1800000072,58,Male,Yes
32.54999924,30.04999924,197.6600037,471.6499939,95.51999664,387,696,213,0.25,59,Female,No
37.68000031,34.47000122,197.0899963,466.5100098,94.55999756,366,673,197,0.25,59,Female,Yes
40.90999985,37.86000061,223.8999939,491.6900024,110.7300034,392,683,218,0.2199999988,59,Male,No
53.86000061,49.59000015,227.4900055,479.6400146,114.5899963,363,640,200,0.2199999988,59,Male,Yes
34.40000153,31.78000069,206.5599976,486.2900085,74.56999969,392,701,167,0,60,Female,No
39.70999908,36.36000061,205.2599945,479.5100098,72.76000214,370,677,152,0,60,Female,Yes
43.33000183,40.11999893,231.3099976,501.8500061,85.62000275,394,685,168,0,60,Male,No
56.86000061,52.38999939,234.4400024,486.9100037,89.76000214,366,641,157,0,60,Male,Yes
36.38999939,33.63999939,215.8399963,500.8800049,51.88999939,397,706,116,0,61,Female,No
41.88000107,38.38999939,213.8399963,492.3999939,49.11999893,375,682,103,0,61,Female,Yes
45.93000031,42.54999924,238.7700043,511.8699951,58.59000015,396,687,115,0,61,Male,No
60.04999924,55.36999893,241.4100037,494.019989,63.29000092,369,642,111,0,61,Male,Yes
38.52999878,35.63999939,225.5299988,515.2999878,27.35000038,402,711,61,0,62,Female,No
44.20999908,40.56999969,222.6999969,505.1499939,23.56999969,380,686,50,0,62,Female,Yes
48.72000122,45.15999985,246.8600006,522.3800049,30.92000008,399,689,61,0,62,Male,No
63.43000031,58.52999878,248.3600006,500.9100037,35.09999847,372,643,62,0,62,Male,Yes
40.84000015,37.79000092,235.3899994,529.4099731,0.8299999833,408,716,2,0,63,Female,No
46.68999863,42.88999939,231.6799927,517.6300049,0,385,690,0,0,63,Female,Yes
51.70000076,47.93999863,256.2900085,533.1599731,2.640000105,404,692,6,0,63,Male,No
67,61.86999893,255.1499939,507.4200134,5.170000076,375,644,10,0,63,Male,Yes
43.29000092,40.08000183,245.3699951,543.0499878,0,413,720,0,0,64,Female,No
49.34999847,45.36999893,242.1799927,530.6699829,0,392,695,0,0,64,Female,Yes
54.88000107,50.91999817,265.480011,543.3200073,0,409,695,0,0,64,Male,No
70.79000092,65.41000366,261.6400146,513.2999878,0,378,644,0,0,64,Male,Yes
45.91999817,42.54000092,255.3600006,556.1300049,0,418,724,0,0,65,Female,No
52.15999985,48,253.2400055,543.3200073,0,400,700,0,0,65,Female,Yes
58.29000092,54.09999847,274.269989,552.7299805,0,413,697,0,0,65,Male,No
74.77999878,69.13999939,267.730011,518.4899902,0,380,643,0,0,65,Male,Yes
48.74000168,45.18000031,266.2999878,569.2000122,0,424,728,0,0,66,Female,No
55.16999817,50.81000137,264.1799927,555.5999756,0,407,705,0,0,66,Female,Yes
61.93999863,57.50999832,282.6700134,561.3300171,0,417,699,0,0,66,Male,No
79.01000214,73.08999634,273.1700134,523.0499878,0,381,643,0,0,66,Male,Yes
51.79000092,48.02999878,278.2799988,582.3699951,0,432,733,0,0,67,Female,No
58.40999985,53.84000015,274.8900146,567.0999756,0,414,710,0,0,67,Female,Yes
65.86000061,61.18000031,290.6600037,569.1900024,0,420,700,0,0,67,Male,No
83.5,77.29000092,277.9400024,527.2199707,0,382,642,0,0,67,Male,Yes
55.11000061,51.13000107,290.1700134,595.0200195,0,439,738,0,0,68,Female,No
61.93000031,57.13000107,285.4200134,578.460022,0,421,714,0,0,68,Female,Yes
70.08000183,65.12000275,298.3099976,576.460022,0,423,701,0,0,68,Male,No
88.29000092,81.76999664,282.1600037,531.4799805,0,382,641,0,0,68,Male,Yes
58.74000168,54.52000046,301.980011,607.3300171,0,446,742,0,0,69,Female,No
65.76999664,60.72000122,295.6799927,589.3099976,0,427,718,0,0,69,Female,Yes
74.63999939,69.37999725,305.75,583.4699707,0,425,702,0,0,69,Male,No
93.41999817,86.55999756,285.980011,535.6400146,0,382,640,0,0,69,Male,Yes
62.70000076,58.22000122,313.7099915,619.5300293,0,453,747,0,0,70,Female,No
69.98000336,64.65000153,305.7799988,600.6300049,0,432,722,0,0,70,Female,Yes
79.55000305,73.97000122,313.0700073,590.6599731,0,427,703,0,0,70,Male,No
98.91000366,91.69000244,289.5799866,540.3099976,0,382,640,0,0,70,Male,Yes
