K10,K25,K50,K100,K250,K500,WOP,Age,Sex
4.630000114,3.190000057,2.75999999,2.539999962,2.440000057,2.349999905,0.2399999946,34,Male
4.429999828,3,2.549999952,2.299999952,2.190000057,2.089999914,0.3600000143,35,Female
4.739999771,3.339999914,2.910000086,2.690000057,2.599999905,2.5,0.25,35,Male
4.480000019,3.089999914,2.640000105,2.400000095,2.289999962,2.180000067,0.3799999952,36,Female
4.889999866,3.50999999,3.079999924,2.869999886,2.779999971,2.680000067,0.2700000107,36,Male
4.559999943,3.190000057,2.75,2.50999999,2.400000095,2.289999962,0.4199999869,37,Female
5.059999943,3.710000038,3.289999962,3.079999924,2.99000001,2.890000105,0.3000000119,37,Male
4.650000095,3.309999943,2.869999886,2.640000105,2.529999971,2.410000086,0.4600000083,38,Female
5.269999981,3.940000057,3.519999981,3.309999943,3.230000019,3.119999886,0.3300000131,38,Male
4.769999981,3.450000048,3.00999999,2.779999971,2.670000076,2.549999952,0.5,39,Female
5.519999981,4.199999809,3.789999962,3.589999914,3.5,3.390000105,0.3700000048,39,Male
4.929999828,3.609999895,3.180000067,2.950000048,2.849999905,2.720000029,0.5600000024,40,Female
5.820000172,4.5,4.090000153,3.890000105,3.809999943,3.690000057,0.4099999964,40,Male
5.119999886,3.809999943,3.380000114,3.160000086,3.059999943,2.920000076,0.6000000238,41,Female
6.159999847,4.849999905,4.440000057,4.25,4.159999847,4.039999962,0.4499999881,41,Male
5.349999905,4.050000191,3.619999886,3.400000095,3.299999952,3.150000095,0.6399999857,42,Female
6.550000191,5.239999771,4.840000153,4.639999866,4.559999943,4.429999828,0.4900000095,42,Male
5.619999886,4.320000172,3.900000095,3.680000067,3.579999924,3.420000076,0.6899999976,43,Female
6.989999771,5.679999828,5.28000021,5.090000153,5.010000229,4.860000134,0.5299999714,43,Male
5.940000057,4.639999866,4.210000038,3.99000001,3.900000095,3.730000019,0.7400000095,44,Female
7.480000019,6.179999828,5.78000021,5.590000153,5.510000229,5.349999905,0.5799999833,44,Male
6.289999962,4.989999771,4.570000172,4.349999905,4.260000229,4.079999924,0.8000000119,45,Female
8.029999733,6.730000019,6.329999924,6.139999866,6.070000172,5.900000095,0.6399999857,45,Male
6.699999809,5.400000095,4.980000019,4.760000229,4.659999847,4.46999979,0.8700000048,46,Female
8.640000343,7.340000153,6.940000057,6.75,6.679999828,6.5,0.7099999785,46,Male
7.139999866,5.840000153,5.420000076,5.199999809,5.110000134,4.909999847,0.9599999785,47,Female
9.31000042,8.010000229,7.610000134,7.420000076,7.349999905,7.159999847,0.8000000119,47,Male
7.639999866,6.340000153,5.920000076,5.699999809,5.610000134,5.389999866,1.070000052,48,Female
10.03999996,8.739999771,8.340000153,8.149999619,8.079999924,7.869999886,0.9100000262,48,Male
8.18999958,6.889999866,6.46999979,6.25,6.159999847,5.929999828,1.210000038,49,Female
10.84000015,9.539999962,9.140000343,9.949999809,8.880000114,8.659999847,1.049999952,49,Male
8.779999733,7.480000019,7.059999943,6.840000153,6.75,6.510000229,1.360000014,50,Female
11.69999981,10.39999962,10,9.81000042,9.739999771,9.5,1.190000057,50,Male
9.430000305,8.130000114,7.710000038,7.489999771,7.400000095,7.130000114,1.519999981,51,Female
12.63000011,11.32999992,10.93000031,10.73999977,10.68000031,10.42000008,1.340000033,51,Male
10.13000011,8.829999924,8.409999847,8.18999958,8.109999657,7.820000172,1.700000048,52,Female
13.64999962,12.35000038,11.94999981,11.76000023,11.68999958,11.42000008,1.519999981,52,Male
10.89999962,9.600000381,9.180000305,8.960000038,8.869999886,8.56000042,1.919999957,53,Female
14.76000023,13.46000004,13.06000042,12.86999989,12.80000019,12.5,1.74000001,53,Male
11.73999977,10.43999958,10.02000046,9.800000191,9.710000038,9.380000114,2.200000048,54,Female
15.97999954,14.68000031,14.27999973,14.09000015,14.02000046,13.69999981,2.019999981,54,Male
12.67000008,11.36999989,10.94999981,10.72999954,10.64000034,10.27000046,2.5,55,Female
17.31999969,16.02000046,15.61999989,15.43000031,15.35999966,15.01000023,2.309999943,55,Male
13.15999985,11.85999966,11.43999958,11.22000027,11.13000011,10.75,2.539999962,56,Female
18.03000069,16.72999954,16.32999992,16.13999939,16.06999969,15.71000004,2.390000105,56,Male
13.67000008,12.36999989,11.94999981,11.72999954,11.64000034,11.25,2.529999971,57,Female
18.78000069,17.47999954,17.07999992,16.88999939,16.81999969,16.44000053,2.430000067,57,Male
14.22000027,12.92000008,12.5,12.27999973,12.18999958,11.77000046,2.450000048,58,Female
19.55999947,18.26000023,17.86000061,17.67000008,17.60000038,17.20000076,2.400000095,58,Male
14.78999996,13.48999977,13.06999969,12.85000038,12.76000023,12.31999969,2.24000001,59,Female
20.38999939,19.09000015,18.69000053,18.5,18.43000031,18,2.210000038,59,Male
15.38000011,14.07999992,13.65999985,13.43999958,13.35000038,12.89999962,1.799999952,60,Female
21.26000023,19.95999908,19.55999947,19.37000084,19.29999924,18.85000038,1.799999952,60,Male
16.02000046,14.72000027,14.30000019,14.07999992,13.98999977,13.51000023,1.799999952,61,Female
22.17000008,20.87000084,20.46999931,20.28000069,20.20999908,19.73999977,1.799999952,61,Male
16.68000031,15.38000011,14.96000004,14.73999977,14.64999962,14.14999962,1.799999952,62,Female
23.13999939,21.84000015,21.44000053,21.25,21.18000031,20.69000053,1.799999952,62,Male
17.38999939,16.09000015,15.67000008,15.44999981,15.35999966,14.84000015,1.799999952,63,Female
24.15999985,22.86000061,22.45999908,22.27000046,22.20000076,21.69000053,1.799999952,63,Male
18.13999939,16.84000015,16.42000008,16.20000076,16.11000061,15.56999969,1.799999952,64,Female
25.23999977,23.94000053,23.54000092,23.35000038,23.28000069,22.75,1.799999952,64,Male
