RateUnder100K,RateOver100K,CashValueIn10,CashValueIn20,CashValueAt65,PaidUpIn10,PaidUpIn20,PaidUpAt65,WOP,Age,Sex,Smoker
9.279999733,8.300000191,52,156,407,299,593,844,0.05000000075,29,Male,No
12.51000023,10.93999958,71,199,460,319,604,839,0.05000000075,29,Male,Yes
8.390000343,7.46999979,44,134,343,286,573,819,0.05999999866,30,Female,No
10.27999973,8.859999657,55,154,366,297,572,810,0.05999999866,30,Female,Yes
9.68999958,8.680000305,55,164,403,304,598,837,0.05000000075,30,Male,No
13.05000019,11.44999981,75,207,456,323,607,832,0.05000000075,30,Male,Yes
8.760000229,7.809999943,47,141,340,290,577,811,0.05999999866,31,Female,No
10.71000004,9.260000229,57,160,362,300,574,801,0.05999999866,31,Female,Yes
10.10000038,9.069999695,58,172,400,309,603,829,0.05000000075,31,Male,No
13.63000011,11.98999977,79,216,451,327,610,823,0.05000000075,31,Male,Yes
9.130000114,8.159999847,50,148,336,294,581,802,0.05999999866,32,Female,No
11.15999985,9.680000305,60,166,358,302,576,792,0.05999999866,32,Female,Yes
10.55000019,9.489999771,62,181,396,314,607,821,0.05000000075,32,Male,No
14.23999977,12.56000042,83,225,446,330,612,814,0.05000000075,32,Male,Yes
9.529999733,8.529999733,53,155,332,298,584,793,0.05999999866,33,Female,No
11.64000034,10.13000011,63,173,353,304,578,782,0.05999999866,33,Female,Yes
11.03999996,9.93999958,65,189,392,318,611,813,0.05000000075,33,Male,No
14.89000034,13.17000008,87,234,441,333,615,805,0.05000000075,33,Male,Yes
9.93999958,8.920000076,55,162,328,301,587,783,0.05999999866,34,Female,No
12.14000034,10.60000038,66,180,348,305,579,771,0.05999999866,34,Female,Yes
11.52999973,10.39999962,69,198,387,323,615,803,0.05000000075,34,Male,No
15.57999992,13.81000042,92,243,435,335,617,795,0.05000000075,34,Male,Yes
10.38000011,9.329999924,58,169,324,304,591,773,0.05999999866,35,Female,No
12.67000008,11.09000015,68,187,343,306,581,760,0.05999999866,35,Female,Yes
12.06000042,10.89999962,73,208,382,326,619,793,0.05000000075,35,Male,No
16.29999924,14.48999977,96,252,430,337,619,784,0.05000000075,35,Male,Yes
10.84000015,9.760000229,61,177,319,307,594,762,0.0700000003,36,Female,No
13.22000027,11.60999966,71,194,338,307,582,748,0.0700000003,36,Female,Yes
12.63000011,11.43000031,77,217,377,330,623,783,0.05999999866,36,Male,No
17.06999969,15.21000004,100,261,423,339,620,773,0.05999999866,36,Male,Yes
11.34000015,10.22000027,64,185,314,309,597,750,0.0700000003,37,Female,No
13.81000042,12.15999985,74,201,332,307,583,735,0.0700000003,37,Female,Yes
13.22000027,11.97999954,81,227,372,334,626,772,0.05999999866,37,Male,No
17.88999939,15.97000027,104,270,417,341,622,761,0.05999999866,37,Male,Yes
11.85000038,10.69999981,68,193,309,312,600,738,0.0700000003,38,Female,No
14.42000008,12.72999954,77,209,326,308,586,722,0.0700000003,38,Female,Yes
13.85000038,12.56999969,85,237,366,337,630,760,0.05999999866,38,Male,No
18.75,16.78000069,109,279,410,342,623,748,0.05999999866,38,Male,Yes
12.38000011,11.19999981,71,202,304,315,604,725,0.0700000003,39,Female,No
15.06000042,13.32999992,80,217,320,309,588,708,0.0700000003,39,Female,Yes
14.51000023,13.18999958,90,247,360,341,633,748,0.05999999866,39,Male,No
19.64999962,17.62000084,113,288,402,343,624,734,0.05999999866,39,Male,Yes
12.94999981,11.72999954,75,211,298,318,608,711,0.0700000003,40,Female,No
15.72999954,13.94999981,83,225,313,310,590,693,0.0700000003,40,Female,Yes
15.21000004,13.84000015,95,258,354,344,637,734,0.05999999866,40,Male,No
20.62000084,18.52000046,118,298,394,345,626,719,0.05999999866,40,Male,Yes
13.53999996,12.27999973,79,221,292,321,612,697,0.07999999821,41,Female,No
16.42000008,14.60000038,87,235,306,311,593,678,0.07999999821,41,Female,Yes
15.94999981,14.52999973,100,269,347,348,640,720,0.05999999866,41,Male,No
21.62000084,19.45999908,123,308,386,346,627,704,0.05999999866,41,Male,Yes
14.15999985,12.85999966,83,231,286,324,617,681,0.07999999821,42,Female,No
17.14999962,15.27999973,90,244,299,312,597,662,0.07999999821,42,Female,Yes
16.73999977,15.27000046,105,280,340,351,644,705,0.05999999866,42,Male,No
22.69000053,20.45999908,128,317,377,348,629,688,0.05999999866,42,Male,Yes
14.81999969,13.47999954,87,242,279,327,621,665,0.07999999821,43,Female,No
17.90999985,15.98999977,94,254,292,314,601,645,0.07999999821,43,Female,Yes
17.55999947,16.04000092,110,292,332,355,647,689,0.0700000003,43,Male,No
23.80999947,21.5,133,327,367,349,630,671,0.0700000003,43,Male,Yes
15.51000023,14.11999989,91,253,272,331,626,648,0.07999999821,44,Female,No
18.70999908,16.73999977,98,265,284,316,605,627,0.07999999821,44,Female,Yes
18.44000053,16.86000061,116,303,324,358,651,672,0.0700000003,44,Male,No
24.98999977,22.61000061,138,337,357,350,632,652,0.0700000003,44,Male,Yes
16.25,14.81000042,96,264,264,334,630,630,0.07999999821,45,Female,No
19.54999924,17.52000046,102,275,275,318,609,609,0.07999999821,45,Female,Yes
19.37999916,17.73999977,121,315,315,361,654,654,0.0700000003,45,Male,No
26.23999977,23.78000069,143,347,347,352,633,633,0.0700000003,45,Male,Yes
17.02000046,15.52999973,101,276,256,337,635,611,0.09000000358,46,Female,No
20.43000031,18.35000038,107,286,266,320,613,589,0.09000000358,46,Female,Yes
20.37000084,18.65999985,127,327,306,365,657,635,0.0700000003,46,Male,No
27.55999947,25.01000023,148,356,336,353,634,613,0.0700000003,46,Male,Yes
17.82999992,16.29000092,105,288,248,340,639,591,0.09000000358,47,Female,No
21.37000084,19.21999931,111,297,257,322,617,569,0.09000000358,47,Female,Yes
21.40999985,19.63999939,133,339,296,368,660,614,0.07999999821,47,Male,No
28.95999908,26.31999969,154,366,324,353,635,591,0.07999999821,47,Male,Yes
18.70000076,17.10000038,111,300,239,344,644,570,0.09000000358,48,Female,No
22.34000015,20.12999916,116,308,247,325,621,547,0.09000000358,48,Female,Yes
22.54000092,20.69000053,140,351,285,371,663,592,0.07999999821,48,Male,No
30.44000053,27.70000076,159,375,311,354,636,568,0.07999999821,48,Male,Yes
19.61000061,17.95000076,116,313,229,347,649,547,0.1000000015,49,Female,No
23.37999916,21.10000038,121,320,237,328,626,524,0.1000000015,49,Female,Yes
23.72999954,21.79999924,146,364,274,373,666,569,0.07999999821,49,Male,No
32.00999832,29.17000008,164,385,298,355,637,543,0.07999999821,49,Male,Yes
20.57999992,18.86000061,122,327,219,352,654,522,0.1000000015,50,Female,No
24.45999908,22.11000061,127,333,226,332,631,499,0.1000000015,50,Female,Yes
25,22.98999977,153,376,262,376,669,543,0.09000000358,50,Male,No
33.68000031,30.72999954,170,394,283,356,638,517,0.09000000358,50,Male,Yes
21.61000061,19.81999969,129,341,208,356,660,496,0.1099999994,51,Female,No
25.61000061,23.19000053,133,346,214,336,636,474,0.1099999994,51,Female,Yes
26.35000038,24.25,159,389,249,379,672,517,0.09000000358,51,Male,No
35.45000076,32.38000107,175,404,268,356,639,489,0.09000000358,51,Male,Yes
22.70000076,20.84000015,135,355,197,361,665,469,0.1099999994,52,Female,No
26.81999969,24.31999969,139,360,202,340,642,446,0.1099999994,52,Female,Yes
27.79000092,25.60000038,166,401,235,381,675,488,0.1000000015,52,Male,No
37.31999969,34.13000107,180,413,252,357,640,459,0.1000000015,52,Male,Yes
23.84000015,21.90999985,143,370,184,365,671,440,0.1199999973,53,Female,No
28.11000061,25.52000046,146,374,189,345,648,417,0.1199999973,53,Female,Yes
29.31999969,27.03000069,173,414,220,384,678,457,0.1000000015,53,Male,No
39.29999924,35.97999954,186,423,234,357,641,427,0.1000000015,53,Male,Yes
25.06999969,23.05999947,150,385,171,370,677,408,0.1299999952,54,Female,No
29.45000076,26.78000069,153,388,175,349,653,387,0.1299999952,54,Female,Yes
30.95000076,28.54999924,180,426,205,386,680,424,0.1099999994,54,Male,No
41.40000153,37.93999863,191,431,216,358,642,394,0.1099999994,54,Male,Yes
26.37999916,24.28000069,157,400,157,375,682,375,0.150000006,55,Female,No
30.87999916,28.11000061,160,402,160,354,659,354,0.150000006,55,Female,Yes
32.68999863,30.18000031,188,438,188,389,682,389,0.1199999973,55,Male,No
43.59999847,40,196,440,196,358,642,358,0.1199999973,55,Male,Yes
27.76000023,25.56999969,165,415,143,380,688,340,0.1700000018,56,Female,No
32.40000153,29.53000069,167,416,145,358,664,319,0.1700000018,56,Female,Yes
34.54000092,31.90999985,195,449,169,391,684,351,0.1299999952,56,Male,No
45.93999863,42.18999863,201,448,176,358,642,320,0.1299999952,56,Male,Yes
29.25,26.95999908,173,431,127,384,693,302,0.1899999976,57,Female,No
34.06999969,31.09000015,175,429,128,363,669,283,0.1899999976,57,Female,Yes
36.52000046,33.75999832,202,461,150,393,686,310,0.150000006,57,Male,No
48.43000031,44.50999832,206,455,154,358,641,280,0.150000006,57,Male,Yes
30.84000015,28.45000076,181,446,110,389,698,261,0.2199999988,58,Female,No
35.79999924,32.70999908,182,443,110,366,674,242,0.2199999988,58,Female,Yes
38.63999939,35.74000168,209,471,129,395,687,267,0.1800000072,58,Male,No
51.06000137,46.97000122,213,463,132,361,642,241,0.1800000072,58,Male,Yes
32.54999924,30.04999924,190,460,91,393,703,216,0.25,59,Female,No
37.68000031,34.47000122,190,456,90,370,678,199,0.25,59,Female,Yes
40.90999985,37.86000061,217,482,107,397,689,220,0.2199999988,59,Male,No
53.86000061,49.59000015,220,470,110,364,643,200,0.2199999988,59,Male,Yes
34.40000153,31.78000069,199,475,71,398,707,169,0,60,Female,No
39.70999908,36.36000061,198,469,69,375,682,153,0,60,Female,Yes
43.33000183,40.11999893,224,492,82,399,690,170,0,60,Male,No
56.86000061,52.38999939,227,478,86,367,644,156,0,60,Male,Yes
36.38999939,33.63999939,208,490,49,403,712,117,0,61,Female,No
41.88000107,38.38999939,207,482,47,379,687,102,0,61,Female,Yes
45.93000031,42.54999924,232,503,56,400,691,116,0,61,Male,No
60.04999924,55.36999893,234,485,60,371,645,109,0,61,Male,Yes
38.52999878,35.63999939,218,505,26,408,716,61,0,62,Female,No
44.20999908,40.56999969,216,495,22,384,691,48,0,62,Female,Yes
48.72000122,45.15999985,239,513,28,402,692,57,0,62,Male,No
63.43000031,58.52999878,242,492,33,374,645,59,0,62,Male,Yes
40.84000015,37.79000092,228,520,0,413,721,0,0,63,Female,No
46.68999863,42.88999939,225,508,0,389,694,0,0,63,Female,Yes
51.70000076,47.93999863,249,524,1,407,695,0,0,63,Male,No
67,61.86999893,248,499,4,377,646,6,0,63,Male,Yes
43.29000092,40.08000183,238,534,0,418,725,0,0,64,Female,No
49.34999847,45.36999893,234,521,0,394,698,0,0,64,Female,Yes
54.88000107,50.91999817,258,534,0,411,698,0,0,64,Male,No
70.79000092,65.41000366,255,505,0,379,646,0,0,64,Male,Yes
45.91999817,42.54000092,248,547,0,422,728,0,0,65,Female,No
52.15999985,48,245,534,0,402,703,0,0,65,Female,Yes
58.29000092,54.09999847,267,544,0,416,700,0,0,65,Male,No
74.77999878,69.13999939,261,511,0,381,645,0,0,65,Male,Yes
48.74000168,45.18000031,258,560,0,427,732,0,0,66,Female,No
55.16999817,50.81000137,256,547,0,409,708,0,0,66,Female,Yes
61.93999863,57.50999832,275,553,0,419,701,0,0,66,Male,No
79.01000214,73.08999634,267,516,0,383,644,0,0,66,Male,Yes
51.79000092,48.02999878,270,573,0,435,736,0,0,67,Female,No
58.40999985,53.84000015,267,558,0,416,712,0,0,67,Female,Yes
65.86000061,61.18000031,284,561,0,422,702,0,0,67,Male,No
83.5,77.29000092,272,520,0,383,643,0,0,67,Male,Yes
55.11000061,51.13000107,282,586,0,442,741,0,0,68,Female,No
61.93000031,57.13000107,278,570,0,423,716,0,0,68,Female,Yes
70.08000183,65.12000275,291,569,0,425,703,0,0,68,Male,No
88.29000092,81.76999664,276,524,0,383,642,0,0,68,Male,Yes
58.74000168,54.52000046,294,599,0,449,745,0,0,69,Female,No
65.76999664,60.72000122,288,581,0,429,720,0,0,69,Female,Yes
74.63999939,69.37999725,299,576,0,427,704,0,0,69,Male,No
93.41999817,86.55999756,280,529,0,383,641,0,0,69,Male,Yes
62.70000076,58.22000122,306,612,0,455,749,0,0,70,Female,No
69.98000336,64.65000153,299,593,0,434,724,0,0,70,Female,Yes
79.55000305,73.97000122,307,584,0,429,705,0,0,70,Male,No
98.91000366,91.69000244,284,534,0,382,641,0,0,70,Male,Yes
