lifepro_plan,qla_plan,description,quikplcv_mort,quikplcv_etimort,quikplcv_nfoint,quikplcv_intmethcv,quikpltv_all5_raw,parse_rsv_int,parse_rsv_mthd,parse_intmeth,parse_store_means,parse_calc_mids,has_missing_token
665 STME95,2665ST,Statesman Mod Endow at 95,O1,Q1,0.035,Curtate,"Rsv Int: 3.50%, Rsv Mthd: CRVM, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",3.50%,CRVM,Curtate,Default (Terminal),Default (Mean),N
666 WL,1666WL,Multiple Insureds Whole Life,O1,Q1,0.025,Curtate,"Rsv Int: 2.50%, Rsv Mthd: CRVM, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",2.50%,CRVM,Curtate,Default (Terminal),Default (Mean),N
667 ART,5667AT,Annual Renewable Term,A1,,,Curtate,"Rsv Int: 6.00%, Rsv Mthd: CRVM, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",6.00%,CRVM,Curtate,Default (Terminal),Default (Mean),N
668 SPWL,1668SP,Single Premium Whole Life,A1,C1,0.055,Curtate,"Rsv Int: 5.50%, Rsv Mthd: NLP, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",5.50%,NLP,Curtate,Default (Terminal),Default (Mean),N
669 SR GD,1669SR,Interest-Sensitive Whole Life,A1,C1,0.045,Curtate,"Rsv Int: 4.50%, Rsv Mthd: CRVM, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",4.50%,CRVM,Curtate,Default (Terminal),Default (Mean),N
670 GL85-8,170858,Life Paid Up at 85/88,O1,Q1,0.025,Curtate,"Rsv Int: 2.50%, Rsv Mthd: CRVM, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",2.50%,CRVM,Curtate,Default (Terminal),Default (Mean),N
670 GL85-M,17085M,Life Paid Up at 85/88,O1,Q1,0.025,Curtate,"Rsv Int: 2.50%, Rsv Mthd: CRVM, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",2.50%,CRVM,Curtate,Default (Terminal),Default (Mean),N
670 GL8588,170588,Life Paid Up at 85/88,O1,Q1,0.035,Curtate,"Rsv Int: 2.50%, Rsv Mthd: CRVM, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",2.50%,CRVM,Curtate,Default (Terminal),Default (Mean),N
670 PUA,170PUA,,O1,,,Curtate,"Rsv Int: 2.50%, Rsv Mthd: NLP, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",2.50%,NLP,Curtate,Default (Terminal),Default (Mean),N
675 61 PUA,,,O1,,,Curtate,"Rsv Int: 2.50%, Rsv Mthd: NLP, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",2.50%,NLP,Curtate,Default (Terminal),Default (Mean),N
675 AD PUA,,,O1,,,Curtate,"Rsv Int: 2.50%, Rsv Mthd: NLP, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",2.50%,NLP,Curtate,Default (Terminal),Default (Mean),N
679 CEN SD,1679CS,Interest-Sensitive Whole Life,A1,C1,0.045,Curtate,"Rsv Int: 4.50%, Rsv Mthd: CRVM, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",4.50%,CRVM,Curtate,Default (Terminal),Default (Mean),N
960 65 PUA,165PUA,,O1,,,Curtate,"Rsv Int: 2.50%, Rsv Mthd: NLP, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",2.50%,NLP,Curtate,Default (Terminal),Default (Mean),N
960 LP PUA,185PUA,,,,,Curtate,"Rsv Int: 2.50%, Rsv Mthd: NLP, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",2.50%,NLP,Curtate,Default (Terminal),Default (Mean),N
960 LP65,196065,Life Paid Up at Age 65,O1,Q1,0.025,Curtate,"Rsv Int: 2.50%, Rsv Mthd: CRVM, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",2.50%,CRVM,Curtate,Default (Terminal),Default (Mean),N
960 LP85-M,196085,Life Paid Up at Age 85-88,O1,Q1,0.025,Curtate,"Rsv Int: 2.50%, Rsv Mthd: CRVM, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",2.50%,CRVM,Curtate,Default (Terminal),Default (Mean),N
960 OL,1960OL,Ordinary Whole Life,O1,Q1,0.025,Curtate,"Rsv Int: 2.50%, Rsv Mthd: CRVM, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",2.50%,CRVM,Curtate,Default (Terminal),Default (Mean),N
960 OL PUA,1OLPUA,,O1,,,Curtate,"Rsv Int: 2.50%, Rsv Mthd: NLP, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",2.50%,NLP,Curtate,Default (Terminal),Default (Mean),N
960 PO,1960PO,Preferred Ordinary Whole Life,O1,Q1,0.035,Curtate,"Rsv Int: 3.50%, Rsv Mthd: CRVM, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",3.50%,CRVM,Curtate,Default (Terminal),Default (Mean),N
960 PO PUA,1POPUA,,O1,,,Curtate,"Rsv Int: 3.50%, Rsv Mthd: NLP, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",3.50%,NLP,Curtate,Default (Terminal),Default (Mean),N
961 ME65,2961ME,Modified Endowment at 65,O1,Q1,0.035,Curtate,"Rsv Int: 3.50%, Rsv Mthd: CRVM, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",3.50%,CRVM,Curtate,Default (Terminal),Default (Mean),N
961 PUA,261PUA,,O1,,,Curtate,"Rsv Int: 3.50%, Rsv Mthd: NLP, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",3.50%,NLP,Curtate,Default (Terminal),Default (Mean),N
970 JEB,1970JB,Juvenile Est Build PU at 85 Life,O1,Q1,0.025,Curtate,"Rsv Int: 2.50%, Rsv Mthd: CRVM, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",2.50%,CRVM,Curtate,Default (Terminal),Default (Mean),N
970 PUA,1970PA,,O1,,,Curtate,"Rsv Int: 2.50%, Rsv Mthd: NLP, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",2.50%,NLP,Curtate,Default (Terminal),Default (Mean),N
980 END65,280END,Endowment at Age 65,O1,Q1,0.025,Curtate,"Rsv Int: 2.50%, Rsv Mthd: CRVM, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",2.50%,CRVM,Curtate,Default (Terminal),Default (Mean),N
980 PUA,280PUA,,O1,,,Curtate,"Rsv Int: 2.50%, Rsv Mthd: NLP, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",2.50%,NLP,Curtate,Default (Terminal),Default (Mean),N
991 PUA,,,O1,,,Curtate,"Rsv Int: 3.50%, Rsv Mthd: NLP, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",3.50%,NLP,Curtate,Default (Terminal),Default (Mean),N
991 PWL,1991PL,Pension Whole Life,O1,Q1,,Curtate,"Rsv Int: 3.00%, Rsv Mthd: NLP, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mea",3.00%,NLP,Curtate,Default (Terminal),Default (Mea,N
L01 10Y LT,5L0110,Ten Year Level Term to Age 95,A1,,,Curtate,"Rsv Int: 5.00%, Rsv Mthd: CRVM, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",5.00%,CRVM,Curtate,Default (Terminal),Default (Mean),N
L01 10Y MA,5L01MA,Ten Year Level Term to Age 95,A1,,,Curtate,"Rsv Int: 5.00%, Rsv Mthd: CRVM, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",5.00%,CRVM,Curtate,Default (Terminal),Default (Mean),N
L05 10Y LT,5L0510,Ten Year Term to Age 85,A1,,,Curtate,"Rsv Int: 5.00%, Rsv Mthd: CRVM, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",5.00%,CRVM,Curtate,Default (Terminal),Default (Mean),N
L07 5Y LT,5L075Y,Five Year Term to Age 85,A1,,,Curtate,"Rsv Int: 5.00%, Rsv Mthd: CRVM, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",5.00%,CRVM,Curtate,Default (Terminal),Default (Mean),N
L10 LP95,1L1095,L10 - LPU95 POST 1997 LIFE,A1,C1,0.045,Curtate,"Rsv Int: 4.50%, Rsv Mthd: CRVM, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",4.50%,CRVM,Curtate,Default (Terminal),Default (Mean),N
L10 LP95SR,1L10SR,L10 - LPU95 POST 1997 Senior Life,A1,C1,0.045,Curtate,"Rsv Int: 4.50%, Rsv Mthd: CRVM, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",4.50%,CRVM,Curtate,Default (Terminal),Default (Mean),N
L10 PRE97,1L10OD,L10 - LPU95 PRE 1997,A1,C1,0.045,Curtate,"Rsv Int: 4.50%, Rsv Mthd: CRVM, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",4.50%,CRVM,Curtate,Default (Terminal),Default (Mean),N
L10 PREUNI,1L10PR,L10 - LPU95 PRE 1997,A1,C1,0.045,Curtate,"Rsv Int: 4.50%, Rsv Mthd: CRVM, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",4.50%,CRVM,Curtate,Default (Terminal),Default (Mean),N
L10 SR OLD,1L10SO,L10 - LPU95 SR. PRE 1997,A1,C1,0.05,Curtate,"Rsv Int: 5.00%, Rsv Mthd: CRVM, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",5.00%,CRVM,Curtate,Default (Terminal),Default (Mean),N
L14,1L14SC,Whole Life,A1,C1,0.045,Curtate,"Rsv Int: 4.50%, Rsv Mthd: CRVM, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",4.50%,CRVM,Curtate,Default (Terminal),Default (Mean),N
L15,1L15GD,Graded Death Benefit Whole Life,A1,C1,0.045,Curtate,"Rsv Int: 4.50%, Rsv Mthd: CRVM, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",4.50%,CRVM,Curtate,Default (Terminal),Default (Mean),N
L16,1L16GD,Graded Death Benefit Whole Life,A1,C1,0.045,Curtate,"Rsv Int: 4.50%, Rsv Mthd: CRVM, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",4.50%,CRVM,Curtate,Default (Terminal),Default (Mean),N
L17 1,10L171,Single Premium Whole Life,A1,C1,0.045,Curtate,"Rsv Int: 4.50%, Rsv Mthd: NLP, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",4.50%,NLP,Curtate,Default (Terminal),Default (Mean),N
L17 1 JPO,117JPO,L17 Juvenile Purchase Option,A1,C1,0.045,Curtate,"Rsv Int: 4.50%, Rsv Mthd: NLP, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",4.50%,NLP,Curtate,Default (Terminal),Default (Mean),N
L17 2+,10L172,Single Premium Whole Life,A1,C1,0.045,Curtate,"Rsv Int: 4.50%, Rsv Mthd: NLP, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",4.50%,NLP,Curtate,Default (Terminal),Default (Mean),N
L17 2+ JPO,17MJPO,L17 Multi Juvenile Purchase Option,A1,C1,0.045,Curtate,"Rsv Int: 4.50%, Rsv Mthd: NLP, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",4.50%,NLP,Curtate,Default (Terminal),Default (Mean),N
L17 BASE,1L17SP,Single Premium Whole Life,A1,C1,0.045,Curtate,"Rsv Int: 4.50%, Rsv Mthd: NLP, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",4.50%,NLP,Curtate,Default (Terminal),Default (Mean),N
SAL ML,1SALML,Modified Life,O1,Q1,0.03,Curtate,"Rsv Int: 3.00%, Rsv Mthd: NLP, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",3.00%,NLP,Curtate,Default (Terminal),Default (Mean),N
SAL OL,1SALOL,Ordinary Whole Life,O1,Q1,0.03,Curtate,"Rsv Int: 3.00%, Rsv Mthd: NLP, Curtate, Store Means: Default (Terminal), Calc Mids: Default (Mean)",3.00%,NLP,Curtate,Default (Terminal),Default (Mean),N
