table,PLAN,FIELD,BEFORE,AFTER,GENDER,UWCLASS
QuikPlTv,1659C2,RSVMETH,,3,M,PR
QuikPlTv,1659C2,INTMETHTV,,0,M,PR
QuikPlTv,1659C2,STOREMEANS,,False,M,PR
QuikPlTv,1659C2,CALCMIDS,,False,M,PR
QuikPlTv,1659C2,MORT,A4,A1,M,SM
QuikPlTv,1659C2,RSVINT,,A,M,SM
QuikPlTv,1659C2,RSVMETH,,3,M,SM
QuikPlTv,1659C2,INTMETHTV,,0,M,SM
QuikPlTv,1659C2,STOREMEANS,,False,M,SM
QuikPlTv,1659C2,CALCMIDS,,False,M,SM
QuikPlTv,1659CR,MORT,B4,A1,F,SM
QuikPlTv,1659CR,RSVINT,,A,F,SM
QuikPlTv,1659CR,RSVMETH,,3,F,SM
QuikPlTv,1659CR,INTMETHTV,,0,F,SM
quikplan,17CSI3,NFOINT,F,A,,
quikplan,17CSI5,NFOINT,F,A,,
quikplan,17CSI7,NFOINT,F,A,,
quikplan,1CSIMN,NFOINT,F,A,,
quikplan,7619DT,INTMETHCV,A,0,,
quikplan,5646AT,NFOINT,2,,,
quikplan,2665ST,NFOINT,,6,,
quikplan,1666WL,NFOINT,,2,,
quikplan,5667AT,INTMETHCV,A,0,,
quikplan,1668SP,NFOINT,G,E,,
quikplan,170858,NFOINT,,2,,
quikplan,170588,NFOINT,,6,,
quikplan,17085M,NFOINT,,2,,
quikplan,196065,NFOINT,,2,,
quikplan,196085,NFOINT,,2,,
quikplan,1960OL,NFOINT,,2,,
quikplan,1960PO,NFOINT,,6,,
quikplan,2961ME,NFOINT,,6,,
quikplan,1970JB,NFOINT,,2,,
quikplan,280END,NFOINT,,2,,
quikplan,5L0110,INTMETHCV,A,0,,
quikplan,5L01MA,INTMETHCV,A,0,,
quikplan,5L0510,INTMETHCV,A,0,,
quikplan,5L075Y,INTMETHCV,A,0,,
quikplan,1L1095,NFOINT,C,A,,
quikplan,1L10SR,NFOINT,C,A,,
quikplan,1L10OD,NFOINT,C,A,,
quikplan,1L10PR,NFOINT,C,A,,
quikplan,1L14SC,NFOINT,C,A,,
quikplan,1L15GD,NFOINT,C,A,,
quikplan,1L16GD,NFOINT,C,A,,
quikplan,10L171,NFOINT,C,A,,
quikplan,117JPO,NFOINT,C,A,,
quikplan,10L172,NFOINT,C,A,,
quikplan,17MJPO,NFOINT,C,A,,
quikplan,1L17SP,NFOINT,C,A,,
