lifepro_plan,qla_plan,QuikPlCv_MORT,QuikPlCv_ETIMORT,QuikPlCv_ETIMORT_note,QuikPlCv_NFOINT,QuikPlCv_INTMETHCV,QuikPlTv_MORT,QuikPlTv_RSVINT,QuikPlTv_RSVMETH,QuikPlTv_INTMETHTV,QuikPlTv_STOREMEANS,QuikPlTv_CALCMIDS,exclude_missing_qla,scope_issue80
960 65 PUA,165PUA,O1,,,,0,O1,2,1,0,False,False,N,DEFER_PUA_ISSUE
960 LP PUA,185PUA,,,,,0,,2,1,0,False,False,N,DEFER_PUA_ISSUE
960 LP65,196065,O1,Q1,,2,0,O1,2,3,0,False,False,N,IN_SCOPE
960 LP85-M,196085,O1,Q1,,2,0,O1,2,3,0,False,False,N,IN_SCOPE
960 OL,1960OL,O1,Q1,,2,0,O1,2,3,0,False,False,N,IN_SCOPE
960 OL PUA,1OLPUA,O1,,,,0,O1,2,1,0,False,False,N,DEFER_PUA_ISSUE
960 PO,1960PO,O1,Q1,,6,0,O1,6,3,0,False,False,N,IN_SCOPE
960 PO PUA,1POPUA,O1,,,,0,O1,6,1,0,False,False,N,DEFER_PUA_ISSUE
961 ME65,2961ME,O1,Q1,,6,0,O1,6,3,0,False,False,N,IN_SCOPE
961 PUA,261PUA,O1,,,,0,O1,6,1,0,False,False,N,DEFER_PUA_ISSUE
970 JEB,1970JB,O1,Q1,,2,0,O1,2,3,0,False,False,N,IN_SCOPE
970 PUA,1970PA,O1,,,,0,O1,2,1,0,False,False,N,DEFER_PUA_ISSUE
980 END65,280END,O1,Q1,,2,0,O1,2,3,0,False,False,N,IN_SCOPE
980 PUA,280PUA,O1,,,,0,O1,2,1,0,False,False,N,DEFER_PUA_ISSUE
991 PUA,,O1,,,,0,O1,6,1,0,False,False,Y,DEFER_PUA_MISSING_QLA
991 PWL,1991PL,O1,Q1,,,0,O1,4,1,0,False,False,N,IN_SCOPE
L01 10Y LT,5L0110,A1,,,,0,A1,C,3,0,False,False,N,IN_SCOPE
L01 10Y MA,5L01MA,A1,,,,0,A1,C,3,0,False,False,N,IN_SCOPE
L05 10Y LT,5L0510,A1,,,,0,A1,C,3,0,False,False,N,IN_SCOPE
L07 5Y LT,5L075Y,A1,,,,0,A1,C,3,0,False,False,N,IN_SCOPE
L10 LP95,1L1095,A1,C1,,A,0,A1,A,3,0,False,False,N,IN_SCOPE
L10 LP95SR,1L10SR,A1,C1,,A,0,A1,A,3,0,False,False,N,IN_SCOPE
L10 PRE97,1L10OD,A1,C1,,A,0,A1,A,3,0,False,False,N,IN_SCOPE
L10 PREUNI,1L10PR,A1,C1,,A,0,A1,A,3,0,False,False,N,IN_SCOPE
L10 SR OLD,1L10SO,A1,C1,,C,0,A1,C,3,0,False,False,N,IN_SCOPE
L14,1L14SC,A1,C1,,A,0,A1,A,3,0,False,False,N,IN_SCOPE
L15,1L15GD,A1,C1,,A,0,A1,A,3,0,False,False,N,IN_SCOPE
L16,1L16GD,A1,C1,,A,0,A1,A,3,0,False,False,N,IN_SCOPE
L17 1,10L171,A1,C1,,A,0,A1,A,1,0,False,False,N,IN_SCOPE
L17 1 JPO,117JPO,A1,C1,,A,0,A1,A,1,0,False,False,N,IN_SCOPE
L17 2+,10L172,A1,C1,,A,0,A1,A,1,0,False,False,N,IN_SCOPE
L17 2+ JPO,17MJPO,A1,C1,,A,0,A1,A,1,0,False,False,N,IN_SCOPE
L17 BASE,1L17SP,A1,C1,,A,0,A1,A,1,0,False,False,N,IN_SCOPE
SAL ML,1SALML,O1,Q1,,4,0,O1,4,1,0,False,False,N,IN_SCOPE
SAL OL,1SALOL,O1,Q1,,4,0,O1,4,1,0,False,False,N,IN_SCOPE
