MPOLICY,LP_POLICY,LIFEPRO_PLAN,MPLAN,CONTRACT_CODE,CONTRACT_REASON,PAID_UP_TYPE,MSTATUS_NOW,MNFOPT,MPHSTAT,PROPOSED_KEY,MSTATUS_PROPOSED,WOULD_CHANGE,FALSE_ETI
9010937092C,9010937092,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010937739C,9010937739,667 ART,5667AT,A,RI,LE,44,0,44,A_RI,22,Y,Y
9010948278C,9010948278,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010950970C,9010950970,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010952386C,9010952386,667 ART,5667AT,A,RI,LE,44,0,44,A_RI,22,Y,Y
9010955021C,9010955021,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010957789C,9010957789,667 ART,5667AT,T,LP,LE,44,0,44,T_LP,54,Y,Y
9010957790C,9010957790,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010961713C,9010961713,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010969839C,9010969839,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010978024C,9010978024,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010983389C,9010983389,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010985217C,9010985217,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010988862C,9010988862,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010989860C,9010989860,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010993200C,9010993200,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010998652C,9010998652,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010999694C,9010999694,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9011001302C,9011001302,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9011003325C,9011003325,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9011005041C,9011005041,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9011015985C,9011015985,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9011017289C,9011017289,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9011018249C,9011018249,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9011023481C,9011023481,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9011032090C,9011032090,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9011034609C,9011034609,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9011054089C,9011054089,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9011054839C,9011054839,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9011054840C,9011054840,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9011064800C,9011064800,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9011068752C,9011068752,667 ART,5667AT,T,LP,LE,44,0,44,T_LP,54,Y,Y
9011089156C,9011089156,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9011121183C,9011121183,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9011136641C,9011136641,667 ART,5667AT,A,,LE,44,0,44,A_,22,Y,Y
9010762461C,9010762461,667 ART,5667AT,T,LP,,22,0,22,unchanged,22,N,N
9010764250C,9010764250,667 ART,5667AT,T,LP,UM,54,0,54,unchanged,54,N,N
9010775172C,9010775172,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010776221C,9010776221,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010778181C,9010778181,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010778263C,9010778263,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010785300C,9010785300,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010785831C,9010785831,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010786425C,9010786425,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010790779C,9010790779,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010791744C,9010791744,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010792116C,9010792116,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010795841C,9010795841,667 ART,5667AT,T,LP,,54,0,54,unchanged,54,N,N
9010797181C,9010797181,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010798515C,9010798515,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010799083C,9010799083,667 ART,5667AT,T,DC,LE,53,0,53,T_DC,53,N,N
9010806350C,9010806350,667 ART,5667AT,A,,,22,0,22,unchanged,22,N,N
9010807842C,9010807842,667 ART,5667AT,T,DC,LE,53,0,53,T_DC,53,N,N
9010808907C,9010808907,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010810273C,9010810273,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010812205C,9010812205,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010814022C,9010814022,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010814023C,9010814023,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010816784C,9010816784,667 ART,5667AT,A,RS,,22,0,22,unchanged,22,N,N
9010820835C,9010820835,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010821322C,9010821322,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010824559C,9010824559,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010829154C,9010829154,667 ART,5667AT,T,DC,LE,53,0,53,T_DC,53,N,N
9010829579C,9010829579,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010830152C,9010830152,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010834719C,9010834719,667 ART,5667AT,T,DC,LE,53,0,53,T_DC,53,N,N
9010835847C,9010835847,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010838364C,9010838364,667 ART,5667AT,T,DC,LE,53,0,53,T_DC,53,N,N
9010839849C,9010839849,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010840186C,9010840186,667 ART,5667AT,A,,,22,0,22,unchanged,22,N,N
9010843233C,9010843233,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010849221C,9010849221,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010850345C,9010850345,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010850346C,9010850346,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010850347C,9010850347,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010855995C,9010855995,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010858443C,9010858443,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010858488C,9010858488,667 ART,5667AT,T,DC,LE,53,0,53,T_DC,53,N,N
9010858489C,9010858489,667 ART,5667AT,T,DC,LE,53,0,53,T_DC,53,N,N
9010858907C,9010858907,667 ART,5667AT,T,DC,LE,53,0,53,T_DC,53,N,N
9010859280C,9010859280,667 ART,5667AT,A,,,22,0,22,unchanged,22,N,N
9010868984C,9010868984,667 ART,5667AT,T,LP,,54,0,54,unchanged,54,N,N
9010872526C,9010872526,667 ART,5667AT,T,DC,,53,0,53,unchanged,53,N,N
9010873288C,9010873288,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010874801C,9010874801,667 ART,5667AT,T,DC,LE,53,0,53,T_DC,53,N,N
9010877466C,9010877466,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010877467C,9010877467,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010878316C,9010878316,667 ART,5667AT,A,,,22,0,22,unchanged,22,N,N
9010880950C,9010880950,667 ART,5667AT,A,RS,,22,0,22,unchanged,22,N,N
9010880951C,9010880951,667 ART,5667AT,A,,,22,0,22,unchanged,22,N,N
9010882195C,9010882195,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010885383C,9010885383,667 ART,5667AT,T,DC,LE,53,0,53,T_DC,53,N,N
9010887770C,9010887770,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010889547C,9010889547,667 ART,5667AT,T,DC,LE,53,0,53,T_DC,53,N,N
9010895675C,9010895675,667 ART,5667AT,T,DC,LE,53,0,53,T_DC,53,N,N
9010899163C,9010899163,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010914378C,9010914378,667 ART,5667AT,T,LP,,54,0,54,unchanged,54,N,N
9010915620C,9010915620,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010917601C,9010917601,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010917605C,9010917605,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010921853C,9010921853,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010924487C,9010924487,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010924488C,9010924488,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010926226C,9010926226,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010926346C,9010926346,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010926349C,9010926349,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010927885C,9010927885,667 ART,5667AT,T,DC,LE,53,0,53,T_DC,53,N,N
9010932886C,9010932886,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010956610C,9010956610,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010960586C,9010960586,667 ART,5667AT,T,LP,,54,0,54,unchanged,54,N,N
9010960590C,9010960590,667 ART,5667AT,T,DC,,53,0,53,unchanged,53,N,N
9010968808C,9010968808,667 ART,5667AT,T,DC,,53,0,53,unchanged,53,N,N
9010968811C,9010968811,667 ART,5667AT,T,DC,LE,53,0,53,T_DC,53,N,N
9010968813C,9010968813,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010968814C,9010968814,667 ART,5667AT,T,DC,LE,53,0,53,T_DC,53,N,N
9010968815C,9010968815,667 ART,5667AT,T,DC,LE,53,0,53,T_DC,53,N,N
9010968816C,9010968816,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010968821C,9010968821,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010975712C,9010975712,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010987464C,9010987464,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010988454C,9010988454,667 ART,5667AT,T,DC,LE,53,0,53,T_DC,53,N,N
9010988538C,9010988538,667 ART,5667AT,A,,,22,0,22,unchanged,22,N,N
9010993201C,9010993201,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9010999170C,9010999170,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9011001742C,9011001742,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9011006781C,9011006781,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9011011155C,9011011155,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9011018697C,9011018697,667 ART,5667AT,T,CV,LE,90,0,90,T_CV,90,N,N
9011029895C,9011029895,667 ART,5667AT,T,LP,,54,0,54,unchanged,54,N,N
9011056407C,9011056407,667 ART,5667AT,T,DC,LE,53,0,53,T_DC,53,N,N
9011073328C,9011073328,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9011076218C,9011076218,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9011076219C,9011076219,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9011080169C,9011080169,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9011081207C,9011081207,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9011084240C,9011084240,667 ART,5667AT,A,RS,,22,0,22,unchanged,22,N,N
9011085981C,9011085981,667 ART,5667AT,T,LP,LE,54,0,54,T_LP,54,N,N
9011086069C,9011086069,667 ART,5667AT,T,DC,,53,0,53,unchanged,53,N,N
9011093883C,9011093883,667 ART,5667AT,A,RS,,22,0,22,unchanged,22,N,N
9011181920C,9011181920,667 ART,5667AT,T,LP,,54,0,54,unchanged,54,N,N
9010916282C,9010916282,667 ART CR,57ATCR,T,LP,LE,54,0,54,T_LP,54,N,N
