lifepro_coverage_id,lifepro_description,lifepro_form,crosswalk_ql_plan_code,crosswalk_ql_form,master_crosswalk_plan_map,pcomp_match,rulebook_source_fields,output_plan,output_form,output_descr,plan_transform_method,quikridr_mplan_dependency_count,lineage_path,lineage_integrity
0823 960PO,Waiver of Premium,0823,90POWP,0823 960PO,90POWP,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,90POWP,0823,WAIVER OF PREMIUM,QL_CROSSWALK,10,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
0823 960SP,Waiver of Premium - Spouse,0823,960SWP,0823 960SP,960SWP,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,960SWP,0823,WAIVER OF PREMIUM - SPOUSE,QL_CROSSWALK,2,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
0824 P DIS,& Payor Disability Rider,0824,94PDIS,0824 P DIS,,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,0824 P DIS,0824,& PAYOR DISABILITY RIDER,PASSTHROUGH,2,LifePRO quikplan_source -> Policy Form Crosswalk -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
0824 P DTH,Payor Death,0824,90PDTH,0824 P DTH,90PDTH,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,90PDTH,0824,PAYOR DEATH,QL_CROSSWALK,2,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
10827 CSI3,CSI Life $3000,10827,17CSI3,10827 CSI3,17CSI3,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,17CSI3,10827,CSI LIFE $3000,QL_CROSSWALK,7,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
10827 CSI5,CSI Life $5000,10827,17CSI5,10827 CSI5,17CSI5,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,17CSI5,10827,CSI LIFE $5000,QL_CROSSWALK,18,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
10827 CSI7,CSI Life $7500,10827,17CSI7,10827 CSI7,17CSI7,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,17CSI7,10827,CSI LIFE $7500,QL_CROSSWALK,10,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
10827 MN5K,CSI Life MN $5000,10827,1CSIMN,10827 MN5K,,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,10827 MN5K,10827,CSI LIFE MN $5000,PASSTHROUGH,6,LifePRO quikplan_source -> Policy Form Crosswalk -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
1576 658,Disability Waiver of Premium Rider,1576,976658,1576 658,976658,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,976658,1576,DISABILITY WAIVER OF PREMIUM RIDER,QL_CROSSWALK,108,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
1576 659,Disability Waiver of Premium Rider,1576,976659,1576 659,976659,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,976659,1576,DISABILITY WAIVER OF PREMIUM RIDER,QL_CROSSWALK,206,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
1577 ADB,Accidental Death Benefit Rider,1577,977ADB,1577 ADB,977ADB,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,977ADB,1577,ACCIDENTAL DEATH BENEFIT RIDER,QL_CROSSWALK,114,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
1578 CTR,Dependent Child Term Rider,1578,578CTR,1578 CTR,578CTR,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,578CTR,1578,DEPENDENT CHILD TERM RIDER,QL_CROSSWALK,4,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
1578 FTR,FAMILY TERM RIDER,1578,778FTR,1578 FTR,778FTR,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,778FTR,1578,FAMILY TERM RIDER,QL_CROSSWALK,32,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
1578 SPSPU,Paid Up Spouse Term Rider,1578,578STR,1578 SPSPU,,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,1578 SPSPU,1578,PAID UP SPOUSE TERM RIDER,PASSTHROUGH,8,LifePRO quikplan_source -> Policy Form Crosswalk -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
1578CTR WP,1578 CTR Waiver of Premium,NA,9CTRWP,1578CTR WP,9CTRWP,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,9CTRWP,,1578 CTR WAIVER OF PREMIUM,QL_CROSSWALK,3,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
1578FTR WP,1578 FTR Waiver of Premium,NA,9FTRWP,1578FTR WP,9FTRWP,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,9FTRWP,,1578 FTR WAIVER OF PREMIUM,QL_CROSSWALK,10,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
1579 GPO,Guaranteed Purchase Option Rider,1579,9GPO79,1579 GPO,,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,1579 GPO,1579,GUARANTEED PURCHASE OPTION RIDER,PASSTHROUGH,2,LifePRO quikplan_source -> Policy Form Crosswalk -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
1580 JPO,Juvenile Future Purchase Option Rider,1580,980JPO,1580 JPO,980JPO,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,980JPO,1580,JUVENILE FUTURE PURCHASE OPTION RIDER,QL_CROSSWALK,61,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
1595,Disability Waiver of Premium,1596,9595WP,1595,9595WP,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,9595WP,1596,DISABILITY WAIVER OF PREMIUM,QL_CROSSWALK,38,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
1596,Accidental Death Benefit Rider,1596,996ADB,1596,996ADB,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,996ADB,1596,ACCIDENTAL DEATH BENEFIT RIDER,QL_CROSSWALK,2,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
1596 667,Accidental Death Benefit Rider,1596,967ADB,1596 667,,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,1596 667,1596,ACCIDENTAL DEATH BENEFIT RIDER,PASSTHROUGH,16,LifePRO quikplan_source -> Policy Form Crosswalk -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
1596 L01,Accidental Death Benefit Rider,1596,901ADB,1596 L01,901ADB,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,901ADB,1596,ACCIDENTAL DEATH BENEFIT RIDER,QL_CROSSWALK,11,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
619 CH PU,Decr Term Paid Up for Child,619,719CTR,619 CH PU,,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,619 CH PU,619,DECR TERM PAID UP FOR CHILD,PASSTHROUGH,4,LifePRO quikplan_source -> Policy Form Crosswalk -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
619 DT,Decreasing Term,619,7619DT,619 DT,7619DT,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,7619DT,619,DECREASING TERM,QL_CROSSWALK,16,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
619 DT CH,Child Decreasing Term,619,719CDT,619 DT CH,719CDT,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,719CDT,619,CHILD DECREASING TERM,QL_CROSSWALK,11,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
619 DT SP,Spouse Decreasing Term,619,719SDT,619 DT SP,719SDT,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,719SDT,619,SPOUSE DECREASING TERM,QL_CROSSWALK,10,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
619 SPS PU,Decreasing Term Paid Up for Spouse,619,7619PU,619 SPS PU,7619PU,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,7619PU,619,DECREASING TERM PAID UP FOR SPOUSE,QL_CROSSWALK,2,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
621 END85,Endowment at Age 85,620,221END,621 END85,221END,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,221END,620,ENDOWMENT AT AGE 85,QL_CROSSWALK,13,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
621 PUA,Paid Up Adds - Endowment at Age 85,620,121PUA,621 PUA,,N,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,621 PUA,620,PAID UP ADDS - ENDOWMENT AT AGE 85,PASSTHROUGH,2,LifePRO quikplan_source -> Policy Form Crosswalk -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
622 END85,20 Pay Endowment at Age 85,620,222END,622 END85,222END,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,222END,620,20 PAY ENDOWMENT AT AGE 85,QL_CROSSWALK,3,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
630 JEB,Juvenile Estate Builder Life Pd Up at 65,620,130JEB,630 JEB,,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,630 JEB,620,JUVENILE ESTATE BUILDER LIFE PD UP AT 65,PASSTHROUGH,2,LifePRO quikplan_source -> Policy Form Crosswalk -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
646 ART,Annual Renewable Term,667,5646AT,646 ART,,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,646 ART,667,ANNUAL RENEWABLE TERM,PASSTHROUGH,2,LifePRO quikplan_source -> Policy Form Crosswalk -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
647 FLP,Family Life Decreasing Term,647,7647FP,647 FLP,7647FP,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,7647FP,647,FAMILY LIFE DECREASING TERM,QL_CROSSWALK,1,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
647 FLP CH,Child - Family Life Decreasing Term,647,7647CH,647 FLP CH,7647CH,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,7647CH,647,CHILD - FAMILY LIFE DECREASING TERM,QL_CROSSWALK,1,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
647 FLP SP,Spouse - Family Life Decreasing Term,647,7647SP,647 FLP SP,7647SP,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,7647SP,647,SPOUSE - FAMILY LIFE DECREASING TERM,QL_CROSSWALK,1,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
658 CEN I,Interest-Sensitive Whole Life,658,1658C1,658 CEN I,1658C1,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,1658C1,658,INTEREST-SENSITIVE WHOLE LIFE,QL_CROSSWALK,438,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
658 CEN SD,Interest-Sensitive Whole Life,658,1658CS,658 CEN SD,1658CS,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,1658CS,658,INTEREST-SENSITIVE WHOLE LIFE,QL_CROSSWALK,13,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
659 CEN II,Interest-Sensitive Whole Life,659,1659C2,659 CEN II,1659C2,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,1659C2,659,INTEREST-SENSITIVE WHOLE LIFE,QL_CROSSWALK,3422,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
659 CEN SD,Interest-Sensitive Whole Life,659,1659CS,659 CEN SD,1659CS,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,1659CS,659,INTEREST-SENSITIVE WHOLE LIFE,QL_CROSSWALK,15,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
659 CEN SR,Interest-Sensitive Whole Life,659,1659CR,659 CEN SR,1659CR,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,1659CR,659,INTEREST-SENSITIVE WHOLE LIFE,QL_CROSSWALK,645,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
659 SR GD,Interest-Sensitive Whole Life,659,1659SR,659 SR GD,1659SR,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,1659SR,659,INTEREST-SENSITIVE WHOLE LIFE,QL_CROSSWALK,13,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
665 PUA,Paid Up Adds - Statesman Mod Endow at 95,665,265PUA,665 PUA,265PUA,N,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,265PUA,665,PAID UP ADDS - STATESMAN MOD ENDOW AT 95,QL_CROSSWALK,1,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
665 STME95,Statesman Mod Endow at 95,665,2665ST,665 STME95,2665ST,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,2665ST,665,STATESMAN MOD ENDOW AT 95,QL_CROSSWALK,6,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
666 WL,Multiple Insureds Whole Life,666,1666WL,666 WL,1666WL,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,1666WL,666,MULTIPLE INSUREDS WHOLE LIFE,QL_CROSSWALK,13,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
667 ART,Annual Renewable Term,667,5667AT,667 ART,5667AT,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,5667AT,667,ANNUAL RENEWABLE TERM,QL_CROSSWALK,198,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
667 ART CR,ART Preferred Credit Life,667,57ATCR,667 ART CR,,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,667 ART CR,667,ART PREFERRED CREDIT LIFE,PASSTHROUGH,2,LifePRO quikplan_source -> Policy Form Crosswalk -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
668 SPWL,Single Premium Whole Life,668,1668SP,668 SPWL,1668SP,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,1668SP,668,SINGLE PREMIUM WHOLE LIFE,QL_CROSSWALK,160,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
669 SR GD,Interest-Sensitive Whole Life,659,1669SR,669 SR GD,,N,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,669 SR GD,659,INTEREST-SENSITIVE WHOLE LIFE,PASSTHROUGH,4,LifePRO quikplan_source -> Policy Form Crosswalk -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
670 GL85-8,Life Paid Up at 85/88,960,170858,670 GL85-8,170858,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,170858,960,LIFE PAID UP AT 85/88,QL_CROSSWALK,294,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
670 GL8588,Life Paid Up at 85/88,960,170588,670 GL8588,170588,N,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,170588,960,LIFE PAID UP AT 85/88,QL_CROSSWALK,3,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
670 GL85-M,Life Paid Up at 85/88,960,17085M,670 GL85-M,17085M,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,17085M,960,LIFE PAID UP AT 85/88,QL_CROSSWALK,212,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
670 PUA,Paid Up Adds - Life Paid Up at 85/88,960,170PUA,670 PUA,170PUA,N,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,170PUA,960,PAID UP ADDS - LIFE PAID UP AT 85/88,QL_CROSSWALK,417,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
679 CEN SD,Interest-Sensitive Whole Life,679,1679CS,679 CEN SD,1679CS,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,1679CS,679,INTEREST-SENSITIVE WHOLE LIFE,QL_CROSSWALK,2,LifePRO quikplan_source -> Policy Form Crosswalk -> Master_Crosswalk (legacy plan map) -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
686S 30MRG,Decreasing Term Life,686,7686S3,686S 30MRG,,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,686S 30MRG,686,DECREASING TERM LIFE,PASSTHROUGH,6,LifePRO quikplan_source -> Policy Form Crosswalk -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
687J 30MRG,Joint Decreasing Term Life,687,7687J3,687J 30MRG,,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,687J 30MRG,687,JOINT DECREASING TERM LIFE,PASSTHROUGH,4,LifePRO quikplan_source -> Policy Form Crosswalk -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
690 DT 65,Dec Term to 65 Convertible,690,7690DT,690 DT 65,,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,690 DT 65,690,DEC TERM TO 65 CONVERTIBLE,PASSTHROUGH,2,LifePRO quikplan_source -> Policy Form Crosswalk -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
8034 30MRG,Disability Waiver of Premium 30MRG,8034,934SWP,8034 30MRG,,Y,COVERAGE_ID->PLAN; POLICY_FORM_NUM->FORM; DESCRIPTION->DESCR/PLANNAME,8034 30MRG,8034,DISABILITY WAIVER OF PREMIUM 30MRG,PASSTHROUGH,4,LifePRO quikplan_source -> Policy Form Crosswalk -> Sync_Rulebook_quikplan -> output/quikplan.csv,OK
