output_plan,lifepro_coverage_id,target_field,current_output_value,crosswalk_authoritative_value,lifepro_source_value,current_logic_authority,recommended_authority,alignment_status,conflict_flag,governance_action
9085WP,0823 96085,PLANNAME,WAIVER OF PREMIUM - LPU AT 85/88,Waiver of Premium - 960 LP85-M,Waiver of Premium - LPU at 85/88,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
0823 960CH,0823 960CH,PLAN,0823 960CH,960CWP,0823 960CH,Master_Crosswalk New_Value / COVERAGE_ID direct,LifePRO COVERAGE_ID (legacy passthrough — requires remediation),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
0823 960CH,0823 960CH,FORM,0823,0823 960CH,0823,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
0823 960CH,0823 960CH,DESCR,WAIVER OF PREMIUM - CHILD,Waiver of Premium - Child,Waiver of Premium - Child,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
0823 960CH,0823 960CH,PLANNAME,WAIVER OF PREMIUM - CHILD,Waiver of Premium - Child,Waiver of Premium - Child,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,ALIGNED,NONE,CONFIRMED
9065WP,0823 960LP,PLAN,9065WP,,0823 960LP,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
9065WP,0823 960LP,FORM,0823,0823 960LP,0823,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
9065WP,0823 960LP,DESCR,WAIVER OF PREMIUM,Waiver of Premium,Waiver of Premium,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
9065WP,0823 960LP,PLANNAME,WAIVER OF PREMIUM,Waiver of Premium - 960 LP65,Waiver of Premium,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
90OLWP,0823 960OL,PLAN,90OLWP,,0823 960OL,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
90OLWP,0823 960OL,FORM,0823,0823 960OL,0823,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
90OLWP,0823 960OL,DESCR,WAIVER OF PREMIUM,Waiver of Premium,Waiver of Premium,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
90OLWP,0823 960OL,PLANNAME,WAIVER OF PREMIUM,Waiver of Premium - 960 OL,Waiver of Premium,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
90POWP,0823 960PO,PLAN,90POWP,,0823 960PO,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
90POWP,0823 960PO,FORM,0823,0823 960PO,0823,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
90POWP,0823 960PO,DESCR,WAIVER OF PREMIUM,Waiver of Premium,Waiver of Premium,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
90POWP,0823 960PO,PLANNAME,WAIVER OF PREMIUM,Waiver of Premium - 960 PO,Waiver of Premium,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
960SWP,0823 960SP,PLAN,960SWP,,0823 960SP,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
960SWP,0823 960SP,FORM,0823,0823 960SP,0823,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
960SWP,0823 960SP,DESCR,WAIVER OF PREMIUM - SPOUSE,Waiver of Premium - Spouse,Waiver of Premium - Spouse,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
960SWP,0823 960SP,PLANNAME,WAIVER OF PREMIUM - SPOUSE,"Spouse Waiv of Prem - 960 LP85-M, 960 PO",Waiver of Premium - Spouse,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
0824 P DIS,0824 P DIS,PLAN,0824 P DIS,94PDIS,0824 P DIS,Master_Crosswalk New_Value / COVERAGE_ID direct,LifePRO COVERAGE_ID (legacy passthrough — requires remediation),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
0824 P DIS,0824 P DIS,FORM,0824,0824 P DIS,0824,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
0824 P DIS,0824 P DIS,DESCR,& PAYOR DISABILITY RIDER,& Payor Disability Rider,& Payor Disability Rider,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
0824 P DIS,0824 P DIS,PLANNAME,& PAYOR DISABILITY RIDER,& Payor Disability Rider,& Payor Disability Rider,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,ALIGNED,NONE,CONFIRMED
90PDTH,0824 P DTH,PLAN,90PDTH,,0824 P DTH,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
90PDTH,0824 P DTH,FORM,0824,0824 P DTH,0824,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
90PDTH,0824 P DTH,DESCR,PAYOR DEATH,Payor Death,Payor Death,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
90PDTH,0824 P DTH,PLANNAME,PAYOR DEATH,Payor Death - 960 OL,Payor Death,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
17CSI3,10827 CSI3,PLAN,17CSI3,,10827 CSI3,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
17CSI3,10827 CSI3,FORM,10827,10827 CSI3,10827,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
17CSI3,10827 CSI3,DESCR,CSI LIFE $3000,CSI Life $3000,CSI Life $3000,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
17CSI3,10827 CSI3,PLANNAME,CSI LIFE $3000,Graded Death Benefit WL - 100% after Yr2,CSI Life $3000,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
17CSI5,10827 CSI5,PLAN,17CSI5,,10827 CSI5,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
17CSI5,10827 CSI5,FORM,10827,10827 CSI5,10827,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
17CSI5,10827 CSI5,DESCR,CSI LIFE $5000,CSI Life $5000,CSI Life $5000,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
17CSI5,10827 CSI5,PLANNAME,CSI LIFE $5000,Graded Death Benefit WL - 100% after Yr2,CSI Life $5000,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
17CSI7,10827 CSI7,PLAN,17CSI7,,10827 CSI7,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
17CSI7,10827 CSI7,FORM,10827,10827 CSI7,10827,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
17CSI7,10827 CSI7,DESCR,CSI LIFE $7500,CSI Life $7500,CSI Life $7500,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
17CSI7,10827 CSI7,PLANNAME,CSI LIFE $7500,Graded Death Benefit WL - 100% after Yr2,CSI Life $7500,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
10827 MN5K,10827 MN5K,PLAN,10827 MN5K,1CSIMN,10827 MN5K,Master_Crosswalk New_Value / COVERAGE_ID direct,LifePRO COVERAGE_ID (legacy passthrough — requires remediation),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
10827 MN5K,10827 MN5K,FORM,10827,10827 MN5K,10827,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
10827 MN5K,10827 MN5K,DESCR,CSI LIFE MN $5000,CSI Life MN $5000,CSI Life MN $5000,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
10827 MN5K,10827 MN5K,PLANNAME,CSI LIFE MN $5000,CSI Life MN $5000,CSI Life MN $5000,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,ALIGNED,NONE,CONFIRMED
976658,1576 658,PLAN,976658,,1576 658,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
976658,1576 658,FORM,1576,1576 658,1576,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
976658,1576 658,DESCR,DISABILITY WAIVER OF PREMIUM RIDER,Disability Waiver of Premium Rider,Disability Waiver of Premium Rider,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
976658,1576 658,PLANNAME,DISABILITY WAIVER OF PREMIUM RIDER,Disability Waiver of Prem - 658 CEN I,Disability Waiver of Premium Rider,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
976659,1576 659,PLAN,976659,,1576 659,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
976659,1576 659,FORM,1576,1576 659,1576,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
976659,1576 659,DESCR,DISABILITY WAIVER OF PREMIUM RIDER,Disability Waiver of Premium Rider,Disability Waiver of Premium Rider,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
976659,1576 659,PLANNAME,DISABILITY WAIVER OF PREMIUM RIDER,Disability Waiver of Prem - 659 CEN II,Disability Waiver of Premium Rider,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
977ADB,1577 ADB,PLAN,977ADB,,1577 ADB,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
977ADB,1577 ADB,FORM,1577,1577 ADB,1577,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
977ADB,1577 ADB,DESCR,ACCIDENTAL DEATH BENEFIT RIDER,Accidental Death Benefit Rider,Accidental Death Benefit Rider,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
977ADB,1577 ADB,PLANNAME,ACCIDENTAL DEATH BENEFIT RIDER,"Accidental DB - 658 CEN I, 659 CEN II",Accidental Death Benefit Rider,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
578CTR,1578 CTR,PLAN,578CTR,,1578 CTR,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
578CTR,1578 CTR,FORM,1578,1578 CTR,1578,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
578CTR,1578 CTR,DESCR,DEPENDENT CHILD TERM RIDER,Dependent Child Term Rider,Dependent Child Term Rider,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
578CTR,1578 CTR,PLANNAME,DEPENDENT CHILD TERM RIDER,Dependent CTR - 658 CEN I,Dependent Child Term Rider,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
778FTR,1578 FTR,PLAN,778FTR,,1578 FTR,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
778FTR,1578 FTR,FORM,1578,1578 FTR,1578,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
778FTR,1578 FTR,DESCR,FAMILY TERM RIDER,FAMILY TERM RIDER,FAMILY TERM RIDER,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
778FTR,1578 FTR,PLANNAME,FAMILY TERM RIDER,"FTR - 658 CEN I, 658 CEN SD, 659 CEN II",FAMILY TERM RIDER,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
1578 SPSPU,1578 SPSPU,PLAN,1578 SPSPU,578STR,1578 SPSPU,Master_Crosswalk New_Value / COVERAGE_ID direct,LifePRO COVERAGE_ID (legacy passthrough — requires remediation),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
1578 SPSPU,1578 SPSPU,FORM,1578,1578 SPSPU,1578,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
1578 SPSPU,1578 SPSPU,DESCR,PAID UP SPOUSE TERM RIDER,Paid Up Spouse Term Rider,Paid Up Spouse Term Rider,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
1578 SPSPU,1578 SPSPU,PLANNAME,PAID UP SPOUSE TERM RIDER,Paid Up Spouse Term Rider,Paid Up Spouse Term Rider,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,ALIGNED,NONE,CONFIRMED
9CTRWP,1578CTR WP,PLAN,9CTRWP,,1578CTR WP,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
9CTRWP,1578CTR WP,FORM,,1578CTR WP,NA,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
9CTRWP,1578CTR WP,DESCR,1578 CTR WAIVER OF PREMIUM,1578 CTR Waiver of Premium,1578 CTR Waiver of Premium,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
9CTRWP,1578CTR WP,PLANNAME,1578 CTR WAIVER OF PREMIUM,1578 CTR WAIVER OF PREMIUM,1578 CTR Waiver of Premium,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,ALIGNED,NONE,CONFIRMED
9FTRWP,1578FTR WP,PLAN,9FTRWP,,1578FTR WP,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
9FTRWP,1578FTR WP,FORM,,1578FTR WP,NA,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
9FTRWP,1578FTR WP,DESCR,1578 FTR WAIVER OF PREMIUM,1578 FTR Waiver of Premium,1578 FTR Waiver of Premium,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
9FTRWP,1578FTR WP,PLANNAME,1578 FTR WAIVER OF PREMIUM,"FTR Waiv of Prem - 658 CEN I, 659 CEN II",1578 FTR Waiver of Premium,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
1579 GPO,1579 GPO,PLAN,1579 GPO,9GPO79,1579 GPO,Master_Crosswalk New_Value / COVERAGE_ID direct,LifePRO COVERAGE_ID (legacy passthrough — requires remediation),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
1579 GPO,1579 GPO,FORM,1579,1579 GPO,1579,LifePRO POLICY_FORM_NUM via rulebook,Policy Form Crosswalk QL Form Number (override LifePRO form),SOURCE_ALIGNED,CROSSWALK_DIVERGENT,BUSINESS_REVIEW
1579 GPO,1579 GPO,DESCR,GUARANTEED PURCHASE OPTION RIDER,Guaranteed Purchase Option Rider,Guaranteed Purchase Option Rider,LifePRO DESCRIPTION via rulebook,Policy Form Crosswalk QL Plan Description,ALIGNED,NONE,CONFIRMED
1579 GPO,1579 GPO,PLANNAME,GUARANTEED PURCHASE OPTION RIDER,Guaranteed Purchase Option Rider,Guaranteed Purchase Option Rider,LifePRO DESCRIPTION duplicated as PLANNAME,Policy Form Crosswalk QL Friendly Name,ALIGNED,NONE,CONFIRMED
980JPO,1580 JPO,PLAN,980JPO,,1580 JPO,Master_Crosswalk New_Value / COVERAGE_ID direct,Policy Form Crosswalk QL Plan Code,CONFLICT,CROSSWALK_AND_SOURCE_DIVERGENT,BUSINESS_REVIEW
