lifepro_coverage_id,description,policy_form_num,exhibit_code,exhibit_classification,plan_type_lifepro,max_issue_as_rider,pcomp_component_type,pcomp_component_classification,pcomp_component_count,recommended_qla_domain,current_output_plan,current_output_form,quikridr_reference_count,quikridr_mphase1_rows,quikridr_mphase_gt1_rows,semantic_collision_flag,review_priority,business_review_notes
1596,Accidental Death Benefit Rider,1596,SUP,SUPPLEMENTAL_COVERAGE,L,0,AD,RIDER_ACCIDENTAL_DEATH,1,QUIKRIDR_RIDER,977ADB,1577,114,0,114,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
1596 667,Accidental Death Benefit Rider,1596,SUP,SUPPLEMENTAL_COVERAGE,L,0,AD,RIDER_ACCIDENTAL_DEATH,1,QUIKRIDR_RIDER,977ADB,1577,122,0,122,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
1596 L01,Accidental Death Benefit Rider,1596,SUP,SUPPLEMENTAL_COVERAGE,L,0,AD,RIDER_ACCIDENTAL_DEATH,1,QUIKRIDR_RIDER,977ADB,1577,114,0,114,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
619 CH PU,Decr Term Paid Up for Child,619,OTD,OTHER_TERM,L,0,BA,BASE_PLAN_CANDIDATE,1,QUIKPLAN_BASE,619 CH PU,619,2,2,0,PLAN_ID_NOT_QL_CODE_TRANSFORMED,HIGH,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
619 DT,Decreasing Term,619,TPD,TERM_PAID,L,0,BA,BASE_PLAN_CANDIDATE,1,QUIKPLAN_BASE,7619DT,619,16,16,0,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
619 DT CH,Child Decreasing Term,619,OTD,OTHER_TERM,L,0,CR,RIDER_CHILD,1,QUIKRIDR_RIDER,719CDT,619,11,0,11,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
619 DT SP,Spouse Decreasing Term,619,OTD,OTHER_TERM,L,0,OR,RIDER_OPTIONAL,1,QUIKRIDR_RIDER,719SDT,619,10,0,10,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
619 SPS PU,Decreasing Term Paid Up for Spouse,619,OTD,OTHER_TERM,L,0,BA,BASE_PLAN_CANDIDATE,1,QUIKPLAN_BASE,7619PU,619,2,2,0,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
621 END85,Endowment at Age 85,620,END,ENDOWMENT_BASE,L,0,BA,BASE_PLAN_CANDIDATE,1,QUIKPLAN_BASE,221END,620,13,13,0,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
621 PUA,Paid Up Adds - Endowment at Age 85,620,END,ENDOWMENT_BASE,L,0,,UNKNOWN_COMPONENT,0,QUIKPLAN_BASE,621 PUA,620,1,0,1,BASE_CLASSIFICATION_BUT_RIDER_PHASES_PRESENT,HIGH,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
622 END85,20 Pay Endowment at Age 85,620,END,ENDOWMENT_BASE,L,0,BA,BASE_PLAN_CANDIDATE,1,QUIKPLAN_BASE,222END,620,3,3,0,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
630 JEB,Juvenile Estate Builder Life Pd Up at 65,620,WHO,WHOLE_LIFE_BASE,L,0,BA,BASE_PLAN_CANDIDATE,1,QUIKPLAN_BASE,630 JEB,620,1,1,0,PLAN_ID_NOT_QL_CODE_TRANSFORMED,HIGH,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
646 ART,Annual Renewable Term,667,TPO,TERM_PAID_UP,L,0,BA,BASE_PLAN_CANDIDATE,1,QUIKPLAN_BASE,646 ART,667,1,1,0,PLAN_ID_NOT_QL_CODE_TRANSFORMED,HIGH,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
647 FLP,Family Life Decreasing Term,647,TPD,TERM_PAID,L,0,BA,BASE_PLAN_CANDIDATE,1,QUIKPLAN_BASE,7647FP,647,1,1,0,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
647 FLP CH,Child - Family Life Decreasing Term,647,OTD,OTHER_TERM,L,0,CR,RIDER_CHILD,1,QUIKRIDR_RIDER,7647CH,647,1,0,1,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
647 FLP SP,Spouse - Family Life Decreasing Term,647,OTD,OTHER_TERM,L,0,OR,RIDER_OPTIONAL,1,QUIKRIDR_RIDER,7647SP,647,1,0,1,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
658 CEN I,Interest-Sensitive Whole Life,658,WHO,WHOLE_LIFE_BASE,U,0,BF,RIDER_BENEFIT_FEATURE,1,QUIKPLAN_BASE,1658C1,658,438,435,3,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
658 CEN SD,Interest-Sensitive Whole Life,658,WHO,WHOLE_LIFE_BASE,U,0,BF,RIDER_BENEFIT_FEATURE,1,QUIKPLAN_BASE,1658C1,658,438,435,3,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
659 CEN II,Interest-Sensitive Whole Life,659,WHO,WHOLE_LIFE_BASE,U,0,BF,RIDER_BENEFIT_FEATURE,1,QUIKPLAN_BASE,1658C1,658,438,435,3,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
659 CEN SD,Interest-Sensitive Whole Life,659,WHO,WHOLE_LIFE_BASE,U,0,BF,RIDER_BENEFIT_FEATURE,1,QUIKPLAN_BASE,1658C1,658,438,435,3,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
659 CEN SR,Interest-Sensitive Whole Life,659,WHO,WHOLE_LIFE_BASE,U,0,BF,RIDER_BENEFIT_FEATURE,1,QUIKPLAN_BASE,1658C1,658,438,435,3,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
659 SR GD,Interest-Sensitive Whole Life,659,WHO,WHOLE_LIFE_BASE,U,0,BF,RIDER_BENEFIT_FEATURE,1,QUIKPLAN_BASE,1658C1,658,438,435,3,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
665 PUA,Paid Up Adds - Statesman Mod Endow at 95,665,END,ENDOWMENT_BASE,L,0,,UNKNOWN_COMPONENT,0,QUIKPLAN_BASE,265PUA,665,1,0,1,BASE_CLASSIFICATION_BUT_RIDER_PHASES_PRESENT,HIGH,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
665 STME95,Statesman Mod Endow at 95,665,END,ENDOWMENT_BASE,L,0,BA,BASE_PLAN_CANDIDATE,1,QUIKPLAN_BASE,2665ST,665,6,5,1,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
666 WL,Multiple Insureds Whole Life,666,WHO,WHOLE_LIFE_BASE,L,0,BA,BASE_PLAN_CANDIDATE,1,QUIKPLAN_BASE,1666WL,666,13,13,0,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
667 ART,Annual Renewable Term,667,TPO,TERM_PAID_UP,L,0,BA,BASE_PLAN_CANDIDATE,1,QUIKPLAN_BASE,646 ART,667,1,1,0,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
667 ART CR,ART Preferred Credit Life,667,TPO,TERM_PAID_UP,L,0,BA,BASE_PLAN_CANDIDATE,1,QUIKPLAN_BASE,667 ART CR,667,1,1,0,PLAN_ID_NOT_QL_CODE_TRANSFORMED,HIGH,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
668 SPWL,Single Premium Whole Life,668,WHO,WHOLE_LIFE_BASE,U,0,BF,RIDER_BENEFIT_FEATURE,1,QUIKPLAN_BASE,1668SP,668,160,80,80,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
669 SR GD,Interest-Sensitive Whole Life,659,WHO,WHOLE_LIFE_BASE,U,0,,UNKNOWN_COMPONENT,0,QUIKPLAN_BASE,1658C1,658,440,437,3,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
670 GL85-8,Life Paid Up at 85/88,960,WHO,WHOLE_LIFE_BASE,L,0,BA,BASE_PLAN_CANDIDATE,1,QUIKPLAN_BASE,170858,960,294,283,11,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
670 GL8588,Life Paid Up at 85/88,960,WHO,WHOLE_LIFE_BASE,L,0,,UNKNOWN_COMPONENT,0,QUIKPLAN_BASE,170858,960,294,283,11,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
670 GL85-M,Life Paid Up at 85/88,960,WHO,WHOLE_LIFE_BASE,L,0,BA,BASE_PLAN_CANDIDATE,1,QUIKPLAN_BASE,170858,960,294,283,11,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
670 PUA,Paid Up Adds - Life Paid Up at 85/88,960,WHO,WHOLE_LIFE_BASE,L,0,,UNKNOWN_COMPONENT,0,QUIKPLAN_BASE,170PUA,960,417,0,417,BASE_CLASSIFICATION_BUT_RIDER_PHASES_PRESENT,HIGH,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
679 CEN SD,Interest-Sensitive Whole Life,679,WHO,WHOLE_LIFE_BASE,U,0,BF,RIDER_BENEFIT_FEATURE,1,QUIKPLAN_BASE,1658C1,658,438,435,3,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
686S 30MRG,Decreasing Term Life,686,TPD,TERM_PAID,L,0,BA,BASE_PLAN_CANDIDATE,1,QUIKPLAN_BASE,686S 30MRG,686,3,3,0,PLAN_ID_NOT_QL_CODE_TRANSFORMED,HIGH,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
687J 30MRG,Joint Decreasing Term Life,687,TPD,TERM_PAID,L,0,BA,BASE_PLAN_CANDIDATE,1,QUIKPLAN_BASE,687J 30MRG,687,2,2,0,PLAN_ID_NOT_QL_CODE_TRANSFORMED,HIGH,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
690 DT 65,Dec Term to 65 Convertible,690,TPD,TERM_PAID,L,0,BA,BASE_PLAN_CANDIDATE,1,QUIKPLAN_BASE,690 DT 65,690,1,1,0,PLAN_ID_NOT_QL_CODE_TRANSFORMED,HIGH,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
8034 30MRG,Disability Waiver of Premium 30MRG,8034,SUP,SUPPLEMENTAL_COVERAGE,L,0,WP,RIDER_WAIVER_PREMIUM,1,QUIKRIDR_RIDER,8034 30MRG,8034,2,0,2,PLAN_ID_NOT_QL_CODE_TRANSFORMED,HIGH,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
8034 J30MT,Disability Waiver of Premium Joint 30 MT,8034,SUP,SUPPLEMENTAL_COVERAGE,L,0,WP,RIDER_WAIVER_PREMIUM,1,QUIKRIDR_RIDER,8034 J30MT,8034,2,0,2,PLAN_ID_NOT_QL_CODE_TRANSFORMED,HIGH,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
8042 STR,Spouse Term Rider,8042,OTI,OTHER_TERM_ISSUE,L,0,FR,RIDER_FAMILY,2,QUIKRIDR_RIDER,542STR,8042,1,0,1,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
8042STR WP,8042 STR Waiver of Premium,NA,SUP,SUPPLEMENTAL_COVERAGE,L,0,WP,RIDER_WAIVER_PREMIUM,2,QUIKRIDR_RIDER,9STRWP,,1,0,1,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
8043 CTR,Dependent Child Term Rider,8043,OTI,OTHER_TERM_ISSUE,L,0,CR,RIDER_CHILD,2,QUIKRIDR_RIDER,578CTR,1578,4,0,4,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
8043CTR WP,8043 CTR WAIVER OF PREMIUM,NA,SUP,SUPPLEMENTAL_COVERAGE,L,0,WP,RIDER_WAIVER_PREMIUM,2,QUIKRIDR_RIDER,8043CTR WP,,6,0,6,PLAN_ID_NOT_QL_CODE_TRANSFORMED,HIGH,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
8046 JPO,Juvenile Future Purchase Option Rider,8046,SUP,SUPPLEMENTAL_COVERAGE,L,0,GI,RIDER_GUARANTEED_INSURABILITY,2,QUIKRIDR_RIDER,980JPO,1580,71,0,71,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
8115,Disability Waiver of Premium Rider,8115,SUP,SUPPLEMENTAL_COVERAGE,L,0,WP,RIDER_WAIVER_PREMIUM,1,QUIKRIDR_RIDER,976658,1576,108,0,108,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
8115 L01,Disability Waiver of Premium Rider,8115,SUP,SUPPLEMENTAL_COVERAGE,L,0,WP,RIDER_WAIVER_PREMIUM,1,QUIKRIDR_RIDER,976658,1576,108,0,108,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
826,Paid Up Spouse Term Rider,826,OTI,OTHER_TERM_ISSUE,L,0,OR,RIDER_OPTIONAL,5,QUIKRIDR_RIDER,1578 SPSPU,1578,4,4,0,RIDER_CLASSIFICATION_BUT_ONLY_MPHASE1_USAGE,HIGH,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
828,Child's Term Insurance,828,OTI,OTHER_TERM_ISSUE,L,0,CR,RIDER_CHILD,5,QUIKRIDR_RIDER,528CTR,828,7,0,7,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
8286 GI 1,Juvenile Future Purchase Option,8286,SUP,SUPPLEMENTAL_COVERAGE,L,0,,UNKNOWN_COMPONENT,0,SEMANTIC_REVIEW_SUPPLEMENTAL,986JPO,8286,4,0,4,NONE,MEDIUM,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
8286 GI 2+,Juvenile Future Purchase Option,8286,SUP,SUPPLEMENTAL_COVERAGE,L,0,,UNKNOWN_COMPONENT,0,SEMANTIC_REVIEW_SUPPLEMENTAL,986JPO,8286,4,0,4,NONE,MEDIUM,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
863,Monthly Income Rider,863,NPE,NON_PAR_ENDOWMENT,L,0,OR,RIDER_OPTIONAL,4,QUIKPLAN_BASE,A60MIR,863,2,0,2,BASE_CLASSIFICATION_BUT_RIDER_PHASES_PRESENT,HIGH,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
889 960,960 Guarantee Insurability Option,889,SUP,SUPPLEMENTAL_COVERAGE,L,0,GI,RIDER_GUARANTEED_INSURABILITY,1,QUIKRIDR_RIDER,960GIO,889,4,0,4,NONE,LOW,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
896 DAR,Deposit Annuity Rider,896,NPE,NON_PAR_ENDOWMENT,L,0,OR,RIDER_OPTIONAL,1,QUIKPLAN_BASE,A96DAR,896,4,0,4,BASE_CLASSIFICATION_BUT_RIDER_PHASES_PRESENT,HIGH,Confirm whether this LifePRO coverage belongs in QuikPlan (catalog) vs QuikRidr (issued rider) before any crosswalk integration.
