lifepro_coverage_id,planname_before,planname_after,friendly_name_crosswalk_authority
1580 JPO,JUVENILE FUTURE PURCHASE OPTION RIDER,"JUV FUT PURCH OP - 658 CEN I, 659 CEN II","JUV FUT PURCH OP - 658 CEN I, 659 CEN II"
1595,DISABILITY WAIVER OF PREMIUM,DISABILITY WAVIER OF PREM - 667 ART,DISABILITY WAVIER OF PREM - 667 ART
1596,ACCIDENTAL DEATH BENEFIT RIDER,"ACCIDENTAL DB - L05 10Y LT, L07 5Y LT","ACCIDENTAL DB - L05 10Y LT, L07 5Y LT"
1596 L01,ACCIDENTAL DEATH BENEFIT RIDER,ACCIDENTAL DB RIDER -  L01 10Y LT,ACCIDENTAL DB RIDER -  L01 10Y LT
619 DT,DECREASING TERM,DECREASING TERM TO AGE 65,DECREASING TERM TO AGE 65
619 DT CH,CHILD DECREASING TERM,CHILD DECREASING TERM - 619 DT,CHILD DECREASING TERM - 619 DT
619 DT SP,SPOUSE DECREASING TERM,SPOUSE DECREASING TERM - 619 DT,SPOUSE DECREASING TERM - 619 DT
619 SPS PU,DECREASING TERM PAID UP FOR SPOUSE,DECREASING TERM TO AGE 65,DECREASING TERM TO AGE 65
622 END85,20 PAY ENDOWMENT AT AGE 85,"ENDOWMENT AT AGE 85, PREM PAY FOR 20YR","ENDOWMENT AT AGE 85, PREM PAY FOR 20YR"
647 FLP,FAMILY LIFE DECREASING TERM,FAMILY LIFE DECR TERM - 647 FLP,FAMILY LIFE DECR TERM - 647 FLP
647 FLP CH,CHILD - FAMILY LIFE DECREASING TERM,CHILD FAMILY DECR TERM - 647 FLP,CHILD FAMILY DECR TERM - 647 FLP
647 FLP SP,SPOUSE - FAMILY LIFE DECREASING TERM,SPOUSE FAMILY LIFE DECR TERM - 647 FLP,SPOUSE FAMILY LIFE DECR TERM - 647 FLP
658 CEN I,INTEREST-SENSITIVE WHOLE LIFE,"CENSI-LIFE I: WL, CV, LOAN OPTIONS, GDB","CENSI-LIFE I: WL, CV, LOAN OPTIONS, GDB"
658 CEN SD,INTEREST-SENSITIVE WHOLE LIFE,"CENSI-LIFE I: WL, FIXED PREMIUM","CENSI-LIFE I: WL, FIXED PREMIUM"
659 CEN II,INTEREST-SENSITIVE WHOLE LIFE,"CENSI-LIFE II: WL, FIXED PREM OP, VAN","CENSI-LIFE II: WL, FIXED PREM OP, VAN"
659 CEN SD,INTEREST-SENSITIVE WHOLE LIFE,"CENSI-LIFE II: FIXED PREM OP, VAN, GDB","CENSI-LIFE II: FIXED PREM OP, VAN, GDB"
659 CEN SR,INTEREST-SENSITIVE WHOLE LIFE,"CENSI-LIFE II: WL, FIXED PREM OP, VAN","CENSI-LIFE II: WL, FIXED PREM OP, VAN"
659 SR GD,INTEREST-SENSITIVE WHOLE LIFE,"CENSI-LIFE II: VAN PREM, LOAN OP, GDB","CENSI-LIFE II: VAN PREM, LOAN OP, GDB"
665 PUA,PAID UP ADDS - STATESMAN MOD ENDOW AT 95,PUAS FOR 665 STME95,PUAS FOR 665 STME95
665 STME95,STATESMAN MOD ENDOW AT 95,MODIFIED PREMIUM ENDOWMENT AT AGE 95,MODIFIED PREMIUM ENDOWMENT AT AGE 95
666 WL,MULTIPLE INSUREDS WHOLE LIFE,"WL, GUAR RATES & CV, DB INCREASES","WL, GUAR RATES & CV, DB INCREASES"
670 GL85-8,LIFE PAID UP AT 85/88,LIFE POLICY - PAID UP M AGE 85 F AGE 88,LIFE POLICY - PAID UP M AGE 85 F AGE 88
670 GL8588,LIFE PAID UP AT 85/88,LIFE POLICY - PAID UP M AGE 85 F AGE 88,LIFE POLICY - PAID UP M AGE 85 F AGE 88
670 GL85-M,LIFE PAID UP AT 85/88,LIFE POLICY - PAID UP M AGE 85 F AGE 88,LIFE POLICY - PAID UP M AGE 85 F AGE 88
670 PUA,PAID UP ADDS - LIFE PAID UP AT 85/88,"PUAS FOR 670 GL 8588, 85-8, 85-M","PUAS FOR 670 GL 8588, 85-8, 85-M"
679 CEN SD,INTEREST-SENSITIVE WHOLE LIFE,"CHOICE PLUS: VAN PREM, EMPL SPON, LOANS","CHOICE PLUS: VAN PREM, EMPL SPON, LOANS"
8042 STR,SPOUSE TERM RIDER,SPOUSE TERM RIDER - 658 CEN I,SPOUSE TERM RIDER - 658 CEN I
8042STR WP,8042 STR WAIVER OF PREMIUM,STR WAIVER OF PREMIUM - 658 CEN I,STR WAIVER OF PREMIUM - 658 CEN I
8115,DISABILITY WAIVER OF PREMIUM RIDER,DISABILITY WAIVER OF PREMIUM - L05 10YLT,DISABILITY WAIVER OF PREMIUM - L05 10YLT
8115 L01,DISABILITY WAIVER OF PREMIUM RIDER,DISABILITY WAIVER OF PREMIUM - L01 10YLT,DISABILITY WAIVER OF PREMIUM - L01 10YLT
826,PAID UP SPOUSE TERM RIDER,"PAID UP STR - 960 LP85-M, 960 OL, 960 PO","PAID UP STR - 960 LP85-M, 960 OL, 960 PO"
828,CHILD'S TERM INSURANCE,"CTR FOR 960 LP65, 960 OL, 960 PO","CTR FOR 960 LP65, 960 OL, 960 PO"
8286 GI 1,JUVENILE FUTURE PURCHASE OPTION,JUV FUTURE PURCHASE OPTION - L17,JUV FUTURE PURCHASE OPTION - L17
8286 GI 2+,JUVENILE FUTURE PURCHASE OPTION,JUV FUTURE PURCHASE OPTION - L17,JUV FUTURE PURCHASE OPTION - L17
863,MONTHLY INCOME RIDER,"MONTHLY INCOME RIDER- 960 LP85-M, 960 PO","MONTHLY INCOME RIDER- 960 LP85-M, 960 PO"
889 960,960 GUARANTEE INSURABILITY OPTION,GUARANTEE INSURABILITY OPTION - 960 OL,GUARANTEE INSURABILITY OPTION - 960 OL
896 DAR,DEPOSIT ANNUITY RIDER,DEPOSIT ANNUITY RIDER - 665 STME95,DEPOSIT ANNUITY RIDER - 665 STME95
960 65 PUA,PAID UP ADDS - LIFE PAID UP AT AGE 65,PUAS FOR 960 LP65,PUAS FOR 960 LP65
960 LP PUA,PAID UP ADDS - LIFE PU AT AGE 85-88,PUA - 960 LP85-M,PUA - 960 LP85-M
960 LP85-M,LIFE PAID UP AT AGE 85-88,LIFE POLICY - PAID UP M AGE 85 F AGE 88,LIFE POLICY - PAID UP M AGE 85 F AGE 88
960 OL PUA,PAID UP ADDS - ORDINARY WHOLE LIFE,PUAS FOR 960 OL,PUAS FOR 960 OL
960 PO PUA,PAID UP ADDS - PREF ORDINARY WHOLE LIFE,PUAS FOR 960 PO,PUAS FOR 960 PO
980 PUA,PAID UP ADDS - ENDOWMENT AT AGE 65,PUAS FOR 980 END65,PUAS FOR 980 END65
991 PWL,PENSION WHOLE LIFE,ALL PENSION WHOLE LIFE IN RPU STATUS,ALL PENSION WHOLE LIFE IN RPU STATUS
DISCHO2475,HOME OFFICE DISCOUNT - 24.75%,"DISCNT 24.75% - L10 LP95, L10 OLD, 619DT","DISCNT 24.75% - L10 LP95, L10 OLD, 619DT"
DISCHO70,HOME OFFICE DISCOUNT - 70/13%,DISCOUNT 70/13% -  L01 10Y LT,DISCOUNT 70/13% -  L01 10Y LT
L10 ADB,L10 ACCIDENTAL DEATH BENEFIT,"ACC DB - L10 LP95, L10 OLD, L10 SR OLD","ACC DB - L10 LP95, L10 OLD, L10 SR OLD"
L10 CDT,L10 CHILD TERM RIDER,"CTR - L10 LP95, L10 OLD","CTR - L10 LP95, L10 OLD"
L10 GPO,L10 GPO OLD,"GPO OLD - L10 LP95, L10 OLD","GPO OLD - L10 LP95, L10 OLD"
L10 JPO,L10 JUVENILE PURCHASE OPTION - OLD,"JUV PURCH OPTION - L10 LP95, OLD, SR OLD","JUV PURCH OPTION - L10 LP95, OLD, SR OLD"
L10 LP95,L10 - LPU95     POST 1997 LIFE,WHOLE LIFE PAYABLE TO AGE 95 - JR,WHOLE LIFE PAYABLE TO AGE 95 - JR
L10 LP95SR,L10 - LPU95   POST 1997  SENIOR LIFE,WHOLE LIFE PAYABLE TO AGE 95 - SR,WHOLE LIFE PAYABLE TO AGE 95 - SR
L10 PRE97,L10 - LPU95       PRE 1997,L10 PRE97 VS L10 OLD,L10 PRE97 VS L10 OLD
L10 PREUNI,L10 - LPU95       PRE 1997,L10 PREUNI,L10 PREUNI
L10 SDT,L10 SPOUSE DECREASING TERM,L10 SPOUSE DECR TERM - L10 OLD,L10 SPOUSE DECR TERM - L10 OLD
L10 SR OLD,L10 - LPU95  SR.     PRE 1997,WHOLE LIFE PAYABLE TO AGE 95 - SR,WHOLE LIFE PAYABLE TO AGE 95 - SR
L10 WP,L10 WAIVER OF PREMIUM   POST 1997,WAIVER OF PREMIUM - L10 LP95,WAIVER OF PREMIUM - L10 LP95
L10 WP CDT,L10 CHILD WP,CHILD WAIVER OF PREM -  L10 LP95,CHILD WAIVER OF PREM -  L10 LP95
L10 WP OLD,WAIVER OF PREMIUM - L10,WAIVER OF PREMIUM - L10 OLD,WAIVER OF PREMIUM - L10 OLD
L14,WHOLE LIFE,SECURECHOICE LIFE: GRADED DB WL,SECURECHOICE LIFE: GRADED DB WL
L17 1,SINGLE PREMIUM WHOLE LIFE,SINGLE PREMIUM WL - L17,SINGLE PREMIUM WL - L17
L17 1 JPO,SINGLE PREMIUM WHOLE LIFE,JUVENILE PURCHASE OPTION - L17,JUVENILE PURCHASE OPTION - L17
L17 2+,SINGLE PREMIUM WHOLE LIFE,SINGLE PREMIUM WL - L17,SINGLE PREMIUM WL - L17
L17 2+ JPO,SINGLE PREMIUM WHOLE LIFE,MULTI JUVENILE PURCHASE OPTION - L17,MULTI JUVENILE PURCHASE OPTION - L17
SAL ADB,SAL ACCIDENTAL DEATH BENEFIT,ACCIDENTAL DEATH BENEFIT - SAL ML,ACCIDENTAL DEATH BENEFIT - SAL ML
SAL ML,MODIFIED LIFE,STANDARD AMERICAN MODIFIED LIFE,STANDARD AMERICAN MODIFIED LIFE
SAL MULTPL,MULTIPLE INSUREDS SAL MODIFIED LIFE,MULTIPLE INSUREDS - SAL ML,MULTIPLE INSUREDS - SAL ML
SAL OL,ORDINARY WHOLE LIFE,STANDARD AMERICAN ORDINARY LIFE,STANDARD AMERICAN ORDINARY LIFE
