scaffold_file,observed_value,governance_action,notes,mplan_code,quikridr_row_count,coverage_id,current_form,crosswalk_form,current_plan,lifepro_coverage_id,current_output_plan,crosswalk_ql_plan_code,Old_Value,New_Value,mapping_class
untranslated_values.csv,16,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,17,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,18,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,19,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,2,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,20,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,20 PAY ENDOWMENT AT AGE 85,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,200,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,20000,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,200000,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,21,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,22,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,23,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,24,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,25,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,25000,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,26.5000,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,3,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,30,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,3000,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,37,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,4,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,40,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,45,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,46,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,5,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,50,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,5000,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,50000,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,51.0000,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,55,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,59,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,60,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,6000,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,619,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,620,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,64,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,647,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,65,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,658,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,659,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,665,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,666,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,667,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,668,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,679,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,686,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,687,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,69,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,690,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,7,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,70,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,75,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,78,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,8,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,8034,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,8042,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,8042 STR WAIVER OF PREMIUM,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,8043,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,8043 CTR WAIVER OF PREMIUM,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,8046,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,8115,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,8139,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,8140,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,8141,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,8142,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,8143,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,8144,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,826,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,828,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,8286,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,85,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,863,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,88,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,889,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,896,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,9.2500,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,95,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,960,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,960 GUARANTEE INSURABILITY OPTION,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,961,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,970,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,980,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,99,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,991,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,9999,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,999999999,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,ACCIDENTAL DEATH BENEFIT,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,ACCIDENTAL DEATH BENEFIT RIDER,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,ADDITIONAL INSUREDS 666 WL,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,ANNUAL RENEWABLE TERM,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,ART PREFERRED CREDIT LIFE,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,CF,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,CHILD - FAMILY LIFE DECREASING TERM,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,CHILD DECREASING TERM,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,CHILD'S TERM INSURANCE,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,CSI LIFE $3000,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,CSI LIFE $5000,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,CSI LIFE $7500,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,CSI LIFE MN $5000,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,DEC TERM TO 65 CONVERTIBLE,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,DECR TERM PAID UP FOR CHILD,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,DECREASING TERM,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,DECREASING TERM LIFE,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,DECREASING TERM PAID UP FOR SPOUSE,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,DEPENDENT CHILD TERM RIDER,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,DEPOSIT ANNUITY RIDER,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,DISABILITY WAIVER OF PREMIUM,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,DISABILITY WAIVER OF PREMIUM 30MRG,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,DISABILITY WAIVER OF PREMIUM JOINT 30 MT,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,DISABILITY WAIVER OF PREMIUM RIDER,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,ENDOWMENT AT AGE 65,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,ENDOWMENT AT AGE 85,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,F,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,FAMILY LIFE DECREASING TERM,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,FAMILY TERM RIDER,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,FIVE YEAR TERM TO AGE 85,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,GUARANTEED PURCHASE OPTION RIDER,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,HOME OFFICE DISCOUNT - 24.75%,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,HOME OFFICE DISCOUNT - 70/13%,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,HOME OFFICE DISCOUNT 29% - MODERULE 37,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,INHERENT ACCIDENTAL DEATH (3 YR) FOR L15,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,INTEREST-SENSITIVE WHOLE LIFE,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,J,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,JOINT DECREASING TERM LIFE,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,JUVENILE EST BUILD PU AT 85 LIFE,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,JUVENILE ESTATE BUILDER LIFE PD UP AT 65,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,JUVENILE FUTURE PURCHASE OPTION,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,JUVENILE FUTURE PURCHASE OPTION RIDER,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,L05,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,L07,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,L10,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,L10 - LPU95       PRE 1997,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,L10 - LPU95     POST 1997 LIFE,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,L10 - LPU95   POST 1997  SENIOR LIFE,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,L10 - LPU95  SR.     PRE 1997,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,L10 ACCIDENTAL DEATH BENEFIT,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,L10 CHILD TERM RIDER,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,L10 CHILD WP,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,L10 GPO OLD,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,L10 JUVENILE PURCHASE OPTION - OLD,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,L10 SPOUSE DECREASING TERM,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,L10 SPOUSE WP,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,L10 UNI,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,L10 WAIVER OF PREMIUM   POST 1997,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,L14,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,L15 INHER,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
untranslated_values.csv,L17,REVIEW_TRANSLATION_NEED,Value appears in quikplan output but has no Master_Value_Translation entry,,,,,,,,,,,,
